[0.00s -> 1.72s]  Так, ребята, соберитесь.
[335.72s -> 338.72s]  Не знаю, но у него очень был интересный костюм.
[338.72s -> 339.72s]  Он такой просто...
[340.72s -> 343.72s]  Мне кажется, нам сюда, потому что нам налево опять.
[343.72s -> 344.72s]  Музей.
[344.72s -> 345.72s]  А ну к вам.
[345.72s -> 346.72s]  Здравствуйте.
[346.72s -> 349.72s]  Иванова славится своим текстильным производством.
[349.72s -> 352.72s]  Именно поэтому здесь открыт Ивановский музей Сица,
[352.72s -> 355.72s]  в котором хранятся изделия, орудия труда
[355.72s -> 358.72s]  и старинные образцы ткачей прошлого,
[358.72s -> 362.72s]  среди которых можно найти наряды легендарного славы Зайцева.
[362.72s -> 364.72s]  Музей Сица связывает подземный ход
[364.72s -> 366.72s]  с музеем промышленности и искусства,
[366.72s -> 369.72s]  основателем которого является фабрикант, меценат
[369.72s -> 373.72s]  и коллекционер Дмитрий Геннадьевич Бурылин.
[374.72s -> 378.72s]  О, блин, как тут красиво! Жан, смотри!
[380.72s -> 381.72s]  Давай открываем.
[381.72s -> 383.72s]  Вот там какая-то веревочка.
[383.72s -> 387.72s]  Спеши за нити красной, но, знаете, следуешь дороге опасной.
[387.72s -> 388.72s]  Дорога опасной.
[388.72s -> 389.72s]  Начинается.
[389.72s -> 391.72s]  Так, нить, главное, не потеряй.
[392.72s -> 393.72s]  Дорога опасная.
[393.72s -> 394.72s]  Слушай, здесь красиво.
[394.72s -> 396.72s]  Пока, в принципе, ничего такого опасного нет.
[397.72s -> 398.72s]  Здесь это и есть.
[398.72s -> 400.72s]  Ой, как прикольно!
[401.72s -> 404.72s]  Блин, Жан, смотри, какие платья!
[404.72s -> 405.72s]  Очень красиво.
[405.72s -> 407.72s]  Прям такое необычное, да?
[407.72s -> 408.72s]  Все.
[408.72s -> 410.72s]  Прям запах моды пошел уже, да?
[410.72s -> 411.72s]  Блин, какие вообще очень.
[411.72s -> 414.72s]  Мы с тобой, видишь, девчонки, вот пофигу нам на эту нитку
[414.72s -> 415.72s]  шмотки трогаем.
[416.72s -> 419.72s]  Блин, ну очень необычные такие вещи.
[419.72s -> 422.72s]  Да, хочется их прям поразглядывать подальше.
[428.46s -> 429.46s]  Так, идем вниз.
[430.46s -> 432.46s]  А сколько зданий этому летнику?
[432.46s -> 433.46s]  Подскажете вообще?
[433.46s -> 435.46s]  У меня было 1903 год с вами.
[435.46s -> 436.46s]  В каком?
[436.46s -> 437.46s]  1903.
[438.46s -> 439.46s]  1903.
[439.46s -> 440.46s]  Офигеть!
[440.46s -> 441.46s]  До военное время.
[442.46s -> 445.46s]  Так интересно, все такое старинное.
[446.46s -> 447.46s]  Классно.
[448.46s -> 450.46s]  Идем, идем дальше, ниточку уже.
[452.46s -> 457.99s]  Вот здесь уже чувствуется какая-то опасность,
[457.99s -> 459.99s]  какой-то подвал вообще.
[459.99s -> 460.99s]  Пойдем.
[460.99s -> 462.99s]  Мы с тобой, девчонки, бесстрашные.
[462.99s -> 463.99s]  Кто может быть в подвале тканей?
[463.99s -> 464.99s]  Музей.
[464.99s -> 465.99s]  Я пока не пойму.
[465.99s -> 467.99s]  Сейчас мне уже напоминает триллер какой-то, понимаешь?
[467.99s -> 470.99s]  Мы спускаемся в подвал, причем самолично.
[470.99s -> 472.99s]  Мы это делаем, как в фильме.
[472.99s -> 474.99s]  Они вечно лезут туда, куда не надо.
[475.99s -> 479.50s]  Мы дойдем вообще, нет, Жан?
[479.50s -> 481.50s]  Мне кажется, мы поближаемся.
[482.50s -> 483.50s]  Глаза разбегаются.
[483.50s -> 485.50s]  Я уже даже про эту нитку забыла, если честно.
[485.50s -> 486.50s]  Ну что?
[486.50s -> 488.50s]  Так мы приближемся к финалу, я чувствую.
[488.50s -> 489.50s]  Опа!
[489.50s -> 492.50s]  Вот тебе и, пожалуйста, первый сюрприз.
[496.06s -> 497.06s]  Боже, посмотри.
[497.06s -> 499.06s]  Что это лежит, Жанна?
[499.06s -> 500.06s]  Мумии.
[500.06s -> 502.06s]  Это что вообще такое?
[503.06s -> 504.06s]  Это все прикольно.
[504.06s -> 505.06s]  Мне нравится.
[505.06s -> 506.06s]  Мне нравится.
[506.06s -> 507.06s]  Жуть.
[507.06s -> 509.06s]  Нитка закончилась.
[509.06s -> 510.06s]  А где подсказки?
[511.06s -> 512.06s]  А!
[512.06s -> 513.06s]  Заменилась бухгалка.
[513.06s -> 514.06s]  Реально.
[523.06s -> 525.06s]  Жесть какая-то вообще.
[526.06s -> 529.06s]  Получить следующую подсказку вы сможете, когда принесете
[529.06s -> 531.06s]  правильные ответы на вопросы.
[531.06s -> 533.06s]  В этом и помогут местные жители.
[534.06s -> 535.06s]  Где люди?
[536.06s -> 538.06s]  Да, вон там мужчина точно знает.
[538.06s -> 539.06s]  Пойдемте.
[542.06s -> 543.06s]  Пару вопросов.
[543.06s -> 544.06s]  Так.
[544.06s -> 545.06s]  Вы же местные, вы же из Иванова.
[545.06s -> 546.06s]  Так.
[546.06s -> 548.06s]  Почему Иванова называют русским Манчестером?
[548.06s -> 550.06s]  И еще варианты ответа.
[550.06s -> 554.06s]  Иванова является побратимым города Манчестер.
[554.06s -> 557.06s]  Иванова является столицей текстильной промышленности.
[557.06s -> 558.06s]  Вот оно.
[558.06s -> 559.06s]  Мне кажется, кстати.
[559.06s -> 560.06s]  Оно.
[560.06s -> 562.06s]  Давай, выбираем пункт С.
[562.06s -> 563.06s]  У нас вопрос такой.
[563.06s -> 564.06s]  Чистость населения.
[564.06s -> 567.06s]  Какой страны меньше чистости населения Иванова?
[567.06s -> 569.06s]  Исландия, Нигерия, Россия, Москва.
[569.06s -> 572.06s]  Когда-то было 400 тысяч.
[572.06s -> 573.06s]  Сейчас 320.
[573.06s -> 574.06s]  Иванова?
[574.06s -> 575.06s]  Да.
[575.06s -> 577.06s]  А вот еще меньше, чем Иванова?
[577.06s -> 578.06s]  Может быть Нигерия?
[578.06s -> 579.06s]  Нигерия.
[579.06s -> 581.06s]  Нигерия, скорее всего.
[581.06s -> 584.06s]  Сколько у Иванова живет человек?
[584.06s -> 585.06s]  Сколько?
[585.06s -> 586.06s]  Миллиона восемь?
[586.06s -> 587.06s]  Ага.
[587.06s -> 588.06s]  Но ты нам поможешь.
[588.06s -> 591.06s]  Я смотрю очень сильно в нашем вопросе.
[591.06s -> 592.06s]  Чистость населения.
[592.06s -> 595.06s]  Какой страны меньше чистости населения Иванова?
[595.06s -> 597.06s]  Исландия, Нигерия, Россия, Москва.
[597.06s -> 598.06s]  Чем Иванова?
[598.06s -> 599.06s]  Да.
[599.06s -> 600.06s]  Наверное, Нигерия.
[600.06s -> 601.06s]  Нигерия.
[601.06s -> 602.06s]  Вот это мне кажется Нигерия.
[602.06s -> 604.06s]  А какая чистость его в Иваново сейчас?
[604.06s -> 605.06s]  В самом городе?
[605.06s -> 606.06s]  Да.
[606.06s -> 607.06s]  Ну, где-то около 300 тысяч.
[607.06s -> 608.06s]  Ага, Нигерия.
[608.06s -> 609.06s]  Выбираем.
[609.06s -> 612.06s]  Какой известный кинорежиссер родился в Иваново?
[612.06s -> 614.06s]  Кэмерон Бондарчук.
[614.06s -> 615.06s]  Андроссян.
[615.06s -> 616.06s]  Тарковский.
[616.06s -> 617.06s]  Тарковский.
[617.06s -> 618.06s]  Тарковский?
[618.06s -> 619.06s]  Спасибо.
[619.06s -> 620.06s]  Спасибо большое.
[620.06s -> 621.06s]  Мы почти выбрали миллион.
[621.06s -> 622.06s]  Мужчина точно.
[622.06s -> 623.06s]  Да, мужчина.
[623.06s -> 624.06s]  В общем, поможете нам, пожалуйста?
[624.06s -> 625.06s]  Ты что ж такой?
[625.06s -> 626.06s]  Мы дают человек интеллектуальные вопросы.
[626.06s -> 627.06s]  Мы не можем ответить.
[627.06s -> 628.06s]  Да, вы выглядите умным человеком.
[628.06s -> 629.06s]  Да.
[629.06s -> 630.06s]  И вы точно бы нам помогли.
[630.06s -> 631.06s]  Ну ладно.
[631.06s -> 632.06s]  Кто изображен на городском гербе Иванова?
[632.06s -> 633.06s]  Знаешь, что изображено?
[633.06s -> 634.06s]  Сицевый шарф.
[634.06s -> 635.06s]  Нарядная девушка с прялкой.
[635.06s -> 636.06s]  Куницы.
[636.06s -> 637.06s]  Солисты группы дискотеки.
[637.06s -> 638.06s]  Уверен?
[638.06s -> 639.06s]  Да.
[639.06s -> 640.06s]  100%.
[640.06s -> 641.06s]  Спасибо тебе большое.
[641.06s -> 642.06s]  Кто из известных моделей?
[643.06s -> 652.06s]  Кто из известных модельеров родился в городе Иваново?
[652.06s -> 656.06s]  Зайцев, дольче Габана, Юдашкин и Гатье.
[656.06s -> 659.06s]  Ну, по-моему, Зайцев тоже не родился.
[659.06s -> 662.06s]  Он только здесь жил.
[662.06s -> 665.06s]  Как войну переехали они, так он жил.
[665.06s -> 668.06s]  А родиться никто не родился.
[668.06s -> 669.06s]  А дольче Габана?
[669.06s -> 670.06s]  Ага.
[670.06s -> 671.06s]  Скорее всего, Зайцев, да?
[671.06s -> 672.06s]  Ну, он не родился.
[672.06s -> 676.06s]  Он просто сюда приехал в войну и жил здесь с родителями.
[676.06s -> 678.06s]  Ну, Жан-Поль и Гатье-то уже отлетают у нас.
[678.06s -> 679.06s]  Конечно.
[679.06s -> 680.06s]  Тогда Зайцева выбираем.
[680.06s -> 681.06s]  Спасибо вам большое.
[681.06s -> 683.06s]  Кто из известных модельеров родился в Иваново?
[683.06s -> 684.06s]  Машина Гайцева.
[684.06s -> 685.06s]  Вот мы...
[685.06s -> 686.06s]  Да, выделили.
[686.06s -> 688.06s]  А бабушка сказала, что он не родился, он здесь просто
[688.06s -> 689.06s]  жил.
[689.06s -> 690.06s]  Да.
[690.06s -> 691.06s]  Да?
[691.06s -> 694.06s]  Ну все, значит, мы ответили правильно.
[694.06s -> 698.76s]  Ой, конец.
[698.76s -> 701.76s]  Жан, опять.
[701.76s -> 702.76s]  Опять.
[702.76s -> 704.76s]  Опять это нитка.
[704.76s -> 707.76s]  Это что, пылесосы?
[707.76s -> 708.76s]  Открываем.
[708.76s -> 709.76s]  Ура.
[709.76s -> 712.76s]  Что у нас здесь?
[712.76s -> 713.76s]  Так.
[713.76s -> 716.76s]  На входе в музей вас ожидает такси.
[716.76s -> 719.76s]  Он вас привезет к следующей подсказке.
[719.76s -> 721.76s]  Не забудьте взять с собой пылесосы.
[721.76s -> 722.76s]  Идеально.
[722.76s -> 724.76s]  Ну, пылесосы это уже что-то интересное.
[724.76s -> 726.76s]  Давай на всякий случай возьмем.
[726.76s -> 727.76s]  Пылесосы все возьмем.
[727.76s -> 728.76s]  Давай еще раз.
[728.76s -> 729.76s]  Стой.
[730.76s -> 733.76s]  Вы нас отвезете, да?
[733.76s -> 735.76s]  Все, супер.
[735.76s -> 736.76s]  Ну, едем.
[736.76s -> 738.76s]  Тогда наслаждаемся.
[745.76s -> 751.80s]  Музей Первого Совета посвящен событиям Первой Русской
[751.80s -> 755.80s]  Революции и погружает в атмосферу советского быта.
[755.80s -> 758.80s]  Наши героини не только оказались в музее, но и примерили
[758.80s -> 761.80s]  на себя образы той эпохи.
[762.80s -> 774.48s]  О, я вижу подсказку.
[774.48s -> 776.48s]  Наконец-то.
[776.48s -> 780.48s]  Чтобы заслужить звание почетного гражданина, вам нужно
[780.48s -> 783.48s]  доказать, что вы реально любите Иванова.
[783.48s -> 786.48s]  Уберите вообще все листи в этом городе.
[786.48s -> 788.48s]  Инструменты у вас уже есть.
[788.48s -> 790.48s]  Наживайте рюкзак и вперед.
[790.48s -> 791.48s]  Что?
[791.48s -> 794.48s]  Я в принципе не особо люблю Иванова, поэтому я пошла.
[794.48s -> 796.48s]  Я тоже небольшой фанат, но...
[799.48s -> 800.48s]  Ну что, готова?
[800.48s -> 803.48s]  Я готова пропылесосить все листья в этом городе.
[803.48s -> 804.48s]  Снаряд.
[804.48s -> 806.48s]  Подожди, только как мы это сделаем?
[806.48s -> 808.48s]  У нас пылесосы не работают без электричества.
[808.48s -> 810.48s]  Слушай, у меня вообще, как бы, сама понимаешь.
[810.48s -> 813.48s]  Честно, я не думала, что нам придется убираться.
[813.48s -> 815.48s]  Жан, я мечтала об этом.
[815.48s -> 817.48s]  Вот именно в Иваново немножко подместили ству.
[817.48s -> 819.48s]  Я вижу, совочек у нас.
[819.48s -> 821.48s]  Слушай, как будто в школьные годы вернулась.
[821.48s -> 822.48s]  Да, да, да.
[822.48s -> 823.48s]  Как называлось это?
[823.48s -> 824.48s]  Субботник.
[824.48s -> 825.48s]  Субботник, да.
[825.48s -> 827.48s]  Сегодня не суббота.
[827.48s -> 830.48s]  Мы, слушай, мы с тобой сегодня столько калорий сбросили.
[830.48s -> 832.48s]  Мы и побегали, и попрыгали.
[833.48s -> 835.48s]  Сейчас мы подметаем.
[837.48s -> 838.48s]  Сейчас Курт привет.
[839.48s -> 840.48s]  Я на субботе...
[840.48s -> 841.48s]  Хватит с вас.
[841.48s -> 844.48s]  Если хотите забрать свое звание почетного гражданина,
[844.48s -> 846.48s]  то приходите ко мне домой.
[846.48s -> 848.48s]  Вас отведут мои маленькие друзья.
[849.48s -> 850.48s]  Маленькие друзья?
[851.48s -> 854.48s]  Так что за игра началась голова, знаешь, как и закрыта.
[854.48s -> 856.48s]  Ну, это мне больше нравится, чем подметать.
[856.48s -> 858.48s]  Да, давай маленьких друзей давай стать.
[858.48s -> 861.48s]  Так, маленькие друзья, мы вас ищем, вы где?
[863.48s -> 867.48s]  Кстати, я такую штуку видела в коробке после первого задания.
[867.48s -> 869.48s]  Давай дальше пройдем, может, они там еще.
[869.48s -> 871.48s]  Тут один только друг маленький.
[871.48s -> 873.48s]  Где? О, вот второй.
[873.48s -> 875.48s]  Вот они.
[876.48s -> 879.48s]  Дом живых и мертвых стоит в Иваново.
[879.48s -> 881.48s]  Это псевдоготический замок,
[881.48s -> 884.48s]  который не реставрировали с начала 20 века.
[884.48s -> 886.48s]  И в нем до сих пор живут люди.
[886.48s -> 890.48s]  Пугающие легенды о призраках окутывают этот замок.
[890.48s -> 895.48s]  Говорят, что призрак первого хозяина дома обитает в нем по сей день.
[896.48s -> 899.98s]  Я вижу этих маленьких дружков.
[899.98s -> 903.98s]  Слушай, это по ходу маленькие призраки, что ли, в этом доме?
[903.98s -> 905.98s]  Здравствуйте.
[907.98s -> 909.98s]  ***, подожди, вон заклиску оставил.
[909.98s -> 911.98s]  Я не пойду туда жадно.
[911.98s -> 913.98s]  При любом раскладе сразу говорю.
[913.98s -> 915.98s]  Жесть какая-то.
[915.98s -> 917.98s]  Что там, давай.
[917.98s -> 919.98s]  Попробуйте поймать меня, если сможете.
[919.98s -> 921.98s]  Бежим за ним.
[939.18s -> 941.18s]  Так мы его и не догнали.
[941.18s -> 943.18s]  За толстичком сложно было, да?
[943.18s -> 945.18s]  Да, он очень шустрый.
[945.18s -> 947.18s]  Так, жду тут.
[947.18s -> 949.18s]  Я знаю это место.
[949.18s -> 951.18s]  Это колесо.
[951.18s -> 953.18s]  Это где мы первоначально были, где были шарики?
[953.18s -> 955.18s]  Да, колесо, обозрение вот это.
[955.18s -> 957.18s]  И как мы до него дойдем?
[957.18s -> 960.18s]  Да тут, как бы я так понимаю, вариантов у нас не сильно много.
[960.18s -> 962.18s]  Ладно, пошли.
[962.18s -> 970.36s]  Как-нибудь да найдем.
[970.36s -> 972.36s]  Вон привидение, смотри, он нас так побежали.
[974.36s -> 976.36s]  Ура.
[976.36s -> 978.36s]  Так, вот они подарочки.
[978.36s -> 980.36s]  Ура, спасибо.
[980.36s -> 982.36s]  Это постельное белье.
[982.36s -> 984.36s]  Спасибо, рада знакомству.
[984.36s -> 986.36s]  Почему ты от нас убегал?
[986.36s -> 988.36s]  Он же привидение.
[988.36s -> 990.36s]  Жанночка, я тебя поздравляю.
[990.36s -> 993.36s]  Ты мой почетный гражданин города Иванова.
[993.36s -> 995.36s]  Ура.
[995.36s -> 998.36s]  А с вами был почетный гражданин Таня Строкова.
[998.36s -> 1000.36s]  И Жанна Радова.
[1000.36s -> 1002.36s]  Всем пока.
[1002.36s -> 1004.36s]  Ты что грустишь?
[1004.36s -> 1006.36s]  Давайте белье отдам.
[1006.36s -> 1008.36s]  Он опять убегает.
[1008.36s -> 1010.36s]  Стой.
[1010.36s -> 1012.36s]  Загоняй его.
[1018.12s -> 1021.12s]  Редактор субтитров А.Синецкая Корректор А.Егорова
