[3.82s -> 47.10s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[468.89s -> 471.89s]  Спели определенного количества людей
[471.89s -> 474.89s]  Человек послушал 10 и сказал
[474.89s -> 477.89s]  Мы еще 5 приведем и еще 20
[477.89s -> 480.89s]  А потом еще 30, а потом еще 100
[480.89s -> 483.89s]  Так и происходит только в интернете
[483.89s -> 486.89s]  Это тоже очень тонкий момент
[486.89s -> 489.89s]  Когда ты что-то делаешь, это можно по-разному оценить
[489.89s -> 492.89s]  Они понимают, какую большую работу ты продел
[492.89s -> 495.89s]  Ты молодец, ты сочинил
[495.89s -> 498.89s]  Мы зовемся артмеханикой Суланом Маленко
[498.89s -> 501.89s]  И мы говорим не только о музыке в нашей программе
[501.89s -> 504.89s]  Я бы хотел сейчас объявить тему
[504.89s -> 507.89s]  И вас вовлечь в нее
[507.89s -> 510.89s]  И вас, дорогие друзья, и вас, дорогие зрители
[510.89s -> 513.89s]  Мультипликация, детские мультики
[513.89s -> 521.27s]  Вот тема сегодняшней артмеханики
[521.27s -> 524.27s]  Скажите, пожалуйста, на каких мультфильмах вы росли
[524.27s -> 527.27s]  Воспитывались и какой был любимый мультфильм?
[527.27s -> 530.27s]  Я вот сейчас сходу вспомнил Ростоклашина
[530.27s -> 533.27s]  Возможно, отчасти благодаря музыке
[533.27s -> 536.27s]  Мне кажется, что нас вот это завлекало
[536.27s -> 539.27s]  Очень много крутой музыки в Ну Погоди
[539.27s -> 542.27s]  Это прямо вообще много со временем
[542.27s -> 545.27s]  Этот мультик выходил, я представляю, как это круто было
[545.27s -> 548.27s]  Если бы сейчас выходили какие-то мультики
[548.27s -> 551.27s]  Ну Погоди, ну это мультфильм моего детства
[551.27s -> 554.27s]  Хотя отец мне ставил на проекторе
[554.27s -> 557.27s]  Который просто трещал
[557.27s -> 560.27s]  Я представлял себе музыку уже сам
[560.27s -> 563.27s]  Видимо, из-за этого она еще богаче была
[563.27s -> 566.27s]  Но когда я по телевизору смотрел
[566.27s -> 569.27s]  Я вдруг слышал эти музыкальные фрагменты
[569.27s -> 572.27s]  А оказалось, что они многие взяты из соц стран были
[572.27s -> 575.27s]  То есть там какие-то венгерские группы играли
[576.27s -> 579.27s]  Самое интересное, что дирижер произведения
[579.27s -> 582.27s]  Которое играет в заставке
[582.27s -> 585.27s]  Он узнал о том, что это произведение используется в мультике
[585.27s -> 593.81s]  Буквально лет 7 назад
[603.74s -> 606.74s]  Одно из произведений, которое играет в серии с цирком
[606.74s -> 609.74s]  До сих пор не найдено
[609.74s -> 612.74s]  Неизвестно, что это
[612.74s -> 615.74s]  А кто написал, кто исполняет, неизвестно
[634.90s -> 637.90s]  Так мы можем исследовать это дело
[637.90s -> 640.90s]  Может быть среди наших зрителей найдется человек
[640.90s -> 643.90s]  Который произведет исследование и узнает
[643.90s -> 646.90s]  Кто это, это будет такое открытие
[646.90s -> 649.90s]  Тоже 183 миллиона человек порадуется
[649.90s -> 652.90s]  На самом деле смотрели то, что показывали по телеку
[652.90s -> 655.90s]  Мы были ограничены этим
[655.90s -> 658.90s]  Сейчас уже по взросле, общаясь со своими сверстниками
[658.90s -> 661.90s]  Я говорю, а видел ли ты мультик про скейтеров, про роллеров
[661.90s -> 664.90s]  Сила ракет
[664.90s -> 667.90s]  И многие ребята не видели
[667.90s -> 670.90s]  Я думаю, что этот мультфильм на нас тоже подлиял
[670.90s -> 673.90s]  На формирование вкуса, тоже там музыка
[673.90s -> 676.90s]  У этого мультика еще такой не характерный монтаж
[676.90s -> 679.90s]  Там как будто бы все снимается на камеру
[679.90s -> 682.90s]  Я думаю, это тоже формировало вкус и нашего монтажа
[682.90s -> 684.90s]  Как мы сейчас монтируем
[696.37s -> 700.81s]  Наш новичок просто не пробивает
[700.81s -> 703.81s]  Может быть сразу вторую тогда песню
[703.81s -> 706.81s]  Если сила внутри, то снаружи простой
[706.81s -> 709.81s]  И доказывать некому нечего
[709.81s -> 712.81s]  Мы поем свои песни с открытой душой
[712.81s -> 715.81s]  И хотим, чтобы они стали вечными
[715.81s -> 718.81s]  Мы о дружбе поем, мы поем о любви
[718.81s -> 721.81s]  И вы знаете точно о юности
[721.81s -> 724.81s]  И мы дальше ведем
[725.81s -> 731.98s]  Рядом мои пацаны
[731.98s -> 734.98s]  О них знает весь район
[734.98s -> 737.98s]  Солнце прячется в ночи
[737.98s -> 740.98s]  А глаза под капюшон
[740.98s -> 743.98s]  Сотни судеб как одна
[743.98s -> 746.98s]  И тут все за одного
[746.98s -> 749.98s]  Коль идти кто до конца
[749.98s -> 752.98s]  А любви так всей душой
[752.98s -> 755.98s]  Рядом мои пацаны
[755.98s -> 758.98s]  Солнце прячется в ночи
[758.98s -> 761.98s]  А глаза под капюшон
[761.98s -> 764.98s]  Сотни судеб как одна
[764.98s -> 767.98s]  И тут все за одного
[767.98s -> 770.98s]  Коль идти кто до конца
[770.98s -> 773.98s]  А любви так всей душой
[773.98s -> 776.98s]  Я не один, это моя день
[776.98s -> 779.98s]  Люди строят города, меняют города людей
[779.98s -> 782.98s]  В бесконечной суете важно сохранить лицо
[782.98s -> 784.98s]  Придется набирать разгон
[784.98s -> 786.98s]  Где теперь моя судьба
[786.98s -> 788.98s]  В чем секрет большой любви
[788.98s -> 790.98s]  Я так много о ней пел
[790.98s -> 792.98s]  Еще больше я любил
[792.98s -> 794.98s]  Тем мы стали, и когда
[794.98s -> 796.98s]  Исменился этот мир
[796.98s -> 798.98s]  Остаются рядом те
[798.98s -> 800.98s]  Кто меня зовет своим
[800.98s -> 802.98s]  Рядом мои пацаны
[802.98s -> 804.98s]  О них знает весь район
[804.98s -> 806.98s]  Солнце прячется в ночи
[806.98s -> 808.98s]  А глаза под капюшон
[808.98s -> 810.98s]  Сотни судеб как одна
[810.98s -> 812.98s]  Идут все за одного
[812.98s -> 814.98s]  Коль идти кто до конца
[814.98s -> 816.98s]  А любви так всей душой
[816.98s -> 818.98s]  Рядом мои пацаны
[818.98s -> 820.98s]  О них знает весь район
[820.98s -> 822.98s]  Солнце прячется в ночи
[822.98s -> 824.98s]  А глаза под капюшон
[824.98s -> 826.98s]  Сотни судеб как одна
[826.98s -> 828.98s]  И тут все за одного
[828.98s -> 830.98s]  Коль идти кто до конца
[830.98s -> 832.98s]  А любви так всей душой
[834.98s -> 836.98s]  Я не поменялся я такой же
[836.98s -> 838.98s]  Как и был
[838.98s -> 840.98s]  Годы пролетят, но важно
[840.98s -> 842.98s]  То что есть внутри
[842.98s -> 844.98s]  Улица тебе не скажет
[844.98s -> 846.98s]  Где меня искать
[846.98s -> 848.98s]  Но покажет кто твой друг
[848.98s -> 850.98s]  Ну а кто по жизни
[850.98s -> 852.98s]  Ой, будь и дорожки насвели
[852.98s -> 854.98s]  И снова развели
[854.98s -> 856.98s]  Ой, не по дорожку думал
[856.98s -> 858.98s]  Я когда глились
[858.98s -> 860.98s]  Любви в кармане моем
[860.98s -> 862.98s]  Зажигал сердце остатки любви
[862.98s -> 864.98s]  Я без тебя, но ты знаешь
[864.98s -> 866.98s]  Я не один
[866.98s -> 868.98s]  Рядом мои пацаны
[868.98s -> 870.98s]  О них знает весь район
[870.98s -> 872.98s]  Солнце прячется в ночи
[872.98s -> 874.98s]  А глаза под капюшон
[874.98s -> 876.98s]  Сотни судеб как одна
[876.98s -> 878.98s]  И тут все за одного
[878.98s -> 880.98s]  Коль идти кто до конца
[880.98s -> 882.98s]  А любви так всей душой
[882.98s -> 884.98s]  Рядом мои пацаны
[884.98s -> 886.98s]  О них знает весь район
[886.98s -> 888.98s]  Солнце прячется в ночи
[888.98s -> 890.98s]  А глаза под капюшон
[890.98s -> 892.98s]  Сотни судеб как одна
[892.98s -> 894.98s]  И тут все за одного
[894.98s -> 896.98s]  Идут все за одного,
[896.98s -> 898.98s]  Ко летит вот так гамза,
[898.98s -> 900.98s]  А любви так всей душой.
[900.98s -> 902.98s]  Рядом на них пацаны,
[902.98s -> 904.98s]  О них знают весь район.
[904.98s -> 906.98s]  Солнце прячется в ночи,
[906.98s -> 908.98s]  А глаза под капюшон.
[908.98s -> 910.98s]  Сегодня судьба гамза,
[910.98s -> 912.98s]  Идут все за одного,
[912.98s -> 914.98s]  Ко летит вот так гамза,
[914.98s -> 916.98s]  А любви так всей душой.
[925.42s -> 927.42s]  Все за одного,
[927.42s -> 934.14s]  Гамза, а любви так всей душой.
[961.97s -> 963.97s]  Строили, строили,
[963.97s -> 965.97s]  И наконец построили.
[965.97s -> 967.97s]  Слушай, Гена, давай
[967.97s -> 969.97s]  Я вещи понесу,
[969.97s -> 971.97s]  А ты возьми меня.
[971.97s -> 973.97s]  Это ты здорово придумал.
[973.97s -> 975.97s]  А вот мне интересно,
[975.97s -> 977.97s]  Какие в зале будут варианты ответов
[977.97s -> 979.97s]  По любимым мультфильмам?
[979.97s -> 981.97s]  Приключение домовенка Кузи.
[981.97s -> 983.97s]  Классный, да, кстати.
[983.97s -> 985.97s]  Домовенок Кузи, да.
[985.97s -> 987.97s]  Хлебышек чертвенький, бородинский.
[987.97s -> 989.97s]  Есть такие мультфильмы,
[989.97s -> 991.97s]  Которые настолько, мне кажется, добрые, что аж грустно.
[991.97s -> 993.97s]  И не знаю, были ли вы, вы испытывали ли вы такие эмоции,
[993.97s -> 995.97s]  Когда ты смотришь какой-то детский мультфильм
[995.97s -> 997.97s]  Или слушаешь детскую песню,
[997.97s -> 999.97s]  И она достаточно светлая,
[999.97s -> 1001.97s]  Аж настолько, мне кажется, светлая,
[1001.97s -> 1003.97s]  Что аж как-то грустно.
[1003.97s -> 1005.97s]  Домовенок Кузи, мне кажется, к таким мультикам.
[1005.97s -> 1007.97s]  Слушай, ну вот я так скажу,
[1007.97s -> 1009.97s]  Что, конечно, старые добрые
[1009.97s -> 1011.97s]  Советские мультики
[1011.97s -> 1013.97s]  Это отдельный такой пласт
[1013.97s -> 1015.97s]  Культуры нашей страны.
[1015.97s -> 1017.97s]  Но нам есть,
[1017.97s -> 1019.97s]  Которым гордится и в современной России
[1019.97s -> 1021.97s]  Взять себе, например, смешариков.
[1021.97s -> 1023.97s]  Или такой
[1023.97s -> 1025.97s]  Такой полотнище,
[1025.97s -> 1027.97s]  Как Маша и Медведь,
[1027.97s -> 1029.97s]  Которому рукоплещут дети, мне кажется,
[1029.97s -> 1031.97s]  Во всех уголках мира.
[1031.97s -> 1033.97s]  И это, конечно, происходит
[1033.97s -> 1035.97s]  И благодаря таланту людей,
[1035.97s -> 1037.97s]  Которые это все производят,
[1037.97s -> 1039.97s]  И благодаря новым технологиям,
[1039.97s -> 1041.97s]  Которые наши люди очень здорово
[1041.97s -> 1043.97s]  И наши художники осваивают.
[1043.97s -> 1045.97s]  Мне кажется, мультфильм
[1045.97s -> 1047.97s]  Это такая полная свободная,
[1047.97s -> 1049.97s]  Которая вы классно подметили,
[1049.97s -> 1051.97s]  Которая единственная только
[1051.97s -> 1053.97s]  Упирается в умение
[1053.97s -> 1055.97s]  И в возможности технические.
[1055.97s -> 1057.97s]  Потому что если при съемке кино
[1057.97s -> 1059.97s]  Ты зависишь и от погодных условий,
[1059.97s -> 1061.97s]  Какая будет такая картинка, такие цвета,
[1061.97s -> 1063.97s]  И от актеров, то мультики ты можешь нарисовать
[1063.97s -> 1065.97s]  Но все, что захочешь.
[1065.97s -> 1067.97s]  Единственное только, не всегда эти возможности были.
[1067.97s -> 1069.97s]  И то, какие инструменты находили,
[1069.97s -> 1071.97s]  Мультипликаторы в то время, да и сейчас продолжают.
[1071.97s -> 1073.97s]  Не думаю, что сейчас
[1073.97s -> 1075.97s]  Одним пальцем можно делать мультфильм.
[1075.97s -> 1077.97s]  Сейчас не менее талантливые ребята
[1077.97s -> 1079.97s]  И круто, что наши
[1079.97s -> 1081.97s]  Создают
[1081.97s -> 1083.97s]  И тот же Маша Медведь.
[1083.97s -> 1085.97s]  Прекрасный мультик с прекрасной музыкой.
[1085.97s -> 1087.97s]  Если говорить о технологиях,
[1087.97s -> 1089.97s]  Меня лично, вот мне недавно прислали,
[1089.97s -> 1091.97s]  Меня очень поразил такой проект,
[1091.97s -> 1093.97s]  Который называется «Обратно на Луну».
[1093.97s -> 1095.97s]  Вы не видели?
[1095.97s -> 1097.97s]  Уж я-то там
[1097.97s -> 1099.97s]  Брал пальцем,
[1099.97s -> 1101.97s]  Поводил и смотрел на 360 градусов,
[1101.97s -> 1103.97s]  То есть видел все пространство,
[1103.97s -> 1105.97s]  Меня поразило в буквальном смысле слова.
[1105.97s -> 1107.97s]  Сюжет там происходит какой-то?
[1107.97s -> 1109.97s]  Да, да, приключения.
[1109.97s -> 1150.08s]  И это же не говоря
[1150.08s -> 1152.08s]  О 3D анимации и технологиях
[1152.08s -> 1154.08s]  Motion Capture.
[1154.08s -> 1156.08s]  Кстати говоря, что касается технологии
[1156.08s -> 1158.08s]  Motion Capture, я предлагаю
[1158.08s -> 1160.08s]  Найти ответ, естественно,
[1160.08s -> 1162.08s]  В баре.
[1162.08s -> 1164.08s]  И часто ты ищешь ответы
[1164.08s -> 1166.08s]  В баре, Влад.
[1166.08s -> 1168.08s]  Грешен бывает.
[1168.08s -> 1170.08s]  А я рада представить вам
[1170.08s -> 1172.08s]  Моих новых собеседников.
[1172.08s -> 1174.08s]  Это Иван и Алекс.
[1176.08s -> 1185.73s]  Они занимаются Motion Capture.
[1185.73s -> 1187.73s]  Сейчас они нам
[1187.73s -> 1189.73s]  Расскажут об этом.
[1189.73s -> 1191.73s]  Да, если так, совсем просто.
[1191.73s -> 1193.73s]  Что это? Человек, который не знает об этом.
[1193.73s -> 1195.73s]  Технология Motion Capture — это технология
[1195.73s -> 1197.73s]  По захвату движения тела,
[1197.73s -> 1199.73s]  Пальцев, мимики лица,
[1199.73s -> 1201.73s]  Которая переносит
[1201.73s -> 1203.73s]  Ваши данные
[1203.73s -> 1205.73s]  О ваших движениях
[1205.73s -> 1207.73s]  В цифровое пространство, в 3D модель.
[1207.73s -> 1209.73s]  С этой 3D моделью
[1209.73s -> 1211.73s]  Потом можно делать все, что угодно.
[1211.73s -> 1213.73s]  Можно создавать анимацию,
[1213.73s -> 1215.73s]  Создавать какие-то
[1215.73s -> 1217.73s]  Красивые ролики,
[1217.73s -> 1219.73s]  Использовать в кино
[1219.73s -> 1221.73s]  Мультипликации.
[1221.73s -> 1223.73s]  Также можно эти данные
[1223.73s -> 1225.73s]  Цифровые использовать для анализа
[1225.73s -> 1227.73s]  Движения тела.
[1227.73s -> 1229.73s]  А какие
[1229.73s -> 1231.73s]  Самые яркие мультфильмы создаются
[1231.73s -> 1233.73s]  Сейчас таким образом?
[1233.73s -> 1235.73s]  Практически все
[1235.73s -> 1237.73s]  ААА-проекты,
[1237.73s -> 1239.73s]  Высокобюджетные фильмы,
[1239.73s -> 1241.73s]  Мультфильмы,
[1241.73s -> 1243.73s]  Где используется компьютерная графика
[1243.73s -> 1245.73s]  Так или иначе,
[1245.73s -> 1247.73s]  Используют Motion Capture.
[1247.73s -> 1249.73s]  Это позволяет создать, во-первых,
[1249.73s -> 1251.73s]  Реалистичную анимацию.
[1251.73s -> 1253.73s]  И, во-вторых, сэкономить
[1253.73s -> 1255.73s]  Очень много времени
[1255.73s -> 1257.73s]  На создание этой анимации.
[1257.73s -> 1259.73s]  А если у человека
[1259.73s -> 1261.73s]  Другие пропорции, нежели
[1261.73s -> 1263.73s]  У мультяшного персонажа задумано,
[1263.73s -> 1265.73s]  Как с этим быть? Или подбирается человек
[1265.73s -> 1267.73s]  Какой-то такой специальный?
[1267.73s -> 1269.73s]  Нет, мы снимем полностью его пропорции
[1269.73s -> 1271.73s]  И они будут соответствовать
[1271.73s -> 1273.73s]  К компьютерной модели.
[1273.73s -> 1275.73s]  А правильно ли я понимаю, что движение тела
[1275.73s -> 1277.73s]  Фиксируется хорошо, а вот мимика лица
[1277.73s -> 1279.73s]  Пока в разработке?
[1279.73s -> 1281.73s]  Да, в общем
[1281.73s -> 1283.73s]  И целом можно сказать, что да,
[1283.73s -> 1285.73s]  Мимика лица сейчас в разработке,
[1285.73s -> 1287.73s]  Но сейчас уже присутствует
[1287.73s -> 1289.73s]  На рынке программы
[1289.73s -> 1291.73s]  Хорошее решение, которое
[1291.73s -> 1293.73s]  Позволяет очень четко захватить
[1293.73s -> 1295.73s]  Мимику лица. Есть совсем простые решения
[1295.73s -> 1297.73s]  Это с помощью телефона, смартфона
[1297.73s -> 1299.73s]  Практически любого
[1299.73s -> 1301.73s]  Можно
[1301.73s -> 1303.73s]  С помощью фронтальной камеры
[1303.73s -> 1305.73s]  Передавать данные. Скажите, пожалуйста,
[1305.73s -> 1307.73s]  А как быть с движениями?
[1307.73s -> 1309.73s]  Вернее, есть гуттоперчевые люди
[1309.73s -> 1311.73s]  Прям уж настолько, что с ума сойти.
[1311.73s -> 1313.73s]  Но все равно не все движения
[1313.73s -> 1315.73s]  Может сделать человек физически.
[1315.73s -> 1317.73s]  Мультфильм требует
[1317.73s -> 1319.73s]  Для того, чтобы нога вот так крутилась, коленка
[1319.73s -> 1321.73s]  Так
[1321.73s -> 1323.73s]  Это уже на постпродакшене
[1323.73s -> 1325.73s]  Это все постпродакшен
[1325.73s -> 1327.73s]  Это уже доделывается вручную. То есть основная анимация
[1327.73s -> 1329.73s]  И смысл технологии
[1329.73s -> 1331.73s]  Она позволяет
[1331.73s -> 1333.73s]  Общую анимацию захватить
[1333.73s -> 1335.73s]  А если вам нужны какие-то
[1335.73s -> 1337.73s]  Интересные повороты сюжета
[1337.73s -> 1339.73s]  Повороты колена
[1339.73s -> 1341.73s]  То это уже делается руками.
[1341.73s -> 1343.73s]  А для чего это делается захват?
[1343.73s -> 1345.73s]  Потому что у человека уникальная какая-то походка
[1345.73s -> 1347.73s]  И надо прям снять эту походку, да?
[1347.73s -> 1349.73s]  На самом деле, это актерская игра
[1349.73s -> 1351.73s]  То есть мы берем актера
[1351.73s -> 1353.73s]  Скажем, вы играете в какие-то игры
[1353.73s -> 1355.73s]  В Call of Duty, например, какая-то cut-сцена
[1355.73s -> 1357.73s]  Вот, собственно говоря, это
[1357.73s -> 1359.73s]  Полноценные актеры, которые играют
[1359.73s -> 1361.73s]  Именно непосредственно в таком костюме
[1361.73s -> 1363.73s]  Да, существует такая конкретная
[1363.73s -> 1365.73s]  Отдельная профессия. Макап актер
[1365.73s -> 1367.73s]  Это тот человек, который
[1367.73s -> 1369.73s]  С помощью своих движений выражает
[1369.73s -> 1371.73s]  Те или иные
[1371.73s -> 1373.73s]  Чувства, где создает
[1373.73s -> 1375.73s]  Красивую картину
[1375.73s -> 1377.73s]  Так, раз возник такой интерес у наших
[1377.73s -> 1379.73s]  Прекрасных музыкантов
[1379.73s -> 1381.73s]  Я хочу объявить
[1381.73s -> 1383.73s]  Свою любимую рубрику, надо сказать
[1383.73s -> 1385.73s]  Которая называется
[1385.73s -> 1387.73s]  Эксперимент! Ваши аплодисменты
[1387.73s -> 1389.73s]  Для начала
[1389.73s -> 1391.73s]  Я очень люблю эту рубрику, потому что
[1391.73s -> 1393.73s]  Я сижу
[1393.73s -> 1395.73s]  А все остальные отдуваются
[1395.73s -> 1397.73s]  За то, что придумали наши авторы
[1397.73s -> 1399.73s]  И сейчас я хочу предложить
[1399.73s -> 1401.73s]  Вам, друзья
[1401.73s -> 1403.73s]  Договориться и одного из вас делегировать
[1403.73s -> 1405.73s]  И отдать в лапы
[1405.73s -> 1407.73s]  Вот этим захватчикам
[1407.73s -> 1409.73s]  Я готов
[1409.73s -> 1411.73s]  Вместо вот этих прекрасных
[1411.73s -> 1413.73s]  Брюк наденут
[1413.73s -> 1415.73s]  Странное трико и еще что-то на пяле
[1415.73s -> 1417.73s]  Пойдем готовить
[1417.73s -> 1419.73s]  Нашего актера
[1419.73s -> 1421.73s]  Давайте аплодируем мужеству еще раз
[1421.73s -> 1426.58s]  Правила игры у нас такие
[1426.58s -> 1428.58s]  Иван
[1428.58s -> 1430.58s]  Не видит экран
[1430.58s -> 1432.58s]  Отвернулся от него
[1432.58s -> 1434.58s]  Михаил командует
[1434.58s -> 1436.58s]  Иваном
[1436.58s -> 1438.58s]  Задача Ивана
[1438.58s -> 1440.58s]  Забить мяч в ворота
[1440.58s -> 1442.58s]  Поддержим его
[1444.58s -> 1446.58s]  Он же не видит этих мячей
[1448.58s -> 1450.58s]  Я думаю, что если бы Иван не знал
[1450.58s -> 1452.58s]  Что я буду ему командовать
[1452.58s -> 1454.58s]  Знал бы изначально, что я буду командовать
[1454.58s -> 1456.58s]  В общем
[1456.58s -> 1458.58s]  Нужно подойти ближе, сделай шаг вперед
[1458.58s -> 1460.58s]  Шайбо
[1460.58s -> 1462.58s]  Чуть-чуть вправо
[1462.58s -> 1464.58s]  Развернись, вот все, правой ногой
[1464.58s -> 1466.58s]  Удар
[1466.58s -> 1470.66s]  Сюда
[1470.66s -> 1472.66s]  Подожди
[1472.66s -> 1474.66s]  Чуть слабее
[1474.66s -> 1476.66s]  Выше ворот
[1476.66s -> 1478.66s]  Такими ударами
[1478.66s -> 1480.66s]  Вань, чуть-чуть может быть
[1480.66s -> 1482.66s]  Илегатней ударить
[1482.66s -> 1484.66s]  Тут же мяч лежит
[1484.66s -> 1486.66s]  Ты сейчас прямо перед воротом
