[4.08s -> 6.08s]  Чего желаете, братан?
[352.31s -> 355.31s]  ни зоны доступа
[355.31s -> 357.31s]  любра!
[357.31s -> 359.31s]  Ни зоны доступа
[359.31s -> 364.31s]  Поэтому мы так его контролировали, говорим, давай, проходи, лучшие, а мы уже там, мы спокойно разберемся.
[364.31s -> 369.31s]  И мы также подаем, значит, они говорят, ваш обратный билет, мы говорим, что у Бориса, он уже прошел.
[369.31s -> 373.31s]  А они говорят, нет, так не пойдет, нам надо знать, что вы назад уедете.
[373.31s -> 380.31s]  Ну, говорим, мы с концертами, у нас Бельгия, Голландия, Франция, у нас много стран и не один город.
[380.31s -> 382.31s]  Ну, как бы, ну, вы посмотрите, афиши у вас есть.
[382.31s -> 386.31s]  Он говорит, пойдемте. И он забирает меня, забирает Машку, по-моему.
[386.31s -> 390.31s]  Всех четверых забирают прям туда, там все такие наши девчонки.
[390.31s -> 391.31s]  Опа!
[391.31s -> 392.31s]  Бомжики там лежат.
[392.31s -> 395.31s]  Да, такие, типа, он наш, мы такие, да, ваши.
[395.31s -> 400.31s]  Заходим в нас в компьютер и говорят, ну, показывайте, что вы за группа-то, что за коллектив.
[400.31s -> 403.31s]  А мы скажем, что мы группа. Мы говорим, город 312.
[403.31s -> 409.31s]  Я говорю, так, чтобы он понял, говорю, city, и начинаю под цифром, да, там, 3, 1, 2.
[409.31s -> 414.31s]  Он обирает так, city, 3, 1, 2, и открывается порносайт. Самый страшный.
[414.31s -> 418.31s]  Просто такой чернющий там, не знаю, там было все просто.
[418.31s -> 420.31s]  И он такой, о, порно!
[420.31s -> 423.31s]  Я говорю, но порно! Русскими.
[423.31s -> 426.31s]  И давай, Дима, помогай уже просто.
[426.31s -> 431.31s]  Потому что это было действительно, вы знаете, я одного не поняла, а почему?
[431.31s -> 436.31s]  Вот как так получилось, что именно вот английским, ну, city, город.
[436.31s -> 441.31s]  И он потом уже набрал город 312, посмотрел, что вот все наши лица, что похожи, все остальное.
[441.31s -> 443.31s]  А так, я не знаю, чем бы это все закончилось.
[443.31s -> 446.31s]  Но Боря там, наш турменеджер, он просто его колотило.
[446.31s -> 448.31s]  То, что он видит, четверых увели.
[448.31s -> 451.31s]  А ты на английском вообще исполняешь песни?
[451.31s -> 455.31s]  Мой английский, это плохой, я даже не знаю, что.
[455.31s -> 459.31s]  Ну, короче, мне потом очень долго приходится извиняться.
[459.31s -> 463.31s]  Ну, подожди, шоу в точь-точь, я вот могу к нему обратиться.
[463.31s -> 465.31s]  Ты же пела на английском языке?
[465.31s -> 466.31s]  Пела.
[466.31s -> 467.31s]  Ну, так споем.
[467.31s -> 469.31s]  Ну, у них выхода не было, им пришлось слушать.
[469.31s -> 470.31s]  Давай споем.
[470.31s -> 471.31s]  Какую?
[471.31s -> 472.31s]  Какое?
[472.31s -> 474.31s]  Шер, шер, strong enough.
[474.31s -> 475.31s]  Ладно.
[475.31s -> 476.31s]  Поехали.
[476.31s -> 479.31s]  Я же, по-моему, дам тебе поначалу, да.
[503.31s -> 509.31s]  Where did you sleep last night?
[509.31s -> 511.31s]  And was she worthy?
[511.31s -> 512.31s]  Ты вперед должен идти.
[512.31s -> 513.31s]  Не втыкайте на.
[513.31s -> 521.31s]  Was she worthy?
[521.31s -> 524.31s]  So I'm strong enough.
[524.31s -> 528.31s]  I live without you strong enough.
[528.31s -> 531.31s]  And I quit crying long enough.
[531.31s -> 535.31s]  I'm strong enough, you know.
[535.31s -> 539.31s]  You've got to go, there are more to say.
[539.31s -> 543.31s]  So set your brain and walk away.
[543.31s -> 547.31s]  No matter what I hear you say.
[547.31s -> 551.31s]  I'm strong enough, you know.
[551.31s -> 577.43s]  You've got to go, I'm strong enough.
[577.43s -> 579.43s]  Не видел у нее там русским и буквам было написано?
[579.43s -> 582.43s]  Не в транскрипции, потому, собственно, и наложало.
[582.43s -> 584.43s]  А нет, ну есть, конечно, наложало.
[584.43s -> 588.43s]  А как, очень похоже, да, скажите в пароде аплодисменты, действительно.
[588.43s -> 591.43s]  Русская Шер!
[591.43s -> 594.43s]  I'm strong enough.
[594.43s -> 596.43s]  Какую ты позицию делаешь?
[596.43s -> 598.43s]  Это делаешь Львин и Зев.
[598.43s -> 603.43s]  Она, кстати, на самом деле, если вы не знали, у Шер абсолютно нормальное произношение.
[603.43s -> 606.43s]  И в плане, оно вот так не разговаривает.
[607.43s -> 617.43s]  Она вообще первые песни, если ее найти прям совсем молоденькой, она будет абсолютно таким обычным тембром, а без вот этой вот...
[617.43s -> 622.43s]  А потом вдруг, где-то она исполнила и сказали, слушай, это фишка, и она ее оставила.
[622.43s -> 629.70s]  Это похоже, мне кажется, тембр похож у Костюшкина такой.
[629.70s -> 633.70s]  Fire, не твой fire.
[633.70s -> 635.70s]  В коме.
[636.70s -> 642.70s]  Я? Я кем только не был в этой жизни, но вот керметом я еще ни разу не был.
[642.70s -> 644.70s]  Спасибо, подруга.
[644.70s -> 646.70s]  Ты такой, типа, прикольный.
[646.70s -> 648.70s]  А нет, а Костюшкин же пел.
[648.70s -> 651.70s]  Давай, если мы про точь-точь говорим, я тоже могу пародировать.
[651.70s -> 652.70s]  Давай.
[652.70s -> 654.70s]  Помнишь, у них песня была?
[654.70s -> 660.70s]  Еще совсем малюсенькие ножки, еще совсем не ходят по дорожке.
[660.70s -> 663.70s]  И все друзья впервые замечают.
[663.70s -> 665.70s]  Ты не знаешь, не знай-ка.
[665.70s -> 667.70s]  Глаза похожи на папу.
[669.70s -> 671.70s]  А я в свое время... Подожди.
[671.70s -> 673.70s]  Давай вот ты в точь-точь еще какую-нибудь...
[673.70s -> 677.70s]  А там прекрасная песня Барбара Брыльска была, по-моему, да? Ты еще пела?
[677.70s -> 683.70s]  Ну, честно говоря, мне всегда очень стыдно говорить о том, что я, например, делала пародию.
[683.70s -> 688.70s]  Потому что, ну, кстати, Брыльскую я делала всем известную, по-моему...
[688.70s -> 691.70s]  Мне нравится, что вы больны не мной.
[691.70s -> 694.70s]  Но, если можно, вот сегодня, чтобы...
[694.70s -> 696.70s]  Мы понимаем, что мы, типа, пародируем.
[696.70s -> 699.70s]  Но я пародировать не хочу, потому что текст шикарный тоже, да?
[699.70s -> 702.70s]  Хочу спеть по улице моей, который год.
[702.70s -> 704.70s]  Вот у меня рука трясется, да?
[704.70s -> 707.70s]  А ты прямо... Я хочу, чтобы ты не сможешь присесть, неудобно тебе будет.
[707.70s -> 710.70s]  Да что ж ты меня все сажаешь? Я что, я не пойму там?
[710.70s -> 712.70s]  Что это такое? Ладно.
[712.70s -> 717.49s]  Хорошо. Отлично.
[717.49s -> 720.49s]  Мне телефон, зараза, выключается.
[720.49s -> 722.49s]  Я себе такие подмошки по текстам...
[722.49s -> 725.49s]  Знаю, по идее. Ну так, буду подглядывать.
[725.49s -> 727.49s]  Так, начнем вместе.
[727.49s -> 730.49s]  Иди ко мне, мой кукустик.
[730.49s -> 733.49s]  Ах, ты такой же, как я!
[733.49s -> 736.49s]  Я пошел.
[736.49s -> 737.49s]  Ну что?
[737.49s -> 740.49s]  Вот мы выяснили все про Сергея Савина.
[742.49s -> 747.49s]  По улице моей, который год.
[747.49s -> 754.49s]  Звучат шаги, мои друзья уходят.
[754.49s -> 761.49s]  Друзей моих медлительный уход,
[761.49s -> 767.49s]  Той темноте за окнами угоден.
[767.49s -> 771.49s]  У одиночества, как твой характер крут,
[771.49s -> 775.49s]  Посверкивает циркулем железным,
[775.49s -> 779.49s]  Как холодно ты замыкаешь круг,
[779.49s -> 784.49s]  Не внем ли уверением бесполезным.
[784.49s -> 789.49s]  Дай стать на цыпочке в твоем лесу,
[789.49s -> 796.49s]  На том конце замедленного жеста.
[796.49s -> 803.49s]  Найти листву и поднести к лицу,
[803.49s -> 809.49s]  И ощутить сиротство как блаженство.
[809.49s -> 813.49s]  Даруй мне тиш твоих библиотек,
[813.49s -> 817.49s]  Твоих концертов строгие мотивы,
[817.49s -> 821.49s]  И мудрая я позабуду тех,
[821.49s -> 827.49s]  Кто умерли или досели живы.
[827.49s -> 832.49s]  Я познаю мудрость и печаль
[832.49s -> 837.49s]  Свой тайный смысл доверят мне предметы.
[837.49s -> 843.49s]  Природа, прислонясь к моим плечам,
[843.49s -> 851.49s]  Объят свои детские секреты.
[851.49s -> 858.49s]  И вот тогда и слез, и с темноты
[858.49s -> 861.49s]  Из бедного невежества былого
[861.49s -> 868.49s]  Друзей моих прекрасные черты
[868.49s -> 873.49s]  Появятся и растворятся снова
[873.49s -> 881.49s]  Друзей моих прекрасные черты
[881.49s -> 887.49s]  Появятся и растворятся
[888.49s -> 890.49s]  снова
[891.49s -> 895.76s]  Спасибо
[895.76s -> 897.76s]  Душевно!
[897.76s -> 904.42s]  А я бы сейчас лцы наклеил бы и не знаю, что пел бы.
[904.42s -> 906.42s]  А я иду...
[907.42s -> 908.42s]  Кстати, ты тоже.
[908.42s -> 911.42s]  А, я же хотела же рассказать.
[911.42s -> 913.42s]  Давай ты ее чуть-чуть спой хотя бы, чтоб мы...
[913.42s -> 914.42s]  Что ж мне кажется получится?
[914.42s -> 916.42s]  А я...
[916.42s -> 917.42s]  Ну, Мажор!
[917.42s -> 925.42s]  А я иду, шагаю по Москве, И я пройти еще смогу.
[925.42s -> 932.42s]  Холодный дикий океан И тонрует тайку.
[932.42s -> 939.42s]  Под лодкой белый парус распущу, Пока не знаю с кем.
[939.42s -> 946.42s]  А если я потом закручу пиалку, Я под ней, мама, и приколков сломался.
[946.42s -> 949.42s]  Помню о Москве.
[970.42s -> 971.42s]  Это...
[971.42s -> 973.42s]  Можно я сначала историю расскажу?
[973.42s -> 974.42s]  Да, конечно.
[974.42s -> 977.42s]  Про переделку песен, концерт какой-то.
[977.42s -> 979.42s]  Да, я себе просто даю возможность отдышаться.
[979.42s -> 982.42s]  Короче, площадь, очень много народу.
[982.42s -> 985.42s]  У нас, значит, у каждого, если вы видите, вот, называется НР.
[985.42s -> 988.42s]  Но у меня сейчас простой наушник, а так у нас профессиональный наш НР.
[988.42s -> 992.42s]  И мы иногда друг друга настраиваем для того, чтобы, например, либо переговариваться,
[992.42s -> 995.42s]  либо для того, чтобы ориентироваться легче.
[995.42s -> 997.42s]  Вот кто-то себе какой-то инструмент настраивает.
[997.42s -> 1001.42s]  Вот у меня всегда в ухе, например, Дима, потому что я гармонию должна слышать.
[1001.42s -> 1003.42s]  И...
[1003.42s -> 1005.42s]  И чуть-чуть баса.
[1005.42s -> 1006.42s]  Значит, начало.
[1006.42s -> 1009.42s]  Как правило, мы выходим, типа Дима начинает играть.
[1009.42s -> 1010.42s]  Да.
[1010.42s -> 1012.42s]  Всё просто получается.
[1012.42s -> 1014.42s]  Я начинаю, да, там-там-там-там.
[1014.42s -> 1017.42s]  И пока мы медленно, мы тем самым настраиваем чуть-чуть звук.
[1017.42s -> 1022.42s]  У нас звукорежиссёр примерно понимает, как звук изменился, когда публика уже собралась и так далее.
[1022.42s -> 1026.42s]  И мы понимаем, слышим, и что у нас басист не готов.
[1026.42s -> 1027.42s]  Он начинает кипишить.
[1027.42s -> 1030.42s]  Он там что-то около комбика, он что-то там втыкает.
[1030.42s -> 1031.42s]  Втыкает.
[1031.42s -> 1035.42s]  И у меня, я слышу голос Ника, он такой...
[1035.42s -> 1038.42s]  Всё плохо получайся.
[1038.42s -> 1040.42s]  Бас-гитара не включайся.
[1040.42s -> 1044.42s]  А вступление кончайся.
[1044.42s -> 1046.42s]  И в это время бас включается, надо петь.
[1046.42s -> 1049.42s]  У меня вот этот текст стоит вот здесь.
[1049.42s -> 1052.42s]  Думала, ты зараза вообще.
[1052.42s -> 1054.42s]  Причём таким голосом, мирским-мирским.
[1054.42s -> 1057.42s]  И так вот он это всё спил.
[1057.42s -> 1059.42s]  Вот так что такая история про период детства.
[1059.42s -> 1062.42s]  Я знаю, у меня есть песня, когда называется «Новый день».
[1062.42s -> 1065.42s]  Мы там поём «А помнишь детство и тот старый двор,
[1065.42s -> 1067.42s]  где мы с тобой вдвоём за руку идём».
[1067.42s -> 1070.42s]  Что придумали Алексей и Сергей.
[1070.42s -> 1074.42s]  Я выхожу и говорю, знаете, сейчас пою песни, которые я безумно обожаю.
[1074.42s -> 1076.42s]  И я не могу, я всё время собираюсь.
[1076.42s -> 1078.42s]  Для меня это лирическая композиция.
[1079.42s -> 1082.42s]  А помнишь детство и тот старый двор,
[1082.42s -> 1085.42s]  где мы с тобой вдвоём эти за луком идём.
[1085.42s -> 1087.42s]  За луком идём.
[1087.42s -> 1089.42s]  И ты представляешь, мне дальше про свадьбу петь,
[1089.42s -> 1092.42s]  а у меня...
[1092.42s -> 1095.42s]  Ну тоже, кстати, опасное сочетание слов.
[1095.42s -> 1097.42s]  Такие моменты есть, ребята подставляют.
[1097.42s -> 1099.42s]  Им-то весело, а нам-то петь.
[1099.42s -> 1101.42s]  Давайте стиль попробуем спеть.
[1101.42s -> 1103.42s]  Завершим мы разговор о проекте.
[1103.42s -> 1105.42s]  Я сразу говорю.
[1105.42s -> 1107.42s]  Великолепно выступала Ая.
[1107.42s -> 1111.42s]  У меня за, скажем так, комментариями под какими-то выступлениями
[1111.42s -> 1115.42s]  следят больше близкие или наши постоянные слушатели.
[1115.42s -> 1118.42s]  Они говорят там вот это и начинают меня защищать там.
[1118.42s -> 1121.42s]  Да вы вообще молчите, она там у нас крутая там, то есть всё.
[1121.42s -> 1123.42s]  Ну то есть у меня такая армия хорошая, конечно.
[1123.42s -> 1126.42s]  Вот, любят прям вот ни за что.
[1126.42s -> 1129.42s]  И я знаю, что вот после этой песни,
[1129.42s -> 1131.42s]  я так понимаю, в комментариях канала,
[1131.42s -> 1133.42s]  на котором проходила точь-в-точь,
[1133.42s -> 1136.42s]  писали «Господи, что у неё вообще во рту,
[1136.42s -> 1138.42s]  когда она исполняла эту песню?»
[1138.42s -> 1140.42s]  Сейчас я вам покажу.
[1140.42s -> 1142.42s]  Что у меня во рту.
[1142.42s -> 1144.42s]  Не лопнуть бы.
[1146.42s -> 1151.97s]  Я сразу вспоминаю.
[1254.80s -> 1256.80s]  Я сразу вспоминаю.
[1256.80s -> 1258.80s]  Не лопнуть бы.
[1258.80s -> 1264.16s]  Я сразу вспоминаю.
[1264.16s -> 1266.16s]  Не лопнуть бы.
[1266.16s -> 1268.16s]  Гроза, gender, gendered.
[1268.16s -> 1270.16s]  Не лопнуть бы.
[1276.16s -> 1278.16s]  Нет.
[1278.16s -> 1280.16s]  И что у меня?
[1280.16s -> 1282.16s]  Гроза, gendered.
[1282.16s -> 1284.16s]  Не лопнуть бы.
[1284.16s -> 1286.16s]  Гроза, gendered.
[1286.16s -> 1311.16s]  Ура, наконец-то. Я тут тоже есть. Есть такая девочка классная, она живет в Питере сейчас, Маша Кравцова, и вот нам попала ее песня, нам очень редко что подходит из-под пера чужих авторов, потому что мы с вами пишем, и тут нам показал очень хороший человек, говорит, посмотрите песня, просто класс, и мы ее адаптировали очень сильно под себя, потому что когда Саша услышала, ты сказала, что это вообще ваша, да?
[1311.16s -> 1314.16s]  Это прям нотки, мелодия, прям то, что вы делаете, это прям ваша.
[1314.16s -> 1327.16s]  Она была чуть-чуть другая, и текст поменяли, и поменяли немножко гармонию, припев придумали, но вообще без Маши Кравцовой эта песня бы не родилась, поэтому Машенька, где ты сейчас в Питере, спасибо тебе большое.
[1327.16s -> 1329.16s]  То есть вам песни присылают, и вы вот таким образом нашли эту песню?
[1329.16s -> 1340.16s]  Ну, мы этим пользуемся очень редко, потому что, как правило, все время так получается, что нам свои-то надо каким-то образом показывать, а тут раз не смогли отказаться.
[1340.16s -> 1349.16s]  Кстати, у нас так же точно произошло, еще появилась еще одна песня в нашем альбоме, написанная не нами, она была написана, мы, кстати, у тебя в Музловке ее исполняли, Игорь Матвеенко.
[1349.16s -> 1356.16s]  Впервые мы взяли песню Игоря Матвеенко в свой репертуар, он просто показал, говорит, мне кажется, она на вас похожа, она пипец как похожа.
[1357.16s -> 1365.16s]  Нет, хуже. Брадуня. Нет, здесь и сейчас, мы альбом так назвали тоже.
[1365.16s -> 1370.16s]  Вы можете здесь и сейчас исполнить песню, которая называется «Люди, которых нет».
[1370.16s -> 1377.60s]  Да, я ее очень люблю, не знаю, мне прям так нравится, еще труба.
[1396.89s -> 1408.03s]  Люди, которых нет, странники с невидимых планет.
[1408.03s -> 1425.86s]  И была бы цель заморочиться про предательство, одиночество, это так легко, если очень хочется.
[1425.86s -> 1437.86s]  Не хотел, не смог, тысячи причин, душу назамок, потеря ключи, ты не узнаешь ее из тысячи.
[1437.86s -> 1450.86s]  В тесноте от себя тайком, в тишине от других двойне, а в горле точка ком, в счастье точка нет.
[1450.86s -> 1465.86s]  Время по проводам, капает, как голая вода, слишком много, некому отдать.
[1465.86s -> 1485.33s]  Заточение, без понятия, пропрощение и принятие, как найти себя, как тебе обнять ее.
[1485.33s -> 1493.86s]  Позабыть про то, что не было.
[1493.86s -> 1505.86s]  Заточение, без понятия, пропрощение и принятие, как найти себя, как тебе обнять ее.
[1505.86s -> 1513.86s]  Позабыть про стыд, пару слов про стыд, но глаза бусты, в темноте застыл.
[1513.86s -> 1528.86s]  В тесноте от себя тайком, в тишине от других двойне, а в горле точка ком, в счастье точка нет.
[1528.86s -> 1540.86s]  От себя тайком, от других двойне, а в горле точка ком, в счастье точка нет.
[1540.86s -> 1577.95s]  В тесноте от себя тайком, в тишине от других двойне, а в горле точка ком, в счастье точка нет.
[1577.95s -> 1601.98s]  От себя тайком, от других двойне, а в горле точка ком, в счастье точка нет.
[1601.98s -> 1602.98s]  Браво!
[1602.98s -> 1616.94s]  Есть песня «Сокол», ты говоришь, что она для мужчин. Почему?
[1616.94s -> 1620.94s]  Потому что изначально, вообще, этой песне, на самом деле, очень много лет.
[1620.94s -> 1625.94s]  Она была написана еще, когда ребята жили в Киргизии и играли в группе «Аян».
[1625.94s -> 1629.94s]  И у них был мальчик-вокалист «Телектоктоналиф».
[1629.94s -> 1632.94s]  Он сумасшедше поет, он такой фирмач такой.
[1632.94s -> 1634.94s]  И она такая была, действительно, мужская.
[1634.94s -> 1640.94s]  Но когда я ее исполняю, я понимаю, что во мне вот той самой энергетики мужской
[1640.94s -> 1643.94s]  не столько, сколько, например, было в «Телеке» или в «Ребятах»,
[1643.94s -> 1645.94s]  например, когда они записывали эту песню.
[1645.94s -> 1647.94s]  Но я могу ее посвятить мужчинам.
[1647.94s -> 1651.94s]  Потому что, мне кажется, именно вот эта огненность, драйвовость такая,
[1651.94s -> 1656.94s]  она все-таки присуща, скажем так, мужскому заряду. Вот так.
[1656.94s -> 1659.94s]  А есть кто в зале сидит и говорит «я вот не сокол, я орел»?
[1661.94s -> 1664.94s]  Ну, ты знаешь, это, в принципе, неплохо. И Беркут неплохо, да?
[1664.94s -> 1667.94s]  В принципе, воробить тоже неплохо, когда обижает его самочку.
[1667.94s -> 1672.94s]  Поэтому, в принципе, неважно. Главное, да, главное, чтобы и мужик, короче.
[1673.94s -> 1675.94s]  Сова. Мне на «А», да, Сергей, или что?
[1676.94s -> 1678.94s]  Спасибо, что вы включились в наш разговор.
[1678.94s -> 1679.94s]  А совага из конца, кто сов?
[1680.94s -> 1682.94s]  Сова. Давайте «Сокол» споем.
[1682.94s -> 1683.94s]  Come on, сова.
[1684.94s -> 1685.94s]  Понеслась?
[1685.94s -> 1686.94s]  Понеслась.
[1687.94s -> 1709.64s]  Еще раз.
[1713.64s -> 1717.04s]  Полдвухтысячный.
[1718.04s -> 1723.48s]  Над землей высока Кружит белый сокол
[1725.48s -> 1731.48s]  Высшей горной кручи Разгоняя тучи
[1733.48s -> 1739.48s]  На ветру растет ныне Солнце мог поленый
[1740.48s -> 1746.48s]  Он раскинул крылья Над дорожной пылею
[1747.48s -> 1751.48s]  Рубко не взял остаток Дарей пель
[1751.48s -> 1755.48s]  Вебровый калитат так высоко
[1755.48s -> 1760.48s]  Эвгинца в это просто И легко там в небе
[1763.48s -> 1766.48s]  Рубко не взял остаток Дарей пель
[1767.48s -> 1770.48s]  Вебровый калитат так высоко
[1770.48s -> 1776.48s]  А птица – это просто переход в небе.
[1778.48s -> 1781.48s]  Всё, как на ладони,
[1782.48s -> 1785.48s]  Ветер не догонит,
[1786.48s -> 1789.48s]  Крылья не узнанут,
[1790.48s -> 1793.48s]  Речи только станут.
[1794.48s -> 1797.48s]  Мне ха-сла на птице,
[1797.48s -> 1800.48s]  Мне покурно птице.
[1801.48s -> 1803.48s]  Ей одна дорога,
[1803.48s -> 1808.30s]  Там же лева много.
[1809.30s -> 1811.30s]  Руку нельзя раздаст,
[1811.30s -> 1813.30s]  Который ход
[1813.30s -> 1815.30s]  В обрывы, когда
[1815.30s -> 1817.30s]  Вся кусоку.
[1817.30s -> 1822.30s]  А птица – это просто переход в небе.
[1824.30s -> 1826.30s]  Руку нельзя настал,
[1826.30s -> 1827.30s]  Который ход
[1827.30s -> 1830.45s]  В обрывы, когда
[1830.45s -> 1832.45s]  Вся кусоку.
[1832.45s -> 1837.45s]  А птица – это просто переход в небе.
[1871.68s -> 1872.68s]  Руку нельзя настал,
[1872.68s -> 1873.68s]  Который ход
[1873.68s -> 1877.76s]  В обрывы, когда
[1877.76s -> 1878.76s]  Вся кусоку.
[1878.76s -> 1900.76s]  А птица – это просто переход в небе.
[1923.41s -> 1925.41s]  Это тяжёлая нефть, что ли, её называют.
[1925.41s -> 1927.41s]  В общем, она густая такая.
[1927.41s -> 1930.41s]  И очень такой городок маленький.
[1930.41s -> 1933.41s]  И площадь – это сцена небольшая,
[1933.41s -> 1935.41s]  которая украшена шариками.
[1935.41s -> 1937.41s]  И почему-то сбоку от площади
[1937.41s -> 1940.41s]  слева стоит большое умершее дерево.
[1940.41s -> 1941.41s]  Оно ещё обрезанное.
[1941.41s -> 1943.41s]  Такой столб такой.
[1943.41s -> 1945.41s]  Который с корнями.
[1945.41s -> 1946.41s]  Но столб.
[1946.41s -> 1947.41s]  И он гладкий.
[1947.41s -> 1949.41s]  И вот весь концерт, какой-то мужик,
[1949.41s -> 1951.41s]  вот так по столбу, я думаю,
[1951.41s -> 1952.41s]  поднимается,
[1952.41s -> 1953.41s]  съезжает.
[1953.41s -> 1955.41s]  То есть ему, может, хотелось
[1955.41s -> 1956.41s]  посмотреть получше.
[1956.41s -> 1957.41s]  Не знаю.
[1957.41s -> 1959.41s]  Но весь концерт вот это, я уже думаю, миленький.
[1959.41s -> 1961.41s]  Где бы ты там чем-нибудь бы уже зацепился?
[1961.41s -> 1963.41s]  И уже досмотрел этот концерт.
[1963.41s -> 1965.41s]  Заканчивается концерт.
[1965.41s -> 1966.41s]  И мы уже уехали.
[1966.41s -> 1967.41s]  Ник рассказывает.
[1967.41s -> 1969.41s]  Барабанщик, который вечно последний
[1969.41s -> 1970.41s]  собирает свои барабаны.
[1970.41s -> 1971.41s]  И он говорит, сижу,
[1971.41s -> 1973.41s]  подходит этот чувак, который ползал.
[1973.41s -> 1974.41s]  По столбу такой подходит.
[1974.41s -> 1976.41s]  А шарики уже разобрали все практически.
[1976.41s -> 1978.41s]  Там пара шариков осталось.
[1978.41s -> 1979.41s]  В районе Ника.
[1979.41s -> 1981.41s]  Туда они рисковали подходить.
[1981.41s -> 1983.41s]  Он так подходит и говорит,
[1983.41s -> 1984.41s]  где Ая?
[1984.41s -> 1985.41s]  Он говорит, ну, уехала.
[1985.41s -> 1986.41s]  Ее везли.
[1986.41s -> 1987.41s]  Она в гримерке.
[1987.41s -> 1988.41s]  А у тебя телефон Ая есть?
[1988.41s -> 1989.41s]  Он говорит, ну, есть.
[1989.41s -> 1990.41s]  Отдай.
[1990.41s -> 1992.41s]  Он говорит, зачем тебе?
[1992.41s -> 1994.41s]  А я ей позвоню и скажу, а ты где?
[1997.41s -> 1998.41s]  Он говорит, не дам.
[1998.41s -> 2000.41s]  Он говорит, так на шарик.
[2003.41s -> 2004.41s]  И вот таких случаев.
[2004.41s -> 2006.41s]  А про Леньку расскажи про бабулечку,
[2006.41s -> 2007.41s]  которая тоже у нас там.
[2007.41s -> 2008.41s]  Клип, съемка клипа.
[2008.41s -> 2009.41s]  Клип снимали.
[2009.41s -> 2010.41s]  Так все.
[2010.41s -> 2011.41s]  Люди там в парке.
[2011.41s -> 2012.41s]  По красивый парк.
[2012.41s -> 2013.41s]  Мы играем.
[2013.41s -> 2014.41s]  Так все.
[2014.41s -> 2015.41s]  Камеры летают.
[2015.41s -> 2017.41s]  Называется песня «Невероятный день».
[2017.41s -> 2018.41s]  Кто-то, может, видел ее.
[2018.41s -> 2019.41s]  Да?
[2019.41s -> 2020.41s]  Про день рождения.
[2020.41s -> 2021.41s]  И мы-то поем там все.
[2021.41s -> 2023.41s]  Мы, знаете, мы работаем на камеры.
[2023.41s -> 2024.41s]  Мы поем в своем.
[2024.41s -> 2025.41s]  Мы там в этом настроении.
