[0.43s -> 11.07s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[921.38s -> 923.38s]  Продано номер 16
[923.38s -> 925.38s]  Съесть все, все
[925.38s -> 927.38s]  Все токсичные отходы
[927.38s -> 929.38s]  В Западной Европе, тем самым как бы
[929.38s -> 931.38s]  Сделает мир чище
[931.38s -> 933.38s]  Прошу приступить к выполнению ставки
[933.38s -> 935.38s]  Идите к нам сюда
[935.38s -> 937.38s]  Итак, вот, Базель, как же вас зовут?
[937.38s -> 939.38s]  Мы хотим знать героев лицо
[939.38s -> 941.38s]  Меня зовут Альбина
[941.38s -> 943.38s]  И сразу у меня вопрос
[943.38s -> 945.38s]  Если я по пути умру, можно ей доедать?
[945.38s -> 947.38s]  Я надеюсь все-таки, что вы не должны умереть по пути
[947.38s -> 949.38s]  Альбина, давайте, засыпайте
[949.38s -> 951.38s]  Все в рот
[951.38s -> 953.38s]  Честно говоря, я не знаю, какой эффект они должны быть
[953.38s -> 955.38s]  Я думаю, что они все не влезут в рот
[955.38s -> 957.38s]  Вот и проверим
[957.38s -> 959.38s]  Мы знаем, что у вас большие возможности
[959.38s -> 961.38s]  Раз, два, три
[961.38s -> 963.38s]  Четыре
[963.38s -> 965.38s]  Пять
[965.38s -> 967.38s]  Шесть
[967.38s -> 969.38s]  Семь
[969.38s -> 971.38s]  Восемь
[971.38s -> 973.38s]  Давай-давай-давай
[973.38s -> 975.38s]  Восемь, супер
[975.38s -> 977.38s]  Ты потом их тут на потом выпьешь
[977.38s -> 979.38s]  Ты сказала все
[979.38s -> 981.38s]  Поехали, поехали, восемь
[981.38s -> 983.38s]  Девять
[985.38s -> 987.38s]  Десять
[987.38s -> 989.38s]  Одиннадцать
[989.38s -> 991.38s]  Кислые, да?
[991.38s -> 993.38s]  Ну, видишь, как здорово
[993.38s -> 995.38s]  Чтоб жизнь медом не казалась
[995.38s -> 1001.58s]  Давай, двенадцать
[1001.58s -> 1005.66s]  Тринадцать
[1007.66s -> 1009.66s]  Хорошо
[1009.66s -> 1011.66s]  Четырнадцать
[1011.66s -> 1013.66s]  Четырнадцать
[1013.66s -> 1015.66s]  Молодец
[1015.66s -> 1017.66s]  Что там, как по кислушке у нас все?
[1017.66s -> 1019.66s]  Кислотно-челочной баланс
[1019.66s -> 1021.66s]  Нормы у нас? Нет?
[1021.66s -> 1023.66s]  Давай, накидывай быстрее
[1023.66s -> 1025.66s]  Получишь приз и все, и потом будешь выплевывать
[1025.66s -> 1027.66s]  Ты сама же себе хуже делаешь
[1029.66s -> 1031.66s]  Ты сама сказала, все, готово
[1031.66s -> 1033.66s]  Давай, двадцать делаешь
[1033.66s -> 1035.66s]  Восемнадцать
[1035.66s -> 1037.66s]  Девятнадцать
[1037.66s -> 1039.66s]  Двадцать
[1039.66s -> 1043.35s]  Друзья
[1043.35s -> 1045.35s]  Мы хотим знать, что это действительно кисло что-то
[1045.35s -> 1047.35s]  Давай, можешь туда
[1049.35s -> 1051.35s]  Аппарат дал
[1051.35s -> 1053.35s]  Джекпот
[1053.35s -> 1055.35s]  Невероятно, как дела, как чувствуешься?
[1055.35s -> 1057.35s]  Кислое, правда кислое?
[1057.35s -> 1059.35s]  Сначала первые конфетки три, я думала, фигня какая
[1059.35s -> 1061.35s]  Потом как-то накопительным эффектом пошел
[1061.35s -> 1063.35s]  И кислость стала
[1063.35s -> 1065.35s]  Остротой
[1065.35s -> 1067.35s]  Кислость стала от остротой даже?
[1067.35s -> 1069.35s]  Да
[1069.35s -> 1071.35s]  Видимо жжет из-за того, что кисло
[1071.35s -> 1073.35s]  Весь рот жжет
[1073.35s -> 1075.35s]  Очень невкусно
[1075.35s -> 1077.35s]  Отлично, ну и поэтому
[1077.35s -> 1079.35s]  Лот номер два достается именно тебе
[1079.35s -> 1081.35s]  Дайте аплодисменты
[1081.35s -> 1083.35s]  Поздравления
[1083.35s -> 1085.35s]  То есть тебе аромат очень сильно понравится
[1085.35s -> 1087.35s]  И придется по духу
[1087.35s -> 1089.35s]  Смотрите, более он вообще даже целый
[1089.35s -> 1091.35s]  Итак, друзья, это шоу-аукцион
[1091.35s -> 1093.35s]  Мы переходим к лоту номер три
[1093.35s -> 1095.35s]  Итак
[1095.35s -> 1097.35s]  Аргистра, скажите пожалуйста
[1097.35s -> 1099.35s]  Это очень уникальный аромат
[1099.35s -> 1101.35s]  Я его приобрела в Париже
[1104.86s -> 1106.86s]  Из столицы можно сказать ароматов
[1106.86s -> 1108.86s]  Да
[1108.86s -> 1110.86s]  Священник встречался с
[1110.86s -> 1112.86s]  Бедной
[1112.86s -> 1114.86s]  Не христиан, это католическая
[1114.86s -> 1116.86s]  Да, католическая история
[1116.86s -> 1118.86s]  Они встречались где-то в каком-то саду
[1118.86s -> 1120.86s]  Совершенно тайно
[1120.86s -> 1122.86s]  И вот от этого возник вот этот
[1122.86s -> 1124.86s]  Самый, значит, аромат у человека
[1124.86s -> 1126.86s]  Который его создавал
[1126.86s -> 1128.86s]  Очень интересный аромат
[1128.86s -> 1130.86s]  Но тоже
[1130.86s -> 1132.86s]  Он очень сильный
[1132.86s -> 1134.86s]  И им злоупотреблять ни в коем случае нельзя
[1134.86s -> 1136.86s]  Но мне кажется, что это больше
[1136.86s -> 1138.86s]  Подходит для таких нежных
[1138.86s -> 1140.86s]  Непорочных девушек
[1140.86s -> 1142.86s]  Если вы не порочна
[1142.86s -> 1144.86s]  И хотите встретить своего маркиза в саду
[1144.86s -> 1146.86s]  То это плод
[1146.86s -> 1148.86s]  По секрету
[1148.86s -> 1150.86s]  Могу предположить, скорее всего, милые дамы
[1150.86s -> 1152.86s]  Хотя и мужчины
[1152.86s -> 1154.86s]  Наверное, тоже могут заполучить
[1154.86s -> 1156.86s]  Его личное пользование
[1156.86s -> 1158.86s]  И подарить его своей девушке
[1158.86s -> 1160.86s]  Так, скажите пожалуйста, аромат из Парижа
[1160.86s -> 1162.86s]  Аромат из Парижа
[1162.86s -> 1164.86s]  Он примерно сколько денег у него есть
[1164.86s -> 1166.86s]  Эквивалент денежный
[1166.86s -> 1168.86s]  Ну да, он примерно стоит 300 евро
[1168.86s -> 1170.86s]  300 евро
[1170.86s -> 1172.86s]  Немного не мало
[1172.86s -> 1174.86s]  Цена следующего лота
[1174.86s -> 1176.86s]  Поэтому будьте добры
[1176.86s -> 1178.86s]  Принести мне
[1178.86s -> 1180.86s]  Следующий усложнитель
[1182.86s -> 1184.86s]  Мне уже страшно
[1184.86s -> 1186.86s]  Становится
[1186.86s -> 1188.86s]  Друзья, это
[1188.86s -> 1192.55s]  На самом деле что?
[1196.55s -> 1198.55s]  Это апеллятор
[1198.55s -> 1200.55s]  Поэтому все
[1200.55s -> 1202.55s]  Бородатые женщины
[1202.55s -> 1204.55s]  На что вы готовы
[1204.55s -> 1206.55s]  Дамы заполучить лот номер 3
[1206.55s -> 1208.55s]  Своё личное пользование
[1208.55s -> 1210.55s]  И быть обладательницей
[1210.55s -> 1212.55s]  Непорочного запаха
[1212.55s -> 1214.55s]  Итак, делайте ваши ставки, друзья
[1214.55s -> 1216.55s]  Лот номер 18
[1216.55s -> 1218.55s]  Если возможно
[1218.55s -> 1220.55s]  То затылок
[1220.55s -> 1222.55s]  Затылок?
[1222.55s -> 1224.55s]  У меня просто есть уже короткий
[1224.55s -> 1226.55s]  У тебя есть затылок?
[1226.55s -> 1228.55s]  Короткий волос
[1228.55s -> 1230.55s]  Ты хочешь его подбрить?
[1230.55s -> 1232.55s]  Да
[1232.55s -> 1234.55s]  Что это болючая штучка?
