[0.11s -> 2.11s]  Шляпа
[109.44s -> 111.44s]  с ней же орел наплечел, волки какие-то
[111.44s -> 113.44s]  в пустыне, *****, на *****.
[113.44s -> 115.44s]  На *****, на.
[115.44s -> 117.44s]  Попросили какую-то активную женщину,
[117.44s -> 119.44s]  которая снимает какие-то приколы, вот у нас где-то ресторан открылся,
[119.44s -> 121.44s]  и наконец не показывал, чей ханав сызаный.
[121.44s -> 123.44s]  Ну что, нет, это аппетит.
[123.44s -> 125.44s]  Не шляпа, это не шляпа, это смешно, резко и неожиданно.
[125.44s -> 127.44s]  На что
[127.44s -> 129.44s]  это шляпа?
[131.44s -> 133.44s]  От моих подписчиков.
[135.44s -> 156.61s]  Это очень весело.
[156.61s -> 158.61s]  Это очень весело.
[158.61s -> 160.61s]  Картинка, конечно, за счет.
[160.61s -> 162.61s]  Конечно, что он снизу, это полная шляпа.
[162.61s -> 164.61s]  Получилось, но видоса нет.
[164.61s -> 166.61s]  Ну ты подожди.
[166.61s -> 168.61s]  Ты строг не суди.
[168.61s -> 170.61s]  Ты посмотри какая.
[170.61s -> 172.61s]  Смотри, Макс, это можно, кстати, снять.
[172.61s -> 174.61s]  Теперь и мне.
[174.61s -> 176.61s]  Пожалуй, я тоже сниму вот прям такой же.
[178.61s -> 180.61s]  Это просто, уважали,
[180.61s -> 182.61s]  я считаю, что нужно вести рубрику
[182.61s -> 184.61s]  лучшей видос-передачи.
[184.61s -> 186.61s]  Не, это не шляпа.
[186.61s -> 188.61s]  Когда неожидан, тогда неожидан.
[188.61s -> 190.61s]  Да, это прикольно.
[192.61s -> 194.61s]  Видео от Андрюхи номер два.
[196.61s -> 198.61s]  Ммм.
[198.61s -> 201.92s]  Ха-ха-ха.
[201.92s -> 203.92s]  Ха-ха-ха.
[203.92s -> 205.92s]  Ха-ха-ха.
[205.92s -> 207.92s]  Ха-ха-ха.
[207.92s -> 209.92s]  Воистину.
[209.92s -> 211.92s]  Макс, тут еще тебя нет.
[211.92s -> 213.92s]  Нет, я следующий.
[213.92s -> 215.92s]  Поговаривайте о 8 переломах.
[215.92s -> 217.92s]  Туалет видео сейчас в сезон. Простуды.
[217.92s -> 219.92s]  Мне кажется, сейчас еще можно
[219.92s -> 221.92s]  нарезку делать здесь.
[221.92s -> 223.92s]  Апчхи, корабль утонул.
[223.92s -> 225.92s]  Апчхи, метеорит в землю.
[225.92s -> 227.92s]  Бам.
[227.92s -> 229.92s]  Апчхи,
[229.92s -> 231.92s]  и резко в Хабаровске
[231.92s -> 233.92s]  обрушилась деталь ташка новости.
[233.92s -> 235.92s]  Ну, креативник.
[235.92s -> 237.92s]  Монтаж есть. Монтаж есть.
[237.92s -> 239.92s]  Юмор есть. Юмор есть.
[239.92s -> 241.92s]  Освобождаемая тема. Да.
[241.92s -> 243.92s]  Кисель был. Не, Андрюх, зачет.
[243.92s -> 245.92s]  Это видео не шляпа.
[245.92s -> 247.92s]  Видео от Максима Назарова
[247.92s -> 249.92s]  и от его подписчиков.
[249.92s -> 251.92s]  Я ваша ведущая. Зовут меня
[251.92s -> 253.92s]  Троиста Булгакова.
[253.92s -> 255.92s]  Ну хоть раз, если вы гуляли
[255.92s -> 257.92s]  у меня на празднике, то так
[257.92s -> 259.92s]  вы меня уже не называете.
[259.92s -> 261.92s]  Для своих я просто
[261.92s -> 263.92s]  девочка рая.
[277.92s -> 279.92s]  *****, мне бы страшно
[279.92s -> 281.92s]  в этом мероприятии, я отвечаю.
[281.92s -> 283.92s]  Надо признать, что девчонка работает.
[283.92s -> 285.92s]  Мне кажется, она за четыре с половиной часа
[285.92s -> 287.92s]  ****** просто.
[287.92s -> 289.92s]  За четыре с половиной часа за
[289.92s -> 291.92s]  четыре с половиной тысячи. Да.
[291.92s -> 293.92s]  А у нее там еще Сергей за ноутбуком.
[293.92s -> 295.92s]  Ленова хочу заметить, я уже отсюда
[295.92s -> 297.92s]  вижу, что это Ленова. Человек видно,
[297.92s -> 299.92s]  что и любит свою профессию, потому что я
[299.92s -> 301.92s]  вот так не смог бы раскрепоститься.
[301.92s -> 303.92s]  Ну, как видос, как контент.
[303.92s -> 305.92s]  Шляпа, да? Шляпа.
[305.92s -> 307.92s]  Ну, а девушки этой удачи
[307.92s -> 309.92s]  в их нелегком поприще
[309.92s -> 311.92s]  в эти сложные времена.
[311.92s -> 313.92s]  И танцуют, пока молодая
[313.92s -> 315.92s]  девочка рая.
[315.92s -> 317.92s]  Надейте на нее, надейте.
[319.92s -> 321.92s]  Смотрите, вот такие прям присылайте.
[334.11s -> 336.11s]  Коротенько, четко, смешно.
[336.11s -> 338.11s]  Стойте, стойте.
[338.11s -> 340.11s]  Вот эти всегда
[340.11s -> 342.11s]  все тут и фоны, и картинка.
[342.11s -> 344.11s]  Круто, круто.
[344.11s -> 346.11s]  Посмотри, во-первых, что?
[346.11s -> 348.11s]  По фонам. Ну, красиво.
[348.11s -> 350.11s]  Красиво. Задумка, обманка.
[350.11s -> 352.11s]  Юмор у пацанов.
[352.11s -> 354.11s]  Юмор, выезд в конце смешно, все.
[354.11s -> 356.11s]  Нет, да, молодцы. Вот это вот не шляпа.
[356.11s -> 359.74s]  Это не шляпа.
[359.74s -> 361.74s]  Шляпа. На, зацени, пожалуйста.
[361.74s -> 363.74s]  Смотрите, у меня парень молодец.
[363.74s -> 365.74s]  Сам коврик себе в багажник вырезает.
[365.74s -> 367.74s]  Такой красивый.
[367.74s -> 369.74s]  Пойди отсюда, ты закараживаешь лист.
[371.74s -> 373.74s]  Тьфу.
[375.74s -> 377.74s]  Полная *****.
[377.74s -> 379.74s]  Но вот это, это прям мои подписчики.
[379.74s -> 381.74s]  Ну, может быть, это лайк.
[381.74s -> 383.74s]  Ну, это не постанова, да.
[383.74s -> 385.74s]  Ну, не похоже на постанову.
[385.74s -> 387.74s]  Ты что сейчас от меня ждешь?
[387.74s -> 389.74s]  Оценки твои.
[389.74s -> 391.74s]  Шляпа полная.
[391.74s -> 393.74s]  Шляпа.
[393.74s -> 395.74s]  У нас, значит, по итогу нашего сегодняшнего
[395.74s -> 397.74s]  видео состязания,
[397.74s -> 399.74s]  сегодня полную шляпу
[399.74s -> 401.74s]  принес нам Максим Назаров.
[401.74s -> 403.74s]  Ура.
[403.74s -> 409.17s]  Но я
[409.17s -> 411.17s]  напоминаю, что ты в
[411.17s -> 413.17s]  сторис на целые сутки выложишь себе
[413.17s -> 415.17s]  такую шляпу, которую подготовили нам наши
[415.17s -> 417.17s]  уважаемые продюсеры.
[417.17s -> 419.17s]  Поэтому я предлагаю посмотреть, надеюсь, что там
[419.17s -> 421.17s]  не беременов 16.
[421.17s -> 423.17s]  Дом мозга, кто что прятал,
[423.17s -> 425.17s]  или что. Оказывается,
[425.17s -> 427.17s]  это морозота.
[427.17s -> 429.17s]  В таком положении
[429.17s -> 431.17s]  поставил матрас
[431.17s -> 433.17s]  и просто-напросто
[433.17s -> 435.17s]  его.
[435.17s -> 437.17s]  Девочки, он ******
[437.17s -> 439.17s]  мою тахту.
[439.17s -> 441.17s]  Вот такого я вообще еще не ожидала.
[441.17s -> 443.17s]  *****, я много чего
[443.17s -> 445.17s]  видела. Но чтоб *******
[445.17s -> 447.17s]  мою тахту.
[447.17s -> 449.17s]  Ничего, Максим.
[449.17s -> 451.17s]  23 секунды.
[451.17s -> 453.17s]  Давайте
[453.17s -> 455.17s]  поздравим Максима Назарова
[455.17s -> 457.17s]  с тем, что он, во-первых, еще
[457.17s -> 459.17s]  получит ******** от мамки, которой у него подписаны.
[459.17s -> 461.17s]  У меня один раз не будет
[461.17s -> 463.17s]  прикинь, по один день выкладываю.
[463.17s -> 465.17s]  Согласен, согласен.
[465.17s -> 467.17s]  Ну что, ну достойно я проиграл.
[467.17s -> 469.17s]  Шляпа. Друзья, это было
[469.17s -> 471.17s]  шоу Шляпа. Пожалуйста, с большим удовольствием.
[471.17s -> 473.17s]  Присылайте нам в директ
[473.17s -> 475.17s]  видео, которые вы считаете смешными,
[475.17s -> 477.17s]  которые вы считаете достойными, увидеть здесь
[477.17s -> 479.17s]  на шоу Шляпа. Вот Андрюшин
[479.17s -> 481.17s]  Инстаграм, вот мой Инстаграм, вот Максима.
[481.17s -> 483.17s]  Мы с удовольствием это увидим.
[483.17s -> 485.17s]  Подписывайтесь на наш канал
[485.17s -> 487.17s]  на Рутюбе. Сохраняйте видео
[487.17s -> 489.17s]  и пересылайте его друзьям. Мы здесь увидимся
[489.17s -> 491.17s]  скоро, здесь на шоу Шляпа
[491.17s -> 493.17s]  для того, чтобы посмотреть, что вы нам
[493.17s -> 495.17s]  присылали. Спасибо большое, будьте здоровы.
[495.17s -> 497.17s]  Пока-пока. Шляпа.
