[0.24s -> 14.01s]  Доброе утро! И, как обычно, небольшой прогноз на сегодня.
[517.86s -> 525.86s]  Он собрал данные о рождении почти трех с половиной тысяч пар, среди которых были счастливые пары в браке и разведенные.
[526.02s -> 530.10s]  Астрологи должны были на основе натальной карты предсказать судьбу их брака.
[530.10s -> 536.90s]  В итоге ни один из астрологов не смог угадать наверняка, а какая пара оказалась счастливая, а какая в разводе.
[536.90s -> 543.38s]  Конечно же были угадывания, и хочется сказать о таком допущении эксперимента как случайная ошибка.
[543.38s -> 552.18s]  Если мы будем просто тыкая пальцем выбирать один из двух вариантов, то примерно в 50% случаев мы ошибаемся, а в 50 будем правы.
[552.18s -> 556.90s]  Но если у нас есть три варианта ответа, то так в 30% и так далее.
[556.90s -> 560.50s]  Примерно такой же процент попаданий и показали наши астрологи.
[560.50s -> 564.50s]  Еще один из наиболее достоверных экспериментов провел Шон Карлсон.
[564.50s -> 576.98s]  В нем 28 астрологов должны были составить натальную карту людей, сопоставить ее с тремя психологическими тестами и выбрать только один правильный, который полностью описывает характер человека.
[576.98s -> 581.38s]  В итоге результат опять не превысил процент случайного угадывания.
[581.38s -> 582.42s]  Интересно почему.
[582.42s -> 590.90s]  Вообще подобных экспериментов проводилось несколько тысяч, и не известно ни одного, который бы дал результат выше, чем случайная ошибка.
[590.90s -> 599.55s]  Даже самые благоприятные знания никак вам не помогут, если вы будете действовать в соответствии с ними.
[599.55s -> 606.03s]  Вообще большинство предсказаний астрологов на личных консультациях выбирает одно из двух, то есть 50 на 50.
[606.11s -> 608.59s]  А пусть даже самые очевидные факторы.
[608.59s -> 614.59s]  Допустим, вы устраиваетесь на работу, и астролог вам говорит, что это очень удачное время для собеседования.
[614.59s -> 620.75s]  Большинство предсказаний астрологии выбирает один вариант из двух, а значит попадает в 50 процентов случаев.
[620.75s -> 622.99s]  А еще большую роль играет наша уверенность.
[622.99s -> 630.51s]  Если нам сказать, что у себя сегодня точно все получится, то ты сам в это поверишь, и вести ты себя будешь увереннее.
[630.51s -> 634.59s]  Да и вообще чаще всего мы хотим того, к чему сами уже давно готовы.
[634.59s -> 639.39s]  Так что если астролог чувствует человека как психолог, он нагадает ему что угодно.
[639.39s -> 642.19s]  Астрология действительно древнее учение.
[642.19s -> 647.95s]  Оно появилось тысячи лет назад, когда люди обладали довольно ограниченным набором знаний.
[647.95s -> 651.31s]  Они не знали, что Земля вращается вокруг Солнца.
[651.31s -> 658.91s]  Они не знали, что Солнце находится в большой спиральной галактике, а все эти точки на небе такие же Солнца.
[658.99s -> 665.63s]  Что у них есть планеты, такие же маленькие куски камня, в их вокруг насчитываются сотни миллиардов.
[665.63s -> 672.35s]  Они не знали, что сама наша галактика является песчинкой в огромной крупномасштабной структуре Вселенной.
[672.35s -> 676.51s]  Тогда люди пытались объяснить мир исходя из того, что знали.
[676.51s -> 680.59s]  И их можно понять, но с тех пор прошло столько открытий.
[680.59s -> 688.67s]  И за все это время астрологи так и не попытались найти механизмы, объяснить влияние звезд и найти ту самую их энергетику.
[688.67s -> 694.99s]  Потому что астрология лежит в пределах случайной ошибки и когнитивных искажений нашего мозга.
[694.99s -> 702.59s]  Наш мир так огромен, он так удивителен, и он достоин того, чтобы его изучать, и без всякой астрологии.
