[0.00s -> 1.00s]  Пещеры раскроют.
[414.00s -> 416.00s]  Говорю, что, ребятки, какой рецептик сегодня
[416.00s -> 418.00s]  приготовим? Блин, это такой сюр,
[418.00s -> 420.00s]  очень вообще. Причем это тот
[420.00s -> 422.00s]  самый парадокс, когда
[422.00s -> 424.00s]  тебе нравится стримерша и тебе не нужно
[424.00s -> 426.00s]  фантазировать.
[426.00s -> 428.00s]  Ты как бы можешь, если очень
[428.00s -> 430.00s]  нужно, сходить и посмотреть. Все заключается
[430.00s -> 432.00s]  в том, что девчонки, которые
[432.00s -> 434.00s]  в бикини постоянно стримят, лутают
[434.00s -> 436.00s]  бабки с каких-то поклонников
[436.00s -> 438.00s]  и вот этих вот.
[438.00s -> 440.00s]  Они просто портят имидж
[440.00s -> 442.00s]  стриминга в целом. Все, конец.
[442.00s -> 444.00s]  Мы делаем что-то другое,
[444.00s -> 446.00s]  играем в игры,
[446.00s -> 448.00s]  музыку, кулинарные и все такое.
[448.00s -> 450.00s]  Пытаемся делать какой-то контент.
[450.00s -> 452.00s]  Сидеть в бассейне тоже тяжело, это тоже, конечно,
[452.00s -> 454.00s]  контент.
[458.00s -> 460.00s]  Но в любом случае это
[460.00s -> 462.00s]  влияет на имидж. К сожалению, нас
[462.00s -> 464.00s]  никто не спрашивает, хотим мы этого или нет.
[464.00s -> 466.00s]  Это как будто у тебя
[466.00s -> 468.00s]  большой офис зубных врачей,
[468.00s -> 470.00s]  а в соседнем кабинете проститутошные.
[476.00s -> 478.00s]  Ну что, переходим к
[478.00s -> 480.00s]  самому интересному.
[480.00s -> 482.00s]  Как я уже говорила, у нас есть банк
[482.00s -> 484.00s]  размером 50 тысяч рублей.
[484.00s -> 486.00s]  Немного не мало.
[486.00s -> 488.00s]  В шоке, но не рябом, конечно, не вас.
[488.00s -> 490.00s]  Столько денег у нас нет.
[490.00s -> 492.00s]  Мы начинающий Индии проект.
[492.00s -> 494.00s]  Так вот, прежде чем вы за этот банк
[494.00s -> 496.00s]  начнете меситься в жестокой
[496.00s -> 498.00s]  женской кровавой драке, вам
[498.00s -> 500.00s]  надо сначала банк отстоять, защитить
[500.00s -> 502.00s]  его честь вместе как команда,
[502.00s -> 504.00s]  как дуэт, как пара. То есть мы не враги?
[504.00s -> 506.00s]  Нет, вы до.
[506.00s -> 508.00s]  Я все пыталась быть врагом.
[508.00s -> 510.00s]  Пока вы до. Короче, у меня есть 5 вопросов.
[510.00s -> 512.00s]  У меня есть 5 вопросов.
[512.00s -> 514.00s]  Если вы отвечаете на вопрос неправильно,
[514.00s -> 516.00s]  5 тысяч сгорает.
[516.00s -> 518.00s]  Дело в ставке, мы не ответим ни на один вопрос.
[518.00s -> 520.00s]  Вопросы составлялись исходя из того,
[520.00s -> 522.00s]  что вам интересно и в чем вы хороши.
[522.00s -> 524.00s]  Смотрим, насколько у вас память, дамочки,
[524.00s -> 526.00s]  мои дорогие. Что, поехали?
[526.00s -> 528.00s]  Ну давай.
[528.00s -> 530.00s]  Первый вопрос.
[530.00s -> 532.00s]  Все, собрались?
[532.00s -> 534.00s]  Да.
[534.00s -> 536.00s]  Как называется игровая студия,
[536.00s -> 538.00s]  которая разработала Майнкрафт?
[538.00s -> 540.00s]  Мажанг.
[540.00s -> 542.00s]  Вау.
[542.00s -> 544.00s]  Типа...
[544.00s -> 546.00s]  Я понимаю.
[546.00s -> 548.00s]  Майнкрафт, это моя жизнь.
[548.00s -> 550.00s]  Знаешь, каким шрифтом написаны вопросы в карточках?
[550.00s -> 552.00s]  Тут есть ответы.
[552.00s -> 554.00s]  Можно посмотреть?
[554.00s -> 556.00s]  А другая тоже с таким же шрифтом?
[556.00s -> 558.00s]  А можно проверить?
[558.00s -> 560.00s]  Нет, не отличается. Сто процентов инфа.
[560.00s -> 562.00s]  Сотка, давай назад.
[562.00s -> 564.00s]  Могу на память потом подарить.
[564.00s -> 566.00s]  Девки, смотрите, вы Ведьмака вообще как?
[566.00s -> 568.00s]  Ведьмака, это моя жизнь.
[568.00s -> 570.00s]  Сколько тысяч раз вы проходили Ведьмака?
[570.00s -> 572.00s]  Я один раз его только проходила,
[572.00s -> 574.00s]  но я пыталась все вопросики почистить,
[574.00s -> 576.00s]  пока не дочистила.
[576.00s -> 578.00s]  Как вообще зелья,
[578.00s -> 580.00s]  как обстоят у тебя навыки по зельям?
[580.00s -> 582.00s]  Очень плохо.
[582.00s -> 584.00s]  Мне было всегда лень заниматься этим,
[584.00s -> 586.00s]  когда я первый сет брони и оружия там нашла.
[586.00s -> 588.00s]  Я никогда не использовала масла, ничего.
[588.00s -> 590.00s]  Я проходила на сложной сложности.
[590.00s -> 592.00s]  Но я все прошла.
[592.00s -> 594.00s]  Мне не заморачивалось, я просто как в Dark Souls играла.
[594.00s -> 596.00s]  Спидранерша.
[596.00s -> 598.00s]  Ксюх, ну ты-то полюбась, шаришь.
[598.00s -> 600.00s]  Ну, я третьего Ведьмака проходила
[600.00s -> 602.00s]  давненько, и тоже почти без зелий.
[602.00s -> 604.00s]  Второго прошла не так давно с зельями.
[604.00s -> 606.00s]  Надо понять, насколько они отличаются.
[606.00s -> 608.00s]  Зелья или элексиры?
[608.00s -> 610.00s]  Элексиры, зелья, вот вся эта пополупа.
[610.00s -> 612.00s]  Алхимия.
[612.00s -> 614.00s]  Поехали тогда.
[614.00s -> 616.00s]  Чтобы приготовить элексир черная кровь,
[616.00s -> 618.00s]  который полезен в битве против вампиров и трупоедов
[618.00s -> 620.00s]  в игре, собственно, Ведьмак 3,
[620.00s -> 622.00s]  необходимо смешать три ингредиента.
[622.00s -> 624.00s]  Кровь гуля, грибы шибальцы
[624.00s -> 626.00s]  и третий ингредиент.
[626.00s -> 628.00s]  Какой?
[628.00s -> 630.00s]  Слушай, ну все что угодно может быть.
[630.00s -> 632.00s]  Я вообще не помню такого зелья.
[632.00s -> 634.00s]  Я думаю, что это должно быть точно несложно.
[634.00s -> 636.00s]  Может быть, спирт какой-нибудь.
[636.00s -> 638.00s]  Махакамский.
[638.00s -> 640.00s]  Еще варианты.
[640.00s -> 642.00s]  Какой там еще спирт есть?
[642.00s -> 644.00s]  Это, подожди, вампиры, это кровь и вино.
[644.00s -> 646.00s]  Ой, нет. Это дикая охота.
[646.00s -> 648.00s]  Нет, ну это не в дополнение, он с вампиром.
[648.00s -> 650.00s]  Это каменные сердца.
[650.00s -> 652.00s]  Вампиры это кровь и вино.
[652.00s -> 654.00s]  Кровь и вино, по-моему, вампиры.
[654.00s -> 656.00s]  Тусенская красная.
[656.00s -> 658.00s]  Что это такое?
[658.00s -> 660.00s]  Я думаю, что это что-то легкое должно быть.
[660.00s -> 662.00s]  Ну ты близка, ты близка,
[662.00s -> 664.00s]  вот сейчас максимально.
[664.00s -> 666.00s]  Какие виды алкоголя есть в Ведьмаке?
[666.00s -> 668.00s]  Погнали.
[668.00s -> 670.00s]  Пиво.
[672.00s -> 674.00s]  Давайте я вам дам очень жирную подсказку.
[674.00s -> 676.00s]  Если вы не догадаетесь, то сорян.
[676.00s -> 678.00s]  Я пыталась помочь.
[678.00s -> 680.00s]  Краснолюдский спирт.
[680.00s -> 682.00s]  Махакамский это же краснолюды.
[682.00s -> 684.00s]  Вообще Маша так меня...
[684.00s -> 686.00s]  Я подумала, что Маша на меня посмотрела,
[686.00s -> 688.00s]  такая Махакамский такая, не-не, я думаю,
[688.00s -> 690.00s]  она, наверное, не в курсе, ну ладно, скажу краснолюдский.
[690.00s -> 692.00s]  Краснолюдский, ну именно краснолюдский.
[692.00s -> 694.00s]  Мы даже без подсказки обошлись.
[694.00s -> 696.00s]  Картер сразу про спирт подумала, я сразу про краснолюдов.
[696.00s -> 698.00s]  Здравствуйте, меня зовут Виктория,
[698.00s -> 700.00s]  я всегда думаю про спирт.
[700.00s -> 702.00s]  Ну что, молодцы.
[702.00s -> 704.00s]  Вы идёте с чистым банком 50
[704.00s -> 706.00s]  кусков и ничего не теряете пока.
[706.00s -> 708.00s]  Пока что.
[708.00s -> 710.00s]  Так, дамы, как изначально называлась
[710.00s -> 712.00s]  игра Майнкрафт?
[712.00s -> 714.00s]  Что, это сложно, да?
[714.00s -> 716.00s]  Ой, нет, это не сложно,
[716.00s -> 718.00s]  это память рыбья.
[718.00s -> 720.00s]  Без понятия, она что, как-то по-другому называлась?
[720.00s -> 722.00s]  Да.
[722.00s -> 724.00s]  Могу сказать, что сегодня это слово уже звучало
[724.00s -> 726.00s]  в нашем разговоре.
[726.00s -> 728.00s]  Бассейн.
[728.00s -> 730.00s]  За что придётся все слова вспомнить?
[730.00s -> 732.00s]  Жизнь.
[732.00s -> 734.00s]  Майнкрафт?
[734.00s -> 736.00s]  Ведьмар 3, дикоохота.
[736.00s -> 738.00s]  Блин, я не вспомню.
[738.00s -> 740.00s]  Это знаешь, как ты пытаешься от того актёра
[740.00s -> 742.00s]  вспомнить, как зовут?
[742.00s -> 744.00s]  Кубы. Квадраты.
[744.00s -> 746.00s]  Не, я не вспомню. Какое сегодня слово звучало?
[746.00s -> 748.00s]  Ну, квадраты, кубы.
[748.00s -> 750.00s]  А давно звучало это слово?
[750.00s -> 752.00s]  Что за подсказки?
[752.00s -> 754.00s]  Здравствуйте.
[754.00s -> 756.00s]  Это шоу,
[756.00s -> 758.00s]  банк,
[758.00s -> 760.00s]  видеоигры,
[760.00s -> 762.00s]  стримерши, стримерка, президентка,
[762.00s -> 764.00s]  аммарант,
[764.00s -> 766.00s]  бассейн и заправка.
[766.00s -> 768.00s]  А всё, время у нас закончилось. Девочки, будете отвечать что-нибудь?
[768.00s -> 770.00s]  Скайблок.
[770.00s -> 772.00s]  Хорошо.
[772.00s -> 774.00s]  Это режим мини-игр.
[774.00s -> 776.00s]  Когда разработки игры только начинали,
[776.00s -> 778.00s]  она называлась
[778.00s -> 780.00s]  кейфгейм, типа пещера.
[780.00s -> 782.00s]  Пещера мы сегодня обсуждали с вами.
[782.00s -> 784.00s]  А я почему-то думала, что очень легко будет для вас.
[784.00s -> 786.00s]  Вы же у меня задротинки.
[786.00s -> 788.00s]  Я вообще впервые слышу.
[788.00s -> 790.00s]  Я пришла сюда эволюционировать и не деградировать,
[790.00s -> 792.00s]  поэтому всё в порядке.
[792.00s -> 794.00s]  Прежде чем задам вам следующий вопрос,
[794.00s -> 796.00s]  ответьте мне на другой вопрос.
[796.00s -> 798.00s]  Енифер или Трис?
[798.00s -> 800.00s]  Лара Морец.
[800.00s -> 802.00s]  Маятян.
[802.00s -> 804.00s]  Не знаю, она клёвая, у неё тетюли торчат постоянно.
[804.00s -> 806.00s]  Ну, типа она клёвая.
[806.00s -> 808.00s]  Ну, если из этих двух выбирать, то, наверное,
[808.00s -> 810.00s]  хотя я уже не уверена, я пошла первую-вторую часть.
[810.00s -> 812.00s]  Может быть даже Трис.
[812.00s -> 814.00s]  Короче, Лютик пускай будет всё.
[814.00s -> 816.00s]  Енифер, конечно.
[816.00s -> 818.00s]  Потому что Трис.
[818.00s -> 820.00s]  Итак, девочки, вопрос.
[820.00s -> 822.00s]  Какое прозвище носит
[822.00s -> 824.00s]  возлюбленная Геральта и Енифер?
[824.00s -> 826.00s]  Прозвище именно её.
[826.00s -> 828.00s]  Я сама не знала, если честно.
[830.00s -> 832.00s]  Из Вингерберга.
[832.00s -> 834.00s]  Погоняла.
[834.00s -> 836.00s]  Это из игр или из книг?
[836.00s -> 838.00s]  Я пытаюсь, может, в книгах есть.
[840.00s -> 842.00s]  Наверняка что-нибудь типа с фиолетовыми глазами
[842.00s -> 844.00s]  связано или что-нибудь такое.
[844.00s -> 846.00s]  Нет?
[846.00s -> 848.00s]  Минута у вас идёт, кстати.
[848.00s -> 853.74s]  Буря рожденная.
[853.74s -> 855.74s]  Это другая женщина.
[855.74s -> 857.74s]  Ну, тоже хорошая.
[857.74s -> 859.74s]  Причём там стопы дома будет ответ
[859.74s -> 861.74s]  какой-нибудь на поверхности, что-нибудь такое.
[861.74s -> 863.74s]  Не знаю, единорог.
[863.74s -> 865.74s]  Для меня это было
[865.74s -> 867.74s]  не очевидно, но ответ
[867.74s -> 869.74s]  как будто бы простой, да.
[869.74s -> 871.74s]  Ворона.
[871.74s -> 873.74s]  Жаль, что нет.
[873.74s -> 875.74s]  Чайка.
[875.74s -> 877.74s]  Кошка.
[877.74s -> 879.74s]  О, 7 секунд.
[881.74s -> 883.74s]  Лютик.
[883.74s -> 885.74s]  Всё, девочки. Королева Зимы.
[885.74s -> 887.74s]  Чего?
[887.74s -> 889.74s]  Вот если верить факту, то да.
[889.74s -> 891.74s]  Такое у неё прозвище Королева Зимы.
[891.74s -> 893.74s]  Это кто?
[893.74s -> 895.74s]  Облом обломов я сама не ожидала.
[895.74s -> 897.74s]  Я почему-то думала, что может быть вы
[897.74s -> 899.74s]  ответите на этот вопрос.
[899.74s -> 901.74s]  Кто-то это погонял.
[901.74s -> 903.74s]  Номер есть? Какое на Королеву Зиму?
[903.74s -> 905.74s]  А, потому что не может быть холодное сердце.
[905.74s -> 907.74s]  Так и что получается?
[907.74s -> 909.74s]  Минус 10 тысяч уже.
[909.74s -> 911.74s]  Последний вопрос.
[911.74s -> 913.74s]  Девочки, 40 тысяч осталось?
[913.74s -> 915.74s]  Ровно.
[915.74s -> 917.74s]  Делиться на два.
[917.74s -> 919.74s]  Пятый вопрос.
[919.74s -> 921.74s]  Как звали лошадь
[921.74s -> 923.74s]  лучшего друга Геральта из Ривии?
[923.74s -> 925.74s]  Лариса.
[925.74s -> 927.74s]  Да ты прикалываешься.
[927.74s -> 929.74s]  У Лютика была лошадь.
[929.74s -> 931.74s]  Её как-то звали.
[931.74s -> 933.74s]  Ну какая-нибудь, давай погнали.
[933.74s -> 935.74s]  Свиристель.
[935.74s -> 937.74s]  Нет?
[937.74s -> 939.74s]  Гусля.
[939.74s -> 941.74s]  Лариса.
[941.74s -> 943.74s]  Правда?
[943.74s -> 945.74s]  Нет.
[945.74s -> 947.74s]  Гитара.
[947.74s -> 949.74s]  Лошадь мужского, пола или женского?
[949.74s -> 951.74s]  Мужского.
[951.74s -> 953.74s]  Лошадь Геральта.
[953.74s -> 955.74s]  Полминуточки осталось.
[955.74s -> 957.74s]  Кошечки.
[957.74s -> 959.74s]  Вопросы лёгкие.
[959.74s -> 961.74s]  Ты сама знала, как зовут её лошадь?
[961.74s -> 963.74s]  Бабки же разыгрываем.
[963.74s -> 965.74s]  Я не могла.
[965.74s -> 967.74s]  Лошадь Лютика.
[967.74s -> 969.74s]  Лютня.
[969.74s -> 971.74s]  Я тоже уже перебрала варианты.
[971.74s -> 973.74s]  Тупейшее должно быть.
[973.74s -> 975.74s]  Боб.
[975.74s -> 977.74s]  Нет?
[977.74s -> 979.74s]  Сергей.
[979.74s -> 981.74s]  Дмитрий.
[981.74s -> 983.74s]  Никита.
[983.74s -> 985.74s]  Два, один.
[985.74s -> 987.74s]  Органафт.
[987.74s -> 989.74s]  Его лошадь зовут...
[989.74s -> 991.74s]  Генрих.
[991.74s -> 993.74s]  Ну всё, девки, летим.
[993.74s -> 995.74s]  35 тысяч остаётся у нас в банке.
[995.74s -> 997.74s]  Лошадь Пегас.
[997.74s -> 999.74s]  Так это книжки надо было читать.
[999.74s -> 1001.74s]  Я тебе так скажу.
[1001.74s -> 1003.74s]  Я читаю книжки.
[1003.74s -> 1005.74s]  Подожди, а как же мем?
[1005.74s -> 1007.74s]  Мама мыла.
[1007.74s -> 1009.74s]  Я прочитала много книг.
[1009.74s -> 1011.74s]  Я не встречала там лошадь Лютика.
[1011.74s -> 1013.74s]  Она с какого-то формы.
[1013.74s -> 1015.74s]  Стопудовая.
[1015.74s -> 1017.74s]  Жду пруфы.
[1017.74s -> 1019.74s]  От вас.
[1019.74s -> 1021.74s]  Что где-то это было написано.
[1021.74s -> 1023.74s]  Если нет, я засужу вот это.
[1023.74s -> 1025.74s]  В качестве пруфы можете просто
[1025.74s -> 1027.74s]  лайк поставить.
[1027.74s -> 1029.74s]  Это будет считаться за пруф.
[1029.74s -> 1031.74s]  Или написать что?
[1031.74s -> 1033.74s]  Девчонки классные, но видео
[1033.74s -> 1035.74s]  можно было бы и без них сделать.
[1035.74s -> 1037.74s]  Идём дальше.
[1041.74s -> 1043.74s]  Дамы, вы размялись.
[1043.74s -> 1045.74s]  Вы готовы?
[1045.74s -> 1047.74s]  Конечно. Мы были в одной команде.
[1047.74s -> 1049.74s]  Теперь нет.
[1049.74s -> 1051.74s]  Ваше название, ваша команда тебе на футболке написано?
[1051.74s -> 1053.74s]  Да.
[1053.74s -> 1055.74s]  Я планирую победить и восславить имя.
[1055.74s -> 1057.74s]  Ксения, будут какие-то угрозы?
[1057.74s -> 1059.74s]  Нет.
[1059.74s -> 1061.74s]  Девочки, как вы можете заметить,
