[0.00s -> 4.28s]  ГОВОРЯТ НА ИНОСТРАННОМ ЯЗЫКЕ
[234.67s -> 237.03s]  Для этого я возьму одну горошинку.
[237.03s -> 238.67s]  Это тот размер кубика,
[238.67s -> 242.67s]  которым мы будем нарезать наши овощи, морковь, картофель.
[243.15s -> 250.67s]  Ты берешь самый маленький неделимый ингордиант и режешь все по его параметру.
[250.67s -> 252.07s]  Кому что удобней.
[252.07s -> 255.55s]  Я так понимаю, ты так себе мужика точно не найдешь.
[255.55s -> 257.07s]  Заведующий по яичкам.
[257.07s -> 258.47s]  Акула от наберешь.
[258.47s -> 261.23s]  Сначала нарезаете вот так.
[261.23s -> 263.51s]  Давайте покажите, как нужно.
[263.51s -> 265.75s]  На вкус и цвет, как говорится.
[265.75s -> 267.75s]  АПЛОДИСМЕНТЫ
[267.75s -> 268.75s]  Ой, кошмар!
[268.75s -> 271.91s]  А ты знаешь, что любой повар тебя за это убьет,
[271.99s -> 273.99s]  ты берешь нож, а ты тупишь.
[273.99s -> 274.99s]  СМЕХ
[274.99s -> 278.24s]  Я тоже делала как надо.
[278.24s -> 280.88s]  А кто больше делал как надо, я или Катя?
[280.88s -> 281.88s]  Я.
[281.88s -> 282.88s]  СМЕХ
[282.88s -> 284.32s]  Нет, вы все молодцы.
[284.32s -> 288.48s]  Нам нужно каждый ингредиент порезать примерно такими кубиками.
[288.48s -> 290.32s]  Все, без лишних вопросов.
[290.32s -> 292.32s]  Ай, ты вот видишь, кто тот.
[292.32s -> 294.08s]  Ай, да, быстрее быстрее.
[294.08s -> 297.08s]  АПЛОДИСМЕНТЫ
[297.08s -> 298.48s]  Красотуечка моя.
[298.48s -> 299.96s]  Стой, стой, вот что.
[299.96s -> 303.04s]  Подойдите, посмотрите, что наделала Катя.
[303.04s -> 307.44s]  Здесь слайсами специально были нарезанные огурчики.
[307.44s -> 311.04s]  Она их начала резать!
[311.04s -> 313.80s]  СМЕХ
[313.80s -> 316.56s]  Это было для украшения.
[316.56s -> 319.52s]  Ну, ты нормально-то их ко мне отправил вообще.
[319.52s -> 323.32s]  Алло, а может быть, вы перестанете с рукой разговаривать?
[323.32s -> 324.60s]  Я на нож перезвоню.
[324.60s -> 328.00s]  Как же смешно, Кать, как тебе это в голову пришло.
[328.00s -> 331.40s]  Нарезанный слайсами порезать кубиками.
[331.40s -> 332.40s]  Соль, перец.
[332.40s -> 333.40s]  Берем соль.
[333.40s -> 334.40s]  Да.
[334.56s -> 335.56s]  Солим.
[336.08s -> 337.08s]  И перчим.
[337.08s -> 338.08s]  Промацаем.
[338.08s -> 340.60s]  Хрена достаточно, все, перемешиваем.
[340.60s -> 341.60s]  Перемешиваем.
[341.60s -> 342.60s]  Перемешиваем.
[343.76s -> 346.72s]  Это же... мы делаем своеобразные роллы.
[347.52s -> 348.52s]  А-а-а!
[348.52s -> 351.08s]  Можно лайфхак вот так немножечко.
[351.08s -> 352.08s]  Ага.
[354.78s -> 357.14s]  Вот такая у нас получилась роза.
[357.14s -> 360.54s]  Так, ну все, мне кажется, что наш салат готов.
[360.54s -> 363.46s]  Да, вы замечательно справились с угощением.
[363.46s -> 367.46s]  У меня есть для вас не только угощение, есть еще кое-что.
[367.46s -> 368.46s]  Закрывайте розу.
[368.46s -> 369.46s]  Открывайте.
[369.46s -> 370.46s]  А, все.
[370.46s -> 371.46s]  Спасибо.
[371.46s -> 373.30s]  Вы можете идти к мастерице.
[373.30s -> 374.30s]  Катя, отдай.
[374.30s -> 375.30s]  Подожди.
[375.30s -> 376.30s]  Я посмотрю.
[376.30s -> 379.86s]  Другая часть звездочки, пролетев мимо козочек,
[379.86s -> 382.34s]  упала прямо к дому мастерицы.
[382.34s -> 385.46s]  Отправляйтесь к ней, да не с пустыми руками.
[394.73s -> 397.73s]  Нам нужно в один из старинных домиков.
[397.73s -> 399.81s]  Там живет наша мастерица.
[399.81s -> 402.13s]  И сказали, что там есть козочки.
[402.13s -> 404.81s]  Но как это возможно, если козочки тут?
[404.81s -> 407.41s]  Две красивые, элегантные козочки.
[407.41s -> 409.61s]  Вдохни поглубже.
[409.61s -> 411.77s]  Пахнет лошадиным говном.
[411.77s -> 412.77s]  Пахнет, да.
[412.77s -> 416.73s]  Чувствуешь, вот они козочки, вот они лошади.
[416.73s -> 419.21s]  И все как-то от нас.
[419.21s -> 430.02s]  Посмотрим, откуда растут руки у Жени и Кати.
[430.02s -> 433.62s]  Смогут ли они сделать настоящие глиняные игрушки?
[433.78s -> 436.58s]  Не забудьте угостить хозяйку дома салатом.
[436.58s -> 438.74s]  Ну или что вы там приготовили.
[438.74s -> 441.86s]  Мы же, я правильно понимаю, идем прямо на запах.
[441.86s -> 442.86s]  Да?
[442.86s -> 443.86s]  Хорошо.
[443.86s -> 444.86s]  Отлично.
[446.86s -> 448.54s]  Привет, козочка!
[448.54s -> 449.54s]  Козочка!
[449.54s -> 451.30s]  Привет, мастерица!
[451.30s -> 452.30s]  Здравствуйте.
[452.30s -> 457.02s]  Нам сказали, что у вас для нас есть следующее задание.
[457.02s -> 459.06s]  Так, Жень, это мне надо.
[459.06s -> 460.06s]  Почему?
[460.06s -> 461.06s]  Ну, это козочка.
[461.06s -> 462.74s]  А, это тоже не мастерица?
[462.74s -> 464.26s]  Да где мастерица?
[464.26s -> 465.26s]  Здравствуйте.
[465.26s -> 466.74s]  О, она может плюнуть.
[466.74s -> 467.74s]  Или это верблюд?
[467.74s -> 468.74s]  Я путаюсь.
[468.74s -> 473.74s]  Если козочка здесь, значит, дом мастерицы, скорее всего...
[473.74s -> 474.74s]  Вот тут.
[474.74s -> 476.74s]  Вот, вот этот самый ближний.
[476.74s -> 478.74s]  Ну, давай тогда разделимся.
[478.74s -> 479.74s]  Давай.
[479.74s -> 481.74s]  Ты в лес, а я в дом.
[483.74s -> 488.74s]  Глиняные игрушки-свистульки с давних времен создавали новогоднее настроение,
[488.74s -> 491.74s]  наполняя дома праздничной атмосферой.
[491.74s -> 494.74s]  Создаются эти необычные фигурки.
[494.74s -> 499.25s]  Сделайте старорусскую игрушку-свистульку.
[499.25s -> 503.25s]  Только после этого вы докажете свои добрые намерения
[503.25s -> 505.25s]  и получите частичку звезды.
[505.25s -> 510.48s]  Ты звездеть не умеешь, да?
[510.48s -> 511.48s]  СМЕХ
[511.48s -> 514.48s]  Ну, есть у вас все работы.
[514.48s -> 518.48s]  Смотрите, пальчики ставим на тональное отверстие.
[518.48s -> 520.48s]  Прижимаем тональное отверстие.
[520.48s -> 522.48s]  Прижимаем губам вот это отверстие.
[522.48s -> 524.48s]  Не закрываем нижнюю дырочку.
[524.48s -> 526.48s]  Подождите, я там все обслюнявила.
[526.48s -> 527.48s]  Ничего страшного.
[527.48s -> 528.48s]  Наш человек.
[528.48s -> 530.48s]  Антисептический материал.
[530.48s -> 532.48s]  И на легком выдохе начинаем играть.
[542.38s -> 547.38s]  Есть все-таки у нас, Катюша, что-то змеиное.
[548.38s -> 550.38s]  Все, хватит, наигрались.
[550.38s -> 553.38s]  Теперь нужно приступить к заданию.
[553.38s -> 556.38s]  Делаем свистульки вот этими грязными руками.
[556.38s -> 557.38s]  Ай, что?
[557.38s -> 559.38s]  Я ведущая, я хотела отработать.
[559.38s -> 560.38s]  А, ребята.
[560.38s -> 561.38s]  Глина.
[561.38s -> 562.38s]  Глина.
[562.38s -> 566.38s]  Первым делом нам нужно с вами из вот этих кусочков глины
[566.38s -> 568.38s]  скатать шарик из колобков и колбасок.
[568.38s -> 571.38s]  Мы с вами сейчас слепим музыкальные инструменты.
[571.38s -> 574.38s]  Вот, мне кажется, мы его бывшего так же слепили
[574.38s -> 576.38s]  из колобков и колбасок.
[576.38s -> 580.38s]  Чтобы наша свистулька зазвучала, она должна быть внутри пустотелой.
[580.38s -> 583.38s]  К нам нужно будет шарик превратить в лепешечку.
[583.38s -> 585.38s]  Пальчиками начинаем расплющивать.
[585.38s -> 586.38s]  Вот так достаточно?
[586.38s -> 587.38s]  Да, достаточно.
[587.38s -> 591.38s]  На ладошку положили блинчик и ребром ладони постучали.
[591.38s -> 592.38s]  Может, это хияк?
[592.38s -> 593.38s]  Хияк!
[593.38s -> 598.38s]  Мы вокруг нашего пальчика должны свернуть такое подобие трубочки.
[598.38s -> 599.38s]  Это для семечек?
[599.38s -> 601.38s]  Прекрасно. Ну, почти.
[601.38s -> 603.38s]  И очень важный момент.
[603.38s -> 607.38s]  Мы сейчас будем с вами закрывать вот эту часть нашего
[607.38s -> 611.38s]  уже конуса получившегося, из которой мы вылепим потом хвостик,
[611.38s -> 613.38s]  который у нас засвистит.
[613.38s -> 616.38s]  Подождите, а у меня что-то все ногтями прорвалось.
[616.38s -> 618.38s]  Зачем я расстроилась?
[618.38s -> 620.38s]  Давайте я вам немножко помою.
[622.38s -> 623.38s]  Тонковато просто.
[623.38s -> 625.38s]  А давайте вот это теперь мое.
[625.38s -> 627.38s]  Все, отлично.
[627.38s -> 629.38s]  Хвостик сформирован.
[629.38s -> 631.38s]  Смотрите, хвостик у нас должен...
[631.38s -> 634.38s]  Не-не-не, вот это зря. Мы сейчас будем наоборот.
[634.38s -> 635.38s]  Послушайте!
[635.38s -> 637.38s]  Мы же хотим свистульку получить.
[637.38s -> 640.38s]  Я вам самый хороший рецепт рассказываю.
[641.38s -> 643.38s]  Как это связано вообще с Новым годом?
[643.38s -> 645.38s]  Это же просто свистулька.
[645.38s -> 647.38s]  Нет, ну как же свистулька?
[647.38s -> 649.38s]  Это же вообще-то символ праздника.
[649.38s -> 652.38s]  Всегда на праздники ребятишки бегали,
[652.38s -> 655.38s]  с удовольствием свистили в свистульке, в птичке.
[655.38s -> 658.38s]  И вообще мы сейчас, в наше сказочное имя уже,
[658.38s -> 660.38s]  отчаянно зазываем димы
[660.38s -> 662.38s]  именно как раз с помощью звука свистулька.
[662.38s -> 664.38s]  Знаете, у меня вопрос.
[664.38s -> 669.38s]  В связи с последним оскорблением меня как художника.
[669.38s -> 671.38s]  Где тут лицо?
[671.38s -> 673.38s]  Ну, где вы решите, там и будет.
[673.38s -> 675.38s]  Вообще здесь мы лепили хвостик.
[675.38s -> 677.38s]  А у меня будет киска.
[677.38s -> 679.38s]  Ой, ну красота! Посмотри, посмотри!
[679.38s -> 681.38s]  Очень красиво!
[682.38s -> 684.38s]  Сделали дырочку.
[684.38s -> 686.38s]  Такой пирсинг.
[686.38s -> 689.38s]  Да-да, еще можно разочек пройтись.
[691.38s -> 693.38s]  Все, идеально!
[693.38s -> 699.10s]  У меня получилась замечательная птичка.
[699.10s -> 701.10s]  По-моему, я испортила ее.
[701.10s -> 703.10s]  С дырочками переборщили.
[703.10s -> 705.10s]  Можно подправить.
[705.10s -> 707.10s]  Давайте поменяемся.
[707.10s -> 709.10s]  О, отлично!
[709.10s -> 711.10s]  Итак, моя птичка готова.
[711.10s -> 713.10s]  Ну почти.
[713.10s -> 716.80s]  Их нужно обжечь в печи
[716.80s -> 718.80s]  при температуре около 1000 градусов.
[718.80s -> 721.80s]  Вот в старину вот такие маленькие грушечки
[721.80s -> 724.80s]  допускалось обжечь в дровяной домашней печке.
[724.80s -> 726.80s]  То есть как раз маленькие грушечки.
[726.80s -> 729.80s]  И я вам покажу сейчас, как это будет происходить.
[729.80s -> 731.80s]  Примерно при такой же температуре
[731.80s -> 734.80s]  обожглось мое сердце астрошеклассника.
[734.80s -> 736.80s]  Они высохли у нас
[736.80s -> 738.80s]  и отправляются в печи.
[738.80s -> 739.80s]  Пока!
[739.80s -> 741.80s]  А на следующую точку девочки отправятся
[741.80s -> 744.80s]  на уникальном и поистине сказочном транспорте,
[744.80s -> 746.80s]  который можно встретить только в сказке
[746.80s -> 748.80s]  и в Нелже тоже.
[748.80s -> 751.80s]  Встречайте, русская печь!
[759.80s -> 761.80s]  А вот так комфортно.
[761.80s -> 763.80s]  Да это прикол!
[766.80s -> 768.80s]  О, жених!
[768.80s -> 770.80s]  Здрасте!
[770.80s -> 772.80s]  В Нелже есть местечко,
[772.80s -> 774.80s]  где проходят новогодние представления
[774.80s -> 776.80s]  для всей семьи.
[776.80s -> 778.80s]  После кражи Нового года
[778.80s -> 780.80s]  у театра пропала и часть актеров,
[780.80s -> 782.80s]  но представлений меньше не стало,
[782.80s -> 785.80s]  поэтому труппе сейчас понадобится любая помощь.
[785.80s -> 787.80s]  Помощь нужна ваша большая!
[787.80s -> 789.80s]  И в идеальном представлении
[789.80s -> 791.80s]  помогите вернуть в Нелжу не только снег,
[791.80s -> 793.80s]  но и улыбки детей.
[793.80s -> 794.80s]  Готовы?
[794.80s -> 795.80s]  Нет.
[795.80s -> 796.80s]  А надо.
[796.80s -> 797.80s]  Отлично.
[797.80s -> 798.80s]  Удобно.
[798.80s -> 800.80s]  А я, наверное, пойду.
[800.80s -> 802.80s]  Нет, я не пойду.
[810.56s -> 812.56s]  Я вижу, ты вошел,
[812.56s -> 814.56s]  и свет погас.
[814.56s -> 816.56s]  Застыло время
[816.56s -> 818.56s]  на танцполе.
[818.56s -> 820.56s]  Костюм твой темно-синий,
[820.56s -> 822.56s]  а ты даст
[822.56s -> 824.56s]  знакомый взгляд,
[824.56s -> 826.56s]  ловлю до боли.
[826.56s -> 828.56s]  Всё замерло,
[828.56s -> 830.56s]  вокруг лишь сердце стук,
[830.56s -> 832.56s]  звучало в такт,
[832.56s -> 834.56s]  моим желаниям.
[835.56s -> 837.56s]  Раз, два, три, четыре!
[838.56s -> 840.56s]  Раз, два, три, четыре!
[840.56s -> 842.56s]  Раз, два, три, четыре!
[842.56s -> 844.56s]  Раз, два, три, четыре!
[844.56s -> 846.56s]  Раз, два, три, четыре!
[846.56s -> 848.56s]  Молодцы!
[848.56s -> 850.36s]  АПЛОДИСМЕНТЫ
[850.36s -> 851.56s]  Какие там все?
[851.56s -> 853.56s]  Девчонки, все, спасибо.
[853.56s -> 855.56s]  Все, все, можете идти.
[855.56s -> 857.24s]  Слушайте, вот это вам.
[857.24s -> 859.56s]  И это вам пригодится в будущем.
[859.56s -> 860.56s]  У-у-у!
[860.56s -> 861.56s]  Круто!
[861.56s -> 864.96s]  Спасибо, вы нам очень сильно помогли. Пока!
[864.96s -> 866.16s]  Давайте, давайте.
[866.16s -> 868.56s]  Ну а мы продолжаем.
[871.77s -> 874.57s]  Самое время отправиться в сказочный лес.
[874.57s -> 878.25s]  Здесь, в избушке на курьих ножках, живет баба Яга.
[878.25s -> 882.25s]  Кажется, у нее есть то, что ищут наши участницы.
[882.25s -> 884.25s]  Это что такое?
[884.25s -> 886.25s]  Нельзя?
[886.25s -> 887.25s]  Кричать.
[887.25s -> 888.25s]  Кричать.
[888.25s -> 890.25s]  Да, значит, ни на кого не кричать.
[890.25s -> 892.25s]  А, да, точно.
[892.25s -> 894.25s]  Избушка, избушка!
[894.25s -> 896.25s]  На каких-то там ножках.
[896.25s -> 900.25s]  Повернись к лесу задом, а к нам передом.
[900.25s -> 902.25s]  Давай сюда.
[902.25s -> 905.94s]  Давай.
[905.94s -> 907.94s]  Опа!
[907.94s -> 909.94s]  Сыграйте с бабой Ягой.
[909.94s -> 911.94s]  Обманывать не запрещено.
[911.94s -> 913.94s]  Гостинца принесли?
[913.94s -> 915.94s]  Принесли, дураков нет. Пожалуйста.
[915.94s -> 917.94s]  Правда, ему уже несколько часов.
[917.94s -> 919.94s]  О, это как я люблю.
[919.94s -> 921.94s]  Да, понимаю.
[921.94s -> 923.94s]  А я знаю, что вам надо, я знаю.
[923.94s -> 924.94s]  Ага.
[924.94s -> 925.94s]  У меня это есть.
[925.94s -> 926.94s]  Мужа.
[926.94s -> 927.94s]  Да ну, мужа.
[927.94s -> 929.94s]  Ну, жену тебе.
[929.94s -> 930.94s]  Так.
[930.94s -> 932.94s]  Есть у меня там препятная.
[932.94s -> 933.94s]  Ну, просто так.
[933.94s -> 935.94s]  Я вам ничего не дам.
[935.94s -> 936.94s]  Поняли, поняли.
[936.94s -> 938.94s]  С бабушкой три задания.
[938.94s -> 939.94s]  Так.
[939.94s -> 941.94s]  Потерсти меня, да поиграйте со мной.
[941.94s -> 943.94s]  Вот это сейчас первые будут.
[943.94s -> 945.94s]  Давай так, давай сразу разделим.
[945.94s -> 947.94s]  Ты тешишь, я играю.
[947.94s -> 949.94s]  Хорошо, тем более у меня руки заняты, я не могу играть.
[949.94s -> 950.94s]  Меня устраивает.
[950.94s -> 951.94s]  Отлично.
[951.94s -> 953.94s]  Так, будем играть в камень ножицы бумаги.
[953.94s -> 954.94s]  Ага.
[954.94s -> 955.94s]  Это на тебе.
[955.94s -> 956.94s]  Ага.
[956.94s -> 957.94s]  А это мне.
[957.94s -> 958.94s]  На шайт.
[958.94s -> 960.94s]  Не глядно подгляд будет.
[960.94s -> 961.94s]  Хорошо.
[961.94s -> 963.94s]  И сейчас будем по одной скрываться.
[963.94s -> 964.94s]  Так.
[964.94s -> 965.94s]  Ты первая.
[965.94s -> 966.94s]  Я первая.
[970.94s -> 972.94s]  Да так нечестно.
[972.94s -> 974.94s]  Так нечестно.
[974.94s -> 976.94s]  Так, это сделаю.
[976.94s -> 977.94s]  Дальше поехали.
[977.94s -> 978.94s]  Ты первая.
[978.94s -> 980.94s]  Нет, вы первая.
[982.94s -> 984.94s]  И жалко, я не знаю правил.
[988.94s -> 990.94s]  Да, это очень похоже.
[992.94s -> 993.94s]  Я победила.
[993.94s -> 994.94s]  Мы победили.
[994.94s -> 995.94s]  Ура.
[995.94s -> 996.94s]  Теперь другая.
[996.94s -> 997.94s]  Называется Дженга.
[997.94s -> 998.94s]  Вот эта.
[998.94s -> 999.94s]  Ты первая.
[999.94s -> 1000.94s]  Чего будешь?
[1000.94s -> 1001.94s]  Пощекочи, пощекочи.
[1001.94s -> 1002.94s]  А я не могу, у меня руки заняты.
[1002.94s -> 1004.94s]  Я вам вообще, насколько тут нужна.
[1004.94s -> 1006.94s]  А давай-ка я подержу, а ты будешь играть.
[1006.94s -> 1008.94s]  А может быть мы им положим?
[1008.94s -> 1009.94s]  Точно.
[1009.94s -> 1010.94s]  Ты первая, давай.
[1010.94s -> 1011.94s]  Давай ты.
[1013.94s -> 1014.94s]  Ой, Катя, давай.
[1014.94s -> 1016.94s]  Давай, давай, давай.
[1016.94s -> 1017.94s]  Молодец.
[1017.94s -> 1018.94s]  Так.
[1018.94s -> 1019.94s]  Сейчас бабушка.
[1019.94s -> 1020.94s]  Сейчас бабушка.
[1020.94s -> 1021.94s]  Молодец.
[1021.94s -> 1022.94s]  Я с тебе.
[1025.94s -> 1026.94s]  Так.
[1027.94s -> 1028.94s]  Теперь я.
[1030.94s -> 1031.94s]  Нормально.
[1031.94s -> 1032.94s]  Такие правила.
[1032.94s -> 1033.94s]  Такие правила.
[1033.94s -> 1034.94s]  Дальше.
[1035.94s -> 1037.94s]  Разберем ее, да и все.
[1039.94s -> 1044.34s]  Мы победили.
[1044.34s -> 1047.34s]  Эх, ега, ега, надо было лучше тренироваться.
[1047.34s -> 1050.34s]  Нашим участницам уже пора спешить на каток.
[1050.34s -> 1052.34s]  Снеговик уже заждался вас.
[1052.34s -> 1055.34s]  Поторопитесь, ведь чудо само себя не спасет.
[1056.34s -> 1059.34s]  Какой же Новый год без новогодних забав на коньках?
[1059.34s -> 1063.34s]  Именно тут остался хитрый снеговик с последним осколком звезды.
[1063.34s -> 1067.34s]  Проверим, насколько хорошо Женя и Катя чувствуют себя на льду.
[1067.34s -> 1070.34s]  Нас хотят убить в городе, где нет снега.
[1070.34s -> 1071.34s]  Привет.
[1071.34s -> 1075.34s]  Догоните снеговика и заберите у него заветную пятую коробочку.
[1075.34s -> 1076.34s]  Окружаем.
[1078.34s -> 1081.34s]  Катя, нам надо коробочку взять, мы не просто катаемся.
[1081.34s -> 1082.34s]  Вот она.
[1082.34s -> 1083.34s]  Давайте.
[1083.34s -> 1085.34s]  Аппоиграть, аппоиграть.
[1090.34s -> 1093.34s]  Делаем так, я вам показываю упражнения.
[1093.34s -> 1095.34s]  Мы их повторяем и спасаем Новый год.
[1095.34s -> 1096.34s]  Готовы?
[1096.34s -> 1097.34s]  Да.
[1097.34s -> 1098.34s]  Давайте.
[1098.34s -> 1099.34s]  И поехали.
[1099.34s -> 1100.34s]  Оттолкнулись.
[1100.34s -> 1101.34s]  Присели.
[1101.34s -> 1102.34s]  Присели.
[1102.34s -> 1103.34s]  Оп, поворот.
[1103.34s -> 1106.34s]  И поцеловали зал, публику.
[1106.34s -> 1108.34s]  И давайте уже спасем этот праздник.
[1108.34s -> 1110.34s]  И верните снег, пожалуйста.
[1111.34s -> 1114.34s]  Наконец-то все части звезды собраны.
[1114.34s -> 1118.34s]  Это, конечно, не лунная призма, но она точно даст силы
[1118.34s -> 1120.34s]  и вернет новогоднее чудо.
[1120.34s -> 1122.34s]  Дед Мороз!
[1122.34s -> 1124.34s]  Мои хорошие.
[1124.34s -> 1127.34s]  Дедушка, мы способ потянили.
[1127.34s -> 1129.34s]  Спасибо вам большое.
[1129.34s -> 1130.34s]  Ну наконец-то.
[1130.34s -> 1131.34s]  Да.
[1131.34s -> 1132.34s]  Проверим?
[1132.34s -> 1133.34s]  Да.
[1133.34s -> 1134.34s]  Конечно.
[1134.34s -> 1135.34s]  Оп!
[1137.34s -> 1140.34s]  Кажется, что Жене и Кате удалось вернуть снег
[1140.34s -> 1142.34s]  и новогоднее чудо вне лжу.
[1142.34s -> 1143.34s]  Какая красота!
[1143.34s -> 1145.34s]  Ну все, можно отправляться домой.
[1145.34s -> 1146.34s]  Стоп!
[1146.34s -> 1148.34s]  А как же подарки?
[1148.34s -> 1150.34s]  Вау!
[1150.34s -> 1152.34s]  Вот это другое дело.
[1152.34s -> 1156.34s]  Дедушка, мы пришли не просто так, а за подарками.
[1156.34s -> 1157.34s]  Да!
[1157.34s -> 1158.34s]  Мои хорошие.
[1158.34s -> 1162.34s]  Но сначала давайте отметим то, что посох все-таки сделан.
[1162.34s -> 1163.34s]  Побежали!
[1163.34s -> 1164.34s]  Сделан!
[1164.34s -> 1165.34s]  Сделан!
[1165.34s -> 1166.34s]  Спасибо!
[1167.34s -> 1171.34s]  Наши девочки прекрасно справились со своей задачей.
[1171.34s -> 1175.34s]  Помогли дедушке Морозу, вернули настоящую зиму, веру в чудо
[1175.34s -> 1179.34s]  и, как положено в настоящей сказке, добро победило зло.
[1179.34s -> 1181.34s]  Вот вам ваши подарки.
[1181.34s -> 1182.34s]  Ты помнишь?
[1182.34s -> 1184.34s]  Да, я хотела велосипед.
[1184.34s -> 1186.34s]  А я хотела, чтобы отец вернулся.
[1186.34s -> 1187.34s]  Давайте.
