[0.30s -> 3.94s]  ПОЛИЦЕЙСКАЯ СИГНАЛИЗАЦИЯ
[205.06s -> 206.86s]  пока гинеколог не решил пошутить.
[206.86s -> 207.86s]  Ага.
[207.86s -> 209.62s]  Он мне такой, что, это пузико?
[209.62s -> 210.86s]  Сколько месяцев?
[210.86s -> 211.86s]  Ага.
[211.94s -> 212.94s]  Месяц-полтора?
[212.94s -> 213.94s]  Ага.
[213.94s -> 214.94s]  Он мне говорит, серьезно?
[214.94s -> 216.94s]  Я ему говорю, да, именно столько у тебя будет рука
[216.94s -> 218.94s]  срастаться, если ты еще раз так пошутишь.
[220.94s -> 222.94s]  Слушай, ну они смеются, кстати.
[222.94s -> 224.94s]  Вообще дадут сейчас.
[229.94s -> 230.94s]  Спасибо.
[230.94s -> 231.94s]  Спасибо.
[231.94s -> 233.94s]  О, капусту дали.
[233.94s -> 235.94s]  Класс, класс.
[235.94s -> 237.94s]  Вот, вот этому Юля рада.
[237.94s -> 239.94s]  Вот, вот это по нам.
[241.94s -> 242.94s]  Столовая.
[242.94s -> 244.94s]  Ой, это тебе должно было достаться.
[244.94s -> 245.94s]  Смотри-ка.
[245.94s -> 247.94s]  Еще кто больше всех соберет в педро,
[247.94s -> 248.94s]  получит пять косарей.
[248.94s -> 250.94s]  Это Юля один раз поесть.
[250.94s -> 251.94s]  Я не знаю, а можно?
[251.94s -> 252.94s]  Твари, конечно.
[252.94s -> 253.94s]  Что, что?
[253.94s -> 262.01s]  Здравствуйте, еще раз.
[262.01s -> 264.01s]  Можете, если поаплодировать, будет еще забирать.
[264.01s -> 265.01s]  Отлично.
[265.01s -> 268.01s]  У нас тут неудобный стендап.
[268.01s -> 271.01s]  Действительно, чуть-чуть неудобная ситуация.
[271.01s -> 274.01s]  У меня бабушка, как и все бабки, очень рано встает.
[274.01s -> 275.01s]  Очень рано.
[275.01s -> 278.01s]  Ну, прям хочется спросить, ну, ты ложилась вообще?
[278.09s -> 281.09s]  Знает ли подушка о том существовании в целом?
[281.09s -> 283.09s]  Я вообще так подумала, что все бабки так рано встают,
[283.09s -> 285.09s]  потому что боятся, что их родственники встанут еще раньше
[285.09s -> 287.09s]  и по ошибке их похоронят.
[287.09s -> 288.09s]  Вот.
[288.09s -> 289.09s]  У меня такая...
[289.09s -> 290.09s]  Ладно, давайте лучше общение.
[290.09s -> 293.09s]  Кто-то может, например, предложить какую-то тему для суток?
[293.09s -> 296.09s]  Я сейчас сразу что-нибудь разгоню на ходу.
[296.09s -> 297.09s]  Секс.
[298.09s -> 302.09s]  Вы думаете, я с таким голосом прям *** напрополую?
[302.09s -> 303.09s]  Правильно я понимаю, да?
[303.09s -> 306.09s]  В каком самом необычном месте у вас секс был?
[306.17s -> 309.17s]  Я планирую верить старой девой.
[309.17s -> 312.17s]  Вы планируете старой девой остаться?
[312.17s -> 314.17s]  А Занечка Мотова?
[314.17s -> 316.17s]  Я не верю в секс.
[316.17s -> 317.17s]  Не верите в секс?
[317.17s -> 318.17s]  Ну, он есть.
[320.17s -> 321.17s]  Секс он прям есть.
[321.17s -> 322.17s]  Я прям видел.
[322.17s -> 325.17s]  Ладно, давайте какой-то менее откровенный вопрос.
[325.17s -> 327.17s]  Когда у вас был первый секс?
[327.17s -> 329.17s]  В четыре у вас был?
[329.17s -> 332.17s]  Это надо заявлять в полицию тогда, если так было,
[332.17s -> 334.17s]  потому что это не...
[334.25s -> 337.25s]  Хорошо, вот во сколько у вас был первый секс, серьезно?
[337.25s -> 338.25s]  Да?
[338.25s -> 339.25s]  В пятнадцать.
[339.25s -> 340.25s]  В пятнадцать, вау!
[340.25s -> 343.25s]  У меня с пятнадцать не было возможности ***.
[343.25s -> 345.25s]  Буду честен, у меня была одна возможность,
[345.25s -> 349.25s]  но я отбился от трудовика, так что нет, это не работает.
[349.25s -> 352.25s]  Как у вас это получилось?
[352.25s -> 353.25s]  Молча.
[353.25s -> 354.25s]  Молча?
[354.25s -> 356.25s]  Это плохо.
[356.25s -> 360.25s]  Насколько я понимаю, там издаются звуки обычно в целом.
[360.25s -> 362.25s]  Можно мы с вами про это давайте?
[362.33s -> 365.33s]  Мы с отцом не разговариваем про это, и вот вы, пожалуйста.
[365.33s -> 366.33s]  И я как отец для вас буду.
[366.33s -> 368.33s]  А реально, вы в целом отец чей-то?
[368.33s -> 369.33s]  Пока нет.
[369.33s -> 370.33s]  Но секс был у вас?
[370.33s -> 371.33s]  Был, мама.
[371.33s -> 374.33s]  Скажите, пожалуйста, а когда он у вас был первый раз?
[374.33s -> 376.33s]  По расписанию восемнадцать.
[376.33s -> 377.33s]  По расписанию?
[377.33s -> 380.33s]  Почему я прошел мимо этого расписания ***?
[380.33s -> 383.33s]  Почему меня не включили туда вообще?
[383.33s -> 384.33s]  Как зовут вас?
[384.33s -> 385.33s]  Урал.
[385.33s -> 386.33s]  Урал?
[386.33s -> 388.33s]  Я спросил не откуда вы, а как зовут вас?
[388.33s -> 389.33s]  Урал.
[389.33s -> 390.33s]  Отлично.
[390.41s -> 391.41s]  Отлично.
[391.41s -> 394.41s]  Я не до конца продумал в драматургию выступление,
[394.41s -> 396.41s]  потому что меня сбил Урал.
[396.41s -> 399.41s]  Сбил Урал, как будто про ДТП рассказываю.
[399.41s -> 400.41s]  Так.
[400.41s -> 402.41s]  А можно еще шуток про Урал?
[402.41s -> 403.41s]  Шуток?
[403.41s -> 405.41s]  Просто Коломбуров на Урал вам накидать?
[405.41s -> 406.41s]  Серьезно?
[406.41s -> 408.41s]  Я был за Уралом в кино.
[408.41s -> 411.41s]  Вот, пожалуйста, сидел за ним.
[411.41s -> 414.41s]  Туда тоже на поезде надо ехать очень-очень долго.
[414.41s -> 415.41s]  Нет.
[415.41s -> 419.41s]  На Урал пока никто не поднимался, потому что там метр семьдесят.
[419.49s -> 421.49s]  Не бог весь как подниматься надо.
[421.49s -> 423.49s]  Если вам нравится, я вот могу к вам подойти,
[423.49s -> 425.49s]  и вы можете сюда что-нибудь кинуть.
[425.49s -> 426.49s]  Вот, давайте.
[426.49s -> 427.49s]  Вот, спасибо большое.
[427.49s -> 428.49s]  У нас соревнование идет.
[428.49s -> 430.49s]  Вот, может, я выиграю благодаря вам?
[430.49s -> 431.49s]  Может, не выиграю.
[431.49s -> 432.49s]  Непонятно.
[432.49s -> 433.49s]  Вот.
[433.49s -> 435.49s]  Вы бы такой выбор сделали, да?
[435.49s -> 436.49s]  Обидно.
[436.49s -> 437.49s]  Ладно, хорошо.
[437.49s -> 438.49s]  Так, что?
[438.49s -> 440.49s]  Вы на самом деле прекрасные люди.
[440.49s -> 443.49s]  Спасибо вам большое, что вы послушали.
[443.49s -> 444.49s]  Все.
[444.49s -> 446.49s]  Это парковка рядом с торговым центром.
[446.49s -> 447.49s]  Правильно я понимаю?
[447.49s -> 448.49s]  Ну, это явно, да?
[448.57s -> 449.57s]  Парковка рядом с торговым центром.
[449.57s -> 450.57s]  Вряд ли прям поле бы, да.
[450.57s -> 451.57s]  Ну, да.
[451.57s -> 461.74s]  Так, айо, е, парковка, вы все здесь?
[461.74s -> 464.74s]  Парковка, вас не слышно?
[464.74s -> 469.18s]  Прямо в своей этой пустыне хватает.
[469.18s -> 471.18s]  Там и работает.
[471.18s -> 472.18s]  Да-да-да.
[472.18s -> 473.18s]  У меня есть жена.
[473.18s -> 474.18s]  У кого есть жена?
[474.18s -> 475.18s]  Похлопайте.
[475.18s -> 476.18s]  Покричите.
[476.18s -> 477.18s]  А?
[477.18s -> 478.18s]  Я помолвленная.
[478.18s -> 479.18s]  Помолвленная?
[479.18s -> 480.18s]  На жене он какой-то?
[480.18s -> 481.18s]  Нет.
[481.18s -> 482.18s]  А.
[482.18s -> 483.18s]  Ну, это уже лучше.
[483.18s -> 484.18s]  Если честно говорить, я переживаю за жену,
[484.18s -> 485.18s]  потому что человек постоянно путает цифры, да?
[485.26s -> 488.26s]  Недавно она обещала прийти в два, а пришла в шестнадцатую.
[488.26s -> 492.64s]  О, спасибо тебе большое.
[492.64s -> 493.64s]  Респект и уважение.
[493.64s -> 494.64s]  Как тебя зовут?
[494.64s -> 495.64s]  Миша.
[495.64s -> 496.64s]  Я так своего дочь назову.
[496.64s -> 497.64s]  Да, Ваня.
[497.64s -> 498.64s]  Как тебя зовут, чувак?
[498.64s -> 499.64s]  Да.
[499.64s -> 500.64s]  Кирюх.
[500.64s -> 501.64s]  Кирюх, кем работаешь?
[501.64s -> 502.64s]  Я студент.
[502.64s -> 503.64s]  Студент?
[503.64s -> 504.64s]  А что за работа такая?
[504.64s -> 505.64s]  Сколько платишь?
[505.64s -> 506.64s]  Зачем я на это согласился?
[506.64s -> 507.64s]  И вот я, короче, недавно переехал в Москву,
[507.64s -> 508.64s]  принял участие в Comedy Battle,
[508.64s -> 509.64s]  где выиграл три миллиона.
[509.64s -> 510.64s]  Я тебе отвечаю.
[510.64s -> 511.64s]  Я так обрадовался.
[511.64s -> 512.64s]  Я думал, наконец.
[512.72s -> 513.72s]  Ну это ж круто.
[513.72s -> 515.72s]  Ну просто три миллиона для квартиры в Москве
[515.72s -> 516.72s]  вообще же ни о чем, да?
[516.72s -> 519.72s]  За три миллиона в Москве можно купить однушку в Твери.
[519.72s -> 520.72s]  Это да.
[520.72s -> 521.72s]  Или студию в Подмосковье.
[521.72s -> 522.72s]  Студия знаешь что такое, да?
[522.72s -> 525.72s]  Когда типа в одном помещении сразу и комната, и кухня,
[525.72s -> 528.72s]  желание купить квартиру, вот это вот все.
[528.72s -> 531.72s]  И вот короче, когда ты выигрываешь по телеку в Comedy Battle,
[531.72s -> 534.72s]  тебе надо отдать государству 35%.
[534.72s -> 535.72s]  Прикинь?
[535.72s -> 536.72s]  Да.
[536.72s -> 539.72s]  И вот, короче, когда ты выигрываешь по телеку в Comedy Battle,
[539.72s -> 541.72s]  тебе надо отдать государству 35%.
[541.80s -> 542.80s]  Прикинь?
[542.80s -> 543.80s]  35.
[543.80s -> 545.80s]  35 это миллион 50 тысяч государству.
[545.80s -> 548.80s]  А государство не писало со мной шутки.
[548.80s -> 550.80s]  Не звонил мне глава правительства и такой,
[550.80s -> 552.80s]  слушай, есть-то один прикол, значит.
[552.80s -> 555.80s]  Миллион нам свой не хочешь отдать?
[557.80s -> 558.80s]  Брат, рассказывай шутки.
[558.80s -> 560.80s]  Хочешь стандарт, приколы какие-нибудь?
[560.80s -> 562.80s]  Про казахов что-то надо, да?
[562.80s -> 563.80s]  Да.
[563.80s -> 564.80s]  Вы казахи?
[564.80s -> 565.80s]  Кыргызы.
[565.80s -> 566.80s]  Кыргызы?
[566.80s -> 568.80s]  Но говорите всем, что казахи, правильно?
[568.80s -> 570.80s]  Девчонки, шутку хотите, расскажу какой-нибудь?
[570.88s -> 571.88s]  Давайте, какую тему?
[571.88s -> 572.88s]  Любая тема?
[572.88s -> 573.88s]  Любая.
[573.88s -> 574.88s]  Мертвые бабушки.
[574.88s -> 577.88s]  Я переживаю за жену, что она все штуки накачает,
[577.88s -> 579.88s]  эти огромные, знаете, под носом, вот эти вот.
[579.88s -> 582.88s]  Ну, в курсе, их губы иногда называют еще некоторые.
[582.88s -> 584.88s]  Короче, я переживаю, потому что я сейчас 30 лет,
[584.88s -> 586.88s]  а по статистике женщина накачает себе губы
[586.88s -> 588.88s]  как раз в любом возрасте.
[588.88s -> 591.88s]  Знакомая есть, ну, то есть у нее, короче, бабка умерла
[591.88s -> 594.88s]  в 98 лет, а ей перед этим, ну, накачали губы.
[594.88s -> 596.88s]  Ну, была такая версия, что, как бы,
[596.88s -> 598.88s]  просто губы из нее всю жизнь накачали,
[598.96s -> 599.96s]  поняли?
[599.96s -> 600.96s]  Нормально?
[600.96s -> 601.96s]  Мертвая бабка.
[601.96s -> 602.96s]  Логично все.
[602.96s -> 604.96s]  Раз как Серега ногой к ним ближе двигает,
[604.96s -> 606.96s]  как будто они не кидают деньги,
[606.96s -> 608.96s]  потому что капец далеко.
[608.96s -> 609.96s]  У меня на этом все.
[609.96s -> 611.96s]  Спасибо вам большое за внимание, девчонки.
[614.96s -> 616.96s]  Победила Юлия Демиденкова.
[616.96s -> 621.96s]  Она заработала 385 рублей и ништяков еще на пятихатку.
[621.96s -> 622.96s]  Все, пока-пока.
[622.96s -> 625.96s]  Смотрите неудобный стендап и все.
[625.96s -> 626.96s]  Подписывайтесь на нас.
[626.96s -> 628.04s]  Пожалуйста.
