[0.00s -> 4.04s]  Я хочу стать музыкантом.
[267.61s -> 269.81s]  Да, ты уже устал, ты уже устал от этого, когда я еще даже
[269.81s -> 273.65s]  Паука писал, я понял, что мне вот прям тяжело самим
[273.65s -> 276.49s]  с собой работать, какой-то праздник самого себя, и
[276.49s -> 279.05s]  хотелось постоянно искать что-то, короче, какой-то
[279.05s -> 282.01s]  новый звучок, и я подумал, наверное, нужно сделать что-то
[282.01s -> 285.49s]  электронное, в течение там какого-то промежутка времени
[285.49s -> 288.57s]  я просто писал какие-то стихи, ну просто писал их.
[288.57s -> 289.85s]  Извини, мы грибы все режем?
[290.05s -> 291.53s]  Посмотри, сколько у нас здесь есть.
[291.93s -> 293.73s]  Мне кажется, достаточно.
[293.73s -> 295.73s]  Окей, тогда я грибы пока отставляю.
[295.73s -> 298.77s]  Я думаю, можно порезать немного имбиря и лук, парей.
[300.73s -> 304.73s]  Поэтому альбом «SYRIUS» для меня был очень сложным
[304.73s -> 307.49s]  в плане, пока я его создавал.
[307.49s -> 311.65s]  Эмоционально был не готов, типа, говорить о чем-то,
[311.65s -> 314.85s]  тем более какой-то делать личный альбом, просто я подумал,
[314.85s -> 318.49s]  что если сейчас я перестану выпускать музыку, вообще,
[318.49s -> 323.73s]  ну, начну скорбить, то мне с моей депрессией я далеко не уеду,
[323.73s -> 325.69s]  поэтому как-то работаю.
[325.69s -> 326.69s]  Это склонен к этому, да?
[326.69s -> 330.33s]  Да, я склонен к депрессии, лет 14, это заметно, что очень
[331.33s -> 334.97s]  очень я люблю закрываться в себе, ну, не уносить проблемы
[334.97s -> 338.85s]  за вот эту черту, и музыка, она мне помогла в этом плане,
[338.85s -> 342.73s]  что не нужно ходить ни к какому доктору, я сам все доктор.
[342.73s -> 345.25s]  И за счет того, что ты получается через нее выговариваешься?
[345.25s -> 347.25s]  Да, мне становится легче, да.
[347.25s -> 352.33s]  Поэтому я решил сделать альбом Sirius, возможно, у кого-то нет настроения
[352.33s -> 355.09s]  это слушать, но я не хотел обманывать ни себя, ни слушателя,
[355.09s -> 360.17s]  делая какую-то музыку специальную, мне не хотелось, хотел просто
[360.17s -> 364.45s]  быть собой и сделать то, что я чувствовал на тот момент,
[364.45s -> 365.45s]  рассказать, передать.
[365.45s -> 370.37s]  А, смотри, я зашел не просто так именно через название,
[370.37s -> 372.93s]  немножко такая справка из Википедии для тех, кто нас
[372.93s -> 378.77s]  смотрит, Sirius это звездное тело, двухсоставная, двухкомпонентная звезда,
[378.77s -> 383.05s]  которая в 25 раз больше солнца, и прикол как раз в том, что альбом
[383.05s -> 386.57s]  Sirius, он тоже двухкомпонентный, двухсоставной, то есть поэтому
[386.57s -> 390.21s]  я тебя спросил, ты сперва придумал концепцию альбома, потом
[390.21s -> 391.81s]  причисал под название или наоборот?
[391.81s -> 395.41s]  Ну, у меня там была очень такая детская история про звезду
[395.41s -> 401.25s]  Путеводитель, то есть я живу у Сявпензе, на районе, район
[401.25s -> 405.53s]  называется Шуист, он такой достаточно очень лесной,
[405.53s -> 407.93s]  и я заблудился однажды, мама мне говорила, что если
[407.93s -> 412.65s]  ты заблудишь, смотри как-то, попытайся сориентироваться
[412.65s -> 414.85s]  по звезде, я не знаю, как это произошло, это какая-то
[414.85s -> 418.85s]  детская магия, но я нашел дом, в принципе, мое первое
[418.85s -> 422.29s]  слово это было не папа, не мама, я вообще поздно начал
[422.29s -> 426.85s]  разговаривать относительно, первое слово было луна,
[426.85s -> 430.45s]  через год я уже там начал говорить мама, папа, все
[430.65s -> 433.29s]  первое было луна, конечно, поэтому я как-то всегда был
[433.29s -> 435.33s]  связан с этими телами
[435.33s -> 438.41s]  Мне кажется, я подобного еще не слышал от людей
[438.41s -> 441.05s]  Вот, это, кстати, достаточно прикольное, можно спросить
[441.05s -> 444.05s]  просто у человека, какое было его первое слово, и
[444.05s -> 446.57s]  это может немного охарактеризовать его
[446.57s -> 450.09s]  Расскажи мне, пожалуйста, вот о чем, что вообще для
[450.09s -> 453.25s]  тебя такая музыка?
[453.25s -> 454.25s]  Хороший вопрос
[454.25s -> 457.13s]  Именно, ну, понимаешь, да, именно в глобальном смысле
[457.13s -> 460.37s]  Да-да, я в принципе тоже всегда говорю, что я не
[460.49s -> 463.65s]  рэпер, я музыкант, мне нравится заниматься музыкой, у меня
[463.65s -> 467.37s]  никогда не было такого, что я хочу стать рэпером,
[467.37s -> 469.25s]  я вот вырасту, буду рэпером
[469.25s -> 473.25s]  А ты пришел в хип-хоп вообще, ну, точнее, в музыку, в большую
[473.25s -> 474.57s]  музыку, через какой жанр?
[474.57s -> 476.05s]  Через электронный получается?
[476.05s -> 481.93s]  Я слушал других продюсеров и такой, б***, наверное,
[481.93s -> 482.93s]  нельзя, да, Руга?
[482.93s -> 483.93s]  А можно?
[483.93s -> 489.25s]  Я такой, е***, я тоже хочу делать музон, это же полное
[489.25s -> 490.25s]  мясо
[490.33s -> 494.65s]  Я слушал A-Rap Music, как он бешено на стукивал по своей МПС-шке
[494.65s -> 498.13s]  Подожди, а как ты пришел к тому, чтобы слушать именно
[498.13s -> 501.25s]  продюсеров, потому что же, как начинается знакомство
[501.25s -> 502.25s]  человека с музыкой?
[502.25s -> 504.81s]  Мне всегда нравилось слушать больше инструментал, чем
[504.81s -> 505.81s]  голос
[505.81s -> 507.65s]  Но ты же как-то все равно к этому пришел, то есть,
[507.65s -> 510.77s]  у нас начинается все с поп-культуры, условно, ты включил там
[510.77s -> 513.57s]  телек, какой-нибудь старый МТВ, МОС-ТВ, какой угодно
[513.57s -> 516.45s]  музыкальный канал, и ты видишь артиста, типа Ролл Маддл,
[516.45s -> 519.81s]  и потом, если ты уже к этому прикалываешься и пытаешься
[519.81s -> 521.49s]  копнуть, ты узнаешь, кто продюсер
[521.49s -> 525.25s]  Мне повезло, мне повезло, меня вдохновил Тимба
[525.25s -> 528.65s]  Это вот в его золотое время, с Эли Фортадо, да
[528.65s -> 533.85s]  И он там был, он главный герой, я помню маму прям, вот
[533.85s -> 536.21s]  доставал, можно сказать, что это за трек, что это за
[536.21s -> 538.65s]  трек, скажи мне, что это за трек, мне было лет 8, я вообще
[538.65s -> 542.01s]  не понимал, что происходит, я по радио его услышал, такой
[542.01s -> 543.97s]  там бит мясо, ну короче, она мне рассказала
[543.97s -> 545.93s]  Давай начнем курицу выкладывать, а то у нас сейчас начнется
[545.93s -> 546.93s]  пожар здесь
[547.09s -> 551.65s]  И она мне, ну как бы рассказала, что вот есть такой тип Тимбалан
[551.65s -> 552.65s]  Да, лопаточка
[552.65s -> 556.73s]  А у тебя мама разбирается в музыке?
[556.73s -> 558.73s]  Да, да, да, и папа тоже
[558.73s -> 562.97s]  Ну и как-то она меня всегда учила, что, слушай, сынок,
[562.97s -> 567.41s]  мне кажется, тебе лучше купить одни японские джинсы дорогие,
[567.41s -> 570.25s]  да, нежели там 10 американских
[570.25s -> 572.01s]  Ну разумное потребление, на мой взгляд
[572.01s -> 575.29s]  Ну да, ну она, в общем, обучала меня каким-то вообще вещам,
[575.77s -> 578.93s]  любовь к музыке, мы постоянно слушали музыку, очень часто
[578.93s -> 581.37s]  слушали классику, там, типа, в один день одно, в другой
[581.37s -> 584.81s]  день другое, у меня любовь к музыке была всегда, то есть
[584.81s -> 588.25s]  по музыке люди не двигались в семье, вообще не было ни
[588.25s -> 589.25s]  одного музыканта
[589.25s -> 592.41s]  Но куз был, разбирались в том, что такое движение
[592.41s -> 593.41s]  может быть
[593.41s -> 598.01s]  И вот наконец-то в этом поколении я вот эти вот ковы проклятия
[598.01s -> 600.93s]  разрушил, и у нас теперь в семье есть музыкант
[600.93s -> 601.93s]  Это же прекрасно
[601.93s -> 606.61s]  Ну, изначально восторга никому это не приносила
[606.61s -> 609.93s]  Я думаю, что здесь всему виной наш менталитет
[609.93s -> 612.49s]  В нашей стране была такая точка зрения, что нужна
[612.49s -> 616.85s]  стабильная работа, потому что очень часто сменялись
[616.85s -> 617.85s]  ситуации в стране
[617.85s -> 620.93s]  Было, можно вот так вот в лед, легко остаться без
[620.93s -> 624.13s]  работы, да господи, последние 5 лет, это и сейчас можно
[624.13s -> 625.13s]  ощутить
[625.13s -> 626.13s]  Да, я согласен
[626.13s -> 629.09s]  Вот, и музыкант, это вообще не постоянная работа, это
[629.09s -> 630.09s]  вообще не стабильная история
[630.09s -> 633.73s]  Я согласен, и мне кажется каждому родителю страшно
[633.73s -> 636.89s]  слышать, когда ваши дети говорят, я хочу стать музыкантом
[636.89s -> 639.29s]  Да, или просто в принципе какой-нибудь творческой
[639.29s -> 640.29s]  музыки
[640.29s -> 641.97s]  Они думают, что ты будешь стоять в переходе, играть
[641.97s -> 645.21s]  на гитаре, я не знаю, чем угодно заниматься, но никак
[645.21s -> 647.29s]  не быть продюсером или там, я не знаю, зарабатывать
[647.29s -> 648.29s]  нормальные деньги
[648.29s -> 651.77s]  То есть у нас в стране это как-то отторгается что-ли
[651.77s -> 656.17s]  И даже когда я только начинал, очень было мало поддержки
[656.17s -> 659.45s]  Мне очень нравится, что сейчас уже артисты, которые
[659.45s -> 665.49s]  твердо стоят на ногах в нашем бизнесе, они начинают
[665.49s -> 668.57s]  это понимать на своем опыте и давать эту поддержку
[668.57s -> 669.57s]  молодым
[669.57s -> 672.69s]  Да, да, да, это очень круто, я постоянно помогаю другим
[672.69s -> 676.09s]  продюсерам, артистам, начинающим, битмейкерам, мне вообще
[676.09s -> 679.29s]  очень нравится помогать начинающим людям, типа
[679.29s -> 681.61s]  какую-то привнести свое лепту, чтобы вот когда
[681.61s -> 684.29s]  у него все получилось, ты сможешь на это посмотреть
[684.29s -> 686.81s]  и сказать, блин, так круто, я ведь тоже в тебя верил
[686.81s -> 689.01s]  и у тебя все получилось, это дорогого
[689.17s -> 692.93s]  Это еще же и твой собственный вклад в него, твое наследие
[692.93s -> 696.45s]  Да, да, и это дорогого стоит, когда такое происходит
[696.45s -> 699.57s]  потому что это достаточно редко, допустим, у меня,
[699.57s -> 703.25s]  то есть если даже взять школу, большинство моих одноклассников
[703.25s -> 707.01s]  все закончили музыкальные какие-то там школы, кто-то
[707.01s -> 710.17s]  там учился в академии, но никто из них не стал музыкантом
[710.17s -> 712.49s]  и я очень этому удивляюсь
[712.49s -> 716.97s]  Мне кажется, в этих школах у них забирают всю индивидуальность
[717.01s -> 719.37s]  Не знаю, потому что я постоянно думаю, может быть, мне тоже
[719.37s -> 722.97s]  стоит поступить в музыкальную школу, но что это надо делать?
[722.97s -> 726.33s]  А может, наоборот, тебе стоит открыть какую-то школу
[726.33s -> 729.85s]  чтобы определенными инструментами, которые ты уже понимаешь
[729.85s -> 732.81s]  на собственном опыте, чего тебе лично не хватало
[732.81s -> 737.01s]  обучать людей, ведь наши музыкальные школы, они не учат
[737.01s -> 740.61s]  творчеству, они учат играть на инструментах, вот и все
[740.61s -> 743.73s]  Я помню сальфеджио, блин, я два года ходил в музыкалку
[743.73s -> 746.77s]  я учился играть на гитаре, но как только я дошел до сальфеджио
[746.77s -> 750.13s]  я понял, все, до свидания, меня здесь не будет
[750.13s -> 754.37s]  А я хочу выучить сальфеджио, потому что сальфеджио
[754.37s -> 758.21s]  допустим, ты возьмешь слепого человека, он ведь знает
[758.21s -> 762.09s]  язык Брайля, правильно, то есть это такой же язык
[762.09s -> 765.65s]  для музыкантов сальфеджио, такой же язык тебе нужно
[765.65s -> 770.17s]  его учить, потому что чаще, все чаще и чаще я перебираюсь
[770.17s -> 774.53s]  от каких-то исполнителей в начальном уровне, допустим
[774.53s -> 777.89s]  Например, у LSP или Noise MC, последние коллаборации
[777.89s -> 782.69s]  очень часто работаем вместе, и эти парни знают все про
[782.69s -> 786.17s]  музыку, а у меня это только на интуитивном уровне
[786.17s -> 790.09s]  и мне бы хотелось, допустим, я не знаю, я с утра проснулся
[790.09s -> 792.81s]  взять просто сальфеточку или листок и попытаться
[792.81s -> 795.37s]  написать песню, как вы ее, допустим, писали раньше
[795.37s -> 798.57s]  ведь раньше писали песни, не слушая, это сейчас, я
[798.57s -> 801.53s]  сижу, тыкаю и такой, вот это вот круто, вот эти две
[801.53s -> 806.81s]  Вот эта музыка, это же математика, и можно по формуле в принципе
[806.81s -> 807.81s]  написать мелодию
[807.81s -> 812.69s]  Да, как все и делали, я не знаком с Моцартом, не знаю,
[812.69s -> 816.65s]  что это за перец, но как бы большинство своих произведений
[816.65s -> 820.01s]  мне кажется он даже и не слышал, как, я не знаю,
[820.01s -> 823.97s]  Requiem в д миноре, мне кажется он его и не слышал даже, хотя
[823.97s -> 826.01s]  это потрясающее произведение
[826.01s -> 830.37s]  Мы живем все-таки не в каменном веке, а в 21-м, и поэтому
[830.37s -> 835.89s]  у меня есть интерес к тому, как устроен твой процесс
[835.89s -> 840.41s]  написания музыки, то есть в чем, как, где, пишешь ты только
[840.41s -> 842.17s]  дома или в дороге можешь
[842.17s -> 845.73s]  В принципе, очень часто в поездках, я в конце жизни
[845.73s -> 849.77s]  напишу книгу поездка длиной в жизнь, потому что я постоянно
[849.77s -> 851.69s]  где-то скитаюсь, куда-то еду
[851.69s -> 852.97s]  А ты не сидишь на месте
[852.97s -> 855.89s]  Да, но мне очень нравится это делать, то есть до сих пор
[855.89s -> 859.53s]  живу в Пензе, и когда я возвращаюсь в Пензу, я стараюсь сидеть
[859.53s -> 862.53s]  и дергаться, просто, ну, не делать лишних движений,
[862.53s -> 865.85s]  потому что этим нужно радоваться
[865.85s -> 869.33s]  Да, да, состояние покоя тоже можно прикалываться
[869.33s -> 872.25s]  Для меня это очень важно, так, сейчас я уберу тарелочку,
[872.25s -> 873.25s]  возьму миску
[873.25s -> 878.89s]  И, то есть, как у меня бывает, я придумываю какую-то идею
[878.89s -> 882.09s]  или у меня, допустим, есть бит, есть такое приложение
[882.09s -> 887.49s]  на айфоне, оно называется Voloco, и ты просто берешь,
[887.53s -> 889.81s]  загружаешь туда бит, и ты можешь просто в гарнитуру
[889.81s -> 893.81s]  себе тоже демочку записать, а потом приехать на студию
[893.81s -> 894.81s]  и доделать ее
[894.81s -> 898.25s]  Прикольно, то есть, все-таки, не совсем в каменном веке
[898.25s -> 900.49s]  мы живем, ты используешь все подручные средства
[900.49s -> 905.21s]  Да, ну, стараюсь, потому что иногда очень какая-то
[905.21s -> 907.89s]  мелодия или какой-то трек заедает у тебя в голове,
[907.89s -> 910.89s]  твой же, и тебе нужно от него как-то избавиться, единственное,
[910.89s -> 913.57s]  наверное, возможность это сделать, это записать
[913.57s -> 915.89s]  Возможно, выгнать ее, это вот, записать куда-то,
[916.05s -> 919.41s]  ты больше ее не хранил, потому что очень часто бывает
[919.41s -> 922.49s]  такое, что я там, стою ночью, грубо говоря, я спал
[922.49s -> 924.01s]  Извини, мы не пережарим курицу?
[924.01s -> 925.01s]  Посмотри, как она
[925.01s -> 926.01s]  Ну, хватит, я думаю, нет
[926.01s -> 927.69s]  Мне тоже кажется, можно выключать пока
[927.69s -> 929.41s]  Она не супер сухая должна быть
[929.41s -> 932.01s]  Короче, да, ты выгоняешь эту мелодию, она оставляет
[932.01s -> 934.17s]  тебя в покое, и ты можешь жить дальше
[934.17s -> 938.41s]  То есть, пока ты это не сделаешь, мне вот, лично, очень тяжело
[938.41s -> 941.49s]  существовать, потому что ты все время думаешь только
[941.49s -> 944.01s]  об этой мелодии, и как бы
[944.09s -> 946.45s]  Самое главное, что ты нашел способ, который работает
[946.45s -> 950.09s]  Что тебе дается лучше, от чего ты получаешь больше
[950.09s -> 953.81s]  кайф, от музыки или от текстов, например?
[953.81s -> 957.77s]  Я получаю больше кайф от, естественно, музыки, от
[957.77s -> 960.81s]  инструментальной музыки, я до сих пор очень часто слушаю
[960.81s -> 962.85s]  инструментальную музыку без голоса
[962.85s -> 964.61s]  Так, у нас закипает водичка
[964.61s -> 967.93s]  Отлично, мое изначальное желание, почему я решил
[967.93s -> 971.33s]  писать голос, ну, на своей битве
[971.37s -> 973.97s]  Я, во-первых, подумал о том, что, блин, было бы на самом
[973.97s -> 976.77s]  деле прикольно использовать свой голос, ну, не как, как
[976.77s -> 979.93s]  будто я артист, а да, написать текст, все, придумать мелодию
[979.93s -> 982.85s]  Чтобы это было как будто как дополнительным каким-то
[982.85s -> 984.93s]  инструментом в твоем бите
[984.93s -> 987.13s]  Чтобы это все органично так звучало
[987.13s -> 988.93s]  Ну, как раз по принципу того же Тимба
[988.93s -> 992.21s]  Да, да, он очень любит это делать
[992.21s -> 993.93s]  Я помню, знаешь, была история прикольная
[993.93s -> 996.73s]  Мне очень нравится рэп, когда он смешивается с
[996.73s -> 1000.61s]  кантри, условно, с роком, с чем-то таким, с гитарным
[1000.61s -> 1002.61s]  И был такой, ну, и есть исполнитель
[1002.61s -> 1006.49s]  Просто в начале нулевых у него очень стрельнул
[1006.49s -> 1007.97s]  сингл один, Баба Спаркс
[1007.97s -> 1009.49s]  У него был трек Деливеренс
[1009.49s -> 1013.89s]  Я сижу и думаю, что-то он мне напоминает
[1013.89s -> 1016.93s]  Какой вот, помимо его тембра, там есть еще какой-то
[1016.93s -> 1020.09s]  очень знакомый, и биты такие, типа, трендовые
[1020.09s -> 1022.17s]  По сезону, скажем так
[1022.17s -> 1025.97s]  Блин, я только спустя там, не знаю, 10-15 лет
[1025.97s -> 1027.97s]  смотрел в очередной раз этот клип
[1027.97s -> 1029.81s]  И понял, что там на гитарке
[1029.85s -> 1031.85s]  Сидит и Тимба наяривает
[1031.85s -> 1035.45s]  Вот, и, конечно, меня это очень сильно порадовало
[1035.45s -> 1036.97s]  Вообще мне очень нравится история
[1036.97s -> 1039.57s]  Вот, допустим, была история, как Джастин Тимбер-Лейк
[1039.57s -> 1042.13s]  рассказывал историю, как они создавали трек Секси Бэк
[1042.13s -> 1044.45s]  Они взяли референс
[1044.45s -> 1047.17s]  Это, по-моему, был трек Дэвида Боуи
[1047.17s -> 1048.85s]  Трек Дэвида Боуи, да
[1048.85s -> 1051.41s]  И Джастин говорит, блин, я хочу
[1051.41s -> 1054.25s]  Я, короче, хочу вернуть танцевальную музыку обратно
[1054.25s -> 1056.61s]  Тимба ему говорит
[1057.57s -> 1060.05s]  Чувак, вроде сейчас никто такой не слушает
[1060.05s -> 1061.05s]  Зачем такое делать?
[1061.05s -> 1063.81s]  Он говорит, я хочу вот это так вот попробовать сделать
[1063.81s -> 1066.29s]  В итоге они сидят на студии
[1066.29s -> 1068.65s]  Тимба что-то там начинает писать лид, по-моему
[1068.65s -> 1070.89s]  Джастин Тимбер-Лейк что-то там начинает петь
[1070.89s -> 1072.89s]  Ты такой секси бэк
[1072.89s -> 1074.89s]  И Тимбаленд просто такой
[1074.89s -> 1075.69s]  Е-е-е
[1075.69s -> 1077.69s]  И они это просто в трек вставили
[1077.69s -> 1080.49s]  То есть вот так, собственно, и родился вот этот хук основной
[1080.49s -> 1081.05s]  Да
[1081.05s -> 1081.65s]  Прикольно
[1081.65s -> 1084.77s]  Я так вдохновился, я такой, нифига себе, вот это круто
[1084.97s -> 1087.81s]  То есть когда люди по стечению каких-то обстоятельств
[1087.81s -> 1090.85s]  Просто в воле случая, ну, как бы, рождается такой хиток
[1090.85s -> 1091.49s]  Реально
[1091.49s -> 1094.57s]  Ну это, наверное, и есть вот этот вот рабочий симбиоз
[1094.57s -> 1095.93s]  Когда все точки сходятся
[1095.93s -> 1097.93s]  Тем более у них очень крутой тандем, у них очень крутой тандем
[1097.93s -> 1099.93s]  И сколько лет он существует уже
[1099.93s -> 1103.13s]  По-моему, он начался со второго альбома Джастина
[1103.13s -> 1103.93s]  Да
[1103.93s -> 1105.61s]  Потому что на первом еще Фарел был
[1105.61s -> 1106.65s]  Где-то так
[1106.65s -> 1110.29s]  Потом еще и Нейли появилась и, в общем, там, прочий Тимба
[1110.29s -> 1112.29s]  Блин, я никогда не забуду
[1112.29s -> 1116.69s]  Биф, который был у Тимбы со Скоттом, с Торчем
[1116.69s -> 1120.89s]  И был трек Тимба, Джастин Тимберлейк и Нейли Фортадо
[1120.89s -> 1125.09s]  И там у Тимбы есть даже строки, что типа
[1125.09s -> 1127.45s]  I'm a real producer, you just peon a man
[1127.45s -> 1131.01s]  Это прям такой прямой панч в сторону Скотта
[1131.01s -> 1132.45s]  Не, полное мясо
[1132.45s -> 1133.77s]  Мне очень нравится с Торчем
[1133.77s -> 1134.61s]  Не нравится
[1134.61s -> 1136.45s]  Не? Тебе не нравится?
[1136.45s -> 1139.41s]  Это слишком, как будто
[1139.41s -> 1141.29s]  Ну, я понимаю, какой у него соус
[1141.29s -> 1144.73s]  У него то, что он может, я не знаю, двумя мизинцами наиграть
[1144.73s -> 1146.65s]  Очень крутую мелодию, это его есть соус
[1146.65s -> 1150.13s]  Он вообще, в принципе, когда садится за рояль
[1150.13s -> 1151.69s]  Он играет всем телом
[1151.69s -> 1155.81s]  И он играет на нем так, словно сзади еще и барабанщик фигачит
[1155.81s -> 1158.33s]  Да, это круто, но мне не хватает чего-то
[1158.33s -> 1160.25s]  Вот у Тимбы есть что-то
[1160.25s -> 1164.33s]  Вот ты навсегда запомнишь его перкуссии, его драм-партию
[1164.33s -> 1167.85s]  Ты ее не сможешь забыть, у него свои ритмы есть, типа
[1167.85s -> 1170.01s]  Мне кажется, у Скотта не появилось такой изюмики
