[0.43s -> 14.64s]  Добро пожаловать на шоу-аукцион!
[221.06s -> 222.06s]  Да.
[222.06s -> 223.06s]  Отлично.
[223.06s -> 224.06s]  Так, что она делает?
[224.06s -> 225.06s]  Она...
[225.06s -> 226.06s]  Если ты намажешь ей, будешь такой же красивой, как и
[226.06s -> 227.06s]  ты?
[227.06s -> 228.06s]  Благодарю, да.
[228.06s -> 234.06s]  Вообще, это очень крутой бренд домашнего ухода.
[234.06s -> 237.06s]  И домашний уход, он очень сильно помогает, если вы
[237.70s -> 240.70s]  будете косметологой или вообще ухаживаете за
[240.70s -> 241.70s]  собой.
[241.70s -> 242.70s]  Для меня домашний уход, это что-то, знаешь...
[242.70s -> 245.70s]  Потому что ты пользуешься кремами, которые я тебе даю,
[245.70s -> 246.70s]  ты не покупаешь сам.
[246.70s -> 247.70s]  Что ты всем рассказываешь, все?
[247.70s -> 248.70s]  Что ты рассказываешь всем?
[248.70s -> 249.70s]  Ты хочешь раскрыть карты?
[249.70s -> 250.70s]  Да.
[250.70s -> 253.70s]  Ты даже не знаешь, что ты там мажешь.
[253.70s -> 256.70s]  Я не знаю, чем, но скользит невероятно.
[256.70s -> 257.70s]  Так, что она...
[257.70s -> 258.70s]  Какой эффект, расскажите, Юля?
[258.70s -> 261.70s]  Удивительный эффект, тонизирующий, подтягивающий, увлажняющий.
[261.70s -> 264.70s]  Короче, друзья, все, кто сегодня получит эту маску,
[264.70s -> 266.70s]  а точнее это будет один человек, который выиграет...
[267.34s -> 269.34s]  Она, кстати, новая, я не пользовалась ей.
[269.34s -> 271.34s]  А, ну так это меняет дело.
[271.34s -> 273.34s]  Мы думали, она уже початая.
[273.34s -> 276.34s]  Если бы она была початая, мы хотя бы знали, что там
[276.34s -> 279.34s]  твои отпечатки как минимум, что она чувствовала вкус
[279.34s -> 280.34s]  твоих...
[280.34s -> 282.34s]  Ей, кстати, надо проверить, она новая.
[282.34s -> 284.34s]  Ой, будет облом, лучше не открывай тогда.
[284.34s -> 285.34s]  За что мы будем биться?
[285.34s -> 286.34s]  За просто коробочку?
[286.34s -> 287.34s]  Да, новая, новая.
[287.34s -> 290.34s]  Дорогие друзья, дамы и господа, вашему вниманию
[290.34s -> 292.34s]  лот номер один.
[292.34s -> 295.34s]  Невероятная маска от Юрии Топольницкой, которая советует
[295.98s -> 297.98s]  ее, которая мажется ей каждый день, и она обеспечивает
[297.98s -> 299.98s]  ей вот такую вот невероятную красоту.
[299.98s -> 302.98s]  Внимание, леди и джентльмены, разрешите пригласить
[302.98s -> 304.98s]  к нам наш усложнитель.
[304.98s -> 313.34s]  Пожалуйста, вот ваши аплодисменты.
[313.34s -> 316.34s]  Итак, дорогие друзья, ну, уважаемые дамы и господа,
[316.34s -> 319.34s]  на нашем лобном месте появился усложнитель.
[319.34s -> 321.34s]  Это пиявочки.
[321.34s -> 323.34s]  И у нас есть первая ставка.
[323.34s -> 325.34s]  Пожалуйста, да.
[325.34s -> 327.34s]  Я готова приложить две пиявки на руки.
[327.34s -> 329.34s]  Пятки никто не видит, а руки всегда на виду.
[329.34s -> 331.34s]  Согласен.
[331.98s -> 333.98s]  То есть на кисти, вот сюда, на верхней части кисти.
[333.98s -> 335.98s]  Две.
[335.98s -> 337.98s]  По одной, на каждую руку?
[337.98s -> 339.98s]  Да.
[339.98s -> 341.98s]  Отлично.
[341.98s -> 343.98s]  Итак, друзья, кто больше?
[343.98s -> 345.98s]  Две пиявки на пятки, две пиявки на руки.
[345.98s -> 347.98s]  Кто больше?
[347.98s -> 349.98s]  Номер 29, ваша ставка.
[349.98s -> 351.98s]  У меня сосали, но никогда не...
[351.98s -> 353.98s]  Секундочку.
[353.98s -> 355.98s]  Но никогда не сосали пиявки.
[355.98s -> 357.98s]  Поэтому я бы хотел посадить всех
[357.98s -> 359.98s]  на свое лицо.
[359.98s -> 361.98s]  Как же твои бывшие? Ну подожди.
[361.98s -> 363.98s]  Они тоже сидели на моем лице.
[363.98s -> 365.98s]  Тоже были, да? Скажи, ты всех пропускаешь
[365.98s -> 367.98s]  через свое лицо?
[367.98s -> 369.98s]  Это кастинг.
[369.98s -> 371.98s]  Это хороший кастинг.
[371.98s -> 373.98s]  Господин, под номером 29
[373.98s -> 375.98s]  скажите, вы готовы все
[375.98s -> 377.98s]  11 штук посадить себе на лицо?
[377.98s -> 379.98s]  Да, безусловно.
[379.98s -> 381.98s]  Посадить 11 пиявок себе на лицо?
[381.98s -> 383.98s]  Раз.
[383.98s -> 385.98s]  Посадить 11 пиявок себе на лицо?
[385.98s -> 387.98s]  Два.
[387.98s -> 389.98s]  Посадить 11 пиявок себе на лицо?
[389.98s -> 391.98s]  Три. Продана господин,
[391.98s -> 393.98s]  под номером 29.
[393.98s -> 395.98s]  Посадить 11 пиявок себе на лицо?
[395.98s -> 397.98s]  Приступить к выполнению
[397.98s -> 399.98s]  ставки.
[399.98s -> 401.98s]  Вам правда нужна эта
[401.98s -> 403.98s]  маска? Настолько?
[403.98s -> 405.98s]  Это очень хорошая маска.
[405.98s -> 407.98s]  Конечно. Конечно. Ты что? Здесь смотри.
[407.98s -> 409.98s]  Нет, она правда... Это твоя работа?
[409.98s -> 411.98s]  Сейчас у Артема отсосут токсины.
[411.98s -> 413.98s]  Потом
[413.98s -> 415.98s]  маской он залечит. Он выйдет
[415.98s -> 417.98s]  отсюда просто невероятным. Все бывшие скажут
[417.98s -> 419.98s]  чего мы упустили?
[419.98s -> 421.98s]  Что я делал не так?
[421.98s -> 437.39s]  Артем, поднимайся.
[437.39s -> 439.39s]  Все нормально. Кровь какое-то время. Мы хотим
[439.39s -> 441.39s]  все посмотреть на тебя. Во! Продырявили
[441.39s -> 443.39s]  лицо у человека. Жестко!
[445.39s -> 447.39s]  Монстр! Юлия Николаевна,
[447.39s -> 449.39s]  ставка по всей видимости сыграла.
[449.39s -> 451.39s]  Да, пожалуйста.
[451.39s -> 453.39s]  Прекрасно.
[453.39s -> 455.39s]  Очень-очень. Ты все теперь обновленный.
[455.39s -> 457.39s]  Человек молодец же.
[457.39s -> 459.39s]  Я надеюсь, она тебе понравится.
[463.39s -> 465.39s]  Спасибо!
[465.39s -> 467.39s]  Ваше аплодисменты, Артем.
[467.39s -> 469.39s]  Спасибо большое.
[469.39s -> 471.39s]  Леди Ди, забирайте микрофончики.
[473.39s -> 475.39s]  Юля, расскажи, ну как тебе?
[475.39s -> 477.39s]  У вас очень увлекательно.
[477.39s -> 479.39s]  Это только первый лот.
[479.39s -> 481.39s]  Понимаешь, что будет дальше?
[481.39s -> 483.39s]  Большой-большой вопросик.
[483.39s -> 485.39s]  Я не думала, что здесь так по-настоящему.
[485.39s -> 487.39s]  Все трушно.
[487.39s -> 489.39s]  Мы здесь в шоу-бизнесе жестко все
[489.39s -> 491.39s]  наяриваем. Друзья, давайте
[491.39s -> 493.39s]  так же жестко перейдем
[493.39s -> 495.39s]  к следующему лоту.
[497.39s -> 499.39s]  Это, на самом деле, очень классная толстовка.
[499.39s -> 501.39s]  Надо показать.
[501.39s -> 503.39s]  А, нельзя, да, показывать?
[503.39s -> 505.39s]  Ну, наверное, можно показывать.
[505.39s -> 507.39s]  Конечно, можно. Ты что принесла?
[507.39s -> 509.39s]  Вдруг там, что скрытые есть какие-то дефекты?
[509.39s -> 511.39s]  Она новая?
[511.39s -> 513.39s]  Она не новая. Я ее наносила, честно.
[513.39s -> 515.39s]  Очень сильно нравится. Но все мои друзья говорят,
[515.39s -> 517.39s]  что я в ней как плюшевый медвежонок.
[517.39s -> 519.39s]  Ну, пипец ты ее сейчас сложила. Кому вот это вот нужно?
[519.39s -> 521.39s]  Она и так красиво была сложена. Ты просто
[521.39s -> 523.39s]  ладно, все нормально. Че ты?
[523.39s -> 525.39s]  Я знаю, что ты по-другому не умеешь.
[525.39s -> 527.39s]  Я умею.
[527.39s -> 529.39s]  Вот так.
[529.39s -> 531.39s]  Другое дело.
[531.39s -> 533.39s]  Спасибо большое.
[533.39s -> 535.39s]  Сколько стоит
[535.39s -> 537.39s]  вот эта толпа?
[537.39s -> 539.39s]  Ну, по-моему, она
[539.39s -> 541.39s]  стоила десятку.
[541.39s -> 543.39s]  Десять тысяч рублей?
[543.39s -> 545.39s]  Да. Пипец. Ну, ладно,
[545.39s -> 547.39s]  друзья. Лот номер два.
[547.39s -> 549.39s]  Невероятная худи. За
[549.39s -> 551.39s]  десять тысяч рублей достанется
[551.39s -> 553.39s]  вам, кто
[553.39s -> 555.39s]  готов сделать большую ставочку. Итак,
[555.39s -> 557.39s]  дамы и господа, лот представлен.
[557.39s -> 559.39s]  Разрешите представить вам наш
[559.39s -> 561.39s]  усложнитель, пожалуйста.
[561.39s -> 563.39s]  Это Альберт. Пожалуйста,
[563.39s -> 565.39s]  вставайтесь вот сюда, вставайтесь
[565.39s -> 567.39s]  к нам здесь, рядышком. Альберт
[567.39s -> 569.39s]  художник. Сегодня у вас
[569.39s -> 571.39s]  будет прекрасная возможность
[571.39s -> 573.39s]  использовать свое тело в качестве
[573.39s -> 575.39s]  холста, масляной краски
[575.39s -> 577.39s]  и вся ваша фантазия.
[577.39s -> 579.39s]  Все, что вы готовы нарисовать
[579.39s -> 581.39s]  на своем теле. Итак,
[581.39s -> 583.39s]  делайте ваши ставки, друзья.
[583.39s -> 585.39s]  Пожалуйста, первая ставка, номер
[585.39s -> 587.39s]  двадцать шесть.
[587.39s -> 589.39s]  Это, кстати, не такая
[589.39s -> 591.39s]  жесть, как с пиявками.
[591.39s -> 593.39s]  Здравствуйте, меня зовут Марина, я готова
[593.39s -> 595.39s]  нарисовать радугу на
[595.39s -> 597.39s]  кистьях рук. Радугу на
[597.39s -> 599.39s]  кистьях рук. Хорошо, ставочка принята.
[599.39s -> 601.39s]  Кто больше, друзья, повышаем ставочку.
[601.39s -> 603.39s]  На кону у нас невероятная
[603.39s -> 605.39s]  Худи. Пожалуйста.
[605.39s -> 607.39s]  Здравствуйте, я готова на лбу.
[607.39s -> 609.39s]  Это же просто краски, я думаю.
[609.39s -> 611.39s]  Просто краски, да. На лбу что
[611.39s -> 613.39s]  выход готовы? Нарисовать бабочку
[613.39s -> 615.39s]  какую-нибудь красивую.
[615.39s -> 617.39s]  Бабочку на лбу. Хорошо, ставочка принята.
[617.39s -> 619.39s]  Итак, номер двадцать один, пожалуйста.
[619.39s -> 621.39s]  Я готова отдать свое лицо,
[621.39s -> 623.39s]  как полотно художнику. Вау,
[623.39s -> 625.39s]  отдать свое лицо, как Артем. Отлично!
[625.39s -> 627.39s]  Шикарно, это как-то передается какими-то
[627.39s -> 629.39s]  флюидами. Надеюсь, я не буду в крови
[629.39s -> 631.39s]  после. Все, полностью лицо, вы готовы
[631.39s -> 633.39s]  отдать в руки нашего замечательного художника
[633.39s -> 635.39s]  Мальберто. Да.
[635.39s -> 637.39s]  Для того, чтобы разрисовать его. Да, шикарно.
[637.39s -> 639.39s]  Прекрасная ставка, друзья, кто больше?
[639.39s -> 641.39s]  Следующая ставочка, номер двадцать восемь,
[641.39s -> 643.39s]  пожалуйста. Я готова нарисовать
[643.39s -> 645.39s]  на своем лице,
[645.39s -> 647.39s]  на руках и на шее, что угодно
[647.39s -> 649.39s]  на усмотрение художника.
[649.39s -> 651.39s]  Итак, номер двадцать восемь,
[651.39s -> 653.39s]  вау, готова отдать руки,
[653.39s -> 655.39s]  шею и лицо
[655.39s -> 657.39s]  нашему многоуважаемому
[657.39s -> 659.39s]  художнику Мальберто. Отлично!
[659.39s -> 661.39s]  Есть еще одна ставочка у нас,
[661.39s -> 663.39s]  номер шесть, если я не ошибаюсь. Готовы ли
[663.39s -> 665.39s]  вы перебить? Меня зовут Лена,
[665.39s -> 667.39s]  на самом деле, у меня была такая же идея,
[667.39s -> 669.39s]  но давайте
[669.39s -> 671.39s]  я отдам в распоряжение художника
[671.39s -> 673.39s]  еще и свои волосы.
[675.39s -> 677.39s]  Еще краска.
[679.39s -> 681.39s]  Если это, конечно, смыть можно будет легко,
[681.39s -> 683.39s]  смотря какая краска.
[683.39s -> 685.39s]  Какая Мальберто краска у нас,
[685.39s -> 687.39s]  скажите, она смываемая?
[687.39s -> 689.39s]  Хорошо!
[689.39s -> 691.39s]  Номер двадцать один, пожалуйста, у нас
[691.39s -> 693.39s]  перебивает ставочку. Давайте, на что готовы вы?
[693.39s -> 695.39s]  Я готова ко всему этому добавить плечи
[695.39s -> 697.39s]  и ключицы. Руки, плечи,
[697.39s -> 699.39s]  лицо, волосы
[699.39s -> 701.39s]  и шея. Мне очень понравилась
[701.39s -> 703.39s]  ваша толстовка.
[703.39s -> 705.39s]  Действительно. На второй лот
[705.39s -> 707.39s]  у нас накану невероятная
[707.39s -> 709.39s]  толстовочка. Итак,
[709.39s -> 711.39s]  раз, два, три,
[711.39s -> 713.39s]  продана номер двадцать один.
[715.39s -> 717.39s]  Прошу приступить к выполнению
[717.39s -> 719.39s]  ставки.
[719.39s -> 721.39s]  Как вас зовут? Меня зовут Лия.
[721.39s -> 723.39s]  Лия, пожалуйста, раздевайтесь тогда.
[775.04s -> 777.04s]  Главное, что я оставил, покажись, пожалуйста,
[777.04s -> 779.04s]  вот, что у нас получается.
[779.04s -> 781.04s]  С другой стороны, покажись, покажись.
[781.04s -> 783.04s]  Угадайте, где моя работа,
[783.04s -> 788.02s]  угадайте, где моя.
[788.02s -> 790.02s]  Ну что ж,
[790.02s -> 792.02s]  дорогие друзья, провожаем нашего
[792.02s -> 794.02s]  многоважаемого художника. Мальберто, спасибо
[794.02s -> 796.02s]  вам большое, госпожа Юлия Николаевна
[796.02s -> 798.02s]  Шкарапальницкая, о,
[798.02s -> 800.02s]  принцесса польская, вручите, пожалуйста,
[800.02s -> 802.02s]  вручите, пожалуйста, нашему многоважанию.
[802.02s -> 804.02s]  Пожалуйста. Да,
[804.02s -> 806.02s]  вставочка сыграла!
[806.02s -> 808.02s]  Бам, друзья!
[808.02s -> 810.02s]  Да!
[810.02s -> 812.02s]  Шикарно!
[812.02s -> 814.02s]  Мне однажды спросили, а как
[814.02s -> 816.02s]  можно получить носки Насти
[816.02s -> 818.02s]  Ивлеевой? Очень просто прийти на шоу
[818.02s -> 820.02s]  аукцион, друзья, это шоу аукцион, и у нас
[820.02s -> 822.02s]  лот номер три!
[824.02s -> 826.02s]  Расскажите, пожалуйста, что это?
[826.02s -> 828.02s]  Черт возьми такое!
[828.02s -> 830.02s]  Это сумка, спортивная сумка,
[830.02s -> 832.02s]  чтобы заходить с ней на фитнес.
[832.02s -> 834.02s]  Так, ты ходила с ней на фитнес?
[834.02s -> 836.02s]  Да, я ходила на фитнес,
[836.02s -> 838.02s]  и в ней еще есть
[838.02s -> 840.02s]  супер классный коврик
[840.02s -> 842.02s]  для занятия спортом
[842.02s -> 844.02s]  либо дома. Это коврик для коврика,
[844.02s -> 846.02s]  коврика для коврика.
[846.02s -> 848.02s]  Такой коврик,
[848.02s -> 850.02s]  или если вдруг вы замерзнете где-нибудь
[850.02s -> 852.02s]  на улице, хоп, пока автобус ждешь.
[852.02s -> 854.02s]  Расскажи, помогла ли эта сумка
[854.02s -> 856.02s]  как-то лучше выглядеть тебе?
[856.02s -> 858.02s]  Конечно! Чаще ходить на спорт?
[858.02s -> 860.02s]  Во-первых, она симпатичная,
[860.02s -> 862.02s]  когда ты приходишь с какой-то
[862.02s -> 864.02s]  красивой вещью на спорте,
[864.02s -> 866.02s]  и сразу же, знаешь, это говорят,
[866.02s -> 868.02s]  что нужно заниматься в красивой форме,
[868.02s -> 870.02s]  чтобы было какое-то эстетическое удовольствие.
[870.02s -> 872.02s]  Кто говорит?
[872.02s -> 874.02s]  Ну, люди, вот эти марафоны же всякие разные.
[874.02s -> 876.02s]  Вот эти марафоны.
[876.02s -> 878.02s]  Стань лучше и так далее.
[878.02s -> 880.02s]  В общем, сумка классная,
[880.02s -> 882.02s]  и она очень функциональная и удобная.
[882.02s -> 884.02s]  Ты прошла этот марафон, и тебе сказали,
[884.02s -> 886.02s]  избавь себя теперь от этого всего лишнего.
[886.02s -> 888.02s]  Нет, я пришла на это шоу,
[888.02s -> 890.02s]  мне сказали, нужны вещи.
[890.02s -> 892.02s]  Когда я собирала вещи, ты мне сказал,
[892.02s -> 894.02s]  бери нормальные.
[894.02s -> 896.02s]  Бери нормальные вещи, действительно,
[896.02s -> 898.02s]  поэтому у нас самые крутые вещи.
[898.02s -> 900.02s]  Леди и джентльмены, дамы и господа,
[900.02s -> 902.02s]  лот номер три представлен,
[902.02s -> 904.02s]  разрешите представить вам наш усложнитель.
[904.02s -> 906.02s]  Усложнитель студии!
[906.02s -> 908.02s]  Дамы и господа,
[908.02s -> 910.02s]  много уважаемые гости,
[910.02s -> 912.02s]  на нашем лобном месте чудесным образом
[912.02s -> 914.02s]  оказалась беговая дорожка
[914.02s -> 916.02s]  для этого спорта.
[916.02s -> 918.02s]  Что будет происходить на ней?
[918.02s -> 920.02s]  Человек будет бежать,
[920.02s -> 922.02s]  и будет такой усложнитель,
[922.02s -> 924.02s]  мы будем высыпать сюда некие гречи,
[924.02s -> 926.02s]  крупы, макароны,
[926.02s -> 928.02s]  лего и так далее.
[928.02s -> 930.02s]  Битое стекло, проституток и так далее.
[930.02s -> 932.02s]  Все, чтобы помешать человеку
[932.02s -> 934.02s]  пройти, дойти до цели.
[934.02s -> 936.02s]  Итак, делайте ваши ставки.
[936.02s -> 938.02s]  Номер семь, пожалуйста.
[938.02s -> 940.02s]  Я продержусь на этой беговой дорожке.
[940.02s -> 942.02s]  При условии
[942.02s -> 944.02s]  всех этих усложнителей,
[944.02s -> 946.02s]  подсыпателей, три минуты.
[946.02s -> 948.02s]  Три минуты, госпожа под номером семь
[948.02s -> 950.02s]  готова пройти по невероятно
[950.02s -> 952.02s]  сложной беговой дорожке
[952.02s -> 954.02s]  со всеми усложнителями
[954.02s -> 956.02s]  и прочими выходящими оттуда.
[956.02s -> 958.02s]  Это очень высокая ставка, друзья.
[958.02s -> 960.02s]  Три минуты. Это, кстати, очень хорошо.
[960.02s -> 962.02s]  Есть следующая ставка, номер тридцать, пожалуйста.
[962.02s -> 964.02s]  Четыре минуты пройдут. Четыре минуты со скоростью
[964.02s -> 966.02s]  пять километров в час, да? Да.
[966.02s -> 968.02s]  Шикарно, красавчик. Кто больше, друзья?
[968.02s -> 970.02s]  Номер, не вижу, не понимаю, посмотри.
[970.02s -> 972.02s]  Молодец, номер пять. Вы готовы
[972.02s -> 974.02s]  на что? Пять минут.
[974.02s -> 976.02s]  Пять минут. И скорость?
[976.02s -> 978.02s]  Шесть. Шесть километров в час.
[978.02s -> 980.02s]  Отлично. Спасибо большое. Номер пять.
[980.02s -> 983.71s]  Давайте, 5 минут
[983.71s -> 985.71s]  это максимум.
[985.71s -> 987.71s]  Пять минут максимум. Я предлагаю просто увеличивать скорость тогда.
[987.71s -> 989.71s]  Номер 30, пожалуйста.
[989.71s -> 991.71s]  Пять минут семь
[991.71s -> 993.71s]  километров в час. Пять минут со скоростью
[993.71s -> 995.71s]  семь километров в час. Отлично. Номер 30 прийдет.
[995.71s -> 997.71s]  Номер пять, пожалуйста, ваша ставка?
[997.71s -> 998.71s]  Восемь.
[998.71s -> 1000.71s]  Восемь километров в час.
[1000.71s -> 1002.71s]  Пять минут мы идем, отлично.
[1002.71s -> 1003.71s]  Друзья, кто больше?
[1003.71s -> 1005.71s]  На кону невероятная сумка,
[1005.71s -> 1008.71s]  с которой Юля Дополицкая ходила в спортзал,
[1008.71s -> 1011.71s]  занималась спортом, ходила в чебуречную, в кофейню и так далее.
[1011.71s -> 1013.71s]  Итак, друзья, кто больше?
[1013.71s -> 1014.71s]  Делаем ваши ставки.
[1014.71s -> 1015.71s]  Номер тридцать.
[1015.71s -> 1016.71s]  Семнадцать.
[1016.71s -> 1018.71s]  Семнадцать километров в час.
[1018.71s -> 1020.71s]  Господин номер тридцать.
[1020.71s -> 1023.71s]  Семнадцать километров в час.
[1023.71s -> 1024.71s]  Пять минут.
[1026.71s -> 1027.71s]  Итак, номер тридцать.
[1027.71s -> 1028.71s]  Раз.
[1028.71s -> 1029.71s]  Номер тридцать.
[1029.71s -> 1030.71s]  Два.
[1031.71s -> 1033.71s]  Бежать со скоростью.
[1033.71s -> 1034.71s]  Семнадцать километров в час.
[1034.71s -> 1039.71s]  В течение пяти минут со всеми усложнителями продано номеру тридцать.
[1039.71s -> 1040.71s]  Бам!
[1041.71s -> 1043.71s]  Прошу приступить к выполнению ставки.
[1044.71s -> 1045.71s]  Итак, что мы имеем?
[1045.71s -> 1050.71s]  Мы имеем макароны, рожочки, двенадцать килограмм лего
[1050.71s -> 1055.71s]  и буквально где-то килограмм шесть-семь гречевой крупы.
[1055.71s -> 1058.71s]  У нас специально для вас приготовлен секундомер.
[1058.71s -> 1060.71s]  Илья, готовы ли вы?
[1060.71s -> 1061.71s]  Да.
[1061.71s -> 1064.71s]  Итак, дамы и господа, запускайте таймер!
[1064.71s -> 1065.71s]  Пошло!
[1065.71s -> 1066.71s]  Время пошло!
[1066.71s -> 1069.71s]  Ангелина Семеновна, давайте к нам!
[1069.71s -> 1070.71s]  С чего начать?
[1070.71s -> 1073.71s]  С крупы какой-то, да, по мере накопления.
[1073.71s -> 1074.71s]  И понеслась.
[1074.71s -> 1076.71s]  Потихонечку прибавляем туда.
[1076.71s -> 1078.71s]  Поехали!
[1078.71s -> 1081.71s]  О, хороший, хороший.
[1081.71s -> 1084.71s]  Пока нормально, полет нормальный.
[1084.71s -> 1087.71s]  Давайте мы разбавим чуть-чуть под него.
[1087.71s -> 1092.50s]  Масло, масло в огонь.
[1092.50s -> 1093.50s]  А так?
[1093.50s -> 1094.50s]  А так?
[1094.50s -> 1095.50s]  А так?
[1095.50s -> 1096.50s]  А так?
[1097.50s -> 1098.50s]  А так?
[1099.50s -> 1100.50s]  А так?
[1101.50s -> 1102.50s]  Как бежится?
[1102.50s -> 1103.50s]  Нормально?
[1103.50s -> 1105.50s]  Ты смотри, ему не больно.
[1108.13s -> 1109.13s]  Конечно.
[1109.13s -> 1116.92s]  Не больно?
[1116.92s -> 1118.92s]  Подожди пока, подожди пока.
[1118.92s -> 1119.92s]  Давайте!
[1119.92s -> 1122.92s]  Елена Светлановна, дайте нам огня!
[1131.04s -> 1133.04s]  На, на, нагреть еще тебе!
[1134.04s -> 1135.04s]  Где тарики?
[1136.04s -> 1138.04s]  И пошел!
[1139.04s -> 1140.04s]  Бум!
[1140.04s -> 1141.04s]  Бум!
[1141.04s -> 1142.04s]  Хорошо, друзья.
[1142.04s -> 1144.04s]  Ну, мне кажется, да.
[1144.04s -> 1146.04s]  Да, у нас все закончилось.
[1146.04s -> 1148.04s]  У нас еще время есть, да, ему тогда?
