[1.11s -> 2.11s]  Нирничаю.
[907.44s -> 908.44s]  Да, да, да.
[909.44s -> 911.44s]  И эти же продавцы, которые просто, мне в 13 лет показали MF Duma.
[912.44s -> 916.44s]  Они дали мне, я говорю, мне нужен рэпчик, но типа без вокала, чисто инструментал.
[917.44s -> 919.44s]  И они мне дали Metal Fingers, вот этот MF Duma альбом.
[920.44s -> 921.44s]  Этот альбом изменил мою жизнь.
[922.44s -> 925.44s]  Я когда послушал биты, я вначале не слышал MF Duma вокал.
[926.44s -> 928.44s]  Я чисто вначале познакомился с его битами.
[929.44s -> 932.44s]  Я услышал музыку и думаю, блин, просто я хочу тебе писать музыку.
[933.44s -> 934.44s]  Такую же музыку, как вот он.
[935.44s -> 937.44s]  Тебя вообще на музло вдохновило.
[938.44s -> 944.44s]  Именно вот чтобы начать писать музыку, он меня вдохновил в плане, что Goldie, конечно, тоже.
[944.44s -> 948.44s]  Потому что он нарисовал граффити и писал музыку.
[949.44s -> 953.44s]  Еще есть документальный фильм про граффити, где есть фотки молодой Goldie метро рисует.
[954.44s -> 956.44s]  Еще худой, не такой качок.
[957.44s -> 959.44s]  А Duma ты мог бы назвать своим любимым артистом?
[960.44s -> 963.44s]  Ну, прям так, у меня нет такого любимого артиста.
[964.44s -> 965.44s]  Ну один артист, тебе приятно.
[966.44s -> 968.44s]  Ну да, да, да. Я считаю, что он как бы повлиял на меня.
[969.44s -> 972.44s]  Я просто знаю еще одного артиста.
[973.44s -> 977.44s]  Рэпера, точнее рэпершоу, который настолько сильно любит Duma,
[978.44s -> 981.44s]  что можно сказать, что он привел ее во всю эту хип-хоп-движуку.
[982.44s -> 984.44s]  Это исполнительница Гевлин из Лос-Анджелеса.
[985.44s -> 992.44s]  Она когда была в Москве, у меня была такая, знаешь, ну для Лос-Анджелеса это скорее андеграунд-сцена.
[993.44s -> 994.44s]  К нам она приезжала несколько раз.
[995.44s -> 999.44s]  В свое время у меня был радиошоу, в который она приходила как гость,
[1000.44s -> 1002.44s]  и у нее даже татух вот здесь есть с Макдубом.
[1003.44s -> 1004.44s]  В двух словах, что мы делаем дальше?
[1005.44s -> 1007.44s]  Я сейчас закину сюда лучок и начну обжарить твои овощи.
[1008.44s -> 1009.44s]  А я обжарю чесночок.
[1010.44s -> 1011.44s]  Да, ты чистишь чесночок и готовишь соус для наших садений.
[1012.44s -> 1013.44s]  Фирменный соус.
[1014.44s -> 1015.44s]  А что это за фирменный соус?
[1016.44s -> 1017.44s]  Что за фирменный соус?
[1018.44s -> 1023.44s]  Барселонетус. Меня научили это пакистанские барыги в Барселоне.
[1024.44s -> 1026.44s]  Пакистанские барыги в Барселоне, офигенно.
[1027.44s -> 1028.44s]  Мы это сможем оставить?
[1029.44s -> 1030.44s]  Да.
[1031.44s -> 1032.44s]  Отлично.
[1033.44s -> 1035.44s]  Мы их просто называли паки, как пакмены.
[1036.44s -> 1038.44s]  Они как пакмены такие хавали все.
[1039.44s -> 1041.44s]  То есть музыка и граффити примерно одновременно пришло в твою жизнь?
[1042.44s -> 1046.44s]  Да. Я типа думал, у меня был такой андеграунд-смм в моей голове.
[1047.44s -> 1049.44s]  Я делаю музыку, я делаю рэп.
[1050.44s -> 1052.44s]  Как мне рекламирует себя граффити?
[1053.44s -> 1059.44s]  Как человек может читать о рэпе и никакого не иметь отношения,
[1060.44s -> 1063.44s]  не то что к культуре, а каким-то противостоянием к законам.
[1064.44s -> 1067.44s]  Я даже перестал. Я как бы сейчас меньше рисую граффити
[1068.44s -> 1070.44s]  и меньше во всех этих приключениях странных нахожусь.
[1071.44s -> 1073.44s]  И из-за этого я даже стал переходиться.
[1074.44s -> 1076.44s]  Если раньше я читал только рэп жесткий,
[1077.44s -> 1079.44s]  то сейчас я стал больше романтиком.
[1080.44s -> 1083.44s]  То есть для тебя изначально рэп-музыка это музыка протеста была?
[1084.44s -> 1086.44s]  Конечно, конечно.
[1087.44s -> 1090.44s]  Я думал, я когда мелкий был,
[1091.44s -> 1093.44s]  я считал, что я не имею права читать рэп,
[1094.44s -> 1095.44s]  пока я не вальну кого-нибудь.
[1096.44s -> 1097.44s]  Но потом конечно это поменялось.
[1098.44s -> 1100.44s]  Это говорит о том, что ты совсем не знал истории хип-хоп-музыки,
[1101.44s -> 1102.44s]  потому что вспомни про Уилла Смита.
[1103.44s -> 1105.44s]  Он всегда пел про бабочек, а между прочим...
[1106.44s -> 1108.44s]  Я в Уиллу Смита не считал рэпером никогда.
[1109.44s -> 1111.44s]  Там один такой господи...
[1112.44s -> 1113.44s]  Вот такой шоум-мен, мтв-шники.
[1114.44s -> 1116.44s]  Очень важный момент в биографии Уилла Смита.
[1117.44s -> 1119.44s]  Это первый в истории мировой хип-хоп-культуры
[1120.44s -> 1122.44s]  рэп-артист, получивший грамми.
[1123.44s -> 1124.44s]  Офигеть.
[1125.44s -> 1126.44s]  Случилось это, если я не ошибаюсь, в 1986 году.
[1127.44s -> 1128.44s]  Где-то там.
[1129.44s -> 1130.44s]  Еще черные.
[1131.44s -> 1132.44s]  Еще небось первые черные.
[1133.44s -> 1135.44s]  Откуда в то время белый рэп-артист, простите?
[1136.44s -> 1137.44s]  Ну да, да.
[1137.44s -> 1139.44s]  Там был совместный альбом с диджеем Джази Джефф.
[1140.44s -> 1141.44s]  Фрэш Принс.
[1142.44s -> 1144.44s]  У Уилла Смита был тогда такой никнейм.
[1145.44s -> 1147.44s]  И сериал был Фрэш Принс.
