[0.00s -> 1.40s]  Кому-то вообще интересен стендап?
[119.88s -> 121.88s]  Что-то там динамика орет.
[121.88s -> 123.88s]  А, вам не нравится, что динамика орет?
[123.88s -> 125.88s]  Так, давайте разбираться.
[125.88s -> 127.88s]  Возьмите динамику, а потом говорите со мной.
[127.88s -> 129.88s]  А у вас что-то с динамиками личное?
[129.88s -> 131.88s]  Мы на всю улицу орем. Зачем?
[131.88s -> 133.88s]  Дело в том, что у нас сегодня
[133.88s -> 135.88s]  происходит здесь на столовке увеселительное мероприятие.
[135.88s -> 137.88s]  Я здесь исключительно для того, чтобы
[137.88s -> 139.88s]  поднять всем расстроение.
[139.88s -> 141.88s]  Настоящее настроение не поднимайте.
[141.88s -> 143.88s]  Народ сидит, как-то его кофе будет.
[143.88s -> 145.88s]  Хакеры! И с таким сталкиваются
[145.88s -> 147.88s]  комики на своих мероприятиях.
[147.88s -> 151.77s]  Да, это стандарт!
[151.77s -> 153.77s]  Рубите нахер!
[153.77s -> 155.77s]  А кто вы по знаку зодиака?
[155.77s -> 157.77s]  Творю вон козерог.
[157.77s -> 159.77s]  И вы знаете, я не верю в бароскопы не потому,
[159.77s -> 161.77s]  что я скорпион.
[161.77s -> 163.77s]  А у вас роскошная шапка.
[163.77s -> 165.77s]  Мам идет этот цвет.
[165.77s -> 167.77s]  Подчеркивает глаза и отсутствие
[167.77s -> 169.77s]  души. В детстве на день рождения
[169.77s -> 171.77s]  всегда весь класс разрешали пригласить.
[171.77s -> 173.77s]  Весь класс. Все 30 человек.
[173.77s -> 175.77s]  Чтобы они в хате надышали.
[175.77s -> 177.77s]  Там хоть сутки тепло было.
[177.77s -> 179.77s]  У одного мальчика была температура.
[179.77s -> 181.77s]  Мы его не вернули.
[181.77s -> 183.77s]  Мы его оставили.
[183.77s -> 185.77s]  Просто подоконнику его подвязали.
[185.77s -> 187.77s]  И от него руки грели.
[187.77s -> 189.77s]  Килюшенька, какой ты горячий. Спасибо, Ангиня.
[189.77s -> 191.77s]  Еще про ноябрь?
[191.77s -> 193.77s]  Ты на автобус, да?
[193.77s -> 195.77s]  А хотите прожариваться?
[195.77s -> 197.77s]  Ну ты, Никита, такой четкий, козырный.
[197.77s -> 199.77s]  Хотя выглядишь так, как будто
[199.77s -> 201.77s]  у тебя в школе вечная портфель обоссана.
[201.77s -> 203.77s]  Скажи, Никитка, да?
[203.77s -> 205.77s]  Давай его тебе. Сиди, дружок.
[205.77s -> 207.77s]  Оранжевые кроссовочки, да?
[207.77s -> 209.77s]  Нам что, девять? Усики у тебя, как с 9 класса остались,
[209.77s -> 211.77s]  так и носим с гордостью, да?
[211.77s -> 213.77s]  Мамину интимную стрижку носишь
[213.77s -> 215.77s]  по наследству, да? Это ты в мать, это ты молодец, да?
[215.77s -> 219.72s]  Почему?
[219.72s -> 221.72s]  О, нет, извините.
[221.72s -> 223.72s]  Одно слово в камеру.
[223.72s -> 225.72s]  Будет лучше. Пятигорские ребята, чисто.
[225.72s -> 227.72s]  Дайте одно слово, скажи. Вечно обратно.
[227.72s -> 229.72s]  А-а-а!
[229.72s -> 231.72s]  Всем кайфа!
[231.72s -> 233.72s]  Всем успеха!
[233.72s -> 235.72s]  Не двигаться только вперед!
[239.86s -> 241.86s]  Меня зовут Ромис Ахметов.
[241.86s -> 243.86s]  Сейчас попою для вас песни, расскажу несколько шуток.
[243.86s -> 249.86s]  Здравствуй, зритель, рад вас видеть.
[249.86s -> 255.86s]  Отличная погода для концерта в Переходе.
[255.86s -> 257.86s]  Эй, друзья, как делишки?
[257.86s -> 261.86s]  Можно подойти и кинуть баблишко мне?
[261.86s -> 263.86s]  Эй, девчонки,
[263.86s -> 265.86s]  ну что стоите в сторонке?
[265.86s -> 267.86s]  Киньте денежку.
[267.86s -> 269.86s]  А что такие горды?
[269.86s -> 271.86s]  Я для вас выхожу из зоны комфорта.
[271.86s -> 273.86s]  В зале есть татары?
[273.86s -> 275.86s]  Я просто татарин. Играю на гитаре, пою с самого детства.
[275.86s -> 277.86s]  Но у меня было очень странное начало
[277.86s -> 279.86s]  моей музыкальной карьеры,
[279.86s -> 281.86s]  потому что я начал петь в русском народном хоре.
[281.86s -> 283.86s]  У нас вообще был странный русский народный хор,
[283.86s -> 285.86s]  где из мальчиков были
[285.86s -> 287.86s]  Василий, Ромис, Азамат и Эрик.
[287.86s -> 289.86s]  Казалось бы, ситуация должен был спасать
[289.86s -> 291.86s]  Василий, но он был якут.
[291.86s -> 293.86s]  Песня про любовь в XIII веке.
[321.86s -> 323.86s]  Песня про любовь в XIII веке.
[351.86s -> 353.86s]  И самое простое у нас сейчас время,
[353.86s -> 355.86s]  но самое главное, как мне кажется,
[355.86s -> 357.86s]  не терять оптимистичного настроя, да, ребят?
[357.86s -> 359.86s]  Верните мне мой
[359.86s -> 361.86s]  2020,
[361.86s -> 363.86s]  где я молодой,
[363.86s -> 365.86s]  где все так ******.
[365.86s -> 367.86s]  Верните мне мой 2020,
[367.86s -> 369.86s]  какой-никакой, я сейчас капец,
[369.86s -> 371.86s]  ребята. А сейчас 2045,
[371.86s -> 373.86s]  на кратере кратер
[373.86s -> 375.86s]  идет по телеку
[375.86s -> 377.86s]  последний комитив от Лулы.
[377.86s -> 379.86s]  Вокруг деградация в ходу,
[379.86s -> 381.86s]  белые и луки, последняя надежда нации,
[381.86s -> 383.86s]  руки в базуки.
[383.86s -> 385.86s]  А вы верните мне мой
[385.86s -> 387.86s]  2020,
[387.86s -> 389.86s]  потом обходить
[389.86s -> 391.86s]  в трусах и халатах.
[391.86s -> 393.86s]  Верните мне мой 2020,
[393.86s -> 395.86s]  сейчас я вас капец,
[395.86s -> 397.86s]  забыл это. И где 2055,
[397.86s -> 399.86s]  и все странно, ребята,
[399.86s -> 401.86s]  новые субкультуры,
[401.86s -> 403.86s]  хипифашисты, киберармяне.
[403.86s -> 405.86s]  Вместо гастарбайтера говорят
[405.86s -> 407.86s]  афророссиянин, все переполнены,
[407.86s -> 409.86s]  кульмы больше и больше, безумство
[409.86s -> 411.86s]  в лифте нечаянно пукнул и
[411.86s -> 413.86s]  оскорбил чьи-то чувства.
[413.86s -> 415.86s]  Ну, я, наверное, постою до первой сот.
[415.86s -> 417.86s]  ******.
[417.86s -> 419.86s]  О, спасибо, спасибо, брат.
[419.86s -> 424.97s]  Здравствуйте, как вас зовут?
[424.97s -> 426.97s]  Галя вас зовут?
[426.97s -> 428.97s]  Галечка, прыгай поближе. То есть, если нравится шутка,
[428.97s -> 430.97s]  не бойтесь это показать, да?
[430.97s -> 432.97s]  Давайте порепетируем, например. Смешная шутка
[432.97s -> 434.97s]  и ваша реакция?
[434.97s -> 436.97s]  Класс, класс. Слушайте, Галечка,
[436.97s -> 438.97s]  как вас зовут? Здравствуйте.
[438.97s -> 440.97s]  Неважно.
[440.97s -> 442.97s]  У меня была история.
[442.97s -> 444.97s]  Мне в школе очень нравилась девчонка.
[444.97s -> 446.97s]  Галя, ты поверила этой вружке?
[446.97s -> 448.97s]  Галечка, ты поверила этой вружке?
[448.97s -> 450.97s]  Вы у меня отбили зрителей.
[450.97s -> 452.97s]  Мне очень нравилась девчонка в школе.
[452.97s -> 454.97s]  И я решил сделать ей подарок, я подарил ей
[454.97s -> 456.97s]  плюшевую мишку.
[456.97s -> 458.97s]  Но я это сделал креативно, и на перемене, когда в классе
[458.97s -> 460.97s]  никого не было, я аккуратненько
[460.97s -> 462.97s]  положил эту мишку в ее портфель.
[462.97s -> 464.97s]  Как вот увал в портфель, только поменьше.
[464.97s -> 466.97s]  И так, блин, совпало, что в этот же день
[466.97s -> 468.97s]  у меня из портфеля украли ноутбук.
[468.97s -> 470.97s]  И мне стало так не по себе, просто этого мишка
[470.97s -> 472.97s]  я положил вместе с запиской, Катя, ты это
[472.97s -> 474.97s]  не заслуживаешь. Когда полицейский спросил,
[474.97s -> 476.97s]  мол, то, что у Кати в портфеле, ты сделал?
[476.97s -> 478.97s]  Я ответил, да, только это секретик.
[480.97s -> 482.97s]  И он такой, ты считаешь это нормально?
[482.97s -> 484.97s]  Я такой, ну, по-моему, круто, что 18 лет я умею зарабатывать.
[484.97s -> 486.97s]  И он такой, я надеюсь,
[486.97s -> 488.97s]  у этого поступка будут серьезные
[488.97s -> 490.97s]  посредства, после которых ты повзрослеешь.
[490.97s -> 492.97s]  И я такой, я тоже очень надеюсь.
[492.97s -> 494.97s]  А кому это вообще интересен стандап?
[494.97s -> 496.97s]  Здравствуйте.
[496.97s -> 498.97s]  У вас заказ, да? Спешите, понял.
[498.97s -> 500.97s]  Везите. Не мы и люди все сегодня какие-то.
[500.97s -> 502.97s]  Видно, ну, ничего.
[504.97s -> 506.97s]  Я это делаю до себя, я это люблю.
[506.97s -> 508.97s]  Здравствуйте, это все вам.
[508.97s -> 510.97s]  Очень круто выглядите. С работы?
[510.97s -> 512.97s]  Нет, не с работы.
[512.97s -> 514.97s]  Видно, счастливая, значит, от кого-то.
[514.97s -> 516.97s]  Любовь, она в любом возрасте, любовь.
[516.97s -> 518.97s]  Бабушка вечером, когда мы собираемся мыть ноги,
[518.97s -> 520.97s]  наливает один башута с водой
[520.97s -> 522.97s]  на всех, и я понял, что у меня
[522.97s -> 524.97s]  самый небрезгливый дед в мире.
[524.97s -> 526.97s]  Потому что первые ноги мою я,
[526.97s -> 528.97s]  потом брат, потом бабушка,
[528.97s -> 530.97s]  и только потом, последний после всех,
[530.97s -> 532.97s]  мой дед моет лицо.
[532.97s -> 534.97s]  Мне девчонка говорит недавно, на свидание,
[534.97s -> 536.97s]  говорит, я хочу, чтобы мужчина был умнее меня,
[536.97s -> 538.97s]  и я просто в конце свидания начал факты выдумывать.
[538.97s -> 540.97s]  Я теперь понял, зачем на Википедии
[540.97s -> 542.97s]  у статьи есть функция редактировать.
[542.97s -> 544.97s]  Это для нас, тупых парней.
[544.97s -> 546.97s]  Чтобы она пришла и такая, да, действительно,
[546.97s -> 548.97s]  алфавит написал Кирилл Мазур и Мефодий.
[548.97s -> 550.97s]  Это я, Кирилл Мазур.
[550.97s -> 552.97s]  В конце.
[552.97s -> 554.97s]  Кто знает, стол подпевайте.
[554.97s -> 556.97s]  Когда меня не станет.
[556.97s -> 558.97s]  Я буду петь голосами
[558.97s -> 560.97s]  моих детей
[560.97s -> 562.97s]  и голосами их детей.
[562.97s -> 564.97s]  Нас просто меняют местами.
[564.97s -> 566.97s]  Таков закон
[566.97s -> 568.97s]  сансары,
[568.97s -> 570.97s]  круговорот людей.
[576.33s -> 578.33s]  Выиграла Зоя Кулар.
[578.33s -> 580.33s]  Она забирает деньги соперников и еще 5000 сверху.
[580.33s -> 582.33s]  Мы чисто по-братски накинули.
[584.33s -> 586.33s]  Редактор субтитров А.Синецкая
[586.33s -> 588.33s]  Корректор А.Кулакова
