[0.00s -> 2.00s]  СКУКА!
[333.34s -> 335.34s]  А почему 50 тысяч рублей
[335.34s -> 337.34s]  Не знаю, наверное со стрельзатора осталось
[337.34s -> 339.34s]  Назначу да
[341.34s -> 343.34s]  На самом деле стоимость
[343.34s -> 345.34s]  Бутля с привидениями у Алексея
[345.34s -> 347.34s]  За 4 звезды из Татарстана
[347.34s -> 349.34s]  25 тысяч рублей
[349.34s -> 351.34s]  Смеюсь заметить там есть
[351.34s -> 353.34s]  Варантия возврата денег
[353.34s -> 355.34s]  Жизнь не подойдет не выполняю
[355.34s -> 357.34s]  Он больной
[357.34s -> 359.34s]  Зачем продавать привидение
[359.34s -> 361.34s]  Может он ему нагадил
[361.34s -> 363.34s]  У меня собачка дома гадит
[363.34s -> 365.34s]  Ну короче
[365.34s -> 367.34s]  Логики нету как такое
[367.34s -> 369.34s]  Правильно, ну тогда Алексею
[369.34s -> 371.34s]  6 отзывов 4 звезды мы говорим пока
[371.34s -> 373.34s]  И переходим к следующему объявлению
[373.34s -> 375.34s]  О какой крутой купон
[375.34s -> 377.34s]  Это подарочный купон
[377.34s -> 379.34s]  Угадаете на что?
[379.34s -> 381.34s]  Дарю тебе купон
[381.34s -> 383.34s]  Правильно
[383.34s -> 385.34s]  Здесь у нас купоны
[385.34s -> 387.34s]  На минеты
[387.34s -> 389.34s]  Девушка подарила на день рождения
[389.34s -> 391.34s]  Этот купон продаю по причине
[391.34s -> 393.34s]  Ненадобности или поменяю
[393.34s -> 395.34s]  На ГТА
[395.34s -> 397.34s]  Один купон уже использовал
[397.34s -> 399.34s]  Или поменяю
[399.34s -> 401.34s]  Поменяю на ГТА 5
[401.34s -> 403.34s]  В любое время только если я не сплю
[403.34s -> 405.34s]  Вот это конечно база связи
[405.34s -> 407.34s]  Александр 4 звезды
[407.34s -> 409.34s]  Видимо девушка не оценяет
[409.34s -> 411.34s]  Как вы думаете сколько могут стоить
[411.34s -> 413.34s]  Такие купоны
[413.34s -> 415.34s]  Господи, ну это честно страшно
[415.34s -> 417.34s]  Ты никогда не дарила купоны на минеты
[417.34s -> 419.34s]  Все что делать
[419.34s -> 421.34s]  Нет
[421.34s -> 423.34s]  Извини, она так на меня посрела
[423.34s -> 425.34s]  Мне извиниться захотелось сразу
[425.34s -> 427.34s]  Извини пожалуйста
[427.34s -> 429.34s]  Я не знаю
[429.34s -> 431.34s]  Это очень странно
[431.34s -> 433.34s]  Может быть он наоборот очень дешево поставил
[433.34s -> 435.34s]  Я думаю он расстался
[435.34s -> 437.34s]  Подождите
[437.34s -> 439.34s]  А это ее парень
[441.34s -> 443.34s]  Вот это правильное замечание
[443.34s -> 445.34s]  И наверное поэтому очень дешево
[445.34s -> 447.34s]  Или наоборот очень дорого
[447.34s -> 449.34s]  Он как будто сутенер
[449.34s -> 451.34s]  У нас в этот раз не особо крикливые участники
[451.34s -> 453.34s]  Но весьма логично, что очень интересно
[453.34s -> 455.34s]  У нас каждый раз новые гости
[455.34s -> 457.34s]  10 минетов
[457.34s -> 459.34s]  Итак 5
[459.34s -> 461.34s]  Нет, подождите
[461.34s -> 463.34s]  4
[463.34s -> 465.34s]  3
[465.34s -> 467.34s]  2
[467.34s -> 469.34s]  1
[469.34s -> 471.34s]  10 тысяч рублей
[471.34s -> 473.34s]  5 тысяч рублей
[473.34s -> 475.34s]  То есть ты считаешь что чувак
[475.34s -> 477.34s]  Будет продавать купоны на минеты
[477.34s -> 479.34s]  Видимо ему не понравилось
[479.34s -> 481.34s]  Раз он их продает
[481.34s -> 483.34s]  Потому что это обесценивание труда
[483.34s -> 485.34s]  Нет, а мне кажется
[487.34s -> 489.34s]  То есть ты бы такую себе занял
[489.34s -> 491.34s]  То есть теперь мы знаем сколько стоили бы
[491.34s -> 493.34s]  Купоны от Насти
[493.34s -> 495.34s]  Они бесценны
[495.34s -> 497.34s]  Мне кажется
[497.34s -> 499.34s]  Что если он продает, значит или он может быть с ней расстался
[499.34s -> 501.34s]  Или может быть ради шутки
[501.34s -> 503.34s]  Мне кажется он наоборот поставит низкую цену
[503.34s -> 505.34s]  Ты согласен с ним
[505.34s -> 507.34s]  На самом деле Герман прав
[507.34s -> 509.34s]  Стоимость этих
[509.34s -> 511.34s]  Купонов на минет 2,5
[511.34s -> 513.34s]  Тысячи рублей
[513.34s -> 515.34s]  Все
[515.34s -> 517.34s]  Я все таки соглашусь
[517.34s -> 519.34s]  Видимо парню не очень понравилось
[519.34s -> 521.34s]  Потому что девушка не старается
[521.34s -> 523.34s]  Почему я об этом рассуждаю я даже не знаю
[523.34s -> 525.34s]  Александр дай бог тебе здоровья как говорится
[525.34s -> 527.34s]  Давайте переходить к третьему объявлению
[527.34s -> 529.34s]  Сальто
[529.34s -> 531.34s]  Сальто
[531.34s -> 533.34s]  Мне нравится что он такой тип стоит сигарет
[533.34s -> 535.34s]  Сальто продают
[535.34s -> 537.34s]  Вит услуги искусства
[537.34s -> 539.34s]  Он часто приезжает делать сальто и уезжает
[539.34s -> 541.34s]  А я прочитаю
[541.34s -> 543.34s]  Кручу сальто на заказ
[543.34s -> 545.34s]  Могу арабское, боковое, заднее, переднее
[545.34s -> 547.34s]  Да хоть какое
[547.34s -> 549.34s]  Для вас и ваших близких
[549.34s -> 553.42s]  Ваши варианты сколько это может стоить
[553.42s -> 555.42s]  Готовы?
[555.42s -> 557.42s]  3,2,1
[557.42s -> 559.42s]  Скрываемся
[559.42s -> 561.42s]  700 рублей
[561.42s -> 563.42s]  Почему мы разные показываем цены постоянно
[563.42s -> 565.42s]  Так так и надо
[565.42s -> 567.42s]  В прошлом выпуске ребята пытались доказать
[567.42s -> 569.42s]  Что надо одинаковое
[569.42s -> 571.42s]  Ты в безопасной зоне
[571.42s -> 573.42s]  700 рублей
[573.42s -> 575.42s]  1500 рублей
[575.42s -> 577.42s]  И 1000 рублей
[577.42s -> 579.42s]  Почему ты такие цены?
[579.42s -> 581.42s]  За такси приехать сделать уехать
[581.42s -> 583.42s]  Может это по штучной
[583.42s -> 585.42s]  Мне кажется он приезжает
[585.42s -> 587.42s]  700 рублей ему дают
[589.42s -> 591.42s]  Ненавижу когда перебивают
[591.42s -> 593.42s]  Так я не с тобой разговариваю
[593.42s -> 595.42s]  Так я не с тобой разговариваю
[595.42s -> 597.42s]  Ты чего?
[597.42s -> 599.42s]  Я не слышу
[599.42s -> 601.42s]  Я тебя слушаю
[601.42s -> 603.42s]  700 рублей почему
[603.42s -> 605.42s]  Потому что это Хабарос
[605.42s -> 607.42s]  Маленький город
[607.42s -> 609.42s]  Касарь я бы не дала
[609.42s -> 611.42s]  Кажется не очень
[611.42s -> 613.42s]  Он такой чувак простой
[613.42s -> 615.42s]  Ему много не надо
[617.42s -> 619.42s]  Он курит
[619.42s -> 621.42s]  Часы валяжные
[621.42s -> 623.42s]  Еще и в очках
[623.42s -> 625.42s]  700 рублей мне кажется самая
[625.42s -> 627.42s]  Логика Настя Бет Барби
[627.42s -> 629.42s]  Была самая логичная
[629.42s -> 631.42s]  Потому что стоимость 100 рублей
[631.42s -> 633.42s]  100 рублей за сальто
[633.42s -> 635.42s]  Вы понимаете
[635.42s -> 637.42s]  Но 5 звезд и один отзыв
[637.42s -> 639.42s]  Значит человек скоро будет повышать цену
[639.42s -> 641.42s]  Но он молодец
[641.42s -> 643.42s]  После первого раунда у вас у всех по 3 балла
[643.42s -> 645.42s]  Очень лаконично и просто
[645.42s -> 647.42s]  Давайте поаплодируем
[647.42s -> 649.42s]  Это кстати впервые у нас такое
[649.42s -> 651.42s]  Всегда кто-то есть лидер
[651.42s -> 653.42s]  Какие ваши эмоции? Что скажете? Сложно было?
[653.42s -> 655.42s]  Было интересно я могу сказать
[655.42s -> 657.42s]  Я никогда не наблюдала такие объявления
[657.42s -> 659.42s]  И...
[659.42s -> 661.42s]  Ну... Мир прекрасен
[661.42s -> 663.42s]  Прикольно
[663.42s -> 665.42s]  Очень разнообразные реакции
[665.42s -> 667.42s]  Потому что этими разнообразными реакциями
[667.42s -> 669.42s]  Мы переходим к нашему второму раунду
[673.42s -> 675.42s]  И второй раунд называется
[675.42s -> 677.42s]  Невысокое искусство
[677.42s -> 679.42s]  В этом раунде я покажу вам 3 картины
[679.42s -> 681.42s]  Это реплики оригинальных картин
[681.42s -> 683.42s]  Ваша задача
[683.42s -> 685.42s]  Угадать сколько стоит каждая
[685.42s -> 687.42s]  То бишь ее оригинал
[687.42s -> 689.42s]  Вы пишите свои варианты все так же на планшете
[689.42s -> 691.42s]  Боже объясняйте почему эта картина стоит столько-то
[691.42s -> 693.42s]  На вашем мнении
[693.42s -> 695.42s]  Как прекрасно знаете что
[695.42s -> 697.42s]  Я не знала
[697.42s -> 699.42s]  Но я только что нарисовала тебя
[699.42s -> 701.42s]  Мне нравится что уши торчатся
[701.42s -> 703.42s]  Ну специально
[703.42s -> 705.42s]  Сколько стоит эта картина
[705.42s -> 707.42s]  Насколько вы ее продали
[707.42s -> 709.42s]  Ну конечно
[709.42s -> 711.42s]  За сколько я ее куплю
[711.42s -> 713.42s]  За сколько ты ее купишь
[713.42s -> 715.42s]  За 500 рублей точно
[715.42s -> 717.42s]  Куплю
[717.42s -> 719.42s]  А мне очень приятно
[719.42s -> 721.42s]  Поэтому я попрошу
[721.42s -> 723.42s]  Нашу прекрасную Лерочку
[723.42s -> 725.42s]  Которая к нам вернулась после первого выпуска
[725.42s -> 727.42s]  Внести первую картину
[727.42s -> 729.42s]  В студию давайте похлопаем Лерочке
[731.42s -> 733.42s]  Привет Лерочка с возвращением
[733.42s -> 735.42s]  Лерочка
[735.42s -> 737.42s]  Искусство такое
[737.42s -> 739.42s]  Наша первая картина
[739.42s -> 741.42s]  Называется Женщина как пейзаж
[741.42s -> 743.42s]  Автор ее
[743.42s -> 745.42s]  Вильям Де Кунинг
[745.42s -> 747.42s]  Ваша задача угадать сколько стоит
[747.42s -> 749.42s]  Это прекрасное произведение
[749.42s -> 751.42s]  Так именно эта картина
[751.42s -> 753.42s]  Или оригинал этой картины
[753.42s -> 755.42s]  Оригинал этой картины
[755.42s -> 757.42s]  Скажи как зовут этого человека
[757.42s -> 759.42s]  Тебе это что-то скажет Вильям Де Кунинг
[759.42s -> 761.42s]  А конечно
[761.42s -> 763.42s]  За слово Кунинг не надо
[763.42s -> 765.42s]  Набавлять ничего
[765.42s -> 767.42s]  Вильям Де Кунинг видимо Д это испанец
[767.42s -> 769.42s]  Ну я как умею
[769.42s -> 771.42s]  Либо португалиц
[771.42s -> 773.42s]  Готовы?
[773.42s -> 775.42s]  Три, два, один, скрываемся
[775.42s -> 777.42s]  104 тысячи долларов
[777.42s -> 779.42s]  40 тысяч долларов
[779.42s -> 781.42s]  10 тысяч долларов
[781.42s -> 783.42s]  Почему так мало?
[786.99s -> 788.99s]  А вообще 104 тысячи долларов
[788.99s -> 790.99s]  Это вообще сколько?
[790.99s -> 792.99s]  То что я говорю что искусство не высокое
[792.99s -> 794.99s]  Это чисто по моему мнению
[794.99s -> 796.99s]  Это чисто называется высокое искусство
[796.99s -> 798.99s]  Я могу объяснить
[798.99s -> 800.99s]  Смотрите
[800.99s -> 802.99s]  Вот здесь вот
[802.99s -> 804.99s]  Вот здесь вот
[804.99s -> 806.99s]  Как будто единичка
[806.99s -> 808.99s]  А вот здесь вот как будто нолик
[808.99s -> 810.99s]  А вот здесь
[810.99s -> 812.99s]  А вот здесь как будто
[812.99s -> 814.99s]  Цифра 4
[814.99s -> 816.99s]  И поэтому написала 104
[816.99s -> 818.99s]  Но логика хреновая если честно
[818.99s -> 820.99s]  А мне в принципе все равно
[820.99s -> 822.99s]  Я пальцем бы не оботкал
[822.99s -> 824.99s]  А я доллары нарисовал
[824.99s -> 826.99s]  Ну молодец, ребята молодцы
[826.99s -> 828.99s]  Только они не молодцы, потому что с ценой они промазаны
[828.99s -> 830.99s]  Наверное миллион
[830.99s -> 832.99s]  Максимально, и ты сейчас второй раз промазал
[832.99s -> 834.99s]  Цена этой картины
[834.99s -> 836.99s]  На мое искреннее удивление
[836.99s -> 838.99s]  68 миллионов
[838.99s -> 840.99s]  937 тысяч
[840.99s -> 842.99s]  504
[842.99s -> 844.99s]  долларов
[844.99s -> 846.99s]  68 лямов за вот эту восню
[846.99s -> 848.99s]  Я был близко
[848.99s -> 850.99s]  Хочешь такой купить?
[850.99s -> 852.99s]  Часам кстати
[852.99s -> 854.99s]  Вот это я снимаю
[854.99s -> 856.99s]  Давайте похопаем Лерочке
[856.99s -> 858.99s]  Вы вообще промазали
[858.99s -> 860.99s]  То что я говорю невысокое
[860.99s -> 862.99s]  Это по моему мнению невысокое
[862.99s -> 864.99s]  Это высокое искусство оно стоит денег
[864.99s -> 866.99s]  Откуда мы знаем
[866.99s -> 868.99s]  Я вообще отцов со всем картинами
[868.99s -> 870.99s]  Ну блин
[870.99s -> 872.99s]  Вильям де Кунинг звучит очень солидно
[872.99s -> 874.99s]  Особенно его фамилия
[874.99s -> 876.99s]  Но он же когда-то был ребенком
[876.99s -> 878.99s]  Ладно все
[878.99s -> 880.99s]  Документ бесспорный
[880.99s -> 882.99s]  Давайте попросим Лерочку вынести второй лот
[882.99s -> 884.99s]  Лерочка, пожалуйста
[884.99s -> 888.37s]  Перед вами картина
[888.37s -> 890.37s]  С очень скромным названием
[890.37s -> 892.37s]  Шедевр
[892.37s -> 894.37s]  Ее автор Рой Лихтенштейн
[894.37s -> 896.37s]  Год написания 1962
[896.37s -> 898.37s]  1962
[898.37s -> 900.37s]  1962
[900.37s -> 902.37s]  Напоминаю что картины
[902.37s -> 904.37s]  Как и часы всегда становятся
[904.37s -> 906.37s]  Все дороже и дороже и дороже
[906.37s -> 908.37s]  Это была подсказка?
[908.37s -> 910.37s]  Не, наоборот он запутывает
[910.37s -> 912.37s]  Вот именно, потому что прошлая картина
[912.37s -> 914.37s]  Слишком была дорогая, а эта может быть
[914.37s -> 916.37s]  Наоборот
[916.37s -> 918.37s]  Я им рекаю, что картины с возрастом
[918.37s -> 920.37s]  Все дороже и дороже и дороже
[920.37s -> 922.37s]  Как часы
[922.37s -> 924.37s]  А часы стоят недешево
[924.37s -> 926.37s]  Они мне говорят, нет нас это запутывает
[926.37s -> 928.37s]  Они такие сосредоточенные, кошмар
[928.37s -> 930.37s]  Готовы? 3,2,1
[930.37s -> 932.37s]  На ниточке, на палочке, на сопле
[932.37s -> 934.37s]  Ноль
[934.37s -> 936.37s]  Вскрываемся
[936.37s -> 938.37s]  Так, 10 миллионов
[938.37s -> 940.37s]  110 миллионов
[940.37s -> 942.37s]  190 миллионов
[942.37s -> 944.37s]  Ну слушайте, в этот раз вы уже
[944.37s -> 946.37s]  Намного ближе
[948.37s -> 950.37s]  Я во время вашего обсуждения услышал
[950.37s -> 952.37s]  Одну цифру, которую произнесла Настя
[952.37s -> 954.37s]  И лучше бы первое слово
[954.37s -> 956.37s]  Было дороже второго
[956.37s -> 958.37s]  Ты сказал по-моему 164 миллиона
[958.37s -> 960.37s]  А цена этой картины
[960.37s -> 962.37s]  165 миллионов
[962.37s -> 964.37s]  Долларов
[964.37s -> 966.37s]  Почему нас не запутываешь?
[966.37s -> 968.37s]  Такой вот неправильный ведущий
[968.37s -> 970.37s]  Я хочу, чтобы вы ушли отсюда счастливые
[970.37s -> 972.37s]  С подарками, я добрый ведущий
[972.37s -> 974.37s]  Я просто выжидаю моменты
[974.37s -> 976.37s]  Мне очень похож на доброго ведущего
[976.37s -> 978.37s]  Напишите в комментариях, пожалуйста
[978.37s -> 980.37s]  Я похож на доброго ведущего
[980.37s -> 982.37s]  Я даже не матюкаю, заметьте, пожалуйста
[982.37s -> 984.37s]  В прошлой выпуске матюкался
[984.37s -> 986.37s]  Ребята, ну блин, молодцы
[986.37s -> 988.37s]  В этом раунде хотя бы приближен
[988.37s -> 990.37s]  Хотя бы приближен, а это было неплохо
[990.37s -> 992.37s]  Давайте похлопаем
[992.37s -> 994.37s]  Давайте наш третий лот
[998.37s -> 1000.37s]  О мой бог
[1000.37s -> 1002.37s]  Я им сказал, что они не эмоциональны
[1002.37s -> 1004.37s]  Это кто?
[1004.37s -> 1006.37s]  Перед вами картина без названия
[1006.37s -> 1008.37s]  На самом деле картина маслом
[1008.37s -> 1010.37s]  Это Лерочка
[1010.37s -> 1012.37s]  Да, я вам поэтому говорю, что парням этот раунд понравился
[1012.37s -> 1014.37s]  Зачем вы вообще что-то вот сюда смотрим?
[1014.37s -> 1016.37s]  Потому что Лерочка бесценна
[1016.37s -> 1018.37s]  Перед вами картина без названия
[1018.37s -> 1020.37s]  Год написания 1981
[1020.37s -> 1022.37s]  ее автор
[1022.37s -> 1024.37s]  Жан-Мишель Баския
[1024.37s -> 1026.37s]  Жан-Мишель звучит
[1026.37s -> 1028.37s]  очень
[1028.37s -> 1030.37s]  Баския мне, Лерочка, подскажешь
[1030.37s -> 1032.37s]  Без названия
[1032.37s -> 1034.37s]  Реально, логично, типа какой-то чувак
[1034.37s -> 1036.37s]  Не фу
[1036.37s -> 1038.37s]  Настя, быть эмоциональны
[1038.37s -> 1040.37s]  Это какой-то чувак
[1040.37s -> 1042.37s]  Она пытается
[1042.37s -> 1044.37s]  Знаете, первые две картины были очень дорогие
[1044.37s -> 1046.37s]  И последние
[1046.37s -> 1048.37s]  Вот вы сами запутали
[1048.37s -> 1050.37s]  Это будет еще дороже
[1050.37s -> 1052.37s]  Я еще и запутал, я еще и гад
[1052.37s -> 1054.37s]  Несколько миллионов долларов
[1054.37s -> 1056.37s]  Готовы?
[1056.37s -> 1058.37s]  Три, два, один
[1058.37s -> 1060.37s]  На ниточке
[1060.37s -> 1062.37s]  Вскрываемся
[1062.37s -> 1064.37s]  Один миллиард долларов
[1064.37s -> 1066.37s]  Десять миллионов долларов
[1066.37s -> 1068.37s]  Двести пятьдесят
[1068.37s -> 1070.37s]  миллионов долларов
[1070.37s -> 1072.37s]  Слушайте, у вас какой-то разбег
[1072.37s -> 1074.37s]  На самом деле, Герман, как ни странно
[1074.37s -> 1076.37s]  был ближе всех
[1076.37s -> 1078.37s]  с десятью миллионами
[1078.37s -> 1080.37s]  Картина стоит сто десять миллионов
[1080.37s -> 1082.37s]  долларов
[1082.37s -> 1084.37s]  Сто десять миллионов
[1084.37s -> 1086.37s]  долларов стоит эта
[1086.37s -> 1088.37s]  картина
[1088.37s -> 1090.37s]  Слушайте, на самом деле, ребят, я сделаю, что мы вообще
[1090.37s -> 1092.37s]  не тем занимаемся
[1092.37s -> 1094.37s]  Я только что хотела это сказать
[1094.37s -> 1096.37s]  Просто покупаем кисточки на последние деньги
[1096.37s -> 1098.37s]  Это был второй раунд
[1098.37s -> 1100.37s]  Давайте поаплодируем нашим участникам
[1100.37s -> 1102.37s]  Я думаю
[1102.37s -> 1104.37s]  время подвести промежуточный итог
[1104.37s -> 1106.37s]  Что вам в разброс
[1106.37s -> 1108.37s]  По очереди третьего папира
[1108.37s -> 1110.37s]  Давай, я первая, он второй
[1110.37s -> 1112.37s]  На самом деле, все не так
[1112.37s -> 1114.37s]  На третьем месте с результатом
[1114.37s -> 1116.37s]  в пять баллов у нас сейчас
[1116.37s -> 1118.37s]  Женя Ершов
[1118.37s -> 1120.37s]  Это неплохой результат
[1120.37s -> 1122.37s]  после двух раундов
[1122.37s -> 1124.37s]  На втором месте Настя Бетбарби
[1124.37s -> 1127.68s]  У тебя шесть баллов
[1127.68s -> 1129.68s]  Молодец
[1129.68s -> 1131.68s]  Да, Герман, ты на первом, у тебя семь баллов
[1131.68s -> 1133.68s]  Молодец
[1133.68s -> 1135.68s]  По-моему, какая-то ошибка
[1135.68s -> 1137.68s]  Нет, это не ошибка
[1137.68s -> 1139.68s]  Я рад, я очень рад
[1139.68s -> 1141.68s]  Как будто с аркадом
[1141.68s -> 1143.68s]  Ты держи в курсе, спасибо большое
[1143.68s -> 1145.68s]  Надо сообщить
[1145.68s -> 1147.68s]  Я прям рад
[1147.68s -> 1149.68s]  Люблю тебя
[1149.68s -> 1151.68s]  Я думаю, время перейти
[1151.68s -> 1153.68s]  к третьему раунду
[1159.06s -> 1161.06s]  Наш третий раунд называется
[1161.06s -> 1163.06s]  очень просто финальный раунд
[1163.06s -> 1165.06s]  В этом раунде на подиуме
[1165.06s -> 1167.06s]  будут по очереди появляться
[1167.06s -> 1169.06s]  некоторые объекты, предметы
[1169.06s -> 1171.06s]  Ваша задача угадать их стоимость
