[0.00s -> 3.88s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[112.40s -> 117.04s]  для своих резидентов и активно развивает блогосферу во всей стране.
[121.66s -> 123.38s]  Далее новости политики.
[123.38s -> 126.70s]  Николая Расторгуева избрали депутатом в Госдуму
[126.70s -> 130.30s]  и вручили ему мандат ботяне-ботяне-мандат.
[130.30s -> 133.50s]  -"Уходите от людей, которые не верят вашей мечты".
[133.50s -> 136.70s]  Именно с такой формулировкой президент Афганистана
[136.70s -> 140.26s]  погинул в страну на трех автомобилях, набитых деньгами.
[140.26s -> 141.38s]  Новости по ПММА.
[141.38s -> 145.74s]  Все звезды шоу-бизнеса отказались выходить на бой с Никитой Жигурдой.
[145.74s -> 148.18s]  Вот что думает сам артист.
[148.18s -> 151.46s]  Я хочу с ней попиздиться с кем-нибудь,
[151.46s -> 154.94s]  ну, с нормальным, хорошим, такой жесткий.
[154.94s -> 159.06s]  На прошедшем эвенте наше дело ли впротив, сделал каменаут.
[159.06s -> 161.54s]  На самом деле оказалось, что он за.
[161.54s -> 163.58s]  -"Я устала, я ухожу".
[163.58s -> 167.62s]  Печень бойца Александра Колобка заявила о завершении карьеры.
[167.62s -> 172.06s]  -"Цыгане попытались похитить бойца нашего дела, Ивана Вайданчука".
[172.06s -> 174.26s]  -"Потому что Ванечка золотце".
[174.42s -> 177.34s]  Российский поп ММА обзавелся своей Спартой.
[177.34s -> 181.54s]  Теперь самых слабых и некрасивых бойцов отправляют в эпик файтинг.
[181.54s -> 184.98s]  -"Саша Стоун посетил конкурс красоты в качестве жюри
[184.98s -> 187.02s]  и случайно выиграл его".
[187.02s -> 188.30s]  Новогодние новости.
[188.30s -> 191.86s]  Дед Мороз вызвал на бой Санта-Клауса, цитата.
[191.86s -> 196.34s]  -"Если ты мужчина, я жду тебя в клетке нашего дела, Санны Пиндос".
[196.34s -> 197.98s]  -"Великолепный век",
[197.98s -> 201.86s]  сказал Таджик, увидевший макияж Александра Шпака.
[201.90s -> 204.42s]  -"Великолепный бег", заявил комментатор,
[204.42s -> 208.58s]  который посмотрел бой Артема Тарасова и Александра Емельяненко.
[208.58s -> 211.06s]  Сектор-приц для зрителей нашего дела.
[211.06s -> 214.38s]  Усы Якубовича вызвали на бой усы Михаила Боярского.
[214.38s -> 217.22s]  Гонорар бойцов составит 3000 чертей.
[217.22s -> 219.10s]  -"Новости музыки. Цой жив.
[219.10s -> 223.62s]  Рэперы Чапинкосу не дали народного артиста Чеченской Республики".
[223.62s -> 227.34s]  -"Как вы думаете, почему? Из-за дружбы с дядей Джаем".
[227.34s -> 229.42s]  Детские новости.
[229.42s -> 232.74s]  Когда поют принцессы из Диснея, слетаются птички.
[232.74s -> 235.18s]  Когда поют барыги, слетаются птахи.
[235.18s -> 239.14s]  Криминальная сводка в одном из супермаркетов Санкт-Петербурга.
[239.14s -> 242.10s]  По ошибке задержали бойца Алексея Прокофьева.
[242.10s -> 244.06s]  Он так сильно ворчал на кассе,
[244.06s -> 247.58s]  что его перепутали с городской сумасшедшей старухой.
[247.58s -> 250.02s]  ГОВОРЯТ НА ИНОСТРАННОМ ЯЗЫКЕ
[250.02s -> 255.14s]  -"Новости Голливуда".
[255.14s -> 258.78s]  Режиссер Ридли Скотт предложил главную роль Мурату
[258.78s -> 261.22s]  в фильме автостопом по галактике.
[261.22s -> 262.90s]  Хорошие хреновости.
[262.90s -> 266.46s]  Теперь видео нашего дела эксклюзивно выходит на Рутуб.
[266.46s -> 269.58s]  Теперь на Рутубе впервые есть на что посмотреть.
[269.58s -> 272.82s]  А теперь для зрителей хреновостей 24 сантиметра.
[272.82s -> 274.74s]  Прогноз погоды в Москве.
[274.74s -> 277.14s]  Днем облачное, плюс три, плюс четыре.
[277.14s -> 279.54s]  Вечером плюс семь, девятьсот сорок три,
[279.54s -> 283.10s]  пятьсот шестьдесят девять, ноль ноль, двадцать два. Звоните, Артур.
[283.10s -> 286.82s]  На этом хреновости 24 сантиметра с вами прощаются.
[286.82s -> 289.58s]  Надеюсь, что в следующем году мы с вами увидимся.
[289.62s -> 291.82s]  И новости будут еще прикольнее.
[291.82s -> 294.42s]  Для вас работал Артур Арутюнян и...
[294.42s -> 296.02s]  И да, это я.
[303.39s -> 305.19s]  Че, ебался орать? Палел за Ваню.
[305.19s -> 306.99s]  Надо потанцевать. Че там надо делать?
[306.99s -> 308.83s]  Вам надо вместе скукать уже ипатого сила.
[308.83s -> 310.07s]  Ипатого сила!
[310.07s -> 311.59s]  Раз, два, три.
[311.59s -> 313.59s]  Ипатого сила!
[313.59s -> 315.11s]  А вы танки когда-нибудь тягали?
[315.11s -> 316.95s]  Танк не пробовал. Но я думаю, получится.
[316.95s -> 318.27s]  Сегодня получится.
[318.27s -> 319.03s]  Так, встань.
[321.03s -> 322.15s]  Автозагар.
[322.75s -> 323.75s]  Автозагар.
[324.51s -> 325.79s]  Видите, какая репостка?
[326.63s -> 328.03s]  Это украинский движ.
[328.03s -> 328.79s]  Аааа.
[328.79s -> 330.15s]  Салат там вот туда-сюда.
[330.15s -> 331.63s]  Чисто в Москве бить приехал.
[331.63s -> 333.11s]  И грушба народов туда-сюда.
[333.11s -> 333.55s]  Любовь.
[333.55s -> 334.71s]  Панель, панель готов?
[334.71s -> 335.87s]  Всем добрый вечер.
[335.87s -> 337.23s]  Ты в договоре не подписался со мной?
[337.23s -> 338.23s]  Я вот бегу.
[338.23s -> 339.23s]  Чем я его подпишу сейчас?
[339.23s -> 341.07s]  С кем бы мне хотелось подраться?
[341.07s -> 342.07s]  С Винсакомом.
[344.67s -> 345.67s]  С Амираном.
[345.67s -> 347.07s]  С Амираном я бы подрался.
[347.07s -> 348.51s]  Он же только языком чешет.
[349.67s -> 350.67s]  И лижет.
[353.30s -> 354.62s]  Пора начинать. Зажигаем.
[354.62s -> 356.02s]  Легенда украинского рэпа.
[356.02s -> 357.54s]  Основатель питерский.
[357.54s -> 358.70s]  Трикстайлер Бро.
[358.70s -> 360.06s]  Двигается хорошо на ногах.
[360.06s -> 362.74s]  Они оба говорили, что с егя скручивают.
[362.74s -> 364.74s]  И первое попадание по ободечной траектории.
[364.74s -> 365.74s]  Вылетает в челюсть.
[365.74s -> 366.46s]  У нас левые руки.
[366.46s -> 367.74s]  У нас неопытные бойцы.
[367.74s -> 369.58s]  Это, наверное, институт в клетке.
[369.58s -> 370.70s]  Даже шлем не помогает.
[370.70s -> 371.42s]  Они все избавляют.
[371.42s -> 372.42s]  Брюс клетников.
[372.42s -> 373.18s]  Реваст.
[373.18s -> 373.94s]  Берлоштыни.
[373.94s -> 376.90s]  Не представляли, если бы это было как-то дикласс какой-то, но...
[376.90s -> 378.46s]  Выходи с ринга, или я тебя выкину.
[378.46s -> 379.46s]  Выходи с ринга.
[384.14s -> 384.86s]  Всем привет.
[384.86s -> 386.66s]  Меня зовут Александра Смирнова.
[386.66s -> 388.46s]  Я корреспондент нашего дела.
[389.02s -> 390.46s]  Всех с Новым Годом Тигра.
[390.46s -> 394.38s]  И сегодня мы вместе узнаем, кто же главный тигр в Октагоне.
[405.82s -> 410.18s]  Друзья, я рад вас приветствовать на шоу Наше Дело.
[410.18s -> 411.78s]  Я рад вас всех видеть.
[412.38s -> 415.38s]  Хочу поздравить вас с наступившим Новым Годом.
[415.38s -> 417.30s]  Желаю вам всего самого лучшего.
[417.70s -> 420.94s]  Сегодня для вас работают Артур Рудзинян и Эдвард Билл.
[420.94s -> 422.50s]  Йоу, всем привет, друзья.
[422.50s -> 426.58s]  Мы с нетерпением ждем следующих боев.
[426.58s -> 428.26s]  Мясо, крови, безумие.
[428.26s -> 431.46s]  Но перед началом попрошу вас от всего лица нашего дела.
[431.46s -> 434.74s]  Подпишитесь на канал, поставьте лайк, если вы еще его не поставили.
[434.74s -> 436.42s]  И обязательно колокольчик.
[436.42s -> 437.70s]  Ну, а мы начинаем.
[437.70s -> 439.14s]  Шоу начинается!
[444.06s -> 445.06s]  Ну что, начинаем, давай.
[445.06s -> 449.30s]  Да, но я хочу представить наших людей, с которыми нас не только интересно смотреть,
[449.30s -> 450.34s]  но еще и слушать.
[450.34s -> 454.10s]  Наши уважаемые комментаторы Олег Володин и Давид Богдасарян.
[454.10s -> 455.42s]  Аплодисменты парням.
[455.86s -> 457.02s]  Парни, как настрой?
[457.50s -> 458.22s]  Это всегда.
[458.22s -> 459.62s]  Настрой всегда боевой.
[459.62s -> 462.90s]  Всегда ждем хорошие представления всякие у нас.
[462.90s -> 465.22s]  Реваз опять в карте, так что будет любопытно.
[465.22s -> 466.22s]  Как вы думаете, парни?
[466.22s -> 468.62s]  Кстати, для зрителей сразу рассказываю.
[468.62s -> 470.22s]  Мы подготовили для вас сюрприз.
[470.22s -> 473.66s]  Сегодня Алексей Панин будет драться с Никитой Пресниковым.
[474.26s -> 476.10s]  Давид, Олег, какие прогнозы?
[476.10s -> 478.42s]  Можно воздержаться от прогнозов?
[478.42s -> 479.70s]  Можно, можно.
[479.98s -> 486.06s]  Я хочу сказать вам, что здоровье наших бойцов в самых ответственных и важных руках.
[486.10s -> 489.54s]  Я хочу представить профессионала своего дела, Марат Атакаева.
[489.54s -> 490.26s]  Это врач.
[490.26s -> 491.86s]  Ну что же, готовы?
[491.86s -> 493.90s]  Почти, почти все готовы.
[493.90s -> 496.18s]  Осталось представить наших судей.
[496.18s -> 498.06s]  Главный судья это Александр Сидорин.
[498.06s -> 499.14s]  Аплодисменты.
[500.42s -> 506.10s]  Без рефери в клетке мы никуда, поэтому поприветствуем Константин Костоправов и Дмитрий Валуевич.
[506.10s -> 512.10s]  Также с нами замечательные арбитры Милана Зайцева, Армен Князев и Кирилл Касьян.
[512.10s -> 514.06s]  Ну что, пора начинать шоу, Эдик.
[514.66s -> 517.14s]  Да, пора начинать, зажигаем, все уже заждались.
[517.14s -> 518.14s]  Аплодисменты.
[519.38s -> 522.82s]  Ну и первый бой сегодняшнего вечера, это бой-открытие.
[522.82s -> 527.02s]  Это не профессиональные бойцы, это два рэпера.
[527.02s -> 529.82s]  Два бойца, два дебютанта нашей организации.
[529.82s -> 535.70s]  Да, один очень известный в Украине, это легенда русского, ой, легенда украинского рэпа, основатель.
[535.70s -> 538.90s]  Второй питерский фристайлер Брол.
[538.90s -> 540.78s]  Встречаем, в синий угол, Брол.
[544.06s -> 572.38s]  Ну а в красный угол я приглашаю украинского рэп-исполнителя.
[572.38s -> 576.42s]  Встречайте, основатель, выход основателя прямо сейчас.
[576.42s -> 577.42s]  Мы ждем тебя!
[611.70s -> 636.66s]  Ну что, у бойца уже в клетке, в красном углу основатель, в синим Брол, рэпере в клетке Константин Костоправов.
[636.66s -> 637.66s]  Бойцы, на центр.
[637.66s -> 641.62s]  Парни, работаем по правилам бокса.
[642.10s -> 644.10s]  Формулу поединка, три раунда по две минуты.
[644.10s -> 646.34s]  Внимательно слушаем мэйк команды, показываем красивый бой.
[646.34s -> 648.18s]  Руки пожали по углам.
[648.18s -> 665.23s]  Брол и основатель.
[665.23s -> 671.07s]  Один легенда украинского рэпа, второй питерский фристайлер, насколько нам его представили.
[671.07s -> 674.59s]  Так, собственно, мы с ребятами и познакомились, а у нас уже пошла жарать.
[674.59s -> 677.15s]  Посмотрим, Брол или основатель такие.
[677.15s -> 682.03s]  Ну что, довольно активно двигаются, даже не скажешь, что ребята совсем только-только начали.
[682.03s -> 685.07s]  Заметно, что успели нахвататься.
[685.15s -> 689.23s]  Ты знаешь, если честно, если бы нет цвет их шорт, я боюсь, что я не смог бы даже различить.
[689.23s -> 690.75s]  Они немножко похожи друг на друга.
[690.75s -> 691.63s]  Это правда, это правда.
[691.63s -> 694.19s]  Есть что-то общее в визуальной составляющей.
[694.19s -> 697.39s]  Ну, давай посмотрим, как противостояние продолжается.
[700.67s -> 701.87s]  Хороший темп задали.
[703.39s -> 706.99s]  Очень спокойно так действует размеренный основатель.
[706.99s -> 708.43s]  Двигается хорошо на ногах.
[708.43s -> 709.07s]  Жеб.
[709.95s -> 713.71s]  Сейчас справа несколько раз подряд зарядился Брол, но все мимо.
[713.95s -> 717.55s]  Согласитесь, это вообще не похоже на другие рэперские бои, которые мы с тобой здесь видели.
[718.75s -> 719.71s]  Солидарь.
[719.71s -> 720.51s]  Солидарь.
[720.51s -> 722.91s]  И действительно, довольно технично парни действуют.
[723.39s -> 726.99s]  Байты с синим углом перечки закидывали, размашистые правые.
[726.99s -> 729.31s]  Что-то до феверхендов пытаются запустить.
[732.83s -> 735.47s]  И так улыбнулся уже несколько раз основатель.
[736.35s -> 739.47s]  Естественно, правая рука близко к подбородку.
[740.27s -> 741.71s]  Ни дэбок не прилетело.
[742.67s -> 748.78s]  И, по-моему, раскрепостился основатель.
[748.78s -> 750.30s]  Да, начал отстреливаться поактивнее.
[750.30s -> 752.86s]  До этого как будто бы постоянно был прессинг от Брола.
[752.86s -> 754.62s]  Хотя попаданий не там уж и много хороших.
[754.62s -> 758.78s]  Но вот сейчас основатель понял, что можно в ходе работы, то пропустил.
[758.78s -> 759.50s]  Сейчас, да.
[759.50s -> 760.78s]  И ответил хорошо.
[760.78s -> 763.50s]  У тебя какое ощущение, что есть проблемы у Брола сейчас.
[763.50s -> 767.50s]  Хотя именно он пошел первым, и он нанес самый, пожалуй, лучший удар первым.
[777.90s -> 780.78s]  Заставляет сейчас основатель отступать от самого Брола.
[780.78s -> 782.70s]  А у нас уже последние секунды первого раунда.
[784.22s -> 785.50s]  Что заберет концовку?
[787.42s -> 789.10s]  Отстреливается джебом основатель.
[789.10s -> 792.22s]  Ну, так это и было с самой первой секунды этого раунда.
[805.92s -> 808.32s]  У меня, в моем мнении, иногда у меня украинское настроение.
[808.32s -> 811.68s]  И я становлюсь молодой, веселой и задорной.
[811.68s -> 817.52s]  А когда у меня русское настроение, я в драку лезу из избы, вытаскиваю горячих мужиков.
[817.52s -> 818.96s]  Или что там обычно мы делаем?
[819.92s -> 821.44s]  О горячих, а не горячих.
[823.12s -> 824.08s]  Рубиться с ним не надо.
[824.08s -> 824.72s]  Тебе это не за что.
[824.72s -> 826.32s]  Ты хорошо ударишь, хорошо попадаешь.
[826.32s -> 826.88s]  Понял?
[826.88s -> 827.92s]  Держи его левой рукой.
[827.92s -> 829.92s]  А потом, когда почистишь, что попадаешь, вот так вот.
[845.06s -> 848.02s]  В углу основателя так сейчас основательно с ним поговорили.
[848.02s -> 850.50s]  Сказали, что ни в коем случае не нужно рубиться с соперником.
[850.50s -> 852.50s]  Здорово держит он его на джебе.
[852.50s -> 854.66s]  И этого может быть достаточно для победы.
[854.66s -> 856.66s]  И ни в коем случае нельзя рисковать.
[857.78s -> 859.54s]  Мне нужно сближаться без надобностей.
[859.54s -> 861.54s]  Собственно, это основатели делают.
[861.62s -> 863.62s]  На протяжении почти полутора раундов.
[866.98s -> 869.70s]  Ну вот сейчас пошел с комбинацией вперед Брол.
[869.70s -> 871.70s]  Такое ощущение, что оступился очень неудачно.
[871.70s -> 873.70s]  Да и не попал, честно говоря, Брол не раз.
[873.70s -> 875.70s]  А вот основатель воспользовался обложностью.
[875.70s -> 877.30s]  Какое-то повреждение, по-моему, есть.
[877.30s -> 879.30s]  То ли нога, то ли что-то еще у Брола.
[879.30s -> 882.74s]  Судя по всему, действительно в том моменте очень неудачно поставил ногу.
[884.02s -> 886.26s]  И по лицу Брола непонятно, сможет ли он вообще продолжить.
[886.26s -> 887.86s]  Идет отсчет, по-моему.
[888.66s -> 890.34s]  Да, есть травма ноги, он не может помогать бою.
[890.34s -> 892.34s]  И, судя по всему, это будет остановка.
[892.34s -> 894.34s]  Да, и остановка.
[894.34s -> 899.06s]  Да, всегда очень обидно наблюдать за тем, как бои прекращаются из-за травм.
[900.02s -> 907.62s]  К сожалению, именно травма стопы не даст нам продолжить развитие событий.
[907.62s -> 935.28s]  И в этом бою победу одерживает техническим нокаутом во втором раунде
[935.28s -> 944.99s]  Боец из Красного Угла-Основатель Саня, ты долго хотел попасть на наше дело.
[944.99s -> 946.99s]  Тебе представилась такая возможность.
[947.23s -> 952.91s]  Теперь перед тобой зрители нашего канала, я думаю, и в России это смотрят, и в Украине.
[952.91s -> 954.91s]  Что ты хочешь сказать?
[954.91s -> 957.87s]  Я хочу поблагодарить всех, кто болел за меня.
[957.87s -> 962.83s]  В первую очередь хочу поблагодарить Артура за то, что он дал возможность поучаствовать.
[962.83s -> 966.35s]  Этот бой я посвящаю своему сыну, который родится на днях.
[966.35s -> 968.03s]  Поздравим, поздравим!
[968.03s -> 970.03s]  Это достижение красавицы.
[970.03s -> 972.03s]  И моей жене.
[972.03s -> 976.43s]  Надеюсь, еще будет возможность выйти сюда и показать себя.
[976.43s -> 978.43s]  Кем бы ты хотел подраться?
[978.43s -> 980.43s]  Может быть из русских рэперов?
[980.43s -> 982.43s]  Может быть с Паша техник?
[982.43s -> 984.43s]  Это надо обдумать.
[984.43s -> 988.43s]  На данном этапе у меня есть главный соперник.
[988.43s -> 990.43s]  Кем бы я вышел, это Ресторатор.
[990.43s -> 992.43s]  Я вызываю его на бой.
[992.43s -> 994.43s]  Лысый Сагнида тебя вызывают?
[994.43s -> 996.43s]  Да.
[996.43s -> 998.43s]  Я считаю, что Эдвард Билл лучше ведущий, чем он.
[998.43s -> 1000.43s]  Намного.
[1000.43s -> 1002.43s]  Если Лысый Сагнида откажется, мы его настигнем.
[1002.43s -> 1004.43s]  Спасибо.
[1004.43s -> 1008.43s]  Я хотел проявить уважение к своему сопернику.
[1008.43s -> 1010.43s]  За то, что он вышел со мной.
[1010.43s -> 1012.43s]  И, как говорится, респект.
[1012.43s -> 1014.43s]  Достоял до конца.
[1014.43s -> 1016.43s]  Говорят, рэперы – респект.
[1016.43s -> 1018.43s]  Спасибо.
[1018.43s -> 1020.43s]  Подожди, Саш.
[1020.43s -> 1022.43s]  Ты вышел в клетку.
[1022.43s -> 1024.43s]  Ты очень давно этого хотел.
[1024.43s -> 1026.43s]  Бой складывался не так просто, как ожидалось.
[1026.43s -> 1028.43s]  Не жалеешь ли ты об этом опыте?
[1028.43s -> 1030.43s]  И выйдешь ли ты еще раз?
[1030.43s -> 1032.43s]  Я не жалею об этом опыте.
[1032.43s -> 1034.43s]  Я готовился всего лишь неделю.
[1034.43s -> 1036.43s]  За неделю, когда находился в Москве.
[1036.43s -> 1038.43s]  Я сам с Одессы.
[1038.43s -> 1040.43s]  Если бы я занимался, делал бы это лучше.
[1046.43s -> 1048.43s]  Поздравляем победителя этого боя.
[1048.43s -> 1050.43s]  Саня Основатель.
[1050.43s -> 1052.43s]  Теперь слово Бролу.
[1052.43s -> 1054.43s]  Иди сюда.
[1054.43s -> 1056.43s]  Как тебе впечатление?
[1056.43s -> 1058.43s]  Есть что сказать зрителям?
[1058.43s -> 1060.43s]  Мне все очень понравилось.
[1060.43s -> 1062.43s]  У меня удары не впечатлили.
[1062.43s -> 1064.43s]  Все нормально, жестко.
[1064.43s -> 1066.43s]  Просто у меня что-то со связкой.
[1066.43s -> 1068.43s]  Я сам расстроен, что простите.
[1068.43s -> 1070.43s]  Если мне еще дадут шансы,
[1070.43s -> 1072.43s]  постараюсь показать нормальный бой.
[1072.43s -> 1074.43s]  Давай, задись кого-нибудь.
[1074.43s -> 1076.43s]  Я имею в виду, да, жестко кого-нибудь задись.
[1076.43s -> 1078.43s]  Чтобы этот бой был действительно интересным.
[1078.43s -> 1080.43s]  И подготовься.
[1080.43s -> 1082.43s]  Может, ты хочешь против ресторатора?
[1082.43s -> 1084.43s]  Ресторатор и уходишь.
[1086.43s -> 1088.43s]  Давай, давай.
[1088.43s -> 1090.43s]  Отсвязки и приходи.
[1090.43s -> 1092.43s]  Давай вечером.
[1092.43s -> 1094.43s]  После восьми.
[1094.43s -> 1096.43s]  Хорошо.
[1096.43s -> 1098.43s]  А у вас есть свои какие-нибудь?
[1098.43s -> 1100.43s]  50 гривна, тупако, что-нибудь такое?
[1100.43s -> 1102.43s]  25 копейка.
[1104.43s -> 1106.43s]  Есть такой рэпер один.
[1106.43s -> 1108.43s]  Есть 25-й кадр.
[1108.43s -> 1110.43s]  Он такой веселый пасан.
[1110.43s -> 1112.43s]  Очень известный парень.
[1112.43s -> 1114.43s]  25-й кадр.
[1114.43s -> 1116.43s]  Известный в переносном смысле.
[1116.43s -> 1118.43s]  Ну, почти как 50.
[1118.43s -> 1120.43s]  25 пополам получается.
[1120.43s -> 1122.43s]  То есть это ноги 50-сента, по сути?
[1122.43s -> 1124.43s]  Ну, я сказал в жопу, скорее всего.
[1124.43s -> 1126.43s]  А вы популярный рэпер?
[1126.43s -> 1128.43s]  Ну, наверное.
[1128.43s -> 1130.43s]  Вы же меня знаете.
[1130.43s -> 1132.43s]  Если честно, я вас не знаю и вообще не слушаю.
[1132.43s -> 1134.43s]  Я просто видела, как вы дрались.
[1134.43s -> 1136.43s]  Я думала, что вы вообще боец.
[1136.43s -> 1138.43s]  Да ладно, какой с меня боец?
[1138.43s -> 1140.43s]  Я четыре дня занимался.
[1140.43s -> 1142.43s]  Серьезно вам говорю.
[1142.43s -> 1144.43s]  У меня даже спарринга не было.
[1144.43s -> 1146.43s]  Я заболел вчера.
[1146.43s -> 1148.43s]  Минус 16.
[1148.43s -> 1150.43s]  Я не привык. У нас в Одессе такой погода.
[1150.43s -> 1152.43s]  Редко такое бывает.
[1152.43s -> 1154.43s]  Ну, конечно, вы в костюме ходите.
[1154.43s -> 1156.43s]  Куртку можно надеть сверху.
[1156.43s -> 1158.43s]  Я не знал, что нужно куртки надевать.
[1158.43s -> 1160.43s]  Пальцы просто выросли.
[1160.43s -> 1162.43s]  За ночь пальцы выросли?
[1162.43s -> 1164.43s]  Да, выросли пальцы.
[1166.43s -> 1168.43s]  Прежде чем мы объявим участника второго боя,
[1168.43s -> 1170.43s]  я хочу напомнить всем нашим зрителям.
[1170.43s -> 1172.43s]  Если ты хочешь первым
[1172.43s -> 1174.43s]  видеть контент нашего дела,
[1174.43s -> 1176.43s]  это касается и боев,
[1176.43s -> 1178.43s]  и конференций,
[1178.43s -> 1180.43s]  то переходи по ссылке в описании,
[1180.43s -> 1182.43s]  регистрируйся в Рутюбе,
[1182.43s -> 1184.43s]  подписывайся на канал Наше Дело
[1184.43s -> 1186.43s]  и ты увидишь наш контент первым.
[1186.43s -> 1188.43s]  Ну что, друзья, начало положено
[1188.43s -> 1190.43s]  и пора двигаться дальше.
[1190.43s -> 1192.43s]  Далее нас ждет противостояние двух дерзких спортсменов.
[1192.43s -> 1194.43s]  Профессионалов, фактически.
[1194.43s -> 1196.43s]  И первый выйдет в эту клетку
[1196.43s -> 1198.43s]  и займет синий угол.
[1198.43s -> 1200.43s]  Базовый боксер Евгений Шакуров.
[1200.43s -> 1202.43s]  Евгений Шакуров!
[1202.43s -> 1204.43s]  Мы ждем тебя! Выходи!
[1204.43s -> 1206.43s]  Встречаем синий угол!
[1208.43s -> 1239.65s]  Ну что, Женя в клетке?
[1245.20s -> 1247.20s]  Ну что, Женя уже в клетке,
[1247.20s -> 1249.20s]  пора представить его соперника.
[1249.20s -> 1251.20s]  Вы знаете его как блогера,
[1251.20s -> 1253.20s]  но поверьте, его бойцовские качества
[1253.20s -> 1255.20s]  ничуть не хуже
[1255.20s -> 1257.20s]  его меди-успехов.
[1257.20s -> 1259.20s]  Встречаем! Саид Шахбанов из Дагестана!
[1259.20s -> 1261.20s]  Красный угол!
[1261.20s -> 1305.02s]  Итак, бойцы, в клетке нашего дела
[1305.02s -> 1307.02s]  на конференции
[1307.02s -> 1309.02s]  они оба говорили, что съедят друг друга.
[1309.02s -> 1311.02s]  Настрой бешеный.
[1311.02s -> 1313.02s]  Рефери в клетке Константин Костоправов.
[1315.02s -> 1317.02s]  Бойцы, на центр.
[1317.02s -> 1322.00s]  Парни, работаем по правилам ММА.
[1322.00s -> 1324.00s]  Работаем три раунда по три минуты.
[1324.00s -> 1326.00s]  Работы в партере нет.
[1326.00s -> 1328.00s]  Понятно?
[1328.00s -> 1330.00s]  Правила понятны, бойцы?
[1330.00s -> 1332.00s]  Руки пожали.
[1332.00s -> 1348.88s]  По углам.
[1348.88s -> 1350.88s]  Садев сказал себя Евгений Шакуров.
[1350.88s -> 1352.88s]  Посмотрим, что он сможет сделать непосредственно в бою.
[1352.88s -> 1354.88s]  Саид Шахбанов
[1354.88s -> 1356.88s]  серьезный парень.
[1356.88s -> 1358.88s]  Даже потелосложение, это видно.
[1358.88s -> 1360.88s]  Да, еще до начала уже почувствовался такой легкий накал.
[1360.88s -> 1362.88s]  Ребята,
[1362.88s -> 1364.88s]  готовы друг другу видимо сносить головы.
[1364.88s -> 1366.88s]  Сразу с полки начинает Саид.
[1366.88s -> 1368.88s]  Еще разок в голову же выцеливает.
[1368.88s -> 1370.88s]  Ооо!
[1370.88s -> 1372.88s]  Что твори ты?
[1372.88s -> 1374.88s]  Но по правилам, да,
[1374.88s -> 1376.88s]  но дают бойцу подняться.
[1376.88s -> 1378.88s]  И будет как такового.
[1380.88s -> 1382.88s]  Еще один удар.
[1382.88s -> 1384.88s]  Идет бороться сейчас.
[1384.88s -> 1386.88s]  Судя по всему, Шакуров решил сделать ставку на борцовским геймплане.
[1386.88s -> 1388.88s]  После того, как пропустил вертуху на старте этого боя.
[1390.88s -> 1392.88s]  Еще раз в развороты заряжает Саид.
[1394.88s -> 1396.88s]  Да, такое ощущение, как будто два
[1396.88s -> 1398.88s]  представителя токвандо у нас сегодня.
