[6.45s -> 8.45s]  Заводите его!
[380.45s -> 381.45s]  Молодцы, подписчики.
[381.45s -> 382.45s]  Шляпа.
[382.45s -> 383.45s]  Егор.
[383.45s -> 384.45s]  Готовы?
[384.45s -> 385.45s]  Внимание.
[394.45s -> 395.45s]  Это в плане постановок.
[395.45s -> 397.45s]  То есть они сказали другую типу Сергею Викторовичу,
[397.45s -> 399.45s]  а может сейчас короче вот так вот встать?
[399.45s -> 400.45s]  Нет.
[400.45s -> 402.45s]  Или просто чувак такой, смотри сейчас он будет стрелять,
[402.45s -> 404.45s]  старт давать, а ты встань вот там и я тебя посниму.
[404.45s -> 409.45s]  Почему он не вверх нацелился, а в бок именно?
[409.45s -> 411.45s]  Может быть постановок.
[411.45s -> 413.45s]  Ну если это постановок, Егор, я говорю, что это шляпа.
[413.45s -> 415.45s]  Кстати, я упал в новое сажимце.
[415.45s -> 417.45s]  Ну не знаю, ну не шляпа.
[417.45s -> 419.45s]  Так-то весело, весело и смешно.
[419.45s -> 420.45s]  Шляпа.
[420.45s -> 422.45s]  Итак, друзья, у нас есть проигравший.
[422.45s -> 423.45s]  Это Егор.
[423.45s -> 426.45s]  Он уже собирает хед-трик, потому что он проигрывает
[426.45s -> 428.45s]  в третьей передаче.
[428.45s -> 430.45s]  Так что Егору сейчас себе в Инстаграм нужно будет
[430.45s -> 433.45s]  выложить такой шляп на видос, что организаторы нашего
[433.45s -> 436.45s]  шоу говорят, что лучше занять второе место на конкурсе
[436.45s -> 439.45s]  обашеской игрушки, чем выложить это себе в Инстаграм.
[439.45s -> 442.45s]  Давайте на его, наверное, и посмотрим.
[452.45s -> 454.45s]  Матери наберу, чтобы ты остался от Егора.
[454.45s -> 456.45s]  Шляпа, *****, меня ждет в историях.
[456.45s -> 458.45s]  Скажи, вот что я умею.
[458.45s -> 460.45s]  И напиши, как я.
[460.45s -> 462.45s]  Подпиши, как я.
[462.45s -> 463.45s]  Шляпа.
[463.45s -> 466.45s]  Ну что, шоу Шляпа подошло к своему логическому завершению.
[466.45s -> 468.45s]  Сегодня с вами был Егор, с вами был Андрюха, с вами
[468.45s -> 469.45s]  был Макс.
[469.45s -> 473.45s]  Сегодня мы отсортировали очередную партию шляпных
[473.45s -> 476.45s]  видосов, так что снимайте качественный контент,
[476.45s -> 478.45s]  обязательно подписывайтесь на этот канал, ставьте
[478.45s -> 480.45s]  колокольчик, чтобы не пропустить новые выпуски.
[480.45s -> 483.45s]  Ну и сохраняйте видос, чтобы можно было потом пересмотреть
[483.45s -> 484.45s]  их с друзьями.
[484.45s -> 486.45s]  Все, шоу Шляпа, всем пока.
[487.45s -> 491.30s]  Шляпа.
[495.30s -> 498.30s]  Редактор субтитров А.Синецкая
[498.30s -> 501.30s]  Корректор А.Кулакова
