[3.89s -> 18.61s]  ДИНАМИЧНАЯ МУЗЫКА
[200.75s -> 201.75s]  Растопи, *****, свое сердце.
[201.75s -> 203.75s]  Я не знаю, как комментировать это.
[203.75s -> 204.75s]  Вид очень милый.
[204.75s -> 206.75s]  Ты пила из сиси хоть раз?
[206.75s -> 207.75s]  Ну, конечно.
[207.75s -> 208.75s]  Мы все это делали.
[208.75s -> 209.75s]  Ага.
[209.75s -> 210.75s]  Да, в детстве.
[214.75s -> 216.75s]  Ладно, дорогие друзья, пока всем.
[216.75s -> 217.75s]  Ну, давай.
[218.75s -> 219.75s]  Добрый парень.
[220.75s -> 222.75s]  Я вообще не знаю, ***, что сегодня делать.
[222.75s -> 223.75s]  Отвечаю.
[223.75s -> 224.75s]  Расслабляйся.
[224.75s -> 225.75s]  Я жду того видео.
[225.75s -> 227.75s]  Здесь происходит аниме-пати.
[227.75s -> 229.75s]  И мы будем веселиться.
[229.75s -> 231.75s]  Мы будем петь, танцевать под анимешные острты.
[231.75s -> 234.75s]  Будем получать от этого массу положительных впечатлений.
[234.75s -> 237.75s]  Я коснусь чигу с таким няу-няу.
[237.75s -> 238.75s]  В смысле?
[238.75s -> 239.75s]  Все от смерти.
[239.75s -> 240.75s]  Да.
[240.75s -> 243.75s]  Это косплей Мяута из аниме-покемот.
[243.75s -> 246.75s]  Персонаж одного аниме называется аниме-саул-литер.
[246.75s -> 248.75s]  Персонажа зовут профессор Штейн.
[248.75s -> 250.75s]  Я никогда не любила аниме.
[250.75s -> 251.75s]  Почему?
[251.75s -> 252.75s]  Не знаю.
[252.75s -> 253.75s]  Вообще мне никогда не нравилось.
[253.75s -> 255.75s]  А что какое из аниме ты смотрела?
[255.75s -> 257.75s]  Так я их не смотрела.
[257.75s -> 259.75s]  Я их видела только как-то мельком.
[259.75s -> 260.75s]  То есть, во-первых, тебе надо в Госдуму.
[260.75s -> 261.75s]  Вот.
[261.75s -> 263.75s]  А во-вторых, в смысле, а как это?
[263.75s -> 264.75s]  Что значит?
[264.75s -> 266.75s]  А как ты можешь что-то не любить, если ты это не видела?
[266.75s -> 268.75s]  Мне нравится, как эти мультики нарисованы.
[268.75s -> 269.75s]  Мне нравится их стиль, формат.
[269.75s -> 270.75s]  А ты смотрела?
[270.75s -> 271.75s]  Ну, я смотрела.
[271.75s -> 273.75s]  Это шло на фоне у моих младших братьев и сестер.
[273.75s -> 274.75s]  Например?
[274.75s -> 276.75s]  Ты хочешь, чтобы я название сказала мультика?
[276.75s -> 277.75s]  Ну, Баруто, например.
[277.75s -> 279.75s]  Да я не ****, что такое Баруто.
[279.75s -> 280.75s]  Я вообще без понятия.
[280.75s -> 281.75s]  Я одно название не знаю.
[281.75s -> 282.75s]  Наруто.
[282.75s -> 283.75s]  Хентай.
[283.75s -> 284.75s]  Наруто.
[284.75s -> 285.75s]  Хентай?
[285.75s -> 286.75s]  Да.
[286.75s -> 287.75s]  Я ой смотрела.
[287.75s -> 288.75s]  Это что-то с порносвязанными?
[288.75s -> 289.75s]  Нет, нет.
[289.75s -> 292.77s]  Абакуган.
[292.77s -> 293.77s]  Шибари.
[293.77s -> 294.77s]  Шибари тоже связывание?
[295.77s -> 296.77s]  Слушай, а то она знает.
[296.77s -> 297.77s]  То есть не вся японская культура тебе чинит?
[297.77s -> 298.77s]  Походу только суши.
[298.77s -> 299.77s]  Суши, шибари, хентай.
[299.77s -> 300.77s]  Все остальное нет?
[300.77s -> 301.77s]  Да.
[301.77s -> 302.77s]  Все, я понял тебя.
[302.77s -> 303.77s]  Сашими.
[303.77s -> 304.77s]  Дзюдо.
[304.77s -> 305.77s]  Да.
[305.77s -> 306.77s]  И митсубиси, блин.
[307.77s -> 308.77s]  Настя.
[308.77s -> 309.77s]  Так?
[309.77s -> 310.77s]  Какие тебе нравятся мужчины?
[310.77s -> 311.77s]  Какие мне нравятся мужчины?
[311.77s -> 312.77s]  Ну 조ка, ну главное чтобы он к мне хорошо относился.
[312.77s -> 313.77s]  Ну香港овая?
[313.77s -> 315.77s]  Что бы открывал дверь у машины.
[315.77s -> 325.85s]  А Снеху машины
[325.85s -> 328.37s]  Человекode
[328.37s -> 332.45s]  Так, давайте начнем только platinum и Williams involved?
[332.45s -> 343.45s]  Чтобы открывал дверь у машины, в такси, где угодно, от подъезда, передо мной главное, чтобы дверь...
[343.45s -> 344.45s]  А из дверей нет?
[344.45s -> 346.45s]  Ну мы же куда-то, будем по-любому входить и выходить.
[346.45s -> 349.45s]  А что, вы будете просто дома сидеть или на улице жить?
[349.45s -> 356.45s]  У меня был такой мужчина, который не платил за алкоголь, потому что он против был, что я пилачу.
[356.45s -> 357.45s]  Только это же нормально.
[357.45s -> 358.45s]  Абьюзер.
[360.45s -> 362.45s]  Арбузер.
[362.45s -> 363.45s]  Арбузер.
[363.45s -> 364.45s]  Короче, чтоб не был абьюзер.
[364.45s -> 366.45s]  Это самое главное, конечно.
[366.45s -> 368.45s]  Султан, зачем ты это записываешь?
[368.45s -> 370.45s]  В смысле? Я же эти выпускаю.
[370.45s -> 373.45s]  Сто лучших женщин и их критерии в России.
[373.45s -> 375.45s]  Журнал будет выходить.
[375.45s -> 379.45s]  А что ты думаешь, пятерочки полки открыли, для чего с этими журналами?
[379.45s -> 380.45s]  Их надо заполнять?
[380.45s -> 381.45s]  Какие у тебя еще интересы, кроме дверей?
[381.45s -> 383.45s]  Ну чтобы он был выше меня.
[383.45s -> 385.45s]  Чтобы он зарабатывал больше, чем я.
[385.45s -> 386.45s]  С какой у тебя рост?
[386.45s -> 387.45s]  У меня 173.
[387.45s -> 389.45s]  У тебя очень много критериев, Султан Вахов уже.
[389.45s -> 391.45s]  Он на третьем остановился уже.
[391.45s -> 393.45s]  Я слетел еще с дверей.
[393.45s -> 395.45s]  Чтобы был с активной жизненной позицией.
[395.45s -> 396.45s]  Это как?
[396.45s -> 400.45s]  Чтобы он был активный, чтобы не сидел дома пиво целыми днями.
[400.45s -> 401.45s]  Чтобы не **** мозги.
[401.45s -> 402.45s]  Не **** мозги.
[402.45s -> 403.45s]  Не ревновал.
[403.45s -> 404.45s]  Сильно.
[404.45s -> 407.45s]  Ну адекватно оценивал ситуацию.
[407.45s -> 409.45s]  Чтобы у меня было оверконтроль.
[409.45s -> 412.45s]  Я не успеваю записывать, чуть помедленнее.
[412.45s -> 413.45s]  Ты ускорилась.
[413.45s -> 417.45s]  Где-то ты поела, покушала, какала, пописала без этого всего.
[417.45s -> 419.45s]  Короче, тебе нужен пробирочный чувак.
[419.45s -> 420.45s]  Нет.
[420.45s -> 422.45s]  А, чтобы подарки дарил.
[422.45s -> 423.45s]  И чтобы не был пробирочный.
[423.45s -> 424.45s]  Цветочки я люблю.
[424.45s -> 425.45s]  Подарочки.
[425.45s -> 426.45s]  Цветочки.
[426.45s -> 427.45s]  Какие цветочки ты любишь?
[427.45s -> 428.45s]  Я?
[428.45s -> 429.45s]  Разные.
[429.45s -> 430.45s]  Главное, чтобы отбил человека.
[430.45s -> 431.45s]  ******* вообще.
[431.45s -> 432.45s]  А есть ли одинаковые цветочки в букете?
[432.45s -> 433.45s]  Ну, типа.
[433.45s -> 434.45s]  Только розы.
[434.45s -> 435.45s]  Ну, хорошо.
[435.45s -> 438.45s]  Лучше только розы, так только розы.
[438.45s -> 441.45s]  А вот смотри, все классно, 172 сантиметра.
[441.45s -> 445.45s]  Ты в курсе, да, что у человека постепенно позвоночник угасает с возраста?
[445.45s -> 446.45s]  Да.
[446.45s -> 449.45s]  Вот представь, твой мужчина в 40, из 173 стал 171.
[449.45s -> 450.45s]  Что делать?
[450.45s -> 451.45s]  У вас двое детей.
[451.45s -> 452.45s]  Я тоже стану ниже.
[452.45s -> 454.45s]  А, и будет планка падает.
[454.45s -> 455.45s]  Все будет одинаково, разумеем.
[455.45s -> 456.45s]  А, планка падает с возрастом.
[456.45s -> 457.45s]  Да.
[457.45s -> 458.45s]  По поводу Насти мы пообщались.
[458.45s -> 459.45s]  Может мы дальше чуть-чуть посмотрим видео?
[459.45s -> 460.45s]  Да, да, конечно.
[460.45s -> 461.45s]  Это жирная привыкательная.
[461.45s -> 462.45s]  Настя Витонова.
[462.45s -> 463.45s]  Я только шпала.
[463.45s -> 464.45s]  Цитата девушка.
[464.45s -> 465.45s]  Я отлепляю твой мусс.
[465.45s -> 466.45s]  Это жирная привыкательная.
[466.45s -> 469.45s]  Скажи не прикольно свои же ролики смотреть?
[469.45s -> 470.45s]  Не прикольно?
[470.45s -> 471.45s]  Не прикольно.
[471.45s -> 472.45s]  Почему?
[472.45s -> 473.45s]  Нет, в таком смысле ты не любишь пересматривать свой же контент?
[473.45s -> 474.45s]  Я обожаю.
[474.45s -> 475.45s]  А, любишь?
[475.45s -> 476.45s]  Пересматривать..?
[476.45s -> 477.45s]  Очень многие люди, которые делают контент, они не любят смотреть scorid fluid.
[477.45s -> 478.45s]  Значит они не любят свое творчество, смогут смотреть climbs.
[478.45s -> 479.45s]  пересматривать свой же контент.
[479.45s -> 480.45s]  Я обожаю.
[480.45s -> 481.45s]  А, любишь?
[481.45s -> 482.45s]  Пересматривать все.
[482.45s -> 483.45s]  Очень многие люди, которые делают контент, они не любят
[483.45s -> 484.45s]  смотреть свой творчество.
[484.45s -> 485.45s]  Значит, они не любят свой творчество.
[485.45s -> 489.45s]  Чтоб ты понимал, насколько она любит пересматривать
[489.45s -> 491.45s]  свой контент, она даже любит его перевыкладывать.
[491.45s -> 494.45s]  Есть такой грешок.
[494.45s -> 497.45s]  Счастливы ли ты и чего тебе не хватает для счастья?
[497.45s -> 498.45s]  Я счастлива.
[498.45s -> 501.45s]  Бесплатно сходить в поликлинику или к платному врачу?
[501.45s -> 502.45s]  К платному врачу.
[502.45s -> 504.45s]  Какое твое любимое время года?
[504.45s -> 505.45s]  Лето.
[505.45s -> 506.45s]  Явно лето, потому что тепло.
[506.45s -> 507.45s]  Можно ходить.
[507.45s -> 508.45s]  Бесплатно и легкая одежда.
[508.45s -> 509.45s]  Что за интервью?
[509.45s -> 510.45s]  Дуть ********.
[510.45s -> 511.45s]  Девочка ко мне подошла.
[511.45s -> 512.45s]  Это моя знакомая.
[512.45s -> 515.45s]  Она попросила поучаствовать в съемке интервью для чего-то
[515.45s -> 516.45s]  там, для паблика.
[516.45s -> 517.45s]  Журнал счастья.
[517.45s -> 518.45s]  Для паблика TikTok.
[518.45s -> 519.45s]  Я про себя решила.
[519.45s -> 520.45s]  Давай еще раз.
[520.45s -> 521.45s]  Сколько лет назад сняла?
[521.45s -> 522.45s]  Это этим летом.
[522.45s -> 523.45s]  Многое поменялось за это время.
[523.45s -> 524.45s]  Я счастлива.
[524.45s -> 525.45s]  Ты все еще счастлива?
[525.45s -> 526.45s]  И до сих пор буду ходить в платные поликлиники.
[526.45s -> 527.45s]  И что там последнее было?
[528.45s -> 531.45s]  А чего тебе не хватает для счастья?
[531.45s -> 532.45s]  Все.
[532.45s -> 533.45s]  Меня хороша.
[533.45s -> 534.45s]  А в banker.
[534.45s -> 535.45s]  А, обед, а давай ты отвечай на этот вопрос.
[535.45s -> 536.45s]  Обед, счастлив ли ты?
[536.45s -> 537.45s]  И чего тебе не хватает для счастья?
[537.45s -> 540.45s]  Все, мне хорошо, у меня все хорошо
[540.45s -> 542.45s]  А, Авет, а давай ты ответишь на эти вопросы
[542.45s -> 543.45s]  Авет, счастлив ли ты?
[543.45s -> 545.45s]  И чего тебе не хватает для счастья?
[548.45s -> 550.45s]  Чего тебе не хватает для счастья?
[550.45s -> 551.45s]  Он счастлив
[551.45s -> 552.45s]  Я счастлива
[552.45s -> 553.45s]  Этот парень счастлив!
[555.45s -> 557.45s]  О, мой любимый тренд, у меня всегда заходит
[560.45s -> 563.46s]  А я не поперепутала
[564.46s -> 566.46s]  Я перепутала как ассистигра
[567.46s -> 569.46s]  В том году была битва под Сталинградом
[571.46s -> 572.46s]  Хочется случайно, да, человек?
[573.46s -> 574.46s]  Конечно
[574.46s -> 576.46s]  И вот этот Коля тоже случайно
[578.46s -> 580.46s]  Главное, что он отомадующий это же Сталин
[586.46s -> 587.46s]  Первую мировую
[587.46s -> 589.46s]  Ну, ребят, но тема не смешная, но не серьезная
[591.46s -> 593.46s]  А ты очень серьезно оттеслась в этом платье
[593.46s -> 594.46s]  Честно, ты хотя бы
[595.46s -> 597.46s]  Очень серьезное отношение к вопросам
[598.46s -> 599.46s]  Ты хотя бы ответа не говорила
[599.46s -> 601.46s]  Ты думала, Розочку нацепишь, все?
[601.46s -> 602.46s]  Ты что?
[602.46s -> 604.46s]  На 23-е ролик вышел, очень извините
[604.46s -> 606.46s]  Ты им ответа не говорила, честно скажи
[606.46s -> 607.46s]  Ну, честно скажи
[607.46s -> 608.46s]  Да, конечно
[608.46s -> 609.46s]  Ну, скажи честно
[609.46s -> 611.46s]  Чтобы вы понимали, мы снимали пилот-шоу
[611.46s -> 614.46s]  Где вот этот парень слева Коля соревновался в интеллектуальной битве
[614.46s -> 615.46s]  Против собаки
[615.46s -> 616.46s]  А, да
[616.46s -> 617.46s]  Собаки?
[617.46s -> 618.46s]  Да
[618.46s -> 620.46s]  Против собаки, клянусь, не шучу вообще
[620.46s -> 621.46s]  Собака выиграла это
[621.46s -> 622.46s]  Да, собака выиграла
[622.46s -> 624.46s]  Вот так вот возможно
[625.46s -> 626.46s]  Пусть скажет Тао
[626.46s -> 627.46s]  Давай, Тао
[627.46s -> 631.97s]  Правильно, Тао, это АУ, дай пять
[633.97s -> 635.97s]  Даша, подожди, без этого вечером буду
[636.97s -> 637.97s]  А, один чай
[638.97s -> 641.97s]  Это когда одним пакетиком шестнадцатый чай наварил
[641.97s -> 643.97s]  Первый чай и шестнадцатый
[648.97s -> 650.97s]  Все, она по-любому сейчас изменяет
[653.97s -> 655.97s]  Шарф надо было обвязать
[658.97s -> 661.97s]  Люди, когда болеют, не накидывают шарфом, обязывают его в ту шею
[661.97s -> 663.97s]  Дай, я хочу смотреть ТикТок, мне очень интересно
[663.97s -> 664.97s]  На, держи
[665.97s -> 667.97s]  Что отдаешь и получаешь?
[667.97s -> 668.97s]  О, да
[668.97s -> 670.97s]  Ну, во-первых, надо было субтитры добавить, да
[670.97s -> 677.25s]  Это невидимое
[677.25s -> 678.25s]  Что даешь?
[678.25s -> 680.25s]  Тица на компьютере звук фанат
[681.25s -> 684.25s]  А еще люблю воспоминания, когда в ТикТоке их делают
[684.25s -> 685.25s]  А, да
[685.25s -> 686.25s]  А, да
[686.25s -> 689.25s]  А еще люблю воспоминания, когда в ТикТоке их делают
[689.25s -> 691.25s]  Они в той же одежде, что и в этот момент находятся
[691.25s -> 692.25s]  Я меняла одежду
[692.25s -> 693.25s]  Ты меняла одежду
[693.25s -> 694.25s]  В смысле сам приготовишь?
[694.25s -> 695.25s]  Зачем вообще на тебе тогда женился?
[695.25s -> 698.25s]  Блин, у тебя такая хорошая девушка, заботливая
[698.25s -> 699.25s]  Никому не заботилась
[701.25s -> 704.88s]  Ну, а потом я поменяла одежду
[704.88s -> 705.88s]  Память короткая, я смотрю
[706.88s -> 708.88s]  Типа, недалеко у воспоминания ушли
[708.88s -> 710.88s]  Намутили сегодня, в этот же день
[710.88s -> 712.88s]  Какая хорошая девушка
[712.88s -> 713.88s]  А что с это, с грацией?
[713.88s -> 715.88s]  А болела она в той же одежде, посмотри, пожалуйста
[715.88s -> 716.88s]  Болела, нет?
[716.88s -> 717.88s]  Нет, болела
[720.88s -> 721.88s]  Ну, как не в той?
[721.88s -> 723.88s]  Она просто белую купила
[723.88s -> 725.88s]  А, не обязан, да?
[725.88s -> 726.88s]  Нет
[726.88s -> 728.88s]  Ну, просто у тебя сзади шея простыла
[728.88s -> 729.88s]  И ты решила назад просто
[729.88s -> 730.88s]  Она еще кашляет
[730.88s -> 731.88s]  Она просто отрыжка
[731.88s -> 732.88s]  Непонятно
[738.88s -> 740.88s]  Она пьет Соджи компот, что ли?
[742.88s -> 744.88s]  Вы даже третий компот не нашли
[745.88s -> 747.88s]  Какой ужас
[749.88s -> 751.88s]  Ёжик стоит в стороне и снимает это все, видимо
[751.88s -> 753.88s]  Потому что оператора тоже не было
[753.88s -> 754.88s]  Давай дальше, не очень прикольно
[754.88s -> 755.88s]  Сейчас волна пошла
[760.26s -> 761.26s]  Вот это сейчас, подожди
[762.26s -> 763.26s]  Сейчас
[763.26s -> 764.26s]  Это не зрение
[764.26s -> 766.26s]  Хорошее отношение для сфотографирования
[768.26s -> 769.26s]  А Дим, что это?
[769.26s -> 770.26s]  Что видела Ариана Грандек?
[770.26s -> 771.26s]  Напекала Ариана Грандек
[771.26s -> 772.26s]  Пойдем посмотрим
[772.26s -> 773.26s]  Ой, я знаю эту пичку, я видел
[774.26s -> 776.26s]  Она не разговаривает по-английски, да?
[776.26s -> 777.26s]  Да
[781.26s -> 783.26s]  Это кстати, я перепутала
[783.26s -> 784.26s]  Это не было запланировано
[784.26s -> 786.26s]  Потому что она не разговаривает по-английски
[786.26s -> 787.26s]  Да, она вообще должна была сказать
[787.26s -> 788.26s]  Она не разговаривает по-русски
[789.26s -> 791.26s]  Она говорит, она не разговаривает по-английски
[791.26s -> 792.26s]  И продолжает ее снимать
[792.26s -> 793.26s]  Типа все, афиг
[795.26s -> 796.26s]  Привет
[796.26s -> 797.26s]  *****
[797.26s -> 798.26s]  О, это кто?
[798.26s -> 799.26s]  А кто это у нас?
[801.26s -> 803.26s]  Мы с Томом, чтобы на самом деле знакомы
[803.26s -> 804.26s]  Познакомились
[804.26s -> 805.26s]  Ага
[805.26s -> 807.26s]  А их тот человек, который отвечал на вопросы
[809.26s -> 810.26s]  Случайный человек
[810.26s -> 812.26s]  Случайно встретились на набережной Тараса Шовчанка
[812.26s -> 813.26s]  Именно
[813.26s -> 814.26s]  Так, проходили мимо
[816.26s -> 819.53s]  Понятно
[819.53s -> 835.92s]  Могла эта шлюх
[835.92s -> 836.92s]  Сейчас пройдусь
[838.92s -> 839.92s]  Гениальный эффект
[839.92s -> 840.92s]  Что, она ебит с твоим мужем?
[840.92s -> 841.92s]  Или купила тебе цветов там?
[841.92s -> 842.92s]  С тем парнем
[843.92s -> 844.92s]  Что она здесь?
[844.92s -> 845.92s]  Что будет дальше?
[845.92s -> 846.92s]  Давай думаем, что будет дальше
[846.92s -> 848.92s]  А потом она скажет, так это будет мне
[848.92s -> 849.92s]  Во-первых, предложение
[849.92s -> 851.92s]  Может тебе с Сашей Стованом объединиться в плане контента?
[852.92s -> 853.92s]  Вот
[854.92s -> 856.92s]  Вы это еще в инстаграме, мой социал?
[856.92s -> 857.92s]  Нет, там будет сначала
[857.92s -> 858.92s]  Саша будет видеть
[858.92s -> 859.92s]  Нет, она заходит
[859.92s -> 860.92s]  А там голый Саша Солович
[860.92s -> 861.92s]  Ебаля
[861.92s -> 862.92s]  Да
[862.92s -> 864.92s]  И в музыку играет, его не слышит
[865.92s -> 866.92s]  Об стену
[866.92s -> 867.92s]  Давай
[869.92s -> 870.92s]  Это поздний смысл
[870.92s -> 871.92s]  Поздний смысл
[871.92s -> 872.92s]  Да, да, да
[872.92s -> 873.92s]  Дошло попозже
[876.92s -> 877.92s]  Это тоже витона?
[877.92s -> 878.92s]  Это тоже витона
[878.92s -> 879.92s]  Социальный ролик
[879.92s -> 880.92s]  О любви
[882.92s -> 883.92s]  Заточь с ним
[883.92s -> 884.92s]  Ладно
[884.92s -> 885.92s]  Заточь, а вон ей двери
[885.92s -> 887.92s]  Ладно, подожди, не включай
[887.92s -> 889.92s]  Вот есть ли этот молодой человек
[889.92s -> 892.92s]  Выполнить все пункты, которые написал Солтан?
[892.92s -> 893.92s]  Но просто будет вот такой
[893.92s -> 894.92s]  Нет
[894.92s -> 895.92s]  Вот с этой женщиной
[895.92s -> 896.92s]  Нет
[896.92s -> 897.92s]  Почему?
[897.92s -> 898.92s]  Нет
[898.92s -> 899.92s]  Почему?
[899.92s -> 900.92s]  Но он же выполнил все твои пункты
[900.92s -> 902.92s]  Он выше, он открывает двери
[902.92s -> 904.92s]  Он занимается сексом долго, а сейчас видно
[904.92s -> 906.92s]  Нет, ребята, я не хочу этого представлять
[906.92s -> 907.92s]  Почему?
[907.92s -> 908.92s]  Ну, мне не нравится
[908.92s -> 910.92s]  Он по-любому разрешает бухать
[910.92s -> 911.92s]  Ну, он небогатый, смотрите
[911.92s -> 912.92s]  Почему?
[912.92s -> 914.92s]  Ну, он не сможет на меня платить
[914.92s -> 915.92s]  и зарабатывать больше, чем я
[915.92s -> 917.92s]  Посмотрите, какой у него дом на фоне
[917.92s -> 918.92s]  У него частный дом
[918.92s -> 919.92s]  Он на Рублевке
[919.92s -> 920.92s]  Дача, епшенько
[920.92s -> 921.92s]  ******
[921.92s -> 922.92s]  У него всех дачи
[922.92s -> 923.92s]  У тебя есть дача?
[923.92s -> 924.92s]  Ну, какой-то херовый дом на Рублевке
[924.92s -> 925.92s]  Почему?
[925.92s -> 926.92s]  Там разваливается окно, по-моему
[926.92s -> 927.92s]  Это раритет
[927.92s -> 928.92s]  А это что?
[928.92s -> 929.92s]  У нас специалист по окнам что-нибудь?
[929.92s -> 931.92s]  Да, я вставляю их
[934.92s -> 935.92s]  Вау
[935.92s -> 936.92s]  Как тебе колготы вообще?
[936.92s -> 937.92s]  Нормально?
[937.92s -> 938.92s]  Мне очень нравится
[938.92s -> 939.92s]  Слушайте, она была идеальной девушкой
[939.92s -> 940.92s]  Но она...
[940.92s -> 941.92s]  Она есть моя женщина
[941.92s -> 942.92s]  Твоя?
[942.92s -> 943.92s]  Да
[943.92s -> 944.92s]  Там была, которая что-то говорила
[944.92s -> 945.92s]  Она немного похудела
[945.92s -> 946.92s]  Авета многолюб, ты что?
[946.92s -> 947.92s]  Да
[947.92s -> 948.92s]  У тебя много женщин
[948.92s -> 949.92s]  Говорил?
[949.92s -> 952.92s]  Авета по государственной программе выдают женщинам
[952.92s -> 953.92s]  Что за программа такая?
[953.92s -> 956.92s]  Программа всем несчастным, Авет
[966.92s -> 969.92s]  Почему же она в этот момент встала есть?
[970.92s -> 972.92s]  Если что, просто меня легко испортит аппетит
[972.92s -> 973.92s]  Я очень беспримчивая
[973.92s -> 974.92s]  Да?
[974.92s -> 975.92s]  Да
[975.92s -> 976.92s]  Это вовремя
[979.92s -> 980.92s]  Есть новости какие-то на этой неделе?
