[0.11s -> 2.11s]  Вы Анатолий Фиолетов?
[175.67s -> 179.67s]  Но только в Воронеже есть памятник Белому...
[179.67s -> 181.67s]  Кому?
[181.67s -> 182.67s]  К террору.
[182.67s -> 183.67s]  К кому?
[183.67s -> 185.67s]  Белому...
[185.67s -> 188.67s]  Мы думали, может быть, Белому Снегу.
[188.67s -> 190.67s]  Может быть, Саше Белому.
[190.67s -> 191.67s]  Белый Бим.
[191.67s -> 192.67s]  Белый Бим?
[192.67s -> 194.67s]  Белый Бим, Чёрное Ухо.
[194.67s -> 195.67s]  Реально? Есть такой памятник?
[195.67s -> 196.67s]  Да.
[196.67s -> 198.67s]  Спасибо. Пятюню.
[198.67s -> 199.67s]  На проспекте Революция.
[199.67s -> 200.67s]  А как нам дойти?
[200.67s -> 201.67s]  Потому что мы с...
[201.67s -> 202.67s]  Хороший вопрос.
[202.67s -> 204.67s]  Своими ногами будем передвигаться сегодня.
[204.67s -> 206.67s]  Там будет ближе.
[206.67s -> 208.67s]  Мы туда, наверное, и пойдём.
[209.67s -> 210.67s]  Указатель.
[211.67s -> 213.67s]  Слушай, крутое место, кстати, если посмотреть.
[213.67s -> 214.67s]  Вот такие стены.
[214.67s -> 217.67s]  Пойдём искать памятник Белому Бину, Чёрному Уху.
[220.18s -> 222.18s]  У нас такие же благородные мордни.
[222.18s -> 224.18s]  В смысле, выражение лица, пардон.
[224.18s -> 226.18s]  Салон Штор и Флёр.
[226.18s -> 228.18s]  Потрясающе название, да?
[228.18s -> 230.18s]  Жесть, жесть.
[232.18s -> 233.18s]  Здравствуйте.
[233.18s -> 236.18s]  Морженый куб лично, обожаю очень его.
[236.18s -> 238.18s]  Кушай, кушай, дорогая.
[238.18s -> 239.18s]  За него да проще.
[239.18s -> 240.18s]  Это кто написал?
[240.18s -> 241.18s]  Я.
[241.18s -> 242.18s]  Вы написали?
[242.18s -> 243.18s]  Да.
[243.18s -> 244.18s]  Вы поэт?
[244.18s -> 245.18s]  Это же потрясающе.
[245.18s -> 249.18s]  Среди разных принцов и поэтов вы анатомик пиолетов?
[249.18s -> 250.18s]  Куб лично, обожаю очень.
[250.18s -> 251.18s]  Кушай, кушай, дорогая.
[251.18s -> 252.18s]  За него заплачено.
[252.18s -> 253.18s]  Идеально.
[253.18s -> 255.18s]  Послушайте, колюш, мы с вами разболтались.
[255.18s -> 260.18s]  Расскажите-ка мне, где находится памятник Белому Бину, Чёрное Ухо.
[260.18s -> 262.18s]  Мы правильно идём в правильное направление?
[262.18s -> 263.18s]  Правильно.
[263.18s -> 264.18s]  Вот вы идите на проспект Революции.
[264.18s -> 265.18s]  Вон видите кинотеатр.
[265.18s -> 268.18s]  И справа на ту сторону перейдёшь.
[268.18s -> 269.18s]  Просто уточнить.
[269.18s -> 270.18s]  Кинотеатр как называется?
[270.18s -> 271.18s]  Пролитарий.
[271.18s -> 272.18s]  Ага.
[272.18s -> 275.18s]  До Революции назывался Влечный Войн.
[276.18s -> 279.18s]  До Революции, согласитесь, было название гораздо приятнее.
[279.18s -> 281.18s]  Ну а чё ж вы вечного, хорошего?
[281.18s -> 283.18s]  Вы вечный, вечный, среди воинов видели?
[283.18s -> 285.18s]  Вы так, уделали тебя?
[285.18s -> 286.18s]  Всё, всё.
[286.18s -> 288.18s]  Пролитарий лучше, да, на ваш взгляд?
[288.18s -> 289.18s]  И пройдёте немножко.
[289.18s -> 291.18s]  По той стороне там театр кухал.
[291.18s -> 293.18s]  И прямо перед театром кухал.
[293.18s -> 294.18s]  Хорошо.
[294.18s -> 295.18s]  Спасибо вам большое.
[295.18s -> 296.18s]  Ага.
[296.18s -> 297.18s]  Всё, хорошо.
[297.18s -> 298.18s]  Вы откуда?
[298.18s -> 299.18s]  Мы и приехали из Москвы.
[299.18s -> 302.18s]  Но, честно говоря, я сама из Кемерово.
[302.18s -> 303.18s]  Знаете такой город?
[303.18s -> 305.18s]  Я был на гастроли, что ли?
[305.18s -> 307.18s]  На каких ещё гастролях?
[307.18s -> 308.18s]  Вы артист?
[308.18s -> 309.18s]  Ну был когда-то.
[309.18s -> 311.18s]  Ну кто вы конкретно?
[311.18s -> 312.18s]  Чем занимаетесь?
[312.18s -> 314.18s]  Артист-бодета Воронежского Тернотеатра.
[314.18s -> 315.18s]  Вау!
[315.18s -> 316.18s]  Как здорово!
[316.18s -> 317.18s]  Правда?
[317.18s -> 318.18s]  Ну а чё как?
[318.18s -> 320.18s]  Какие прекрасные люди.
[320.18s -> 321.18s]  Как вас зовут?
[321.18s -> 322.18s]  Владимир Андреевич.
[322.18s -> 324.18s]  Очень приятно, Владимир Андреевич.
[324.18s -> 325.18s]  Женя Миша.
[325.18s -> 326.18s]  Как приятно.
[326.18s -> 330.18s]  А мы снимаем сейчас передачу, которая называется «Почётный гражданин».
[330.18s -> 333.18s]  И в конце этой передачи, если мы пройдём все испытания,
[333.18s -> 336.18s]  меня зовут Женя, это Миша, мы, Женя и Миша,
[336.18s -> 339.18s]  получим звание «Почётный гражданин Воронежа».
[339.18s -> 340.18s]  Я вас поздравлю.
[340.18s -> 341.18s]  Спасибо.
[341.18s -> 343.18s]  И мы уже будем с вами примерно на одном уровне.
[343.18s -> 345.18s]  Вы же почётный гражданин Воронежа.
[345.18s -> 346.18s]  Ну ветеран.
[346.18s -> 347.18s]  Ну ветеран.
[347.18s -> 348.18s]  Ну тем более.
[348.18s -> 350.18s]  Ой, ну я очень рада нашему знакомству.
[350.18s -> 352.18s]  Но мы побежали дальше.
[352.18s -> 353.18s]  Удачи вам.
[353.18s -> 354.18s]  Спасибо вам.
[354.18s -> 355.18s]  Вам тоже удачи.
[356.18s -> 358.18s]  Женя, мы дошли.
[358.18s -> 361.18s]  Памятник псу по кличке Белый Бим Чёрное Ухо,
[361.18s -> 364.18s]  грустно смотрящему вдаль и преданно ждущему хозяина,
[364.18s -> 369.18s]  был установлен в Воронеже в 1998 году на площади перед театром «Кукол Шут».
[369.18s -> 374.18s]  Бим, держи нос по ветру, ведь к тебе уже спешат наши участники.
[374.18s -> 376.18s]  Вот он, этот цыганский.
[376.18s -> 377.18s]  Мою-моюсенькая.
[378.18s -> 380.18s]  На столе пять коробок.
[380.18s -> 384.32s]  В каждой фрагменты подсказки.
[384.32s -> 385.32s]  Достаньте их.
[385.32s -> 388.32s]  Ваша задача – собрать все пять частей.
[388.32s -> 391.32s]  Свинь, секундочку, извините.
[391.32s -> 393.32s]  Напоминаю, что я женщина.
[393.32s -> 396.32s]  Я держусь за свою жизнь, берегу свое здоровье.
[396.32s -> 398.32s]  Возможно, мне еще рожать.
[398.32s -> 399.32s]  Давай, давай.
[399.32s -> 401.32s]  Почему ты это вот сейчас?
[401.32s -> 405.32s]  Вот все эти дыры, так скажем, руки придется вам.
[405.32s -> 407.32s]  Мой сегодняшний кавалер.
[407.32s -> 408.32s]  Ладно, хорошо.
[408.32s -> 410.32s]  Я не буду даже с тобой спорить.
[410.32s -> 411.32s]  Ты красивая.
[411.32s -> 412.32s]  Спасибо.
[412.32s -> 413.32s]  Вот красивые меня спорят.
[413.32s -> 414.32s]  Выбирай коробки.
[414.32s -> 415.32s]  Давай.
[415.32s -> 417.32s]  Ну давай, я выберу первую.
[419.32s -> 421.32s]  Я надеюсь, что меня там никто не сожрет.
[421.32s -> 423.32s]  А там же может быть все, что угодно.
[423.32s -> 424.32s]  Блин.
[424.32s -> 425.32s]  Все, поехали.
[428.32s -> 429.32s]  Что это?
[429.32s -> 430.32s]  Что это?
[430.32s -> 431.32s]  Живое?
[431.32s -> 432.32s]  Оно жидкое.
[432.32s -> 433.32s]  Смотри.
[435.32s -> 436.32s]  Ну-ка, давай понюхаю.
[436.32s -> 439.32s]  Я такой человек, мне все надо понюхать.
[440.32s -> 441.32s]  По-моему, это слитки.
[442.32s -> 443.32s]  О!
[443.32s -> 445.32s]  Ты сразу нашел подсказку.
[445.32s -> 446.32s]  Держи.
[447.32s -> 449.32s]  Блин, ты такой крутой.
[449.32s -> 450.32s]  Сама туда давай.
[450.32s -> 451.32s]  Все, все.
[451.32s -> 452.32s]  Тихо.
[452.32s -> 456.32s]  Можно не подначивать женщину с плохой кардиограммой.
[457.32s -> 458.32s]  Так.
[458.32s -> 461.32s]  Все, все, все.
[461.32s -> 463.32s]  Я прям по верхам прошла.
[463.32s -> 465.32s]  Все, сейчас.
[465.32s -> 466.32s]  Как же воняет.
[466.32s -> 467.32s]  Кто там живет?
[467.32s -> 468.32s]  Ну-ка.
[469.32s -> 470.32s]  Это червяки.
[470.32s -> 471.32s]  Я не знаю.
[471.32s -> 472.32s]  Смотри.
[473.32s -> 474.32s]  Не смотри.
[475.32s -> 476.32s]  Что там?
[476.32s -> 477.32s]  Я не могу.
[477.32s -> 478.32s]  Что?
[478.32s -> 479.32s]  Я не буду.
[479.32s -> 480.32s]  Я не буду.
[480.32s -> 484.32s]  Я не хочу больше участвовать в этой передаче.
[485.32s -> 488.32s]  Есть такая тема у меня тоже, но я не могу отказаться.
[489.32s -> 490.32s]  Боже, как это мерзко.
[490.32s -> 492.32s]  Почему-то мне все время мерзко.
[492.32s -> 493.32s]  Что это?
[493.32s -> 494.32s]  Вот я нашел.
[494.32s -> 495.32s]  Мерзко?
[495.32s -> 496.32s]  Что это?
[496.32s -> 497.32s]  Ипотека.
[497.32s -> 498.32s]  Смотри, оно какое-то коричневое.
[499.32s -> 500.32s]  Фу, боже.
[500.32s -> 501.32s]  Жесть.
[501.32s -> 502.32s]  Еще туда лезу, да?
[503.32s -> 504.32s]  У тебя испачкала.
[505.32s -> 506.32s]  Все нормально.
[506.32s -> 507.32s]  Все, это так воняет.
[507.32s -> 509.32s]  Давай я, давай я, чтобы не было обидно.
[510.32s -> 511.32s]  Так, опять.
[512.32s -> 513.32s]  Чего?
[513.32s -> 514.32s]  Да что?
[514.32s -> 515.32s]  Что там?
[515.32s -> 516.32s]  Суй, давай быстрее.
[517.32s -> 518.32s]  Я не хочу.
[518.32s -> 519.32s]  Что значит суй?
[519.32s -> 520.32s]  Быстрее, блин.
[520.32s -> 521.32s]  Говоришь, как мой бывший.
[521.32s -> 522.32s]  Все, тихо.
[526.32s -> 527.32s]  А я не хочу.
[527.32s -> 529.32s]  Я не хочу, не хочу, не хочу.
[529.32s -> 530.32s]  Давай я.
[530.32s -> 531.32s]  Ну, пожалуйста.
[532.32s -> 533.32s]  Кто там?
[533.32s -> 534.32s]  Кто это?
[534.32s -> 535.32s]  Кто это?
[535.32s -> 536.32s]  Твою мать.
[536.32s -> 537.32s]  Ну, почему так страшно?
[538.32s -> 539.32s]  А?
[539.32s -> 540.32s]  Вот это?
[540.32s -> 541.32s]  Да.
[541.32s -> 542.32s]  Вот этого?
[542.32s -> 543.32s]  Нет.
[543.32s -> 544.32s]  А!
[544.32s -> 545.32s]  Блин.
[545.32s -> 546.32s]  Дебилы!
[546.32s -> 547.32s]  Пакостные дебилы.
[547.32s -> 548.32s]  Главное, засунули еще вот эту штуку.
[548.32s -> 549.32s]  Не вы, дорогие зрители.
[549.32s -> 550.32s]  Вы замечательные.
[550.32s -> 551.32s]  Слава богу.
[551.32s -> 552.32s]  А вы?
[552.32s -> 553.32s]  Ах ты.
[553.32s -> 554.32s]  Открывай.
[554.32s -> 556.32s]  Надо же, как они нас развели, как идиоты.
[556.32s -> 558.32s]  Как мы воняем, а?
[558.32s -> 561.32s]  Ну, это еще до этого конкурса мы звоняли раньше.
[561.32s -> 562.32s]  Все, я сую, да?
[562.32s -> 563.32s]  Быстро.
[563.32s -> 564.32s]  Да, быстро.
[564.32s -> 568.32s]  О боже, опять это что-то жидкое, блин.
[568.32s -> 570.32s]  Дрянь какая-то вообще невозможная.
[570.32s -> 571.32s]  Да.
[571.32s -> 573.32s]  Лежит вся съемочная группа над нами.
[573.32s -> 574.32s]  И прохожие вон даже такие.
[574.32s -> 575.32s]  Да.
[575.32s -> 576.32s]  Я нашел эту фу.
[576.32s -> 577.32s]  Фу.
[577.32s -> 578.32s]  Насколько белая теперь.
[578.32s -> 579.32s]  Нормально.
[579.32s -> 580.32s]  Блин.
[580.32s -> 582.32s]  Как хорошо, когда с тобой мужчина, который может все сделать
[582.32s -> 583.32s]  для тебя.
[583.32s -> 584.32s]  Ага, вообще, такой отважный типа.
[584.32s -> 587.32s]  Вы получили карту с шагами.
[587.32s -> 588.32s]  Десять шагов.
[588.32s -> 594.32s]  Раз, два, три, четыре, пять, шесть, семь, восемь, девять, десять.
[594.32s -> 597.32s]  Нормально, для идиотов просто выйти на похожую часть.
[597.32s -> 598.32s]  Второе.
[598.32s -> 599.32s]  Второе.
[599.32s -> 600.32s]  Двести три.
[600.32s -> 601.32s]  Семь шагов направо.
[601.32s -> 602.32s]  Направо, туда.
[602.32s -> 603.32s]  Право, там?
[603.32s -> 604.32s]  Ну, подождите.
[604.32s -> 605.32s]  Иди туда, я пойду туда.
[605.32s -> 606.32s]  Нет уж, дорогой, дорогой.
[606.32s -> 607.32s]  Я знаю этих хитрых людей.
[607.32s -> 608.32s]  Все.
[608.32s -> 609.32s]  Ну, все нормально.
[609.32s -> 612.32s]  Я как нормальный мальчик говорю, ты направо, я налево.
[612.32s -> 613.32s]  Раз.
[613.32s -> 619.54s]  Сколько примерно шагов?
[619.54s -> 620.54s]  Все.
[620.54s -> 621.54s]  Все.
[621.54s -> 622.54s]  Семь, десять осталось.
[622.54s -> 627.54s]  Девять, восемь, семь, шесть, пять, четыре.
[627.54s -> 633.54s]  А я еще раз спрашиваю, кто Миши дал выпить?
[633.54s -> 638.54s]  Ну, посмотрите, ну, человек невменяемый, ну, невменяемый.
[638.54s -> 642.54s]  Вы наверняка с детства помните про рассеянного с улицы Бассейной.
[642.54s -> 646.54s]  Именно в Воронеже родился автор популярных детских книг, сценарист
[646.54s -> 648.54s]  и драматург Самуил Яковлевич Маршак.
[648.54s -> 651.54s]  Сегодня в Воронеже есть не только его памятник, но и ресторан,
[651.54s -> 656.54s]  хозяин которого уже приготовил для наших героев острое испытание.
[656.54s -> 658.54s]  Нас встречают.
[658.54s -> 660.54s]  Сразитесь в остром состязании.
[660.54s -> 663.54s]  Рассмешите гостей ресторана за десять секунд.
[663.54s -> 666.54s]  Если гость рассмеялся, соперник ест острые крылья.
[666.54s -> 668.54s]  Если нет, ешь ты.
[668.54s -> 669.54s]  Ты готов?
[669.54s -> 671.54s]  Да, конечно, я хоть поем.
[671.54s -> 672.54s]  В целом все ясно.
[672.54s -> 675.54s]  Они же не кормят тут, знаешь, какие они.
[675.54s -> 676.54s]  Ну что, понесось.
[677.54s -> 683.55s]  Знаешь, что сиделки это тоже своего рода эскортницы.
[683.55s -> 688.55s]  Они тоже провожают старых мужчин, но только до туалета и обратно.
[695.93s -> 699.46s]  Ого!
[699.46s -> 700.46s]  Вы что, идиоты?
[700.46s -> 702.46s]  Это что еще самое?
[702.46s -> 706.77s]  Миша, добрый вечер, пожалуйста.
[706.77s -> 709.77s]  Я не буду тебя шутить у меня, потому что нет такого заготовленного спичи.
[709.77s -> 711.77s]  Просто если ты не засмеешься, они нас от...
[713.77s -> 718.19s]  Нет!
[718.19s -> 720.82s]  Да вы мне надоели!
[720.82s -> 722.82s]  Вот это все усмакать после уже дела.
[722.82s -> 723.82s]  Нет, ну почему?
[723.82s -> 724.82s]  Я комик!
[724.82s -> 727.82s]  Я комик, который не умеет смешить людей!
[728.82s -> 730.82s]  Женя, я тебе еще одну салфетку дам.
[730.82s -> 731.82s]  Блин, это трындец.
[731.82s -> 733.82s]  Ты готов вечные давать салфетки.
[733.82s -> 735.82s]  Да, я готов ей давать салфетки.
[736.82s -> 739.82s]  Ну хоть отреагируй как-нибудь, пожалуйста.
[739.82s -> 740.82s]  Вкусно?
[740.82s -> 742.82s]  Курито дожло да курито.
[744.82s -> 748.82s]  Нет, я, наверное, больше не буду здесь ведущей.
[748.82s -> 750.82s]  Я, наверное, больше не хочется.
[750.82s -> 751.82s]  Так.
[751.82s -> 754.82s]  Я же знаю, это и на коне, и на выходе оптора.
[754.82s -> 755.82s]  Давай.
[755.82s -> 756.82s]  Жень, давай заперись.
[756.82s -> 758.82s]  Что ты на точно?
[760.82s -> 761.82s]  Десять секунд закончились.
[761.82s -> 763.82s]  Ты понимаешь, что ты опять продолжишь и куришь?
[763.82s -> 764.82s]  Я не знаю.
[764.82s -> 765.82s]  Мне что?
[765.82s -> 766.82s]  Пусть куришь.
[766.82s -> 767.82s]  Пусть куришь.
[767.82s -> 769.82s]  Ты понимаешь, что ты опять продолжишь и куришь?
[769.82s -> 770.82s]  Я не знаю.
[770.82s -> 772.82s]  Мне что, опухнуть, чтобы размеялись?
[773.82s -> 774.82s]  Хорошо.
[775.82s -> 777.82s]  Опухнуть или опухнуть?
[777.82s -> 778.82s]  Короче, у меня...
[778.82s -> 780.82s]  Ну это правда не шутка.
[780.82s -> 782.82s]  У меня недавно рожала кошка.
[782.82s -> 786.82s]  И ты когда-нибудь видела, как из кошки торчала кошка поменьше.
[787.82s -> 790.82s]  Это самая странная матрешка в моей жизни.
[791.82s -> 792.82s]  Я ж тебе.
[792.82s -> 795.82s]  Все, Мишаня, ты попал.
[795.82s -> 796.82s]  Смешно было.
[796.82s -> 797.82s]  Ты сам заржал.
[798.82s -> 799.82s]  Вот так-то.
[800.82s -> 804.82s]  Жень, ну знаешь что, это очень острое.
[804.82s -> 805.82s]  Это очень острое.
[805.82s -> 806.82s]  Это капец.
[806.82s -> 809.82s]  Блин, я сейчас пукну, по-моему, реально.
[810.82s -> 812.82s]  Тогда нам придется всем уйти.
[812.82s -> 813.82s]  Она засмеялась.
[813.82s -> 815.82s]  Да там не тесно.
[816.82s -> 817.82s]  Там не тесно.
[817.82s -> 819.82s]  Я вас умоляю.
[819.82s -> 821.82s]  Все держится на пуках, получается.
[821.82s -> 822.82s]  Ну ничего.
[822.82s -> 823.82s]  Третий.
[824.82s -> 825.82s]  Третий давай.
[825.82s -> 826.82s]  Макай.
[826.82s -> 830.82s]  Я вот просто вот спасибо, Воронеж.
[837.40s -> 839.40s]  Либо ты смешаешь, либо нет.
[839.40s -> 840.40s]  Блин, да.
[840.40s -> 842.40s]  Причем дальше пророда кошки.
[843.40s -> 844.40s]  Это тоже реально.
[846.40s -> 849.40s]  Сначала из моей кошки вылезла одна нога котенка.
[849.40s -> 853.40s]  Я погуглила, нормально ли это, когда оттуда вылазит нога.
[853.40s -> 855.40s]  Вышли не совсем те картинки.
[856.40s -> 859.40s]  Ты глянь, какой наглый.
[860.40s -> 861.40s]  Я не пила тебе.
[861.40s -> 862.40s]  Что надо?
[862.40s -> 863.40s]  А я ему титьки покажу.
[863.40s -> 864.40s]  Он никогда не видел.
[864.40s -> 865.40s]  Он точно за рот.
[865.40s -> 866.40s]  Титьки, титьки.
[866.40s -> 867.40s]  Ты глянь.
[867.40s -> 868.40s]  Да нет, нет, нет.
[868.40s -> 869.40s]  Ребята, ребята.
[869.40s -> 872.40s]  Я даже если захочу, не покажу тебе титьки.
[872.40s -> 874.40s]  Вам не кажется, что он улыбается?
[874.40s -> 875.40s]  Нет.
[875.40s -> 876.40s]  Жень, ты обкакалась.
[876.40s -> 878.40s]  У нас остался один самый острый соус.
[878.40s -> 880.40s]  Ты смеши меня, я тебя попробую смешить.
[880.40s -> 882.40s]  Правда, я не знаю.
[882.40s -> 884.40s]  А я знаю, как тебя смешить.
[884.40s -> 886.40s]  Здесь очень простой ход.
[886.40s -> 888.40s]  Мне кажется, из всех суровых воронежских ребят.
[888.40s -> 890.40s]  Я единственный московский такой потом.
[890.40s -> 893.40s]  Хожу до торзона.
[893.40s -> 894.40s]  Все, смотрите.
[894.40s -> 896.40s]  Смотрите, как легко рассмешить Мишу.
[896.40s -> 901.40s]  Берешь одну руку, засовываешь ее под подмышку и делаешь.
[904.40s -> 909.82s]  Вот это ты.
[909.82s -> 912.82s]  Получается, наши воронежские гости суровые, да?
[912.82s -> 914.82s]  Ваши воронежские гости суровые.
[914.82s -> 920.82s]  Давай с тобой сделаем макнем и попробуем пальцем.
[920.82s -> 923.82s]  Все, три, четыре.
[932.89s -> 934.89s]  Хорошо, что вы не едите.
[934.89s -> 937.89s]  А что вы ржете? Почему мне жаль?
[937.89s -> 941.89s]  Они просто хотят помешивать вашу гоню.
[941.89s -> 943.89s]  Нет, это ненормально.
[943.89s -> 946.89s]  Мишу объявлю победителя.
[950.67s -> 952.67s]  Спасибо тебе большое.
[952.67s -> 954.67s]  Все, было ужасно.
[954.67s -> 956.67s]  Куда нам дальше идти?
[956.67s -> 959.67s]  Следующая подсказка вас ждет на аллее художников.
[959.67s -> 961.67s]  Я вам покажу, как к ней пройти.
[961.67s -> 963.67s]  Супер, пойдем.
[963.67s -> 965.67s]  Спасибо.
[965.67s -> 967.67s]  Спасибо, ребята.
[967.67s -> 969.67s]  Смотри, кто-то там есть.
[969.67s -> 971.67s]  Да, я вижу, это корова.
[971.67s -> 973.67s]  Это кот.
[973.67s -> 975.67s]  Привет.
[975.67s -> 977.67s]  Ты такой сладкий.
[977.67s -> 979.67s]  Привет.
[979.67s -> 981.67s]  Здравствуйте, Зеня.
[981.67s -> 985.67s]  Чтобы узнать, что делать дальше, нарисуйте кота в особой позе.
[985.67s -> 987.67s]  Один из вас будет с закрытыми глазами,
[987.67s -> 989.67s]  а второй будет подсказывать, что рисовать.
[989.67s -> 993.67s]  Обменяйте эту картину на молоко и получите следующую подсказку.
[993.67s -> 995.67s]  Все, давай.
[995.67s -> 997.67s]  Бери в руку.
[997.67s -> 1001.82s]  Хорошо.
[1001.82s -> 1003.82s]  Чуть-чуть ниже.
[1003.82s -> 1005.82s]  Будем глазки наверху?
[1005.82s -> 1007.82s]  Да, давай.
[1007.82s -> 1009.82s]  Блин, неужели ты правда не видел?
[1009.82s -> 1011.82s]  Нет, вообще.
[1011.82s -> 1013.82s]  Кис, можно я тебя потрогаю?
[1013.82s -> 1015.82s]  Ты, пожалуйста, не кричи только на меня.
[1015.82s -> 1017.82s]  Не фырчи.
[1017.82s -> 1019.82s]  Лапка у него вот так.
[1019.82s -> 1021.82s]  Вот так.
[1021.82s -> 1023.82s]  Ножка очень вольяжна.
[1023.82s -> 1025.82s]  Можно трогать кота за лицо?
[1029.82s -> 1031.82s]  Нос у тебя.
[1031.82s -> 1033.82s]  Ты такой пушистый, Кис.
[1033.82s -> 1035.82s]  Ну что?
[1035.82s -> 1037.82s]  Дураки, а?
[1037.82s -> 1039.82s]  Вообще вы дураки невозможно.
[1039.82s -> 1041.82s]  И напиши ПГ.
[1041.82s -> 1043.82s]  Снимаю?
[1043.82s -> 1045.82s]  Снимай.
[1045.82s -> 1047.82s]  Миш.
[1047.82s -> 1049.82s]  Внимание. Жень, держись.
[1049.82s -> 1051.82s]  Присоединяйся.
[1051.82s -> 1053.82s]  Картина нарисована.
[1053.82s -> 1055.82s]  Очень восхитительно.
[1055.82s -> 1057.82s]  У нас есть задание, просто следующее.
[1057.82s -> 1059.82s]  Мы должны обменять эту картину
[1059.82s -> 1061.82s]  на небольшой пакетик молока.
[1061.82s -> 1063.82s]  Да, на молоко.
[1063.82s -> 1065.82s]  У вас нет молока с собой?
[1065.82s -> 1067.82s]  Нет, у меня банан здесь.
[1067.82s -> 1069.82s]  Банан не подходит.
[1069.82s -> 1071.82s]  А может быть, вы согласитесь купить нам молока
[1071.82s -> 1073.82s]  в маленький пакетик?
[1073.82s -> 1075.82s]  Знаете, мне времени ограничено.
[1075.82s -> 1077.82s]  Понятно, спасибо большое.
[1077.82s -> 1079.82s]  Ты знаешь, нужно кого-то, у кого есть молоко.
[1079.82s -> 1081.82s]  Так всегда стыдно просить у людей деньги,
[1081.82s -> 1083.82s]  а вы нас заставляете.
[1083.82s -> 1085.82s]  А ну-ка глянь.
[1085.82s -> 1087.82s]  Стоят люди вообще вот такие,
[1087.82s -> 1089.82s]  и типа картину пытаются...
[1089.82s -> 1091.82s]  Кофейня.
[1091.82s -> 1093.82s]  Я уверена, что в кофейне этого молока,
[1093.82s -> 1095.82s]  как говорится, завалились.
