[0.00s -> 2.00s]  Всем привет, я Алиса!
[291.92s -> 300.92s]  Все верно, но в этом случае нас не устроило то, что она располагалась очень низко, высота потолков высокая и стены оказались пустыми.
[300.92s -> 305.92s]  И поэтому, чтобы занять это пространство, у нас появились навесные модули.
[305.92s -> 310.92s]  Надо сказать, что классическому интерьеру очень идет порядок. Мы его навели здесь практически везде.
[310.92s -> 318.92s]  А яркие акценты отвлекают внимание, потому что когда мы сюда заходили, мы видели все неровности и неточности этого интерьера.
[318.92s -> 323.92s]  Да, никаких дефектов. Глаз теперь цепляются за яркие красивые акцентные штучки.
[323.92s -> 327.92s]  Но если бы мы захотели испортить классический интерьер, как бы вы могли это сделать?
[327.92s -> 335.92s]  Если бы мы сюда привнесли деревню, потому что классика — это про аристократизм и про элегантность, но никак не про деревенский стиль.
[335.92s -> 340.92s]  Поэтому если бы вместо нашего ковра появилась бы дорожка самотканная...
[340.92s -> 342.92s]  Ну, конечно, интерьер бы поплыл.
[342.92s -> 343.92s]  Да, все верно.
[343.92s -> 344.92s]  Классик не состоялось.
[344.92s -> 348.92s]  А теперь самое интересное для меня. Что, сколько стоило? И уложились ли мы в бюджет?
[348.92s -> 353.92s]  Самым дорогим нам обошелся декор окна. Шторы и тюль — 5 тысяч рублей.
[353.92s -> 356.92s]  Это нормально. Мы можем ориентироваться.
[356.92s -> 357.92s]  Декор кровати.
[357.92s -> 365.92s]  Декор кровати. Покрывало стоит всего тысячу рублей. Подушки — полторы тысячи, и плед — всего лишь каких-то триста рублей.
[365.92s -> 368.92s]  Но мы все равно купили сюда что-то из мебели, стул.
[368.92s -> 371.92s]  Стул, да. Стул достаточно дорогой — три тысячи рублей.
[371.92s -> 374.92s]  Он такой красивый. Его идет. В конце концов, на него не жалко.
[374.92s -> 379.92s]  Навесные модули. У нас их четыре штуки. Каждая из них стоит 1400 рублей.
[379.92s -> 389.92s]  Ну и плюс по мелочи цветы в горшках. Красивая статуя Давида, которую ты сейчас закрываешь. 700 рублей, 360, 270.
[389.92s -> 393.92s]  Ну и в общем, декор нам обошелся где-то 3000 рублей.
[393.92s -> 397.92s]  В принципе, у меня не было никаких сомнений, что этот интерьер сложится так, как нам надо.
[397.92s -> 401.92s]  Да, потому что изначально это помещение было не таким уж и плохим.
[401.92s -> 406.92s]  Просто слегка уставшим мы его взбодрили и освежили.
[406.92s -> 407.92s]  Мы хоть в бюджет уложились?
[407.92s -> 409.92s]  Уложились. Даже на шампанское осталось.
[409.92s -> 411.92s]  Ну, значит, все у нас получилось?
[411.92s -> 412.92s]  Еще бы.
[412.92s -> 413.92s]  Отлично.
[413.92s -> 416.92s]  Вот что с людьми делает ненависть.
[416.92s -> 422.92s]  Мы настолько ненавидим ремонт, что готовы пойти на все только бы лишь его избежать.
[422.92s -> 424.92s]  Мы готовы тратить несколько часов.
[424.92s -> 427.92s]  Мы готовы тратить 25 тысяч рублей.
[427.92s -> 432.92s]  Только бы при помощи одного декора поменять надоевший интерьер.
[432.92s -> 433.92s]  Я Алиса.
[433.92s -> 434.92s]  И я Рока Джоб.
[434.92s -> 436.92s]  Увидимся в следующей квартире.
