[3.89s -> 18.89s]  Музыка
[175.89s -> 176.89s]  А муж старше всего, да?
[176.89s -> 177.89s]  Подозрительно.
[177.89s -> 178.89s]  На год.
[178.89s -> 179.89s]  На год?
[179.89s -> 180.89s]  Да.
[180.89s -> 181.89s]  За сколько ему лет?
[181.89s -> 182.89s]  Ему 29.
[182.89s -> 186.89s]  А Россия, в чём проблема в России?
[186.89s -> 188.89s]  Ну ему сложнее, он Колумбийец.
[188.89s -> 189.89s]  Я понимаю, но она же русская.
[189.89s -> 191.89s]  Как же это русская женщина забрала?
[191.89s -> 195.89s]  На самом деле, короче, самая большая проблема в том, что я родилась в закрытом городе,
[195.89s -> 199.89s]  в который нельзя привезти иностранца.
[199.89s -> 201.89s]  Это какой-нибудь Саратов 42, да?
[201.89s -> 204.89s]  Ну, типа да, только это Златое Уст-36 треугольный.
[204.89s -> 205.89s]  Златое Уст-36.
[205.89s -> 206.89s]  Вот.
[206.89s -> 207.89s]  В Шляпинской области.
[207.89s -> 208.89s]  И я просто не могу участвовать...
[208.89s -> 209.89s]  Ты стал только координаты назвать.
[209.89s -> 210.89s]  Я просто не могу.
[210.89s -> 215.89s]  Златое Уст-36, под Чаяновск.
[215.89s -> 218.89s]  Состав боевоенного командования.
[218.89s -> 219.89s]  Слева направо.
[219.89s -> 222.89s]  Да, я там изготавливаю вот это, вот это, вот это.
[222.89s -> 223.89s]  Вот.
[223.89s -> 227.89s]  И очень сложно сделать так, чтобы, вернее, невозможно сделать так, чтобы я привезла
[227.89s -> 231.89s]  к себе в квартиру мужа и прописала его там, и мы бы начали делать какие-то документы.
[231.89s -> 232.89s]  Короче, все очень заморочисто, все...
[232.89s -> 234.89s]  А что, в Москве прям невариант прописаться?
[234.89s -> 236.89s]  Над квартиру купить в Москве.
[236.89s -> 237.89s]  А в Колумбии просто можно жить?
[237.89s -> 239.89s]  В Колумбии можно просто приехать и жить.
[239.89s -> 240.89s]  Везде.
[240.89s -> 241.89s]  Ну да, в любом месте.
[241.89s -> 242.89s]  В любой палате.
[242.89s -> 244.89s]  Где хочешь, никто не будет тебя за тобой следить.
[244.89s -> 249.89s]  У нас в России, когда иностранец приезжает, ему нужно постоянно отчитываться,
[249.89s -> 253.89s]  где он находится, куда он идет, зачем, почему, в Колумбии этого нет.
[253.89s -> 254.89s]  Можно жить спокойно.
[254.89s -> 256.89s]  Как ни странно, мы об этом не осведомлены.
[267.84s -> 269.84s]  Вот так его называют, да?
[271.84s -> 272.84s]  Да.
[272.84s -> 273.84s]  Очень, да.
[273.84s -> 277.84s]  В Колумбии, кстати, они вместо сахара едят сахарный тростник в таких брусках.
[277.84s -> 279.84s]  Это очень странно выглядит.
[279.84s -> 280.84s]  А ты была в Колумбии?
[280.84s -> 281.84s]  Нет, еще нет.
[282.84s -> 283.84s]  А с чего ты взяла, что там сахар?
[283.84s -> 284.84s]  Я его привез.
[284.84s -> 285.84s]  Он был летом в Колумбии.
[285.84s -> 287.84s]  Привез целую кучу этого сахара.
[287.84s -> 288.84s]  В брикетах таких?
[288.84s -> 289.84s]  Да, да, да, да.
[291.84s -> 293.84s]  А они готовят, у них, короче, сам популярный надпись.
[293.84s -> 295.84s]  А я тоже бизнес-план родился.
[295.84s -> 296.84s]  Так, брикета.
[297.84s -> 302.84s]  В принципе, если у Арсена газель взять, можно.
[302.84s -> 303.84s]  Ты перебил девушку, да.
[303.84s -> 304.84s]  Ничего.
[304.84s -> 305.84s]  А я забыла, что хотела сказать.
[305.84s -> 306.84s]  Ты про Колумбию.
[307.84s -> 310.84s]  Да, ты остановилась на том, что последнее, то, что ты видела, он скидывал с самолета.
[311.84s -> 312.84s]  Да, точно.
[313.84s -> 314.84s]  Ты с Наркосом начал путать.
[314.84s -> 315.84s]  С кем?
[315.84s -> 316.84s]  Наркос, сериал.
[316.84s -> 317.84s]  Наркос.
[317.84s -> 324.84s]  Я, на самом деле, вот это видео сняла только потому, что каждый раз, когда к нам приходят друзья, какая-нибудь шуточка про вот это вот приходит.
[324.84s -> 327.84s]  А что у вас там под матрасом, да, что-нибудь спрятано?
[327.84s -> 330.84s]  А что вот у вас тут не сахар по-любому, не сахар, а это по-любому не мука?
[330.84s -> 332.84s]  Ну, потому что парень с Колумбией, конечно, это все.
[333.84s -> 334.84s]  Стереотипы. Колумбийские стереотипы.
[335.84s -> 340.84s]  Мы вместе уже больше шести лет, и я в этом последние шесть лет шуточки слушаю.
[341.84s -> 343.84s]  Ну, так сказать, ты бьюти-блогер, подриш носикон, Колумбия.
[343.84s -> 344.84s]  Да, правильно.
[344.84s -> 345.84s]  Ага.
[345.84s -> 346.84s]  Вот.
[357.84s -> 358.84s]  А как ты решила стать бьюти-блогером?
[358.84s -> 360.84s]  Вообще, как своих людей к этому приходят?
[360.84s -> 361.84s]  Ой.
[363.84s -> 369.84s]  Ну, ты сидишь дома, случайно падаешь лицом в краску, поднимаешь лицо, и у тебя талант.
[369.84s -> 374.84s]  Нет, нет. На самом деле, я немножечко задрот в съемках, я очень люблю снимать.
[375.84s -> 376.84s]  Очень люблю монтировать.
[376.84s -> 377.84s]  Твои коллеги.
[377.84s -> 378.84s]  Мои друзья.
[378.84s -> 379.84s]  Тоже задроты.
[380.84s -> 382.84s]  Вот. И я очень хотела снимать.
[383.84s -> 384.84s]  Мне было без разницы, что.
[384.84s -> 389.84s]  И я такая, блин, ну, нравится мне, как выглядит косметика, ну, пусть будет косметика.
[389.84s -> 392.84s]  И в какой-то момент мне стало интересно делать всякий грим.
[392.84s -> 394.84s]  Ну, то есть, там, штуки на лице.
[394.84s -> 398.84s]  Прямо обычный макияж такой, стандартный, мне никогда не было интересно делать.
[398.84s -> 402.84s]  И я просто начала снимать, снимать, снимать, снимать, снимать, и все вот так вот постепенно.
[402.84s -> 404.84s]  Амна, помадный маньяк, ты в курсе?
[404.84s -> 406.84s]  Я просто думал, мы будем с ней.
[406.84s -> 408.84s]  У нее даже есть трек.
[408.84s -> 409.84s]  Ой, нет.
[411.84s -> 412.84s]  У нее есть трек?
[412.84s -> 413.84s]  Да.
[413.84s -> 414.84s]  Ты поешь.
[414.84s -> 416.84s]  Это было шуточное, было видео.
[416.84s -> 418.84s]  У меня есть такая тема, что...
[418.84s -> 419.84s]  Я просто написал, что оно шуточное.
[419.84s -> 420.84s]  Да, да.
[420.84s -> 426.84s]  У меня есть такая тема, что я очень постоянно форсила цифру 8, что это типа бесконечности,
[426.84s -> 428.84s]  моя бесконечная любовь к моим подписчикам.
[428.84s -> 429.84s]  А, потому что раздекламировал эту цифру.
[429.84s -> 437.84s]  И когда у меня было 888 тысяч подписчиков, 888, я как бы в честь этой даты выпустила шуточный клип.
[437.84s -> 443.84s]  Меня все называли помадным маньяком, потому что у меня была огромная коллекция из 600 помад.
[443.84s -> 444.84s]  И ты их резала?
[444.84s -> 446.84s]  Я их не резала.
[446.84s -> 449.84s]  И я в честь этого выпустила шуточный клип.
[449.84s -> 452.84s]  Не надо его оценивать, как реальная...
[452.84s -> 453.84s]  Принесите.
[453.84s -> 454.84s]  Ну, типа как будто бы я реально застела.
[454.84s -> 456.84s]  То есть, если это шуточный клип, мы можем шутить.
[456.84s -> 458.84s]  Да, да, можно шутить, пожалуйста.
[458.84s -> 464.84s]  Такие песни у блогеров прикольные всегда.
[472.84s -> 474.84s]  Я его сама монтировала.
[476.84s -> 478.84s]  Авет, вот ты как музыкальный критик.
[480.84s -> 483.84s]  Ну, я к тому, что я несерьезный исполнитель.
[483.84s -> 487.84s]  Я это не сделала, потому что я собралась петь и покорять какие-то песни.
[487.84s -> 488.84s]  А что ты делала?
[488.84s -> 490.84s]  А у нас прям все серьезные.
[490.84s -> 492.84s]  Егор Шип прям, я не знаю, вершина серьезная.
[492.84s -> 494.84s]  Ну, слушай, он же считает себя исполнителем.
[494.84s -> 496.84s]  Он же это делает для того, чтобы выпускать музыку.
[496.84s -> 498.84s]  Я это сделала ради клипа.
[498.84s -> 499.84s]  Чтобы клип снять, а не для того, чтобы...
[499.84s -> 500.84s]  Задрот по видео?
[500.84s -> 501.84s]  Да.
[501.84s -> 502.84s]  Неважно что.
[502.84s -> 504.84s]  Важно, чтобы это было снято на камеру.
[504.84s -> 506.84s]  Кстати, вот твоя биография.
[506.84s -> 507.84s]  Вау.
[507.84s -> 512.84s]  Она родилась 9 декабря 93 года, а я 8 декабря 93 года.
[512.84s -> 513.84s]  Серьезно?
[513.84s -> 514.84s]  Да.
[514.84s -> 516.84s]  На один день старше тебя всего.
[516.84s -> 518.84s]  И все мы декабрьские сегодня собрались.
[518.84s -> 519.84s]  Ты тоже в декабре?
[519.84s -> 520.84s]  Да.
[520.84s -> 522.84s]  Да, это выпуск Стрельцов, получается.
[522.84s -> 523.84s]  Нет, я Козерог.
[523.84s -> 524.84s]  Ты Козерог?
[524.84s -> 526.84s]  Ну, ты везде умеешь отличиться, конечно.
[526.84s -> 527.84s]  Угу.
[527.84s -> 529.84s]  И, собственно, твоя биография.
[529.84s -> 530.84s]  Ты когда-нибудь читала?
[530.84s -> 532.84s]  Ты, по-первых, есть на сайте Жизнь Звезд.
[532.84s -> 533.84s]  Угу.
[533.84s -> 534.84s]  Ты звезда?
[535.84s -> 536.84s]  А что сайт такой?
[536.84s -> 537.84s]  Вот, Жизнь Звезд.
[537.84s -> 540.84s]  Биографические данные и факты из личной жизни знаменитостей.
[540.84s -> 541.84s]  Угу.
[541.84s -> 542.84s]  Место рождения.
[542.84s -> 543.84s]  Город Челябинск, кстати.
[543.84s -> 544.84s]  Но это уже не правда.
[544.84s -> 545.84s]  Незлата Уст-36.
[545.84s -> 546.84s]  Это уже не правда.
[546.84s -> 547.84s]  Я не в Челябинске родилась.
[547.84s -> 548.84s]  А где ты родилась?
[548.84s -> 549.84s]  В Трюгорном родилась.
[549.84s -> 550.84s]  Это Злата Уст-36, который?
[550.84s -> 551.84s]  Да.
[551.84s -> 552.84s]  Угу.
[552.84s -> 553.84s]  На какой улице ты живешь?
[553.84s -> 554.84s]  На Уст-36.
[554.84s -> 555.84s]  А ну, а сейчас я тебе скажу.
[555.84s -> 556.84s]  Я тебе уже город сказала.
[556.84s -> 557.84s]  Ну, никто туда не приедет.
[557.84s -> 558.84s]  Туда невозможно приехать вообще.
[558.84s -> 559.84s]  Туда никого не посетают.
[559.84s -> 561.84s]  Я все равно не буду свой адрес говорить.
[561.84s -> 563.84s]  А ты бумажки подписала о неразглашении?
[563.84s -> 564.84s]  Да, конечно.
[564.84s -> 565.84s]  Целая анкета заполнена.
[565.84s -> 566.84s]  А что нельзя разглашать?
[566.84s -> 567.84s]  Ничего нельзя разглашать.
[567.84s -> 568.84s]  Ну, прямо в общение.
[569.84s -> 572.84s]  В какой-то жизненный момент ты скривил все носы.
[572.84s -> 573.84s]  Я не знаю, как это делать.
[573.84s -> 574.84s]  Но сейчас я забралась.
[574.84s -> 575.84s]  Ты лепко спишь?
[575.84s -> 576.84s]  И готова поделиться с вами.
[576.84s -> 577.84s]  Не очень.
[577.84s -> 578.84s]  Вы используете плетку на средней тени к имперсистуки.
[578.84s -> 579.84s]  Набираем, и поначалу...
[579.84s -> 580.84s]  Я думал, Олегу это будет очень интересно.
[580.84s -> 581.84s]  Там он рассказывает, как поправить нос.
[581.84s -> 582.84s]  Ты не обратил внимание на то, что я где-то минут 20,
[582.84s -> 583.84s]  пока вы общались?
[583.84s -> 584.84s]  Я просто вот сидел и вот так слушал вас.
[584.84s -> 585.84s]  Сейчас секунду где-то.
[585.84s -> 586.84s]  Потерял?
[586.84s -> 587.84s]  Да, есть.
[587.84s -> 588.84s]  Очень смешная история.
[589.84s -> 590.84s]  Ты эгоцентрист, Авет.
[590.84s -> 591.84s]  Я не могу вставить ничего.
[591.84s -> 592.84s]  Давай, давай мы тебе дадим слово.
[592.84s -> 593.84s]  Вставить?
[593.84s -> 594.84s]  Нет, нет.
[594.84s -> 595.84s]  Все нормально.
[595.84s -> 596.84s]  Все прекрасно.
[596.84s -> 597.84s]  Я найду.
[597.84s -> 598.84s]  Я найду тут...
[598.84s -> 599.84s]  Понимаешь, Авета очень тяжело завести в разговор,
[599.84s -> 600.84s]  если там не к чему привязать эфемизм какой-нибудь.
[600.84s -> 611.02s]  Вот.
[611.02s -> 612.02s]  Блин.
[612.02s -> 613.02s]  Тихо.
[613.02s -> 614.02s]  Тихо.
[614.02s -> 615.02s]  Тихо.
[615.02s -> 616.02s]  Тихо.
[616.02s -> 617.02s]  Тихо.
[617.02s -> 618.02s]  Тихо.
[618.02s -> 619.02s]  Тихо.
[619.02s -> 620.02s]  Тихо.
[620.02s -> 621.02s]  Тихо.
[621.02s -> 622.02s]  Тихо.
[622.02s -> 623.02s]  Тихо.
[623.02s -> 624.02s]  Тихо.
[624.02s -> 625.02s]  Тихо.
[625.02s -> 626.02s]  Тихо.
[626.02s -> 627.02s]  Тихо.
[628.02s -> 629.02s]  Скажи в слово «баклажан».
[629.02s -> 630.02s]  Вот.
[630.02s -> 631.02s]  И он сразу...
[631.02s -> 632.02s]  Баклажан.
[632.02s -> 633.02s]  Это не поможет сейчас.
[633.02s -> 634.02s]  Это случайно получается.
[634.02s -> 635.02s]  Вот именно вот так.
[635.02s -> 636.02s]  Оп.
[636.02s -> 637.02s]  Вот как...
[637.02s -> 638.02s]  А, блин.
[638.02s -> 639.02s]  Ну давай тогда будем ждать, когда у тебя появится вдохновение.
[639.02s -> 640.02s]  Да, да, да.
[640.02s -> 641.02s]  Мы продолжаем.
[641.02s -> 642.02s]  Мы уже...
[642.02s -> 643.02s]  Нас от выпуска появится вдохновение.
[643.02s -> 644.02s]  Так.
[644.02s -> 645.02s]  Я задел петличку.
[645.02s -> 646.02s]  Ой.
[646.02s -> 647.02s]  Нормально все?
[647.02s -> 648.02s]  Не, он не нервный, Зука.
[648.02s -> 649.02s]  Все нормально.
[649.02s -> 650.02s]  Не переживай.
[650.02s -> 653.02s]  Ты реально думаешь, что он там сидит так?
[653.02s -> 654.02s]  Сука.
[654.02s -> 655.02s]  А, *****.
[655.02s -> 656.02s]  Угу.
[656.02s -> 657.02s]  Мы так...
[657.02s -> 658.02s]  Сладкое просто в кровь обалдели.
[658.02s -> 659.02s]  Завелся, завелся.
[659.02s -> 660.02s]  Слушай, ты по ходу сахара переехал.
[660.02s -> 661.02s]  Почему?
[661.02s -> 662.02s]  Ну знаешь, что сахар затормаживает.
[662.02s -> 663.02s]  Понимание.
[663.02s -> 664.02s]  То есть я сейчас тормозну ты какой-то?
[664.02s -> 665.02s]  Ну нет, ты просто такой...
[665.02s -> 666.02s]  Почему?
[666.02s -> 667.02s]  Где?
[667.02s -> 668.02s]  Не, не, не.
[668.02s -> 669.02s]  Говорю нечего.
[669.02s -> 670.02s]  Он много сахара, да.
[670.02s -> 671.02s]  Пока я спокойный.
[671.02s -> 672.02s]  Он постоянно жрет сахар.
[672.02s -> 673.02s]  Я понял.
[673.02s -> 674.02s]  А, я вечно задормолся.
[674.02s -> 675.02s]  Да, да.
[675.02s -> 676.02s]  Поехали.
[676.02s -> 677.02s]  То есть если я посмотрю этот ролик, я смогу хорошо
[677.02s -> 678.02s]  наградиться.
[678.02s -> 679.02s]  Просто посмотрю этот ролик.
[679.02s -> 680.02s]  Да.
[680.02s -> 681.02s]  Поехали.
[681.02s -> 684.86s]  он жрет сахар я понял а я вечно заторможенный что ли
[684.86s -> 689.34s]  султан поехали то есть если я посмотрю этот ролик
[689.34s -> 692.74s]  хорошо наградится просто посмотреть этот ролик
[692.74s -> 696.06s]  творческий и умеет сочетать в себе не сочетаемые качества
[696.06s -> 699.18s]  поэтому им очень легко всегда добиться успеха
[699.18s -> 702.26s]  мне захотелось в этом макияже сделать губы необычного
[702.26s -> 705.42s]  оттенка чтобы не сразу было понятно что это за цвет
[705.42s -> 708.74s]  голубой бирюзовый или вот уже из красиреневого
[708.74s -> 711.58s]  мне кажется это идеальное сочетание для водолеев
[711.58s -> 714.58s]  которые никогда не следует за большинством и выбирают
[714.58s -> 717.74s]  свой исключительный путь ну и конечно прозрачный
[717.74s -> 720.58s]  блеск который разливается по губам и стекает с них
[720.58s -> 726.46s]  как символ самого знака водолея да то ты не заебешься
[726.46s -> 731.22s]  как тебе вообще а хотя мне кажется я сломала вашему
[731.22s -> 734.26s]  программу а кроме водолея вот хорошо погнали ты думаешь
[735.26s -> 739.26s]  если накрасится так козироком что почувствую
[739.26s -> 743.26s]  да нет я делаю макияж губ и вдохновляюсь разными вещами
[743.26s -> 745.26s]  чтобы нарисовать какие-то рисунки веществами
[745.26s -> 749.46s]  просто мне нужно откуда-то искать вдохновение вот
[749.46s -> 753.02s]  я вдохновилась знаком зодиака и вот разными цветами
[753.02s -> 755.14s]  сделала вот так это не значит что никто другой не может
[755.14s -> 758.74s]  сделать такой макияж губ это просто творчество это
[758.74s -> 762.34s]  я почитала описание в интернете кто такие водолеи вот и
[763.34s -> 766.34s]  ты посмотрел вообще видео или нет? да я слушал его
[766.34s -> 772.34s]  сахарка много я чувствую сахарочек побежал по венам так сказать
[772.34s -> 792.34s]  каждый кто хоть что-нибудь понимает в макияже найдет в чем здесь ошибки
[792.34s -> 796.98s]  для меня сейчас это будет просто заклинание реально там половина роликов латынь
[796.98s -> 800.90s]  я сейчас включу следующий вот после него я пентограмму увидел на стене
[800.90s -> 803.94s]  последний то что я видел то есть такие слова я слышал в гарри потре
[803.94s -> 809.46s]  а прям за 10 секунд? где же ощущение что обманывают? монтаж? что?
[809.46s -> 814.42s]  нет это у меня рубрика такая называется макияж за 10 секунд это не значит что
[814.42s -> 818.98s]  макияж там 10 секунд делать это значит что туториал за 10 секунд видео длится там 10-12 секунд
[818.98s -> 823.82s]  а что можно по этому туториалу вот завтра обед сможет повторить по этому туториалу этот макияж?
[823.82s -> 828.98s]  ну если у него есть хотя бы какая-то минимальное понимание того что это такое то да
[828.98s -> 834.26s]  я верю что все желания исполняются что если ты действительно чего-то хочешь
[834.26s -> 840.22s]  всей своей душой она обязательно придет возможно через месяц возможно через год
[840.22s -> 846.14s]  а возможно уже завтра стоит лишь закрыть глаза представить что ты уже его получила
[846.14s -> 853.14s]  и прочувствовать это всем сердцем я верю что мечты исполняются и твоя ждет тебя за поворотом
[853.82s -> 860.42s]  верю что все желания... а поворот где? за углом у тебя свой поворот у меня свой поворот
[860.42s -> 862.98s]  у меня свой? у тебя тоже свой? спасибо большое
[862.98s -> 867.62s]  Авета ты веришь что если очень сильно мечту держать в себе внутри сердца
[867.62s -> 874.02s]  правильно? если вот я свою цель ее ясно вижу я ее прям держу в своем сердце и она
[874.02s -> 879.70s]  обязательно исполнится конечно потому что мысли материальны конечно правильно Авета?
[880.70s -> 888.82s]  каждая мысль материальна спасибо вот все что захочешься исполнить сейчас он выйдет и внизу
[888.82s -> 897.98s]  будет машина с шашкой на дырку стоять Авет вот ты как человек который сейчас как ты выразился
[897.98s -> 906.94s]  вахуй вахуй я всегда вахуй сегодня особенно почему потому что мало слов не написали его сценарий
[906.94s -> 913.18s]  а когда ты его писали ты заметил что я просто прихожу в это шоу просто сидеть и есть
[913.18s -> 921.42s]  хорошо устроился прикольно скажи не хочешь вместо него хочу хочешь да у тебя есть супер
[921.42s -> 927.42s]  возможность обратись туда зарежь его возьмите меня есть возьмите меня есть и скажи по-брестски
[927.42s -> 934.54s]  по-брестски кстати тоже очень популярна роли как отрастить длинные волосы за неделю
[934.54s -> 941.62s]  у меня через неделю концерт группы Алиса как мне к нему подготовиться ты посмотри ролик ты его
[941.62s -> 948.30s]  посмотрел Алиса это рок-группа ты с девушкой идешь я просто хочу узнать столько выпусков прошло
[948.30s -> 955.26s]  так девушка появилась или нет а ты думаешь проблема в выпусках была какая-то корреляция
[955.26s -> 966.22s]  между тем сколько мы здесь сидим ты же был в поисках сейчас ты нашел Султан с каким удовольствием
[966.22s -> 977.66s]  включился этот процесс ребята это мое личное дело понимаете личное остается лично нет не так личное
[977.66s -> 987.42s]  не публичное по-братски Рина это первая девушка которую я могу ********* но правда но
[987.42s -> 992.46s]  правда ты позвал того человека он делает бьюти что я могу сделать по бьюти ничего ничего просто
[992.46s -> 999.42s]  давай гордиться с тем что мы рядом с нами это самый крутой человек 1.5 миллиона подписчиков на youtube
[999.42s -> 1007.10s]  пришла и разрушила вашу шоу 1.5 миллиона на youtube это очень сильно ты умничка спасибо так начинается
[1007.58s -> 1018.14s]  нет ты знаешь что никогда не завидую особенно бабам с полтора миллиона на youtube и с мужем
[1018.14s -> 1024.38s]  колубить с мужем этому завидую это разъем у тебя есть своя косметика то есть ты пришла во сколько
[1024.38s -> 1030.82s]  ты лет уже снимаешь 5 ты хочешь сделать свою косметику я сейчас делаю свой бренд кисти для макияжа
[1030.82s -> 1037.22s]  мы разрабатываем прям с нуля по крутым технологиям кисти которые будут прям супер топовым
[1037.22s -> 1044.34s]  супер технологичным но все-таки твоя мечта это ухожий бизнес я да да ну опять же я не настолько
[1044.34s -> 1050.34s]  интересуюсь именно бьюти сферы мне больше нравится снимать давай три основные вещи для девушек по
[1050.34s -> 1056.74s]  бьюти давай первое очень важно ухаживать за своей кожей это самое главное что есть потому что
[1056.74s -> 1065.14s]  можно сделать любой макияж но скрыть кожу прям плохого не очень получится раз один два любите
[1065.14s -> 1071.30s]  себя и свою красоту не пытайтесь исправить ничего в себе пытайтесь подчеркнуть то что у вас и так уже
[1071.30s -> 1077.02s]  хорошо если ты уродливая ***** не бывает уродливых девушек я искренне считаю что вообще в принципе не
[1077.02s -> 1082.74s]  бывают уродливых людей 100 процентов есть люди которые не верят в себя есть люди которые не
[1082.74s -> 1087.10s]  показывают свои положительные качества а показывают какие-то свои недостатки но это уже
[1087.10s -> 1094.22s]  другое это их проблемы с психологически скажем любите себя и вот это два теперь третья и
[1094.22s -> 1101.18s]  третий третий третий еще очень важно не бойтесь самовыражаться не бойтесь носить черную помаду
[1101.18s -> 1107.34s]  если вам нравится черная помада не бойтесь о том что скажут люди вокруг не бойтесь делать какой-то
[1107.34s -> 1112.74s]  необычный прическу необычный макияж необычно одеваться если вам это действительно нравится
[1112.74s -> 1118.66s]  если вам это откликается это очень круто и прям перевод не думайте о том что скажет ну и четвертая
[1118.66s -> 1124.14s]  трусики носить или нет чисто но это уже более ну каждому свое кому-то удобно кому-то не удобно тут
[1124.14s -> 1132.54s]  уже как бы спасибо тебе большое ты самый хороший человек водичка вкусного мы закажем тебе все что
[1132.54s -> 1139.50s]  ты захочешь что ты ешь траву я мясо ем мясо ешь я думаю ты веган прямо такой что я веган то я
[1139.50s -> 1147.34s]  сахар не ем мясо он просто обычно мясо слаще мёда я какой раз я тебя всегда говорю заказывай
[1147.34s -> 1152.30s]  мясо ты сюда суши сладкое вот такой суши тоже не было нормально тебе нельзя суши я видел а ты
[1152.30s -> 1158.54s]  готовишь что-то колумбийское можно мне суши рина не мне нельзя было вообще мне надо было
[1158.54s -> 1164.62s]  полностью отказаться от сахара в суши есть немного сахара поэтому я от них на время
[1164.62s -> 1168.70s]  отказывалась колумбийская я не готовлю у меня муж готовит колумбийская зачем мне готовить
[1168.70s -> 1173.50s]  колумбийское колумбийское традиционное вот он недавно нам готовил колумбийский завтрак
[1173.50s -> 1179.54s]  а репас это такие да это такие лепешки внутри сыром очень крутые они без глютена и не из
[1179.54s -> 1185.78s]  кукурузной муки так что я их могу есть вот и горячий шоколад но я его не очень потому что там
[1185.78s -> 1193.98s]  сахар и шоколад и он горячий и он горячий нет горячий я люблю как тебе ягоды как тебе ягоды
[1193.98s -> 1201.50s]  волконской ягоды ну свежие были на самом деле они были прям очень вкусно а ведь как тебе
[1201.50s -> 1208.14s]  мне понравилось очень вкусно сладко сладкий рома сладком такие типа очень ягоды старые как будто
[1208.14s -> 1217.26s]  бы вчера это с того самого огорода слутан да с моего знаменитого огорода в центре москвы стоит
[1217.26s -> 1226.86s]  возле красной площади тут ведущие немножко вышли из строя поэтому приходится их заменять это
[1226.86s -> 1233.46s]  было шоу хашлова мы были рады с вами пообщаться поесть покушать поговорить и посмотреть
[1233.46s -> 1236.94s]  спасибо спасибо
