[4.46s -> 9.10s]  ПЕС РЫЧИТ
[304.98s -> 306.98s]  танцуют лешие у босоножков.
[307.62s -> 310.62s]  По 33 богатыря подарались я за 1 рубля.
[310.62s -> 313.62s]  У учительницы не нашел понимания, к сожалению.
[313.62s -> 315.62s]  Тогда мне поставили кол.
[315.62s -> 317.62s]  Итак. Ладно.
[317.62s -> 319.62s]  Обзац. Понял вас.
[319.62s -> 324.62s]  Взяла старуха все это, начала замешивать,
[324.62s -> 331.62s]  но проглядела, как в замес случайно уронила бутылку водки.
[331.62s -> 334.62s]  Я такое тоже делал у Бекрашенбосса.
[335.26s -> 338.26s]  Назывался Колян Старбургер.
[338.26s -> 341.26s]  Тоже в тесто водку добавлял.
[341.26s -> 344.26s]  Для меня эта ситуация знакома,
[344.26s -> 348.26s]  когда водку в муку добавляют и замешивают.
[348.26s -> 350.26s]  Меня другое всегда удивляло,
[350.26s -> 352.26s]  как не догадались раньше,
[352.26s -> 355.26s]  что в муку можно вместо воды водку добавлять.
[355.26s -> 358.26s]  Это же намного колорийнее,
[358.26s -> 360.26s]  намного эффективнее,
[360.26s -> 362.26s]  даже намного вкуснее.
[362.26s -> 364.26s]  До меня никто не придумал,
[364.90s -> 366.90s]  это еще до старухи, про которую сказки.
[366.90s -> 368.90s]  Да вы затейник, Николай.
[368.90s -> 371.90s]  Давайте посмотрим, что же у бабки вышло.
[371.90s -> 374.90s]  Это был конец предложения.
[374.90s -> 377.90s]  Пожарила на масле эту смесь.
[377.90s -> 381.90s]  Положила на окошечко остудить.
[381.90s -> 384.90s]  И получился Коля-Бок.
[384.90s -> 386.90s]  Обзац.
[386.90s -> 388.90s]  Коля-Бок.
[388.90s -> 390.90s]  Полежал, полежал.
[390.90s -> 393.90s]  Мог бы не ругаться через каждое слово.
[394.54s -> 396.54s]  Обзац, обзац, обзац.
[396.54s -> 398.54s]  Это не матерное слово.
[398.54s -> 400.54s]  Это слово XIX века.
[400.54s -> 402.54s]  Вы же знаете, что в XXI веке
[402.54s -> 404.54s]  под словом обзац обычно понимают.
[404.54s -> 406.54s]  Когда в культурном обществе
[406.54s -> 408.54s]  хотят другое слово сказать.
[408.54s -> 410.54s]  Каждый понимает в миру свои испорченности.
[410.54s -> 412.54s]  Итак.
[412.54s -> 414.54s]  Коля-Бок.
[414.54s -> 416.54s]  Полежал, полежал.
[416.54s -> 418.54s]  Да вдруг и покатился.
[418.54s -> 420.54s]  С окна на лавку.
[420.54s -> 422.54s]  С лавки на пол.
[423.18s -> 425.18s]  По полудок дверям.
[425.18s -> 427.18s]  Перепрыгнул через порог.
[427.18s -> 429.18s]  В сени.
[429.18s -> 431.18s]  Дед с бабкой.
[431.18s -> 433.18s]  Так и не поняли.
[433.18s -> 435.18s]  Что это сеанс.
[435.18s -> 437.18s]  Тантрического совокупления.
[437.18s -> 439.18s]  А Коля-Бок.
[439.18s -> 441.18s]  Все прыгал.
[441.18s -> 443.18s]  Из сеней на крыльцо.
[443.18s -> 445.18s]  С крыльца на двор.
[445.18s -> 447.18s]  Там ударил пару женщин.
[447.18s -> 449.18s]  И покатился дальше.
[449.18s -> 451.18s]  С лобного места.
[451.82s -> 453.82s]  С новой строки.
[453.82s -> 455.82s]  Катится Коля-Бок.
[455.82s -> 457.82s]  По дороге.
[457.82s -> 459.82s]  А навстречу ему.
[459.82s -> 461.82s]  Заметь насколько культурнее звучит
[461.82s -> 463.82s]  с новой строки.
[463.82s -> 465.82s]  Вместо обзац.
[465.82s -> 467.82s]  Катится Коля-Бок.
[467.82s -> 469.82s]  По дороге.
[469.82s -> 471.82s]  А навстречу ему.
[471.82s -> 473.82s]  Венцеслав.
[473.82s -> 475.82s]  С новой строки.
[475.82s -> 477.82s]  Прямая речь.
[477.82s -> 479.82s]  Коля-Бок.
[479.82s -> 481.82s]  Коля-Бок.
[481.82s -> 483.82s]  В твоем исполнении
[483.82s -> 485.82s]  как-то обзац звучит эротичнее.
[485.82s -> 487.82s]  Пускай обзац будет.
[487.82s -> 489.82s]  Хорошо.
[489.82s -> 491.82s]  Не с новой строки.
[491.82s -> 493.82s]  Странные вещи вас возбуждает Николай.
[493.82s -> 495.82s]  Но мы в школе.
[495.82s -> 497.82s]  Вот именно.
[497.82s -> 499.82s]  Тем более, что мы в школе.
[499.82s -> 501.82s]  И договориться с учителем.
[501.82s -> 503.82s]  Надо было на берегу.
[503.82s -> 505.82s]  Поэтому с новой строки.
[505.82s -> 507.82s]  Коля-Бок.
[507.82s -> 509.82s]  Коля-Бок.
[509.82s -> 511.82s]  Я тебя съем.
[511.82s -> 513.82s]  Не ешь меня, Венцеслав.
[513.82s -> 515.82s]  Я тебе рэп прочитаю.
[515.82s -> 517.82s]  Сказал Коля-Бок.
[517.82s -> 519.82s]  И начал.
[519.82s -> 521.82s]  Бродит по жизни
[521.82s -> 523.82s]  рэпер Колян.
[523.82s -> 525.82s]  И хоть часто парень.
[525.82s -> 527.82s]  Бывает пьян.
[527.82s -> 529.82s]  Слушай, а откуда Коля-Бок мои тексты знает?
[529.82s -> 531.82s]  Сказка.
[531.82s -> 533.82s]  Все возможно.
[533.82s -> 535.82s]  Наверное, из интернета.
[535.82s -> 537.82s]  Я бы хотел сказать о моем был.
[537.82s -> 539.82s]  Нравится эта сказка.
[539.82s -> 541.82s]  Я бы хотел с того народа,
[541.82s -> 543.82s]  который ее сочинил,
[543.82s -> 545.82s]  хотя бы чуть-чуть авторских получить,
[545.82s -> 547.82s]  раз уж меня цитируют.
[547.82s -> 549.82s]  Давайте посмотрим, что получилось до конца.
[549.82s -> 551.82s]  Вам интересно? Мне очень.
[551.82s -> 553.82s]  Итак, сказал Коля-Бок.
[553.82s -> 555.82s]  И начал.
[555.82s -> 557.82s]  Бродит по жизни рэпер Колян.
[557.82s -> 559.82s]  И хоть часто парень.
[559.82s -> 561.82s]  Бывает пьян.
[561.82s -> 563.82s]  И дурная слава вьется за ним.
[563.82s -> 565.82s]  Поэт от дома.
[565.82s -> 567.82s]  Народом любим.
[567.82s -> 569.82s]  Предполагаю,
[569.82s -> 571.82s]  какой дом вы имели в виду.
[571.82s -> 573.82s]  Я его с большой буквы
[573.82s -> 575.82s]  написал в кавычках.
[575.82s -> 577.82s]  Как название тренда.
[577.82s -> 579.82s]  Это ваш авторский текст.
[579.82s -> 581.82s]  У меня всего лишь есть
[581.82s -> 583.82s]  вариант.
[583.82s -> 585.82s]  Слушайте, заметьте, я
[585.82s -> 587.82s]  с ты сестричка
[587.82s -> 589.82s]  перешел почему-то на вы.
[589.82s -> 591.82s]  Как-то вот вы меня
[591.82s -> 593.82s]  пилотетом своим уже
[595.82s -> 597.82s]  нагнули малюнечко,
[597.82s -> 599.82s]  несмотря на то, что я без пяти минут
[599.82s -> 601.82s]  когда-то был кандидатом наук.
[601.82s -> 603.82s]  Это прогресс, Николай.
[603.82s -> 605.82s]  Посмотрим, что будет в конце программы.
[605.82s -> 607.82s]  Снова строки.
[607.82s -> 609.82s]  Собзаться.
[609.82s -> 611.82s]  Съел бы я тебя,
[611.82s -> 613.82s]  сказал ему Винцеслав,
[613.82s -> 615.82s]  но меня тошнит
[615.82s -> 617.82s]  от твоего рэпа.
[617.82s -> 619.82s]  С красной строки.
[619.82s -> 621.82s]  И начали они драться.
[621.82s -> 623.82s]  И на фоне этого
[623.82s -> 625.82s]  боя,
[625.82s -> 627.82s]  даже бой
[627.82s -> 629.82s]  Хасбика
[629.82s -> 631.82s]  и Абдурозика
[631.82s -> 633.82s]  выглядел бы
[633.82s -> 635.82s]  не таким фриковатым.
[635.82s -> 637.82s]  С новой строки.
[637.82s -> 639.82s]  И покатился
[639.82s -> 641.82s]  себе дальше.
[641.82s -> 643.82s]  Только Винцеслав его
[643.82s -> 645.82s]  и видел. Конец предложения.
[645.82s -> 647.82s]  С новой строки.
[647.82s -> 649.82s]  И катится Коля бок,
[649.82s -> 651.82s]  а навстречу ему
[651.82s -> 653.82s]  Оля Рапунцель.
[653.82s -> 655.82s]  С новой строки.
[655.82s -> 657.82s]  Вы замечаете, что
[657.82s -> 659.82s]  история сказочная
[659.82s -> 661.82s]  становится все более и более
[661.82s -> 663.82s]  парнографической
[663.82s -> 665.82s]  с появлением нового персонажа?
[665.82s -> 667.82s]  Я нет. Каждый замечает
[667.82s -> 669.82s]  в меру своей испорченности.
[669.82s -> 671.82s]  С новой строки. Прямая речь.
[671.82s -> 673.82s]  Позволю себе заметить,
[673.82s -> 675.82s]  что с этого момента сказки
[675.82s -> 677.82s]  обзац
[677.82s -> 679.82s]  было бы вполне уместным.
[679.82s -> 681.82s]  Обзац или красная строка.
[681.82s -> 683.82s]  Мне важно, чтобы вы написали правильно.
[683.82s -> 685.82s]  Коля бок,
[685.82s -> 687.82s]  Коля бок, хватит
[687.82s -> 689.82s]  говорить всем,
[689.82s -> 691.82s]  что у нас был секс,
[691.82s -> 693.82s]  а то я тебя съем.
[693.82s -> 695.82s]  А будет про то, как
[695.82s -> 697.82s]  она Коля боку
[697.82s -> 699.82s]  спину терла в душевой?
[699.82s -> 701.82s]  А я не знаю.
[701.82s -> 703.82s]  Сказку-то не я писала.
[703.82s -> 705.82s]  Давайте дойдем дальше.
[705.82s -> 707.82s]  Интересно.
[707.82s -> 709.82s]  Все интереснее и интереснее становится.
[709.82s -> 711.82s]  Как участник описываемых в сказке событий,
[711.82s -> 713.82s]  я бы хотел как бы
[713.82s -> 715.82s]  опятать надежду, что
[715.82s -> 717.82s]  вся правда будет в сказке изложена.
[717.82s -> 719.82s]  Возможно, вы хотите дополнить эту историю?
[719.82s -> 721.82s]  Давайте тогда так.
[721.82s -> 723.82s]  И пошли,
[723.82s -> 725.82s]  Коля бок с рапунцель
[725.82s -> 727.82s]  в душевую.
[727.82s -> 729.82s]  Только кратко.
[729.82s -> 731.82s]  Что-то подсказывает,
[731.82s -> 733.82s]  что, возможно, также недолго
[733.82s -> 735.82s]  вы были в душевой.
[735.82s -> 737.82s]  Николай, вы прям интригуете.
[737.82s -> 739.82s]  Что же вы там так долго
[739.82s -> 741.82s]  пишете?
[741.82s -> 743.82s]  Быстро, порывисто, прям
[743.82s -> 745.82s]  энергично.
[745.82s -> 747.82s]  Ну, это ж сказка. И пошли, Коля бок с рапунцель
[747.82s -> 749.82s]  в душевую. И помылся там Коля бок,
[749.82s -> 751.82s]  и терла ему рапунцель спинной мочалкой.
[751.82s -> 753.82s]  Весьма невинно.
[753.82s -> 755.82s]  Абсолютно.
[755.82s -> 757.82s]  Вернемся к исходному тексту
[757.82s -> 759.82s]  сказки оригинала. Итак,
[759.82s -> 761.82s]  в классной строке прямая речь.
[761.82s -> 763.82s]  Не ешь меня,
[763.82s -> 765.82s]  Ольга Эдуардовна,
[765.82s -> 767.82s]  изжога будет.
[767.82s -> 769.82s]  Я тебе рэп прочитаю,
[769.82s -> 771.82s]  сказал Коля бок
[771.82s -> 773.82s]  и запел.
[773.82s -> 775.82s]  Я от дедушки ушел,
[775.82s -> 777.82s]  я от бабушки
[777.82s -> 779.82s]  ушел, я от
[779.82s -> 781.82s]  Венцеслава ушел,
[781.82s -> 783.82s]  а от тебя, Олечка, рапунцель
[783.82s -> 785.82s]  никогда
[785.82s -> 787.82s]  не уйду. Конец
[787.82s -> 789.82s]  Предложение.
[789.82s -> 791.82s]  С красной строки. Прямая речь.
[791.82s -> 793.82s]  Пока вот про этого персонажа,
[793.82s -> 795.82s]  давайте с абзацев будем.
[795.82s -> 797.82s]  Они вас так радуют сегодня эти абзацы,
[797.82s -> 799.82s]  Николай.
[799.82s -> 801.82s]  Потерпите недолго.
[801.82s -> 803.82s]  Меня радует ваша сказка, кроме того, что
[803.82s -> 805.82s]  она очевидно
[805.82s -> 807.82s]  напоминает мое прошлое
[807.82s -> 809.82s]  и даже местами цитирует мое творчество.
[809.82s -> 811.82s]  Она меня как бы
[811.82s -> 813.82s]  вдохновляет появлением близких
[813.82s -> 815.82s]  моему сердцу и дорогих мне,
[815.82s -> 817.82s]  преднанных лиц.
[817.82s -> 819.82s]  Посмотрим, насколько это будет связано
[819.82s -> 821.82s]  с вашей грамотностью.
[821.82s -> 823.82s]  Коля, отстань ты уже от меня,
[823.82s -> 825.82s]  умоляла Оля
[825.82s -> 827.82s]  и покатился себе дальше.
[827.82s -> 829.82s]  Только Оля
[829.82s -> 831.82s]  рапунцель его и видела.
[831.82s -> 833.82s]  Катится,
[833.82s -> 835.82s]  катится Коля бок,
[835.82s -> 837.82s]  а навстречу ему
[837.82s -> 839.82s]  алкоголизм.
[839.82s -> 841.82s]  С новой строки
[841.82s -> 843.82s]  прямая речь.
[843.82s -> 845.82s]  Здравствуй, Коля бок.
[845.82s -> 847.82s]  Недавно виделись.
[847.82s -> 849.82s]  Какой ты хорошенький.
[849.82s -> 851.82s]  Коля бок,
[851.82s -> 853.82s]  Коля бок.
[853.82s -> 855.82s]  И я тебя съем.
[855.82s -> 857.82s]  Не ешь меня алкоголизм.
[857.82s -> 859.82s]  Давай я тебе рэп прочитаю.
[859.82s -> 861.82s]  Давай.
[861.82s -> 863.82s]  Люблю я твой рэп,
[863.82s -> 865.82s]  ведь большинство песен
[865.82s -> 867.82s]  мы с тобой написали
[867.82s -> 869.82s]  вместе.
[869.82s -> 871.82s]  И начал Коля бок
[871.82s -> 873.82s]  читать.
[873.82s -> 875.82s]  Колян, хедлайнер фрик
[875.82s -> 877.82s]  и буян.
[877.82s -> 879.82s]  Колян, скоморох,
[879.82s -> 881.82s]  полиган и смутьян.
[881.82s -> 883.82s]  Колян,
[883.82s -> 885.82s]  рэп читает,
[885.82s -> 887.82s]  когда не пьян.
[887.82s -> 889.82s]  Колян, колян, колян.
[889.82s -> 891.82s]  А когда мы
[891.82s -> 893.82s]  до более интересных
[893.82s -> 895.82s]  текстов дойдем,
[895.82s -> 897.82s]  что-то все как-то лайтовые вы
[897.82s -> 899.82s]  выбираете сюжеты из моего творчества.
[899.82s -> 901.82s]  Можно там допустим
[901.82s -> 903.82s]  про
[903.82s -> 905.82s]  про с утра стояк.
[905.82s -> 907.82s]  Я когда в клубах читаю
[907.82s -> 909.82s]  с утра стояк, я всем говорю
[909.82s -> 911.82s]  честно, что стояк это не то,
[911.82s -> 913.82s]  что они думают. Это слесарная
[913.82s -> 915.82s]  конструкция. Поэтому
[915.82s -> 917.82s]  надо слово стояк вполне
[917.82s -> 919.82s]  телевизионно воспринимать именно в этом
[919.82s -> 921.82s]  смысле, а не в каком-то другом.
[921.82s -> 923.82s]  С утра стояк и солдат и моряк
[923.82s -> 925.82s]  будет доволен, если он не болен.
[925.82s -> 927.82s]  С утра стояк убарыкаю бродяк
[927.82s -> 929.82s]  и все прочее, скажут вам рабочие.
[929.82s -> 931.82s]  Замечу, слово хрен тоже
[931.82s -> 933.82s]  абсолютно в данном случае цензурное.
[933.82s -> 935.82s]  Имеется в виду
[935.82s -> 937.82s]  овощ из
[937.82s -> 939.82s]  одного семейства с репой
[939.82s -> 941.82s]  и бреквой. Поэтому
[941.82s -> 943.82s]  как бы
[943.82s -> 945.82s]  можно было бы вполне этот текст
[945.82s -> 947.82s]  включить в школьную программу.
[947.82s -> 949.82s]  И на этом диктанте его
[949.82s -> 951.82s]  зачитать
[951.82s -> 953.82s]  и записать.
[953.82s -> 955.82s]  Вы знаете, Николай, творчество
[955.82s -> 957.82s]  проверяется истории.
[957.82s -> 959.82s]  Поговорим с вами, как говорила Мадам Хоботова,
[959.82s -> 961.82s]  лет через 25.
[961.82s -> 963.82s]  Будет ли
[963.82s -> 965.82s]  ваш текст в школьной программе
[965.82s -> 967.82s]  или нет?
[967.82s -> 969.82s]  Хоботова.
[969.82s -> 971.82s]  Покровские ворота.
[971.82s -> 973.82s]  Ну что ж, держитесь, Николай.
[973.82s -> 975.82s]  Нам с вами осталось совсем немного.
[975.82s -> 977.82s]  Последний амзац.
[977.82s -> 979.82s]  Спасибо,
[979.82s -> 981.82s]  Коля Бог.
[981.82s -> 983.82s]  Славная песенка.
[983.82s -> 985.82s]  Еще бы послушал.
[985.82s -> 987.82s]  Выпей-ка меня
[987.82s -> 989.82s]  и пропой в последний разок.
[989.82s -> 991.82s]  Сказал алкоголизм
[991.82s -> 993.82s]  и поглотил
[993.82s -> 995.82s]  колепка.
[995.82s -> 997.82s]  И пошли они вместе
[997.82s -> 999.82s]  рука об руку.
[999.82s -> 1001.82s]  Создавать новый контент.
[1001.82s -> 1003.82s]  И дискредитировать
[1003.82s -> 1005.82s]  образование в МГУ.
[1005.82s -> 1007.82s]  Записал.
[1007.82s -> 1009.82s]  Есть? Прекрасно.
[1009.82s -> 1011.82s]  Я вас поздравляю. Мы с вами
[1011.82s -> 1013.82s]  написали весь текст.
[1013.82s -> 1015.82s]  Как человека с высшим
[1015.82s -> 1017.82s]  университетским образованием,
[1017.82s -> 1019.82s]  я вас хочу спросить,
[1019.82s -> 1021.82s]  вы будете проверять сами
[1021.82s -> 1023.82s]  для начала или сразу довериться
[1023.82s -> 1025.82s]  это мне?
[1025.82s -> 1027.82s]  Как человек с высшим университетским образованием,
[1027.82s -> 1029.82s]  признаюсь, что
[1029.82s -> 1031.82s]  от написания вашего диктанта
[1031.82s -> 1033.82s]  рука сильнее даже устала,
[1033.82s -> 1035.82s]  чем от некоторых других дел.
[1035.82s -> 1037.82s]  Ну, с непривычки.
[1037.82s -> 1039.82s]  Возвращаемся к первоначальным
[1039.82s -> 1041.82s]  новокам школьным.
[1041.82s -> 1043.82s]  Действительно, все больше сейчас на компьютерах,
[1043.82s -> 1045.82s]  уже не так часто пишешь,
[1045.82s -> 1047.82s]  как в школе диктанты от руки.
[1047.82s -> 1049.82s]  Это правда.
[1049.82s -> 1051.82s]  Как вы думаете, Николай, много ли ошибок
[1051.82s -> 1053.82s]  вы допустили?
[1053.82s -> 1055.82s]  Я человек
[1055.82s -> 1057.82s]  образованный, русский язык
[1057.82s -> 1059.82s]  знаю, каким он был
[1059.82s -> 1061.82s]  испоконывек, поэтому думаю,
[1061.82s -> 1063.82s]  написал его более грамотно,
[1063.82s -> 1065.82s]  чем могли бы это сделать вы.
[1065.82s -> 1067.82s]  Я забираю
[1067.82s -> 1069.82s]  прошу цитрать на проверку.
[1069.82s -> 1071.82s]  У нас в школе так не церемонились,
[1071.82s -> 1073.82s]  училка подходила, просто брала
[1073.82s -> 1075.82s]  тетради.
[1075.82s -> 1077.82s]  С тех пор прошло лет, наверное,
[1077.82s -> 1079.82s]  30-40.
[1079.82s -> 1081.82s]  По поводу того, сколько лет
[1081.82s -> 1083.82s]  прошло, вы даже можете
[1083.82s -> 1085.82s]  прочитать в подписи
[1085.82s -> 1087.82s]  в тетради.
[1087.82s -> 1089.82s]  Я себя там указал,
[1089.82s -> 1091.82s]  в каком я классе,
[1091.82s -> 1093.82s]  начиная с года поступления
[1093.82s -> 1095.82s]  в первый класс.
[1095.82s -> 1097.82s]  Сорок третьего класса.
[1097.82s -> 1099.82s]  Господи, Николай,
[1099.82s -> 1101.82s]  столько не живут.
[1101.82s -> 1103.82s]  Нам с алкоголизмом удалось.
[1103.82s -> 1105.82s]  Как интересно, Николай,
[1105.82s -> 1107.82s]  вот я только открыла вашу тетрадь,
[1107.82s -> 1109.82s]  и сразу же в глаза бросаются
[1109.82s -> 1111.82s]  древние русские элементы.
[1111.82s -> 1113.82s]  Ежи яти, ежи с ними.
[1113.82s -> 1115.82s]  Почему так?
[1115.82s -> 1117.82s]  Я же говорил о том, что вы удивитесь,
[1117.82s -> 1119.82s]  насколько я углублен в прошлое.
[1119.82s -> 1121.82s]  Вот неравнодушны
[1121.82s -> 1123.82s]  вы к старикам и старухам,
[1123.82s -> 1125.82s]  где они, а у нас написано,
[1125.82s -> 1127.82s]  где люди
[1127.82s -> 1129.82s]  под видом стройки
[1129.82s -> 1131.82s]  сношались и ругались.
[1131.82s -> 1133.82s]  Ну что ж, ладно, первая ошибка.
[1135.82s -> 1137.82s]  Вы не выделили обращение
[1137.82s -> 1139.82s]  слова старуха.
[1139.82s -> 1141.82s]  Здесь должны были быть
[1141.82s -> 1143.82s]  две запятые. До и после
[1143.82s -> 1145.82s]  это обращение
[1145.82s -> 1147.82s]  для нового участника.
[1147.82s -> 1149.82s]  Рейтинги.
[1149.82s -> 1151.82s]  Таня, если ты давно преподаешь
[1151.82s -> 1153.82s]  русский язык, то ты в курсе, что есть
[1153.82s -> 1155.82s]  вполне себе модерновые теории,
[1155.82s -> 1157.82s]  которые говорят за то,
[1157.82s -> 1159.82s]  что знаки припинания лучше вообще
[1159.82s -> 1161.82s]  не использовать в грамматике, в орфографии,
[1161.82s -> 1163.82s]  поскольку опять-таки они
[1163.82s -> 1165.82s]  препятствуют широте души
[1165.82s -> 1167.82s]  при написании текстов.
[1167.82s -> 1169.82s]  Удивительный вы человек. На все находится
[1169.82s -> 1171.82s]  у вас оправдание.
[1171.82s -> 1173.82s]  Бутылку, водку.
[1173.82s -> 1175.82s]  Кого чего?
[1175.82s -> 1177.82s]  Бутылку водки.
[1177.82s -> 1179.82s]  Бутылку водки.
[1179.82s -> 1181.82s]  Бутылку водки.
[1181.82s -> 1183.82s]  Таня, у меня ощущение,
[1183.82s -> 1185.82s]  ты слишком формально подходишь
[1185.82s -> 1187.82s]  к моему тексту.
[1187.82s -> 1189.82s]  Делай скидку на тот момент,
[1189.82s -> 1191.82s]  что я рэпер, следовательно, я поэт.
[1191.82s -> 1193.82s]  Ты учитель, а я действующий литератор,
[1193.82s -> 1195.82s]  который формирует
[1195.82s -> 1197.82s]  здесь и сейчас
[1197.82s -> 1199.82s]  текущий вариант русского языка.
[1199.82s -> 1201.82s]  Кто был прав Пушкин или его преподавателей?
[1201.82s -> 1203.82s]  Кто прав Должанский
[1203.82s -> 1205.82s]  или училка Тани?
[1205.82s -> 1207.82s]  Вы знаете, Николай,
[1207.82s -> 1209.82s]  не дай бог, если мир начнет
[1209.82s -> 1211.82s]  говорить на языке Должанского.
[1213.82s -> 1215.82s]  Пройдемся к грамматике.
[1215.82s -> 1217.82s]  Я у вас еще одну ошибку нашла.
[1217.82s -> 1219.82s]  Выпей ко меня
[1219.82s -> 1221.82s]  и пропой
