[9.58s -> 13.58s]  Всем здарова! Это самое...
[365.58s -> 367.58s]  пендинских студий
[367.58s -> 369.58s]  с мягким светом и дорогим
[369.58s -> 371.58s]  освежителем в туалете
[371.58s -> 373.58s]  Альберта Хайрова!
[373.58s -> 375.58s]  Какой-то ты тут в беретке, *****,
[375.58s -> 377.58s]  со значками вот здесь
[377.58s -> 379.58s]  А нет! А нет!
[379.58s -> 381.58s]  Именно он, девчата,
[381.58s -> 383.58s]  определит, у кого из вас
[383.58s -> 385.58s]  завтра будут охереть,
[385.58s -> 387.58s]  какие бритые ноги!
[389.58s -> 391.58s]  Вот это, конечно,
[391.58s -> 393.58s]  потрясающе, но функционал
[393.58s -> 395.58s]  это хотя бы сможет что-то выдержать
[395.58s -> 397.58s]  Вот победитель! Есть у нас победитель!
[397.58s -> 399.58s]  Альберт, прошу вас
[399.58s -> 401.58s]  ****** откуда-откуда пришли!
[401.58s -> 403.58s]  А ты забираешь у нас 30-ку
[403.58s -> 405.58s]  мятами!
[405.58s -> 407.58s]  Спасибо!
[407.58s -> 409.58s]  Это было шоу
[409.58s -> 411.58s]  женский труд!
[411.58s -> 413.58s]  Шоу, где любая девушка может
[413.58s -> 415.58s]  заработать 30 тысяч рублей
[415.58s -> 417.58s]  не зная, что такое трасса
[417.58s -> 419.58s]  М5! И в конце
[419.58s -> 421.58s]  титры!
