[0.00s -> 2.26s]  Я Володи ordnie
[225.42s -> 228.42s]  Сейчас мы хотим снимать Бонитский Пертирбург,
[228.42s -> 231.42s]  наследник, то, что делали бригаду наследник.
[231.42s -> 234.42s]  Вот про антибиотика, знаешь? Сын антибиотика.
[234.42s -> 236.42s]  У него там песня.
[236.42s -> 238.42s]  Там для тебя, Гарь, знаешь?
[238.42s -> 239.42s]  Да.
[239.42s -> 241.42s]  Вот у тебя очень интересный образ.
[241.42s -> 244.42s]  Знаешь, вот как будто в папкином пиджаке.
[244.42s -> 246.42s]  Это он и есть.
[246.42s -> 248.42s]  Вот, у тебя уже все есть данные.
[248.42s -> 251.42s]  Бонитский Петербург, это была такая блатная история 90-х.
[251.42s -> 255.42s]  Сейчас мы хотим переснять, как новое поколение пытается быть блатником,
[255.42s -> 259.42s]  но все уже естественно сексуально раскрепощены и тому подобное.
[259.42s -> 261.42s]  Там для меня.
[261.42s -> 263.42s]  Там, это где? Покажи.
[263.42s -> 265.42s]  Они точат.
[265.42s -> 268.42s]  Как вечный знак.
[268.42s -> 270.42s]  Забытых.
[270.42s -> 272.42s]  Попробуй.
[272.42s -> 274.42s]  Потянуть, потянуть.
[278.42s -> 284.87s]  Здравствуйте, представьте, пожалуйста.
[284.87s -> 286.87s]  Здравствуйте, меня зовут Алекс Азовцев.
[286.87s -> 289.87s]  Не-не-не, давайте...
[289.87s -> 291.87s]  Будешь к кунг-фури.
[291.87s -> 293.87s]  Смотрел к кунг-фури?
[293.87s -> 296.87s]  Да ладно, ну посмотри прям, это твой фильм.
[296.87s -> 298.87s]  Вот, тебя надо было туда, к кунг-фури.
[298.87s -> 300.87s]  Смотрите в камеру.
[300.87s -> 303.87s]  Попробуйте доставать, доставать...
[303.87s -> 305.87s]  Пистолет с разными позами.
[305.87s -> 308.87s]  Но это, понимаете, не должно быть...
[308.87s -> 310.87s]  Грязи, грязи, не люблю грязь.
[310.87s -> 313.87s]  То есть, встал, замер.
[313.87s -> 316.87s]  Встал, замер.
[316.87s -> 319.87s]  Встал, замер.
[319.87s -> 325.02s]  Встал, замер.
[325.02s -> 328.02s]  Вы очень похожи на Дэнила Крейга.
[328.02s -> 332.46s]  Обалдеть!
[332.46s -> 335.46s]  Оп, оп.
[335.46s -> 338.46s]  Смотрите, у нас просто будет motion capture,
[338.46s -> 341.46s]  GTA, detailing, suposing и тому подобное.
[341.46s -> 344.46s]  Поэтому лицо будет видоизменяться.
[344.46s -> 347.46s]  Помните, капитан Америк, он был здоровый такой.
[347.46s -> 350.46s]  Сначала щупалкин стал здоровым.
[350.46s -> 353.46s]  Мы хотим пойти от обратного, чтобы здоровый человек...
[353.46s -> 355.46s]  Понятно, что победит.
[355.46s -> 358.46s]  А вот маленький человек, Акаки Акакевич, в Гоголе.
[358.46s -> 360.46s]  Понимаете?
[360.46s -> 363.46s]  Акаки Акакевич, на самом деле, самый главный герой.
[363.46s -> 366.46s]  Давайте попробуем, не меняя лицо.
[366.46s -> 369.46s]  То есть, лицо попытаетесь держать посередине
[369.46s -> 372.46s]  и опускаться, уменьшаться, уменьшаться
[372.46s -> 375.46s]  и даже голосом уменьшаться до маленького человека.
[375.46s -> 378.46s]  Чтобы маленький человек стал предметом достояния.
[381.46s -> 384.46s]  На войну бежишь, ты будешь гранатчик.
[384.46s -> 387.46s]  Есть граната?
[387.46s -> 390.46s]  С гранатой не кидаешь, потому что это у тебя единственная граната,
[390.46s -> 393.46s]  которую ты положишь в логово врагов.
[393.46s -> 396.46s]  Везде пули, везде пули, но гранату держишь.
[396.46s -> 399.46s]  Держишь ее, уворачиваешься.
[399.46s -> 402.46s]  О, для тебя выход, ты ударил человека.
[402.46s -> 405.46s]  Опа, встал, встал, в голову ему ударил.
[405.46s -> 408.46s]  Молодец, бежишь дальше.
[408.46s -> 411.46s]  Бежишь дальше. Перестрелка, перестрелка, перестрелка.
[411.46s -> 414.46s]  Это военная, но может быть у нас будет про космос,
[414.46s -> 417.46s]  поэтому в космосе это все. Давай то же самое, только в космосе.
[417.46s -> 420.46s]  В космосе, да.
[422.46s -> 425.46s]  Роли у нас есть, как раз такие, как Джокер.
[425.46s -> 428.46s]  Смотрел человеческое многоножко?
[428.46s -> 431.46s]  Нет. Нет? Смотри, очень классное кино,
[431.46s -> 434.46s]  арт-хаусное, там как раз нужно сумасшедшие люди.
[434.46s -> 437.46s]  Вот, мы нашли как раз первого человека и третьего,
[437.46s -> 440.46s]  нужно посередине, который будет проводником между первым и третьим.
[440.46s -> 443.46s]  Открыл рот и прямо говори.
[443.46s -> 445.46s]  Аааааааа.
[445.46s -> 448.46s]  Аааааааа.
[448.46s -> 450.46s]  Ааааааа.
[450.46s -> 453.46s]  Труба, молодец, трубу держи, прям продолжай.
[453.46s -> 455.46s]  Аааааааа.
[455.46s -> 460.73s]  И всегда говорите Лазицкий,發現 Лазицкий.
[460.73s -> 465.73s]  Я Лазицкий. Я Лазицкий.
[467.73s -> 470.73s]  Дэниэл Крейг. Тихо.
[470.73s -> 472.73s]  Я Лазицкий.
[472.73s -> 474.73s]  Я владею экстремальным вокалом. Продемонстрировать?
[474.73s -> 477.73s]  Да, конечно, потому что я не какой-то хер с горы, давай.
[480.73s -> 483.73s]  А вот это вот, вау-вау-вау-вау они как-то делают.
[485.73s -> 486.73s]  Кунг-фури боевой клич.
[487.73s -> 489.73s]  Я предпочитаю и иранскую новую волну.
[492.73s -> 494.73s]  Я люблю и новую французскую волну.
[499.73s -> 501.73s]  И потух, потух. Покажи как потух.
[502.73s -> 507.73s]  От большого, говоришь, монолог, монолог, монолог, монолог, монолог.
[509.73s -> 510.73s]  Этот город боится меня.
[511.73s -> 513.73s]  Я видел в его истинное лицо.
[514.73s -> 517.73s]  Улицы продолжение сточных канав, а канавы наполнены кровью.
[518.73s -> 521.73s]  И когда вся эта грязь, похоть и убийство пениться им до пояса,
[522.73s -> 524.73s]  все шлюхи и политиканы посмотрят наверх и вызопят.
[525.73s -> 526.73s]  Спаси-и-и-и-и-и-и-и-и-и-и-и-и-и-и-и-и-и-и.
[527.73s -> 529.73s]  А я прошепчу.
[529.73s -> 535.03s]  Нет, теперь весь мир стоит на краю.
[535.73s -> 536.81s]  Я джокер!
[536.81s -> 541.72s]  Души себя Игорее, я джокер!
[542.22s -> 543.22s]  Я джокер!
[543.22s -> 544.72s]  Души себя сильнее!
[544.72s -> 545.72s]  Я джокер!
[545.72s -> 546.72s]  В лицо открой!
[546.72s -> 548.72s]  Я джокер!
[548.72s -> 550.72s]  Джокер я скажи!
[550.72s -> 551.72s]  Джокер я!
[551.72s -> 553.12s]  Я джокер!
[553.12s -> 554.12s]  Я джокер!
[554.12s -> 558.50s]  Я джокер!
[558.86s -> 560.36s]  Я джокер!
[562.36s -> 563.36s]  Миша, я джокер!
[563.36s -> 565.36s]  Я джокер!
[565.36s -> 568.99s]  История такая
[568.99s -> 570.99s]  Ты как
[570.99s -> 572.99s]  полицейский внедряешься
[572.99s -> 574.99s]  в молодежную тусовку
[574.99s -> 576.99s]  к школьникам. Ты старше, естественно,
[576.99s -> 578.99s]  25 кумфури, ты должен внедриться
[578.99s -> 580.99s]  попадаешь в молодежную тусовку
[580.99s -> 582.99s]  хочешь найти главаря банды
[582.99s -> 584.99s]  они там закладки
[584.99s -> 586.99s]  вот это все подобное
[586.99s -> 588.99s]  и должен выявить кто у них главный
[588.99s -> 590.99s]  Тринадцатилетний ему прям в кадык
[590.99s -> 592.99s]  ударил
[592.99s -> 594.99s]  девятилетки в яйца ногами
[594.99s -> 596.99s]  просто, ты кумфури
[596.99s -> 598.99s]  стрельну в пятнадцатилетнего
[598.99s -> 600.99s]  Проблема в том, что это
[600.99s -> 602.99s]  у нас сейчас патриотичное кино
[602.99s -> 604.99s]  я американец гей
[604.99s -> 606.99s]  который нападаю на тебя
[606.99s -> 608.99s]  А, русский
[608.99s -> 610.99s]  сейчас ты попробуешь
[610.99s -> 612.99s]  мой ски-ски-ски
[612.99s -> 614.99s]  на, ски-ски-ски
[614.99s -> 616.99s]  Кафе русский Иван
[616.99s -> 618.99s]  я тебя ранил
[618.99s -> 620.99s]  раню тебя везде
[622.99s -> 624.99s]  ааа
[624.99s -> 626.99s]  нет, ты не умер
[626.99s -> 628.99s]  дурак что ли
[628.99s -> 630.99s]  уйди, американец
[630.99s -> 632.99s]  американец
[632.99s -> 634.99s]  пошел отсюда
[634.99s -> 650.84s]  я джокер
[650.84s -> 652.84s]  я джокер
[652.84s -> 661.98s]  еще раз
[661.98s -> 663.98s]  я джокер
[663.98s -> 665.98s]  я джокер
[665.98s -> 667.98s]  я джокер
[667.98s -> 672.06s]  держи паузу
[672.06s -> 676.78s]  держи паузу, нет
[676.78s -> 678.78s]  и теперь все, прям всему миру в камеру
[678.78s -> 680.78s]  и я
[680.78s -> 682.78s]  пауза
[682.78s -> 684.78s]  я джокер
[684.78s -> 688.92s]  не улыбнись, держи, держи
[688.92s -> 698.83s]  держи
[698.83s -> 700.83s]  держи, не моргай
[700.83s -> 705.36s]  держи
[705.36s -> 707.36s]  держи, держи, держи
[709.36s -> 711.36s]  как не маше у ребенка скейт
[711.36s -> 713.36s]  дайте скейт, скейт у ребенка
[713.36s -> 715.36s]  забрал скейт, поехал на скейте
[715.36s -> 717.36s]  на скейте
[717.36s -> 719.36s]  стой на месте, еще на месте
[719.36s -> 721.36s]  у нас будет зеленый кран
[721.36s -> 723.36s]  там деревья будут перемещаться
[723.36s -> 725.36s]  либо если не хватит, просто массовку поставим с деревьями
[725.36s -> 727.36s]  и стой на месте, типа едешь
[727.36s -> 729.36s]  зеленый кран, сейчас все так делают
[729.36s -> 731.36s]  оп, поехал
[731.36s -> 733.36s]  едешь и отстреливаешься, отстреливаешься
[733.36s -> 735.36s]  отстреливаешься
[735.36s -> 737.36s]  и боевой ключ
[737.36s -> 739.36s]  танцуешь дальше
[746.25s -> 748.25s]  не признаю американцу
[748.25s -> 750.25s]  не признаю ГПД
[750.25s -> 752.25s]  с нами бог
[752.25s -> 754.25s]  ботинки с носками сними пожалуйста
[754.25s -> 756.25s]  потому что она будет лизать твои ноги
[756.25s -> 758.25s]  это очень важно показать, что
[758.25s -> 760.25s]  нам весь мир ноги лежат
[760.25s -> 762.25s]  а ты стой, вот встань, она лежит ноги
[762.25s -> 764.25s]  а ты прям вверх
[764.25s -> 766.25s]  и смеешься, потому что
[766.25s -> 768.25s]  мы что
[768.25s -> 770.25s]  вытащили
[770.25s -> 772.25s]  возьми себя, вот знаешь
[772.25s -> 774.25s]  когда
[776.25s -> 778.25s]  яйца в кулаке
[778.25s -> 780.25s]  американка, да
[780.25s -> 782.25s]  и вот ты просто
[782.25s -> 784.25s]  она лежит, а ты просто
[784.25s -> 786.25s]  вот тебе кукиш
[786.25s -> 788.25s]  мой русский
[788.25s -> 790.25s]  мой русический кукиш
[790.25s -> 792.25s]  давай
[792.25s -> 794.25s]  я просто английский не знаю
[794.25s -> 796.25s]  не важно, импровизируй
[796.25s -> 798.25s]  там подучим
[798.25s -> 800.25s]  ну что, попробуй
[800.25s -> 802.25s]  русский кукиш
[802.25s -> 804.25s]  прям схватись
[804.25s -> 806.25s]  покажи, нет
[806.25s -> 808.25s]  не хочешь схватись
[808.25s -> 810.25s]  попробуй
[810.25s -> 812.25s]  русский кукиш
[812.25s -> 814.25s]  нам нужны
[814.25s -> 816.25s]  прям взрослые мужики
[816.25s -> 818.25s]  сильные, поэтому это никак
[818.25s -> 820.25s]  не относится к вашему таланту
[820.25s -> 822.25s]  поэтому джокер и
[822.25s -> 824.25s]  сын антибиотика, ребят
[824.25s -> 826.25s]  в кадре все есть, вы есть
[826.25s -> 828.25s]  в нашей базе
[830.25s -> 832.25s]  сын антибиотика это чуть позже
[832.25s -> 834.25s]  будет, запишем все
[834.25s -> 836.25s]  сегодня, к сожалению, не подходите
[836.25s -> 838.25s]  просто по физическим данным
[838.25s -> 840.25s]  я джокер
[840.25s -> 842.25s]  все ребят, спасибо большое
[842.25s -> 844.25s]  проходите, вы останьтесь
[860.43s -> 862.43s]  арестован
[862.43s -> 869.52s]  это же вы Лазицкий?
[869.52s -> 871.52s]  это я капитан
[871.52s -> 873.52s]  Лазицкий
[873.52s -> 875.52s]  как же мне с вами повезло
[875.52s -> 877.52s]  в этой квартире уже весь день доносятся
[877.52s -> 879.52s]  жуткие звуки
[879.52s -> 881.52s]  насколько жуткие описать сможете?
[881.52s -> 883.52s]  такие
[887.52s -> 904.78s]  все понятно
[904.78s -> 906.78s]  он здесь был
[908.78s -> 913.69s]  Олег Макарский
[913.69s -> 925.90s]  капитан Лазицкий
[925.90s -> 927.90s]  вы арестованы
[927.90s -> 937.68s]  попался
[937.68s -> 939.68s]  хочешь знать почему
[939.68s -> 941.68s]  я это сделал?
[941.68s -> 943.68s]  до самого детства ненавижу
[943.68s -> 945.68s]  ваши полицейские морды
[947.68s -> 949.68s]  не двигаться
[953.69s -> 962.38s]  пакуйте его, господа
[962.38s -> 965.88s]  но
[965.88s -> 967.88s]  я
[967.88s -> 971.32s]  не понимаю
[971.32s -> 973.32s]  элементарный грим
[973.32s -> 975.32s]  и небольшой спектакль
[975.32s -> 977.32s]  театр начинается
[977.32s -> 979.32s]  с вешалки, а наш театр
[979.32s -> 981.32s]  закончился убийством
[981.32s -> 983.32s]  сожалею, но вы только что
[983.32s -> 985.32s]  задушили своего брата
[985.32s -> 990.30s]  стойте
[992.30s -> 994.30s]  гребаный
[994.30s -> 996.30s]  Лазицкий
