[3.63s -> 6.43s]  ДИНАМИЧНАЯ МУЗЫКА
[214.11s -> 217.11s]  Рисоваешь, Андрей, а у тебя походу по рисованию пятёрка была, да?
[217.11s -> 218.11s]  Да.
[218.11s -> 220.11s]  Вот так вот груши есть и рисование.
[220.11s -> 221.11s]  Круто.
[221.11s -> 223.11s]  Ну а чё, считай, до второго класса доучился,
[223.11s -> 225.11s]  хоть грушу научился рисовать.
[225.11s -> 229.51s]  Из звёздочки.
[229.51s -> 230.51s]  Здрасте.
[230.51s -> 231.51s]  Здрасте.
[231.51s -> 232.51s]  Вы на двенадцать?
[232.51s -> 236.94s]  Ага.
[236.94s -> 238.94s]  Чай, кофе, пирожки.
[239.06s -> 241.06s]  Собой приносить, а то у нас нет *****.
[243.06s -> 244.06s]  Здравствуйте.
[244.06s -> 245.06s]  Здравствуйте.
[245.06s -> 246.06s]  Нормально там, давай.
[246.06s -> 248.06s]  Мягко, чтобы побоссов был побольше.
[248.06s -> 250.06s]  Андрей, а чё, у нас пока время есть,
[250.06s -> 251.06s]  давай цифру тебя буду учить.
[251.06s -> 253.06s]  Вот один, знаешь, как пишется?
[253.06s -> 254.06s]  Нет.
[254.06s -> 256.06s]  Но помните, мы ещё это, вот на углу колонка стояла,
[256.06s -> 258.06s]  такая горбатая, и мы ещё из неё похмелялись постоянно.
[258.06s -> 259.06s]  Вот я рисую её.
[261.06s -> 262.06s]  Вот.
[262.06s -> 264.88s]  Да вот как гусь.
[264.88s -> 266.88s]  О, красавец.
[266.88s -> 267.88s]  А три?
[267.88s -> 268.88s]  Три.
[269.00s -> 271.00s]  Андрей, как себя объяснить-то?
[271.00s -> 273.00s]  Ну, помнишь, что ты на грозах сиськи рисовал?
[273.00s -> 275.00s]  Вот, только вертикально, короче.
[275.00s -> 277.00s]  Ну-ка.
[277.00s -> 278.00s]  Ай, ты, красавец.
[278.00s -> 280.00s]  Ну, короче, чё тебе опускать?
[280.00s -> 282.00s]  Мы так с тобой работы до конца, до сотки дойдём.
[282.00s -> 283.00s]  Давай.
[283.00s -> 284.00s]  Вера!
[284.00s -> 285.00s]  Опа.
[285.00s -> 286.00s]  Чё?
[286.00s -> 288.00s]  Он хочет, чтобы я разделась.
[288.00s -> 289.00s]  Ты чё?
[289.00s -> 290.00s]  А?
[290.00s -> 291.00s]  Вы чё творите, *****?
[291.00s -> 292.00s]  А чё творить?
[292.00s -> 294.00s]  Ты думал, у тебя десерт, что ли?
[294.00s -> 295.00s]  Перегёрнул, что ли?
[295.00s -> 296.00s]  Так я ни разу не видел,
[296.00s -> 298.00s]  чтобы массаж на квартире реально проводились.
[298.12s -> 299.12s]  Массаж на квартире.
[299.12s -> 300.12s]  Давай, иди там.
[300.12s -> 303.12s]  На районе всем скажи, что здесь оздоровительный массаж.
[303.12s -> 305.12s]  Бегом давай.
[307.12s -> 308.12s]  *****.
[308.12s -> 309.12s]  Я тебе сказал,
[309.12s -> 311.12s]  я уже второго визону вырубаю сегодня, *****.
[311.12s -> 313.12s]  Ещё пару таких клиентов у меня
[313.12s -> 315.12s]  можно в спальню с Маграгом уходить.
[315.12s -> 317.12s]  Ну, или джиган тренировать,
[317.12s -> 318.12s]  я не знаю.
[318.12s -> 320.12s]  Андрюх, ну ты куда смотришь, администратор?
[320.12s -> 322.12s]  Давай, прекращай пускать.
[322.12s -> 324.12s]  Которые в ноября
[324.12s -> 326.12s]  в армейских шланг сходят, *****.
[326.12s -> 327.12s]  Давай, иди убирай кабинет.
[327.24s -> 329.24s]  Четвёртый, как в стул,
[329.24s -> 331.24s]  только вверх ногами, давай.
[331.24s -> 333.24s]  Пятёрка, это как двойка,
[333.24s -> 335.24s]  только вверх ногами и перевернулась.
[335.24s -> 337.24s]  Ну-ка, вот молодец мой,
[337.24s -> 339.24s]  вот он молодец.
[339.24s -> 341.24s]  Так, у нас такой необычный клиент.
[343.24s -> 345.24s]  Киркоров, что ли, приехал?
[345.24s -> 346.24s]  Какой Киркоров?
[346.24s -> 347.24s]  А, *****, я и думаю,
[347.24s -> 349.24s]  что он из Киркоров в нашем городе
[349.24s -> 351.24s]  делает тиболь в таком заведении.
[351.24s -> 353.24s]  Вот что-то не того, не того.
[353.24s -> 355.24s]  Ну, какой клиент, обычный, какой?
[355.24s -> 356.24s]  Слышь, Андрюх,
[356.36s -> 358.36s]  Максим-то я пойду массаж делать,
[358.36s -> 359.36s]  а Зимфир-то я.
[359.36s -> 361.36s]  Ну, тебе погадам как раз, тебе как раз.
[361.36s -> 362.36s]  Маз.
[362.36s -> 364.36s]  *****.
[364.36s -> 366.36s]  Ты чё, начальника уже нашёл?
[366.36s -> 368.36s]  Ага, я, наверное, подумала,
[368.36s -> 370.36s]  что у нас тут это.
[370.36s -> 372.36s]  А, да, и игрушка тоже, *****.
[372.36s -> 374.36s]  А с чего ты взяла, что он так подумал?
[374.36s -> 376.36s]  Ну, потому что он сегодня не в семейках,
[376.36s -> 378.36s]  я ему, наверное, скажу,
[378.36s -> 380.36s]  что у нас просто оздоровительный массаж.
[380.36s -> 382.36s]  Стоять.
[382.36s -> 384.36s]  Не надо ничего говорить.
[384.48s -> 386.48s]  А мы сейчас
[386.48s -> 388.48s]  прикол один сделаем.
[388.48s -> 389.48s]  Смешной, *****.
[389.48s -> 390.48s]  Андрюха.
[390.48s -> 395.71s]  Ой, как хорошо.
[395.71s -> 397.71s]  Какие у вас нежные руки, а.
[397.71s -> 399.71s]  А вы хотите пониже?
[399.71s -> 401.71s]  Конечно хочу, когда мы уже перейдём
[401.71s -> 403.71s]  к режиму, когда там на спине надо лежать.
[403.71s -> 405.71s]  А вы уже готовы?
[405.71s -> 407.71s]  Ну, конечно, всегда готовы.
[407.71s -> 409.71s]  Я пионер, ***.
[409.71s -> 411.71s]  Что такое, а?
[411.71s -> 413.71s]  Это розыгрыш, начальник.
[413.71s -> 415.71s]  Какой розыгрыш?
[415.83s -> 417.83s]  Ну, все сейчас, мы собираемся,
[417.83s -> 419.83s]  едем, будь зеленый, быстро.
[419.83s -> 421.83s]  Мы не поедем никуда.
[421.83s -> 423.83s]  А потому что если мы поедем писать заявление,
[423.83s -> 425.83s]  то эти люди в тиктоке охранятся,
[425.83s -> 427.83s]  и тебя уволят на огонь.
[427.83s -> 429.83s]  Короче, я сейчас снимаю.
[429.83s -> 431.83s]  Прости.
[431.83s -> 433.83s]  Ну что, родня, понравилось наше видео?
[433.83s -> 435.83s]  Тогда обязательно подписывайтесь сюда.
[435.83s -> 437.83s]  Мы новички на этой площадке,
[437.83s -> 439.83s]  и мы хотим на ней очень сильно
[439.83s -> 441.83s]  развиваться, поэтому, если вы нам
[441.83s -> 443.83s]  в этом поможете, то мы сделаем много
[443.95s -> 445.95s]  большего, будем выпускать больше контента,
[445.95s -> 447.95s]  стараться для вас, наши родники.
[447.95s -> 449.95s]  И также у нас у всех есть Инстаграм,
[449.95s -> 451.95s]  у Андрюхи есть, он там в очках, там, лысый,
[451.95s -> 453.95s]  прям, ну, стетхом, один в один.
[453.95s -> 455.95s]  Лиза там прям, вот, помыл Андерс.
[455.95s -> 457.95s]  Ну, у меня там, я так там, гном карта,
[457.95s -> 459.95s]  выхожу, что-то разговариваю, но тоже весело.
[459.95s -> 461.95s]  Поэтому, ребята, дайте огласку всем,
[461.95s -> 463.95s]  то, что мы на этой площадке,
[463.95s -> 465.95s]  и обязательно всем подписываемся.
[465.95s -> 467.95s]  И уже по традиции, на вашей площадке,
[467.95s -> 469.95s]  тогда вот так вот, иди сюда, иди сюда,
[469.95s -> 471.95s]  ага, вот, туда, туда, туда.
[471.95s -> 474.07s]  О-о-о-о!
