[8.05s -> 27.68s]  Яичная музыка
[224.22s -> 233.10s]  Здравствуйте. Раз уж Виктор Сергеевич устраивает салют, то предлагаю всем чё-то как-то его
[233.10s -> 245.24s]  поздравить. Кто за? Отлично. Какие будут идеи? Лучше подарок, это впечатление. Пусть каленехи к
[245.24s -> 255.43s]  моей народу приходит. Давайте ему рэп напишем. Может, подарим ему место на кладбище. А что,
[255.43s -> 262.99s]  они дорогие. А чё место? Давайте ему сразу памятник при жизни поставим и всё. А точно,
[262.99s -> 274.98s]  памятник. Знак уважения и любви. Кто за? Вот и отлично. А вы, товарищи участковые,
[274.98s -> 280.30s]  вы наказаны за опоздание и назначаетесь ответственным за сбор средств у жителей.
[280.30s -> 291.16s]  Здравствуйте, барышни. Коллекторское агентство «Сундук и компания». Мы собираем деньги на
[291.16s -> 302.00s]  день рождения Яблокова. У меня себе-то на чёрный день денег нет. Опа. Ну так-то уже вся деревня
[302.00s -> 309.24s]  сдала. В войне остались. Вы же не хотите, чтобы вся деревня узнала, что вы жадины? Есть имеют.
[311.84s -> 318.28s]  Эй, алканавт, ты лучше с таким энтузиазмом буханку бы мою починил. Двигатель на дороге не валяется,
[318.28s -> 323.80s]  донор нужен. Ладно, ипэшник, тогда с тебя налог, который пойдёт на подарок к
[323.80s -> 331.88s]  дню рождения главы администрации. Денег нет. Денег нет? Берём продукции. Дятел, блин.
[331.88s -> 362.23s]  Здорово, мужики. Давай деньги, стебёмся. Что? Что стебёт?
[362.23s -> 411.98s]  О! Вселенная, племи меня на новом месте. Пришлось бабушке сказать, что кэшбэк на пенсию будет.
[411.98s -> 419.06s]  Моя аура чиста. А мне сразу верить, что я себе наличия собираю. Отличная работа, коллеги.
[419.06s -> 427.26s]  Попался, сука. Живу на новом месте. Попался, экзорцы, из черта. Ты представнись,
[427.26s -> 435.54s]  я тебе сказал, интернет свой. Опа, шпиндец у дорогой лизаный. Держи его. Что я сделал?
[435.54s -> 442.06s]  Делаешь, задним числом. Пошли, пошли, пошли. Всё, что вы скажете, будет использовано против вас,
[442.06s -> 447.46s]  вы имеете право хранить молчание. Начальник, папка. Ну сколько раз мне ещё вам сказать,
[447.46s -> 457.78s]  что я просто давал своему телу и ауре почувствовать новое пространство со своей уникальной энергией.
[457.78s -> 462.14s]  Ты что, гонишь? Вот так вот посидишь, я свои дела поделаю, потом придумаю, что с тобой делать.
[462.14s -> 467.86s]  Тут в чуде даже нет решётки, чтобы тебя посадить. Что ты ломаешься, как тёлка? Признался и пошёл
[467.86s -> 473.02s]  спокойно чилить на шконке. Сундук, за ним последи, когда я за статую пойду.
[473.22s -> 476.06s]  Ну, парник, а можно я его раскорю, пока тебя нету?
[476.06s -> 477.86s]  Нет, или я тебя рядом с ним пристегну.
[478.86s -> 481.66s]  Повезло тебе, собака сутулая, иначе я бы тебе кадык отгрыз.
[481.66s -> 489.26s]  Так мне надоело, я сейчас сигнальчик в космос отправлю, и на твоей судьбе появится чёрная метка.
[489.26s -> 492.34s]  Эй, где пакет?
[492.34s -> 493.74s]  Какой пакет?
[493.74s -> 496.14s]  Чего вы мне так смотрите, где пакет с деньгами?
[496.14s -> 502.06s]  Так вы его в речке потеряли, когда меня ни за что брали. Это у вас кармический бумеранг на стик.
[502.10s -> 505.10s]  Сейчас срок настигнет, ты меня понял? Что делать будем?
[507.41s -> 508.29s]  Кучки!
[508.29s -> 514.21s]  Ща как дам! Кучки! Это соседняя деревня, там есть мастер, с ним за бутылку можно о чём угодно договориться.
[514.21s -> 515.85s]  Он тебе всё, что захочет, сваяет.
[516.89s -> 517.89s]  Далеко?
[517.89s -> 521.41s]  Тут по полю минут двадцать. Ай да, ай да, не знись, иди, иди, сходи договорись.
[522.97s -> 523.97s]  Посиди за ним.
[532.25s -> 533.53s]  Глазам не смотри.
[551.53s -> 552.65s]  Ко мне, что ли?
[552.73s -> 557.33s]  Ну да, по вашим полям даже Сусанин Поляков бы не повёл. Заказ есть.
[558.33s -> 561.13s]  Ну говори, статуя нужна. Три метра.
[565.03s -> 566.23s]  Генерал что ли какой-то понадобился?
[566.23s -> 570.23s]  Да какой генерал, там юбилей, так что все дела свои откладывай.
[570.83s -> 582.07s]  Те. Плачу хорошо. Вот, вот его надо сделать.
[583.67s -> 584.67s]  О как!
[585.75s -> 586.75s]  Яблоко.
[587.15s -> 592.15s]  Он самый, только это. Давайте без халтура, мы его хотим на центральной площади поставить.
[592.15s -> 594.75s]  Нужно сделать быстро и красиво.
[597.19s -> 598.19s]  Три метра.
[599.19s -> 601.19s]  Быстро и красиво.
[602.19s -> 604.19s]  Как будет готов, сразу привозить.
[604.19s -> 607.19s]  Для яблокова сделаю в лучшем виде.
[607.19s -> 608.19s]  Спасибо.
[609.19s -> 614.19s]  Слушай, отец, а где здесь попутку словить, чтобы не за ботинки грязные, не за погон мне предъявили?
[614.19s -> 617.19s]  Пешком ********, товарищ старший лейтенант.
[617.19s -> 618.19s]  Спасибо.
[633.46s -> 634.46s]  Девушка, здравствуйте.
[635.46s -> 636.46s]  Здравствуйте.
[637.46s -> 639.46s]  Кого-то потеряли, может вам помочь?
[639.46s -> 643.46s]  Да я от человека одного высматриваю, вряд ли вы сможете помочь, но спасибо.
[644.46s -> 646.46s]  Человечку высматривать?
[647.46s -> 649.46s]  А не хотите взглянуть еще кое-на что?
[658.77s -> 660.77s]  Пожалуйста, пожалуйста, пожалуйста.
[661.77s -> 676.05s]  Что за действие?
[677.05s -> 680.94s]  Эй, собачку туловая, руки в гору.
[683.94s -> 684.94s]  А нет, за спину.
[684.94s -> 685.94s]  Нет, не за спину.
[686.94s -> 687.94s]  Застекнись и за спину.
[688.94s -> 689.94s]  Вытягивай руки.
[690.94s -> 691.94s]  Вытягивай руки.
[692.94s -> 693.94s]  Нормально все, да?
[693.94s -> 694.94s]  Ну такое.
[695.94s -> 696.94s]  Все, пошли.
[696.94s -> 697.94s]  Второй сзади уже.
[697.94s -> 698.94s]  Идем встать.
[698.94s -> 699.94s]  Встали.
[699.94s -> 700.94s]  Так, пойдем, пойдем.
[701.94s -> 702.94s]  Быстрее, быстрее, быстрее, давай.
[705.94s -> 706.94s]  Я вам ручку.
[706.94s -> 707.94s]  Пошли.
[709.94s -> 711.94s]  Ходят, показывают свои причинда вот.
[712.94s -> 713.94s]  Иди давай.
[718.38s -> 719.38s]  Пошел.
[720.38s -> 721.38s]  Пошел.
[721.38s -> 722.38s]  Еще, вот так вот лапки наши тебе доиграли.
[722.38s -> 723.38s]  Давай, давай, давай.
[723.38s -> 726.38s]  Это тебе никакой там бейсбол этот современный в перчатках ловит.
[727.38s -> 728.38s]  Отдуши все.
[728.38s -> 729.38s]  Давай, лап, лап.
[730.38s -> 731.38s]  Прикиньте?
[731.38s -> 732.38s]  Второй сзади.
[732.38s -> 733.38s]  Вам что так медом намазали?
[734.38s -> 735.38s]  Привет.
[735.38s -> 736.38s]  Катя.
[737.38s -> 738.38s]  Роберт.
[738.38s -> 739.38s]  Вы что знакомы?
[739.38s -> 740.38s]  Ты что тут делаешь?
[741.38s -> 742.38s]  Я тебе весь день звоню.
[742.38s -> 743.38s]  Я думала, ты не приедешь уже.
[744.38s -> 745.38s]  А у меня телефон разрядился.
[746.38s -> 747.38s]  А потом я решил помедитировать.
[748.38s -> 751.38s]  А эти подумали, что я голый к бабкам пристаю.
[752.38s -> 753.38s]  Ты говори как есть.
[754.38s -> 756.38s]  Не медитировать, а передергивать.
[757.38s -> 760.58s]  Вы ненормальные?
[761.58s -> 762.58s]  Это мой парень.
[762.58s -> 763.58s]  В смысле парень?
[763.58s -> 764.58s]  Угу.
[764.58s -> 767.58s]  В смысле мы его задерживали, как подозреваемого.
[767.58s -> 769.58s]  Сейчас уже отпускаем.
[769.58s -> 770.58s]  Отпускайте, да.
[770.58s -> 771.58s]  Отпускайте, отпускайте.
[771.58s -> 772.58s]  Отпускай уже.
[773.58s -> 774.58s]  Отпускайте.
[774.58s -> 779.58s]  Слушайте, знаете, что я просто позвоню папе и весь округ будет знать, какой здесь ментовской беспредел происходит.
[779.58s -> 780.58s]  Серьезно.
[781.58s -> 782.58s]  Я на вас заявление позже напишу.
[783.58s -> 784.58s]  И вы животные.
[785.58s -> 786.58s]  Пошли отсюда.
[786.58s -> 787.58s]  Пойдем.
[787.58s -> 788.58s]  Пошли, пошли.
[789.58s -> 790.58s]  Это что получается?
[791.58s -> 793.58s]  Она с извращенцем встречается, да?
[794.58s -> 795.58s]  Походу.
[795.58s -> 798.58s]  Я вот свой уазик три раза в неделю мою и ни одной поклевки.
[798.58s -> 800.58s]  А вот у этого посмотри какая лань.
[801.58s -> 802.58s]  И нет.
[802.58s -> 803.58s]  Это Катя.
[804.58s -> 805.58s]  Что это?
[806.58s -> 807.58s]  Что это такое?
[808.58s -> 809.58s]  Что за постдермизм такой?
[810.58s -> 811.58s]  Все по ТЗ.
[811.58s -> 812.58s]  Быстро, красиво.
[813.58s -> 814.58s]  И на Яблокова похож.
[815.58s -> 817.58s]  Вот что значит памятник нерукосворный?
[818.58s -> 819.58s]  Это запасик, у которого он у меня отжез.
[820.58s -> 822.58s]  Ну, определенное сходство есть.
[829.35s -> 830.35s]  Ну, давай презентуй.
[831.35s -> 837.35s]  Это как бы вам подарок на день рождения от всех, от всех жителей.
[838.35s -> 840.35s]  Мало кому памятник при жизни ставят.
[841.35s -> 842.35s]  А вы особенный.
[843.35s -> 844.35s]  Да он жизнавоза.
[845.35s -> 847.35s]  Ну, так сжигание трактора же не состоялось.
[848.35s -> 849.35s]  А чтоб год урожайный был.
[850.35s -> 851.35s]  Нужно же его удобрить.
[852.35s -> 853.35s]  Получается.
[854.35s -> 855.35s]  Такого мне еще не дарили.
[857.35s -> 860.50s]  Подарок, пожалуй, здесь оставлю.
[860.50s -> 862.50s]  Пусть его голуби хорошенько укрепят.
[865.50s -> 867.50s]  Спасибо вам, дорогие чуденцы.
[868.50s -> 869.50s]  Все, можете расходиться.
[870.50s -> 876.05s]  Снимать только ничего не надо.
[877.05s -> 879.05s]  Ну все, приехали.
[918.24s -> 940.24s]  Продолжение следует...
