[3.76s -> 56.91s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[216.63s -> 220.19s]  Медиация в формате артпространств и дома культуры ГЭС-2
[220.19s -> 222.87s]  — это то самое культурное посредничество.
[222.87s -> 226.47s]  То есть в своей группе я практически всегда говорю, что...
[226.47s -> 228.91s]  Ребята, я понимаю, что я не смогу вас...
[228.91s -> 232.07s]  Мы, во-первых, не посмотрим с вами все эти работы,
[232.11s -> 236.15s]  я даю вам 5, 10, 15 минут, сколько вам будет комфортно, вы походите,
[236.15s -> 241.07s]  вы посмотрите, пожалуйста, а потом я буду вас ждать вот у этой колонны,
[241.07s -> 246.07s]  и у вас будет задача выбрать три работы из гигантского зала,
[246.07s -> 248.07s]  где очень много работ, три работы,
[248.07s -> 251.07s]  о которых вам бы действительно хотелось поговорить.
[251.07s -> 254.07s]  И после этого начинается очень длительный процесс,
[254.07s -> 257.07s]  если группа особенно большая, это всегда очень комично,
[257.07s -> 260.07s]  когда люди пытаются договориться о том, вот почему вот это?
[260.07s -> 263.07s]  И пока они договариваются, они находятся в этом внутреннем диалоге,
[263.07s -> 266.07s]  по сути медиация — это и есть наш групповой полилог.
[266.07s -> 268.07s]  Чем же это отличается от экскурсий?
[268.07s -> 271.07s]  Когда ты приходишь на экскурсию, во-первых, ты платишь,
[271.07s -> 273.07s]  вот, медиация — это бесплатно,
[273.07s -> 276.07s]  и во-вторых, ты ждешь информацию, которую тебе дадут.
[276.07s -> 279.07s]  И, конечно, да, мы знаем абсолютно всю информацию о зданиях,
[279.07s -> 282.07s]  о выставках, о художниках, мы к этому очень долго готовимся,
[282.07s -> 285.07s]  мы создаем свои медиаторские туры, мы вынуждены все это знать.
[285.07s -> 288.07s]  Но мы не ставим своей целью все это донести до тебя,
[288.07s -> 291.07s]  как человек, когда наша аудитория нам интересна,
[291.07s -> 293.07s]  это то, что ты доносишь нам.
[293.07s -> 295.07s]  То есть вы обратная перспектива?
[295.07s -> 296.07s]  Конечно.
[296.07s -> 298.07s]  Где учить вопрек такого?
[298.07s -> 301.07s]  Вообще мы, все 26 сейчас медиаторов фонда ВИСИ,
[301.07s -> 304.07s]  прошли подготовку на факультете медиации,
[304.07s -> 307.07s]  это была программа, на которую отбирали нас всех.
[307.07s -> 310.07s]  И полтора года мы изучали различные специальности,
[310.07s -> 314.07s]  то есть от самой теории медиации до радикальной педагогики.
[314.07s -> 317.07s]  Я до сих пор иногда возвращаюсь к педагогике угнетенных Паулу Фрейра.
[317.07s -> 320.07s]  Я понимаю, что задача вашего фонда, вашей команды в целом,
[320.07s -> 322.07s]  ну такая сверхзадача, да?
[322.07s -> 324.07s]  Сверхзадача, конечно.
[324.07s -> 328.07s]  Сверхзадача это вообще переосмыслить дом культуры как институцию.
[328.07s -> 330.07s]  Как институцию, конечно.
[330.07s -> 332.07s]  Как вообще, как субстанцию.
[332.07s -> 335.07s]  Ну тогда у меня сразу, я же медиатор, у меня к тебе вопрос.
[335.07s -> 337.07s]  Что такое дом культуры?
[337.07s -> 340.07s]  Если человек живет в поселке, работает в определенном месте,
[340.07s -> 343.07s]  на ферме, например, или на небольшой фабрике,
[343.07s -> 345.07s]  у него есть свободное время.
[345.07s -> 347.07s]  В каком-то культурном времяпровождении.
[347.07s -> 349.07s]  Вот я так высказываю свою мысль.
[349.07s -> 351.07s]  И тогда он идет в дом культуры,
[351.07s -> 355.07s]  в котором он может пойти, как Буратино, направлено налево,
[355.07s -> 359.07s]  в библиотеку, на танцы, спуститься там, поиграть.
[359.07s -> 362.07s]  Может быть, где-то есть бильярд или шахматы.
[362.07s -> 365.07s]  Музыкальные школы обычно располагались, конечно.
[365.07s -> 367.07s]  Это все возможные кружки, например.
[367.07s -> 370.07s]  У меня тоже был опыт, я ходил на кружоковое моделирование
[370.07s -> 372.07s]  в своем доме культуры, но...
[372.07s -> 374.07s]  А я плавать научился в доме культуры.
[374.07s -> 377.07s]  Есть абсолютно различный уровень возможностей.
[377.07s -> 379.07s]  Ты просто туда приходишь,
[379.07s -> 381.07s]  а дальше тебе люди и подсказывают.
[381.07s -> 383.07s]  Ты начинаешь сказать...
[383.07s -> 385.07s]  Как это можно переосмыслить,
[385.07s -> 388.07s]  если мы рассказали о прекрасном функциональном...
[388.07s -> 390.07s]  Разве так смогло сохраниться?
[390.07s -> 393.07s]  Например, я обожаю свой подмосковный город,
[393.07s -> 395.07s]  и у меня в доме культуры,
[395.07s -> 397.07s]  когда я уже стал повзрослее,
[397.07s -> 399.07s]  начали проходить ярмарки меха.
[399.07s -> 401.07s]  Само понятие дома культуры,
[401.07s -> 403.07s]  оно постепенно с годами выветривается,
[403.07s -> 405.07s]  и у него уходит вот эта идея
[405.07s -> 407.07s]  о совместных возможностях развития.
[407.07s -> 409.07s]  Потому что понятие дома культуры
[409.07s -> 411.07s]  это советское понятие, но у него есть история.
[411.07s -> 413.07s]  До него существовали рабочие дома,
[413.07s -> 415.07s]  которые реализовали ту же самую идею.
[415.07s -> 417.07s]  И это тоже был формат досуга.
[417.07s -> 419.07s]  И сейчас как раз ГЭС-2, дом культуры,
[419.07s -> 421.07s]  пытается это снова вернуть,
[421.07s -> 423.07s]  вернуть актуальность этому понятию.
[423.07s -> 425.07s]  То есть у нас есть пространство-ателье,
[425.07s -> 427.07s]  куда ты можешь пойти самостоятельно,
[427.07s -> 429.07s]  например, со своими детьми
[429.07s -> 431.07s]  и вместе заниматься ремеслом,
[431.07s -> 433.07s]  доделать что-то из глины, например.
[433.07s -> 435.07s]  Если тебе наскучило,
[435.07s -> 437.07s]  ты можешь сходить на выставку,
[437.07s -> 439.07s]  посмотреть, что происходит там.
[439.07s -> 441.07s]  Макс, у нас заявлена такая тема,
[441.07s -> 443.07s]  и действительно мы хотим в ней разобраться.
[443.07s -> 445.07s]  Поиск новых форматов.
[445.07s -> 447.07s]  Это напрямую то, чем ты занимаешься,
[447.07s -> 449.07s]  это твои коллеги, друзья.
[449.07s -> 451.07s]  Ведь это рискованный эксперимент,
[451.07s -> 453.07s]  перформанс Санта-Барбара, да?
[453.07s -> 455.07s]  Конечно.
[455.07s -> 457.07s]  Но если вот мы сейчас с нуля начали,
[457.07s -> 459.07s]  мы все говорим о современном искусстве,
[459.07s -> 461.07s]  а этот взгляд просто изначально.
[461.07s -> 463.07s]  Это 90-е годы.
[463.07s -> 465.07s]  Как вы на это решились?
[465.07s -> 467.07s]  Почему это возникло?
[467.07s -> 469.07s]  И твоё личное отношение к этому?
[469.07s -> 471.07s]  Потому что это же такое взрыва...
[471.07s -> 473.07s]  Это не простое поле для высказывания.
[473.07s -> 475.07s]  Но это очень громкий поле.
[475.07s -> 477.07s]  Да, это громко.
[477.07s -> 479.07s]  Во-первых, это сезон открытия.
[479.07s -> 481.07s]  Если ты не делаешь ничего в сезон открытия,
[481.07s -> 483.07s]  то это попытка создать
[483.07s -> 485.07s]  этот самый праздник открытия.
[485.07s -> 487.07s]  И очень важно здесь понимать,
[487.07s -> 489.07s]  что рискованно это всё на бумаге.
[489.07s -> 491.07s]  Но на самом деле это вызывает
[491.07s -> 493.07s]  огромный интерес людей.
[493.07s -> 495.07s]  И не только в позитивном ключе.
[495.07s -> 497.07s]  Самый стандартный вопрос, который я слышу
[497.07s -> 499.07s]  в своих турах, это зачем?
[499.07s -> 501.07s]  И я на него отвечаю,
[501.07s -> 503.07s]  высказывая своё мнение.
[503.07s -> 505.07s]  Ты ведь помнишь телевидение 90-х нулевых?
[505.07s -> 507.07s]  Ну, собственно, я обвёл программу
[507.07s -> 509.07s]  до 16-ти старших.
[509.07s -> 511.07s]  В 95-м году.
[511.07s -> 513.07s]  И у тебя, очевидно, есть впечатление.
[513.07s -> 515.07s]  И ты ведь понимаешь,
[515.07s -> 517.07s]  что это было удивительным пространством.
[517.07s -> 519.07s]  Это было пространством,
[519.07s -> 521.07s]  в котором зарождались...
[521.07s -> 523.07s]  Свободные, экспериментальные.
[523.07s -> 525.07s]  Это удивительный формат,
[525.07s -> 527.07s]  когда у тебя есть возможность создавать эти эксперименты.
[527.07s -> 529.07s]  Но Санта-Барбара-то не было свободным.
[529.07s -> 531.07s]  Это были выкупленные истории.
[531.07s -> 533.07s]  И под него там ужинали родители,
[533.07s -> 535.07s]  картошку ели.
[535.07s -> 537.07s]  У тебя ведь есть истории, связанные с этим сериалом,
[537.07s -> 539.07s]  у тебя никто не смотрел.
[539.07s -> 541.07s]  Но тем, кто родился позже, у них же нет этих...
[541.07s -> 543.07s]  Я родился позже.
[543.07s -> 545.07s]  Это были показы и диалоги с родителями.
[545.07s -> 547.07s]  И Санта-Барбара, представь себе,
[547.07s -> 549.07s]  это был, по сути, второй сериал,
[549.07s -> 551.07s]  который транслировался на русском телевидении
[551.07s -> 553.07s]  после Рабыни Изаура.
[553.07s -> 555.07s]  Там же потом сразу стало появляться
[555.07s -> 557.07s]  очень много этих сериалов,
[557.07s -> 559.07s]  таких же, но представь себе,
[559.07s -> 561.07s]  что мы говорим о сериале, который показывали 10 лет.
[561.07s -> 563.07s]  Вот сейчас что-нибудь готово показывать 10 лет?
[563.07s -> 565.07s]  Кроме следа.
[565.07s -> 567.07s]  И дома два.
[569.07s -> 571.07s]  Представь себе, это был процесс
[571.07s -> 573.07s]  изменения этой сериальной культуры.
[573.07s -> 575.07s]  И почему дворы пустели?
[575.07s -> 577.07s]  Вот мне рассказывали.
[577.07s -> 579.07s]  Моя личная история заключается в том,
[579.07s -> 581.07s]  что это был традиционный семейный просмотр
[581.07s -> 583.07s]  моей мамы и сестры,
[583.07s -> 585.07s]  моей бабушки, моего дедушки.
[585.07s -> 587.07s]  Так вот дедушка не досмотрел.
[587.07s -> 589.07s]  Просто 10 лет он не смог, просто умер.
[589.07s -> 591.07s]  Вот настолько такая история.
[591.07s -> 593.07s]  Это довольно забавно сейчас слышать,
[593.07s -> 595.07s]  что кто-то не смог досмотреть сериал,
[595.07s -> 597.07s]  потому что он был слишком долгий.
[597.07s -> 599.07s]  Мы не знаем, как повлиял на нас Санта-Барбара.
[599.07s -> 601.07s]  Я думаю, тебе известно про поговорку,
[601.07s -> 603.07s]  когда тебе что-то непонятно в людских отношениях.
[603.07s -> 605.07s]  Кто-то говорит, что это Санта-Барбара.
[605.07s -> 607.07s]  Не пытайся даже разобраться.
[607.07s -> 609.07s]  Даже не то, что непонятно, а запутанно.
[609.07s -> 611.07s]  Именно рицательные.
[611.07s -> 613.07s]  Это же удивительно.
[613.07s -> 615.07s]  Я как патриот, я все равно говорю,
[615.07s -> 617.07s]  а почему же все-таки иностранцы кругом там?
[617.07s -> 619.07s]  Почему иностранщина?
[619.07s -> 621.07s]  Так вот, слушай, у меня здесь вопрос
[621.07s -> 623.07s]  к тебе максимально провокационный.
[623.07s -> 625.07s]  Это был у нас?
[625.07s -> 627.07s]  Ха-ха-ха.
[627.07s -> 629.07s]  Флакань.
[629.07s -> 631.07s]  Вот, понимаешь, у тебя очень мало времени.
[631.07s -> 633.07s]  У тебя очень мало времени, чтобы...
[633.07s -> 635.07s]  Представляешь себе, у нас там,
[635.07s -> 637.07s]  помимо того, что это живая скульптура
[637.07s -> 639.07s]  Рагнера и Артенса, у нас там есть еще
[639.07s -> 641.07s]  две выставки. Одна из них это в Москву,
[641.07s -> 643.07s]  в Москву, в Москву, где действительно
[643.07s -> 645.07s]  все художники, кроме одной нашей русской
[645.07s -> 647.07s]  художницы Оли Чернышовы, они все иностранцы.
[647.07s -> 649.07s]  И есть другая выставка.
[649.07s -> 651.07s]  Это я Мотору Гондолу
[651.07s -> 653.07s]  разбираю на части Коронавода четырех действий.
[653.07s -> 655.07s]  Но художники все русские, кроме одного,
[655.07s -> 657.07s]  Майкла Портнола, понимаешь?
[657.07s -> 659.07s]  И это как раз исследование
[659.07s -> 661.07s]  исключительно русского контекста короновальности,
[661.07s -> 663.07s]  который был характерен для 90-х годов.
[663.07s -> 665.07s]  Здесь тоже важный момент,
[665.07s -> 667.07s]  что 90-е годы это было действительно
[667.07s -> 669.07s]  неоднозначное время, оно было сложное,
[669.07s -> 671.07s]  странное, необычное, но
[671.07s -> 673.07s]  наша команда кураторов и художников,
[673.07s -> 675.07s]  они как раз переосмысляют
[675.07s -> 677.07s]  90-е годы как пространство
[677.07s -> 679.07s]  в создании нашей новой идентичности,
[679.07s -> 681.07s]  понимаешь? А почему адрес 90-е
[681.07s -> 683.07s]  годы? Почему не 80-е годы?
[683.07s -> 685.07s]  Потому что это наша огромная точка отсчета
[685.07s -> 687.07s]  для нашей современной русской культуры.
[687.07s -> 689.07s]  Вот за последние 30 лет
[689.07s -> 691.07s]  сформировалась наша с тобой новая русская культура.
[691.07s -> 693.07s]  Ты знаешь, у меня такая мысль пришла в голову,
[693.07s -> 695.07s]  что ведь шестидесятники, например,
[695.07s -> 697.07s]  тоже на такое же расстояние
[697.07s -> 699.07s]  откручивали ретроспекцию
[699.07s -> 701.07s]  и погружались
[701.07s -> 703.07s]  во времена революции и романтизировали
[703.07s -> 705.07s]  или там Чапаева, или там
[705.07s -> 707.07s]  и они сражались за то, кто из них
[707.07s -> 709.07s]  Маяковский. Вот.
[709.07s -> 711.07s]  Уже 30 лет, представляешь?
[711.07s -> 713.07s]  Извините, я тебе вообще ничего не сказал.
[713.07s -> 715.07s]  А я уже устроился на романтизацию.
[715.07s -> 717.07s]  Не спрашивай даже, отлично.
[717.07s -> 719.07s]  Прекрасно.
[719.07s -> 721.07s]  Дай, пожалуйста, телефон.
[721.07s -> 723.07s]  Все, давай, пишу, пишу обязательно.
[723.07s -> 725.07s]  Пока ты... Пока записываю.
[725.07s -> 727.07s]  Я пока записываю телефон, я тебя
[727.07s -> 729.07s]  направляю в бар. Он может быть не из 90-х,
[729.07s -> 731.07s]  не сам ты барбер, но очень красивая
[731.07s -> 733.07s]  девушка, очень хитро
[733.07s -> 735.07s]  улыбается.
[735.07s -> 737.07s]  Коля.
[737.07s -> 739.07s]  Будь...
[739.07s -> 741.07s]  Макс, будь аккуратней, пожалуйста.
[741.07s -> 743.07s]  Столько пропало людей в этом...
[743.07s -> 745.07s]  Все мы представляем.
[745.07s -> 747.07s]  Максим, я так хитро улыбаюсь,
[747.07s -> 749.07s]  потому что предвкушаю нашу с вами игру.
[749.07s -> 751.07s]  Макс, она даже на паспорте улыбается.
[751.07s -> 753.07s]  Я-то не верю. Правда, только
[753.07s -> 755.07s]  на загранпаспорте наша игра будет
[755.07s -> 757.07s]  называться
[757.07s -> 759.07s]  Может ли в пространстве ГЭС 2
[759.07s -> 761.07s]  оказаться?
[761.07s -> 763.07s]  Я сейчас объясню. У меня на карточках есть
[763.07s -> 765.07s]  некие объекты,
[765.07s -> 767.07s]  да, искусство, и не только.
[767.07s -> 769.07s]  Вопросы будут касаться того,
[769.07s -> 771.07s]  может ли в теории
[771.07s -> 773.07s]  такой вот некий объект оказаться
[773.07s -> 775.07s]  в этом пространстве. Вот смотрите.
[775.07s -> 777.07s]  Первая карточка.
[777.07s -> 779.07s]  Немножко неприлично, да?
[779.07s -> 781.07s]  Да как это вы такое говорите?
[781.07s -> 783.07s]  Вот такой объект. Вы про куб?
[783.07s -> 785.07s]  Этот памятник
[785.07s -> 787.07s]  поставлен возле института микропиологии
[787.07s -> 789.07s]  при Тюбенгенском университете.
[789.07s -> 791.07s]  Из красного мрамора,
[791.07s -> 793.07s]  между прочим.
[793.07s -> 795.07s]  Может ли он в теории появиться
[795.07s -> 797.07s]  в пространстве ГЭС 2 и почему?
[797.07s -> 799.07s]  Мой ответ, ко мне вопрос,
[799.07s -> 801.07s]  а почему нет?
[801.07s -> 803.07s]  А вот некий такой вопрос, этики.
[803.07s -> 805.07s]  Этики? А какой? Мы ведь
[805.07s -> 807.07s]  в хирургическое отделение будем ставить.
[807.07s -> 809.07s]  Да нет, конечно можно.
[809.07s -> 811.07s]  Ведь изображение гениталии
[811.07s -> 813.07s]  это человеческое, да?
[813.07s -> 815.07s]  И оно по-разному
[815.07s -> 817.07s]  может трактоваться, восприниматься.
[817.07s -> 819.07s]  Идея заключается в том, что это должно
[819.07s -> 821.07s]  что-то выражать. Если это стоит
[821.07s -> 823.07s]  было научной исследовательской институтой,
[823.07s -> 825.07s]  я правильно понимаю, значит
[825.07s -> 827.07s]  микробиологией, правильно?
[827.07s -> 829.07s]  Значит, очевидно
[829.07s -> 831.07s]  это является объектом исследований
[831.07s -> 833.07s]  тоже это, вот я так сказал, вулево
[833.07s -> 835.07s]  получается, правильно?
[835.07s -> 837.07s]  Я вас в каком-то смысле минуточку провоцирую.
[837.07s -> 839.07s]  Никаких табу нет.
[839.07s -> 841.07s]  Да конечно нет.
[841.07s -> 843.07s]  Поехали дальше.
[843.07s -> 845.07s]  Здесь, наверное, больше про талант
[845.07s -> 847.07s]  художника, насколько это талантливая
[847.07s -> 849.07s]  работа для того, чтобы
[849.07s -> 851.07s]  создаться в этом пространстве.
[851.07s -> 853.07s]  Ну тогда я можно попровоцирую?
[853.07s -> 855.07s]  А талант это что?
[855.07s -> 857.07s]  Талант это, знаете, вещь субъективная.
[857.07s -> 859.07s]  Конечно же. Я вам точно скажу, что
[859.07s -> 861.07s]  кто-то, кто-то...
[861.07s -> 863.07s]  Однако же есть эксперты, которые оценивают талант.
[863.07s -> 865.07s]  Я думаю, что найдется эксперт
[865.07s -> 867.07s]  и на это. Я думаю, что может, конечно.
[867.07s -> 869.07s]  Почему нет?
[869.07s -> 871.07s]  Между прочим, сукционная ушла за два
[871.07s -> 873.07s]  с половиной миллиона рублей.
[873.07s -> 875.07s]  Вот, видите? Это мастерство.
[875.07s -> 877.07s]  Все может быть. Кто-то не оценил,
[877.07s -> 879.07s]  а вы? Зря, зря.
[879.07s -> 881.07s]  Считайте зря.
[881.07s -> 883.07s]  А вы, конечно, надо было вставить Аленушку.
[883.07s -> 885.07s]  Конечно, нашумевшая
[885.07s -> 887.07s]  выставка «Мир тела».
[887.07s -> 889.07s]  Убийственный авангардизм.
[889.07s -> 891.07s]  Да что вы.
[891.07s -> 893.07s]  Гюнтера фон Хагенса.
[893.07s -> 895.07s]  Научного характера,
[895.07s -> 897.07s]  но шокирующее. Как вам?
[897.07s -> 899.07s]  Мне нравится. Опять
[899.07s -> 901.07s]  наверное, с этого надо было
[901.07s -> 903.07s]  начинать.
[903.07s -> 905.07s]  Все-таки оказаться может
[905.07s -> 907.07s]  что угодно. Очень важно, чтобы
[907.07s -> 909.07s]  это, конечно, соотносилось
[909.07s -> 911.07s]  к тому, что...
[911.07s -> 913.07s]  Не можем это поставить. Смотрите, мы
[913.07s -> 915.07s]  поставили.
[915.07s -> 917.07s]  К важному моменту.
[917.07s -> 919.07s]  Я вам говорю с позиции того,
[919.07s -> 921.07s]  что я бы поставил это где угодно.
[921.07s -> 923.07s]  Я бы в подъезде у себя это поставил.
[923.07s -> 925.07s]  Каждый раз бы смотрел.
[925.07s -> 927.07s]  Я состою из этого. Прикольно.
[927.07s -> 929.07s]  Важна идея. Если это
[929.07s -> 931.07s]  вписывается, например, как сейчас,
[931.07s -> 933.07s]  в исследование культуры,
[933.07s -> 935.07s]  нашей современной с вами русской культуры
[935.07s -> 937.07s]  за последние 30 лет,
[937.07s -> 939.07s]  то это можно было прямо в одном из наших сезонов
[939.07s -> 941.07s]  прямо сейчас поставить. Но очень
[941.07s -> 943.07s]  важно найти эту связь. И как раз я и занимаюсь
[943.07s -> 945.07s]  тем, что я постоянно
[945.07s -> 947.07s]  пытаюсь вместе со своими коллегами
[947.07s -> 949.07s]  великолепными и с людьми, которые к нам приходят,
[949.07s -> 951.07s]  наша основная задача это как раз
[951.07s -> 953.07s]  попытаться вместе находить новые связи.
[953.07s -> 955.07s]  А вот трубы такого цвета,
[955.07s -> 957.07s]  из них что-то там
[957.07s -> 959.07s]  дым пойдет?
[959.07s -> 961.07s]  Да нет, дым не пойдет.
[961.07s -> 963.07s]  Они забирают более чистый воздух
[963.07s -> 965.07s]  с высоты 73 метров,
[965.07s -> 967.07s]  где он как бы
[967.07s -> 969.07s]  чище, чем на нашем уровне жизни.
[969.07s -> 971.07s]  То есть Ренс Пьяно
[971.07s -> 973.07s]  было очень важно сохранить трубы как часть.
[973.07s -> 975.07s]  Но, так как он в своей
[975.07s -> 977.07s]  архитектуре старается наполнить
[977.07s -> 979.07s]  каждую часть функциональным,
[979.07s -> 981.07s]  он решил сделать их выше,
[981.07s -> 983.07s]  чтобы они забирали воздух и интегрировали его
[983.07s -> 985.07s]  в систему вентиляции.
[985.07s -> 987.07s]  Я пошел вперед.
[987.07s -> 989.07s]  Что вы будете пить?
[989.07s -> 991.07s]  Вы аккуратнее.
[991.07s -> 993.07s]  Вы думаете про трубы.
[993.07s -> 995.07s]  Думаете про трубы, дорогие друзья.
[995.07s -> 997.07s]  То есть синяя, да?
[997.07s -> 999.07s]  Дальше больше.
[999.07s -> 1001.07s]  Сейчас на эту сцену
[1001.07s -> 1003.07s]  выйдут люди, которые уже несколько месяцев,
[1003.07s -> 1005.07s]  внимание, следите за логикой,
[1005.07s -> 1007.07s]  играют в спектакли, в котором они
[1007.07s -> 1009.07s]  работают в съемках сериала,
[1009.07s -> 1011.07s]  в котором они играют тех,
[1011.07s -> 1013.07s]  кто играл в этом сериале
[1013.07s -> 1015.07s]  до них.
[1015.07s -> 1017.07s]  Как вы поняли, все очень
[1017.07s -> 1019.07s]  просто.
[1019.07s -> 1021.07s]  Встречайте, режиссер и актриса
[1021.07s -> 1023.07s]  продолжительного перформанса
[1023.07s -> 1025.07s]  кинопроизводства
[1025.07s -> 1027.07s]  Санта-Барбара, ожившая
[1027.07s -> 1029.07s]  скульптура Юрий Однопозов
[1029.07s -> 1031.07s]  и Анастасия Маргун.
[1031.07s -> 1033.07s]  Здравствуйте, друзья.
[1037.07s -> 1045.06s]  Слушайте, ну и сам Бог велел
[1045.06s -> 1047.06s]  просить ваше личное отношение
[1047.06s -> 1049.06s]  к первоисточнику.
[1049.06s -> 1051.06s]  Я его смотрела.
[1051.06s -> 1053.06s]  По заданию партии?
[1053.06s -> 1055.06s]  Нет, по заданию я пересмотрела.
[1055.06s -> 1057.06s]  Я помню, как я смотрела сериал
[1057.06s -> 1059.06s]  в детстве. Наверное, это первый класс
[1059.06s -> 1061.06s]  плюс-минус был.
[1061.06s -> 1063.06s]  Но я четко помню.
[1063.06s -> 1065.06s]  Иден, Круз, Келли,
[1065.06s -> 1067.06s]  Сеси, София.
[1067.06s -> 1069.06s]  София.
[1069.06s -> 1071.06s]  Да, да.
[1071.06s -> 1073.06s]  Я помню, что мне нравилась
[1073.06s -> 1075.06s]  актриса, которая играет роль
[1075.06s -> 1077.06s]  Келли, Робин Райт.
[1077.06s -> 1079.06s]  Я была в нее тогда уже
[1079.06s -> 1081.06s]  облюблена.
[1081.06s -> 1083.06s]  Как вот карты ей получилась?
[1083.06s -> 1085.06s]  Судьбоносно.
[1085.06s -> 1087.06s]  Я, если честно,
[1087.06s -> 1089.06s]  когда получил предложение поучаствовать
[1089.06s -> 1091.06s]  в этих съемках, мне прислали
[1091.06s -> 1093.06s]  договор о неразглашении
[1093.06s -> 1095.06s]  что за проект будет,
[1095.06s -> 1097.06s]  было в договоре написано Санта-Барбара.
[1097.06s -> 1099.06s]  Я думал, что это типа Санта-Барбара,
[1099.06s -> 1101.06s]  а там, на самом деле, мы что-то
[1101.06s -> 1103.06s]  такое будем снимать.
[1103.06s -> 1105.06s]  Действительно интересное.
[1105.06s -> 1107.06s]  Первый переговор, они говорят, ну,
[1107.06s -> 1109.06s]  можно снимать.
[1109.06s -> 1111.06s]  Я говорю, ну, честно говоря,
[1111.06s -> 1113.06s]  пока был тендер из разных режиссеров,
[1113.06s -> 1115.06s]  пока точно мне не определили,
[1115.06s -> 1117.06s]  что я буду этим заниматься, я не смотрел.
[1117.06s -> 1119.06s]  Понятно, что я проходя
[1119.06s -> 1121.06s]  в 90-е
[1121.06s -> 1123.06s]  между комнатами слышал,
[1123.06s -> 1125.06s]  что бабушка или дедушка
[1125.06s -> 1127.06s]  тун-тун-тун-тун, но мне
[1127.06s -> 1129.06s]  времени, честно говоря, тогда не было.
[1129.06s -> 1131.06s]  Юр, но все-таки понятно, вот Настя,
[1131.06s -> 1133.06s]  актриса сидит, актеры,
[1133.06s -> 1135.06s]  они заточены
[1135.06s -> 1137.06s]  по то, чтобы на них смотрела публика.
[1137.06s -> 1139.06s]  Но тайна
