[0.00s -> 1.40s]  Я работала.
[183.09s -> 185.81s]  я там ничего не знаю, как бы пойдет, не пойдет.
[185.81s -> 188.85s]  Ну, как бы очевидно, что, допустим, я пришла, да,
[188.89s -> 192.05s]  первое время мне будет онлайн держаться, а потом чего?
[192.05s -> 196.41s]  А потом как бы либо что-то делаешь, что-то тебе получается, либо как бы нет.
[196.41s -> 199.49s]  А у меня, ну, я развивалась все внутри компании,
[199.49s -> 203.05s]  я работала прямо серьезно, как взрослая тетенька.
[203.05s -> 206.57s]  А теперь ты как взрослая тетенька развиваешься на свище.
[206.57s -> 209.25s]  Девочки, есть какие-то, может быть, правила
[209.25s -> 212.93s]  или какие-то обязательные условия для того, чтобы твой канал жил,
[212.93s -> 216.05s]  чтобы его смотрели, чтобы активность была стабильной?
[216.05s -> 217.45s]  Что нужно для этого делать?
[217.45s -> 218.45s]  Что вы делаете?
[218.45s -> 221.93s]  Я просто делаю что по кайфу, и это мое самое главное правило,
[221.93s -> 225.65s]  что вот если мне хочется, если я в ресурсе, я подрубаю стрим,
[225.65s -> 228.05s]  если я чувствую, что у меня что-то слетает,
[228.05s -> 231.53s]  там какая-то ментальная составляющая или физическая,
[231.53s -> 233.85s]  я не стримлю, потому что...
[233.85s -> 237.21s]  Ну, я считаю, что я отдаю, и от этого получаю.
[237.21s -> 240.93s]  Если мне нечего отдавать, я не должна ничего получать,
[240.93s -> 243.73s]  если можно так сказать, если вы понимаете о чем.
[243.73s -> 245.69s]  Ну, то есть у тебя нет такого, как у многих стримеров,
[245.69s -> 248.25s]  что у меня жесткое расписание, 100% всегда?
[248.25s -> 250.29s]  Нет, вообще, и шоу я никакие не делаю,
[250.29s -> 252.25s]  вообще, и спать я никуда не собираю.
[252.25s -> 254.45s]  Я в часовый такой плюс-минус игрок,
[254.45s -> 257.13s]  играю только супер близкими ребятами, друзьями,
[257.13s -> 259.13s]  прям, ну, тоже из сквада своего.
[259.13s -> 261.85s]  Вот такая скатюшка играю всегда.
[261.85s -> 265.77s]  А ты? А ты что ты делаешь, чтобы аудитория была с тобой?
[265.77s -> 269.37s]  Слушай, мне, наверное, в этом плане сложнее.
[269.37s -> 270.77s]  Мне нужно обучиться у Арины, значит,
[270.77s -> 273.73s]  чтобы запускать, когда у тебя менталка не очень,
[273.73s -> 276.73s]  потому что я думаю, блин, ну, я сказала,
[276.73s -> 280.37s]  что сегодня стрим в 11, а я обычно заранее пишу в телегу,
[280.37s -> 283.41s]  и я думаю, ну, все, нельзя сливаться.
[283.41s -> 284.81s]  А кукуха свистит.
[284.81s -> 289.61s]  А кукуха-то продувается, да-да-да, дырявая.
[289.61s -> 291.29s]  Ну, блин, да, бывает такое.
[291.29s -> 293.05s]  Бывает так, что я стримлю три часа,
[293.05s -> 294.37s]  бывает так, что меня кукуха взрывает,
[294.37s -> 296.81s]  я по 11 часов сижу стримлив, вот,
[296.81s -> 298.97s]  а потом приезжаю на шоу к Машеньке.
[298.97s -> 301.49s]  Сейчас поспала и приехала.
[301.49s -> 304.49s]  Девочки, у вас, по-любому, большая аудитория,
[304.53s -> 308.13s]  которая к вам очень трепетно, лояльно, лично относится.
[308.13s -> 311.21s]  Вот расскажите, что самое необычное вы получали,
[311.21s -> 312.65s]  может быть, от своих подписчиков,
[312.65s -> 314.29s]  может, какие-то проявления внимания,
[314.29s -> 316.89s]  ну, что-то подарки, я не знаю, какие-то поступки?
[316.89s -> 318.57s]  У меня есть девочка одна.
[318.57s -> 320.09s]  Вчера, да, что она тебе прислала?
[320.09s -> 322.49s]  Да, я думаю, будет приятно, если я сейчас об этом упомяну.
[322.49s -> 325.49s]  У нее родные приехали в Москву,
[325.49s -> 328.49s]  а она не смогла, она попросила бабушку с тетей,
[328.49s -> 330.81s]  чтобы они передали подарочки.
[330.81s -> 333.25s]  Да, и она мне там кучу всего заслала.
[333.25s -> 335.25s]  Там еще хендмейт такой.
[335.25s -> 338.25s]  Да, она и самооткрытку сделала,
[338.25s -> 340.25s]  и сережки спила.
[340.25s -> 345.25s]  Если вы не знаете, что мне подарить, то, собственно, да.
[345.25s -> 349.25s]  Ну, у меня похоже, мне кажется, я вообще очень люблю своих ребят.
[349.25s -> 352.25s]  У меня недавно был с Маракфон 40 часов я стримила,
[352.25s -> 354.25s]  не спав, я спала полтора часа.
[354.25s -> 355.25s]  Железная леди.
[355.25s -> 359.25s]  Да, чуть-чуть так подремнула, такая проснула и сразу на стуле уснула.
[359.25s -> 362.25s]  И у меня есть ребята, они сидели со мной 40 часов.
[362.25s -> 364.25s]  Это прям для меня поступок.
[364.25s -> 368.25s]  И там ни один, ни два, ни три, ни четыре, у меня стабильно.
[368.25s -> 370.25s]  Ну, там, может быть, кто-то не 40.
[370.25s -> 374.25s]  То есть если кто 40, много кто там 20, много кто 30, кто-то 10.
[374.25s -> 377.25s]  Даже если 5, да еще хоть час, если вы просидели,
[377.25s -> 380.25s]  это уже для меня вообще нереальный поступок.
[380.25s -> 383.25s]  И мы за эти 40 часов уже как одна семья стали.
[383.25s -> 385.25s]  Мы уже перезнакомились, переобщались,
[385.25s -> 388.25s]  уже узнали, у кого какие проблемы, у кого какие травмы,
[388.25s -> 391.25s]  уже все обсудили, проработали, уже выросли.
[391.25s -> 393.25s]  Короче, и вот с тех пор мы...
[393.25s -> 396.25s]  Вот я как подрубаю стрим, я эти никнеймы все узнаю.
[396.25s -> 398.25s]  И мы уже так, как это, как дела?
[398.25s -> 400.25s]  Хорошо, у меня тоже хорошо.
[400.25s -> 402.25s]  Ну, тогда, получается, передаем любовечку
[402.25s -> 404.25s]  и привет всем нашим подписчикам.
[410.25s -> 413.25s]  Я в самом начале сказала, что у нас есть банк, девочки.
[413.25s -> 414.25s]  Это 50 тысяч рублей.
[414.25s -> 415.25s]  Я думаю, что средние...
[415.25s -> 416.25s]  Это останется ноль.
[416.25s -> 417.25s]  Нормально.
[417.25s -> 418.25s]  Нет, ноль не останется.
[418.25s -> 419.25s]  В чем прикол?
[419.25s -> 422.25s]  Вы сейчас сразу за эти деньги сражаться не будете.
[422.25s -> 424.25s]  Вы сначала их будете защищать.
[424.25s -> 426.25s]  Есть 5 вопросов, на которые нужно ответить.
[426.25s -> 428.25s]  Вот они здесь у меня на карточках.
[428.25s -> 429.25s]  И вторая радостная новость.
[429.25s -> 432.25s]  Вы будете отвечать на эти вопросы вместе, как команда.
[432.25s -> 434.25s]  Оставим сейчас ноль, правильно?
[434.25s -> 437.25s]  Без вариантов не получится ноль оставить.
[437.25s -> 440.25s]  У вас есть несгораемая сумма какая-то, все хорошо.
[440.25s -> 443.25s]  Отвечаете вы вместе, как команда, соответственно.
[443.25s -> 447.25s]  Если отвечаете неправильно, минус 5 тысяч из банка.
[447.25s -> 449.25s]  Девочки, на ответ у вас ровно минута.
[449.25s -> 450.25s]  Первый вопрос.
[450.25s -> 454.25s]  Как называлось шоу, в котором Алексей Пчелкин делал обзоры на фильмы?
[456.25s -> 457.25s]  Рэп-кин-обзор.
[457.25s -> 458.25s]  Нет?
[458.25s -> 459.25s]  Я не знаю.
[461.25s -> 462.25s]  Шоу?
[462.25s -> 464.25s]  Шоу, который на Ютубе, правильно?
[464.25s -> 466.25s]  В котором Алексей Пчелкин делал обзоры.
[466.25s -> 468.25s]  Рэп-кин-обзор, да.
[468.25s -> 469.25s]  Согласна.
[469.25s -> 470.25s]  Все?
[470.25s -> 471.25s]  Точно?
[471.25s -> 472.25s]  Рэп-кин-обзор.
[472.25s -> 473.25s]  Нормально.
[473.25s -> 474.25s]  Шареза Пчелкина.
[474.25s -> 475.25s]  Если ты не шаришь, то минус Рэп.
[475.25s -> 476.25s]  Правильный ответ.
[476.25s -> 478.25s]  50 тысяч уцелело пока.
[478.25s -> 479.25s]  Все хорошо.
[479.25s -> 480.25s]  Какая-то красота.
[480.25s -> 482.25s]  Надеюсь, ты, Леша, это оценишь.
[482.25s -> 483.25s]  Вот оценишь.
[483.25s -> 487.25s]  Хоть мы истебем дж-джуга, но, черт возьми, я знаю, как называется шоу.
[487.25s -> 488.25s]  Блин.
[488.25s -> 489.25s]  А ты не знала?
[489.25s -> 490.25s]  Я не знала.
[490.25s -> 491.25s]  Прости, Леша.
[491.25s -> 492.25s]  С ним вчера борзон играл.
[492.25s -> 494.25s]  Он же все равно любит забей.
[494.25s -> 496.25s]  Так, девочки, второй вопрос.
[496.25s -> 497.25s]  Минута на размышление.
[497.25s -> 502.25s]  Сколько дней Эвилон находился в самом длительном бане на Твиче?
[502.25s -> 503.25s]  192.
[503.25s -> 504.25s]  Вы что такие...
[504.25s -> 506.25s]  Да, кстати, 192.
[506.25s -> 508.25s]  А я вообще-то все залагала.
[508.25s -> 512.25s]  Ну, расскажи тогда, почему ты так хорошо запомнила количество дней.
[512.25s -> 514.25s]  У него никнейм Эвилон 192.
[514.25s -> 517.25s]  И разбанили его через 192 дня.
[517.25s -> 520.25s]  Степ, от Включа небольшой, да?
[520.25s -> 521.25s]  Да.
[521.25s -> 522.25s]  Ну, такое-такое.
[522.25s -> 524.25s]  Я осуждаю такой Степ вообще.
[524.25s -> 525.25s]  До сих пор в шоке сейчас.
[525.25s -> 527.25s]  Ну что, девочки, идут пока вообще.
[527.25s -> 529.25s]  Что-то как-то слишком хорошо.
[529.25s -> 530.25s]  Главное, не слазить.
[530.25s -> 532.25s]  Нет, 50 тысяч по-прежнему в банке.
[532.25s -> 533.25s]  Ну хорошо.
[533.25s -> 534.25s]  Третий вопрос.
[534.25s -> 535.25s]  Минута на ответ.
[535.25s -> 536.25s]  Готовы?
[536.25s -> 537.25s]  Да.
[537.25s -> 540.25s]  Кто последним присоединился к фрик-скваду?
[540.25s -> 541.25s]  Вот на сегодняшний день.
[541.25s -> 542.25s]  Шедо-кек.
[542.25s -> 543.25s]  Шедо-кек.
[543.25s -> 544.25s]  Сейчас мы думаем.
[544.25s -> 545.25s]  А он присоединился?
[545.25s -> 546.25s]  Да, Шедо-кека я видела.
[546.25s -> 547.25s]  Точно?
[547.25s -> 548.25s]  У кого-то в телеге.
[548.25s -> 549.25s]  Это был...
[549.25s -> 550.25s]  Это не Ро...
[550.25s -> 553.25s]  А знаешь, столько Роффа в последнее время, что я уже не знаю.
[553.25s -> 554.25s]  Нет.
[554.25s -> 559.25s]  Подожди, после этого вот канфоликто, получается он, да, Шедо-кек, 100%.
[559.25s -> 561.25s]  У него прям плашка фрик.
[561.25s -> 562.25s]  Да, у него плашка.
[562.25s -> 564.25s]  Мы же от плашки ориентируемся?
[564.25s -> 565.25s]  Да, плашку.
[565.25s -> 567.25s]  О каком месяце присоединяется?
[567.25s -> 569.25s]  Вот сейчас, дня два назад.
[569.25s -> 570.25s]  Да, да.
[570.25s -> 571.25s]  Все?
[571.25s -> 572.25s]  Принимаю ответ?
[572.25s -> 573.25s]  Да.
[573.25s -> 574.25s]  Да, да, да.
[574.25s -> 575.25s]  Шедо-кек?
[575.25s -> 576.25s]  Да.
[576.25s -> 577.25s]  Ну слишком хорошо, идете.
[577.25s -> 578.25s]  Да, это Шедо-кек.
[578.25s -> 580.25s]  Арина, мы с тобой просто дремтем.
[580.25s -> 581.25s]  Как вообще?
[581.25s -> 582.25s]  Вот так.
[582.25s -> 583.25s]  Отставим честь за фрик-сквад.
[583.25s -> 584.25s]  Да.
[584.25s -> 585.25s]  Ну просто, видишь, какие мы шарящие.
[585.25s -> 586.25s]  Вот так.
[586.25s -> 587.25s]  Девочки, вы идете на рекорд.
[587.25s -> 588.25s]  Пока что.
[588.25s -> 589.25s]  Ну ладно, у меня есть еще два вопроса.
[589.25s -> 592.25s]  Я хочу вас немножечко поддомажить.
[592.25s -> 593.25s]  Четвертый вопрос.
[593.25s -> 594.25s]  Минута на ответ.
[594.25s -> 598.25s]  Какое название носит команда Кирилла Поки Старовойтова
[598.25s -> 599.25s]  по Counter-Strike?
[599.25s -> 600.25s]  Без отца.
[600.25s -> 601.25s]  Да, блин.
[601.25s -> 602.25s]  Я не знаю, взломали шоу.
[602.25s -> 603.25s]  Я еще честно смотрю.
[603.25s -> 604.25s]  Я всех смотрю.
[604.25s -> 605.25s]  Обсудим, я всех стримеров смотрю.
[605.25s -> 606.25s]  Типа, я прям, я, ты чего?
[606.25s -> 607.25s]  Очень много времени провожу.
[607.25s -> 608.25s]  Я просто думала, ну камон, им пофиг, как там у Поки
[608.25s -> 609.25s]  сквад называется в контре.
[609.25s -> 610.25s]  Вот, кстати, такой момент.
[610.25s -> 611.25s]  Ты смотришь вообще?
[611.25s -> 612.25s]  Я даже, мне кажется, состав знаю.
[612.25s -> 613.25s]  Фандер, Путин.
[613.25s -> 614.25s]  Да, да.
[614.25s -> 615.25s]  Да, да.
[616.25s -> 619.25s]  Короче, наверняка будут потом машинеть люди на нас,
[619.25s -> 622.25s]  что мы подкрутили вам вопросы, но мы, честно, старались
[622.25s -> 624.25s]  посложнее писать, потому что корридж с Продейчем
[624.25s -> 626.25s]  пришли ко мне и сказали, да мы не смотрим твич, мы
[626.25s -> 627.25s]  вообще ничего не знаем.
[627.25s -> 628.25s]  Мы не смотрим твич.
[628.25s -> 629.25s]  Нет, вы можете не смотреть.
[629.25s -> 631.25s]  Что, пятый вопрос, и он не про ваших знакомых
[631.25s -> 632.25s]  твич-стримеров.
[632.25s -> 633.25s]  Блин.
[633.25s -> 636.25s]  Как называется компания, которая придумала игры
[636.25s -> 637.25s]  про Марио?
[637.25s -> 638.25s]  Я недавно написала.
[638.25s -> 639.25s]  Марио.
[639.25s -> 640.25s]  Марио.
[640.25s -> 641.25s]  Марио.
[641.25s -> 642.25s]  Марио.
[642.25s -> 643.25s]  Марио.
[643.25s -> 644.25s]  Марио.
[644.25s -> 645.25s]  Я недавно играла в Марио.
[645.25s -> 646.25s]  А, нет.
[646.25s -> 649.25s]  Я люблю Марио, но я сейчас, мне кажется, не скажу.
[649.25s -> 652.25s]  Я знаю только, что Нинтенды очень любят Марио.
[652.25s -> 655.25s]  Я говорю, у меня есть Нинтенды, мне классно.
[656.25s -> 659.25s]  А я вообще, я боюсь, что я сейчас опозорюсь и скажу
[659.25s -> 660.25s]  что-то.
[660.25s -> 665.25s]  У меня просто в голове возникло рандомное слово.
[667.25s -> 668.25s]  Поняла, что я сказала?
[668.25s -> 669.25s]  Нет.
[669.25s -> 672.25s]  У меня только возникла фраза...
[672.25s -> 673.25s]  Нинтенды, да?
[673.25s -> 674.25s]  Нет.
[674.25s -> 675.25s]  Да.
[675.25s -> 676.25s]  У меня эссоциация Марио, это Нинтенды.
[676.25s -> 677.25s]  А у меня эссоциация Юбисофт.
[677.25s -> 680.25s]  Но это просто никак не связано.
[680.25s -> 681.25s]  Просто не знаю типа...
[681.25s -> 682.25s]  Не-не-не-не.
[682.25s -> 683.25s]  У нас пять секунд.
[683.25s -> 684.25s]  Давай выхвит.
[684.25s -> 685.25s]  Нинтенды.
[685.25s -> 686.25s]  Нинтенды?
[686.25s -> 687.25s]  Да пофиг, да.
[687.25s -> 688.25s]  А что у нас?
[688.25s -> 690.25s]  У нас нет выхода, выбора.
[690.25s -> 691.25s]  Все?
[691.25s -> 692.25s]  Да.
[692.25s -> 694.25s]  Это абсолютный рекорд.
[694.25s -> 697.25s]  50 тысячи стоят в банке, что Нинтенды.
[697.25s -> 698.25s]  Серьезно?
[698.25s -> 699.25s]  Что?
[699.25s -> 700.25s]  Нинтенды?
[700.25s -> 701.25s]  Да, это Нинтенды.
[701.25s -> 702.25s]  Офигеть.
[702.25s -> 706.25s]  Вы этого не знали, но поугадали и на лайк еще просто...
[706.25s -> 708.25s]  Нет, Арина получается ну...
[708.25s -> 711.25s]  Ну я просто не обращал внимания, что именно Нинтенды...
[711.25s -> 714.25s]  Ну то есть я не знала, что Нинтенды именно создатели компании.
[714.25s -> 715.25s]  Да-да.
[715.25s -> 716.25s]  Нинтенды это эксклюзив.
[716.25s -> 717.25s]  Это Марио, это эксклюзив Нинтенды.
[717.25s -> 721.25s]  И кстати есть не самая веселая новость, но к сожалению буквально
[721.25s -> 724.25s]  вот на днях покинул мир собственно создатель Нинтенды.
[724.25s -> 725.25s]  Так что да.
[725.25s -> 726.25s]  Пресс f.
[726.25s -> 729.25s]  Блин, а подожди, какого года Марио?
[729.25s -> 731.25s]  Это очень старая игра.
[731.25s -> 732.25s]  Кайса, дай пятюню.
[732.25s -> 733.25s]  Красота.
[733.25s -> 734.25s]  50 тысяч.
[734.25s -> 735.25s]  Это реально круто.
[735.25s -> 739.25s]  50 тысяч девочки смогли сохранить и сейчас они будут
[739.25s -> 742.25s]  сражаться за этот банк уже в режиме ПВП.
[748.25s -> 751.25s]  Ну что, мы подобрались к кровавой мясорубке.
[751.25s -> 753.25s]  У нас сохранился весь банк.
[753.25s -> 756.25s]  50 тысяч рублей девочки, вы сотворили что-то невероятное.
[756.25s -> 759.25s]  Но теперь придется уже ручками получается сразиться
[759.25s -> 760.25s]  за эту сумму крупную.
[760.25s -> 765.25s]  Вообще-то мы подружки и как бы очень хорошо.
[765.25s -> 770.25s]  Ну короче, 50 тысяч делите как хотите, выигрывайте
[770.25s -> 771.25s]  любой ценой.
[771.25s -> 773.25s]  Сражаться вы будете в червячков.
[773.25s -> 776.25s]  Это игра компьютерная Вормс, у которой было много
[776.25s -> 778.25s]  изданий, много версий.
[778.25s -> 780.25s]  Сегодня девчонки будут вспоминать, что это такое
[780.25s -> 782.25s]  вообще как не играть и меситься.
[782.25s -> 784.25s]  У нас получается пяти минутный таймер, а потом
[784.25s -> 786.25s]  начнет подниматься вода.
[786.25s -> 787.25s]  Вы готовы?
[787.25s -> 788.25s]  Грязь, да.
[788.25s -> 789.25s]  Да.
[789.25s -> 790.25s]  Настальгия.
[790.25s -> 791.25s]  Ну все, поехали.
[791.25s -> 792.25s]  Грязь.
[794.25s -> 799.42s]  Ну что, таймер пошел получается.
[799.42s -> 800.42s]  Я первая, да?
[800.42s -> 802.42s]  Ну все, Катя, тебе хана.
[802.42s -> 804.42s]  Катюха выхватила, короче.
[804.42s -> 805.42s]  Что выхватила?
[805.42s -> 807.42s]  Отхватила я, не выхватила.
[808.42s -> 809.42s]  Так, и где?
[809.42s -> 811.42s]  Пипец, я просто отшельник.
[811.42s -> 813.42s]  Не-не-не, смотри где-нибудь.
[813.42s -> 814.42s]  Я просто сосок отшельник.
[814.42s -> 815.42s]  Вон синий наверху сидит.
[815.42s -> 817.42s]  Где это, как его, долететь?
[819.42s -> 820.42s]  Полетела, полетела.
[821.42s -> 823.42s]  Так, как бросать, пробил?
[824.42s -> 825.42s]  Все, молодец, текай.
[825.42s -> 826.42s]  Нет.
[828.42s -> 830.42s]  Фух, блин, я думала он уходил.
[830.42s -> 831.42s]  А где есть?
[831.42s -> 832.42s]  Нормально.
[832.42s -> 833.42s]  35.
[833.42s -> 835.42s]  65 хп тебе снесли.
[835.42s -> 837.42s]  Так а у меня 35 тоже.
[837.42s -> 838.42s]  Нормально.
[838.42s -> 839.42s]  У нас дыряв, у нас дырю.
[839.42s -> 842.42s]  Ой, вертолет страшная вещь, если в него сесть, конечно.
[842.42s -> 845.42s]  А попробовать в сесть?
[847.42s -> 848.42s]  Так.
[848.42s -> 849.42s]  Во, погнали.
[849.42s -> 850.42s]  Чего?
[850.42s -> 851.42s]  Ты, блин, Маша.
[851.42s -> 852.42s]  Ой.
[853.42s -> 854.42s]  Нифига, он уйдет.
[854.42s -> 856.42s]  Чего можно страдивать, ты не умрешь.
[856.42s -> 858.42s]  Я сходила, Кать.
[858.42s -> 860.42s]  А что-то Катю трогать на шагу ударила, да?
[860.42s -> 861.42s]  Да, видимо, да.
[861.42s -> 862.42s]  Отлично.
[862.42s -> 864.42s]  Херовый тетя тренер получается.
[865.42s -> 868.42s]  Так, ну, я предлагаю взять турборанец.
[871.42s -> 874.42s]  Предлагаю вообще не экономить вам ваши снаряды, потому
[874.42s -> 877.42s]  что у вас осталось две с половиной минуты, а потом водичка
[877.42s -> 878.42s]  начнет подниматься.
[883.72s -> 884.72s]  Уф.
[884.72s -> 887.72s]  Как же ты меня этими гранатами закидываешь.
[887.72s -> 889.72s]  Да, это, кстати, единственное, чем я пользуюсь.
[889.72s -> 891.72s]  Заметила турборанец и динамит.
[891.72s -> 893.72s]  А, у меня еще purple light.
[893.72s -> 896.72s]  Полетели, значит, куда-нибудь, чтобы понять, куда.
[896.72s -> 898.72s]  Там есть танк или стектечка.
[898.72s -> 900.72s]  Ну, кстати, мне кажется, пофиг, сколько будет вода
[900.72s -> 902.72s]  подниматься, потому что мы все высоко.
[902.72s -> 905.72s]  Мы скорее, быстрее переубиваем друг друга просто.
[905.72s -> 906.72s]  А это закрывает, да?
[906.72s -> 907.72s]  Угу.
[907.72s -> 908.72s]  Е-мое.
[908.72s -> 909.72s]  Мне кажется, я...
[909.72s -> 911.72s]  Ладно, сейчас тогда будем другую бить.
[911.72s -> 914.72s]  Только не в воду, только не в воду.
[914.72s -> 915.72s]  Молодец.
[916.72s -> 917.72s]  Все получается.
[919.72s -> 921.72s]  Ну все, все наладится.
[921.72s -> 923.72s]  Это не контрстрайк, к сожалению.
[924.72s -> 928.72s]  Жопа начинает подгорать тут.
[928.72s -> 930.72s]  Нет, Катя!
[930.72s -> 931.72s]  Что?
[931.72s -> 932.72s]  Ну за что?
[932.72s -> 934.72s]  А что это такое?
[935.72s -> 937.72s]  Так, это какое злое сделано?
[937.72s -> 939.72s]  Это такое направление ветра.
[939.72s -> 940.72s]  Подождите.
[940.72s -> 941.72s]  Ну вон у тебя направление ветра.
[941.72s -> 943.72s]  Так оно направо, оно тут.
[943.72s -> 945.72s]  Ну все, херов по намку тогда получается.
[946.72s -> 947.72s]  Не долетит.
[948.72s -> 950.72s]  Не, есть, конечно, варик.
[950.72s -> 951.72s]  Долетит!
[951.72s -> 952.72s]  Куда?
[952.72s -> 953.72s]  Посильнее сейчас сделаем.
[954.72s -> 955.72s]  Ой, он мне...
[955.72s -> 956.72s]  Нет!
[956.72s -> 957.72s]  Стрэш!
[958.72s -> 959.72s]  Ладно.
[959.72s -> 960.72s]  Ну хоть не самострел, Кать.
[960.72s -> 961.72s]  Да, тоже верно.
[961.72s -> 963.72s]  Блин, ну прикинь, это было бы жестко.
[963.72s -> 964.72s]  Было бы жестко.
[964.72s -> 965.72s]  Это было бы обидно.
[965.72s -> 967.72s]  Ну ты допрыгаешь спокойненько сейчас туда.
[968.72s -> 969.72s]  А куда она, где она?
[970.72s -> 971.72s]  Она спряталась.
[972.72s -> 973.72s]  Почему я не понимаю, куда ходит?
[974.72s -> 975.72s]  Ну по идее еще тебе мешает долететь.
[976.72s -> 977.72s]  Вот, пожалуйста.
[977.72s -> 978.72s]  Чего?
[979.72s -> 980.72s]  В засаде?
[981.72s -> 982.72s]  Оставь там какую-нибудь эту и убегай.
[983.72s -> 984.72s]  Так.
[984.72s -> 985.72s]  Вы что там?
[986.72s -> 987.72s]  Кать, прости.
[989.72s -> 990.72s]  Вот так.
[991.72s -> 992.72s]  Убегай!
[992.72s -> 993.72s]  Убегай!
[993.72s -> 994.72s]  Убегай!
[994.72s -> 995.72s]  Не убегай!
[995.72s -> 996.72s]  Стой!
[996.72s -> 997.72s]  Убегай!
[997.72s -> 998.72s]  По твоей же тактике.
[998.72s -> 999.72s]  Нет!
[1000.72s -> 1001.72s]  Пожалуйста, живи.
[1001.72s -> 1002.72s]  Отлично.
[1003.72s -> 1004.72s]  А где?
[1004.72s -> 1005.72s]  Почему он заныкался?
