[3.38s -> 5.38s]  ДИНАМИЧНАЯ МУЗЫКА
[415.47s -> 417.47s]  Я угадала.
[417.47s -> 419.47s]  Это красная соленая рыба.
[419.47s -> 421.47s]  Какая? Красная?
[421.47s -> 423.47s]  Очень много красной
[423.47s -> 425.47s]  соленой рыбы. Ну, вы же в Карелии.
[425.47s -> 427.47s]  Какая там может быть рыба?
[427.47s -> 429.47s]  Рябушка. Рябушка.
[429.47s -> 431.47s]  Рябушка не красная.
[431.47s -> 433.47s]  А зачем тогда вы неправильно подсказываете?
[433.47s -> 435.47s]  Кумбрия не ловится
[435.47s -> 437.47s]  в Ладожском озере.
[437.47s -> 439.47s]  Что-то не знаем.
[439.47s -> 441.47s]  Это же какая-нибудь...
[441.47s -> 443.47s]  Мы определились. Это рыба.
[443.47s -> 445.47s]  Это красная рыба.
[445.47s -> 447.47s]  Подождите, мы не говорили, что это рыба.
[447.47s -> 449.47s]  Есть лосось,
[449.47s -> 451.47s]  есть фарель.
[451.47s -> 453.47s]  Значит, это у нас... Вы точно идиоты.
[453.47s -> 455.47s]  Я вообще болею, что прислужила.
[455.47s -> 457.47s]  Лосось и фарель.
[457.47s -> 459.47s]  Так лосось или фарель? Фарель.
[459.47s -> 461.47s]  Это у нас фарель холодного копчения.
[461.47s -> 463.47s]  Ура!
[463.47s -> 465.47s]  Получается, у нас есть первая буква
[465.47s -> 467.47s]  шведского национального продукта.
[467.47s -> 469.47s]  Да.
[469.47s -> 471.47s]  Не блюдо. Нет, не блюдо.
[471.47s -> 473.47s]  О!
[473.47s -> 475.47s]  Четыре буквы.
[475.47s -> 477.47s]  А вот это можно стереть.
[477.47s -> 479.47s]  Это не шведское национальное.
[479.47s -> 481.47s]  Это украинское национальное.
[481.47s -> 483.47s]  А это типа три разных буквы.
[483.47s -> 485.47s]  Это три разных напитка.
[485.47s -> 487.47s]  А что это такое?
[487.47s -> 489.47s]  Облепиховый сок.
[489.47s -> 491.47s]  Чай? Может, это кофе.
[491.47s -> 493.47s]  Значит, вот это чай,
[493.47s -> 495.47s]  вот это масло,
[495.47s -> 497.47s]  а вот это, как говорится, кровь девственницы.
[497.47s -> 499.47s]  Что мы будем?
[499.47s -> 501.47s]  А вот!
[501.47s -> 503.47s]  Какого-то хорошего вам не мнение,
[503.47s -> 505.47s]  мне даже нравится.
[505.47s -> 507.47s]  Ух!
[507.47s -> 509.47s]  Так, ну что?
[509.47s -> 511.47s]  На что это похоже?
[511.47s -> 513.47s]  На чай или на кофе?
[513.47s -> 515.47s]  Ой, напоролся на вилку.
[515.47s -> 517.47s]  У меня было что-то
[517.47s -> 519.47s]  малиновое и...
[519.47s -> 521.47s]  Брусника. Брусника.
[521.47s -> 523.47s]  Ежевика. Ежевика.
[523.47s -> 525.47s]  Лесных ягод что-то.
[525.47s -> 527.47s]  Лесные ягоды
[527.47s -> 529.47s]  Брусника верно.
[529.47s -> 531.47s]  О, мы знаем!
[531.47s -> 533.47s]  Это у нас за сладенькую
[533.47s -> 535.47s]  у нас стоечку брусника.
[535.47s -> 537.47s]  А у вас есть
[537.47s -> 539.47s]  ликеры, есть
[539.47s -> 541.47s]  вальзамы.
[541.47s -> 543.47s]  Это был у нас карельский
[543.47s -> 545.47s]  вальзам.
[545.47s -> 547.47s]  И это национальный...
[547.47s -> 549.47s]  Солочь.
[549.47s -> 551.47s]  Это сулоть.
[551.47s -> 553.47s]  Или сулоть, или сулоть.
[553.47s -> 555.47s]  Мы знаем. Сулоть.
[555.47s -> 557.47s]  Салуть.
[557.47s -> 559.47s]  Ладно, действительно,
[559.47s -> 561.47s]  мы знаем. Говори.
[561.47s -> 563.47s]  Сельть.
[563.47s -> 565.47s]  Ура! Третье слово мы
[565.47s -> 567.47s]  отгадали. Четвертое слово
[567.47s -> 569.47s]  имя сортовальского
[569.47s -> 571.47s]  художника, автора
[571.47s -> 573.47s]  многочисленных работ,
[573.47s -> 575.47s]  выполненных резьбой.
[575.47s -> 577.47s]  Итак, что бы нам съесть?
[577.47s -> 579.47s]  Я предлагаю после рыбы покушать мороженого.
[579.47s -> 581.47s]  Молодец, мой хороший.
[581.47s -> 583.47s]  Это не морожка ли?
[583.47s -> 585.47s]  Морожка.
[585.47s -> 587.47s]  Морожка? Я имею ввиду морожка.
[587.47s -> 589.47s]  Холодная морожка, мороженная морожка.
[589.47s -> 591.47s]  Это наша ягода.
[591.47s -> 593.47s]  Это наша ягода.
[593.47s -> 595.47s]  Растет на кустиках.
[595.47s -> 597.47s]  Очень вкусно, очень нежно.
[597.47s -> 599.47s]  Кости из нее вынуть практически невозможно,
[599.47s -> 601.47s]  поэтому мороженое тоже с костями.
[601.47s -> 603.47s]  Пробуем угадать имя.
[603.47s -> 605.47s]  У нас есть
[605.47s -> 607.47s]  Крон и Д. Сюда можно подставить любую
[607.47s -> 609.47s]  гласную. Давай, ты первый.
[609.47s -> 611.47s]  А прикинь, там СО-гласная будет.
[611.47s -> 613.47s]  СО-ж какая-нибудь.
[613.47s -> 615.47s]  Крон...
[615.47s -> 617.47s]  Кронут не звучит.
[617.47s -> 619.47s]  Но вот если, например, красиво
[619.47s -> 621.47s]  Кронит...
[621.47s -> 623.47s]  Гоголев, да.
[623.47s -> 625.47s]  На самом деле нам, наверное, нужна еще одна буква.
[625.47s -> 627.47s]  Я буду калитку. Сначала я ее
[627.47s -> 629.47s]  открою. Боже, какая
[629.47s -> 631.47s]  я сообразительная.
[631.47s -> 633.47s]  Ключи от каламбурши заберите, пожалуйста, у девочки.
[633.47s -> 635.47s]  Калитка. Замечаем.
[635.47s -> 637.47s]  Калитка состоит.
[637.47s -> 639.47s]  Национально-корельское блюдо.
[639.47s -> 641.47s]  Оно настолько национально-корельское,
[641.47s -> 643.47s]  что в Финляндии
[643.47s -> 645.47s]  оно называется карьалампирака.
[645.47s -> 647.47s]  Корельский пирог.
[647.47s -> 649.47s]  У вас булочка
[649.47s -> 651.47s]  с корицей.
[651.47s -> 653.47s]  И грецким орехом.
[653.47s -> 655.47s]  Насчет улитки вы тоже правы,
[655.47s -> 657.47s]  потому что называется она
[657.47s -> 659.47s]  корвапуски.
[659.47s -> 661.47s]  Ушная раковина.
[661.47s -> 663.47s]  Прям какое-то обзвочка, знаешь.
[663.47s -> 665.47s]  Калиточку, буква Т.
[665.47s -> 667.47s]  За булочку, буква А.
[667.47s -> 669.47s]  Круто.
[669.47s -> 671.47s]  И я хочу поднять за это тост.
[671.47s -> 673.47s]  Что это слово? Бастон.
[673.47s -> 675.47s]  Не угадали.
[675.47s -> 677.47s]  А что? Бастион.
[677.47s -> 679.47s]  Ну я и тупая.
[679.47s -> 681.47s]  Спасибо большое за нашу дегустацию.
[681.47s -> 683.47s]  За вашу игру.
[683.47s -> 685.47s]  Я должна вам передать амулет.
[685.47s -> 687.47s]  Вы должны этот амулет доставить
[687.47s -> 689.47s]  в парк горный Рускиала.
[689.47s -> 691.47s]  Но чтобы попасть в этот горный парк,
[691.47s -> 693.47s]  вам нужно попасть
[693.47s -> 695.47s]  в следующий ваш бастион.
[695.47s -> 697.47s]  И там вы получите билеты.
[697.47s -> 699.47s]  Будет сделано.
[699.47s -> 701.47s]  На поезд, пожалуйста.
[701.47s -> 703.47s]  Спасибо. Мы что, еще на поезде поедем?
[703.47s -> 705.47s]  Почти.
[705.47s -> 707.47s]  Ты очень чистенький.
[707.47s -> 709.47s]  До свидания.
[709.47s -> 711.47s]  Какой у нас план действий?
[711.47s -> 713.47s]  Я закрыл дверь.
[713.47s -> 715.47s]  Молодец. А теперь за мной.
[715.47s -> 717.47s]  Куда? Никуда.
[717.47s -> 719.47s]  Я не знаю, потому что мы не узнали,
[719.47s -> 721.47s]  куда нам идти.
[721.47s -> 723.47s]  У нас нет никакого четкого плана.
[723.47s -> 725.47s]  Где он?
[725.47s -> 727.47s]  Где-то здесь.
[727.47s -> 729.47s]  Может быть, нам по...
[729.47s -> 731.47s]  Смотри.
[731.47s -> 733.47s]  Это то, на чем мы приехали?
[733.47s -> 735.47s]  По-моему, да.
[735.47s -> 737.47s]  А давай-ка, пока он не уехал,
[737.47s -> 739.47s]  быстренько его...
[739.47s -> 741.47s]  Я представляю, как он сейчас уезжает,
[741.47s -> 743.47s]  а мы такие, подождите, подождите.
[743.47s -> 745.47s]  Это он.
[745.47s -> 747.47s]  Здрасте.
[747.47s -> 749.47s]  Спит просто.
[749.47s -> 751.47s]  Что делаете?
[751.47s -> 753.47s]  На?
[753.47s -> 755.47s]  Ну ладно.
[755.47s -> 757.47s]  Если честно, а если бы не увидели
[757.47s -> 759.47s]  эту машину, мы бы просто ушли.
[759.47s -> 761.47s]  А он бы сидел и ждал.
[761.47s -> 763.47s]  Ну тогда мы садимся, да?
[763.47s -> 765.47s]  Да, вы садитесь, но при одном
[765.47s -> 767.47s]  условии.
[767.47s -> 769.47s]  Вы ответите на все мои вопросы
[769.47s -> 771.47s]  правильно.
[771.47s -> 773.47s]  Один неправильный ответ, я вас высаживаю
[773.47s -> 789.46s]  и вы идете пешком.
[789.46s -> 791.46s]  Ладно, давайте вопрос.
[791.46s -> 793.46s]  В каких трех государствах
[793.46s -> 795.46s]  побывала, сортовала?
[795.46s -> 797.46s]  Россия.
[797.46s -> 799.46s]  Россия, Финляндия и...
[799.46s -> 801.46s]  Это женщина уже говорила.
[801.46s -> 803.46s]  Швеция.
[803.46s -> 805.46s]  Да, правильно.
[805.46s -> 807.46s]  Едем дальше.
[807.46s -> 809.46s]  Точно, помнишь, у нас вопрос был?
[809.46s -> 811.46s]  Шведская селедка.
[811.46s -> 813.46s]  Мы это знали.
[813.46s -> 815.46s]  Второй вопрос
[815.46s -> 817.46s]  называется-то, какое уникальное дерево
[817.46s -> 819.46s]  растет в Карелии?
[819.46s -> 821.46s]  Мы знаем.
[821.46s -> 823.46s]  Дерево называется береза карельская.
[823.46s -> 825.46s]  Правильно.
[825.46s -> 827.46s]  Конечно.
[827.46s -> 829.46s]  Какое море омывает с востока?
[829.46s -> 831.46s]  Море, да, именно море?
[831.46s -> 833.46s]  Конечно.
[833.46s -> 835.46s]  А на какую букву?
[835.46s -> 837.46s]  На Б.
[837.46s -> 839.46s]  Б.
[839.46s -> 841.46s]  Мы едем сейчас
[841.46s -> 843.46s]  в бастион.
[843.46s -> 845.46s]  Танец бастон.
[845.46s -> 847.46s]  Море, оно Б.
[847.46s -> 849.46s]  Белое.
[849.46s -> 851.46s]  Береза карельская.
[851.46s -> 853.46s]  Боревестник.
[853.46s -> 855.46s]  Это конфета.
[855.46s -> 857.46s]  Не белое, Вить.
[857.46s -> 859.46s]  Конечно, не белое. Какое белое море?
[859.46s -> 861.46s]  Все, понятно.
[861.46s -> 863.46s]  Вы не справились, поэтому я вас высаживаю
[863.46s -> 865.46s]  и дальше едете пешком.
[867.46s -> 875.82s]  Ну ладно, придется пердолить.
[882.40s -> 884.40s]  Крепость Черного Медведя представляет
[884.40s -> 886.40s]  собой реконструкцию древнего поселения
[886.40s -> 888.40s]  викингов на Ладожском берегу.
[888.40s -> 890.40s]  Деревянное укрепление со стенами,
[890.40s -> 892.40s]  угловыми башнями и внутренними
[892.40s -> 894.40s]  постройками. Именно тут нашим героям
[894.40s -> 896.40s]  предстоит пройти серию непростых
[896.40s -> 898.40s]  физических испытаний и
[898.40s -> 900.40s]  попробовать стать настоящими
[900.40s -> 902.40s]  скандинавскими викингами.
[902.40s -> 904.40s]  Зайдем сюда, попробуем.
[904.40s -> 906.40s]  Ты думаешь нас сейчас объегает и скажет
[906.40s -> 908.40s]  заходите гости дорогие.
[908.40s -> 910.40s]  Дорогие.
[910.40s -> 912.40s]  Пуньш, пойдем.
[912.40s -> 914.40s]  Кстати, да, пуньш это хорошо.
[914.40s -> 916.40s]  Тебе опленько так должно быть.
[916.40s -> 918.40s]  Здравствуйте.
[926.08s -> 928.08s]  Вот это мы попали.
[928.08s -> 930.08s]  А в какой момент машина
[930.08s -> 932.08s]  времени нас перенесла?
[932.08s -> 934.08s]  Слушай, это прям какой-то романтик.
[934.08s -> 936.08s]  А, это ты меня
[936.08s -> 938.08s]  на свиданку приносила?
[938.08s -> 941.46s]  Да.
[941.46s -> 943.46s]  Гости дорогие, присаживайтесь.
[943.46s -> 945.46s]  Ногах правда нет.
[945.46s -> 947.46s]  Всегда.
[947.46s -> 949.46s]  Скай!
[951.46s -> 953.46s]  Даже девочка.
[953.46s -> 955.46s]  О, похоже так.
[955.46s -> 957.46s]  Естественно.
[957.46s -> 959.46s]  Скай!
[959.46s -> 961.46s]  Давайте,
[961.46s -> 963.46s]  между вторым и третьим перерывчик
[963.46s -> 965.46s]  нет вообще.
[965.46s -> 967.46s]  Давайте, сейчас за любовь.
[967.46s -> 969.46s]  Нет, за милых дам.
[969.46s -> 971.46s]  За милых дам.
[971.46s -> 973.46s]  Это что за приколы?
[973.46s -> 975.46s]  Это что такое?
[975.46s -> 977.46s]  Попадите в яблочко с помощью
[977.46s -> 979.46s]  арбалета, топора и молота.
[979.46s -> 981.46s]  Попадете в яблочко, получите билеты
[981.46s -> 983.46s]  на поезд. Дерзайте,
[983.46s -> 985.46s]  доблестные Женя и Динасик.
[985.46s -> 996.64s]  Перед вами
[996.64s -> 998.64s]  собственно метательный топор.
[998.64s -> 1000.64s]  Это оружие метается практически точно так же,
[1000.64s -> 1002.64s]  как и в прошлом.
[1002.64s -> 1004.64s]  Стоим так же левым боком,
[1004.64s -> 1006.64s]  заносим топор
[1006.64s -> 1008.64s]  над головой, но
[1008.64s -> 1010.64s]  непосредственно целимся
[1010.64s -> 1012.64s]  и метаем.
[1012.64s -> 1014.64s]  Я не хочу это делать!
[1014.64s -> 1016.64s]  Ничего.
[1016.64s -> 1018.64s]  А я хочу.
[1018.64s -> 1020.64s]  Все к вашим услугам.
[1020.64s -> 1022.64s]  Может быть, сделаем следующим образом.
[1022.64s -> 1024.64s]  Я вот это вот,
[1024.64s -> 1026.64s]  а ты все остальное.
[1026.64s -> 1028.64s]  Давай.
[1028.64s -> 1030.64s]  Ставим ногу в стремя,
[1030.64s -> 1032.64s]  орех у нас на нужном месте
[1032.64s -> 1034.64s]  и теперь двумя руками
[1034.64s -> 1036.64s]  параллельно натягиваем тетива.
[1036.64s -> 1038.64s]  Двумя руками, мне нравится орех
[1038.64s -> 1040.64s]  тетива. Взводим арбалет.
[1040.64s -> 1042.64s]  Ноги в сторону людей не входим в случае.
[1042.64s -> 1044.64s]  Все, что доктор прописал.
[1044.64s -> 1046.64s]  Болт вставляем.
[1046.64s -> 1048.64s]  Вставляем болт.
[1048.64s -> 1050.64s]  И целимся в нашу мишень.
[1050.64s -> 1052.64s]  Так, моя мишень, конечно,
[1052.64s -> 1054.64s]  это бывший, но...
[1054.64s -> 1056.64s]  А моя мишель это группа.
[1056.64s -> 1058.64s]  Раз, два...
[1058.64s -> 1060.64s]  Я не буду.
[1060.64s -> 1062.64s]  Три!
[1062.64s -> 1064.64s]  Это круто!
[1064.64s -> 1066.64s]  Это круто!
[1066.64s -> 1068.64s]  Но главное, что желтенькое есть.
[1068.64s -> 1070.64s]  Я бы засчитала.
[1070.64s -> 1072.64s]  Один!
[1072.64s -> 1074.64s]  Три!
[1074.64s -> 1076.64s]  Ну, послушайте!
[1076.64s -> 1078.64s]  Да я все испортил у тебя.
[1078.64s -> 1080.64s]  У меня два попадания в яблочко.
[1080.64s -> 1082.64s]  Понимаете, что это значит?
[1082.64s -> 1084.64s]  А надо было в грейпфрут!
[1084.64s -> 1086.64s]  Ну что ж, я вас верю. Пробуйте.
[1091.49s -> 1093.49s]  Ну ладно, давайте еще разок.
[1093.49s -> 1095.49s]  Да он даже попал
[1095.49s -> 1097.49s]  не тем концом.
[1097.49s -> 1099.49s]  Согласитесь, это довольно весело.
[1099.49s -> 1101.49s]  А это уже между прочим...
[1101.49s -> 1103.49s]  Все, я просто дальше
[1103.49s -> 1105.49s]  кидаем всего.
[1105.49s -> 1107.49s]  Так, давай.
[1107.49s -> 1109.49s]  Не подкручиваем топор,
[1109.49s -> 1111.49s]  стараемся его прямо кинуть.
[1111.49s -> 1113.49s]  Нормально! Это считает я!
[1113.49s -> 1115.49s]  Они дали!
[1115.49s -> 1117.49s]  С меткостью у нас не задалось,
[1117.49s -> 1119.49s]  однако могу предложить альтернативный способ
[1119.49s -> 1121.49s]  решения получения вашего
[1121.49s -> 1123.49s]  токать.
[1123.49s -> 1125.49s]  Я не сбил яблоко.
[1125.49s -> 1127.49s]  Надо пройти испытания
[1127.49s -> 1129.49s]  с помощью молота
[1129.49s -> 1131.49s]  тора.
[1131.49s -> 1133.49s]  Надо разбить этот триклятый арбуз.
[1133.49s -> 1135.49s]  Три... Не буду ждать, понятно.
[1135.49s -> 1137.49s]  Два... Пук!
[1137.49s -> 1139.49s]  Достойно!
[1139.49s -> 1141.49s]  Ну что ж, я считаю,
[1141.49s -> 1143.49s]  что вы справились
[1143.49s -> 1145.49s]  со своим испытанием.
[1145.49s -> 1147.49s]  Вы получили билеты на поезд.
[1147.49s -> 1149.49s]  Поторопитесь, ведь он может уехать
[1149.49s -> 1151.49s]  и без вас...
[1151.49s -> 1153.49s]  Здрасте, здрасте!
[1153.49s -> 1155.49s]  Здравствуйте! А неужели?
[1155.49s -> 1157.49s]  Совесть-то замушила, да?
[1157.49s -> 1159.49s]  Как я вас мог бросить?
[1159.49s -> 1161.49s]  Конечно, я вас заберу!
[1161.49s -> 1163.49s]  Ну тогда поехали!
[1163.49s -> 1165.49s]  Пока он не протрезвел!
[1165.49s -> 1167.49s]  Блин, может, он протрезвел!
[1167.49s -> 1169.49s]  СМЕХ
[1169.49s -> 1171.49s]  Оп!
[1171.49s -> 1173.49s]  Уверяем! И вперед!
[1173.49s -> 1179.87s]  Спасибо!
[1179.87s -> 1181.87s]  Спасибо большое!
[1181.87s -> 1183.87s]  Куда?
[1183.87s -> 1185.87s]  Уверена? Да, конечно!
[1185.87s -> 1187.87s]  Так...
[1187.87s -> 1189.87s]  Подожди!
[1189.87s -> 1191.87s]  Тихо!
[1191.87s -> 1193.87s]  Тихо!
[1193.87s -> 1195.87s]  Так...
[1195.87s -> 1197.87s]  Куда?
[1197.87s -> 1199.87s]  А, сюда!
[1201.87s -> 1203.87s]  Рускеальский экспресс
[1203.87s -> 1205.87s]  – туристический ретропоезд
[1205.87s -> 1207.87s]  на паровозной тяге,
[1207.87s -> 1209.87s]  курсирующий по маршруту
[1209.87s -> 1211.87s]  сортовала горный парк Рускеала.
[1211.87s -> 1213.87s]  Интерьер вагонов выполнен
[1213.87s -> 1215.87s]  в оригинальном дизайне
[1215.87s -> 1217.87s]  Николаевского экспресса
[1217.87s -> 1219.87s]  У-у-у!
[1219.87s -> 1221.87s]  Мы успели!
[1221.87s -> 1223.87s]  Это реально круто!
[1223.87s -> 1225.87s]  Здесь все такое старинное
[1225.87s -> 1227.87s]  И мне очень интересно
[1227.87s -> 1229.87s]  в вагоне-ресторане
[1229.87s -> 1231.87s]  тоже какие-то яства
