[0.00s -> 2.00s]  Стрелять так стрелять глазками!
[237.55s -> 239.55s]  А вы знаете такое праздник 23 февраля?
[239.55s -> 240.55s]  Да, конечно.
[240.55s -> 242.55s]  Конечно, это мужской день у нас, день мужчины.
[242.55s -> 244.55s]  Вы как-то будете отмечать?
[254.55s -> 257.55s]  Тут есть большая выставка военной техники.
[257.55s -> 261.55s]  Ну, во-первых, она платная, а во-вторых, находится под открытым небом.
[261.55s -> 265.55s]  И хоть на ней и представлено более 300 образцов военной техники,
[265.55s -> 268.55s]  лучше мы приедем туда, когда будет потеплее.
[268.55s -> 275.62s]  В музее военной техники вы сможете встретить танки,
[275.62s -> 277.62s]  как немецкие, так и наши.
[277.62s -> 279.62s]  На некоторые из них даже разрешается забраться.
[279.62s -> 283.62s]  Зенитки, машины амфибий, самолеты-истребители, военные корабли и многое другое.
[283.62s -> 285.62s]  Но все это уже за деньги.
[285.62s -> 288.62s]  А как вы считаете, можно здесь выходной свой провести?
[288.62s -> 292.62s]  Место какое-то, кроме этих ворот, думаю, ничего особенного.
[292.62s -> 295.62s]  Может быть, летом, но не 23 февраля.
[295.62s -> 297.62s]  А почему бы и нет? Можно, конечно.
[297.62s -> 301.62s]  Ну, здесь, мне кажется, отчасти, ну, конечно, можно.
[301.62s -> 305.62s]  Для того, чтобы гулять здесь с любимым, не забудьте укутать своего защитника.
[305.62s -> 309.62s]  Взять с собой термо с теплым чаем и пауэрбэн для телефона.
[309.62s -> 313.62s]  Чтобы совсем тут не околеть и сделать множество мужественных снимков.
[328.47s -> 331.47s]  Ну, Поклонная гора, это, конечно, символично.
[331.47s -> 334.47s]  Но, мне кажется, на 23 февраля в Москве будут места поинтереснее.
[334.47s -> 338.47s]  Для празднования 23 февраля я ставлю 4 из 10.
[338.47s -> 342.47s]  Да и зимой тут слишком много пространства, ходит ветра и достаточно холодно.
[342.47s -> 346.47s]  Так что мы вердит 6 из 10. Вернемся сюда летом.
[347.47s -> 349.47s]  Ну, сейчас, по-моему, здесь не очень весело.
[349.47s -> 352.47s]  Но, в принципе, в парке Горького лучше.
[352.47s -> 355.47s]  В парке Горького лучше? Все хорошо, тогда в парк Горького.
[355.47s -> 358.47s]  За деньги вы можете купить парню носки, духи и зеленые шарики.
[358.47s -> 362.47s]  А можете подарить впечатления, которые останутся с ним на долгие годы.
[362.47s -> 364.47s]  Вам повезло. С вами я, Ташей.
[364.47s -> 366.47s]  И я выбрала приключения с демократичными ценами.
[366.47s -> 368.47s]  Так что можно подарить и то, и другое.
[368.47s -> 371.47s]  Развлечения за деньги точно будут тепле.
[371.47s -> 374.47s]  Например, можно сходить на картинг. Их в Москве много.
[374.47s -> 379.47s]  И цены там варьируются от 600 до 1400 рублей за двухместный кар.
[379.47s -> 382.47s]  Плюс все зависит от удаленности и качества трассы.
[382.47s -> 384.47s]  Также можно подарить защитнику дерева.
[384.47s -> 388.47s]  Ну, точнее, сертификат за 2000 рублей на 200 саженцев,
[388.47s -> 390.47s]  которые он весной сможет посадить.
[390.47s -> 393.47s]  22 и 23 февраля в Крокус-Сити-Холле
[393.47s -> 396.47s]  даст традиционный концерт группа Любэ.
[396.47s -> 398.47s]  В праздничной юбилейной программе
[398.47s -> 401.47s]  самые душевные, теплые и патриотичные работы коллектива.
[401.47s -> 404.47s]  Кстати, в этом году солист празднует 65 лет.
[404.47s -> 408.47s]  Но если даже ваш мужчина не служил, он должен уметь защищать вас.
[408.47s -> 411.47s]  «Любить так любить, стрелять так стрелять»
[411.47s -> 413.47s]  пелось в одной известной песне.
[413.47s -> 417.47s]  Так что если ваш молодой человек настоящий, а не вымышленный, как у меня,
[417.47s -> 420.47s]  то можно было бы его сводить в тир и пострелять от души.
[420.47s -> 422.47s]  В Москве есть разные тиры,
[422.47s -> 426.47s]  где стреляют из пневматического оружия, из лука и даже из арбалет.
[426.47s -> 431.85s]  Мы пришли на улицу Правды 24, корпус 3,
[431.85s -> 433.85s]  для того чтобы посетить тир.
[433.85s -> 435.85s]  Время пострелять! Пу-пу!
[435.85s -> 438.85s]  Этот тир включает четыре галереи по 20 метров.
[438.85s -> 440.85s]  Оборудованы мишени типа биатлон
[440.85s -> 442.85s]  с автоматической мишенной установкой
[442.85s -> 444.85s]  и подачей классической бумажной мишени
[444.85s -> 447.85s]  на дистанцию 5, 10, 15 и 20 метров.
[447.85s -> 449.85s]  Для отработки стрельбы на скорость.
[449.85s -> 452.85s]  Место стрелка оборудовано пристрелочным столом,
[452.85s -> 454.85s]  которое удобно как для правши, так и для левши.
[454.85s -> 457.85s]  В тире стрельба ведется из пневмонических винтовок,
[457.85s -> 459.85s]  калибров 4,5 и 5,5 миллиметров,
[459.85s -> 461.85s]  с открытым и оптическим прицелом,
[461.85s -> 463.85s]  а также из пневмонических пистолетов.
[463.85s -> 467.85s]  Конечно, вам никто не разрешит сюда забегать со своим пистолетом и стрелять.
[467.85s -> 469.85s]  Здесь есть опытные мастера,
[469.85s -> 472.85s]  которые покажут и обучат вас разным видам оружия.
[472.85s -> 474.85s]  Ну а если вы их не будете слушаться,
[474.85s -> 476.85s]  хотя стоп, как это вы не будете слушаться?
[476.85s -> 478.85s]  У них же есть оружие!
[478.85s -> 480.85s]  Расскажи, пожалуйста, про ваш тир.
[480.85s -> 484.85s]  Чем он отличается от серьезных тиров, где стреляют из огнестрела?
[484.85s -> 486.85s]  У нас развлекательная стрельба.
[486.85s -> 488.85s]  Сюда можно прийти с детьми, с пожилыми людьми,
[488.85s -> 490.85s]  с девушками, которые первый раз стреляют,
[490.85s -> 492.85s]  с людьми, которые не имели дело с оружием
[492.85s -> 494.85s]  и научиться оружейной культуре.
[494.85s -> 497.85s]  Тут можно как раз на человека этот пистолет направлять.
[497.85s -> 499.85s]  Даже если у вас деревянный макет пистолета,
[499.85s -> 501.85s]  всегда палец на запорной раме
[501.85s -> 504.85s]  и оружие смотрит только туда, куда планируете стрелять.
[504.85s -> 507.85s]  А по умолчанию заряжено, даже если вы знаете, что это не так.
[507.85s -> 508.85s]  Другие-то не знают.
[508.85s -> 510.85s]  И могут разбежаться и испугаться.
[510.85s -> 512.85s]  Раз в две недели, может быть, раз в месяц.
[512.85s -> 515.85s]  И уже метко стреляетесь? Зачем вы этому учитесь?
[515.85s -> 518.85s]  Ну это очень интересно, очень расслабляет, на самом деле.
[518.85s -> 520.85s]  То есть можно отвлечься от своих каких-то проблем.
[520.85s -> 522.85s]  Кто это за кубки?
[522.85s -> 525.85s]  Можно купить себе, например, и стать самым крутым стрелком сходу?
[525.85s -> 527.85s]  Нет, самым крутым стрелком нельзя стать.
[527.85s -> 529.85s]  Без тренировок, без регулярных посещений тира.
[529.85s -> 531.85s]  Это у нас чисто турниры проходят.
[531.85s -> 533.85s]  А как выглядят турниры? Что там обычно?
[533.85s -> 534.85s]  Таксный тур, как и обычно.
[534.85s -> 536.85s]  Люди стреляют, стреляют, стреляют в свое удовольствие,
[536.85s -> 538.85s]  а потом идет подсчет результатов.
[538.85s -> 540.85s]  Сколько ты отстрелял, сколько баллов набрал,
[540.85s -> 542.85s]  сколько раз в десятку попал.
[542.85s -> 544.85s]  Если это большое количество, вы получаете первое место
[544.85s -> 546.85s]  и, соответственно, кубок и приз.
[546.85s -> 548.85s]  Вы до этого стреляли вообще когда-нибудь?
[548.85s -> 550.85s]  Вы помните свой первый раз?
[550.85s -> 553.85s]  Да, это было в деревне. У деда была мелкашка, ружье вот такое.
[553.85s -> 556.85s]  Как бы по деревьям стреляли, но на самом деле там сидели сороки.
[556.85s -> 558.85s]  И немножечко туда согнали их.
[558.85s -> 561.85s]  А вот сколько нужно сюда ходить и учиться,
[561.85s -> 563.85s]  со 100 метров белку в глаз можно было.
[563.85s -> 565.85s]  Смотря из чего?
[565.85s -> 567.85s]  Из травмата можно.
[567.85s -> 569.85s]  Это дорого, во-первых. Незаконно.
[569.85s -> 571.85s]  Но если попадать, то за месяц можно научиться.
[571.85s -> 573.85s]  Главное регулярно.
[573.85s -> 575.85s]  Берем не белок, а мишени какие-нибудь.
[575.85s -> 577.85s]  Сколько мне нужно, чтобы попасть в яблочко?
[577.85s -> 579.85s]  Регулярно. Дни пять неделю, как минимум.
[579.85s -> 581.85s]  Вы можете знать теории идеально, как стрелять,
[581.85s -> 583.85s]  быть теорией Клинта Мистлдом,
[583.85s -> 585.85s]  который за одну секунду поражает любую мишень.
[585.85s -> 587.85s]  Но на практике все будет совершенно иначе.
[587.85s -> 589.85s]  Вы будете знать, как стоять, как стрелять.
[589.85s -> 591.85s]  Но в реальности стрелять вам это не поможет.
[591.85s -> 593.85s]  Вы должны ставить руку, ставить стойку,
[593.85s -> 595.85s]  ставить позу, знать, как прицеливаться,
[595.85s -> 597.85s]  знать, как нажимать на спусковой ключок.
[597.85s -> 599.85s]  Знать, как выглядит пистолет.
[599.85s -> 601.85s]  Знать, как выглядит пистолет.
[601.85s -> 603.85s]  А тут из ножа выстрелить.
[603.85s -> 605.85s]  Не бояться пистолета.
[605.85s -> 607.85s]  Как вы считаете, здесь можно провести свой выходной?
[607.85s -> 609.85s]  Если взять себе пиццы.
[609.85s -> 611.85s]  На целый день, наверное, рука все-таки устанет,
[611.85s -> 613.85s]  если стрелять.
[613.85s -> 615.85s]  И можно, наверное, потом уже с ней будет попрощаться.
[615.85s -> 617.85s]  Но в целом, на пару часов,
[617.85s -> 619.85s]  я думаю, занятия найдется.
[619.85s -> 621.85s]  Насколько я понимаю,
[621.85s -> 623.85s]  не только у вас из пистолета здесь стреляют,
[623.85s -> 625.85s]  а еще и метают ножи.
[625.85s -> 627.85s]  И, насколько я знаю, есть лук из Marvel.
[627.85s -> 629.85s]  Это и лук, и арбалеты спортивные.
[629.85s -> 631.85s]  И не только метание ножей.
[631.85s -> 633.85s]  Стройбольное оружие даже.
[633.85s -> 635.85s]  Автомат, интерактивный тир.
[635.85s -> 637.85s]  Тогда пойдем смотреть, что у нас здесь.
[637.85s -> 639.85s]  Рассказывай, что у вас здесь есть
[639.85s -> 641.85s]  за места, куда можно пострелять.
[641.85s -> 643.85s]  Я смотрю, здесь какие-то банки, бутылки, птички.
[643.85s -> 645.85s]  Это наш храм.
[645.85s -> 647.85s]  Там у нас есть закрытая зона,
[647.85s -> 649.85s]  где люди стреляют либо из своего оружия,
[649.85s -> 651.85s]  либо из нашего оружия прокатного.
[651.85s -> 653.85s]  Это пневматическая винтовка
[653.85s -> 655.85s]  с оптическим прицелом.
[655.85s -> 657.85s]  Там закрытая темная зона.
[657.85s -> 659.85s]  Очень удобно поражать биатлонные мишени
[659.85s -> 661.85s]  либо свои мишени бумажные.
[661.85s -> 663.85s]  Там у нас зонами стрельбы из метательного оружия.
[663.85s -> 665.85s]  То есть, луки и арбалеты.
[665.85s -> 667.85s]  А вот это далеко, которое находится?
[667.85s -> 669.85s]  Туда стреляют спортсмены,
[669.85s -> 671.85s]  которые приходят со своими спортивными луками.
[671.85s -> 673.85s]  Олимпийская дистанция 18 метров в данный момент.
[673.85s -> 675.85s]  А у вас какие-то известные спортсмены занимаются?
[675.85s -> 677.85s]  Известно, к сожалению, нет.
[677.85s -> 679.85s]  Но в узких кругах они действительно известны.
[679.85s -> 681.85s]  Я никогда в жизни не стреляла,
[681.85s -> 683.85s]  если только глазками.
[683.85s -> 685.85s]  Но тут, видимо, придется делать все по-настоящему.
[696.55s -> 698.55s]  Мы пальцем придерживаем кольцо, чтобы он не выпадал.
[698.55s -> 700.55s]  Когда мы натягиваем тетиву,
[700.55s -> 702.55s]  лук просто упирается вам в руку.
[702.55s -> 704.55s]  Вы как будто держите супостат,
[704.55s -> 706.55s]  а чтобы он на вас не напался.
[706.55s -> 708.55s]  Вот у меня лук.
[708.55s -> 710.55s]  Берем стрелу,
[710.55s -> 712.55s]  вставляем на полочку
[712.55s -> 714.55s]  и оперением вот этой штукой
[714.55s -> 716.55s]  на метку вот сюда.
[716.55s -> 718.55s]  Левую руку вытягиваем вперед, она прямая.
[718.55s -> 720.55s]  И тремя пальцами под стрелой
[720.55s -> 722.55s]  вытягиваем правую руку к лицу,
[722.55s -> 724.55s]  прижимаем ее к лицу.
[724.55s -> 726.55s]  Правым глазом смотрим сквозь тетиву,
[726.55s -> 728.55s]  это в качестве целика.
[728.55s -> 730.55s]  Смотрим на наконечник стрелы.
[730.55s -> 732.55s]  Направляем в центр любое мишение, можно в кабана,
[732.55s -> 734.55s]  и отпускаем тетиву.
[734.55s -> 736.55s]  Рука остается здесь.
[736.55s -> 738.55s]  Это вот так, как супостата.
[738.55s -> 740.55s]  Я запомнила про супостата.
[740.55s -> 742.55s]  Не отпускаем тетиву без стрелы,
[742.55s -> 744.55s]  иначе вся энергия передаста в плечи,
[744.55s -> 746.55s]  а не в стрелу.
[746.55s -> 748.55s]  Почти попала в кабана.
[748.55s -> 750.55s]  Это сложно, ребята.
[750.55s -> 752.55s]  Еще бы.
[752.55s -> 754.55s]  Здесь полная гармония с телом.
[754.55s -> 756.55s]  Ты сказал, что некоторые приносят свое оружие.
[756.55s -> 758.55s]  А вообще кто-то приносил свое оружие?
[758.55s -> 760.55s]  Были моменты, когда
[760.55s -> 762.55s]  я завтра своим пистолетом,
[762.55s -> 764.55s]  автоматом, не знаю, с базукой.
[764.55s -> 766.55s]  Частенько звонят те, кто хочет
[766.55s -> 768.55s]  прийти пострелять со своим оружием.
[768.55s -> 770.55s]  Но они не знают, что у нас пневматический тир.
[770.55s -> 772.55s]  И с огнестрельным оружием сюда прийти,
[772.55s -> 774.55s]  во-первых, дурной тон, во-вторых,
[774.55s -> 776.55s]  запрещено законом.
[776.55s -> 778.55s]  То есть ты приходишь и говоришь,
[778.55s -> 780.55s]  это моя малышка, я ее люблю, детство.
[780.55s -> 782.55s]  Конечно. Приходят такие люди,
[782.55s -> 784.55s]  они стреляют в отдельные зоны,
[784.55s -> 786.55s]  стреляют по своим мишенькам и своих винтовок,
[786.55s -> 788.55s]  пристреливаются, тренируются.
[788.55s -> 790.55s]  Сколько мне здесь в свой выходной надо оставить денег?
[790.55s -> 792.55s]  Хотите попробовать из всего понемножку?
[792.55s -> 794.55s]  1490. Научитесь метать ножи,
[794.55s -> 796.55s]  стрелять из лука правильно,
[796.55s -> 798.55s]  стрелять из арбалета. Где вы еще это попробуете?
[798.55s -> 800.55s]  Как вы собираетесь праздновать 23 февраля?
[800.55s -> 802.55s]  И возможно ли здесь его праздновать?
[802.55s -> 804.55s]  Вам бы было приятно, если бы девушка вас в тир отвела на 23?
[804.55s -> 806.55s]  Ну, в принципе, можно
[806.55s -> 808.55s]  рассматривать такую возможность.
[808.55s -> 810.55s]  Вполне, если еще и чипсы подарим.
[810.55s -> 812.55s]  Будет вообще классно.
[812.55s -> 814.55s]  Какие ребята? А главное меткие, понимаете?
[814.55s -> 816.55s]  С ними лучше не это.
[816.55s -> 818.55s]  На 23 число у вас будут какие-то акции?
[818.55s -> 820.55s]  Расскажи, кстати, потому что
[820.55s -> 822.55s]  как раз эта программа выходит к 23,
[822.55s -> 824.55s]  и мы призываем всех женщин
[824.55s -> 826.55s]  отвести мужчин в тир, чтобы он там выпустил парку.
[826.55s -> 828.55s]  Еще бы, конечно.
[828.55s -> 830.55s]  У нас на 23 февраля, это один из самых основных дней,
[830.55s -> 832.55s]  где люди проводят
[832.55s -> 834.55s]  свои досы. Потому что
[834.55s -> 836.55s]  из огнестрельного оружия у нас пострелять в России
[836.55s -> 838.55s]  довольно сложно, даже из легальных
[838.55s -> 840.55s]  тирах, а у нас здесь можно вполне
[840.55s -> 842.55s]  спокойно. Проводятся турниры,
[842.55s -> 844.55s]  различные акции, том числе
[844.55s -> 846.55s]  и скидки есть, чтобы люди
[846.55s -> 848.55s]  приходили, стреляли.
[848.55s -> 850.55s]  Я могу своего парня сюда привезти?
[850.55s -> 852.55s]  Конечно. Бонвояж.
[852.55s -> 854.55s]  Осталось найти парня, друзья мои.
[854.55s -> 856.55s]  Вы здесь первый раз? Да, мне
[856.55s -> 858.55s]  Новый год подарил.
[858.55s -> 860.55s]  И как вам нравится?
[862.55s -> 864.55s]  Да, стрелок из меня, конечно, такой себе.
[864.55s -> 866.55s]  Ну что, посмотрим, получится ли у вашего
[866.55s -> 868.55s]  мужчины лучше на 23 февраля.
[868.55s -> 870.55s]  Для празднования
[870.55s -> 872.55s]  23 февраля это просто идеальное место.
[872.55s -> 874.55s]  Тут вы увидите, как у мужчины
[874.55s -> 876.55s]  загорелись глаза. Ведь в душе
[876.55s -> 878.55s]  каждого мужчины маленький ребенок,
[878.55s -> 880.55s]  который как певец нелетов все время
[880.55s -> 882.55s]  хочет пострелять. Но тут довольно шумно
[882.55s -> 884.55s]  и, конечно, весь день тут не проведешь.
[884.55s -> 886.55s]  Наша оценка 7 из 10.
[886.55s -> 888.55s]  Но для 23 февраля это
[888.55s -> 890.55s]  идеальное место.
