[5.17s -> 7.17s]  Блин, мы протеста забыли
[298.64s -> 300.64s]  Наверное, ну, кавказскую музыку
[300.64s -> 302.64s]  С какими-то мотивами
[302.64s -> 304.64s]  Она больше всего подходит
[304.64s -> 306.64s]  Мне кажется, что такой туториал бы получился вообще
[306.64s -> 308.64s]  Чтобы настроение поймать
[308.64s -> 310.64s]  Ну конечно, какую еще музыку поставить
[310.64s -> 312.64s]  По химкалу можно
[312.64s -> 314.64s]  Типа янг тага
[314.64s -> 316.64s]  Слушай, а почему нет?
[316.64s -> 318.64s]  Вдруг кому-то самый рас
[318.64s -> 320.64s]  Не, ну кому-то может самый рас, но мне кажется, вряд ли
[320.64s -> 322.64s]  Такое можно увидеть в живой природе
[322.64s -> 324.64s]  Да и в принципе, то есть
[325.12s -> 327.12s]  Кавказские этнические мотивы
[327.12s -> 329.12s]  То есть там даже исполнителей не обязательно знать
[329.12s -> 331.12s]  Их как бы и возможно и нет
[331.12s -> 333.12s]  Это просто как группа людей, музыкантов
[333.12s -> 335.12s]  Но в Сан-Клауде куча вообще таких песен
[335.12s -> 337.12s]  Ребят, в общем, если вы дошли до этого момента
[337.12s -> 339.12s]  Обязательно смотрите в комментариях
[339.12s -> 341.12s]  Там составлен плейлист из этнической музыки
[341.12s -> 343.12s]  Который подойдет вам прекрасно
[343.12s -> 345.12s]  Под готовку химкала
[345.12s -> 347.12s]  И явно скрасит этот процесс
[347.12s -> 349.12s]  А мы продолжаем, Арсен
[349.12s -> 351.12s]  Чем мне тебе сейчас помочь?
[351.12s -> 353.12s]  Так, во-первых, нарезать огурцы
[353.60s -> 355.60s]  Можно их очистить от кожи
[355.60s -> 357.60s]  И просто резать
[357.60s -> 359.60s]  Кругляшочками такими
[359.60s -> 361.60s]  Главное противостояние
[361.60s -> 363.60s]  Двух титанов, можно сказать
[363.60s -> 365.60s]  Индустрии сейчас это Drake и Kanye
[365.60s -> 367.60s]  Donda и Certify Loverboy
[367.60s -> 369.60s]  На твой взгляд, кто из них
[369.60s -> 371.60s]  Сделал в 2021 году лучше?
[371.60s -> 373.60s]  Kanye
[373.60s -> 375.60s]  Да безусловно
[375.60s -> 377.60s]  Kanye музыкант, Kanye действительно
[377.60s -> 379.60s]  Новаторы и творческая личность
[379.60s -> 381.60s]  И очень круто, что за что бы он
[381.60s -> 383.60s]  Не брался, будь то кроссовки
[383.60s -> 385.60s]  Музыка
[385.60s -> 387.60s]  Сам продюсинг
[387.60s -> 389.60s]  Все это получается очень круто
[389.60s -> 391.60s]  И мне кажется, что у нас в России
[391.60s -> 393.60s]  Очень сильно любит Drake
[393.60s -> 395.60s]  Очень много рэперов все время про него ловит
[395.60s -> 397.60s]  Я думаю, что его в мейнстриме просто любят
[397.60s -> 399.60s]  Короче Drake, знаешь, он похож на
[399.60s -> 401.60s]  Американского Тимати
[401.60s -> 403.60s]  Просто который делает
[403.60s -> 405.60s]  Хорошую музыку
[405.60s -> 407.60s]  Такой же мемный, такой же смешной
[407.60s -> 409.60s]  Берет под себя
[409.60s -> 411.60s]  Трендовую музыку
[411.60s -> 413.60s]  Как-то немного видоизменяет ее
[413.60s -> 415.60s]  И поэтому скорее всего остается на волне
[415.60s -> 417.60s]  Drake, как по мне
[417.60s -> 419.60s]  Коммерс
[419.60s -> 421.60s]  До всех клеток
[421.60s -> 423.60s]  И можно сказать
[423.60s -> 425.60s]  Самый финансово успешный музыкант
[425.60s -> 427.60s]  Слушай, мне
[427.60s -> 429.60s]  Это ни о чем не говорит
[429.60s -> 431.60s]  Так пойдет или меньше?
[431.60s -> 433.60s]  Да, нормально
[433.60s -> 435.60s]  Как говорится, на каждого Drake найдется свой Kendrick
[435.60s -> 437.60s]  Наливаем сюда пасту
[439.60s -> 441.60s]  Так, а мне салат
[441.60s -> 443.60s]  Продолжать еще?
[443.60s -> 445.60s]  Да, салатница большая
[445.60s -> 447.60s]  Но на самом деле не тот и не этот альбом
[447.60s -> 449.60s]  Я бы не назвал альбомом года
[449.60s -> 451.60s]  А какой альбом для тебя стал альбомом года?
[451.60s -> 453.60s]  Есть такой дуэт Silk Sonic
[453.60s -> 455.60s]  Это дуэт Андерсона Пака и Бруно Марса
[455.60s -> 457.60s]  И они вот недавно выпустили
[457.60s -> 459.60s]  Совсем альбом, закрыли, так сказать
[459.60s -> 461.60s]  Я не думаю, что в этом году выйдет что-то интереснее
[461.60s -> 463.60s]  А ты, кстати, никогда не задумывался, что
[463.60s -> 465.60s]  А Андерсон Пак
[465.60s -> 467.60s]  Помидоры
[467.60s -> 469.60s]  У меня на экране стоит
[469.60s -> 471.60s]  Андерсон Пак звучит
[471.60s -> 473.60s]  Именно его тембр голоса
[473.60s -> 475.60s]  И в каких-то моментах манеры исполнения
[475.60s -> 477.60s]  Очень на Кендрика похожа
[477.60s -> 479.60s]  Да, есть такой момент
[479.60s -> 481.60s]  Он фанковый артист, у него и фиты с Кендриком есть
[481.60s -> 483.60s]  Но для начала его Drake запускал
[483.60s -> 485.60s]  Да, да, да
[485.60s -> 487.60s]  Я больше все-таки за более
[487.60s -> 489.60s]  Осознанную музыку, в которой можно покопаться
[489.60s -> 491.60s]  Мне всегда интересно
[491.60s -> 493.60s]  Интересные ходы
[493.60s -> 495.60s]  Крутой звук, уникальный
[495.60s -> 497.60s]  Артист хочет сказать что-то большее, чем что он крутой
[497.60s -> 499.60s]  Так, у нас вода уже закипела
[499.60s -> 501.60s]  Теперь можно ее
[501.60s -> 503.60s]  Подсолить
[503.60s -> 505.60s]  Я пока с мусором разберусь
[505.60s -> 507.60s]  И все же
[507.60s -> 509.60s]  И бросить туда курицу
[509.60s -> 511.60s]  И все же, вернувшись к вопросу Drake и Kanye
[511.60s -> 513.60s]  Они же
[513.60s -> 515.60s]  Мощные курицы получились
[515.60s -> 517.60s]  Они же недавно помирились, да?
[517.60s -> 519.60s]  Да, я видел
[519.60s -> 521.60s]  Такое ощущение, как будто бы это
[521.60s -> 523.60s]  Биф высосанный из пальца
[523.60s -> 525.60s]  Сейчас мы будем очистить чеснок
[525.60s -> 527.60s]  Будем готовить гарнир
[527.60s -> 529.60s]  Так сказать из чеснока
[529.60s -> 531.60s]  Буквально нужно пол
[531.60s -> 533.60s]  Я для чего вообще завел разговор о бифах
[533.60s -> 535.60s]  Для Kanye эта тема же
[535.60s -> 537.60s]  Не впервой
[537.60s -> 539.60s]  Ты наверняка должен помнить историю их
[539.60s -> 541.60s]  Конфликта с 50 Cent
[541.60s -> 543.60s]  Когда и один и другой
[543.60s -> 545.60s]  Да 50 Cent на самом деле
[545.60s -> 547.60s]  Тоже такой провокатор
[547.60s -> 549.60s]  Он все время над кем-то угорает
[549.60s -> 551.60s]  Я его обожаю, у него Instagram
[551.60s -> 553.60s]  И среди рэперов
[553.60s -> 555.60s]  Не просто заливают уже
[555.60s -> 557.60s]  Как-то почувают на лаврах
[557.60s -> 559.60s]  Они уже легенды
[559.60s -> 561.60s]  И заливают угарные видосы
[561.60s -> 563.60s]  Они взрослые, дядьки, которые просто угорают
[563.60s -> 565.60s]  Отходя от темы
[565.60s -> 567.60s]  Я недавно смотрел интервью The Game
[567.60s -> 569.60s]  И он рассказывал, что 8 лет назад
[569.60s -> 571.60s]  Они с 50 Cent около студии
[571.60s -> 573.60s]  Перестреливались
[573.60s -> 575.60s]  Они стреляли в друг друга
[575.60s -> 577.60s]  Они друг друга стреляли
[577.60s -> 579.60s]  Это плохо, это агрессивно
[579.60s -> 581.60s]  Но вот это как бы разборки
[581.60s -> 583.60s]  Это реально не на словах
[583.60s -> 585.60s]  Как я недавно прочитал комментарий
[585.60s -> 587.60s]  Чувак написал, что раньше рэперы
[587.60s -> 589.60s]  Были гангстерами и занимались рэпом
[589.60s -> 591.60s]  Чтобы заработать деньги
[591.60s -> 593.60s]  А сейчас рэперы делают рэп
[593.60s -> 595.60s]  Чтобы казаться гангстерами
[595.60s -> 597.60s]  А как тебе Джои Бедес?
[597.60s -> 599.60s]  У него вот этот альбом
[599.60s -> 601.60s]  На котором Дива Стейтен
[601.60s -> 603.60s]  Но у меня любимый его альбом
[603.60s -> 605.60s]  Это все-таки
[605.60s -> 607.60s]  Where Chris Conscious
[607.60s -> 609.60s]  Там, где он в клипе левитирует
[609.60s -> 611.60s]  Вот так вот поднимается
[611.60s -> 613.60s]  Вот это очень круто
[613.60s -> 615.60s]  Paper Trails
[615.60s -> 617.60s]  И так далее
[617.60s -> 619.60s]  Вот это очень круто
[619.60s -> 621.60s]  Но я очень люблю Бедеса
[621.60s -> 623.60s]  А, у него вот еще альбом
[623.60s -> 625.60s]  Где песня Shine
[625.60s -> 627.60s]  И пиха у него выходила
[627.60s -> 629.60s]  Гениальная, вообще очень крутая
[629.60s -> 631.60s]  Не видел?
[631.60s -> 633.60s]  Нет, давно его не слушал
[633.60s -> 635.60s]  После как раз American KKK
[635.60s -> 637.60s]  После этого альбома
[637.60s -> 639.60s]  Я уже навья у него не слышал
[639.60s -> 641.60s]  А вот наоборот
[641.60s -> 643.60s]  То, что было пораньше
[643.60s -> 645.60s]  Первый, по-моему, альбом Before the Money
[645.60s -> 647.60s]  Он как раз был очень сильный
[647.60s -> 649.60s]  А еще есть такой чувак
[649.60s -> 651.60s]  Его зовут Nick Grant
[651.60s -> 653.60s]  Слышал?
[653.60s -> 655.60s]  Он прям, знаешь
[655.60s -> 657.60s]  Если его сравнивать с кем-нибудь из старичков
[657.60s -> 659.60s]  Это чистой воды нас
[659.60s -> 661.60s]  Они прям очень сильно похожи
[661.60s -> 663.60s]  У нас крутой альбом вышел
[663.60s -> 665.60s]  Не видел?
[665.60s -> 667.60s]  Я слушал
[667.60s -> 669.60s]  Он очень неплохой
[669.60s -> 671.60s]  Я был на концерте НАСА
[671.60s -> 673.60s]  Когда был чемпионат мира в Москве
[673.60s -> 675.60s]  Он приезжал
[675.60s -> 677.60s]  Но я в этот момент чувствовал, как Песюха на концерте Крида
[677.60s -> 679.60s]  Я орал там просто
[679.60s -> 681.60s]  Как только мог
[681.60s -> 683.60s]  Это было очень сильно
[683.60s -> 685.60s]  Так
[685.60s -> 687.60s]  Добавляем специй
[687.60s -> 691.30s]  В каски
[691.30s -> 693.30s]  Красиво смотрится
[693.30s -> 695.30s]  Вот эта тема
[695.30s -> 697.30s]  Больше всего запах такой
[697.30s -> 699.30s]  Создает вкуснейшее вообще
[699.30s -> 701.30s]  Это тесто
[701.30s -> 703.30s]  Но вот эти приправы, подливы
[703.30s -> 705.30s]  Они прям делают свое дело
[705.30s -> 707.30s]  А как ты обозначаешь свои личные границы?
[707.30s -> 709.30s]  Основная часть моей фан базы
[709.30s -> 711.30s]  Очень воспитанная и культурная
[711.30s -> 713.30s]  Потому что я очень сильно прорабатываю этот момент
[713.30s -> 715.30s]  Я веду свой телеграм канал
[715.30s -> 717.30s]  Подписывайтесь на мой телеграм канал
[717.30s -> 719.30s]  То есть там не просто какие-то там
[719.30s -> 721.30s]  Вот я залил историю для поддержки песни
[721.30s -> 723.30s]  Там выкладываете все
[723.30s -> 725.30s]  И не постоянное общение в кружочках
[725.30s -> 727.30s]  Я туда выкладываю, грубо говоря
[727.30s -> 729.30s]  Свои рецензии на книги, на фильмы
[729.30s -> 731.30s]  На альбомы рассказываю
[731.30s -> 733.30s]  Потому что, ну я понимаю, что у нас культура
[733.30s -> 735.30s]  В принципе очень плохо развита
[735.30s -> 737.30s]  И культура кино
[737.30s -> 739.30s]  И очень мало насмотренности, наслушанности у людей
[739.30s -> 741.30s]  Вот, и я прям туда выкладываю
[741.30s -> 743.30s]  Ну, пока что по верхам прохожусь
[743.30s -> 745.30s]  Выкладываю самые легендарные альбомы
[745.30s -> 747.30s]  Там от Тупака до Элтона Джона
[747.30s -> 749.30s]  Вот, и делюсь
[749.30s -> 751.30s]  Говорю вот так, так
[751.30s -> 753.30s]  А у тебя есть, кстати
[753.30s -> 755.30s]  Самый любимый альбом в жизни?
[755.30s -> 757.30s]  Наверное, это To Pimp a Butterfly
[757.30s -> 759.30s]  Гендрика
[759.30s -> 761.30s]  Так, хороший еще выбор
[761.30s -> 763.30s]  А если я такой же вопрос, тебе задам только с песней
[763.30s -> 765.30s]  Любимая песня?
[765.30s -> 767.30s]  Да, одна вот единственная
[767.30s -> 769.30s]  All Right тоже с этого альбома, наверное
[769.30s -> 771.30s]  Еще я бы назвал
[771.30s -> 773.30s]  У NNV есть такая группа
[773.30s -> 775.30s]  Марик, привет
[775.30s -> 777.30s]  Это моя любимая группа на русском
[777.30s -> 779.30s]  Пацаны прям очень стильно
[779.30s -> 781.30s]  И круто сейчас подают Underground
[781.30s -> 783.30s]  Они делают очень крутое оформление
[783.30s -> 785.30s]  Крутые биты
[785.30s -> 787.30s]  То есть неповерхностное мужло вообще
[787.30s -> 789.30s]  Да, да, да, и при этом у них очень крутые панчлайны
[789.30s -> 791.30s]  В текстах
[791.30s -> 793.30s]  И при этом они собирают
[793.30s -> 795.30s]  Glove Club
[795.30s -> 797.30s]  При том, что они в Андере
[797.30s -> 799.30s]  Да, 3500, и при том, что они ни разу свои лица не палили
[799.30s -> 801.30s]  Удивительно, что сегодня
[801.30s -> 803.30s]  В 21 году
[803.30s -> 805.30s]  Under собирает площадки
[805.30s -> 807.30s]  Если ты знаешь
[807.30s -> 809.30s]  Я думаю, что все хватит
[809.30s -> 811.30s]  Потому что сейчас я очень не нравится
[811.30s -> 813.30s]  Что происходит так, что потихонечку
[813.30s -> 815.30s]  Когда, наверное, у детей начали появляться какие-то деньги
[815.30s -> 817.30s]  У нас
[817.30s -> 819.30s]  Находится аудитория для любых артистов
[819.30s -> 821.30s]  То есть
[821.30s -> 823.30s]  Я очень хочу, чтобы все пришло к тому, что
[823.30s -> 825.30s]  Не так, типа, о, сегодня у нас
[825.30s -> 827.30s]  В моде Detroit все делают Detroit
[827.30s -> 829.30s]  Сегодня у нас моде drill, все drill делают поголовно
[829.30s -> 831.30s]  А чтобы артист
[831.30s -> 833.30s]  Типа выражал свое творчество
[833.30s -> 835.30s]  Это просто музыкальная индустрия
[835.30s -> 837.30s]  В которой есть многожанровость
[837.30s -> 839.30s]  Поджанры и так далее
[839.30s -> 841.30s]  И никто не делил на то, что сейчас модно
[841.30s -> 843.30s]  А просто все время была какая-то аудитория у всех
[843.30s -> 845.30s]  И музыка любая имела место
[845.30s -> 847.30s]  Поэтому я за разнообразие, а не безобразие
[847.30s -> 849.30s]  Смотри
[849.30s -> 851.30s]  Мы начали говорить
[851.30s -> 853.30s]  С точки зрения фанатов, да?
[853.30s -> 855.30s]  А ты сам был когда-то чьим-то фанатом?
[855.30s -> 857.30s]  Ну вообще как бы феномен
[857.30s -> 859.30s]  И меня вот сейчас уже
[859.30s -> 861.30s]  Я бы не сказал, что мне нравится, что он делает сейчас
[861.30s -> 863.30s]  Он уже просто соревнуется сам собой
[863.30s -> 865.30s]  То есть Flow и так далее
[865.30s -> 867.30s]  Меня вдохновляет больше он как личность
[867.30s -> 869.30s]  То, что столько падал, столько поднимался
[869.30s -> 871.30s]  Столько критики, хейт его в сторону
[871.30s -> 873.30s]  На его альбомы успешный, неуспешный
[873.30s -> 875.30s]  Все осуждают одна бока
[875.30s -> 877.30s]  Кто-то говорит, а, тебя не слушают черные
[877.30s -> 879.30s]  Тебя не включают на тусовках
[879.30s -> 881.30s]  Вот это меня всего больше всего удивляет
[881.30s -> 883.30s]  Типа пацаны, Джей Колл, Кендрик
[883.30s -> 885.30s]  Все в своих интервью говорят
[885.30s -> 887.30s]  Ну Eminem входит в список их главных вдохновителей
[887.30s -> 889.30s]  Джей Колл в начале своего пути вообще копировал Flow и Eminem
[889.30s -> 891.30s]  Было же период
[891.30s -> 893.30s]  Он неоднократно говорил, что он сидел
[893.30s -> 895.30s]  И читал словари, чтобы развить свой словарный запас
[895.30s -> 897.30s]  Да, да, да
[897.30s -> 899.30s]  И не будь он такой повернутый
[899.30s -> 901.30s]  Не было бы всех вот этих качеств
[901.30s -> 903.30s]  Как я и говорю, да, да, да
[903.30s -> 905.30s]  Во-первых, у меня любимый альбом
[905.30s -> 907.30s]  Один из любимых его альбомов это Relapse
[907.30s -> 909.30s]  Он начал читать с акцентом
[909.30s -> 911.30s]  И благодаря этому акценту
[911.30s -> 913.30s]  Он подобрал больше рифм
[913.30s -> 915.30s]  По-другому рифмовал типа на слова
[915.30s -> 917.30s]  Он написал 40 песен для этого альбома
[917.30s -> 919.30s]  Мне кажется, лучшая песня оттуда это все-таки Beautiful
[919.30s -> 921.30s]  Beautiful
[921.30s -> 923.30s]  Та-та-та-та
[923.30s -> 925.30s]  Та-та-та-та-та
[925.30s -> 927.30s]  Crack'n'Battle
[927.30s -> 929.30s]  А вот именно Crack'n'Battle
[929.30s -> 931.30s]  По-моему, был таким первым успешным
[931.30s -> 933.30s]  Помнишь трек, вот опять же
[933.30s -> 935.30s]  Дрейковская песня, она почему-то на Relapse
[935.30s -> 937.30s]  Рефил, когда там читает
[937.30s -> 939.30s]  Дрейк, Левейн, Kanye West
[939.30s -> 941.30s]  И Eminem
[941.30s -> 943.30s]  Forever
[943.30s -> 945.30s]  Да, это же сумасшедший трек
[945.30s -> 947.30s]  А видео, когда они выступали на церемонии
[947.30s -> 949.30s]  Он в конце
[949.30s -> 951.30s]  Всех уничтожил
[951.30s -> 953.30s]  Есть история, что Kanye West
[953.30s -> 955.30s]  Вот у меня сейчас мурашки пошли, я их вспомню
[955.30s -> 957.30s]  Да, есть история, что Kanye West
[957.30s -> 959.30s]  После того, как услышал куплеты Eminem
[959.30s -> 961.30s]  Переписал свой, потому что почувствовал, что он нереально слабый
[961.30s -> 963.30s]  У Дрейка там прикольная строчка
[963.30s -> 965.30s]  Last Name Ever
[965.30s -> 967.30s]  First Name Greatest
[969.30s -> 971.30s]  Ну блин, это прикольный панч все-таки
[971.30s -> 973.30s]  Да-да, это крутой панч, согласен
[973.30s -> 975.30s]  Да-да, но Дрейк-мем вообще просто
[975.30s -> 977.30s]  Ты раньше так выглядел
[977.30s -> 979.30s]  Сейчас он такой нормальный, аккуратный
[979.30s -> 981.30s]  Подстриженный
[981.30s -> 983.30s]  Мне наоборот, мне альбом Take Care, который он в этом году
[983.30s -> 985.30s]  Стукнул 10 лет
[985.30s -> 987.30s]  Вот для меня Дрейк
[987.30s -> 989.30s]  Он неплохой, да, я на самом деле думал вначале
[989.30s -> 991.30s]  Не делать, но сделаем, это тоже круто
[991.30s -> 993.30s]  Из грецкого ореха тоже
[993.30s -> 995.30s]  Дополнение, очень круто посыпать
[995.30s -> 997.30s]  То есть ты вначале добавляешь томатную пасту
[997.30s -> 999.30s]  С луком, сметану
[999.30s -> 1001.30s]  С чесноком
[1001.30s -> 1003.30s]  И грецким орехом сверху посыпаешь
[1003.30s -> 1005.30s]  Звучит аппетитно
[1005.30s -> 1007.30s]  Слушай, мы очень много говорим о музыке
[1007.30s -> 1009.30s]  У меня вопрос есть к тебе другого характера
[1009.30s -> 1011.30s]  Я знаю, что ты любишь
[1011.30s -> 1013.30s]  Граффити
[1013.30s -> 1015.30s]  Как давно ты последний раз рисовал
[1015.30s -> 1017.30s]  И вообще есть ли у тебя какая-то классная история
[1017.30s -> 1019.30s]  Извини, я вспомнил как
[1019.30s -> 1021.30s]  Мама, прости, я забыл
[1021.30s -> 1023.30s]  Связанная со своим там, типа
[1023.30s -> 1025.30s]  Лучшим, самым интересным куском
[1025.30s -> 1027.30s]  Я как-то заливал поезд
[1027.30s -> 1029.30s]  Вот мы ночью пробрались с другом
[1029.30s -> 1031.30s]  И там скрывались от этих
[1031.30s -> 1033.30s]  Лисов
[1033.30s -> 1035.30s]  Да, да, да
[1035.30s -> 1037.30s]  Просто перелезли турникеты
[1037.30s -> 1039.30s]  И изолили вагон, пока машинисты спали
[1039.30s -> 1041.30s]  Мне нравится, что граффити
[1041.30s -> 1043.30s]  Это проявление свободы
[1043.30s -> 1045.30s]  Когда человек идет и на улицах видит
[1045.30s -> 1047.30s]  Реально красивые граффити
[1047.30s -> 1049.30s]  У него подсознательно, если он достаточно
[1049.30s -> 1051.30s]  Интеллектуально развит
[1051.30s -> 1053.30s]  Мысленно определенные
[1053.30s -> 1055.30s]  Точки раскрываются
[1055.30s -> 1057.30s]  Чакры в голове, они становятся свободнее
[1057.30s -> 1059.30s]  А когда все одинаковое
[1059.30s -> 1061.30s]  У нас вообще любят все одинаковое
[1061.30s -> 1063.30s]  Все стерео, все закрашивают
[1063.30s -> 1065.30s]  Я против этого
[1065.30s -> 1067.30s]  Я считаю, что граффити в этом плане вклад
[1067.30s -> 1069.30s]  Большой делает
[1069.30s -> 1071.30s]  Граффити ведь и перешло и в большое искусство
[1071.30s -> 1073.30s]  Посмотри, что делает тот же Покрас Лампас
[1073.30s -> 1075.30s]  Пройдись по Садовому, посмотри на Атриум
[1075.30s -> 1077.30s]  Атриум круто
[1077.30s -> 1079.30s]  Мне как бы без обид
[1079.30s -> 1081.30s]  Но мне не особо нравится Покрас Лампас
[1081.30s -> 1083.30s]  Потому что я как-то устал уже
[1083.30s -> 1085.30s]  Я про то, что это все равно отсюда вышло
[1085.30s -> 1087.30s]  Ну да, я понимаю
[1087.30s -> 1089.30s]  Это в любом случае круто
[1089.30s -> 1091.30s]  Выставки в Дубае
[1091.30s -> 1093.30s]  Зак мини монстр
[1093.30s -> 1095.30s]  Прекрасный чувак
[1095.30s -> 1097.30s]  Заку большой привет
[1097.30s -> 1099.30s]  Он со своими работами к Биберу летал
[1099.30s -> 1101.30s]  И так же
