[0.00s -> 5.88s]  Всем добра и здравия. Я Дмитрий Колесников, эксперт по выживанию. Почему я эксперт по выживанию?
[166.48s -> 176.32s]  Несколько дней можно вообще без еды. Если вы отравились, то у вас будет обезвожение организма. Ну и плюс того, что вы будете дрестать дальше, чем видите.
[176.32s -> 192.08s]  Опять же, для диких животных, если у нас разбросана пища вокруг, если в самолете что бы было, если человек, это остатки пищи, которые открыты, это привлекает диких животных, которые будут опасно создавать для человека.
[192.08s -> 202.88s]  Поэтому трупы, остатки еды нельзя хранить рядом с лагерем. То есть это надо все уносить, все прятать, подвешивать на деревья, чтобы это никак не... О, аптечку нашел, аптечка это хорошо.
[202.88s -> 211.84s]  Так, ну ты наконец-то обработаешь себе рано-то или так и будешь ходить с дыркой. Вот он нашел какой-то чемодан с кодовым замком. Что там может быть?
[211.84s -> 219.92s]  Вот там стопудово что-нибудь неполезное. Вот сейчас, если там даже деньги есть, это неполезно. Хотя в таком чемоданчике могут храниться оружия.
[219.92s -> 228.96s]  Ах, ты зайц хочешь поймать камнем? Ух ты, красавчик какой. Ну что ж ты, где тебя научили этому? На уроках УБЖ тебя походу научили так зайцев ловить.
[228.96s -> 238.56s]  О, ты попал камнем зайца. О-о-о, красавчик какой. Ой, ты ему бушку свернул? Ну ты вообще, конечно, зеленые тебя бы за это заплющили бы.
[238.56s -> 246.16s]  Ну вообще правильно, когда вопрос к выживанию, тут либо ты выживешь и зайца скушаешь, либо сдохнешь как собака.
[246.16s -> 255.60s]  Вероятность попасть в зайца камнем вообще очень мала. Заяц петляет вот так вот, поэтому волки даже не могут его поймать, потому что зайц петляет.
[255.60s -> 262.08s]  А тем более попасть в него камнем еще чтобы убить его, это надо прям с близкого расстояния. А так он жарит его.
[262.08s -> 269.44s]  О, смотрите, он даже его не раздел. Он жарит его с кишками. Он уже сдохнет сегодня ночью, если он сожрет его так вместе с кишками.
[269.44s -> 275.20s]  Там же все, желудок у него лопнет там внутри и все, он это съест и все и до свидания блин.
[275.20s -> 284.16s]  Зайца можно поймать на петлю. Какая-то должна быть проволока либо толстая веревка, которая опять же на тропе устанавливается определенным образом.
[284.16s -> 294.24s]  Туда какая-то еда насыпается, крошки какие-то. Соответственно небольшой зверек скачет, попадает туда лапой, задней или передней петля затягивается и вот хоть как-то его можно поймать.
[294.24s -> 303.12s]  О, он-то зайца убивал. О, теперь он в волка кидал. Так, ну что ты делаешь? Вот, смотри, нож схватил, натурит, сразу его сразу. Хоп она!
[303.12s -> 311.44s]  Так, нельзя было допускать его. Ну ты че блин? Ну сразу молодец хоть не испугался, не побежал от него. Это вот молодец. Вот тут за это тебя хвалю.
[311.44s -> 321.76s]  Вообще правильно, если нападает волк, надо что-то наматывать на руку и давать жертвовать рукой. Если вы не успели что-то намотать, то придется жертвовать чем-то рукой.
[321.76s -> 332.96s]  И соответственно второй рукой уже его добивать в конце. Вот, если не получается, есть способы, когда прям кулак загоняется ему в глотку прям впасть ему туда.
[332.96s -> 343.68s]  Понятно, что вы всю руку себе раздерете. Прям в глотку ему впасть засовываете руку, прям по самой не балуйся. И короче, он тогда задохнется, можете ему даже пощекотать его изнутри.
[343.68s -> 353.84s]  Ночью вообще лучше не высовываться. Если нет какой-то острой необходимости ходить и тратить свои запасы, непонятно для чего, что он там ночью пытается найти.
[354.80s -> 366.08s]  Ну надо сначала, прежде чем этого оленя раздевать, он походу лежит уже здесь давно. Сходи, проверь, может тут есть уже что-нибудь, консервы какие-нибудь, тоже дошира какой-нибудь зальешься кипяточком.
[366.08s -> 377.84s]  Надо сходить сначала все проверить, нет ли врагов здесь потенциальных. Может здесь там ашан уже за той вот горой, ашан стоит там и все, и чебуречные чебуреки продают. А ты ходишь здесь и какую-то олень убиваешь.
[377.84s -> 385.04s]  Теперь он видит какую-то зверюгу. Так, ну вот у него любопытство, то есть он увидит, что это животное какое-то, немаленькое животное.
[385.04s -> 398.72s]  Ему интересно в натуре, а что это такое? Пойду-ка я с ним познакомлюсь. Отлично вообще, молодец. То есть ты не хочешь до вечера дожить уже какой раз очередной, давай обойдем его и познакомимся спереди с ним.
[398.88s -> 408.16s]  То есть уже животное не видишь, он, наверное, сто пудов уже сзади тебя, на рога сейчас насадит. Ага, то есть ты шел-шел за ним, бросил и вдруг тебе стало интересно.
[408.16s -> 416.08s]  Так, вот еще какой-то чувачок тут спрятался. А, он замерз, по ходу, типок. А, видно, да, он сидел-сидел и замерз.
[416.24s -> 429.84s]  Надо обшарить его карманы. Если у него есть какая-то теплая одежда, продуктивная, надо с него ее снять. Да, это, конечно, мародерство своего рода, но для выживания в данном случае надо с него снять было все, что можно.
[429.84s -> 441.36s]  Значит, одно из ошибок распространенных, когда люди начинают с негом себя растирать, ни в коем случае нельзя, если у вас начинают замерзать руки-ноги, надо растирать себе одежды шерстяной, ни в коем случае не с негом.
[441.36s -> 450.64s]  Во-первых, вы царапаете кожу снегом, а наст он крепкий может быть, вы еще хуже делаете себе, поэтому мы разогреваемся, растираем себя.
[450.64s -> 466.24s]  Если у вас нет обуви никакой, или она промокшая, замерзли ноги, замерзло все тело, поэтому ногам уделяем особое внимание. То есть надо разводить костер, греть обувь, сушить одежду и перемещаться в сухую одежду.
[466.24s -> 473.36s]  А, вот теперь похоже, теперь видно, что это Мишка. Так, Мишка увидел тебя, теперь ты уже не хочешь с ним знакомиться, да, я так понимаю?
[473.36s -> 482.00s]  Ну, тебе надо куда-то прятаться, куда Мишка не сможет пробраться, да. Все-таки Мишка, они бывают, весят там и по 500 килограммов, такие крупные особи.
[482.00s -> 489.84s]  Тебе надо узкую расщелину искать, чтобы он туда не мог забраться. Вот так, хорошо. Забраться он туда не может, пока не торопись.
[489.84s -> 495.84s]  Посмотри, где он, один он здесь, Мишка. Может быть, у него жена там и теща еще вокруг гуляет, такие же Мишки.
[495.84s -> 511.36s]  Наши ходили на медведя с рогатиной, с рогатиной или с колом, и они не просто его там забивали, они делали так, чтобы медведь вставал на задние лапы, упирали во что-то этот кол и медведь сам под своим весом падал на эту рогатину или на кол.
[511.36s -> 520.40s]  Только такая вероятность была завалить медведя. Ну, наши предки были, мужики такие здоровенные, блин, ничего не боялись. Ими страшно умирать было.
[520.48s -> 528.48s]  Вот, ну все. Вот ты допросился, красавчик. Молодец, ты опять не дожил до вечера. О, нашел копье, вот это хорошо.
[528.48s -> 534.48s]  Но опять же, с копьем тебе надо идти в деревню, возвращайся в деревни. Дурит ты, Башка.
[536.48s -> 546.48s]  Вот сейчас он правильно сделал, вот. Упер во что-то и поставил кол. Вот он с твоим весом, медведь, ну конечно, тут он красавчик сделал. Пазара нет.
[546.56s -> 558.56s]  Ну давай уже, победу. Победу надо до конца дожимать. Дожимать надо. Все, враг пошел на попятную. Ну все, свершилось, короче.
[558.56s -> 566.56s]  Ты, походу, победил его, ну все, красавчик. Медаль себе во всю жопу повесь, блин, молодец. Да, я встречался с медведями, я вам так скажу.
[566.56s -> 574.56s]  Ребята, не надо с ними встречаться. Часто так бывает. Увидели маленького мишку такого? Ну и надо его сфотографировать на телефончик.
[574.64s -> 585.64s]  Вы совсем забываете, что если маленький мишка, то рядом есть мама, которая гуляет. А скорее всего еще и папа. И когда он увидит вас с такими фотографируешься, понятно, ему не понравится это.
[585.64s -> 592.64s]  Поэтому не надо фотографировать маленьких животных, особенно хищников. Если вы их увидели, держитесь от них подальше.
[593.64s -> 601.64s]  Так, давай стреляй, отлично. А, это сигналка у тебя. Ну хорошо, волчару ты стремнул. Давай, давай, догоня его, смотри.
[601.72s -> 606.72s]  Сколько у тебя патронов-то хотя бы? Ты в следующий раз поближе его пропускай, смотри.
[606.72s -> 616.72s]  Видишь, сигналю пушку ее лучше использовать, когда вот прямо на крайняк, вот прямо нужно подать сигнал помощи, когда будет самолет пролетать, вертолет, какие-то спасатели.
[616.72s -> 626.72s]  Вот надо приберечь для этого. Не торопись, вниз, близко стреляй, прям впасть ему. Ай, пазняк. Ах, вот так, во, хорошо.
[626.80s -> 633.80s]  А у тебя топорик еще был, молодец. Короче, теперь, чтобы другие волки боялись, отруби ему башку, посади ее на кол, блин.
[633.80s -> 640.80s]  Или вот так, на руке неси прямо ее, чтобы они боялись в натуре тебя. На одной руке башка волка, в другой топор, блин.
[640.80s -> 646.80s]  Вот это будет вообще отличная стратегия. Ну, главное правило, что ты идешь по железной дороге.
[646.80s -> 655.80s]  В любом случае, это хороший знак. Железная дорога куда-нибудь и приведется, в какую-нибудь бывшую деревню, в какой-нибудь прииск там, или не знаю, в какой-нибудь, или на тюрьму она придет.
[656.80s -> 666.80s]  Так, ну что же, игра, в принципе, мне показалась довольно-таки интересной. Я в какой-то момент даже стал сопереживать этому герою.
[666.80s -> 674.80s]  Непонятно было, почему он поступал именно так, но, все равно, в какой-то момент мне даже стало интересно, чем это все закончится.
[674.80s -> 685.80s]  Очень реалистично, волк нападал, медведь нападал. То есть, вот как бы, вот эта скал, гримаса нападающего зверя, но достаточно была похожа.
[685.88s -> 694.88s]  Это не выглядело прям совсем игрушечно. Понятно, все-таки, это компьютерная игра, но, тем не менее, было очень похоже. Так что, можно поиграть.
[694.88s -> 701.88s]  Так, ну что же, подписывайтесь на канал «Гейм-разбор». С вами был эксперт по выживанию Дмитрий Колесников.
[701.88s -> 707.88s]  Никогда не сдавайтесь и не ссыте от страха. Давайте держитесь все до конца.
