[0.00s -> 12.62s]  ДИНАМИЧНАЯ МУЗЫКА
[513.64s -> 514.64s]  Ну а как?
[514.64s -> 518.64s]  Но какое-нибудь красивое, типа белье сверху, мне кажется, это точка.
[518.64s -> 522.64s]  Знаешь, мне бы хотелось, чтобы ты выбрала то, в чем бы ты никогда не вышла.
[522.64s -> 525.64s]  Вот то есть не то, что ты носишь в повседневном,
[525.64s -> 528.64s]  а именно, знаешь, чтобы ты прям одела и подумала,
[528.64s -> 532.64s]  капец, я бы никогда в таком не вышла, но это капец как круто.
[533.64s -> 534.64s]  Ну если так.
[534.64s -> 536.64s]  Не то, что ты думаешь, что это некрасиво и так далее,
[536.64s -> 539.64s]  а просто потому что ты всегда, может быть, стеснялась или...
[539.64s -> 542.64s]  Тогда придется брать первое платье, которое ты достала.
[542.64s -> 544.64s]  Я в нем не смогу выйти.
[544.64s -> 547.64s]  Блин, офигенный шоу, просто, ребята.
[547.64s -> 549.64s]  Это кайф.
[549.64s -> 551.64s]  Они не дадут мне показать?
[552.64s -> 554.64s]  Ну да, кстати, вот то, что ты работаешь в школе.
[554.64s -> 555.64s]  Да.
[555.64s -> 557.64s]  Ты это отражает в тиме?
[557.64s -> 559.64s]  Здравствуйте, дети.
[559.64s -> 561.64s]  Нет, ты не сможешь так в школу прийти, Саша,
[561.64s -> 563.64s]  потому что очень большой разрез, во-первых,
[563.64s -> 565.64s]  и все одиннадцатиклассники будут твои.
[565.64s -> 567.64s]  А что в этом плохого?
[567.64s -> 569.64s]  Ну то, что это совращение малолетних.
[570.64s -> 573.64s]  Ой, Господи, знаешь, в 16 лет уже все можно.
[573.64s -> 575.64s]  Ну не в наших школах, увы.
[577.64s -> 579.64s]  Мне вот это да нравится.
[579.64s -> 581.64s]  Только вот этот цвет.
[581.64s -> 583.64s]  Ну что, остановимся на этом?
[583.64s -> 584.64s]  Да.
[586.64s -> 590.36s]  Я готова.
[590.36s -> 591.36s]  Давай.
[596.80s -> 598.80s]  Вот это у тебя сиськи.
[599.80s -> 601.80s]  Почему ты их скрывала?
[601.80s -> 603.80s]  Мне было неудобно их показывать.
[603.80s -> 605.80s]  Посмотри на себя.
[605.80s -> 606.80s]  Ну...
[606.80s -> 607.80s]  Подойди ближе.
[607.80s -> 609.80s]  Да я вижу.
[610.80s -> 612.80s]  Как мы говорили, смелый выбор.
[612.80s -> 613.80s]  Ну да, это прям...
[613.80s -> 615.80s]  Ну я не думала, что они будут такие открытые.
[615.80s -> 616.80s]  И что?
[616.80s -> 617.80s]  А ты думала, что это будет так?
[617.80s -> 618.80s]  Ты стесняешься?
[618.80s -> 619.80s]  Да, мне не комфортно.
[619.80s -> 620.80s]  Вообще не комфортно?
[620.80s -> 621.80s]  Ты бы здесь не вышла бы, так?
[621.80s -> 622.80s]  Нет.
[622.80s -> 623.80s]  Вообще?
[623.80s -> 624.80s]  Нет.
[624.80s -> 625.80s]  Почему?
[625.80s -> 626.80s]  Что именно тебя смущает?
[626.80s -> 628.80s]  Ну меня смущает, все целиком весь внешний.
[628.80s -> 630.80s]  Ты думаешь, ты будешь пошла?
[630.80s -> 632.80s]  Скорее, как колбаса в сеточке.
[632.80s -> 634.80s]  Не, подожди, стой.
[634.80s -> 636.80s]  То есть ты, получается, если...
[636.80s -> 637.80s]  Ты стесняешься своей фигурой.
[637.80s -> 641.80s]  Да, и фигурой, и вообще вот каких-то вот открытых вот этих вещей.
[641.80s -> 643.80s]  Мне хочется сразу же прикрыться.
[643.80s -> 645.80s]  Ну у тебя красивые дрови.
[645.80s -> 647.80s]  Я знаю, но мне многие об этом говорили.
[647.80s -> 649.80s]  Я в последнее время стала закрывать.
[649.80s -> 650.80s]  Не знаю, чем это связано.
[650.80s -> 652.80s]  Я не ношу вообще до какой-то.
[652.80s -> 654.80s]  Мне поэтому хотелось попробовать понять.
[654.80s -> 655.80s]  Вот может быть, я ошибаюсь.
[655.80s -> 656.80s]  Ну, видимо, не я.
[656.80s -> 657.80s]  Без фольта можно.
[657.80s -> 659.80s]  Просто нужно большие и совсем другие формы.
[659.80s -> 661.80s]  Я предлагаю совсем другое.
[661.80s -> 663.80s]  Вот я, собственно.
[663.80s -> 665.80s]  Поэтому не знаю, тоже можно на выход.
[665.80s -> 667.80s]  Но он будет менее откровенным.
[667.80s -> 669.80s]  Но будет смотреться элегантно и дорого.
[669.80s -> 671.80s]  Давай переодевайся в свое.
[671.80s -> 674.80s]  А я пойду и выберу тебе то, что реально будет нужно.
[674.80s -> 678.94s]  Хорошо.
[678.94s -> 680.94s]  Итак, я подобрала тебе один из вариантов,
[680.94s -> 683.94s]  которые считаю, что можно носить на каждый день.
[683.94s -> 687.94s]  Но при этом ты будешь чувствовать себя свободно и роскошно.
[687.94s -> 689.94s]  Давай попробуем померить.
[689.94s -> 690.94s]  Давай.
[690.94s -> 691.94s]  Как тебе, Саша?
[691.94s -> 693.94s]  Классно.
[693.94s -> 694.94s]  Померим?
[694.94s -> 695.94s]  Да.
[695.94s -> 696.94s]  Отлично.
[696.94s -> 702.84s]  Ну, типа реально.
[702.84s -> 703.84s]  А ты видела себя?
[703.84s -> 705.84s]  Нет, еще я себя видела.
[705.84s -> 707.84s]  Давай посмотрим, и я кое-что дозену.
[707.84s -> 710.84s]  Вау, какие классные, что ли.
[710.84s -> 712.84s]  Мне нравится принт, глаза.
[712.84s -> 716.84s]  То, смотрятся зеленые глаза и коричневые оттенки.
[716.84s -> 717.84s]  Очень красиво.
[717.84s -> 719.84s]  И цвет кожи выравнивается.
[719.84s -> 720.84s]  Там еще узкая талия.
[720.84s -> 722.84s]  То есть мы можем еще подчеркнуть,
[722.84s -> 724.84s]  в зависимости, куда мы идем.
[724.84s -> 726.84s]  Это все заправить.
[726.84s -> 727.84s]  Красиво.
[727.84s -> 728.84s]  И на каблуки.
[728.84s -> 730.84s]  Если до каждого дня, то кроссовки.
[730.84s -> 733.84s]  Если это город, то мы берем сумку из соломы
[733.84s -> 736.84s]  и добавляем немного аксессуаров.
[738.84s -> 739.84s]  Еще удобно, что свободно.
[739.84s -> 741.84s]  То есть ты можешь носить прямо куда угодно в этом.
[741.84s -> 742.84s]  Да.
[742.84s -> 744.84s]  Этот образ вышел в понедельник,
[744.84s -> 746.84s]  вернулся в пятницу, в принципе нормально.
[747.84s -> 749.84s]  Офигенно, мне очень нравится.
[749.84s -> 751.84s]  Никогда не слушай Саши Кабабе,
[751.84s -> 753.84s]  потому что она тебе сразу в декольте что-то выберет.
[754.84s -> 755.84s]  Слушай, стилист.
[755.84s -> 756.84s]  Мне очень нравится.
[756.84s -> 757.84s]  Да, класс.
[757.84s -> 758.84s]  Я в шоке.
[758.84s -> 760.84s]  И у меня еще второй образ есть.
[760.84s -> 762.84s]  Он более деловой.
[762.84s -> 764.84s]  И входит как раз в капсулу базового гардеробота,
[764.84s -> 767.84s]  что нужно и необходимо иметь каждой женщине.
[768.84s -> 769.84s]  И с того.
[769.84s -> 771.84s]  Это классно.
[772.84s -> 773.84s]  Тебе, кстати, тоже удивительно.
[773.84s -> 776.84s]  И тебе подойдет такой образ.
[776.84s -> 778.84s]  Белая футболка, черные брюки.
[778.84s -> 780.84s]  Класс, мне уже нравится.
[780.84s -> 783.84s]  С кроссовками можно носить.
[783.84s -> 785.84s]  Футболка и сверху жакет.
[785.84s -> 787.84s]  Оверсайз, который сейчас самый актуальный.
[787.84s -> 788.84s]  Здорово, да.
[788.84s -> 789.84s]  Давай попробуем?
[789.84s -> 790.84s]  Давай.
[790.84s -> 791.84s]  Ты поддержишь?
[791.84s -> 792.84s]  Да, конечно.
[792.84s -> 794.84s]  Это офигенный образ.
[794.84s -> 796.84s]  Первый классный, а второй прям топчик.
[799.47s -> 800.47s]  Саш.
[801.47s -> 803.47s]  Это офигенный образ.
[803.47s -> 805.47s]  Мне бы даже было интересно узнать,
[805.47s -> 806.47s]  как бы он и тебе смотрелся.
[806.47s -> 808.47s]  Мне очень нравится.
[809.47s -> 811.47s]  А мне видно, что я завидую чуть-чуть?
[812.47s -> 813.47s]  Не видно.
[813.47s -> 814.47s]  Простой.
[814.47s -> 815.47s]  Абсолютно на каждый день.
[815.47s -> 817.47s]  И супер-удобный, который также можно
[817.47s -> 819.47s]  между собой все окомпановать.
[819.47s -> 820.47s]  Да, я еще заметила, что...
[820.47s -> 821.47s]  Футболка, которая освежает.
[821.47s -> 822.47s]  Либо вниз белая рубашка.
[822.47s -> 824.47s]  Но мне нравится здесь, что
[824.47s -> 825.47s]  талию видно, да.
[825.47s -> 826.47s]  Завышенные.
[827.47s -> 829.47s]  Ноги смотрятся длиннее.
[829.47s -> 830.47s]  Цепь украшает.
[830.47s -> 831.47s]  Сумка.
[831.47s -> 833.47s]  Опять же, что-то с прической.
[833.47s -> 834.47s]  Либо корей изменить.
[834.47s -> 836.47s]  Ну, в общем, сделать более стильную.
[836.47s -> 837.47s]  И все.
[837.47s -> 839.47s]  И можно и навстречу ходить.
[839.47s -> 841.47s]  И на каждый день кроссовки переобудить.
[841.47s -> 842.47s]  Да.
[842.47s -> 844.47s]  Мне кажется, что вот здесь прям белый...
[844.47s -> 845.47s]  Ну, я люблю кроссовки.
[845.47s -> 846.47s]  Белый.
[846.47s -> 847.47s]  Белый кроссовки прям топчик.
[847.47s -> 848.47s]  Ой, мне очень нравится.
[848.47s -> 849.47s]  Классно.
[849.47s -> 851.47s]  Я очень рада, что
[851.47s -> 853.47s]  сегодня ты примерила на себя эти вещи.
[853.47s -> 854.47s]  Мужик.
[854.47s -> 855.47s]  Правильно.
[855.47s -> 856.47s]  Правильно забираешь же эти вещи.
[857.47s -> 858.47s]  У нас сейчас
[858.47s -> 860.47s]  для тебя есть еще один сюрприз.
[860.47s -> 861.47s]  И он крайне дамочный.
[861.47s -> 862.47s]  Еще один?
[862.47s -> 863.47s]  Мы еще поедем еще в одно место.
[863.47s -> 865.47s]  И я думаю, что там
[865.47s -> 867.47s]  ты увидишь себя вообще в полной красе.
[868.47s -> 869.47s]  Ну что, пакуйте нам все эти вещи.
[869.47s -> 871.47s]  И мы погоним дальше.
[871.47s -> 872.47s]  Хорошо?
[872.47s -> 873.47s]  Go.
[876.47s -> 878.47s]  Ну что, как ты думаешь, куда мы приехали?
[878.47s -> 880.47s]  Слушай, я не представляю.
[880.47s -> 881.47s]  У вас все?
[881.47s -> 882.47s]  Так, много сюрпризов.
[882.47s -> 883.47s]  Ну, для меня это уже много.
[883.47s -> 884.47s]  Я не ожидала.
[884.47s -> 886.47s]  Куда мы сейчас идем?
[886.47s -> 888.47s]  Может, все сделали, что могли.
[888.47s -> 890.47s]  Нет, мы еще не сделали.
[890.47s -> 891.47s]  Самое главное.
[891.47s -> 893.47s]  А вот куда мы приехали.
[893.47s -> 895.47s]  Да ладно!
[895.47s -> 896.47s]  Погнали!
[898.47s -> 899.47s]  Примерно новым.
[900.47s -> 901.47s]  Ну скажи честно.
[901.47s -> 904.47s]  Ты думала, что я тебя приведу именно сюда?
[904.47s -> 905.47s]  Нет.
[905.47s -> 906.47s]  Ну как?
[906.47s -> 907.47s]  У тебя же были мысли.
[907.47s -> 908.47s]  Ты хотела.
[908.47s -> 909.47s]  Помнишь, я слышала, что ты говорила об этом?
[909.47s -> 910.47s]  Слушай, ну я хотела, да.
[910.47s -> 911.47s]  У меня были мысли.
[911.47s -> 913.47s]  Как ты думаешь, какие мысли у тебя
[913.47s -> 915.47s]  по поводу того, что я тебе придумала?
[915.47s -> 918.47s]  Образ к твоему шикарному костюму,
[918.47s -> 920.47s]  который ты, кстати, тоже не видела.
[920.47s -> 923.47s]  Слушай, ну я вообще не знаю, что ждать.
[923.47s -> 925.47s]  Я знаю, что ты наверняка что-то придумала
[925.47s -> 926.47s]  очень классное.
[926.47s -> 927.47s]  Потому что, исходя из тех образов,
[927.47s -> 928.47s]  которые я видела у тебя,
[928.47s -> 929.47s]  они были очень удачные.
[929.47s -> 930.47s]  Надеюсь, что...
[930.47s -> 933.47s]  Так что поехали играть в синие волосы.
[933.47s -> 934.47s]  Сиди.
[935.47s -> 936.47s]  Серьезно?
[936.47s -> 937.47s]  Сиди.
[937.47s -> 939.47s]  Мы решили сменить быстро план,
[939.47s -> 940.47s]  потому что я тебя знакомлю
[940.47s -> 942.47s]  с твоим стилистом по волосам.
[942.47s -> 943.47s]  Здрасте.
[943.47s -> 944.47s]  Здрасте.
[944.47s -> 945.47s]  Супер стилист, офигенный друг.
[945.47s -> 948.47s]  И сегодня мы будем делать тебе преображение
[948.47s -> 949.47s]  не только по волосам,
[949.47s -> 952.47s]  но и потом мейк тебе тоже красивый сделаем.
[952.47s -> 955.47s]  Что пошли делать, но у нас для тебя
[955.47s -> 957.47s]  одно условие, что ты, во-первых,
[957.47s -> 959.47s]  садишься перевернутая.
[959.47s -> 961.47s]  Это сто процентов.
[961.47s -> 962.47s]  Окей.
[962.47s -> 965.47s]  Перед этим мы оденем сейчас
[965.47s -> 967.47s]  на тебя уже финальный костюм.
[967.47s -> 970.47s]  И после того, как тебя подстрибут,
[970.47s -> 973.47s]  сделают тебе мейк не смотреть в зеркало.
[973.47s -> 975.47s]  Вот, то есть я зайду,
[975.47s -> 976.47s]  и после этого ты...
[976.47s -> 978.47s]  Ну, чтоб прям даже малюсенький не смотрел,
[978.47s -> 979.47s]  и не подгорел.
[979.47s -> 980.47s]  Хорошо.
[980.47s -> 982.47s]  Так, гуд переодеваться.
[982.47s -> 1004.79s]  Мне хочется быстрее его видеть.
[1004.79s -> 1005.79s]  Ну да.
[1005.79s -> 1006.79s]  Ну да.
[1007.79s -> 1009.79s]  Да ладно.
[1011.79s -> 1012.79s]  А где Фридан?
[1012.79s -> 1013.79s]  Где Фридан?
[1013.79s -> 1014.79s]  Привет.
[1014.79s -> 1015.79s]  Привет.
[1015.79s -> 1016.79s]  А ты себя не видела еще?
[1016.79s -> 1017.79s]  Нет.
[1017.79s -> 1018.79s]  Какие его?
[1018.79s -> 1019.79s]  Не, она была так...
[1019.79s -> 1022.79s]  А нужно ли ей говорить, что вот как же...
[1022.79s -> 1023.79s]  Что я...
[1023.79s -> 1026.79s]  Что тебе просто охрененно...
[1026.79s -> 1027.79s]  Да?
[1027.79s -> 1028.79s]  Посмотри.
[1028.79s -> 1029.79s]  Блин, это жестко.
[1029.79s -> 1031.79s]  Ну, в смысле, я очень рада.
[1032.79s -> 1034.79s]  Блин, я тебя запаси.
[1034.79s -> 1035.79s]  Не види.
[1035.79s -> 1036.79s]  Я тебя поверну.
[1036.79s -> 1038.79s]  Ну что, ты готова увидеть себя?
[1038.79s -> 1039.79s]  Саша, я очень не хочу видеть.
[1039.79s -> 1040.79s]  Фридан, ты просто посмотри.
[1040.79s -> 1041.79s]  Три, два, один.
[1041.79s -> 1043.79s]  Отправляемся в космос.
[1046.79s -> 1047.79s]  Вау.
[1048.79s -> 1049.79s]  Прикольно.
[1049.79s -> 1050.79s]  Встань, посмотри.
[1050.79s -> 1051.79s]  Это ты.
[1051.79s -> 1052.79s]  Посмотри на себя вообще.
[1052.79s -> 1053.79s]  Да ладно.
[1053.79s -> 1055.79s]  Это прям такая вот взрослая личность.
[1055.79s -> 1056.79s]  То есть прям...
[1056.79s -> 1057.79s]  Красивая.
[1057.79s -> 1058.79s]  То, что я хотела.
[1059.79s -> 1061.79s]  Блин, ну это прям...
[1061.79s -> 1063.79s]  Блин, ты очень шикарная.
[1063.79s -> 1064.79s]  Давай пройди туда и сюда,
[1064.79s -> 1065.79s]  посмотри, где комфорт.
[1065.79s -> 1066.79s]  Давай дофиле.
[1066.79s -> 1067.79s]  Да.
[1067.79s -> 1068.79s]  Блин.
[1068.79s -> 1069.79s]  А где музыка?
[1069.79s -> 1070.79s]  Стас, Стас, Стас, Стас.
[1070.79s -> 1071.79s]  Ты очень крутой получился.
[1071.79s -> 1072.79s]  Прям вообще очень классно.
[1072.79s -> 1073.79s]  Мне очень нравится.
[1073.79s -> 1074.79s]  Ты очень шикарная.
[1074.79s -> 1075.79s]  Спасибо большое.
[1075.79s -> 1076.79s]  Иди.
[1076.79s -> 1077.79s]  Иди на меня.
[1077.79s -> 1078.79s]  Давай.
[1078.79s -> 1079.79s]  Иди.
[1079.79s -> 1080.79s]  Ура!
[1080.79s -> 1081.79s]  Моя желанная.
[1081.79s -> 1082.79s]  Это очень круто.
[1082.79s -> 1083.79s]  Все вот так вот.
[1083.79s -> 1084.79s]  Ничего не меняет.
[1084.79s -> 1085.79s]  Все получает.
[1085.79s -> 1086.79s]  Ну, значит, иногда все не будет.
[1086.79s -> 1087.79s]  Я понимаю.
