[0.00s -> 2.00s]  Чувствуете богом?
[88.93s -> 90.93s]  и максимально точное воссоздание
[90.93s -> 92.93s]  элементов ландшафтной архитектуры.
[92.93s -> 94.93s]  В окошках домиков можно даже
[94.93s -> 96.93s]  разглядеть человечков.
[96.93s -> 98.93s]  В масштабе 1 к 400 представлены
[98.93s -> 100.93s]  23 тысячи объектов.
[100.93s -> 102.93s]  1 ноября 2019 года произошла
[102.93s -> 104.93s]  реконструкция музея.
[104.93s -> 106.93s]  Он вырос и в нем появились новые здания.
[106.93s -> 108.93s]  Реконструкция затронула и световую
[108.93s -> 110.93s]  составляющую.
[110.93s -> 112.93s]  Интерактивная система освещения макета
[112.93s -> 114.93s]  имитирует движение солнца, облаков
[114.93s -> 116.93s]  и прочих природных явлений.
[116.93s -> 118.93s]  Каждый день тут проходит световое шоу.
[118.93s -> 120.93s]  Средняя продолжительность шоу
[120.93s -> 122.93s]  4-5 минут.
[122.93s -> 124.93s]  Проходит они каждый час и с их
[124.93s -> 126.93s]  расписанием можно ознакомиться на сайте.
[126.93s -> 128.93s]  Можно посетить одно шоу или остаться
[128.93s -> 130.93s]  на все. Также через интерактивное
[130.93s -> 132.93s]  табло вы можете сами управлять
[132.93s -> 134.93s]  погодой и временем суток.
[134.93s -> 136.93s]  Я-то понимаю, что макетом можно сейчас
[136.93s -> 138.93s]  управлять стало, да?
[138.93s -> 140.93s]  Макет у нас интерактивный, подсветкой можно
[140.93s -> 142.93s]  управлять с главного пульта, возле которого
[142.93s -> 144.93s]  мы сейчас стоим. Там есть общие режимы
[144.93s -> 146.93s]  подсветки. Можно сделать день, ночь,
[146.93s -> 148.93s]  радугу и облака. Также можно
[148.93s -> 150.93s]  подсветить отдельные группы и здания.
[150.93s -> 152.93s]  А вы себе здесь, когда все уходит, чувствуете
[152.93s -> 154.93s]  богом? А-ха-ха-ха-ха!
[154.93s -> 156.93s]  Сейчас я сделаю вам ночь!
[156.93s -> 158.93s]  Не развлекайтесь так, слушайте.
[158.93s -> 160.93s]  А сколько стоит вообще снять квартиру
[160.93s -> 162.93s]  здесь? Ну, смотря в каком районе.
[162.93s -> 164.93s]  Вот у нас есть такие дорогие районы,
[164.93s -> 166.93s]  как Хамовники, есть районы подешевле.
[166.93s -> 168.93s]  Можно здесь провести свой целый выходной?
[168.93s -> 170.93s]  То есть я так понимаю, что у вас проходит
[170.93s -> 172.93s]  шоу, и они все время разные? Да.
[172.93s -> 174.93s]  У нас шоу, у нас примерно 8 видов, они
[174.93s -> 176.93s]  друг друга сменяют, и здесь действительно
[176.93s -> 178.93s]  у нас есть такие люди, посетители, которые
[178.93s -> 180.93s]  здесь гуляют весь день.
[180.93s -> 182.93s]  В главном пульте есть информация
[182.93s -> 184.93s]  о каждом объекте. У нас примерно
[184.93s -> 186.93s]  23 тысячи объектов, и о каждом
[186.93s -> 188.93s]  можно почитать. Были ли те люди,
[188.93s -> 190.93s]  которые хотели потрогать или забрать себе
[190.93s -> 192.93s]  домик, что вы с ними обычно делаете?
[192.93s -> 194.93s]  Ну, к сожалению, у нас
[194.93s -> 196.93s]  не предусмотрено никаких штрафов,
[196.93s -> 198.93s]  но зато у нас есть прекрасная
[198.93s -> 200.93s]  охрана, которая заботится о том,
[200.93s -> 202.93s]  чтобы этого не произошло.
[202.93s -> 204.93s]  Я помню, у нас был посетитель, который
[204.93s -> 206.93s]  очень сильно хотел украсть коня.
[206.93s -> 208.93s]  У нас вот там есть часть ипподрома,
[208.93s -> 210.93s]  и там действительно есть лошадки, уменьшенные
[210.93s -> 212.93s]  в 400 раз. На некоторых лошадках даже
[212.93s -> 214.93s]  есть всадники. Он хотел
[214.93s -> 216.93s]  унизить коня, он просто сказал, я хочу коня.
[216.93s -> 218.93s]  А сколько вообще стоит в доме?
[218.93s -> 220.93s]  У нас некоммерческий проект,
[220.93s -> 222.93s]  вход бесплатный, то есть этим занимается
[222.93s -> 224.93s]  департамент градостроительства,
[224.93s -> 226.93s]  поэтому именно о суммах
[226.93s -> 228.93s]  мы не располагаем такими сведениями.
[228.93s -> 230.93s]  Но действительно в каждой домике
[230.93s -> 232.93s]  проведена подсветка, и у нас
[232.93s -> 234.93s]  работает макетная мастерская,
[234.93s -> 236.93s]  60 человек в департамент градостроительства.
[236.93s -> 238.93s]  Что вот это такое у вас?
[238.93s -> 240.93s]  Что это Москва строится для вас?
[240.93s -> 242.93s]  Это какие-то макеты? Что это?
[242.93s -> 244.93s]  Это информационные киоски.
[244.93s -> 246.93s]  Здесь можно почитать развитие
[246.93s -> 248.93s]  города. Например, вот
[248.93s -> 250.93s]  нажимаете метро, дороги,
[250.93s -> 252.93s]  новая Москва, парки Москвы,
[252.93s -> 254.93s]  реновация, промзона.
[254.93s -> 256.93s]  Допустим, вы нажимаете парки.
[256.93s -> 258.93s]  Это те парки, которые либо уже были
[258.93s -> 260.93s]  построены, либо строятся. Вот, например,
[260.93s -> 262.93s]  проект Собянина парк,
[262.93s -> 264.93s]  остров Мечты, который уже
[264.93s -> 266.93s]  открылся, как мы знаем. Вот о нем
[266.93s -> 268.93s]  можно подробно почитать информацию.
[268.93s -> 270.93s]  Также по бокам у нас есть онлайн
[270.93s -> 272.93s]  камеры, со помощью можно
[272.93s -> 274.93s]  приближать и увеличивать любые
[274.93s -> 276.93s]  интересующие вас здания. Так, например,
[276.93s -> 278.93s]  если левой дальней от нас камерой
[278.93s -> 280.93s]  мы приблизим территорию зоопарка,
[280.93s -> 282.93s]  там можем разглядеть двух маленьких
[282.93s -> 284.93s]  жерафиков, уменьшенных 400 раз.
[284.93s -> 286.93s]  Были люди, которых вам приходилось
[286.93s -> 288.93s]  выгонять отсюда? Есть определенные правила,
[288.93s -> 290.93s]  например, запрещено с собаками.
[290.93s -> 292.93s]  Я помню случай, когда очень
[292.93s -> 294.93s]  так упаковали собаку,
[294.93s -> 296.93s]  так что мы ее вовремя не обнаружили,
[296.93s -> 298.93s]  потом я уже заметила, когда этот
[298.93s -> 300.93s]  прекрасный мужчина фоткался со своей
[300.93s -> 302.93s]  собакой у фотобудки.
[302.93s -> 304.93s]  И, наверное, в алкогольном состоянии,
[304.93s -> 306.93s]  хотя все-таки стараемся не пускать.
[306.93s -> 308.93s]  Вот недавно, буквально три недели
[308.93s -> 310.93s]  мы были закрыты на чистку
[310.93s -> 312.93s]  и на актуализацию.
[312.93s -> 314.93s]  Во-первых, добавили новые домики, а старые
[314.93s -> 316.93s]  посносили. То есть у нас даже нанесены
[316.93s -> 318.93s]  здания, которые в реальной жизни
[318.93s -> 320.93s]  еще не до конца построены.
[320.93s -> 322.93s]  И макет в таком случае,
[322.93s -> 324.93s]  когда его чистят полностью, разбирается,
[324.93s -> 326.93s]  он был в полностью разобранном
[326.93s -> 328.93s]  состоянии по одному квадрату.
[328.93s -> 330.93s]  У нас есть специальные пылесосы,
[330.93s -> 332.93s]  специальные там щеточки.
[332.93s -> 334.93s]  Думала, с пепидастом кто-то ходит такой,
[334.93s -> 336.93s]  все домики протирает. Ну и мы обычно
[336.93s -> 338.93s]  отвечаем, что у нас человек-паук,
[338.93s -> 340.93s]  он просто вот так спускается
[340.93s -> 342.93s]  и протирает. Да, протирает.
[342.93s -> 344.93s]  Макет действительно полностью разбирается.
[344.93s -> 346.93s]  Это еще не финальная часть макета.
[346.93s -> 348.93s]  Макет будет расширяться.
[348.93s -> 350.93s]  Сейчас его площадь 429 квадратных метров
[350.93s -> 352.93s]  будет 927.
[352.93s -> 354.93s]  И тогда нам уже выдадут наш огромный
[354.93s -> 356.93s]  постоянный павильон. Я так понимаю, что
[356.93s -> 358.93s]  когда будет 900 метров, то вы еще и плюс к всему станете
[358.93s -> 360.93s]  самым большим макетом в Европе, да?
[360.93s -> 362.93s]  Если не успеют построить
[362.93s -> 364.93s]  более большой макет к тому времени,
[364.93s -> 366.93s]  то да. А как вы считаете, с кем
[366.93s -> 368.93s]  сюда лучше всего приходить, кого сюда лучше приводить?
[368.93s -> 370.93s]  Не собак.
[370.93s -> 372.93s]  Лучше приводить, наверное,
[372.93s -> 374.93s]  людей интересующихся,
[374.93s -> 376.93s]  не обывателей, которым интересна история
[376.93s -> 378.93s]  города. Для таких людей у нас есть экскурсии,
[378.93s -> 380.93s]  у нас даже есть экскурсии о архитектурной
[380.93s -> 382.93s]  стиле. Все шоу, они рассчитаны
[382.93s -> 384.93s]  абсолютно на разный контингент.
[384.93s -> 386.93s]  Например, есть развлекательные шоу
[386.93s -> 388.93s]  с песенками, а есть мастера
[388.93s -> 390.93s]  Маргарита, это шоу по булга,
[390.93s -> 392.93s]  кого очень познавательно, если кого-то интересует
[392.93s -> 394.93s]  литература и так далее,
[394.93s -> 396.93s]  то тоже приходите. А как записаться
[396.93s -> 398.93s]  в экскурсию? На сайте либо у администратора
[398.93s -> 400.93s]  по телефону, очень доступными
[400.93s -> 402.93s]  способами. Записывайтесь.
[402.93s -> 404.93s]  Команда специалистов выполняет
[404.93s -> 406.93s]  весь процесс. Архитекторы, графики,
[406.93s -> 408.93s]  макетчики, все эти люди нужны, чтобы
[408.93s -> 410.93s]  создать это произведение
[410.93s -> 412.93s]  искусства. Все эти люди собирают,
[412.93s -> 414.93s]  окрашивают, подсоединяют дома
[414.93s -> 416.93s]  и вносят их в компьютерную базу.
[416.93s -> 418.93s]  Команда из 60 специалистов,
[418.93s -> 420.93s]  художников, архитекторов, графиков,
[420.93s -> 422.93s]  макетчиков выполняет весь
[422.93s -> 424.93s]  процесс. Готовят чертижи зданий,
[424.93s -> 426.93s]  создают рельеф местности, вырезают пластиковые
[426.93s -> 428.93s]  макеты, окрашивают дома,
[428.93s -> 430.93s]  подключают их подсветки и вносят в компьютерную
[430.93s -> 432.93s]  базу данных. Процесс дорогой
[432.93s -> 434.93s]  и трудоемкий.
[434.93s -> 436.93s]  Богом здесь и правда можно себя почувствовать.
[436.93s -> 438.93s]  Дело в том, что здесь есть вот такая интерактивная
[438.93s -> 440.93s]  панель, где можно управлять всей Москвой.
[440.93s -> 442.93s]  Смотрите, берете, нажимаете
[442.93s -> 444.93s]  вся Москва и, например,
[444.93s -> 446.93s]  радуга. И мы можем наблюдать,
[446.93s -> 448.93s]  как Москва заливается красивой
[448.93s -> 450.93s]  радугой. Точно так же можно делать
[450.93s -> 452.93s]  лунную ночь, осенние облака
[452.93s -> 454.93s]  и солнечный день. Так что, если вы хотите
[454.93s -> 456.93s]  поиграться с Москвой, приходите
[456.93s -> 458.93s]  сюда. Как вы видите, в будний день
[458.93s -> 460.93s]  народу здесь совсем нет.
[460.93s -> 462.93s]  Так что, если вы хотите провести выходной
[462.93s -> 464.93s]  в одиночестве или чтобы
[464.93s -> 466.93s]  вокруг вас не было людей, то приходите
[466.93s -> 468.93s]  сюда. Ну и, конечно, здесь можно посмотреть
[468.93s -> 470.93s]  шоу, насладиться. Оно все-таки не одно,
[470.93s -> 472.93s]  а их несколько. Так что зависнуть
[472.93s -> 474.93s]  на полдня здесь можно. Вам здесь
[474.93s -> 476.93s]  нравится вообще? Нравится. Вот. Да,
[476.93s -> 478.93s]  я впервые. Впервые? И как вам здесь?
[478.93s -> 480.93s]  Чувствуете себя богом? Если сверху смотреть,
[480.93s -> 482.93s]  то да. Очень красиво,
[482.93s -> 484.93s]  больше детально, и можно с высоты
[484.93s -> 486.93s]  увидеть то, что за один раз не увидишь
[486.93s -> 488.93s]  на улице. Вы нашли уже свой дом или вот сейчас
[488.93s -> 490.93s]  пытаетесь? К сожалению, наш дом не входит
[490.93s -> 492.93s]  в пределы этого. А, так говорят, что скоро
[492.93s -> 494.93s]  расширят. Скоро дойдем и до нас.
[494.93s -> 496.93s]  Значимые места мы, конечно, нашли. Вот сейчас
[496.93s -> 498.93s]  мы по кругу идем ищем.
[498.93s -> 500.93s]  Весь по кругу. Нам нужен сокол.
[500.93s -> 502.93s]  Сокол. А что в сокол там, кстати говоря, находится?
[502.93s -> 504.93s]  А какая часть Москвы вам больше всего нравится?
[504.93s -> 506.93s]  Северная Тушина. Больше, наверное, банально
[506.93s -> 508.93s]  центр просто, потому что
[508.93s -> 510.93s]  это красиво, это значимо. Можно тут
[510.93s -> 512.93s]  провести свой один выходной? Одного дня
[512.93s -> 514.93s]  здесь недостаточно, я думаю,
[514.93s -> 516.93s]  тут и на неделю можно растянуть
[516.93s -> 518.93s]  вдовольствие. Я считаю, что да. Обойти
[518.93s -> 520.93s]  всю территорию, просто разглядывая мелочи, можно
[520.93s -> 522.93s]  потратить несколько часов. Весь, наверное, нет
[522.93s -> 524.93s]  на часы от вас. На часы от вас удовольствия.
[524.93s -> 526.93s]  Ну что, давайте смотреть световое шоу,
[526.93s -> 547.07s]  как раз началось. Кого можно сюда
[547.07s -> 549.07s]  привезти в свой выходной? Мне кажется,
[549.07s -> 551.07s]  можно привезти вообще всех, неважно,
[551.07s -> 553.07s]  сколько тебе лет, чем ты занимаешься.
[553.07s -> 555.07s]  Надо просто стоять и говорить здесь «лепота»,
[555.07s -> 557.07s]  «лепота».
[557.07s -> 559.07s]  Мой город, моя Москва.
[559.07s -> 561.07s]  Мы делаем макеты.
[561.07s -> 563.07s]  А, серьезно, вы тоже в теме?
[563.07s -> 565.07s]  Сложно делать такие макеты?
[565.07s -> 567.07s]  Мне сказали, что он может стоить
[567.07s -> 569.07s]  от 15 до 45 тысяч рублей.
[569.07s -> 571.07s]  Это правда.
[571.07s -> 573.07s]  Как вам шоу?
[573.07s -> 575.07s]  Сыну пригласил, потому что
[575.07s -> 577.07s]  строительство имеет какое-то отношение.
[577.07s -> 579.07s]  Интересно посмотреть, как все развивалось,
[579.07s -> 581.07s]  как строится.
[581.07s -> 583.07s]  Мы с парнем учились.
[583.07s -> 585.07s]  А в Челябинске нет такого макета?
[585.07s -> 587.07s]  Нет, конечно.
[587.07s -> 589.07s]  Мне тут все понравилось,
[589.07s -> 591.07s]  но выходной здесь не проведешь.
[591.07s -> 593.07s]  Два часа может быть от силы.
[593.07s -> 595.07s]  Классно, что можно посмотреть с высока
[595.07s -> 597.07s]  на Москву, при этом не замерзая
[597.07s -> 599.07s]  на улице. Ребят,
[599.07s -> 601.07s]  ставлю свою оценку. 8 из 10.
[601.07s -> 603.07s]  По-моему, это круто.
[603.07s -> 605.07s]  Как видите, бесплатно можно качественно
[605.07s -> 607.07s]  провести свой выходной.
[607.07s -> 609.07s]  А сейчас мы узнаем, что же может
[609.07s -> 611.07s]  предложить нам Москва, если в кармане есть
[611.07s -> 613.07s]  крутящих купюр. Оказалось, миниатюр
[613.07s -> 615.07s]  за деньги тоже не так уж много.
[615.07s -> 617.07s]  За деньги в Москве есть
[617.07s -> 619.07s]  на что взглянуть. Например, музей Диарама
[619.07s -> 621.07s]  Царь Макет. Находится он тоже
[621.07s -> 623.07s]  на ВДНХ, на улице Константинова 11А.
[623.07s -> 625.07s]  Помимо Москвы, там
[625.07s -> 627.07s]  представлены и другие города, так сказать,
[627.07s -> 629.07s]  Россия, в миниатюре. Стоимость
[629.07s -> 631.07s]  билета 500 рублей. С экскурсией
[631.07s -> 633.07s]  или квестом дороже. В одной из программ
[633.07s -> 635.07s]  мы рассказывали про миниатюры машин.
[635.07s -> 637.07s]  Так вот, в Москве есть еще и музей
[637.07s -> 639.07s]  маленьких человечков. Для тех, у кого
[639.07s -> 641.07s]  есть авто, в Звениграде, в шале отеля
[641.07s -> 643.07s]  таежной дачи есть целый лего-город
[643.07s -> 645.07s]  площадью 350 квадратных метров.
[645.07s -> 647.07s]  Цена за билет для ребенка
[647.07s -> 649.07s]  350-400 рублей, а
[649.07s -> 651.07s]  для взрослого 500. Также
[651.07s -> 653.07s]  за отдельную плату тут есть и экскурсии,
[653.07s -> 655.07s]  и квесты. Но у нас нет автомобиля,
[655.07s -> 657.07s]  так что мы пойдем в центр Москвы.
[657.07s -> 659.07s]  Именно тут, на трубной площади
[659.07s -> 661.07s]  Дом-2 в Неглинной галереи находится
[661.07s -> 663.07s]  музей Брик Стар. Брик, кстати,
[663.07s -> 665.07s]  переводится как кирпич, а
[665.07s -> 667.07s]  Стар как звезда. Ну и какие же
[667.07s -> 669.07s]  кирпичики у нас самые звездные?
[669.07s -> 671.07s]  Конечно, лего. Пойдемте смотреть.
[671.07s -> 673.07s]  На самом деле, Брик Стар –
[673.07s -> 675.07s]  имя создателя этого мира маленьких
[675.07s -> 677.07s]  человечков. Он – один из самых
[677.07s -> 679.07s]  популярных блогеров в мире лего,
[679.07s -> 681.07s]  Данил Брик Стар, также известный как
[681.07s -> 683.07s]  Варлорд, с миллионом фанатов по всему
[683.07s -> 685.07s]  миру. Вы сможете увидеть
[685.07s -> 687.07s]  огромный трехуровневый лего-город,
[687.07s -> 689.07s]  населенный тысячи лего-человечков,
[689.07s -> 691.07s]  модели люксовых автомобилей и мировых
[691.07s -> 693.07s]  архитектурных шедевров, редкие
[693.07s -> 695.07s]  эксклюзивные наборы по известным сериям
[695.07s -> 697.07s]  фильмов и книг, фигурки с американского
[697.07s -> 699.07s]  фестиваля Comic-Con и многое другое.
[699.07s -> 701.07s]  Казалось бы, маленькие
[701.07s -> 703.07s]  лего-человечки, а на самом
[703.07s -> 705.07s]  деле дорогое удовольствие.
[705.07s -> 707.07s]  Эта красочная экспозиция стоит
[707.07s -> 709.07s]  10 миллионов рублей.
[709.07s -> 711.07s]  Вот во что надо было вкладываться вместо биткоинов.
[711.07s -> 713.07s]  Цена за взрослый билет – 600 рублей,
[713.07s -> 715.07s]  а вот за детский вы отдадите 300.
[715.07s -> 717.07s]  Иногда даже действует промокод на скидку,
[717.07s -> 719.07s]  которую можно узнать в инстаграм-музее.
[719.07s -> 721.07s]  А вот цены на фигурки могут
[721.07s -> 723.07s]  достигать космических значений.
[723.07s -> 725.07s]  Когда и не подумаешь, что за такую мелочь
[725.07s -> 727.07s]  придется отдать целое состояние.
[727.07s -> 729.07s]  Но самые эксклюзивные здесь, конечно,
[729.07s -> 731.07s]  и не продаются.
[731.07s -> 733.07s]  Эта экспозиция весит целых три тонны,
[733.07s -> 735.07s]  а самый большой конструктор – это
[735.07s -> 737.07s]  «Титаник». В нем 990 деталей.
[737.07s -> 739.07s]  Все наборы расставлены
[739.07s -> 741.07s]  тематически. Находятся они вот в таких
[741.07s -> 743.07s]  вот стеклянных боксах с подсветкой,
[743.07s -> 750.22s]  между прочим, даже ночной.
[750.22s -> 752.22s]  Найдите здесь кинотеатр, пожарную
[752.22s -> 754.22s]  часть или поезд. Это, кстати, будет
[754.22s -> 756.22s]  несложно, а вот найти домик Симпсонов
[756.22s -> 758.22s]  уже посложней.
[758.22s -> 760.22s]  Вся коллекция была собрана владельцем
[760.22s -> 762.22s]  музея Данем Брикстаром на протяжении
[762.22s -> 764.22s]  10 лет. А сама
[764.22s -> 766.22s]  экспозиция подготавливалась около
[766.22s -> 768.22s]  полугода. То есть Даня Брикстар
[768.22s -> 770.22s]  начал как-то собирать все «Лего»
[770.22s -> 772.22s]  и вот дошел до такого. Если вдруг мне
[772.22s -> 774.22s]  что-то здесь понравится, могу ли я себе
[774.22s -> 776.22s]  это купить? К сожалению, то, что у нас
[776.22s -> 778.22s]  представлено в музее, это не продается,
[778.22s -> 780.22s]  но у нас есть прекрасный магазин с редкими наборами.
[780.22s -> 782.22s]  Сколько вы создавали эту экспозицию?
[782.22s -> 784.22s]  Все строительство заняло
[784.22s -> 786.22s]  больше полугода. В основном
[786.22s -> 788.22s]  большинство наборов уже были собраны,
[788.22s -> 790.22s]  мы их в основном сюда перевозили, и тут
[790.22s -> 792.22s]  уже собирали какие-то заново,
[792.22s -> 794.22s]  какие-то все-таки уцелели. Вы же их пересчитываете,
[794.22s -> 796.22s]  этих «Лего» человечков? Никто не убегал
[796.22s -> 798.22s]  еще у вас, нет? Пока никто не убегал.
[798.22s -> 800.22s]  В данный момент здесь находится чуть больше
[800.22s -> 802.22s]  двух тысяч человечков. Часто ли вы
[802.22s -> 804.22s]  протираете, купаете? Мы стараемся
[804.22s -> 806.22s]  всегда, конечно, следить за чистотой,
[806.22s -> 808.22s]  хоть и не всегда это получается.
[808.22s -> 810.22s]  Чувствуешь себя богом в этот момент, когда ты моешь маленьких
[810.22s -> 812.22s]  «Лего» человечков? Я себя чувствую богом,
[812.22s -> 814.22s]  когда я включаю режим ночного города.
[814.22s -> 816.22s]  Не смотрели по камерам? Может, все как в фильме «Лего Лэн»,
[816.22s -> 818.22s]  все оживает, двигается?
[818.22s -> 820.22s]  Мы подозреваем. Возможно, такой исход
[820.22s -> 822.22s]  тут происходит, но... Пока что никто
[822.22s -> 824.22s]  не видел, да? Ничего подобного не замечали.
[824.22s -> 826.22s]  Надо глянуть по камерам.
[826.22s -> 828.22s]  Все знают, что «Лего» — самая большая боль —
[828.22s -> 830.22s]  это наступить на детальку. Наступали когда-нибудь?
[830.22s -> 832.22s]  Да, и наступал,
[832.22s -> 834.22s]  так сам по себе ранился во время сборки,
[834.22s -> 836.22s]  особенно каких-то больших конструкций или
[836.22s -> 838.22s]  передвижения тех же самых наборов.
[838.22s -> 840.22s]  Какая самая большая конструкция, которую ты строил?
[840.22s -> 842.22s]  Дети в восторге, а родители
[842.22s -> 844.22s]  рады от того, что дети в восторге,
[844.22s -> 846.22s]  глаза разбегаются, хочется все рассмотреть
[846.22s -> 848.22s]  и побыть тут подольше. Фотографии
[848.22s -> 850.22s]  у вас будет точно много.
[850.22s -> 852.22s]  Какая деталь у вас самая дорогая?
[852.22s -> 854.22s]  Это этот человек-паук. На данный момент
[854.22s -> 856.22s]  их всего полторы тысячи было выпущено
[856.22s -> 858.22s]  на весь мир, и выдавали их случайным
[858.22s -> 860.22s]  людям, которые посетили
[860.22s -> 862.22s]  мероприятие «Комикон» в 2019 году
[862.22s -> 864.22s]  в Сан-Диего в США. То есть это эксклюзив
[864.22s -> 866.22s]  даже, он даже... Столько он стоит?
[866.22s -> 868.22s]  Его стоимость доходит до 150 тысяч
[868.22s -> 870.22s]  на различных площадках за рубежом.
[870.22s -> 872.22s]  Есть люди, кто готов
[872.22s -> 874.22s]  отдавать такие деньги за них?
[874.22s -> 876.22s]  Есть, на самом деле, еще дороже гораздо фигурки
[876.22s -> 878.22s]  и люди готовы платить за них
[878.22s -> 880.22s]  абсолютно любые деньги, коллекционеры,
[880.22s -> 882.22s]  готовы на все ради своего. Страшно быть
[882.22s -> 884.22s]  коллекционером в наше время.
[884.22s -> 886.22s]  Скажи про эти панели. Это серия
[886.22s -> 888.22s]  «Лего-Арт». По очень многим
[888.22s -> 890.22s]  вселенным были сделаны уже картины,
[890.22s -> 892.22s]  и по «Битлз», и по «Звездным войнам».
[892.22s -> 894.22s]  Скоро должны выйти по «Бэтмену».
[894.22s -> 896.22s]  На самом деле, самый большой набор
[896.22s -> 898.22s]  «Лего» принадлежит как раз серии «Лего-Арт»
[898.22s -> 900.22s]  в картине огромной, там «Карта мира»,
[900.22s -> 902.22s]  там 11 тысяч деталей. Но
[902.22s -> 904.22s]  состоят они из таких вот небольших, маленьких
[904.22s -> 906.22s]  деталей. Насколько я знаю, что такие картины
[906.22s -> 908.22s]  сейчас делают, ну, с твоим лицом.
[908.22s -> 910.22s]  То есть можно сделать собственную, в человеческом.
[910.22s -> 912.22s]  Конечно, конечно, есть для этого различные
[912.22s -> 914.22s]  приложения, которые можно скачать.
[914.22s -> 916.22s]  И можно просто купить, прийти вот в такой наборчик
[916.22s -> 918.22s]  просто, или какие-то цвета определенные, или нет?
[918.22s -> 920.22s]  Самому только, если собрать.
[920.22s -> 922.22s]  Вот через определенные приложения, самому
[922.22s -> 924.22s]  собирать уже каким-то своим эскизом.
[924.22s -> 926.22s]  А вот именно картины подобного плана
[926.22s -> 928.22s]  можно приобрести в магазинах так же у нас.
[928.22s -> 930.22s]  Сколько ты дольше всего собирал
[930.22s -> 932.22s]  набор «Лего» вот один?
[932.22s -> 934.22s]  Максим хватало, по-моему, часов на 10.
[934.22s -> 936.22s]  Самая редкая достопримечательность — это
[936.22s -> 938.22s]  как раз эльфиобашня. На данный момент
[938.22s -> 940.22s]  стоимость доходит в запечатанном виде около 300
[940.22s -> 942.22s]  тысяч рублей. Очень редкие.
[942.22s -> 944.22s]  Да, это, кстати, является самый высокий
[944.22s -> 946.22s]  набор «Лего» за всю его историю.
[946.22s -> 948.22s]  А какой у вас здесь вообще самый дорогой набор?
[948.22s -> 950.22s]  С фигуркой разобрались?
[950.22s -> 952.22s]  Это «Звезда смерти» было выпущено в 2005 году
[952.22s -> 954.22s]  и является одним из самых наших
[954.22s -> 956.22s]  дорогих наборов музея. Стоимость его
[956.22s -> 958.22s]  в запечатанном виде на данный момент
[958.22s -> 960.22s]  доходит до полумиллиона рублей.
[960.22s -> 962.22s]  Надо было в это вкладываться, а не в битпоин.
[962.22s -> 964.22s]  Это коллекционная версия.
[964.22s -> 966.22s]  Есть также ее аналог,
[966.22s -> 968.22s]  который выходил в 2008 году.
[968.22s -> 970.22s]  Игровая версия уже с фигурками.
[970.22s -> 972.22s]  Я чувствую себя здесь прям ребенком!
[972.22s -> 974.22s]  Вы знаете, я хожу, казалось бы,
[974.22s -> 976.22s]  я взрослый человек, но все равно я залипаю
[976.22s -> 978.22s]  на эти маленькие фигурки, возвращаюсь обратно
[978.22s -> 980.22s]  в ностальгию и вспоминаю, как я собирала
[980.22s -> 982.22s]  свой первый мега-набор!
[982.22s -> 984.22s]  Лега!
[984.22s -> 986.22s]  Это класс, правда, мне здесь очень нравится.
[986.22s -> 988.22s]  Скажи, что тебе больше всего понравилось тут?
[988.22s -> 990.22s]  Я вообще все вам отвергалась, эти фигурки черепашек.
[990.22s -> 992.22s]  А ты фанат черепашек-низе?
[992.22s -> 994.22s]  Да. Я их обожаю.
