[4.78s -> 7.22s]  Три, два, один!
[237.12s -> 242.12s]  За одну минуту он уже забил три меча.
[242.12s -> 244.12s]  Давай, четвертый.
[245.12s -> 250.12s]  Я пытался более-менее ровно выстроить так, чтобы мячи все были
[250.12s -> 253.12s]  ближе к лункам.
[253.12s -> 257.12s]  За того, что лунки были маленькие, мяч он туда заезжал,
[257.12s -> 260.12s]  вставал, который заехал в лунку, и не получилось дальше
[260.12s -> 263.12s]  проталкивать из-за ветра.
[263.12s -> 266.12s]  Прошло полторы минуты.
[266.12s -> 268.12s]  А чего время есть, сам рассуди.
[268.12s -> 272.12s]  Полторы минуты прошло, он закатил только три шара.
[272.12s -> 274.12s]  Живой, не сломай нам забор.
[274.12s -> 276.12s]  Ой-ой-ой.
[276.12s -> 279.12s]  Музык я и раздвинул просто.
[279.12s -> 283.12s]  Сломал наш белярный стол.
[283.12s -> 286.12s]  Так, две минуты прошло.
[286.12s -> 290.12s]  Как вы понимаете, это оказалось не так просто, как все думали.
[290.12s -> 292.12s]  Он уж попробует задом.
[292.12s -> 294.12s]  Да он там кайфует, он вообще не спешит.
[294.12s -> 297.12s]  Давай, давай.
[297.12s -> 299.12s]  Есть.
[299.12s -> 302.12s]  Три минуты прошло.
[302.12s -> 305.12s]  Он уже смог добить семь штук.
[305.12s -> 308.12s]  Полторы минуты осталось.
[308.12s -> 313.01s]  Так, ой, восемь, девять.
[313.01s -> 317.96s]  Девять мячей.
[317.96s -> 319.96s]  Так, пошла последняя минута.
[319.96s -> 322.96s]  Девять мячей есть.
[322.96s -> 325.96s]  Давай, давай, давай, десятый.
[325.96s -> 328.96s]  Десять точно надо.
[328.96s -> 331.96s]  Напоминаю, что парни борются за тысячу долларов.
[331.96s -> 334.96s]  Давай, тридцать секунд.
[334.96s -> 340.74s]  Я считаю, что мне повезло с машиной.
[340.74s -> 343.74s]  Потому что она ниже всех.
[343.74s -> 347.74s]  Она не имеет проблем ни с цеплением, ни с передачами.
[347.74s -> 350.74s]  Пятнадцать секунд.
[350.74s -> 353.74s]  Неужели он не сможет забить?
[353.74s -> 356.74s]  Восемь, семь.
[356.74s -> 362.74s]  Пять, четыре, три, два, один.
[363.74s -> 366.74s]  Не засчитывается, не засчитывается.
[366.74s -> 369.74s]  Результат.
[369.74s -> 372.74s]  Девять мячей.
[372.74s -> 376.74s]  Понравился, было очень интересно испытать новые эмоции.
[376.74s -> 379.74s]  Потому что зажигой я не сидел.
[379.74s -> 384.74s]  Получается, надо попасть в лунку, сдать назад, подровняться,
[384.74s -> 387.74s]  шарики под машину залезать.
[387.74s -> 390.74s]  Мне совсем удобно, но это очень интересно.
[390.74s -> 394.74s]  Хороший результат, я тебя поздравляю, девять мячей.
[394.74s -> 397.74s]  Красавчик.
[397.74s -> 400.74s]  Сейчас будет самое интересное.
[400.74s -> 403.74s]  Да, да, да.
[418.74s -> 421.74s]  Следующий участник у нас Илья.
[421.74s -> 424.74s]  Твои пять минут начинается прямо сейчас.
[424.74s -> 427.74s]  Давай!
[427.74s -> 430.74s]  Просто врывается, врывается Люда.
[430.74s -> 433.74s]  Но пока, к сожалению, ни одного.
[433.74s -> 436.74s]  А, нет, один мяч есть.
[436.74s -> 441.74s]  В первую очередь я решил сбоку подъехать к мячам,
[441.74s -> 444.74s]  чтобы сразу бить не в центр, а сбоку,
[444.74s -> 447.74s]  чтобы мячи целенаправно летели в лузу.
[447.74s -> 450.74s]  Два мяча есть.
[450.74s -> 453.74s]  Прошло всего тридцать секунд.
[453.74s -> 456.74s]  Это именно те самые мячи.
[456.74s -> 463.17s]  Это именно те соревнования,
[463.17s -> 466.17s]  где проявляется навык механики.
[466.17s -> 470.74s]  Опа, на третий мяч закатился.
[470.74s -> 473.74s]  Медленно, но верно закатился.
[473.74s -> 476.74s]  Надо ему подбросить, давай.
[476.74s -> 479.74s]  Удар!
[479.74s -> 482.74s]  Ты смотри, ты сейчас ему помол.
[482.74s -> 485.74s]  Вот, вот, видал? Молодец.
[485.74s -> 488.74s]  Смотри, смотри, Дима сейчас.
[488.74s -> 491.74s]  Он его уничтожил.
[491.74s -> 494.74s]  Минус один, да, братан.
[494.74s -> 497.74s]  Подо мной лопнул шар, я смотрел на его взгляд,
[497.74s -> 500.74s]  потом я понимал, что что-то идет не так,
[500.74s -> 503.74s]  начал переживать, что это какое-то штрафное очко,
[503.74s -> 506.74s]  это будет шар минус в мою сторону,
[506.74s -> 509.74s]  или что может пойти не так.
[509.74s -> 512.74s]  Мне кажется, Илья точно не выиграет.
[512.74s -> 515.74s]  Он забил три мяча, уничтожил один мяч.
[515.74s -> 518.74s]  Давай, давай, все, четыре мяча.
[518.74s -> 521.74s]  Еще один.
[521.74s -> 524.74s]  Осталось минута сорок пять.
[524.74s -> 527.74s]  Полторы минуты.
[527.74s -> 530.74s]  Все, пять мячей есть.
[532.74s -> 535.74s]  Давай, давай, выполнение плохо получается.
[535.74s -> 538.74s]  Семь, семь мячей, давай.
[538.74s -> 541.74s]  Пятьдесят секунд.
[541.74s -> 544.74s]  Восемь мячей, восемь мячей, давай вперед.
[544.74s -> 547.74s]  Девять мячей.
[547.74s -> 550.74s]  Давай в УТ, давай, давай.
[550.74s -> 555.37s]  Сорок секунд.
[555.37s -> 561.47s]  Давай, давай. Десять.
[561.47s -> 564.47s]  Давай, тридцать секунд.
[564.47s -> 567.47s]  Я начал нервничать, и началась большая смотоха,
[567.47s -> 570.47s]  когда я параллельно переключению передач
[570.47s -> 573.47s]  должен был думать, как загонять мячи,
[573.47s -> 576.47s]  как что-то делать, и подобные вот эти вот мысли
[576.47s -> 579.47s]  меня туманивали разум, и я не мог это
[579.47s -> 582.47s]  сконцентрироваться, чтобы взять и только вот мяч загнать.
[582.47s -> 585.47s]  Давай, если его заканчиваешь, выигрыш.
[585.47s -> 592.76s]  Один.
[592.76s -> 595.76s]  Десять секунд.
[595.76s -> 598.76s]  Парни стоят, смотрите на парне, они стоят напряги.
[598.76s -> 601.76s]  Не, не, не, не, стой, тормози.
[601.76s -> 604.76s]  Давай, давай, давай. Дожми его.
[604.76s -> 607.76s]  Вперед. Молодец.
[607.76s -> 610.76s]  И снова, смотрите, после горна
[610.76s -> 613.76s]  мяч снова закатился.
[613.76s -> 616.76s]  Впечатления отличные,
[616.76s -> 619.76s]  круто провел день, смог покататься
[619.76s -> 622.76s]  на русской машине,
[622.76s -> 625.76s]  ну и соответственно, азарт, с ребятами смог познакомиться,
[625.76s -> 628.76s]  поиграть в такую вот интересную игру, придуманную Димой.
[628.76s -> 631.76s]  Ну ты красавчик на.
[631.76s -> 634.76s]  Ну, начал ты тухло,
[634.76s -> 637.76s]  но потом начал загонять.
[637.76s -> 640.76s]  Это да, конечно.
[640.76s -> 643.76s]  Ты еще два мяча не взорвал. Да, я знаю, один я взорвал уже, конечно.
[643.76s -> 646.76s]  Нет, там еще два. Молодец.
[646.76s -> 649.76s]  Ну их, конечно, очень сложно под собой держать,
[649.76s -> 652.76s]  потому что они под машину залетают.
[652.76s -> 655.76s]  Да вроде нет. Да вот смотри. Все четко, все четко.
[655.76s -> 658.76s]  А итог сколько я закинул? Десять. А, десять?
[658.76s -> 661.76s]  Ну *****.
[661.76s -> 664.76s]  Сложно все это дается, потому что мячик
[664.76s -> 667.76s]  запрыгивает только под бампер и
[667.76s -> 670.76s]  катастрофически сложно его удержать под собой.
[670.76s -> 673.76s]  Когда они скапливаются в одну кучу, это вообще начинается
[673.76s -> 676.76s]  жесть какая-то.
[689.76s -> 692.76s]  Аршак едет у нас третьим.
[692.76s -> 695.76s]  Давай, давай, давай.
[698.76s -> 701.76s]  Тоже уверенно врывается.
[701.76s -> 704.76s]  Интересно, будь кто-нибудь, кто будет медленно, спокойно
[704.76s -> 707.76s]  забивать эти мячи. Так, один есть.
[707.76s -> 710.76s]  Я выезжаю в третий и использую тактику
[710.76s -> 713.76s]  такую, что не буду спешить.
[713.76s -> 716.76s]  Не буду спешить, буду смотреть, оценивать ситуацию.
[716.76s -> 719.76s]  Я верю в Аршака, мне кажется, у него есть все шансы на победу.
[719.76s -> 722.76s]  О, сейчас он поймет, что такое прикол.
[722.76s -> 725.76s]  А, вот я, смотри, раз.
[725.76s -> 732.70s]  Такий хитрый.
[732.70s -> 735.70s]  Ну все, вперед, вперед.
[735.70s -> 738.70s]  Вот это засада.
[738.70s -> 741.70s]  О, нифига себе.
[741.70s -> 744.70s]  Смотри, там крат, там крат.
[745.70s -> 748.70s]  Ой, ой, ой, ой.
[748.70s -> 751.70s]  Вы видели, тачка подпругивает на этом мяче.
[751.70s -> 754.70s]  Жестко.
[754.70s -> 757.70s]  Я боюсь, если сейчас мяк взорвется, ты взлетишь.
[757.70s -> 762.07s]  Да пофиг на него, забивает другие.
[762.07s -> 765.07s]  Когда взорвался один шарик,
[765.07s -> 768.07s]  все, начал аккуратничать, медленно подъезжать
[768.07s -> 771.07s]  к шарикам, и, то есть, поэтому у меня
[771.07s -> 774.07s]  шарики не отлетали. То есть, я наезжал на шарики
[774.07s -> 777.07s]  и они, я отъезжал, поэтому у меня как-то
[777.07s -> 780.07s]  шарики не расходились в разные стороны.
[780.07s -> 783.07s]  Один забил, один заживал. Прошла минута 15.
[783.07s -> 786.07s]  Давай, давай.
[786.07s -> 789.07s]  Арш, лево дай, лево.
[789.07s -> 795.69s]  Или, может быть, его тактика не работает.
[795.69s -> 798.69s]  Аршак, справа.
[798.69s -> 801.69s]  Давай лучше с краю, много шаров же.
[801.69s -> 804.69s]  Давай.
[807.69s -> 810.69s]  Судя по попытке Ильи, пока еще не все потеряно.
[810.69s -> 813.69s]  Потому что в последний момент может произойти
[813.69s -> 816.69s]  все, что угодно. Давай, полторы минуты осталось.
[824.83s -> 827.83s]  Да ****** в рот, ***.
[827.83s -> 830.83s]  Каждый раз я так волнуюсь, когда не...
[830.83s -> 833.83s]  Что-то отвалилось.
[834.83s -> 837.83s]  Лехе, кстати, очень повезло,
[837.83s -> 840.83s]  потому что у него заниженная тачка.
[840.83s -> 843.83s]  Потому что, как выяснилось, чем машина выше,
[843.83s -> 846.83s]  тем ей тяжелее забивать.
[854.83s -> 857.83s]  Давай!
[857.83s -> 860.83s]  Давай, 30 секунд!
[860.83s -> 863.83s]  30 секунд, давай!
[863.83s -> 866.83s]  Давай сейчас все подряд!
[866.83s -> 869.83s]  Пошли, один по другим!
[869.83s -> 872.83s]  Быстрее!
[872.83s -> 875.83s]  Четыре!
[875.83s -> 878.83s]  Давай, давай!
[878.83s -> 881.83s]  Пять!
[881.83s -> 884.83s]  В последний момент все почему-то активизируется.
[884.83s -> 887.83s]  Нет, нет, не пойдет!
[887.83s -> 897.17s]  Прикольно,
[897.17s -> 900.17s]  необычно, было весело.
[900.17s -> 903.17s]  Такого никогда не пробовал,
[903.17s -> 906.17s]  и вряд ли когда-либо попробуем
[906.17s -> 909.17s]  на машинах сбивать шары.
[909.17s -> 912.17s]  Ну, это весело, необычно.
[912.17s -> 915.17s]  Пять!
[915.17s -> 918.17s]  У меня уже жестко прям поднепалось.
[918.17s -> 921.17s]  Если честно, кажется, просто не фартануло.
[935.17s -> 938.17s]  Крайний четвертый участник у нас Юра.
[938.17s -> 941.17s]  Давай!
[941.17s -> 944.17s]  Я напомню, чтобы выиграть, ему надо забить 11 мячей.
[944.17s -> 947.17s]  Минимум 11. У него, к сожалению,
[947.17s -> 950.17s]  11, потому что два мы лопнули,
[950.17s -> 953.17s]  и у нас был только один в запасе.
[953.17s -> 956.17s]  Поэтому, как только он забьет один мяч,
[956.17s -> 959.17s]  я тут же ему закину его туда обратно,
[959.17s -> 962.17s]  чтобы у всех было одинаково количество мячей.
[962.17s -> 965.17s]  Мячей у всех было 15 ступ.
[965.17s -> 968.17s]  И вот у нас уже есть сразу три гола,
[968.17s -> 971.17s]  поэтому я пойду сейчас один забью.
[971.17s -> 974.17s]  Понял, что нужно не со всей силы,
[974.17s -> 979.06s]  как и случилось.
[979.06s -> 982.06s]  Ой-ой-ой!
[982.06s -> 985.06s]  Вот это уже не серьезно.
[985.06s -> 990.52s]  Он всю лунку расширил, да.
[990.52s -> 993.52s]  Это считается или нет?
[993.52s -> 998.79s]  Давайте еще раз.
[998.79s -> 1001.79s]  Так, считайте, сколько три.
[1001.79s -> 1004.79s]  И честно, он всю лунку пошире сделал.
[1004.79s -> 1007.79s]  Да не надо, два кинули!
[1007.79s -> 1010.79s]  Дим, один ушел!
[1010.79s -> 1016.51s]  О, сука!
[1016.51s -> 1019.51s]  И он тоже уничтожил один мяч.
[1019.51s -> 1022.51s]  Так, но этот же он уже забивал.
[1022.51s -> 1025.51s]  Прошло две минуты,
[1025.51s -> 1029.82s]  и он успел в это время забить четыре мяча.
[1029.82s -> 1032.82s]  И посмотрите, как радуется Илья.
[1032.82s -> 1037.52s]  Вообще-то он все лунки просто расширил.
[1037.52s -> 1040.52s]  Четыре, пять, шесть.
[1040.52s -> 1048.67s]  Шесть штуки, две минуты осталось.
[1048.67s -> 1051.67s]  За первые три заезда я увидел,
[1051.67s -> 1054.67s]  какие кто допускал ошибки.
[1054.67s -> 1057.67s]  Естественно, без ошибок я не проехал,
[1057.67s -> 1060.67s]  но пытался каким-то образом избегать всех ошибок,
[1060.67s -> 1065.05s]  которые допускали другие.
[1065.05s -> 1068.05s]  Так, это получается седьмой, восьмой.
[1068.05s -> 1071.05s]  Так, а сколько осталось?
[1071.05s -> 1074.05s]  Раз, два, три, четыре, пять, шесть, семь.
[1074.05s -> 1077.05s]  Ну, а у меня вообще, я же вообще его не подвинул.
[1077.05s -> 1084.50s]  Вау!
[1084.50s -> 1087.50s]  Одиннадцать закатил, получается, да, сейчас?
[1087.50s -> 1090.50s]  Давай эти шары там собирать как-то в кучу.
[1090.50s -> 1093.50s]  Они два встречаются, они влазят туда.
[1093.50s -> 1096.50s]  Я их туда пихаю, они не пихаются.
[1096.50s -> 1099.50s]  Я в другое место, тут это куча шаров.
[1099.50s -> 1102.50s]  Так, и осталось еще 30 секунд.
[1102.50s -> 1109.46s]  Он заглох.
[1110.46s -> 1113.46s]  Все, десять секунд.
[1113.46s -> 1116.46s]  Десять, девять, восемь, семь, шесть.
[1116.46s -> 1119.46s]  Он уже победил.
[1119.46s -> 1122.46s]  Пять, четыре, три, два, один.
[1127.46s -> 1130.46s]  У нас есть победитель.
[1130.46s -> 1133.46s]  Двенадцать забил, два лопнул, и один остался.
[1133.46s -> 1136.46s]  Впечатления, на самом деле, изубительные.
[1136.46s -> 1139.46s]  Лучше, чем я мог себе представить.
[1139.46s -> 1142.46s]  Ну ты хитрый, хитрый.
[1142.46s -> 1145.46s]  Ты лунки свои просто расширил с двух сторон
[1145.46s -> 1148.46s]  и начал туда пихать просто.
[1148.46s -> 1151.46s]  Не, братан, но поздравляю.
[1151.46s -> 1154.46s]  Это тяжело ******, на самом деле.
[1154.46s -> 1157.46s]  Ты урона сделала, конечно, мощно.
[1157.46s -> 1160.46s]  Я самый чистый игрок здесь.
[1160.46s -> 1163.46s]  Ни *** не взорвал ни одну.
[1163.46s -> 1166.46s]  Ну, я чутко, да, он...
[1166.46s -> 1169.46s]  Ну да, он развернул, туда два, два.
[1169.46s -> 1172.46s]  Я прочитаю, что я без шариков.
[1172.46s -> 1175.46s]  Нет, ты без шариков тоже.
[1175.46s -> 1178.46s]  И два шарика сразу не залетало.
[1178.46s -> 1181.46s]  Один за одним залетало.
[1181.46s -> 1184.46s]  Мне не понравилось в конце, там сразу сколько-то.
[1184.46s -> 1187.46s]  Вот с этой стороны.
[1187.46s -> 1190.46s]  Ну что, любители автобилиарда,
[1190.46s -> 1193.46s]  настало время подвести итоги
[1193.46s -> 1196.46s]  и понять, кто из вас убедил и кто заберет тысячу долларов.
[1196.46s -> 1199.46s]  Как, вообще, понравилось?
[1199.46s -> 1202.46s]  Да. Очень интересно, но очень необычно.
[1202.46s -> 1205.46s]  Особенно, когда наезжаешь на мяч, когда машина поднимается.
[1205.46s -> 1208.46s]  Итак, Аршак, у тебя результат
[1208.46s -> 1211.46s]  5 мячей. Неплохой результат,
[1211.46s -> 1214.46s]  но как минимум это самый эпичный заезд.
[1214.46s -> 1217.46s]  Твое место на педестале не может стоять, оно четвертое.
[1217.46s -> 1220.46s]  Вам спасибо за счастье.
[1220.46s -> 1223.46s]  Я не расстраиваюсь, я приехал сюда
[1223.46s -> 1226.46s]  просто поучаствовать. Прикольно провести время.
[1226.46s -> 1229.46s]  Попробовать, пообщаться.
[1229.46s -> 1232.46s]  И все.
[1232.46s -> 1235.46s]  Дальше, Леша. Я.
[1235.46s -> 1238.46s]  9 мячей, третье место. Спасибо.
[1238.46s -> 1241.46s]  Поздравляю. Призовое место.
[1241.46s -> 1244.46s]  Каждый будет расстраиваться от своих
[1244.46s -> 1247.46s]  неудач, но каждая неудача приведет к большой победе.
[1247.46s -> 1250.46s]  Илья, второе место.
[1250.46s -> 1253.46s]  10 мячей, между прочим. Нет, я не расстроился.
[1253.46s -> 1256.46s]  Я люблю участвовать в любых состязаниях.
[1256.46s -> 1259.46s]  Главная победа, не участи, я так считаю.
[1259.46s -> 1262.46s]  Я думал, что ты победишь,
[1262.46s -> 1265.46s]  потому что попытка у Юры не задалась.
[1265.46s -> 1268.46s]  Но потом, в конце как-то, ну усед на самом деле,
[1268.46s -> 1271.46s]  именно в конце, вроде как, понимаете, как забивать.
[1271.46s -> 1274.46s]  И он начал забивать один за другим.
[1274.46s -> 1277.46s]  Так, на первом месте с результатом 12 мячей.
[1277.46s -> 1280.46s]  Юра, давайте аплодисментов дадим.
[1280.46s -> 1283.46s]  Попытка у него не задалась,
[1283.46s -> 1286.46s]  но потом в конце он понял, как забивать.
[1286.46s -> 1289.46s]  И ты получаешь тысячу долларов,
[1289.46s -> 1292.46s]  и наш вот этот уже легендарный кубок.
[1292.46s -> 1295.46s]  Моя супруга в положении, и данную выигрыш
[1295.46s -> 1298.46s]  я планирую потратить супругой
[1298.46s -> 1308.28s]  с этой коляски.
[1308.28s -> 1311.28s]  Это был Безумный бильярд.
[1311.28s -> 1314.28s]  Конечно, мы могли бы просто снимать обзоры,
[1314.28s -> 1317.28s]  но мне кажется, это куда веселее.
[1317.28s -> 1320.28s]  И я вам буду доказывать это каждую неделю.
[1320.28s -> 1323.28s]  Это было 1000 долларов шоу.
[1323.28s -> 1326.28s]  Обязательно подписывайтесь на мой канал,
[1326.28s -> 1329.28s]  потому что именно вы можете стать участником следующего выпуска.
[1329.28s -> 1332.28s]  С вами был Дима Гордей. До новых встреч.
