[0.00s -> 2.00s]  Хо-хо! Роналд Уизме!
[324.83s -> 327.83s]  Вы попсовики просто, простите?
[327.83s -> 329.83s]  Конечно, нет!
[344.83s -> 349.83s]  А сделай, подожди, стоп, ну надо же пользоваться.
[349.83s -> 358.83s]  Подожди, поиграя пусть Никита таким голосом спет, потому что Клава Кока тебе таким голосом здесь не споет, который у нас был.
[358.83s -> 360.83s]  Отнотанно пользоваться моментом.
[360.83s -> 362.83s]  Никита пришел.
[362.83s -> 364.83s]  Сам нечаянно.
[364.83s -> 370.83s]  Давай, давай, подожди, ты по-любому вот эти песни в своих 80-х играл, или когда это было?
[370.83s -> 372.83s]  Я не совсем такие, но такие тоже были.
[373.83s -> 375.83s]  Надо текст какой-то.
[375.83s -> 377.83s]  Да, просто давай на импровизе что-нибудь.
[377.83s -> 379.83s]  Блин, ты же владеешь.
[424.07s -> 426.07s]  Стас, я другой преподаватель вокала нужен.
[426.07s -> 430.07s]  Я сейчас захотелось взять стул, начать все кружить.
[433.07s -> 435.07s]  А мне штаны переодеть.
[437.07s -> 440.07s]  По-любому вопрос тебе миллион раз задавали. Никита, я здесь, привет.
[441.07s -> 446.07s]  Это же конкретно учился? Это не расщепление?
[446.07s -> 447.07s]  Это расщепление.
[447.07s -> 448.07s]  Это расщепление?
[448.07s -> 450.07s]  Да, на ложных связках. Их несколько есть.
[450.07s -> 452.07s]  На ложных связках.
[452.07s -> 455.07s]  Я не знаю, как это правильно перевести.
[455.07s -> 457.07s]  Есть фрай, скрим.
[457.07s -> 459.07s]  Фрай и герда.
[459.07s -> 460.07s]  И фоус-корд.
[460.07s -> 461.07s]  Фоус-корд.
[461.07s -> 462.07s]  Да.
[462.07s -> 464.07s]  Вот это все внизу, это фоус-кордовая история.
[464.07s -> 467.07s]  Расскажи про вот этот стиль. Я просто ни черта в этом не знаю.
[467.07s -> 469.07s]  Где ложные связки, не ложные.
[469.07s -> 472.07s]  Как вообще их нащупать? Они знаешь, откуда берутся?
[472.07s -> 474.07s]  Магазин связок в Москве.
[474.07s -> 479.07s]  Магазин связок, да. Там приходишь, там стоит такой очень серьезный чувак с большими щеками.
[479.07s -> 482.07s]  В какой-то интересной шляпе, который делает...
[487.07s -> 489.07s]  Вот эту всю историю.
[491.07s -> 493.07s]  Это я тот чувак просто.
[493.07s -> 495.07s]  Смотри, так это в принципе...
[495.07s -> 497.07s]  Отсюда можно и...
[499.07s -> 501.07s]  Уже дойти до...
[501.07s -> 503.07s]  Это все там, то есть в этой же позиции.
[503.07s -> 508.07s]  Я когда в студенческие годы много выпивал, заходил в туалет, вот мне этот пасманский дьявол.
[508.07s -> 510.07s]  По сути надо, да, чуть больше тушиться.
[514.07s -> 518.07s]  А связки при этом не сажаются, то есть потом узлов не будет, потом они не...
[518.07s -> 520.07s]  Если делаешь правильно, нет.
[520.07s -> 525.07s]  Один знакомый, он был у фониатора, ему через нос камеру опустили туда.
[525.07s -> 529.07s]  Ну, когда ты видишь прямо на мониторе, как выглядят твои связки, как они работают.
[529.07s -> 531.07s]  И он начал вот эту всю историю делать.
[532.07s -> 536.07s]  И это прикольно, потому что фониатор просто пришел в какой-то восторг.
[536.07s -> 538.07s]  Потому что такой картины особо ты нигде не увидишь.
[538.07s -> 541.07s]  Они вообще по-другому выглядят в этот момент.
[541.07s -> 544.07s]  То есть когда там просят обычно... Ты был когда-нибудь у фониатора, смотрел на свои связки?
[544.07s -> 545.07s]  Конечно, конечно.
[545.07s -> 548.07s]  Если кто смотрел на свои связки, лайк, комент.
[548.07s -> 552.07s]  Просто если вы с ним не смотрели на свои связки, просто лайк и комент.
[552.07s -> 555.07s]  За Никитоса Бресникова нам, пожалуйста, лайк и комент.
[555.07s -> 557.07s]  Когда ты просто просят обычно сделать там...
[557.07s -> 561.07s]  И-и-и, то связочки, они просто вот так вот посмыкаются, бьются, да?
[561.07s -> 562.07s]  Да, да.
[562.07s -> 564.07s]  А когда ты делаешь вот это...
[564.07s -> 566.07s]  То есть не вот такая история какая-то вот происходит.
[566.07s -> 568.07s]  Что ты творишь со мной, что ты делаешь вот так вот?
[568.07s -> 569.07s]  Потом опять ровно...
[569.07s -> 571.07s]  Да они просто реально вот такие вот становятся.
[571.07s -> 573.07s]  Классно, какой-то мультяшник получается.
[574.07s -> 575.07s]  Блин, нифига себе, да, вот так вот.
[575.07s -> 577.07s]  Вот вы, Сергей, так пели в свое время?
[577.07s -> 578.07s]  Не, и связки не разглядывал свои.
[578.07s -> 579.07s]  Нет, у меня такого не было.
[579.07s -> 581.07s]  Но вы, Сергей, красиво поете.
[581.07s -> 585.07s]  Потому что наши подписчики всегда пишут, как же красиво поет Сергей.
[585.07s -> 586.07s]  Я им благодарен.
[586.07s -> 589.07s]  Это егинецные люди, которым нравится, когда я пою.
[596.50s -> 597.50s]  Давай начнем тогда с шоу «Маска».
[597.50s -> 598.50s]  Давай.
[598.50s -> 599.50s]  Как ты там оказался?
[599.50s -> 601.50s]  Вообще, ты же знаешь, как это работает.
[601.50s -> 604.50s]  Как только начинаешь в этой сфере как-то вариться,
[604.50s -> 607.50s]  где-то там что-то уже сделал, кто-то тебя там заметил, увидел.
[607.50s -> 610.50s]  И, как бы, о тебе немножко что-то кто-то-то знает.
[610.50s -> 611.50s]  Ну?
[611.50s -> 613.50s]  И, может быть, это еще повлияло естественно.
[613.50s -> 617.50s]  Ну, я так думаю, даже, наверное, уверен, что все сезоны
[617.50s -> 621.50s]  по какой-то непонятной причине Филипп видел меня в каждом участнике.
[621.50s -> 624.50s]  И, может быть, и продюсеры, наверное, уже подумали,
[624.50s -> 627.50s]  может быть, нам попробовать реально теперь его позвать.
[627.50s -> 628.50s]  А он не догадается.
[628.50s -> 630.50s]  Ну, какой-нибудь такой придумали хитрость.
[630.50s -> 632.50s]  И мне просто написали.
[632.50s -> 635.50s]  Здравствуйте, там, я редактор программы.
[636.50s -> 639.50s]  Вот нам бы очень хотелось пригласить вас поговорить
[639.50s -> 642.50s]  на тему ваше участие в этом шоу.
[642.50s -> 644.50s]  На что я такой?
[644.50s -> 648.50s]  Движуха Казерога, я пустой. Приходите в меня.
[648.50s -> 650.50s]  И ты пришел, соответственно.
[650.50s -> 652.50s]  Я пришел, потому что движуха классная.
[652.50s -> 653.50s]  Движуха интересная.
[653.50s -> 657.50s]  Там можно реально клевый музыкальный материал исполнять, импровизировать,
[657.50s -> 661.50s]  придумывать всякие разные фишки, прятать свой голос,
[661.50s -> 664.50s]  придумывать всякие вот эти вот секреты, тайны,
[664.50s -> 666.50s]  как ты спрячешь свой голос.
[666.50s -> 668.50s]  И мне это было интересно.
[668.50s -> 671.50s]  То есть как можно вообще, действительно, спрятать тембр?
[671.50s -> 674.50s]  Потому что тембр мне все всегда говорили, что достаточно узнаваемый.
[674.50s -> 676.50s]  Ну, в панике, друзья.
[676.50s -> 677.50s]  Да, понятно.
[677.50s -> 680.50s]  У тебя еще есть наследственная история по поводу тембра?
[680.50s -> 682.50s]  Наследственная узнаваемость.
[682.50s -> 686.50s]  А что, на твой взгляд, у тебя получилось в проекте «А что нет?»,
[686.50s -> 690.50s]  что хотелось бы сделать и что тебе не дали?
[690.50s -> 694.50s]  Ну, вот именно то, что мне не дали, мне обидно,
[694.50s -> 696.50s]  что реально не успел эту песню,
[696.50s -> 699.50s]  потому что в планах было спеть «Жил-был я» Крацкого.
[699.50s -> 703.50s]  И как раз меня кикнули, я вылетел.
[703.50s -> 706.50s]  А вы знаете эту песню «Жил-был я», нет? К сожалению.
[706.50s -> 708.50s]  Ну, если напоет, чуть-чуть им может...
[708.50s -> 709.50s]  Мне хотя бы...
[709.50s -> 710.50s]  Телефон вышел.
[710.50s -> 713.50s]  Я рад, что хотя бы на стриме ее спел.
[713.50s -> 717.50s]  Кто хотел посмотреть, что еще Козерог хотел бы спеть, но не успел,
[717.50s -> 718.50s]  все пришли на стримы.
[718.50s -> 721.50s]  Я всем исполнил то, что должен был спеть Козерог.
[721.50s -> 723.50s]  А что там аккапельно, пожалуйста?
[723.50s -> 724.50s]  Акакапельно?
[724.50s -> 727.50s]  Жил-был я стоит...
[727.50s -> 729.50s]  Сейчас там ниже, по-моему.
[729.50s -> 734.50s]  Жил-был я, стоит ли об этом?
[734.50s -> 739.50s]  Надо текст открыть, его немножечко не помню.
[739.50s -> 741.50s]  Если ты возьмешь телефон...
[741.50s -> 749.50s]  Но на колоннадах жил-был я, помнится, что жил...
[749.50s -> 751.50s]  Но там прям припев мощный.
[751.50s -> 756.50s]  Знал со слез нежилые стены,
[756.50s -> 760.50s]  Ночь без сна, сердце без теплы.
[760.50s -> 762.50s]  Но...
[762.50s -> 763.50s]  Я немножко...
[763.50s -> 765.50s]  Какое ощущение, что мы еще программу не снимаем,
[765.50s -> 767.50s]  пресняков распеваются, просто.
[767.50s -> 769.50s]  Можно потише, я распоюсь.
[769.50s -> 771.50s]  Уже клево, какой тембр голоса, вообще другой.
[771.50s -> 772.50s]  Абсолютно.
[772.50s -> 773.50s]  Козерожье?
[773.50s -> 775.50s]  Ночь...
[777.50s -> 779.50s]  Это знаешь, на кого похоже?
[779.50s -> 780.50s]  Шаляпин.
[780.50s -> 781.50s]  Нет?
[781.50s -> 782.50s]  Через вперед.
[782.50s -> 783.50s]  Вот так?
[783.50s -> 784.50s]  Да.
[784.50s -> 786.50s]  И сразу вот этот вот...
[786.50s -> 788.50s]  Ночь, свет и глаз,
[788.50s -> 793.50s]  смотри об этом...
[795.50s -> 797.50s]  А язык к небу при этом, помнишь, да?
[797.50s -> 799.50s]  Брат, ну ты вообще прям интересный человек.
[799.50s -> 801.50s]  А подожди.
[801.50s -> 803.50s]  Какие еще у тебя вокальные дыры есть?
[803.50s -> 805.50s]  Как еще надо лицо изменить свое,
[805.50s -> 807.50s]  чтобы просто кардинально быть...
[808.50s -> 809.50s]  Это Чечерину когда-нибудь...
[809.50s -> 811.50s]  Я...
[811.50s -> 812.50s]  Чтобы вот так вот писан...
[812.50s -> 813.50s]  Бабка Ёшка!
[813.50s -> 815.50s]  Давай еще нюшку возьмем.
[815.50s -> 816.50s]  Чечерина?
[816.50s -> 819.50s]  Как бабка Ёшка нюшку пьет, так как пропьем?
[819.50s -> 821.50s]  Бабка Ёшка...
[821.50s -> 823.50s]  Чечерину это в точь-точь мы делали.
[823.50s -> 825.50s]  И там...
[825.50s -> 826.50s]  Всё!
[826.50s -> 827.50s]  Это супер, вот этот...
[827.50s -> 829.50s]  Вот так надо перестроить этот микстовый.
[829.50s -> 830.50s]  Ни хрена себе!
[830.50s -> 833.50s]  Солнечный день, оранжевый плюс,
[833.50s -> 837.50s]  Я не успеваю и не тороплюсь.
[837.50s -> 841.50s]  Жара, жара, жареное солнце,
[841.50s -> 845.50s]  Больших городов, жара, жара...
[845.50s -> 849.64s]  Ни хрена себе!
[849.64s -> 851.64s]  Спасибо!
[855.34s -> 856.34s]  Вообще круто!
[856.34s -> 857.34s]  Я даже...
[857.34s -> 859.34s]  Не было, что я это когда-то вообще пробовал.
[859.34s -> 861.34s]  Хорошо, что получилось.
[861.34s -> 862.34s]  Ни фига, это очень круто!
[862.34s -> 865.34s]  Подожди, ты сам ищешь какие-то...
[865.34s -> 867.34s]  Преподаватель по вокалу есть?
[867.34s -> 869.34s]  Нет, но знаешь, что классное,
[869.34s -> 873.34s]  то, что везде можно было высасывать этот опыт,
[873.34s -> 874.34s]  как дементор, короче.
[874.34s -> 876.34s]  Потому что на всех программах,
[876.34s -> 880.34s]  в том же точь-точь или...
[880.34s -> 882.34s]  Вот на маске коуча не было,
[882.34s -> 885.34s]  но на точь-точь был, например.
[885.34s -> 888.34s]  Марина Паутева, очень-очень крутой педагог,
[888.34s -> 891.34s]  но там больше, получается, мы не занимались вокалом,
[891.34s -> 893.34s]  то есть нас не учили петь.
[893.34s -> 895.34s]  Она круто наводила.
[895.34s -> 896.34s]  То есть она прямо...
[896.34s -> 899.34s]  Вот условно мы разбирали, я помню, песню Бон Джови,
[899.34s -> 901.34s]  и я не мог там одну ноту сделать.
[901.34s -> 903.34s]  Она говорит, слушай, ну вот возьми ручку,
[903.34s -> 904.34s]  подойди к стене,
[904.34s -> 906.34s]  и в этот момент, когда надо сделать ноту,
[906.34s -> 909.34s]  ты прямо в эту стену ручкой.
[909.34s -> 910.34s]  И помогло.
[910.34s -> 911.34s]  Помогло?
[911.34s -> 912.34s]  А какая песня Бон Джови?
[912.34s -> 913.34s]  Always.
[913.34s -> 914.34s]  Always.
[918.34s -> 919.34s]  Знаете ее?
[919.34s -> 921.34s]  Сереж, на гитаре сыграешь,
[921.34s -> 923.34s]  а Никита бы спел.
[923.34s -> 925.34s]  Докажи, что нашел на импровизации.
[929.93s -> 933.07s]  О, круто.
[938.07s -> 940.07s]  Так она здесь будет фонить, нет?
[940.07s -> 941.07s]  Не-не-не.
[941.07s -> 942.07s]  Ты чего?
[942.07s -> 944.07s]  У нас хоть и дешевые, но хорошие микрофоны.
[944.07s -> 945.07s]  Может, фонишь хотеть?
[945.07s -> 946.07s]  Фонишь хотеть?
[946.07s -> 947.07s]  Нет.
[975.07s -> 999.07s]  Я уеду trimmed
[999.07s -> 1007.71s]  И не вернусь
[1007.71s -> 1043.78s]  Казирок изначально был фаворитом 100%, я могу сказать, что я не угадал, что ты там, явно, потому что очень разные композиции, и когда тебя, Бедросович, когда тебя вскрыл, то это да, по-разному можно сейчас...
[1043.78s -> 1055.79s]  Да, он во всем виноват. Я расстроился, честно говоря.
[1055.79s -> 1057.79s]  И он сам расстроился, причем сам меня первый не скрыл.
[1057.79s -> 1065.79s]  Да, ну блин, нафиг ты это делаешь? Я, честно говоря, расстроился, потому что ты дальше мог дойти, мог показывать свои таланты, ты сам расстроился.
[1065.79s -> 1070.79s]  Мне кажется, по лицу видно было. Ты повернулся вот так, казалось.
[1071.79s -> 1082.79s]  Нет, ну вначале, естественно, мне хотелось спеть «Жил бы у я», то есть я был настроен, что как минимум, я не рассчитывал, что я выиграю про это.
[1096.79s -> 1098.79s]  Спасибо, ребята. Продолжай, прости, пожалуйста.
[1099.79s -> 1102.79s]  У нас всегда так. Опа, песня в голову пришла.
[1102.79s -> 1105.79s]  Вот, я все уже забыл, что я хотел сказать.
[1105.79s -> 1107.79s]  Что ты расстроился? Ты сказал, что ты...
[1107.79s -> 1112.79s]  Ну, чуть-чуть, да, то, что как бы я думал, что еще мы споем это «Жил бы у я», вот.
[1116.79s -> 1126.79s]  Но потом, на самом деле, чуть-чуть, когда голова остыла, температура просто была, я подумал, что возможно это и к лучшему,
[1126.79s -> 1134.79s]  потому что, ну, как минимум, знаешь, как бы, я, возможно, тогда козерог ушел на хорошей ноте.
[1135.79s -> 1140.79s]  Потому что потом, ну, кто знает, может быть, потом песня могла бы как назло быть какая-нибудь неудачной,
[1140.79s -> 1146.79s]  либо, наоборот, все равно, когда там уже в конце или выигрываешь, поднимается ненужный хейт, то есть, ну, не знаю.
[1146.79s -> 1152.79s]  Тут так вот вышло, что он ушел и оставил хорошее впечатление, хорошее воспоминание.
[1152.79s -> 1156.79s]  Че, не похерен тебе на хейт? Че тебе пишут, не все равно?
[1156.79s -> 1161.79s]  Иногда да, иногда, не знаю, смотря, зависимость от настроения, да.
[1161.79s -> 1163.79s]  Да, хорош, мне кажется, тебе вообще...
[1163.79s -> 1165.79s]  У каждого человека есть болевые точки.
[1165.79s -> 1171.79s]  Ну, это ты по себе-то не суди. Ты заходишь под Музлов, читаешь, все самое хорошее, там из ста комментариев.
[1171.79s -> 1174.79s]  У нас реально классная аудитория, и спасибо нашей аудитории, она очень клевая.
[1174.79s -> 1175.79s]  А потом он плачет в ванной.
[1175.79s -> 1178.79s]  Не, подожди. Да, и очень много классного пишут.
[1178.79s -> 1183.79s]  Нам артисты, которые были в шоу Музлов, говорили, а вы что покупаете комментарии?
[1183.79s -> 1185.79s]  Я говорю, каким образом? Блин.
[1185.79s -> 1188.79s]  И Сережа читает все, позитивно.
[1188.79s -> 1192.79s]  И раз из тысячи комментариев ты увидишь каких-то...
[1192.79s -> 1197.79s]  Да, каких-то два беспонтовых и начинаешь заводиться, звонить мне, говорить, я уйду.
[1197.79s -> 1204.79s]  Это на психологическом уровне почему-то так работает, и причем я все знаю, что не нужно обращать внимание.
[1204.79s -> 1219.79s]  Но там же инораз говорят совершенно не по делу, а чего доказывать? Вот он заводится по каким-то музыкальным составляющим, когда... Что тебе говорят? Когда там пишут «Сережа, вы прекрасно поете», а мне как реагировать, когда «Сережа, вы поете лучше, чем Стас»? Это что, как мне реагировать? Закрывать программу мне?
[1220.79s -> 1221.79s]  Как на правду, здесь уже...
[1222.79s -> 1224.79s]  Я бы просто его выгнал, да и все, жал бы другому.
[1225.79s -> 1237.79s]  Не, на самом деле, если честно, меня к ней так сильно не парят уже очень давно. Есть просто какая-то одна капелька... Вот почему я сказал, от настроения зависит.
[1238.79s -> 1248.79s]  То есть вот мне может он несколько лет не парить, а потом вот какое-то вот такое вот настроение, и ты в этот момент, вот какая-то капля этого последнего, какой-то комментарий такой, ну все.
[1251.10s -> 1255.10s]  Так ты еще и отвечаешь, что ли? Ты отвечаешь? Реально?
[1256.10s -> 1258.10s]  Я говорю раз в несколько лет, может быть.
[1259.10s -> 1266.10s]  Потому что ты сейчас говорил, что у меня вот когда капля, и я такой, типа, я такой же, вот честно врать не буду, но чтобы я...
[1269.10s -> 1270.10s]  Нет?
[1271.10s -> 1272.10s]  Ну один раз было. Ну вот.
[1273.10s -> 1277.10s]  Ну такой, знаешь, я в основном стараюсь сарказмом отвечать. А тебя-то что ломало, скажи, пожалуйста.
[1277.10s -> 1283.10s]  А что Серега там со звездами работал? Откуда ты знаешь? Может он, да вот он-то с Агутиной, да он Агутину может чай подносил.
[1284.10s -> 1287.10s]  Да, подносил, но это было два раза.
[1288.10s -> 1289.10s]  Первый человек, который комментарий наизусть, по-моему.
[1290.10s -> 1293.10s]  Это такую честь сейчас оказали. А какой пользователь, имя пользователя?
[1295.10s -> 1298.10s]  Ну я, кстати, не ответил. Я оставил без внимания.
[1299.10s -> 1300.10s]  Поплакал и...
[1301.10s -> 1302.10s]  Поплакал и все.
[1303.10s -> 1311.10s]  Скажи, а в проекте участвовала супруга твоего отца, как вот было соперничать с Наташей Дольской?
[1312.10s -> 1317.10s]  Ну, на самом деле, во-первых, я не знаю, как Наташа, но я не знал, что там Наташа.
[1318.10s -> 1321.10s]  Вы не общались на эту тему, вы не говорили. Она тебе не говорила, что типа...
[1322.10s -> 1328.10s]  Я один раз даже спросил у папы, и он сказал нет, но я начал уже думать, что что-то не чисто.
[1328.10s -> 1331.10s]  Первое заметила Аленка, жена моя.
[1332.10s -> 1333.10s]  Потому что она смотрит и говорит...
[1334.10s -> 1335.10s]  А ты жене не говорил тоже?
[1336.10s -> 1337.10s]  Нет, вот она единственная, кто знала.
[1338.10s -> 1345.10s]  Ну а как еще мне объяснить все свои вот эти вот очень долгие пропадания на целый день?
[1346.10s -> 1350.10s]  А что, ты некреативный парень? Отвечаю хейтерам? Меня нет.
[1351.10s -> 1356.10s]  Да нет, но у нас очень все доверительно, и она точно никуда там это все не сдаст, не расскажет, не подумает.
[1356.10s -> 1359.10s]  Там же какой пункт в контракте? Сколько, сколько, если ты...
[1360.10s -> 1362.10s]  Немного, но это если куда-то прольется.
[1363.10s -> 1366.10s]  То есть, если условно она снимет сторис или там расскажет подругам, кто-то узнает.
[1367.10s -> 1369.10s]  А сколько у нас цой был, да, приходил, рассказывал? Какая там...
[1370.10s -> 1371.10s]  Семь мультов?
[1372.10s -> 1373.10s]  Да.
[1374.10s -> 1377.10s]  Я просто плохо, видимо, читал договоры.
[1379.10s -> 1380.10s]  Вау, фух.
[1381.10s -> 1383.10s]  И что, и что, Аленка? Аленка не проговорилась, Аленка...
[1383.10s -> 1388.10s]  Не, в этом плане нет, но она первая увидела и поняла, что это, скорее всего, Наташа.
[1389.10s -> 1392.10s]  И я при чем-то смотрю и говорю, да не, да да, ну послушай.
[1393.10s -> 1394.10s]  Да не, да да.
[1395.10s -> 1396.10s]  Не.
[1397.10s -> 1401.10s]  Ну и потом, да, оказалось, мне сам было интересно, кто там окажется.
[1402.10s -> 1403.10s]  И оказалась Наташа.
[1404.10s -> 1408.10s]  А что изменилось в жизни после проекта? Кардинально как-то повлиялся, повлиял проект тебе? Фидбэк какой?
[1408.10s -> 1413.10s]  Ну, в какой-то момент прибавилось просмотры на Твиче.
[1414.10s -> 1415.10s]  Так. А ты в игры играешь?
[1416.10s -> 1417.10s]  А ты не любишь компьютерные игры?
[1418.10s -> 1420.10s]  Я играю только в хоккей и в баскетбол, больше я не могу не бегать стрелять там...
[1421.10s -> 1425.10s]  Просто есть, понимаешь, сейчас уже, ну современные игры, они выходят на таком космическом уровне,
[1426.10s -> 1431.10s]  что какие-нибудь сериалы большие там, ну огромные сериалы, фильмы, они уже рядом не стоят.
[1432.10s -> 1435.10s]  В плане сценария, например, той же самой виртуальной вот этой режиссуры,
[1435.10s -> 1441.10s]  то есть там же актеры уже играют в играх, на них цепляются все датчики, они реально проигрывают все вот это, да.
[1442.10s -> 1448.10s]  И ты уже получается не просто смотришь какой-то контент, какой-то сюжет, а ты в нем участвуешь полностью.
[1449.10s -> 1452.10s]  И чувствуешь, что переживаешь герою на каком-то другом вообще уровне.
[1453.10s -> 1454.10s]  Потому что ты им все проходишь.
[1455.10s -> 1456.10s]  А ты в какие игры играешь?
[1457.10s -> 1460.10s]  Слушай, ну все свежие блокбастеры, которые выходят, я прохожу.
[1461.10s -> 1462.10s]  То есть это...
[1463.10s -> 1464.10s]  Стратегии стрелялки?
[1465.10s -> 1466.10s]  Стратегии стрелялки.
[1467.10s -> 1471.10s]  Они разные есть. Именно если брать игры с гениальным сюжетом.
[1472.10s -> 1479.10s]  Например, одна есть, которая оставила реально большое впечатление на меня, наверное, пожизненно и вдохновила мной.
[1480.10s -> 1484.10s]  Это BioShock Infinite, это от первого лица стрелялка, но она...
[1485.10s -> 1486.10s]  Какой-то есть определенный жанр.
[1488.10s -> 1493.10s]  Narrative это у нас получается. Повествовательная стрелялка от первого...
[1494.10s -> 1495.10s]  Повествовательный. Narrative.
[1496.10s -> 1497.10s]  С первого лица.
[1498.10s -> 1500.10s]  Учим английский в Музловте с Никитой Пресниковым. Narrative.
[1501.10s -> 1502.10s]  Narrative.
[1503.10s -> 1504.10s]  Вот.
[1505.10s -> 1509.10s]  И там вроде от первого лица, но ты так чувствуешь героя, ты так чувствуешь всю эту историю.
[1510.10s -> 1511.10s]  Это ну просто великолепно.
[1511.10s -> 1515.10s]  Что тебе говорит, когда ты играешь в игры? Аленка, хватит играть.
[1516.10s -> 1519.10s]  Выходи в прямой эфир с песнями, зарабатывай деньги.
[1520.10s -> 1522.10s]  Я стараюсь все равно планировать в свободное время.
[1523.10s -> 1529.10s]  То есть я понимаю, что это мне никак не отразится на каких-то делах важных, то я могу себе позволить.
[1530.10s -> 1534.10s]  И плюс с Twitch-ом теперь получилось так, что я совместил все свои любимые занятия.
[1534.10s -> 1541.10s]  То есть я совместил видеоигры с тем, что теперь я могу играть не один, а делать из этого еще какой-то контент, условно.
[1542.10s -> 1548.10s]  Я совместил навыки монтажа и понял, что на Twitch-е можно куча всего там придумывать в плане каких-то заготовок.
[1549.10s -> 1556.10s]  То есть я, например, делаю такие эффекты, что я могу хлопнуть на душу, я исчез из тула или там делаю технику клонирования, создается мой клон.
[1557.10s -> 1559.10s]  Я говорю, чувак, я в туалет схожу, ты пока сядь, поиграй на гитаре.
[1559.10s -> 1562.10s]  Он такой, не вопрос, мой клон садится, берет гитару, начинает играть.
[1563.10s -> 1565.10s]  Потом я прихожу такой, все, отсюда давай сматывайся.
[1566.10s -> 1568.10s]  Он такой, хорошо, исчезает, дымочек превращается.
[1569.10s -> 1571.10s]  И я сажусь обратно и продолжаю стрим.
[1572.10s -> 1573.10s]  То есть всякие такие фишки я делаю.
[1574.10s -> 1582.10s]  Это все вот навыки как раз монтажа и все то, что я технические вот эти штуки знаю, все короче использую в Twitch-е.
[1583.10s -> 1587.10s]  А можно вот так вот, допустим, Савин такой, я сейчас уйду и вместо него гитарист поиграл и все.
[1588.10s -> 1590.10s]  А вы когда после нас какие компьютерные игры играли вообще?
[1591.10s -> 1592.10s]  Я с первой спички костер разжигаю.
[1594.10s -> 1595.10s]  А как ты его тушишь?
[1596.10s -> 1597.10s]  Тушу его уже я.
[1600.10s -> 1604.10s]  Вот интересно, вот наша аудитория, кто-то играет в компьютерные игры, напишите в комментариях какие.
[1605.10s -> 1606.10s]  Да, кстати, очень интересно, ребята.
[1607.10s -> 1608.10s]  Давайте споем что-нибудь.
[1609.10s -> 1610.10s]  Давай.
[1611.10s -> 1612.10s]  Что-нибудь может из известных каких-нибудь композиций?
[1613.10s -> 1615.10s]  Билли Альша, ты Билли Альша пел в маске?
[1615.10s -> 1616.10s]  Нет.
[1617.10s -> 1619.10s]  Ну, кстати, хорошая идея, жалко, что я тогда не предложил.
[1620.10s -> 1622.10s]  А давайте из маски тоже, из маски что-нибудь можем мы спеть?
[1623.10s -> 1624.10s]  Давай, можем мы из маски и Билли Альша можем тоже.
[1682.16s -> 1683.16s]  Ну что случилось?
[1686.24s -> 1689.24s]  Уж ты наступила зима.
[1690.24s -> 1693.24s]  В день когда ты мне приснилась,
[1694.24s -> 1698.24s]  все придумала сама.
[1699.24s -> 1703.24s]  Землю тихо опустилась,
[1704.24s -> 1708.24s]  зима, зима, зима.
[1709.24s -> 1712.24s]  Ты меня не погасил,
