[4.59s -> 6.59s]  поворот туда
[869.56s -> 872.38s]  Разговор окончен.
[873.38s -> 879.38s]  Но там будет американский биатлонист Джон Винтер.
[880.38s -> 883.38s]  Именно он увел твою жену, если я не ошибаюсь.
[884.38s -> 915.47s]  Джон Винтер.
[916.47s -> 919.47s]  Мы идем за тобой.
[920.47s -> 928.37s]  Вась, я скажу то, что для тебя не новость.
[929.37s -> 937.09s]  Мы шли с тобой очень долгий и тяжелый путь.
[938.09s -> 942.09s]  И это все то, к чему мы шли с тобой все это время.
[944.78s -> 947.78s]  Вась, порви его.
[948.78s -> 949.78s]  Ты меня понял?
[950.78s -> 951.78s]  Вась, порви его.
[952.78s -> 955.35s]  Ты меня понял?
[956.35s -> 957.35s]  Спасибо, что поверил мне.
[958.35s -> 959.35s]  Победит, как в Америке.
[960.35s -> 962.35s]  Сначала fuck with boy, а потом fuck you.
[963.35s -> 965.35s]  Вначале победить надо вот так.
[966.35s -> 967.35s]  А ты такой крутой.
[970.11s -> 971.11s]  Сейчас мы это сделаем.
[972.11s -> 973.11s]  И вот так потом.
[977.11s -> 978.11s]  Вон они, Russian boy.
[997.04s -> 1000.04s]  Добро пожаловать на финальную гонку биатлона.
[1001.04s -> 1007.04s]  Сегодня у нашей любимой страны России есть настоящий шанс получить вот такое золото.
[1008.04s -> 1010.04s]  Russian boy стоит.
[1011.04s -> 1012.04s]  Победить ты, наверное, не сможешь.
[1013.04s -> 1014.04s]  Хорошо, наверное, получится.
[1015.04s -> 1018.04s]  Я трахать, твоя жена и тебя fuck тоже.
[1019.04s -> 1023.04s]  Can you do it for me?
[1024.04s -> 1025.04s]  Russian chick.
[1026.04s -> 1029.04s]  У меня даже sky с моей длине, чем у тебя.
[1030.04s -> 1031.04s]  Твой вот этот вот там.
[1032.04s -> 1033.04s]  Russian cock.
[1034.04s -> 1035.04s]  You can do it for me.
[1036.04s -> 1037.04s]  Ты не победить.
[1038.04s -> 1041.04s]  Так как в Америке вот так вот, вот так вот, крестами.
[1041.04s -> 1042.04s]  Вот так вот.
[1043.04s -> 1046.04s]  Раз четвертую, и я тебя вот так тоже поделаю.
[1047.04s -> 1048.04s]  You can take it easy.
[1049.04s -> 1050.04s]  I can help you.
[1051.04s -> 1052.04s]  Take it.
[1053.04s -> 1055.04s]  Come on, Russian boy.
[1056.04s -> 1057.04s]  Take it easy.
[1058.04s -> 1060.04s]  Дорогие дамы и господа, с вами Корней Тарасов.
[1061.04s -> 1065.04s]  И сегодня я буду комментировать эту сумасшедшую гонку по биатлону.
[1066.04s -> 1067.04s]  Погнали.
[1072.04s -> 1075.04s]  И вот наш спортсмен вырывается вперед.
[1079.78s -> 1080.78s]  Russian boy.
[1081.78s -> 1082.78s]  You can't stop me.
[1083.78s -> 1084.78s]  Fucker.
[1085.78s -> 1086.78s]  Don't stop me.
[1087.78s -> 1093.44s]  И вот американец вырывается вперед русского.
[1094.44s -> 1099.38s]  Стараюсь.
[1100.38s -> 1101.38s]  Run faster, Russian.
[1102.38s -> 1110.51s]  Давай, Джон.
[1111.51s -> 1130.50s]  И вот два спортсмена уже на ровне.
[1131.50s -> 1135.22s]  Джон, молодец.
[1135.22s -> 1136.22s]  Джон, молодец.
[1137.22s -> 1138.22s]  Not today, man.
[1152.58s -> 1157.01s]  Русский.
[1158.01s -> 1161.01s]  Запомни, ты только петух, а я гангстер.
[1162.01s -> 1163.01s]  Американский.
[1169.37s -> 1170.37s]  Russian.
[1171.37s -> 1172.37s]  Куда слава?
[1173.37s -> 1174.37s]  Что ты, ёбнич?
[1191.09s -> 1192.09s]  Американец достал ружьё.
[1193.09s -> 1195.09s]  Что он задумал, что он задумал?
[1195.09s -> 1196.09s]  Докен русский.
[1197.09s -> 1199.91s]  Вася.
[1200.91s -> 1201.91s]  Юанно.
[1202.91s -> 1203.91s]  Вася.
[1204.91s -> 1208.89s]  И что?
[1209.89s -> 1210.89s]  Победа.
[1211.89s -> 1212.89s]  Победа.
[1213.89s -> 1214.89s]  Победа.
[1215.89s -> 1224.66s]  Вася.
[1225.66s -> 1226.66s]  Люда.
[1227.66s -> 1228.66s]  Зачем?
[1229.66s -> 1230.66s]  Зачем ты это сделала?
[1231.66s -> 1232.66s]  Джон, подлец.
[1233.66s -> 1234.66s]  Я не могу по-другому поступить.
[1235.66s -> 1236.66s]  Я так скучал.
[1238.66s -> 1239.66s]  Прости, что я бросила тебя.
[1240.66s -> 1245.70s]  Россия тебя не бросит никогда.
[1246.70s -> 1252.06s]  Ты должен стать чемпионом.
[1253.06s -> 1254.06s]  Я чемпион, Люда.
[1255.06s -> 1256.06s]  Что?
[1257.06s -> 1258.06s]  Я выиграл.
