[0.00s -> 1.34s]  Что ты не Hyung?
[90.63s -> 91.63s]  Так получилось.
[91.63s -> 92.63s]  Так получилось и все.
[92.63s -> 93.63s]  Но фильм мы смотрели, да.
[93.63s -> 94.63s]  Я не знаю, почему.
[94.63s -> 96.63s]  Действительно, когда мы начали цениться больше
[96.63s -> 98.63s]  и у нас прическа все было...
[98.63s -> 99.63s]  Нас начало раздувать.
[99.63s -> 100.63s]  Нас начало раздувать.
[100.63s -> 102.63s]  И прическа все начало длиннее и длиннее быть.
[102.63s -> 104.63s]  Многие говорят, вы как «Няньки», вы как «Няньки».
[104.63s -> 105.63s]  Даже уже с универа.
[105.63s -> 108.63s]  Думал, а с чего так нас вообще сравнивают?
[108.63s -> 110.63s]  Потому что, во-первых, мы не были такими большими,
[110.63s -> 112.63s]  как они, но просто в образ кидаются
[112.63s -> 114.63s]  два близнеца с длинными волосами,
[114.63s -> 115.63s]  более-менее в форме.
[115.63s -> 117.63s]  И, может быть, у многих возникала...
[117.63s -> 118.63s]  Ассоциация.
[118.63s -> 119.63s]  И в шортиках.
[119.63s -> 120.63s]  И в шортиках, да.
[120.63s -> 121.63s]  И в шортиках тоже были.
[121.63s -> 122.63s]  Ну, летом.
[122.63s -> 123.63s]  А в чем лет?
[123.63s -> 124.63s]  Мы никого не копируем.
[124.63s -> 125.63s]  Нам просто нравится длинная прическа,
[125.63s -> 127.63s]  нравится заниматься спортом и все.
[127.63s -> 128.63s]  А так просто впало.
[128.63s -> 129.63s]  Совпадение.
[129.63s -> 130.63s]  Ну, хорошо.
[130.63s -> 131.63s]  Смотрите, вы парни Одесски.
[131.63s -> 132.63s]  Вы переехали недавно в Москву.
[132.63s -> 133.63s]  Совсем недавно.
[133.63s -> 134.63s]  Да.
[134.63s -> 135.63s]  А как это вам далось?
[135.63s -> 136.63s]  Как вам Москва?
[136.63s -> 138.63s]  Все, новая страна, новый город.
[138.63s -> 139.63s]  Совсем другой темп.
[139.63s -> 140.63s]  Расскажите.
[140.63s -> 141.63s]  Вообще так.
[141.63s -> 142.63s]  Как получилось?
[142.63s -> 144.63s]  У нас в планах всегда было куда-то переехать.
[144.63s -> 145.63s]  Сначала мы думали в Киев.
[145.63s -> 147.63s]  Потом, в любом случае, у нас цель была Москва.
[147.63s -> 148.63s]  Это город...
[148.63s -> 149.63s]  Нам всегда нравилась Москва.
[149.63s -> 150.63s]  Почему бы нет?
[150.63s -> 151.63s]  Да.
[151.63s -> 152.63s]  Во-первых, здесь многие ребята,
[152.63s -> 153.63s]  с которыми мы всегда общаемся.
[153.63s -> 155.63s]  Мы же занимаемся стримами.
[155.63s -> 156.63s]  Ну да, стримерскими как-то.
[156.63s -> 157.63s]  Да.
[157.63s -> 158.63s]  Сначала мы с этими всеми ребятами
[158.63s -> 159.63s]  общались в интернете.
[159.63s -> 160.63s]  Потом переехали в Москву.
[160.63s -> 162.63s]  Москва, город, это движняк.
[162.63s -> 163.63s]  Мне нравится движение.
[163.63s -> 165.63s]  Я люблю сниматься во всех роликах.
[165.63s -> 167.63s]  Я люблю проводить стримы со всеми ребятами.
[167.63s -> 168.63s]  В хорошем смысле этого слова.
[168.63s -> 169.63s]  Да.
[169.63s -> 170.63s]  Да, да, да.
[170.63s -> 172.63s]  Это мы не знаем, в каких еще роликах он снимается,
[172.63s -> 173.63s]  когда ты спишь.
[173.63s -> 174.63s]  Нет, нет.
[174.63s -> 175.63s]  Он спит в соседней комнате.
[175.63s -> 176.63s]  В соседней комнате, да.
[176.63s -> 177.63s]  Хорошо.
[177.63s -> 179.63s]  Поэтому, в принципе, мне нравится очень Москва.
[179.63s -> 180.63s]  Я люблю движняк.
[180.63s -> 181.63s]  А мне?
[181.63s -> 182.63s]  Тебе тоже.
[182.63s -> 183.63s]  Хорошо, нам.
[183.63s -> 184.63s]  Я всегда привык говорю,
[184.63s -> 185.63s]  значит, мне, это значит, я, это мы.
[185.63s -> 186.63s]  Перефразируем.
[186.63s -> 187.63s]  Нам нравится Москва.
[187.63s -> 188.63s]  Мне нравится движняк.
[188.63s -> 189.63s]  Мне еще нравится, например,
[189.63s -> 190.63s]  путешествовать по разным странам,
[190.63s -> 191.63s]  к которым мы планируем это делать.
[191.63s -> 192.63s]  Так, какой список?
[192.63s -> 193.63s]  Ближайшие три страны, которые вы хотите просто.
[193.63s -> 194.63s]  Смотри, загадывать не будем,
[194.63s -> 195.63s]  но в планах в любом случае по Европе поездить.
[195.63s -> 196.63s]  Может быть, даже добраться и до Америки.
[196.63s -> 197.63s]  Вот это я очень хочу.
[197.63s -> 198.63s]  Америка была бы глобальная цель.
[198.63s -> 199.63s]  Америка – топ.
[199.63s -> 200.63s]  Смотрите, если взять такой средств,
[200.63s -> 201.63s]  подборку того, что вы стримали раньше.
[201.63s -> 202.63s]  Это была домашняя тренажерка, кулинария,
[202.63s -> 203.63s]  да, там какие-то задания за донат,
[203.63s -> 204.63s]  еще что-то.
[204.63s -> 205.63s]  Сейчас больше появилось коллаборации.
[206.63s -> 222.69s]  Сейчас появились какие-то там сериалы.
[222.69s -> 224.35s]  То есть как будто бы со стороны кажется,
[224.35s -> 225.91s]  что как будто бы ваш контент становится
[225.91s -> 230.55s]  серьезнее, осознаннее.
[230.55s -> 231.55s]  Не такого?
[231.55s -> 232.55s]  Ну смотри, по поводу контента конкретно,
[232.55s -> 234.39s]  мы всегда хотели внедрять игровые стримы,
[234.39s -> 235.39s]  потому что мне кажется,
[235.39s -> 238.19s]  Мы с детства играем в игры. Не перебил, дополнил.
[238.19s -> 240.19s]  Хорошо, дополнил. Правильно. Дополнение нормально.
[240.19s -> 243.19s]  Поэтому мы всегда любили совмещать спорт с играми.
[243.19s -> 245.19s]  Во-первых, мы всегда играли в игры.
[245.19s -> 248.59s]  Мы всегда играли в игры, нам нравятся моба игры, нам нравятся шутеры.
[248.59s -> 250.59s]  А че моба, че лол или дота?
[250.59s -> 251.59s]  Лол и дота.
[251.59s -> 252.59s]  И лол и дота.
[252.59s -> 254.59s]  Знаешь, интересный факт.
[254.59s -> 256.59s]  Не знаю, может это не интересный, а может и интересный.
[256.59s -> 257.59s]  Факты жизни.
[257.59s -> 259.59s]  Начали играть в лол, когда он только вышел.
[259.59s -> 261.59s]  Первый мой чемпион был какой, вспомнил?
[261.59s -> 262.59s]  Мой был ноктюрн.
[262.59s -> 263.59s]  Я взял эш.
[263.59s -> 264.59s]  Эш знаешь.
[264.59s -> 265.59s]  Дай Кэрри играл.
[265.59s -> 267.59s]  А я взял ноктюрн и пошел на топ.
[267.59s -> 269.59s]  А че вы в киберспорт не траяли никогда?
[269.59s -> 271.59s]  Рассказываю, рассказываю.
[271.59s -> 272.59s]  Рассказывай.
[272.59s -> 274.59s]  У нас не то, что был выбор.
[274.59s -> 276.59s]  Спасибо.
[276.59s -> 278.59s]  Мы всегда совмещали спорт с играми.
[278.59s -> 280.59s]  И в принципе спорта мы всегда занимались профессионально с детства.
[280.59s -> 282.59s]  У нас такая дисциплина очень на хорошем уровне.
[282.59s -> 284.59s]  У нас был большой теннис профессионально.
[284.59s -> 285.59s]  Потом футбол.
[285.59s -> 287.59s]  То есть у нас стоял выбор.
[287.59s -> 289.59s]  Мы и очень хорошо играли в шутерные игры.
[289.59s -> 291.59s]  Мы играли в Пойнтбланк.
[291.59s -> 293.59s]  Там можно было регистрироваться в какая-то лига.
[293.59s -> 295.59s]  Это было очень давно.
[295.59s -> 297.59s]  Когда только зарождалась эта ESL и что-то подобное.
[297.59s -> 299.59s]  Я не знаю, как называлась эта лига.
[299.59s -> 301.59s]  Все команды ССО СНГ там регистрировались.
[301.59s -> 303.59s]  И играли, кто хотел играть на должном уровне.
[303.59s -> 305.59s]  На более серьезном.
[305.59s -> 307.59s]  Мы с самого низа дошли до топ-2.
[307.59s -> 309.59s]  Но только мы не слышали о себе, когда мы играли в Пойнтбланк.
[309.59s -> 311.59s]  Ну же вы читеры, естественно.
[311.59s -> 313.59s]  Да, не только.
[313.59s -> 315.59s]  По поводу конкретно как мы хотим развиваться.
[315.59s -> 317.59s]  Вот я думаю, мне нравится конкретно с братиком заниматься тем, что конкретно мы и делаем.
[317.59s -> 319.59s]  Это спортивные тренировки обязательно.
[319.59s -> 321.59s]  Это возможно кулинарные стримы.
[321.59s -> 323.59s]  В какое-то время не часто.
[323.59s -> 325.59s]  В каком-то возможно другом формате.
[325.59s -> 327.59s]  Наверное, скорее всего, будет в виде шоу.
[327.59s -> 329.59s]  Что-то более концентрированное.
[329.59s -> 331.59s]  Более интересное, а не просто готовить какие-то блюда.
[331.59s -> 333.59s]  Хотя просто готовить какие-то блюда тоже интересно.
[337.59s -> 339.59s]  Но у нас в Панах, например, сделано какое-то прикольное шоу.
[339.59s -> 341.59s]  Возможно в кулинарном формате, это точно.
[341.59s -> 343.59s]  Тренировки в любом случае будут оставаться.
[345.59s -> 347.59s]  Сейчас посмотрим.
[347.59s -> 349.59s]  Ближе к лету это будут ARL-стримы.
[349.59s -> 351.59s]  Это будут различные челленджи.
[351.59s -> 353.59s]  И спортивные, и не только с девушками.
[353.59s -> 355.59s]  Папку зовите.
[355.59s -> 357.59s]  Это нам надо.
[357.59s -> 359.59s]  Как вы считаете, сейчас в вашей аудитории
[359.59s -> 361.59s]  все-таки что больше заходит?
[361.59s -> 363.59s]  Спортивный контент?
[363.59s -> 365.59s]  Или ARL какой-то просто?
[365.59s -> 367.59s]  Или просмотры аниме?
[367.59s -> 369.59s]  Или прохождение игр?
[369.59s -> 371.59s]  Потому что мне кажется, как будто бы спортивного контента
[371.59s -> 373.59s]  от вас уже прям насмотрелись.
[373.59s -> 375.59s]  И как будто что-то другое хотят еще.
[375.59s -> 377.59s]  Им нравится наша аудитория конкретно заходить
[377.59s -> 379.59s]  и смотреть на нас, с нами общаться.
[379.59s -> 381.59s]  Получать позитив.
[381.59s -> 383.59s]  Ответы на все вопросы.
[383.59s -> 385.59s]  Нашу энергетику, наше взаимодействие.
[385.59s -> 387.59s]  Плюс конкретно подкреплять это
[387.59s -> 389.59s]  тренировками, кулинарными стримами,
[389.59s -> 391.59s]  игровыми стримами.
[391.59s -> 393.59s]  И может быть внедрением даже
[393.59s -> 395.59s]  вечерних просмотров аниме,
[395.59s -> 397.59s]  фильмов и сериалов.
[397.59s -> 399.59s]  Я могу почитать себе песен,
[399.59s -> 401.59s]  потому что я могу.
[401.59s -> 403.59s]  Котики, что? Мы не просто поговорить здесь собрались.
[403.59s -> 405.59s]  Есть джижбанк, про который я вам сказала.
[405.59s -> 407.59s]  Собственно, прежде чем вы за этот банк начнете биться,
[407.59s -> 409.59s]  вы должны его защитить.
[409.59s -> 411.59s]  Мы переходим к этой рубрике.
[417.59s -> 419.59s]  Итак, парни, чтобы защитить 50000 рублей,
[419.59s -> 421.59s]  вам нужно ответить на 5 вопросов.
[421.59s -> 423.59s]  Вот они у меня в руках. Посмотреть не дам.
[423.59s -> 425.59s]  А значит, если вы отвечаете на вопрос
[425.59s -> 427.59s]  неправильно, то я снимаю с вас
[427.59s -> 429.59s]  5000 рублей. На размышления у вас есть минута.
[429.59s -> 431.59s]  Все, я готов, ты готов.
[431.59s -> 433.59s]  Сколько тысяч часов аниме
[433.59s -> 435.59s]  Наруто вы посмотрели на своих стримах?
[435.59s -> 437.59s]  Мы посмотрели Наруто
[437.59s -> 439.59s]  на стриме полностью.
[439.59s -> 441.59s]  Ты в песен залез, трусник.
[441.59s -> 443.59s]  А может вопросы будут филерные от филеров?
[443.59s -> 445.59s]  И мы скажем им, понял?
[445.59s -> 447.59s]  А из-за этого мы не ответили, потому что мы филеры не смотрели.
[447.59s -> 449.59s]  А мошлить не получится. Да, ну как, ты понял?
[449.59s -> 451.59s]  Ладно, не ответили, так не ответили. Ничего страшного.
[451.59s -> 453.59s]  Чего вы готовы? Чего бубнить-то вот именно?
[459.59s -> 461.59s]  Слушайте вопрос. Вы знаете, что Наруто
[461.59s -> 463.59s]  это очень популярный в массовой культуре
[463.59s -> 465.59s]  сериал. И отсылки на него встречаются
[465.59s -> 467.59s]  от Дэдпула, например,
[467.59s -> 469.59s]  до Симпсонов. Так вот, чей
[469.59s -> 471.59s]  прообраз из сериала Наруто
[471.59s -> 473.59s]  взял Барт Симпсон в заставке
[473.59s -> 475.59s]  одной из серий Симпсонов?
[475.59s -> 477.59s]  Я не смотрел Симпсонов вообще
[477.59s -> 479.59s]  или там смотрел чуть-чуть. Блин, это
[479.59s -> 481.59s]  да. Это было. Чей прообраз взял
[481.59s -> 483.59s]  Барт Симпсон? Ну, из Наруто.
[483.59s -> 485.59s]  А Барт-то там вот тут маленький. Барт.
[485.59s -> 487.59s]  Давай думать логически. Барт Симпсон
[487.59s -> 489.59s]  это маленький человек. Какой он может этот образ взять?
[489.59s -> 491.59s]  Что конкретно взять? Давай подумаем.
[491.59s -> 493.59s]  Мне кажется, он взял какого-то хоккаге.
[493.59s -> 495.59s]  Мината может быть. А прикол Сакуры взял?
[495.59s -> 497.59s]  Нет, не Сакуры точно не мог взять. Он мог взять
[497.59s -> 499.59s]  скорее всего либо Наруто взял, либо Наруто взял,
[499.59s -> 501.59s]  либо Саски Учиха.
[501.59s -> 503.59s]  Мы можем перевод потом пустить пока?
[503.59s -> 505.59s]  Тот Плащ, понял? Мината? Нет.
[505.59s -> 507.59s]  Да он такого рофельного по-любому.
[507.59s -> 509.59s]  Может, Чоджо он взял?
[509.59s -> 511.59s]  Или Чоджо? А может быть Ли?
[511.59s -> 513.59s]  Вы не забывайте, что Симпсон это массовый такой
[513.59s -> 515.59s]  сериал, а Наруто мало кто, ну, типа не все
[515.59s -> 517.59s]  знают. Вот что он такого прям явно
[517.59s -> 519.59s]  именно конкретно таких, кого он взял?
[519.59s -> 521.59s]  По-любому, наверное, Наруто может взял. Подожди.
[521.59s -> 523.59s]  Подожди, ты понял в чем прикол?
[523.59s -> 525.59s]  Скорее всего, может и Наруто и взял.
[525.59s -> 527.59s]  Потому что там только, смотри, Наруто.
[527.59s -> 529.59s]  Быстрей, давай, хорош. Давай подумаем просто
[529.59s -> 531.59s]  Наруто и взял. Вот раз Наруто, значит
[531.59s -> 533.59s]  самый знаменитый Наруто. Что он мог потом придумать?
[533.59s -> 535.59s]  Ну, я думаю типа Чоджо. Нет, Наруто, Наруто.
[541.03s -> 543.03s]  А, сюда!
[543.03s -> 545.03s]  Орлы, анимешники мои!
[545.03s -> 547.03s]  Хотел сказать Мат, но не сказал.
[547.03s -> 549.03s]  Хотел сказать Нихуй.
[549.03s -> 551.03s]  Ой, ты зачем сказал?
[551.03s -> 553.03s]  Ты что, тупой? Кто первоначально
[553.03s -> 555.03s]  создал организацию Акасуки?
[555.03s -> 557.03s]  Три, надо
[557.03s -> 559.03s]  назвать персонажа. Три персонажа?
[559.03s -> 561.03s]  Подожди, давай. Даже 20 считаю.
[561.03s -> 563.03s]  Абита, Абита, Акасуки,
[563.03s -> 565.03s]  мы же говорили, Акаски, Акаски. Самое главное
[565.03s -> 567.03s]  Абита, Мадара, Мадара точно.
[567.03s -> 569.03s]  Мадара, Абита,
[569.03s -> 571.03s]  Абита, Мадара, Абита точно.
[571.03s -> 573.03s]  Кто еще там был? И Цунада.
[573.03s -> 575.03s]  Брат, брат этого Саски, Кентика Маленького,
[575.03s -> 577.03s]  как его зовут? Брат, старший брат?
[577.03s -> 579.03s]  Да, как его зовут? Да ты меня уже
[579.03s -> 581.03s]  сбил! Как его зовут? Учиха.
[581.03s -> 583.03s]  Нет!
[583.03s -> 585.03s]  У, тихо. Пожалуйста, не надо, Саски.
[585.03s -> 587.03s]  Полминуток. Не вбивайте.
[587.03s -> 589.03s]  Перевоначальные основатели. Перевоначальные? Нет,
[589.03s -> 591.03s]  переначальные, да самые такие. А давай,
[591.03s -> 593.03s]  Абита, Мадара, Мадара?
[593.03s -> 595.03s]  Брат Саски, старший.
[595.03s -> 597.03s]  Как его звали? И чем смотрел Наруто?
[597.03s -> 599.03s]  Я уже забыл. Брат
[599.03s -> 601.03s]  не мог. Он тоже был главным,
[601.03s -> 603.03s]  которому... Ну как его звали?
[603.03s -> 605.03s]  Абита, Мадара и кто еще?
[605.03s -> 607.03s]  Подожди, как его звали? Он уже в стенку его впихнул,
[607.03s -> 609.03s]  уже не помнишь. 7 секунд. Учиха,
[609.03s -> 611.03s]  как его звали? Блин!
[613.03s -> 615.03s]  Нас анимешники не поймут.
[615.03s -> 617.03s]  Нас они... Все, парни,
[617.03s -> 619.03s]  называйте троих. Хорошо.
[619.03s -> 621.03s]  Тоби, Тоби, нет? Абита,
[621.03s -> 623.03s]  Мадара,
[623.03s -> 625.03s]  и давай Тоби.
[625.03s -> 627.03s]  Тоби. И Тоби.
[627.03s -> 629.03s]  Яхико, Нагата,
[629.03s -> 631.03s]  и Конан. Что это
[631.03s -> 633.03s]  такие? Были, были, были, все нормально, да.
[633.03s -> 635.03s]  Получается, просрали пять тысяч.
[635.03s -> 637.03s]  Немножечко не дотянули. Поздравляю вас, парни.
[637.03s -> 639.03s]  Мы вообще не угадали ни одного.
[639.03s -> 641.03s]  Что, следующий вопрос. Фух, давай.
[641.03s -> 643.03s]  Как зовут одного из зверей
[643.03s -> 645.03s]  девятихвостого лиса? Харума.
[645.03s -> 647.03s]  Курама. Курама. Жабка,
[647.03s -> 649.03s]  как звали? Жабку. Срезня, как звали?
[649.03s -> 651.03s]  Еще раз, повтори. Курама. Какой
[651.03s -> 653.03s]  Курама? Курама. Посмотри, вопрос, вопрос,
[653.03s -> 655.03s]  пожалуйста. Заткнись. Ты вместо лисенок
[655.03s -> 657.03s]  Курама. Как зовут одного из зверей
[657.03s -> 659.03s]  девятихвостого лиса? Курама.
[659.03s -> 661.03s]  Лисенок. Да, Курама.
[661.03s -> 663.03s]  Подожди, Курама, да, Курама. О них еще один был
[663.03s -> 665.03s]  самый главный. Помнишь, что трэпер
[665.03s -> 667.03s]  вызывал, как там, там,
[667.03s -> 669.03s]  посмотри на меня, что там вызывал. Сказали
[669.03s -> 671.03s]  вопрос. Ты помнишь какой вопрос? Еще раз.
[671.03s -> 673.03s]  Как зовут одного из зверей
[673.03s -> 675.03s]  девятихвостого лиса?
[675.03s -> 677.03s]  А, разные зверики
[677.03s -> 679.03s]  вот эти, да. У Цунада была слизень какая-то.
[679.03s -> 681.03s]  Да, слизень какой-то там. Можно засчитать уже,
[681.03s -> 683.03s]  пожалуйста, им ответ, они что-то сами себя
[683.03s -> 685.03s]  запутали. Курама. Курама. Курама. Он на
[685.03s -> 687.03s]  один девятьхвостый лис. Это есть Курама. Ты что не понял?
[687.03s -> 689.03s]  Лисенок. Курама. Да, Курама.
[689.03s -> 691.03s]  Мать твою. Курама.
[691.03s -> 693.03s]  Все, короче. Слушай меня, девятьхвостый
[693.03s -> 695.03s]  лис, это есть Курама. Я знаю, все.
[695.03s -> 697.03s]  Вопрос номер четыре.
[697.03s -> 699.03s]  Какую фразу Нарута
[699.03s -> 701.03s]  чаще всего использует в общении?
[701.03s -> 703.03s]  Прямо попробуйте ее, прям как
[703.03s -> 705.03s]  он сказать. Ну какую там, что-то, ничего
[705.03s -> 707.03s]  себе. Ну минуту у вас, давайте.
[707.03s -> 709.03s]  Подожди, как можно было смотреть Нарута и
[709.03s -> 711.03s]  не знать, как он говорил все эти слова?
[711.03s -> 713.03s]  Давай-давай, думай-думай, там начало.
[713.03s -> 715.03s]  По-любому что-то писали всегда.
[715.03s -> 717.03s]  Что он всегда писал? Ух ты ж, не то, что
[717.03s -> 719.03s]  там такое. А есть какие-то там варианты
[719.03s -> 721.03s]  ответа? Нет, это не то.
[721.03s -> 723.03s]  Без вариантов ответа это полное. Это просто пипец,
[723.03s -> 725.03s]  мы просто просрали, как можно было не знать, что
[725.03s -> 727.03s]  говорил Нарута. Потом у нас будут писать в чате
[727.03s -> 729.03s]  сто процентов в комментариях, как они, чем они смотрели,
[729.03s -> 731.03s]  если они не знают. Тише, это лишние слова, мы
[731.03s -> 733.03s]  просрали время. Для комментаторов нормально.
[733.03s -> 735.03s]  Еще двадцать пять секунд. Смотри, давай думаем,
[735.03s -> 737.03s]  как там он кого-то убил. Тихо-тихо, еще вопрос.
[737.03s -> 739.03s]  Чаще всего использует Нарута какую фразу
[739.03s -> 741.03s]  в общении? Какую еще? Ромэн.
[741.03s -> 743.03s]  Ну нет. Тихо-тихо,
[745.03s -> 747.03s]  конечно. Ух, бух-бух. Не, ну когда делаешь,
[747.03s -> 749.03s]  ты приходишь тут шляпой. Семь секунд.
[749.03s -> 751.03s]  Я вообще даже не имею представления.
[751.03s -> 753.03s]  И сейчас ты скажешь. Ух ты шьё, ух ты шьё,
[753.03s -> 755.03s]  что такое? Что такое было в переводе?
[755.03s -> 757.03s]  Ты что не помнишь? Ну давай просто скажи пример.
[757.03s -> 759.03s]  Я не помню вообще ничего. Ты тоже набрасывай любой.
[759.03s -> 761.03s]  Время! Вообще даже не имею представления.
[761.03s -> 763.03s]  Сейчас, давай определим.
[763.03s -> 765.03s]  Что-то там, ух ты шьё, ах ты шьё,
[765.03s -> 767.03s]  что-то такое там. Ух ты шьё,
[767.03s -> 769.03s]  что-то там. А я бы попросила сейчас
[769.03s -> 771.03s]  нашего ведущего-эксперта Понарута
[771.03s -> 773.03s]  отнести фразу. Ух ты шьё, что там, ах ух!
[773.03s -> 775.03s]  Так. Внимание фраза. Дан ты бое!
[775.03s -> 777.03s]  Ааааа! Дан ты бое ну!
[777.03s -> 779.03s]  Это ты бое? Дан ты бое?
[779.03s -> 781.03s]  Это ты бое? Дан ты бое?
[781.03s -> 783.03s]  Это как можно было не сказать? Да ты бое!
[783.03s -> 785.03s]  Конечно.
[785.03s -> 787.03s]  Это вообще. Нас анимашники сожрут.
[787.03s -> 789.03s]  В банке 40 тысяч, остается
[789.03s -> 791.03s]  последний вопрос. Пятый, поехали.
[791.03s -> 793.03s]  Игровой разработчик Epic Games
[793.03s -> 795.03s]  добавил персонажей из Нарута
[795.03s -> 797.03s]  в одну из своих игр. Назовите эту
[797.03s -> 799.03s]  игру. Подсказка. Новость свежая.
[799.03s -> 804.03s]  Да, новости не смотрим, в стримах от 6 до 10 часов в день, спим по 3 часа.
[804.03s -> 807.54s]  Epic Games, это новая игра, которая вышла?
[807.54s -> 809.54s]  А какая она вышла? То и не игра вышла?
[809.54s -> 810.54s]  Могу дать подсказку.
[810.54s -> 812.54s]  Подсказку, подсказку, подсказку, подсказку.
[812.54s -> 813.54s]  Arcane игра вот новая.
[813.54s -> 818.54s]  Так, ты чего, Лолер, Arcane, какая игра? Это сериал по мотивам легенд, я тебя сейчас тресну.
[818.54s -> 819.54s]  Дота какая?
[820.54s -> 821.54s]  Ещё раз, ещё раз вопрос.
[821.54s -> 823.54s]  Epic Games. Доту кто делает?
[823.54s -> 824.54s]  Габен Доту.
[824.54s -> 825.54s]  Ну вот он, это же не Epic Games.
[825.54s -> 826.54s]  Да.
[826.54s -> 831.54s]  Какой разработчик Epic Games добавил персонажей из Нарута в одну из своих игр? Назовите игру.
[831.54s -> 833.54s]  А, из игр в Нарута добавил.
[833.54s -> 836.54s]  Что такое Epic Games? Это кто? Кто там создатель?
[836.54s -> 837.54s]  Возможно это вот эта игра.
[837.54s -> 838.54s]  16 секунд.
[838.54s -> 839.54s]  Говори любую игру, любую.
[839.54s -> 840.54s]  Fortnite что ли?
[841.54s -> 842.54s]  Fortnite, да, Fortnite.
[842.54s -> 843.54s]  Fortnite, Fortnite.
[843.54s -> 844.54s]  Чух-чух, бух.
[844.54s -> 845.54s]  Fortnite.
[845.54s -> 846.54s]  Fortnite это был.
[846.54s -> 847.54s]  Fortnite.
[847.54s -> 848.54s]  Fortnite.
[848.54s -> 849.54s]  40 тысяч в банке, мальчик.
[849.54s -> 850.54s]  Fortnite сюда.
[850.54s -> 851.54s]  А могли дота боёв?
[851.54s -> 854.54s]  Я играл в Fortnite полчаса, и мне этого хватило.
[854.54s -> 855.54s]  История про Fortnite.
[855.54s -> 856.54s]  Fortnite, рассказываю.
[856.54s -> 857.54s]  Рассказываю.
[857.54s -> 858.54s]  Играем в Fortnite.
[858.54s -> 859.54s]  Я скажу.
[859.54s -> 860.54s]  Это вообще разрыв полный.
[860.54s -> 861.54s]  Давай, давай.
[861.54s -> 862.54s]  Это просто разрыв на доты боёв.
[862.54s -> 863.54s]  Рассказываю.
[863.54s -> 864.54s]  Доты боёв.
[864.54s -> 865.54s]  Тихо молчи.
[865.54s -> 866.54s]  Короче, играем в Fortnite.
[866.54s -> 867.54s]  Он зашёл и создаёт игру, и я.
[867.54s -> 868.54s]  Мы не знаем, что мы в одной команде.
[868.54s -> 871.54s]  В итоге мы создались в одну, как называется, в одну локацию.
[871.54s -> 873.54s]  В одну локацию залетаем, играем.
[873.54s -> 876.54s]  Я бегу, я ещё не успел взять шмотку, и бежит какой-то хер.
[876.54s -> 877.54s]  Извините, я сказал мать.
[877.54s -> 878.54s]  Какой-то доты боёв.
[878.54s -> 879.54s]  Какой-то доты боёв.
[879.54s -> 880.54s]  Какой-то доты боёв.
[880.54s -> 881.54s]  А это что за лок?
[881.54s -> 882.54s]  Взял его просто с драмаша в голову.
[882.54s -> 883.54s]  Бах.
