[0.00s -> 2.00s]  Москва это город фьючи
[130.19s -> 132.19s]  Комфортным и безопасным городом
[132.19s -> 134.19s]  Я так понимаю, что умный город
[134.19s -> 136.19s]  Это специальное пространство, которое
[136.19s -> 138.19s]  Учит людей коммуницировать с городом
[138.19s -> 140.19s]  Мы рассказываем про сервисы, которые
[140.19s -> 142.19s]  Уже доступны горожанам
[142.19s -> 144.19s]  И будут доступны чуть-чуть позже
[144.19s -> 146.19s]  И вот эти слова мобильность
[146.19s -> 148.19s]  Комфорт, экологичность
[148.19s -> 150.19s]  Это принципы умного города
[150.19s -> 152.19s]  А Москва это умный город
[152.19s -> 154.19s]  По оценкам международных организаций
[158.78s -> 160.78s]  Здесь же вы познакомитесь с электронными
[160.78s -> 162.78s]  Сервисами, которые помогают каждому
[162.78s -> 164.78s]  Человеку участвовать в развитии города
[164.78s -> 166.78s]  Сообщать о проблемах, о неполадках
[166.78s -> 168.78s]  Контролировать соблюдение порядка
[168.78s -> 170.78s]  И предлагать идеи, как сделать Москву
[170.78s -> 172.78s]  Еще комфортнее
[172.78s -> 174.78s]  На самом деле мы не стоим посередине
[174.78s -> 176.78s]  Оживленной трассы
[176.78s -> 178.78s]  Мы стоим на умном переходе
[178.78s -> 180.78s]  А что это такое, я расскажу вам сейчас
[180.78s -> 182.78s]  Как говорится, красный свет, дороги нет
[182.78s -> 184.78s]  Приготовится, а зеленый
[184.78s -> 186.78s]  Я не помню, как там было
[186.78s -> 188.78s]  Это новейший интеллектуальный светофор
[188.78s -> 190.78s]  Вик, по которому показываются
[190.78s -> 192.78s]  Знаки или погодные условия
[192.78s -> 194.78s]  Когда в Москве
[194.78s -> 196.78s]  Смок или снег
[196.78s -> 198.78s]  У светофора включается лазерная сетка
[198.78s -> 200.78s]  И она позволяет водителям
[200.78s -> 202.78s]  Остановиться вовремя
[202.78s -> 204.78s]  Остановиться и увидеть
[204.78s -> 206.78s]  Сквозь смок даже
[206.78s -> 208.78s]  Вот эту лазерную сетку
[208.78s -> 210.78s]  А когда собираются применять эти технологии?
[210.78s -> 212.78s]  И уже применима эта российская разработка
[212.78s -> 214.78s]  Росттех
[214.78s -> 216.78s]  Огромная стена, рассказывающая про интеллектуальную транспортную систему
[216.78s -> 218.78s]  Тут вы видите перекресток
[218.78s -> 220.78s]  Проезжаете его
[220.78s -> 222.78s]  Но на самом деле, в этом перекрестке
[222.78s -> 224.78s]  Под асфальтом встроены детекторы транспортного потока
[224.78s -> 226.78s]  И вам в навигатор приходит обновленное время
[226.78s -> 228.78s]  Это все происходит за миллисекунды
[228.78s -> 230.78s]  Сложно, сложно
[230.78s -> 232.78s]  Но понять можно
[232.78s -> 234.78s]  В будни здесь совсем нет людей
[234.78s -> 236.78s]  И вы можете в комфортной обстановке изучить
[236.78s -> 238.78s]  Умный город
[238.78s -> 240.78s]  За кнопочки и все узнать
[240.78s -> 242.78s]  Скоро в Москве появятся
[242.78s -> 244.78s]  Беспилотники
[244.78s -> 246.78s]  Здесь прототип
[246.78s -> 248.78s]  Я предлагаю вам прокатиться
[248.78s -> 250.78s]  Смотрите, у нас машина сейчас подрезала
[250.78s -> 252.78s]  Автомобиль считал дистанцию между ним
[252.78s -> 254.78s]  Примерно спрогнозировал его возможные варианты движения
[254.78s -> 256.78s]  И нас увел в сторону
[256.78s -> 258.78s]  Тут мы готовим людей тем технологиям
[258.78s -> 260.78s]  Которые скоро придут в нашу жизнь
[260.78s -> 262.78s]  Тут правда немножко укачивает
[262.78s -> 275.38s]  Надо идти дальше
[275.38s -> 277.38s]  Знаете, как мы показываем эту инсталляцию?
[277.38s -> 279.38s]  Обычный человек, который живет в Москве
[279.38s -> 281.38s]  Видит просто здание
[281.38s -> 283.38s]  Видит район, видит зону подъезда
[283.38s -> 285.38s]  Но активный гражданин
[285.38s -> 287.38s]  Он смотрит глубже
[287.38s -> 289.38s]  Ага
[289.38s -> 291.38s]  Значит песок высыпан
[291.38s -> 293.38s]  Здесь низко
[293.38s -> 295.38s]  Вот это что-то происходит
[295.38s -> 297.38s]  Ну теперь подождите, давайте зафиксируем
[297.38s -> 299.38s]  Внимание на одной какой-то поломке
[299.38s -> 301.38s]  Будто бы сделали фотографию
[301.38s -> 303.38s]  Отправили сообщение на портал
[303.38s -> 305.38s]  А портал принял его, обработал
[305.38s -> 307.38s]  И отправил на решение этой проблемы
[307.38s -> 309.38s]  Соответствующего мастера
[309.38s -> 311.38s]  А еще здесь есть целая роща
[311.38s -> 313.38s]  И можно нажимая на кнопочку угадывать
[313.38s -> 315.38s]  Что за дерево вы можете посадить
[315.38s -> 317.38s]  И что происходит?
[317.38s -> 319.38s]  Смотрите наверх
[319.38s -> 321.38s]  Выше-выше-выше
[321.38s -> 323.38s]  Что же вы посадили?
[323.38s -> 325.38s]  В Москве реализован такой проект
[325.38s -> 327.38s]  Для молодой семьи, у которых ребенок
[327.38s -> 329.38s]  У еще нет трех лет
[329.38s -> 331.38s]  Они могут выбрать парк, прийти в него
[331.38s -> 333.38s]  И посадить дерево в честь рождения ребенка
[333.38s -> 335.38s]  По правилам, если вы всадили дерево
[335.38s -> 337.38s]  С вас один ребенок
[345.38s -> 347.38s]  Ребина в поле в ручья
[347.38s -> 349.38s]  Калина в поле в ручья
[349.38s -> 354.03s]  Это только для ваших зрителей
[354.03s -> 356.03s]  Самые закрытые системы
[356.03s -> 358.03s]  Которые позволяют нашему городу
[358.03s -> 360.03s]  Быть безопасным, чистым, красивым
[360.03s -> 362.03s]  Современным, маневренным
[362.03s -> 364.03s]  Я хочу оставить что-то вам, друзья
[364.03s -> 366.03s]  Приходите сюда
[366.03s -> 368.03s]  Здесь есть VR очки и вот VR костюм
[368.03s -> 370.03s]  Но тоже совсем другая история
[370.03s -> 372.03s]  И есть самое главное, расскажите, что это?
[372.03s -> 374.03s]  Это стенд распознавания лиц
[374.03s -> 376.03s]  Тут мы показываем, по какому принципу
[376.03s -> 378.03s]  Работают городские камеры
[378.03s -> 380.03s]  И даже демонстрируем, как можно от них скрываться
[385.39s -> 387.39s]  Узнать и понять тут можно очень много
[387.39s -> 389.39s]  Плюс ко всему есть даже экспозиции
[389.39s -> 391.39s]  Помогающие определиться с образованием
[391.39s -> 393.39s]  И дальнейшим трудоустройством
[393.39s -> 395.39s]  Хорошо так на выставку зашли
[395.39s -> 397.39s]  Очень классно можно провести время
[397.39s -> 399.39s]  А самый главный вопрос, когда здесь меньше всего людей
[399.39s -> 401.39s]  Вы можете приходить, чтобы соблюдать социальную дистанцию?
[401.39s -> 403.39s]  Мы и так ее соблюдаем
[403.39s -> 405.39s]  Посещение павильона бесплатно
[405.39s -> 407.39s]  С 10 до 8
[407.39s -> 409.39s]  Экскурсии проходят каждые 30 минут
[409.39s -> 411.39s]  Но в составе одной группы не больше 12 человек
[411.39s -> 413.39s]  Пятюню, как обычно
[413.39s -> 415.39s]  У меня это вау
[415.39s -> 417.39s]  За деньги Москва просто брызжет интерактивом
[417.39s -> 419.39s]  На цветном бульваре есть центр Марс
[419.39s -> 421.39s]  Появился он в 1988 году
[421.39s -> 423.39s]  И стал первой частной галереей
[423.39s -> 425.39s]  Где экспонировались произведения современного искусства
[425.39s -> 427.39s]  Сегодня центр Марс идет в ногу со временем
[427.39s -> 429.39s]  И говорит на актуальном языке
[429.39s -> 431.39s]  Мультимедийного арта
[431.39s -> 433.39s]  Там проходит огромное количество выставок
[433.39s -> 435.39s]  В которых вы можете принять участие
[435.39s -> 437.39s]  Цена билета от 500 рублей
[437.39s -> 439.39s]  Интерактивный музей Лунариум
[439.39s -> 441.39s]  В московском планетарии
[441.39s -> 443.39s]  Экспозиция посвящена астрономии, физике и космосу
[443.39s -> 445.39s]  Включает более 80 экспонатов
[445.39s -> 447.39s]  Для взаимодействия
[447.39s -> 449.39s]  Цена за билет начинается от 450 рублей
[449.39s -> 451.39s]  Дети до 6 лет бесплатно
[451.39s -> 453.39s]  В москвареуме проходит выставка
[453.39s -> 455.39s]  Океан юрского периода
[455.39s -> 457.39s]  Гости и выставки планируют перенести в далекое прошлое
[457.39s -> 459.39s]  Чтобы посмотреть кем был населен океан
[459.39s -> 461.39s]  Сотни миллионов лет назад
[461.39s -> 463.39s]  С помощью мультимедийных технологий
[463.39s -> 465.39s]  В москвареуме воссоздали доисторических животных
[465.39s -> 467.39s]  Поражающих своей реальностью
[467.39s -> 469.39s]  Вход от 600 рублей
[469.39s -> 471.39s]  На Соколе есть музей занимательных наук
[471.39s -> 473.39s]  Экспериментариум
[473.39s -> 475.39s]  Он посвящен основным научным отраслям
[475.39s -> 477.39s]  И занимает целых 3 этажа
[477.39s -> 479.39s]  В залах вы найдете более 300 экспонатов
[479.39s -> 481.39s]  Которые можно трогать, дергать и собирать
[481.39s -> 483.39s]  Цена билета начинается от 500 рублей
[483.39s -> 485.39s]  Также есть выставки сезонные
[485.39s -> 487.39s]  Например интерактивная выставка
[487.39s -> 489.39s]  Фанерон, город мечты
[489.39s -> 491.39s]  Новогодняя выставка в стилистике комиксов
[491.39s -> 493.39s]  Гости смогут полностью погрузиться
[493.39s -> 495.39s]  В атмосферу города
[495.39s -> 497.39s]  Взаимодействовать с ним и с его жителями
[497.39s -> 499.39s]  Здесь будут проходить перфомансы
[499.39s -> 501.39s]  Концерты, спектакли, дискуссии
[501.39s -> 503.39s]  И футуристические игры
[503.39s -> 505.39s]  Проходить она будет в манеже
[505.39s -> 507.39s]  С 3 по 18 января
[507.39s -> 509.39s]  Ну а мы отправимся проводить свой самый
[509.39s -> 511.39s]  Новогодний выходной
[511.39s -> 513.39s]  Мы пришли в союз мультфильм парк
[513.39s -> 515.39s]  Чтобы посмотреть интерактивную выставку
[517.39s -> 519.39s]  Обычно тут 18 аттракционов
[519.39s -> 521.39s]  На 2000 квадратных метрах
[521.39s -> 523.39s]  С Винни Пухом, Бременскими музыкантами
[523.39s -> 525.39s]  Карлсоном, жителям деревни Простоквашеным
[525.39s -> 527.39s]  Котенкам по имени Гав, Йожиком в тумане
[527.39s -> 529.39s]  Маугли и многими другими
[529.39s -> 531.39s]  Но сейчас все это пространство
[531.39s -> 533.39s]  Захватилась снежная королева
[533.39s -> 535.39s]  Со своей тайной
[535.39s -> 537.39s]  Режим работы ежедневно с 10 до 21
[537.39s -> 539.39s]  Мы сделали такой интересный формат
[539.39s -> 541.39s]  Это иммерсивный спектакль-квест
[541.39s -> 543.39s]  Все гости могут принимать
[543.39s -> 545.39s]  Активное участие в шоу
[545.39s -> 547.39s]  Они могут стать непосредственными
[547.39s -> 549.39s]  Участниками спектакля
[549.39s -> 551.39s]  И решать ход его событий
[551.39s -> 553.39s]  Вот это интересно, уже интересно
[553.39s -> 555.39s]  Пойдемте посмотрим тогда что у вас
[555.39s -> 557.39s]  Это вау-тоннель
[557.39s -> 559.39s]  По которому дети начинают свой путь
[559.39s -> 561.39s]  По шоу
[561.39s -> 563.39s]  В мир чудес
[563.39s -> 565.39s]  Мне вот все понравилось
[565.39s -> 567.39s]  Этот портал
[567.39s -> 569.39s]  Портал понравился
[569.39s -> 571.39s]  И головолом 10
[571.39s -> 573.39s]  Которые там были
[573.39s -> 575.39s]  А еще здесь есть очень интересные
[575.39s -> 577.39s]  Кристаллы, смотрите
[577.39s -> 579.39s]  Каждая грань издает какой-то отдельный звук
[579.39s -> 581.39s]  Можно стать музыкантом-экспериментатором здесь
[581.39s -> 585.02s]  Чувствую себя Иваном Дорном
[585.02s -> 587.02s]  Просто
[587.02s -> 589.02s]  Фрагменты таких кристаллов спрятаны
[589.02s -> 591.02s]  В разных локациях
[591.02s -> 593.02s]  Каждый пройденный этап квеста поможет участникам
[593.02s -> 595.02s]  Приблизиться к главной цели
[595.02s -> 597.02s]  Спасти новый год
[597.02s -> 599.02s]  Портал будет собран
[599.02s -> 601.02s]  А тайно разгаданы все участники
[601.02s -> 603.02s]  Встретятся в большом зале
[603.02s -> 605.02s]  Где ждет новогоднее чудо
[605.02s -> 607.02s]  Запровождают детей герои
[607.02s -> 609.02s]  Из наших новых мультфильмов
[609.02s -> 611.02s]  Простоквашина, Крутиксы
[611.02s -> 613.02s]  И тайна медовой долины
[613.02s -> 616.40s]  Обманулась ли меня
[616.40s -> 618.40s]  Сейчас я вам покажу
[626.18s -> 628.18s]  Здесь у нас такой неоновый лабиринт
[628.18s -> 630.18s]  Который
[630.18s -> 632.18s]  Наполнен всякими злодеями
[632.18s -> 634.18s]  Там появляются наши хоккеисты
[634.18s -> 636.18s]  Хватают за руки и за ноги
[636.18s -> 638.18s]  Вместе с Шепокляк
[638.18s -> 640.18s]  Они не дают ребятам пройти
[640.18s -> 642.18s]  Но ребята мужественно преодолевают этот путь
[642.18s -> 644.18s]  И проходят
[644.18s -> 646.18s]  Там на экране у нас появляется снежная королева
[646.18s -> 648.18s]  Идет обратный отсчет
[648.18s -> 650.18s]  И за выделенное время ребятам должны перебраться
[650.18s -> 665.71s]  Не коснувшись этих нитей
[667.71s -> 669.71s]  Я молодец
[669.71s -> 671.71s]  Привет
[671.71s -> 673.71s]  Как вам понравилось?
[673.71s -> 675.71s]  Дед Мороз
[675.71s -> 677.71s]  Почта Деда Мороза работает у нас постоянно
[677.71s -> 679.71s]  На базе парка
[679.71s -> 681.71s]  Здесь любой ребёнок может написать свои пожелания
[681.71s -> 683.71s]  Мечты, поздравления Деду Морозу
[683.71s -> 685.71s]  С Новым годом
[685.71s -> 687.71s]  И отправить
[687.71s -> 689.71s]  К нам совсем недавно приезжал тот самый Дед Мороз
[689.71s -> 691.71s]  Из Великого Устюга
[691.71s -> 693.71s]  И забрал более 2000 писем с собой
[693.71s -> 695.71s]  А здесь у вас, говорят, прячется
[695.71s -> 697.71s]  Дедушка Мороз
[697.71s -> 699.71s]  Дорогой Дедушка Мороз
[729.71s -> 731.71s]  Дорогой Дедушка Мороз
[731.71s -> 733.71s]  Дорогой Дедушка Мороз
[733.71s -> 735.71s]  Дорогой Дедушка Мороз
[735.71s -> 739.71s]  Дорогой Дедушка Мороз
[739.71s -> 743.71s]  Дорогой Дедушка Мороз
[743.71s -> 747.71s]  Дорогой Дедушка Мороз
[747.71s -> 751.71s]  Дорогой Дедушка Мороз
[751.71s -> 753.71s]  Дорогой Дедушка Мороз
[753.71s -> 757.71s]  Дорогой Дедушка Мороз
[757.71s -> 766.59s]  Там всякие ледяные снежинки, там вот такие ледышки какие-то, снежные шары.
[766.59s -> 772.63s]  Ой, ребят, здесь можно не только провести выходной, а еще полазить по норам и побывать даже у кроликов в гостях, понимаете?
[772.63s -> 776.51s]  Кто ходит в гости по утрам, тот что поступает мудро, как и я.
[776.51s -> 777.47s]  Вы были на спектакле?
[777.47s -> 778.83s]  Вот сейчас побывал, да.
[778.83s -> 779.95s]  И как, вам там понравилось?
[779.95s -> 781.55s]  Классно, я так танцевал.
[781.55s -> 783.11s]  Вы же детьми сюда пришли, не один?
[783.11s -> 783.79s]  Не один.
[783.79s -> 785.51s]  Один? Серьезно? Что?
[785.59s -> 787.59s]  А как вы считаете, здесь можно свое выходное провести вообще?
[787.59s -> 788.23s]  Конечно.
[788.23s -> 791.67s]  Вы видите, даже взрослые окунаются в этот детский кутер.
[791.67s -> 793.35s]  Это уже прям приятно.
[793.35s -> 796.95s]  В каждой группе у нас не более сорока двух человек.
[796.95s -> 805.35s]  Это максимальный максимум, то есть у нас 84 общее количество гостей, заходящих в студию,
[805.35s -> 807.87s]  потом они отправляются по двум разным маршрутам.
[807.87s -> 811.47s]  То есть ажиотаж большой, и билеты надо заранее все-таки, наверное, заказывать, да?
[811.47s -> 814.27s]  Да, уже есть много дат, на которые билеты не купить.
[814.27s -> 818.91s]  Если у вас нет детей, то обязательно берите своих друзей с детьми и идите сюда.
[818.91s -> 819.99s]  Им точно понравится.
[819.99s -> 822.75s]  Что могу сказать, выходной здесь провести не получится,
[822.75s -> 827.43s]  потому что спектакль идет всего полтора часа, поэтому всего лишь семь из десяти.
[827.43s -> 828.71s]  Но в целом все классно.
[828.71s -> 829.59s]  Да!
