[2.74s -> 16.56s]  Ребята, значит, сегодня будем гороскопы с вами уничтожать.
[300.61s -> 302.61s]  Значит, слушаем, что будет в 2022 году.
[303.61s -> 308.61s]  По гороскопу 2022 год нестабильный, с переменчивой удачей для знака изодиака девы.
[309.61s -> 317.61s]  В начале года девам будут запутывать везение во многих сферах жизни, все их открытия будут успешными, однако к середине года неприятности будут преследовать нас.
[318.61s -> 321.61s]  То есть, начинаем год как Иван Маск, а продолжаем как Митя Фомин.
[327.42s -> 331.42s]  В период, когда Юпитер находится в рыбах, требуют одев трезвую четкую расчета.
[332.42s -> 337.42s]  Я понимаю, потому что я когда во вкусвилле в рыбах стою, у меня максимально трец и четок.
[338.42s -> 341.42s]  Видите, сколько лосось стоит? Я там еще дома все рассчитал.
[344.37s -> 348.37s]  Да, в один момент дева может показаться, что вы можете контролировать всех вокруг и управлять чужими судьбами.
[349.37s -> 354.37s]  Но, ребята, если вы работаете не в МФЦ, это вам не грозит. Расслабьтесь.
[357.96s -> 363.96s]  Дальше интересный факт. Студентам знака девы придется много работать и усердно работать, чтобы добиться успеха.
[364.96s -> 366.96s]  Как будто это писали не астрологи, а моя мать.
[367.96s -> 371.96s]  Я бы не удивился, если в даче было написано, добьются успеха те, кто в шапке и звонит родственникам.
[376.17s -> 381.17s]  Символ года девы-сова, поэтому если я захочу получить бабки, отправлю вопрос в итоге когда.
[382.17s -> 384.17s]  Как раз костюм собственного у меня остался.
[384.17s -> 389.17s]  Девы, будьте счастливы. Люди, любите друг друга и свою жизнь.
