[5.36s -> 14.36s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[129.04s -> 132.04s]  лотов, они у нас называются в передаче «Лоты»,
[132.04s -> 136.04s]  которые мы сегодня разыграем с нашими многоуважаемыми гостями.
[136.04s -> 138.04s]  Некоторые из них даже твои подписчики.
[138.04s -> 140.04s]  Есть кто-то в зале, кто подписан на Прохора?
[140.04s -> 142.04s]  Дайте знать. Раз, два, три.
[142.04s -> 144.04s]  Отлично, четыре, пять, шесть. Вот, шикарно.
[144.04s -> 146.04s]  Вот, спасибо.
[146.04s -> 148.04s]  Есть паломеры, да? Это приятно, это приятно.
[148.04s -> 150.04s]  Прохор, расскажи, какие новости?
[150.04s -> 152.04s]  Что происходит интересного сейчас в жизни?
[152.04s -> 158.04s]  Песни, концерты, спектакли, альбомы, коллаборации, инстинуации?
[160.04s -> 162.04s]  В целом, работа над собой.
[162.04s -> 164.04s]  Работа над собой?
[164.04s -> 167.04s]  Да, я очень хочу сейчас уехать в тур, отдохнуть.
[167.04s -> 170.04s]  Я всю жизнь работал, работал, и понял, что, собственно,
[170.04s -> 172.04s]  а что работает-то так много?
[172.04s -> 174.04s]  Типа настал момент, когда все, ты собираешь чемодан,
[174.04s -> 176.04s]  ты куда-то ими на тур.
[176.04s -> 178.04s]  А ты не такой, что ты приехал в один город,
[178.04s -> 180.04s]  а там отдыхаешь? Ты отдыхаешь ими на туром куда-то?
[180.04s -> 182.04s]  Да нет, какой город?
[182.04s -> 184.04s]  Я вообще на острова хочу вылететь.
[184.04s -> 186.04s]  На острова?
[186.04s -> 188.04s]  Да, и, честно говоря, вот эти песни, альбомы, клипы,
[188.04s -> 190.04s]  это все хорошо.
[190.04s -> 192.04s]  Но, знаешь, так это все надоело мне.
[192.04s -> 194.04s]  Ты устал.
[194.04s -> 196.04s]  Я очень устал.
[196.04s -> 198.04s]  Батюшки-матюшки, ну, мы в любом случае тебя
[198.04s -> 200.04s]  очень сильно здесь рады видеть.
[200.04s -> 202.04s]  Вопрос такой,
[202.04s -> 204.04s]  а кого ты, Прохор,
[204.04s -> 206.04s]  оставишь вместо себя?
[206.04s -> 208.04s]  Ребята, у нас такое огромное количество в нашей стране бабушек.
[208.04s -> 210.04s]  Ну, как же они без себя будут?
[214.04s -> 216.04s]  Слушай, во-первых, остаешься ты.
[216.04s -> 218.04s]  Так, я Прохора заменитель, если что, друзья.
[218.04s -> 220.04s]  Я думаю, что если...
[220.04s -> 222.04s]  ***, ну, у меня так не получится
[222.04s -> 224.04s]  никогда в жизни.
[224.04s -> 227.61s]  Как бы я так ни делал?
[227.61s -> 231.61s]  Знаешь, жизнь заставит, получится.
[231.61s -> 233.61s]  Все получится впереди.
[233.61s -> 235.61s]  Я думаю, Прохор,
[235.61s -> 237.61s]  ты мне дашь какие-то уроки, ну, как себя вести?
[237.61s -> 239.61s]  Ну, кроме того, что
[239.61s -> 241.61s]  как-то, ну, место уступать,
[241.61s -> 243.61s]  закрутки все время принимать, ну, с какой-то...
[243.61s -> 245.61s]  с любовью всегда.
[245.61s -> 247.61s]  Не, ну, ты знаешь, самое интересное, что
[247.61s -> 249.61s]  если женщина,
[249.61s -> 251.61s]  неважно, сколько ей лет, ну,
[251.61s -> 253.61s]  грубо говоря, как в троллейбусе
[253.61s -> 255.61s]  место уступить все старые, как сексом заниматься
[255.61s -> 257.61s]  сразу все молодые и здоровые.
[261.61s -> 263.61s]  Ну, что ж, дамы и господа,
[263.61s -> 265.61s]  это Прохор Шалябин!
[265.61s -> 267.61s]  Мы начинаем аузон!
[267.61s -> 269.61s]  Yes!
[269.61s -> 271.61s]  Ну, что ж, разрешите
[271.61s -> 273.61s]  презентовать вам
[273.61s -> 275.61s]  первый лот. Первый лот
[275.61s -> 277.61s]  в студию, пожалуйста.
[277.61s -> 279.61s]  Это та самая розовая кофточка.
[279.61s -> 281.61s]  Та самая? Это какая-то легендарная розовая кофточка?
[283.61s -> 285.61s]  Откуда? Что это за вещь?
[285.61s -> 287.61s]  Насколько она тебе дорога? Расскажи.
[287.61s -> 289.61s]  Эта вещь мне очень дорога, потому что
[289.61s -> 291.61s]  я находился
[291.61s -> 293.61s]  именно в этом поле, когда шел
[293.61s -> 295.61s]  по пляжу Ямайки
[295.61s -> 297.61s]  и наткнулся на мертвое тело.
[297.61s -> 299.61s]  Нет, я думал,
[299.61s -> 301.61s]  что она мертвая.
[301.61s -> 303.61s]  Она нам очень интересна.
[303.61s -> 305.61s]  Нет, это загорала
[305.61s -> 307.61s]  будущая моя жена, лежала. Я просто
[307.61s -> 309.61s]  думал, что она утонула
[309.61s -> 311.61s]  и уже не дышит.
[311.61s -> 313.61s]  Ты ее с телом ассоциируешь?
[313.61s -> 315.61s]  Тело лежит такое, знаешь, одно.
[315.61s -> 317.61s]  Я думал, боже мой, я от нее споткнулся.
[317.61s -> 319.61s]  Я от нее споткнулся вообще
[319.61s -> 321.61s]  изначально. Она лежала
[321.61s -> 323.61s]  в стрингах
[323.61s -> 325.61s]  и вынесла, может, какой-то кораблекрушение.
[325.61s -> 327.61s]  И вынесла нам все.
[331.61s -> 333.61s]  И я в нее, когда споткнулся,
[333.61s -> 335.61s]  она начала дышать.
[335.61s -> 337.61s]  И, в общем, я
[337.61s -> 339.61s]  собственно с ней познакомился.
[339.61s -> 341.61s]  Но я считаю, что эта пола счастливая,
[341.61s -> 343.61s]  потому что она мне принесла огромные приключения.
[345.61s -> 347.61s]  Благодаря этому полу, в общем-то, вся страна
[347.61s -> 349.61s]  считает меня,
[349.61s -> 351.61s]  человека с кристальной чистой репутацией,
[351.61s -> 353.61s]  безупречной абсолютно,
[353.61s -> 355.61s]  один из немногих,
[355.61s -> 357.61s]  кто в шоу-бизнесе, может похвастаться с такой безупречной
[357.61s -> 359.61s]  репутацией, как у меня.
[359.61s -> 361.61s]  Вау!
[361.61s -> 363.61s]  Это жена в зале сейчас.
[363.61s -> 365.61s]  Благодаря...
[365.61s -> 367.61s]  То есть я в этом полу находился
[367.61s -> 369.61s]  в этот момент и познакомился,
[369.61s -> 371.61s]  можно сказать, вот таким странным образом
[371.61s -> 373.61s]  со своей Ларочкой.
[373.61s -> 375.61s]  Ну и, собственно, моя жизнь
[375.61s -> 377.61s]  абсолютно изменилась.
[377.61s -> 379.61s]  Дамы и господа, леди и джентльмены,
[379.61s -> 381.61s]  лод номер один, та самая
[381.61s -> 383.61s]  розовая рубашка,
[383.61s -> 385.61s]  с которой Прохор Шаляпин познакомился
[385.61s -> 387.61s]  не с кем иным, а как со своей
[387.61s -> 389.61s]  возлюбленной будущей женой,
[389.61s -> 391.61s]  та майка, та пола, которая была
[391.61s -> 393.61s]  на Емайке.
[393.61s -> 395.61s]  И разрешите вам чудесным образом продемонстрировать
[395.61s -> 397.61s]  наш усложнитель, который
[397.61s -> 399.61s]  уже установлен здесь и гудит
[399.61s -> 401.61s]  в течение всего дня.
[401.61s -> 403.61s]  Леди и джентльмены, дамы и господа,
[403.61s -> 405.61s]  делаем ваши ставки,
[405.61s -> 407.61s]  please.
[407.61s -> 409.61s]  Итак, номер...
[409.61s -> 411.61s]  Пять.
[411.61s -> 413.61s]  Я хочу прокатиться на тембурке
[413.61s -> 415.61s]  с Прохором, *****.
[417.61s -> 419.61s]  На второй скорости,
[419.61s -> 421.61s]  понял?
[421.61s -> 423.61s]  Прекрасная ставка
[423.61s -> 425.61s]  с Прохором хотят многие,
[425.61s -> 427.61s]  но в данном случае у нас есть
[427.61s -> 429.61s]  усложнитель, и это бычок Константин,
[429.61s -> 431.61s]  которого мы должны заюзать полностью,
[431.61s -> 433.61s]  чтобы заполучить вот это прекрасное розовое поло.
[433.61s -> 435.61s]  Итак, делаем ваши ставки.
[435.61s -> 437.61s]  Номер двадцать шесть.
[437.61s -> 439.61s]  Ну, пять минут на первой скорости.
[439.61s -> 441.61s]  Пять минут на первой скорости.
[441.61s -> 443.61s]  Прекрасная ставочка. Итак, номер два.
[443.61s -> 445.61s]  Хотим услышать вашу ставку.
[445.61s -> 447.61s]  Попробую оседлать бычка минуту на
[447.61s -> 449.61s]  второй скорости. Минута на второй скорости.
[449.61s -> 451.61s]  Отличная ставка. Спасибо большое.
[451.61s -> 453.61s]  Может быть, номер пять готов с вами посоревноваться.
[453.61s -> 455.61s]  Номер пять, пожалуйста.
[455.61s -> 457.61s]  Пять точно минут выдержу.
[457.61s -> 459.61s]  Да вы что?
[459.61s -> 461.61s]  А не надо мне перечислять?
[461.61s -> 463.61s]  Давайте, госпожа, под номером пять.
[463.61s -> 465.61s]  Три минуты
[465.61s -> 467.61s]  на второй скорости. Раз, три минуты
[467.61s -> 469.61s]  на второй скорости. Два,
[469.61s -> 471.61s]  три минуты на второй скорости
[471.61s -> 473.61s]  продана под номером пять
[473.61s -> 475.61s]  госпожа.
[479.61s -> 481.61s]  Прошу приступить к
[481.61s -> 483.61s]  выполнению ставки. Сразу хочу предупредить
[483.61s -> 485.61s]  вас.
[485.61s -> 487.61s]  Подожди.
[487.61s -> 489.61s]  Подожди.
[489.61s -> 491.61s]  Это шальная императрица
[491.61s -> 493.61s]  шикарная, но она не выдержит
[493.61s -> 495.61s]  не двадцати секунд.
[497.61s -> 499.61s]  Итак, госпожа, давайте будем знакомиться. Как вас зовут?
[499.61s -> 501.61s]  Я зовут Лара.
[501.61s -> 503.61s]  Я его ждала.
[503.61s -> 505.61s]  Какое знаковое имя Лара.
[507.61s -> 509.61s]  Я Лара номер два.
[511.61s -> 513.61s]  Все.
[513.61s -> 515.61s]  Держите меня севера.
[515.61s -> 517.61s]  Да ты можешь.
[517.61s -> 519.61s]  Итак, Ланочка, смотрите, как мы будем с вами делать.
[519.61s -> 521.61s]  Если вы вдруг будете падать с БК, мы останавливаем
[521.61s -> 523.61s]  время, сажаем вас обратно и запускаем время,
[523.61s -> 525.61s]  пока у нас не пройдет три минуты.
[525.61s -> 527.61s]  На второй скорости.
[527.61s -> 529.61s]  Да вы улетите сразу вместе с вашими побрякушками.
[529.61s -> 531.61s]  А ты не надо спрятать!
[531.61s -> 533.61s]  Улетит все.
[533.61s -> 535.61s]  Что за женщина?
[535.61s -> 537.61s]  Снимите все эти драгоценности,
[537.61s -> 539.61s]  все улетит.
[539.61s -> 541.61s]  Раз, два,
[541.61s -> 543.61s]  три,
[543.61s -> 545.61s]  два,
[545.61s -> 547.61s]  два!
[547.61s -> 549.61s]  Снимаем!
[570.58s -> 572.58s]  Молодец, ланочка.
[572.58s -> 574.58s]  БЛАРАЧКА ВЗЕЛА BK ЗА РОГА
[574.58s -> 576.58s]  Смотрите, она как будто
[576.58s -> 578.58s]  всю жизнь взяла где-то на ферме и
[578.58s -> 580.58s]  запрактиковалась.
[580.58s -> 582.58s]  Фрокер, я думаю, что ты его не вывез.
[582.58s -> 591.14s]  давление уже поднялось. Это понятно. А Фола хочешь получить? Фола красивая. Лара как дела?
[591.14s -> 607.08s]  Как бывшая она говорит. Давайте вторую скорость поехали. Давай я помогу Ларе залезть.
[607.08s -> 633.42s]  Это вторая скорость. Давай Лара пошел. Дамы и господа попытка номер два раз два три
[1101.17s -> 1111.53s]  Лара, Лара, Лара, Лара, Лара, Лара
[1112.63s -> 1123.07s]  Ладно, понесла вторая скорость. Давайте и пошел. Скорость номер два. Хорошо. Очень, очень
[1124.07s -> 1127.07s]  Прошу приступить к выполнению ставки.
[1127.07s -> 1132.07s]  У нас здесь чудесным образом очутилась наша участница.
[1132.07s -> 1133.07s]  Как вас зовут?
[1133.07s -> 1134.07s]  Анастасия.
[1134.07s -> 1135.07s]  Анастасия.
[1135.07s -> 1136.07s]  Анастасия.
[1136.07s -> 1137.07s]  Аплодисменты, друзья.
[1137.07s -> 1138.07s]  Итак, Анастасия.
[1138.07s -> 1141.07s]  Мне кажется, Анастасия такая хрупкая, такая легкая,
[1141.07s -> 1143.07s]  такая стройная, что она даже не сможет раздавить
[1143.07s -> 1144.07s]  своим весом яйцо.
[1144.07s -> 1147.07s]  Я надеюсь, они под моим весом все-таки раздавятся,
[1147.07s -> 1148.07s]  но не обещают.
[1148.07s -> 1149.07s]  Я тоже надеюсь.
[1149.07s -> 1150.07s]  Мы проверим сейчас.
[1150.07s -> 1152.07s]  Я надеюсь, что там нет неких эмбрионов, которые
[1152.07s -> 1153.07s]  вас...
[1154.07s -> 1155.07s]  озвучивают, что мы делаем.
[1155.07s -> 1158.07s]  Мы проходим по 50 яйцами, далее присаживаемся на них
[1158.07s -> 1159.07s]  сюда.
[1159.07s -> 1160.07s]  Да.
[1160.07s -> 1161.07s]  Так точно?
[1161.07s -> 1162.07s]  Да.
[1162.07s -> 1163.07s]  Прошу приступить к выполнению ставки.
[1163.07s -> 1164.07s]  Поехали!
[1164.07s -> 1165.07s]  Ой!
[1165.07s -> 1166.07s]  Это бомбы!
[1166.07s -> 1167.07s]  Они скользкие!
[1167.07s -> 1178.07s]  Пуечка ряба сейчас.
[1178.07s -> 1183.07s]  Давай, присаживайтесь.
[1183.07s -> 1188.07s]  Присаживайтесь, Анастасия.
[1188.07s -> 1189.07s]  Анастасия!
[1189.07s -> 1192.07s]  Круз для вас!
[1192.07s -> 1196.07s]  Ой, он правда был.
[1196.07s -> 1210.64s]  Анастасия, я хочу, чтобы эти яйца... Ставка сыграла! Забирайте свой лот! Рокер, включай книгу!
[1210.64s -> 1216.64s]  Давайте, Анастасия. Я хочу вам сделать комплимент. Вы шикарная девушка. В старости вообще расцветете, будете прекрасно выглядеть.
[1216.64s -> 1219.64s]  Ой, спасибо вам большое. А я боюсь замирать.
[1219.64s -> 1228.64s]  Рокер, вручите, вручите, пожалуйста, даме Анастасии ее честно заработанную книгу. The Book.
[1228.64s -> 1231.64s]  Вот. Это предмет антикварного...
[1231.64s -> 1233.64s]  Так, посмотрите. Я не могу.
[1233.64s -> 1235.64s]  К вам, Анастасия, личный комплимент.
[1235.64s -> 1237.64s]  1925-й год.
[1237.64s -> 1239.64s]  Да. Это оправдаценная вещь.
[1239.64s -> 1240.64s]  Возьмите...
[1240.64s -> 1241.64s]  Ради него стоило.
[1241.64s -> 1242.64s]  Можете сказать?
[1242.64s -> 1243.64s]  Да, давайте вот так. Подмышку.
[1243.64s -> 1246.64s]  Благодарю. Подписывайте, я не буду просить, наверное.
[1246.64s -> 1247.64s]  Но не я же ее написал.
[1247.64s -> 1249.64s]  Да, потому что книга такая.
[1249.64s -> 1251.64s]  Анастасия, аплодисменты! Да!
[1251.64s -> 1253.64s]  Браво!
[1269.64s -> 1273.64s]  Однажды у меня спросили, почему ты так жестко липнешь к асфальту?
[1273.64s -> 1275.64s]  Я говорю, я был на шоу-укцион, давил там яйца.
[1275.64s -> 1277.64s]  А мы плавно переходим к глоту номер три.
[1277.64s -> 1279.64s]  Это шоу-укцион. Погнали!
[1285.64s -> 1289.64s]  Я смотрю, Прохор, у нас любитель антиквара, получается.
[1289.64s -> 1292.64s]  Ну, какой же это антиквар? Это 70-е.
[1292.64s -> 1294.64s]  Действительно.
[1294.64s -> 1296.64s]  Тут 1925-ый не особо антиквар.
[1297.64s -> 1301.64s]  Слушай, ну, на самом деле, это не антиквар.
[1302.64s -> 1306.64s]  Слушай, ну, на самом деле, вы знаете,
[1306.64s -> 1311.64s]  эта вещь такая своеобразная, может быть, кому-то будет очень дорога.
[1311.64s -> 1315.64s]  Дело в том, что из нее пила сама Людмила Гурченко.
[1315.64s -> 1318.64s]  И она попала, эта кружечка, ко мне.
[1318.64s -> 1322.64s]  Я просто с Людмилой Марковной виделся вообще один раз в жизни.
[1322.64s -> 1325.64s]  К сожалению, мы с ней не подружились, не успели.
[1325.64s -> 1328.64s]  Ну, как бы я не застал просто ей немножечко по времени.
[1328.64s -> 1333.64s]  Но дело не в этом. Я подружился с ее внучкой Еленой Королева,
[1333.64s -> 1336.64s]  внучкой Людмилы Марковны, моя подруга хорошая.
[1336.64s -> 1339.64s]  И вот этим летом Лена говорит, поехали на дачу съездим.
[1339.64s -> 1341.64s]  Я говорю, поехали.
[1341.64s -> 1343.64s]  И мы поехали на дачу к Людмиле Марковне Гурченко,
[1343.64s -> 1347.64s]  которую Людмила Марковна от всех своих родственников скрывала тщательно,
[1347.64s -> 1349.64s]  чтобы никто не приезжал.
[1349.64s -> 1351.64s]  И вот мы поехали этим летом на эту дачу.
[1351.64s -> 1353.64s]  Вы можете зайти, кстати, в YouTube.
[1353.64s -> 1356.64s]  Я просто на телефон снял репортаж с этой дачи.
[1356.64s -> 1358.64s]  Интересно, там платье ее.
[1358.64s -> 1360.64s]  И Лена говорит, ну, хочешь, я тебе что-нибудь подарю?
[1360.64s -> 1362.64s]  Я говорю, ну, с удовольствием.
[1362.64s -> 1366.64s]  Вот сервиз, который привезла Людмила Марковна вроде как из Польши в каком-то году.
[1366.64s -> 1368.64s]  Неважно.
[1368.64s -> 1372.64s]  Да, и, в общем-то, я, собственно, получил небольшой сервиз
[1372.64s -> 1374.64s]  и вот одну кружечку решил сегодня разыграть.
[1374.64s -> 1376.64s]  Друзья, это невероятный лод.
[1376.64s -> 1379.64s]  Я с волной уверенностью вам это заявляю.
[1379.64s -> 1381.64s]  Людмила Марковны Гурченко.
[1382.64s -> 1389.64s]  Друзья, невероятный лод, кружка, с которой пила сама Людмила Марковна Гурченко.
[1389.64s -> 1393.64s]  У нас представлен, разрешите презентовать вам наш усложнитель.
[1393.64s -> 1396.64s]  Итак, девушка, которая стоит рядом со мной, это стилист,
[1396.64s -> 1400.64s]  который поможет вам сделать из вашего лука и гардероба что-нибудь экстравагантное.
[1400.64s -> 1402.64s]  Итак, друзья, делаем ваши ставки.
[1402.64s -> 1404.64s]  Участник под номером два, пожалуйста.
[1404.64s -> 1409.64s]  Рубашечку изменить мою, рукавчики или низ подрезать.
[1409.64s -> 1411.64s]  Как стилист решит ей на лодку?
[1411.64s -> 1413.64s]  Отлично, прекрасная ставка.
[1413.64s -> 1416.64s]  Вот номер два, участник под номером два.
[1416.64s -> 1420.64s]  Итак, участник под номером 23, пожалуйста, ваша ставка.
[1420.64s -> 1422.64s]  23 или 29?
[1422.64s -> 1425.64s]  29, да, простите, я уже обновлюсь.
[1425.64s -> 1430.64s]  Я готова отдать стилисту на лодку в свои штаны,
[1430.64s -> 1434.64s]  может их отрезать, подрезать, превратить здесь медленно в шорты,
[1434.64s -> 1436.64s]  ну, в общем, как ей угодно.
[1436.64s -> 1438.64s]  Штаны превращаются в элегантные шорты.
[1438.64s -> 1440.64s]  Прекрасная ставка, номер 29.
[1440.64s -> 1442.64s]  Шикарно, очень хорошо.
[1442.64s -> 1445.64s]  Друзья, кто больше, делаем ваши ставки, делаем ваши ставки.
[1445.64s -> 1447.64s]  На кону невероятный лод.
[1447.64s -> 1451.64s]  Я уверен, что этот лод ценен во всех кругах.
[1451.64s -> 1453.64s]  Номер 12, пожалуйста, ваша ставка.
[1453.64s -> 1457.64s]  Да, я готова вот штанишки и вот эту кофточку.
[1457.64s -> 1459.64s]  Штаны и кофту.
[1459.64s -> 1462.64s]  О, это хорошая ставка, штаны и кофта.
[1462.64s -> 1465.64s]  Модификация штанов и кофты.
[1465.64s -> 1469.64s]  Шикарно, принята, принята ставка, прекрасная ставка.
[1469.64s -> 1471.64s]  Друзья, кто больше?
[1471.64s -> 1473.64s]  Так а что больше-то уже?
[1473.64s -> 1476.64s]  А больше уже нечего, ну, может быть, только если трусы сливчикам.
[1476.64s -> 1479.64s]  Отличная, прекрасная ставка, номер 12.
[1479.64s -> 1481.64s]  Штаны и кофта.
[1481.64s -> 1484.64s]  Разрезать свои штаны и кофту, раз.
[1484.64s -> 1486.64s]  Разрезать штаны и кофту, два.
[1486.64s -> 1489.64s]  Кто больше, друзья, делаем ваши ставки.
[1489.64s -> 1492.64s]  Разрезать штаны и кофту, три.
[1492.64s -> 1494.64s]  Срода на номер 12.
[1497.64s -> 1500.64s]  Прошу приступить к выполнению ставки.
[1500.64s -> 1502.64s]  Итак, госпожа, представьтесь, пожалуйста, как вас зовут?
[1502.64s -> 1504.64s]  Здравствуйте, меня зовут Марина.
[1504.64s -> 1507.64s]  Марина, очень приятно, Марина.
[1507.64s -> 1509.64s]  Так, я хочу тоже присутствовать.
[1509.64s -> 1512.64s]  Как вы решились на то, чтобы, ну, временно стало, наверное.
[1512.64s -> 1514.64s]  Пора уже обновить гардероб, правильно?
[1514.64s -> 1515.64s]  Ну, конечно.
[1515.64s -> 1517.64s]  Скоро весна, нужно что-то свеженькое.
[1517.64s -> 1521.64s]  Вот у нас здесь представлен экзебет дизайнерского характера,
[1521.64s -> 1525.64s]  который прокачает вашу имена, ваш шмот до неузнаваемости.
[1525.64s -> 1528.64s]  Итак, мы готовы, наверное, приступить к выполнению ставки.
[1528.64s -> 1530.64s]  Раз, два, три, поехали!
[1530.64s -> 1532.64s]  Что мы можем сделать?
[1532.64s -> 1535.64s]  Мы можем сделать невероятно классные шортики, бриджи какие-то,
[1535.64s -> 1540.64s]  может даже мини-шорты, некий топик.
[1543.64s -> 1545.64s]  Но, Прохор, согласись, лот прекрасный.
[1545.64s -> 1547.64s]  Лот прекрасный, но мне кажется, все-таки...
[1547.64s -> 1549.64s]  Не стоит это.
[1549.64s -> 1551.64s]  Ну ладно, ладно, что вы.
[1551.64s -> 1554.64s]  Как бы такое можно купить, а вот такое уже вряд ли.
[1554.64s -> 1556.64s]  Так, хорошо, да.
[1556.64s -> 1559.64s]  Как у вас, как у вас ощущения, как впечатления?
[1559.64s -> 1560.64s]  Прекрасно.
[1560.64s -> 1563.64s]  Смотрите, насколько профессионально работает мастер,
[1563.64s -> 1565.64s]  даже ни одной затяжки на колготку нет.
[1565.64s -> 1566.64s]  Браво.
[1566.64s -> 1567.64s]  Это мы жалеем у вас.
[1567.64s -> 1569.64s]  Отсудисменты.
[1572.64s -> 1574.64s]  Именно так.
[1574.64s -> 1576.64s]  Рука мастера, это профессионал.
[1576.64s -> 1578.64s]  Она всю свою одежду в шкафу так порезала,
[1578.64s -> 1581.64s]  бывшего своего, всю, поперепорезала.
[1581.64s -> 1583.64s]  Достанься ты никому.
[1583.64s -> 1587.64s]  У меня так одна знакомая другу, они поссорились там,
[1587.64s -> 1590.64s]  он говорит, все, я тебя бросаю, у нас все закончилось.
[1590.64s -> 1592.64s]  Ну хорошо, ну хорошо, я ухожу.
[1592.64s -> 1593.64s]  Ну давай, давай.
[1593.64s -> 1596.64s]  И он в коридоре зашнуривает себе, собирается,
[1596.64s -> 1598.64s]  и она подходит сковородкой ему по голове,
[1598.64s -> 1600.64s]  не доставайся же ты никому.
[1600.64s -> 1602.64s]  И вот так сковородкой, и ушла.
[1602.64s -> 1604.64s]  Он просыпается через какое-то время.
[1604.64s -> 1605.64s]  Это реальный случай.
[1605.64s -> 1606.64s]  Привязанный к батарее.
[1606.64s -> 1607.64s]  Страшно.
[1609.64s -> 1611.64s]  Ну уж, ну сюда-то уж зачем ты.
[1611.64s -> 1612.64s]  Все, и так уж.
[1612.64s -> 1613.64s]  Очень красиво.
[1613.64s -> 1615.64s]  Ну во-первых, это красиво.
[1616.64s -> 1618.64s]  И кофточку, я предлагаю кофточку.
[1618.64s -> 1621.64s]  Итак, есть название какое-то?
[1622.64s -> 1625.64s]  Боковее, можно попросить вас чуть-чуть встать?
[1625.64s -> 1629.64s]  Чтобы мы видели вот эти тренды 2022 года.
[1629.64s -> 1634.64s]  Ну как бы и нам не нужны вот эти все женские прикрыватели.
[1634.64s -> 1635.64s]  Наоборот, все открыто.
[1635.64s -> 1638.64s]  Сейчас не от кого скрываться, мы все видели в интернете.
[1638.64s -> 1642.64s]  В этом виде можно легко пойти в соцзащиту и что-то выцоганить.
[1642.64s -> 1643.64s]  Конечно.
[1646.64s -> 1649.64s]  Ты в соцзащите разбираешься, кто как не ты.
[1649.64s -> 1651.64s]  Чуть что сразу в соцзащиту.
[1651.64s -> 1654.64s]  Ребята, выручайте.
[1654.64s -> 1656.64s]  Спасите, дайте что-нибудь.
[1656.64s -> 1658.64s]  Я не все могу рассказывать, к сожалению.
[1658.64s -> 1662.64s]  Я могу предположить, что есть у тебя загажники и еще истории.
[1663.64s -> 1666.64s]  Которые никому не знаете.
[1666.64s -> 1668.64s]  Вообще.
[1668.64s -> 1671.64s]  Может быть мы вот это уберем.
[1671.64s -> 1673.64s]  Такой кричащий наряд.
[1673.64s -> 1675.64s]  Да, кричащий наряд.
[1675.64s -> 1676.64s]  Кстати, можно вам наряд шить.
[1676.64s -> 1679.64s]  Ты такая худенькая, как рассыпать ткани.
[1679.64s -> 1682.64s]  Здесь как раз вам на коп туда и на штаны.
[1682.64s -> 1684.64s]  Хватит, достаточно будет.
[1684.64s -> 1687.64s]  Нет, вы знаете, у вас неплохая фигура.
[1687.64s -> 1690.64s]  Вот эта чашка, знаете, как вам будет идти чашка.
[1690.64s -> 1693.64s]  Это просто, просто вы именно будете.
[1696.64s -> 1698.64s]  Ой, ой, ой.
