[8.11s -> 13.43s]  ДИНАМИЧНАЯ МУЗЫКА
[180.17s -> 181.49s]  Пол КамАЗ твои.
[181.49s -> 182.97s]  А?
[182.97s -> 190.62s]  КамАЗ с мандарином, говорите?
[191.58s -> 193.50s]  Максимка, привет.
[193.50s -> 195.10s]  Привет, бабуль.
[195.10s -> 196.66s]  Ну ты как?
[196.66s -> 199.06s]  Поедаться или по делам?
[199.06s -> 201.62s]  Я попрощаться.
[201.62s -> 203.38s]  Там хреново всё.
[203.38s -> 205.38s]  Увольняться надо.
[205.38s -> 209.50s]  Там меня подставили и выставили непонятно кем.
[209.50s -> 211.78s]  А ты прям сразу увольняться.
[211.78s -> 214.46s]  Как трус.
[214.46s -> 217.66s]  Ну в смысле, как трус, бабуль, я думал, ты меня поддержишь.
[217.66s -> 222.18s]  Тебя подставили.
[222.18s -> 225.10s]  А ты ручки сложил и сразу увольняться.
[225.10s -> 227.02s]  Так поступают трусы.
[227.02s -> 229.10s]  Ты не понимаешь, там люди серьёзные.
[229.10s -> 231.82s]  У них деньги, я что смогу против них сделать?
[231.82s -> 233.42s]  Люди...
[233.42s -> 235.46s]  Я ладить.
[235.46s -> 239.54s]  Люди с большими деньгами много чего могут позволить.
[239.54s -> 243.18s]  Пусть они себе покупают золотые часы,
[243.18s -> 246.06s]  дачи у моря, крутые машины.
[246.06s -> 249.46s]  Большие деньги – это не повод ломать жизни.
[249.58s -> 252.54s]  Ну, я не знаю, что у вас там произошло.
[252.54s -> 254.66s]  Произойдёт, бабуль.
[254.66s -> 256.66s]  Слышишь, бабуль, произойдёт.
[256.66s -> 259.50s]  Они ради своей выгоды готовы много животных убить.
[259.50s -> 263.02s]  Так тем более, Максимша.
[263.02s -> 265.06s]  У тебя, конечно, может не получиться.
[265.06s -> 268.82s]  Но, по крайней мере, ты будешь знать, что ты попытался.
[268.82s -> 274.30s]  А правда и добро – на твоей стороне.
[274.30s -> 278.90s]  Бабуль, там, это, по поводу правды,
[278.94s -> 281.34s]  там нет в квартире никакого ремонта.
[281.34s -> 284.30s]  Её отобрали из-за моего косяка.
[284.30s -> 285.78s]  Разберёмся.
[285.78s -> 287.54s]  Ты, главное, людям помогай.
[287.54s -> 292.18s]  Ты же полицейский.
[292.18s -> 295.18s]  Работаем, Райс Борисовна.
[295.18s -> 297.54s]  План спасения ты хоть придумал?
[297.54s -> 302.26s]  Конечно. Но лучший план – это же импровизация.
[302.26s -> 304.38s]  Импровизатор.
[304.38s -> 306.30s]  С голыми ушами.
[306.30s -> 308.74s]  Ну-ка, на.
[308.78s -> 310.42s]  Да мы там быстро, на машине, бабуль.
[310.42s -> 325.30s]  О, ну давай.
[325.30s -> 327.82s]  Короче, Сундук, не едем ни в какую Москву.
[327.82s -> 331.70s]  Мне обратно в деревню надо, там делами завершённые есть.
[331.70s -> 333.62s]  Со мной можешь не ехать.
[333.62s -> 335.14s]  Я сам разгребу.
[335.14s -> 338.26s]  Да, если честно, у меня тоже дела важные нарисовались.
[338.26s -> 341.14s]  Смотри, Сундуков, ведь накосячишь, я тебя больше не отмажу.
[341.14s -> 343.34s]  Да не, я сейчас в белую работаю.
[343.34s -> 345.46s]  Стартап.
[345.46s -> 349.30s]  Но деньги я тебе уже не верну, я бах залил.
[349.30s -> 350.70s]  Ладно, давай, удачи.
[350.70s -> 366.90s]  Давай.
[366.90s -> 404.85s]  Сумка-то!
[404.85s -> 408.69s]  Здравствуйте. Как доехали?
[408.69s -> 411.37s]  Нормально.
[411.37s -> 413.65s]  Слушай, я вот понять не могу.
[413.65s -> 417.73s]  От тебя народ уважает или ненавидит?
[417.73s -> 419.97s]  Уважает, конечно.
[419.97s -> 424.48s]  Можно в тепло?
[424.48s -> 436.40s]  Да уж, за двадцать лет ничего не изменилось.
[436.40s -> 440.00s]  Давайте быстрее.
[440.00s -> 442.88s]  Да всё, хоре.
[442.88s -> 445.80s]  Я вообще не понимаю, почему мы на нормальной машине поехать не можем.
[445.80s -> 447.20s]  Потому что палевно.
[447.20s -> 448.52s]  Дебил.
[448.52s -> 456.42s]  Погнали уже, погнали, нам в администрацию успеть, там этот приехал.
[456.42s -> 464.16s]  Погнали, опаздываем.
[464.16s -> 468.99s]  Ой, дебил.
[468.99s -> 486.10s]  Ну и на хрена?
[486.10s -> 490.78s]  Стой, стой, стой, стой, стой, стой, стой, стой, стой, стой, стой.
[490.78s -> 492.14s]  О, начальник.
[492.14s -> 528.29s]  Давай, давай, давай, быстрее.
[528.29s -> 531.69s]  Неужели человек из Москвы быстрее приехал?
[531.69s -> 537.21s]  Я извиняюсь, нас водитель с навигатором поспорили, кто тупее.
[537.21s -> 539.45s]  Водитель выиграл.
[539.45s -> 543.17s]  Слышь, откуда я знал, что там снег?
[543.17s -> 545.45s]  Я всегда этим бабкам поражался.
[545.45s -> 548.09s]  Вот охотой им даже ночью на морозе сидеть.
[548.09s -> 550.13s]  По здоровью, что у них много.
[550.13s -> 555.33s]  А у нас небо просто очень красивое, звездное.
[555.37s -> 557.41s]  Давай по весту, сколько можно тут стоять?
[557.41s -> 558.89s]  Да, значит, план...
[558.89s -> 561.57s]  Мы что, внутрь не зайдем?
[561.57s -> 562.97s]  План, значит, такой.
[562.97s -> 565.77s]  Миланочка будет вести торжество.
[565.77s -> 567.89s]  Она умеет очень хорошо держаться на сцене.
[567.89s -> 568.69s]  Да.
[568.69s -> 569.49s]  Салютно мне.
[569.49s -> 571.89s]  Вот, несмотря ни на что, в действие начинаю.
[571.89s -> 572.61s]  Да.
[572.61s -> 575.29s]  Значит, мужчина.
[575.29s -> 577.01s]  Мужчина, значит, будет в лесу.
[577.01s -> 578.81s]  Я с запада буду заходить.
[578.81s -> 581.13s]  Ирюхов, по центру.
[581.13s -> 583.97s]  Самурайс, востока.
[583.97s -> 587.21s]  Поняли прикол?
[587.21s -> 591.09s]  Не поняли, короче?
[591.09s -> 594.65s]  Как только салют, начнем этих рогатых ввесить.
[594.65s -> 596.21s]  Сушкой грузим к самураю.
[596.21s -> 598.85s]  Лес подожжем, ни следов, ни нас.
[598.85s -> 604.29s]  А через год там появится новый бизнес-центр.
[604.29s -> 605.61s]  Ну, или усадьба.
[605.61s -> 607.61s]  Ну, это же ваша земля, вам решать.
[607.61s -> 609.45s]  Соляру только не жалейте, чтоб наверняка.
[609.45s -> 610.93s]  Да, да, да.
[610.93s -> 613.09s]  Мы все?
[613.09s -> 614.09s]  Да, все, все.
[614.09s -> 615.09s]  Все все помнят.
[615.09s -> 617.25s]  Поэтому давайте отсыпаться.
[617.25s -> 619.61s]  Завтра ровно в десять салют.
[619.61s -> 621.01s]  Все.
[621.01s -> 627.24s]  По машинам.
[627.24s -> 628.04s]  Может быть, чаю?
[628.04s -> 631.52s]  Может быть, чаю?
[631.52s -> 634.04s]  Яша, там к тебе друг пришел?
[634.04s -> 638.98s]  У меня нет друзей.
[638.98s -> 642.02s]  Привет.
[642.02s -> 644.22s]  Мам, ты пустила домой предателя?
[644.22s -> 645.34s]  Да тихо, тихо, напарник.
[645.34s -> 646.50s]  Нет тут никаких предателей.
[646.50s -> 647.58s]  Какой напарник?
[647.58s -> 648.66s]  Ты мне напарник?
[648.66s -> 650.90s]  Может, тебе напомнить, как ты предал мою дружбу?
[650.90s -> 652.86s]  Как ты предал мою веру в эту дружбу?
[652.86s -> 654.42s]  Не хочу тебя слышать, убирайся отсюда.
[654.42s -> 655.74s]  Ну не хочешь слышать, на, посмотри.
[655.74s -> 656.38s]  Не буду я смотреть.
[656.38s -> 656.86s]  На, посмотри.
[656.86s -> 657.78s]  Не буду я ничего смотреть.
[657.78s -> 658.50s]  На, посмотри, я тебе скажу.
[658.50s -> 659.02s]  Не буду я смотреть.
[659.02s -> 659.98s]  Да на, смотри.
[659.98s -> 661.98s]  Ты разлокируй.
[661.98s -> 662.98s]  На.
[662.98s -> 671.18s]  Как только салют, мы начинаем этих рогатых висеть.
[671.18s -> 675.35s]  Тушки, грудинг.
[675.35s -> 679.75s]  А через год там появится новый бизнес-центр.
[679.75s -> 680.71s]  Ну, я бы лучше снял.
[680.71s -> 681.99s]  Ну, или усадьба.
[681.99s -> 683.99s]  Ну, это же ваша земля, вам решать.
[683.99s -> 687.11s]  Соляру только не жалейте.
[687.11s -> 690.43s]  Я знал, я знал, я знал, что ты не предатель, я знал.
[690.43s -> 692.43s]  Да все, Ра, все.
[694.35s -> 696.11s]  Что теперь будем делать, напарник?
[696.11s -> 698.35s]  Надо сначала понять, что это за мужик вообще.
[698.35s -> 700.19s]  Да я уже все сделал, я сфоткал номера его тачки
[700.19s -> 702.51s]  и отправил напарница в город, но он же все пробил.
[702.51s -> 703.79s]  Кому отправил?
[703.79s -> 706.03s]  Блин, подруги сработают, сейчас вообще неважно.
[706.03s -> 709.31s]  Короче, там какой-то Конев, ОВ.
[709.31s -> 710.79s]  Конев?
[710.79s -> 712.87s]  Так-так, Конев, Конев, Конев.
[712.87s -> 713.59s]  Конев?
[713.59s -> 715.51s]  Так он же у нас раньше в поселке жил?
[715.51s -> 717.03s]  Мне про него Егорыч рассказывал.
[717.03s -> 719.63s]  Любил гулять по лесу, потом с ним что-то случилось
[719.63s -> 721.83s]  и он переехал в Москву жить.
[721.83s -> 724.63s]  А темная какая-то история.
[724.63s -> 726.63s]  Гой, бредок.
[731.99s -> 763.31s]  Нет, пожалуйста, не надо!
[763.31s -> 775.42s]  Ненавижу этот лес.
[775.42s -> 778.34s]  Может быть еще раз посмотрим?
[778.34s -> 780.22s]  Да мы это видео уже наизусть выучили.
[780.22s -> 782.82s]  Ну давай, блин, в полицию позвоним.
[782.82s -> 784.42s]  Очень смешно.
[784.42s -> 785.62s]  А в район?
[785.62s -> 787.02s]  Еш, а что в район?
[787.02s -> 788.22s]  Ну а что в район?
[788.22s -> 790.82s]  Они скажут, мы ничего не делали и откупятся.
[790.82s -> 793.22s]  Тут надо с поличным братья, самое главное не испугнуть.
[793.22s -> 795.82s]  Сами устроим засаду и разнесем всех?
[795.82s -> 797.22s]  Да.
[797.22s -> 798.62s]  Вяжем всех нафиг.
[798.62s -> 801.02s]  Становимся героями чуда, получаем благодарность,
[801.02s -> 802.82s]  звездочку на погон и все в шоколаде.
[802.82s -> 804.02s]  Да.
[804.02s -> 817.15s]  Теперь осталось понять, как мы это сделаем.
[817.15s -> 820.15s]  Вдоль по улице, Ванюша, по широкой,
[820.15s -> 835.35s]  Дружок от часа-тахо оживало.
[835.35s -> 836.95s]  Они спешали пораня.
[836.95s -> 838.95s]  Они спешали пораня.
[838.95s -> 840.95s]  А олета, о хлежа...
