[5.68s -> 8.12s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[116.56s -> 118.56s]  Нет-нет, с твоим участием.
[118.56s -> 122.56s]  Ну, а что думаешь, это же как кино, пересматриваешься.
[122.56s -> 126.56s]  Причем мы посмотрели не потому, что ты к нам в гости придешь,
[126.56s -> 127.56s]  а просто смотрели.
[127.56s -> 128.56s]  Задолго.
[128.56s -> 129.56s]  Интересно.
[129.56s -> 132.56s]  Я еще скажу по одной причине, почему я смотрел.
[132.56s -> 136.04s]  Ангелина, я могу это, наверное, говорить, из города Смоленска.
[136.04s -> 139.04s]  И мы учились с ней в одной школе.
[139.04s -> 141.04s]  Да ладно, 33.
[141.04s -> 143.04s]  Я выпустил в 2009 году.
[143.04s -> 144.04s]  Ирина Николаевна.
[144.04s -> 145.04s]  Право.
[145.04s -> 147.04s]  Да, это Ирина Николаевна.
[147.04s -> 149.04s]  Как ты узнала, блин!
[151.04s -> 154.04s]  Она же пол сменила недавно, теперь Илья Байдин.
[154.04s -> 156.04s]  Какие полы поменяла?
[158.04s -> 162.04s]  Поэтому, когда я узнал, что из нашей славной школы
[162.52s -> 164.52s]  в люди выбился человек,
[164.52s -> 167.52s]  я, естественно, загуглил и изучил
[167.52s -> 169.52s]  под нагодную.
[169.52s -> 171.52s]  Под нагодную, да.
[171.52s -> 173.52s]  Вообще порно, на самом деле, в нашей жизни,
[173.52s -> 175.52s]  ну, не будем врать,
[175.52s -> 177.52s]  это львинная доля жизни занимает.
[177.52s -> 178.52s]  Порно.
[178.52s -> 179.52s]  Львинная доля жизни?
[179.52s -> 180.52s]  Да.
[180.52s -> 181.52s]  Видеоконтента.
[181.52s -> 184.52s]  Да, на самом деле, есть же даже по-моему статистика,
[184.52s -> 187.52s]  мы вот обсуждали за эфиром, что, по-моему, там 80% или 90%
[187.52s -> 189.52s]  контента в мире, который мы смотрим,
[190.00s -> 192.00s]  30% контента, это порно.
[192.00s -> 194.00s]  37%.
[194.00s -> 196.00s]  А вот я информацию видела 90%.
[196.00s -> 198.00s]  Ну, она, наверное, жива.
[198.00s -> 200.00s]  Расходится, видимо, да.
[200.00s -> 202.00s]  90% это слишком много.
[202.00s -> 204.00s]  Там А4 сколько только?
[204.00s -> 206.00s]  Мне кажется, все равно,
[206.00s -> 208.00s]  порно, на самом деле, один из самых потребляемых
[208.00s -> 210.00s]  в мире видеоконтента,
[210.00s -> 212.00s]  потому что он не имеет языковых барьеров.
[212.00s -> 214.00s]  Где же имеется в виду,
[214.00s -> 216.00s]  как они видео смотрят,
[216.00s -> 218.00s]  как это называется?
[218.48s -> 220.48s]  Webcam.
[220.48s -> 222.48s]  Конечно, это очень популярно.
[222.48s -> 224.48s]  Сейчас OnlyFans еще появились.
[224.48s -> 226.48s]  Эротика.
[226.48s -> 228.48s]  Это такая...
[228.48s -> 230.48s]  Видеофото-материал.
[230.48s -> 232.48s]  Откидывать порно.
[232.48s -> 234.48s]  Причем, насколько я знаю, OnlyFans сейчас
[234.48s -> 236.48s]  больше всего денег приносит
[236.48s -> 238.48s]  индустрии, ну, именно актерам.
[238.48s -> 240.48s]  Кстати, не так давно прошла
[240.48s -> 242.48s]  премия порно-Оскара,
[242.48s -> 244.48s]  аналог Оскара, и, по-моему, 5 или 6
[244.48s -> 246.48s]  русских девчонок получили
[246.96s -> 248.96s]  Наши! Гордимся!
[248.96s -> 250.96s]  Гордимся!
[250.96s -> 252.96s]  Там есть одна...
[252.96s -> 254.96s]  Одна девчонка получила
[254.96s -> 256.96s]  за лучшую анальную сцену.
[256.96s -> 258.96s]  Вот.
[258.96s -> 260.96s]  Реально жопу порвала
[260.96s -> 262.96s]  ради награды этой.
[262.96s -> 264.96s]  Так нет, если получила Оскар, значит, наоборот,
[264.96s -> 266.96s]  не порвала.
[266.96s -> 268.96s]  Ну, старалась. Старалась очень.
[268.96s -> 270.96s]  Не, молодцы. Круто.
[270.96s -> 272.96s]  Оскары, вот, пожалуйста, наши
[272.96s -> 274.96s]  русские Оскары.
[275.44s -> 277.44s]  Ну ладно, об этом чуть попозже.
[277.44s -> 279.44s]  Вообще, хотелось узнать, Ангелин,
[279.44s -> 281.44s]  как ты в первый раз вообще столкнулась
[281.44s -> 283.44s]  с порно, где ты его увидела,
[283.44s -> 285.44s]  как произошло твое знакомство
[285.44s -> 287.44s]  с жанром порно-фильмов?
[287.44s -> 289.44s]  Это странно произошло,
[289.44s -> 291.44s]  потому что у бабушки с
[291.44s -> 293.44s]  дедушкой я часто бывала,
[293.44s -> 295.44s]  и именно у них за бельем
[295.44s -> 297.44s]  я нашла в шкафу кассеты с порнухой.
[297.44s -> 299.44s]  У бабушки с дедушкой?
[299.44s -> 301.44s]  У родителей такой фигни не было.
[301.44s -> 303.44s]  Но я приезжала к бабушке с дедушкой и смотрела.
[303.44s -> 305.44s]  У меня просто очень умные родители.
[305.44s -> 307.44s]  Они знали, где прятать.
[307.44s -> 309.44s]  Так они туда сами не приезжали.
[309.44s -> 311.44s]  А ты помнишь содержание?
[311.44s -> 313.44s]  Да, одна кассета иностранная,
[313.44s -> 315.44s]  а вторая кассета русское порно.
[315.44s -> 317.44s]  И прям вот 90-е, наверное,
[317.44s -> 319.44s]  то, что яркие повязки, легенсы, вот эти,
[319.44s -> 321.44s]  хвостики, аэродика,
[321.44s -> 323.44s]  вот эта вся тема.
[323.44s -> 325.44s]  Усатый дядька. Я запомнила,
[325.44s -> 327.44s]  что он сначала брил письки.
[327.44s -> 329.44s]  Прямо внутри порно?
[329.44s -> 331.44s]  Да, он прям девочкам побрил письки
[331.44s -> 333.44s]  и потом только секс.
[333.44s -> 335.44s]  Почему ты так говоришь секс?
[335.44s -> 337.44s]  Это по приколу.
[337.44s -> 339.44s]  Значит, правильно так говорится?
[339.44s -> 341.44s]  Да, правильно секс.
[341.44s -> 343.44s]  Там именно секс.
[343.44s -> 345.44s]  На той кассете секс.
[345.44s -> 347.44s]  А ты прям не перематывала?
[347.44s -> 349.44s]  Ты смотрела, как он все побреет?
[349.44s -> 351.44s]  Я смотрела, но перематывала потом,
[351.44s -> 353.44s]  чтобы бабушка с дедушкой не догадались.
[353.44s -> 355.44s]  Все люди одинаковые.
[355.44s -> 357.44s]  Сколько тебе было летом?
[357.44s -> 359.44s]  Лет 11.
[359.44s -> 361.44s]  Но ты в тот момент не подумала о том,
[361.44s -> 363.44s]  что типа круто, хочу тоже так?
[363.44s -> 365.44s]  Нет, я подумала то, что
[365.44s -> 367.44s]  ***, в жопу это все
[367.44s -> 369.44s]  происходит.
[369.44s -> 371.44s]  Да в жопу это все.
[371.44s -> 373.44s]  В жопу это все, а я вот прям так
[373.44s -> 375.44s]  в жопу.
[375.44s -> 377.44s]  У меня прям, ну я помню,
[377.44s -> 379.44s]  я не знаю, первое ли это было
[379.44s -> 381.44s]  порно, но мне сильно запомнилось.
[381.44s -> 383.44s]  Короче, это
[383.44s -> 385.44s]  у меня брат, они с друзьями
[385.44s -> 387.44s]  пришли к нам домой. У нас был
[387.44s -> 389.44s]  видеомиктофон, они
[389.44s -> 391.44s]  вставили кассету, они типа втроем сидели,
[391.44s -> 393.44s]  смотрели порнуху. В какой-то момент
[393.44s -> 395.44s]  я ******** зашел,
[395.44s -> 397.44s]  но меня не выгнали *****.
[397.44s -> 399.44s]  Типа, и я такой...
[399.44s -> 401.44s]  Брат с друзьями,
[401.44s -> 403.44s]  родителей дома не было, брат с друзьями.
[403.44s -> 405.44s]  А ну брат-то что будет выгонять?
[405.44s -> 407.44s]  Все, ну *****.
[407.44s -> 409.44s]  Сколько лет было?
[409.44s -> 411.44s]  Ну типа если ему было лет 16,
[411.44s -> 413.44s]  то мне 6. Ну у нас 10 лет разница.
[413.44s -> 415.44s]  Типа, он меня не выгнал,
[415.44s -> 417.44s]  и я типа лег на диван, а-ля, *****,
[417.44s -> 419.44s]  спать, но я вот так, но я вот так
[419.44s -> 421.44s]  прям смотрел, и я помню, что там
[421.44s -> 423.44s]  был сюжет, там была какая-то,
[423.44s -> 425.44s]  а-ля, гараж Формулы 1,
[425.44s -> 427.44s]  где типа чувак на болиде
[427.44s -> 429.44s]  подъезжает, Формулы 1.
[429.44s -> 431.44s]  Он снимает шлем и подходят две
[431.44s -> 433.44s]  типа девушки в комбинезонах,
[433.44s -> 435.44s]  такие, которые, а-ля, знаешь,
[435.44s -> 437.44s]  которые что-то... Механики. Механики, да.
[437.44s -> 439.44s]  И у них в тройничок,
[439.44s -> 441.44s]  типа секс втроем.
[441.44s -> 443.44s]  Ты сразу в тройничка. А что, он выиграл потом в итоге?
[443.44s -> 445.44s]  Он да, он обогнался.
[445.44s -> 447.44s]  Первый пришел? Это Шумахер.
[447.44s -> 449.44s]  Похоже на документал-код.
[449.44s -> 451.44s]  Скорострел получился.
[451.44s -> 453.44s]  А у тебя какое было первое порно?
[453.44s -> 455.44s]  Если честно, я не запомнила
[455.44s -> 457.44s]  какое-то конкретное порно. Я помню, что
[457.44s -> 459.44s]  была кассета у родителей. Я не помню
[459.44s -> 461.44s]  ни содержания, ни как я ее смотрела.
[461.44s -> 463.44s]  Но я хорошо помню
[463.44s -> 465.44s]  ДТВ после полуночи,
[465.44s -> 467.44s]  что-то такое, да, или РНТВ.
[467.44s -> 469.44s]  Да-да. Мы ездили с
[469.44s -> 471.44s]  девчонками на сборы
[471.44s -> 473.44s]  в Волгоград.
[473.44s -> 475.44s]  И, помню, мы собирались в одной комнате
[475.44s -> 477.44s]  и ждали, когда же наконец-то
[477.44s -> 479.44s]  начнется вот это вот.
[479.44s -> 481.44s]  Там были прям...
[481.44s -> 483.44s]  Я помню, там были сюжеты. Там было порно сюжетом.
[483.44s -> 485.44s]  Там Теротика была. Там Теротика.
[485.44s -> 487.44s]  Там красиво прям было. Значит, Теротика, значит, была.
[487.44s -> 489.44s]  Но помнишь, что там приходит
[489.44s -> 491.44s]  сантехник, вот эта что-то диалогия.
[491.44s -> 493.44s]  Пожалуйста, сантехник, да.
[493.44s -> 495.44s]  Почему, блин, почему реально
[495.44s -> 497.44s]  так сложилось, что сантехник такая самая
[497.44s -> 499.44s]  порно профессия?
[499.44s -> 501.44s]  Чистящий к бассейну.
[501.44s -> 503.44s]  Прикинь, сколько пацанов в своей жизни пошли
[503.44s -> 505.44s]  учиться на сантехника, и как они потом
[505.44s -> 507.44s]  разочаровались в жизни?
[507.44s -> 509.44s]  *****, ноль секса, только бабки какие-то
[509.44s -> 511.44s]  вызывают вообще.
[511.44s -> 513.44s]  Я думаю, что это просто с тех пор, когда
[513.44s -> 515.44s]  для женщины было нормально сидеть дома
[515.44s -> 517.44s]  в качестве домохозяйки.
[517.44s -> 519.44s]  А может, все время в командировке?
[519.44s -> 521.44s]  Даже если он на работе.
[521.44s -> 523.44s]  Единственный способ найти какого-то еще мужика,
[523.44s -> 525.44s]  это когда он приходит в твой дом
[525.44s -> 527.44s]  чинить бассейн или чистить
[527.44s -> 529.44s]  трубу.
[529.44s -> 531.44s]  Да, у нас же в России все с бассейнами.
[531.44s -> 533.44s]  Очень близко было нашему народу.
[533.44s -> 535.44s]  У нас все со справками бассейн.
[537.44s -> 539.44s]  А вот, Ангелин, так говоришь,
[539.44s -> 541.44s]  было иностранное, и русское.
[541.44s -> 543.44s]  Интересно, какое было русское?
[543.44s -> 545.44s]  Я же говорю, он побрил пиццу.
[545.44s -> 547.44s]  А, это русское было?
[547.44s -> 549.44s]  А иностранное какое?
[549.44s -> 551.44s]  Там не было особо сюжетов,
[551.44s -> 553.44s]  но там прям они сексом занимались.
[553.44s -> 555.44s]  И на скале,
[555.44s -> 557.44s]  и на кровати,
[557.44s -> 559.44s]  и на внутреннем дворике,
[559.44s -> 561.44s]  где красиво снято.
[561.44s -> 563.44s]  Русское именно...
[563.44s -> 565.44s]  Драматургия, понимаешь, он подготовил.
[565.44s -> 567.44s]  Русское именно побрил,
[567.44s -> 569.44s]  что-то позвал,
[569.44s -> 571.44s]  забрал сеты, с аэробики,
[571.44s -> 573.44s]  эти костюмы, переоделись.
[573.44s -> 575.44s]  Это коммунизм, понимаете,
[575.44s -> 577.44s]  коммунизм и коллективизм.
[577.44s -> 579.44s]  Странно, а на гитаре он сыграл?
[579.44s -> 581.44s]  Сыграл он на гитаре?
[581.44s -> 583.44s]  Это процесс уламывания.
[583.44s -> 585.44s]  Это обучающий фильм.
[585.44s -> 587.44s]  Это туториал,
[587.44s -> 589.44s]  надо их поухаживать,
[589.44s -> 591.44s]  надо талант показать,
[591.44s -> 593.44s]  а не так сразу,
[593.44s -> 595.44s]  вот тебе скала и долана.
[595.44s -> 597.44s]  Знакомиться на спорте надо,
[597.44s -> 599.44s]  спортивным надо.
[599.44s -> 601.44s]  Кстати, до сих пор же есть такое,
[601.44s -> 603.44s]  что русская порнуха,
[603.44s -> 605.44s]  которая прям реально в России,
[605.44s -> 607.44s]  она такая не казеная.
[607.44s -> 609.44s]  Я не видел ни одной уровня американской,
[609.44s -> 611.44s]  типа прям такая же.
[611.44s -> 613.44s]  Балабановская порнуха,
[613.44s -> 615.44s]  она такая бытовая очень,
[615.44s -> 617.44s]  серенькая, мужичок с пузиком,
[617.44s -> 619.44s]  девушка тоже такая.
[619.44s -> 621.44s]  Я, может, не сильно не юзал,
[621.44s -> 623.44s]  в чем это так или нет,
[623.44s -> 625.44s]  и если так, в чем проблема.
[625.44s -> 627.44s]  Разница иностранной порнухи
[627.44s -> 629.44s]  очень красивая.
[629.44s -> 631.44s]  Особенно на фоне того,
[631.44s -> 633.44s]  что русские девчонки там
[633.44s -> 635.44s]  очень мощно смотрятся в американской ингострии.
[635.44s -> 637.44s]  Сейчас нет разницы.
[637.44s -> 639.44s]  Тебе кажется,
[639.44s -> 641.44s]  просто вот тут значок,
[641.44s -> 643.44s]  там Бразерс или что-то,
[643.44s -> 645.44s]  но они-то у русских это заказывают.
[645.44s -> 647.44s]  Они это заказывают, чтобы в России сняли,
[647.44s -> 649.44s]  это дешевле для них.
[649.44s -> 651.44s]  То есть если в Россию заплатить там 2-3 тысячи...
[651.44s -> 653.44s]  А там где американский актер снимается,
[653.44s -> 655.44s]  например, вот этот лысенький мужчина приятный.
[655.44s -> 657.44s]  Вот это же в Америке.
[657.44s -> 659.44s]  Он реально приятный, я согласна.
[659.44s -> 661.44s]  Ты снималась с ним?
[661.44s -> 663.44s]  Я в Америке еще никогда не была пока.
[663.44s -> 665.44s]  Блин, ну что?
[665.44s -> 667.44s]  Прям Бразерс русские снимают?
[667.44s -> 669.44s]  Да, многие порно.
[669.44s -> 671.44s]  Именно студия, когда уже большая,
[671.44s -> 673.44s]  есть русские, кто в Европе
[673.44s -> 675.44s]  постоянно живет,
[675.44s -> 677.44s]  а есть те, кто живет в России,
[677.44s -> 679.44s]  в Питере, им заказывают, они на него снимают.
[679.44s -> 681.44s]  То есть по качеству ты думаешь,
[681.44s -> 683.44s]  что значок русское или
[683.44s -> 685.44s]  американское отличается.
[685.44s -> 687.44s]  Ну а если вспомните, надеюсь,
[687.44s -> 689.44s]  вспомните ВТФ ПАС.
[689.44s -> 691.44s]  Да-да-да, конечно.
[691.44s -> 693.44s]  Это же русские, но они стали известны на весь мир.
[693.44s -> 695.44s]  Да-да, они такие, они очень
[695.44s -> 697.44s]  как сказать, прогрессивно
[697.44s -> 699.44s]  подошли к съемке.
[699.44s -> 701.44s]  С бомжами видел?
[701.44s -> 703.44s]  Я просмеялась сначала,
[703.44s -> 705.44s]  а потом подрочила.
[705.44s -> 707.44s]  Да, это прикольно, правда.
[707.44s -> 709.44s]  А что там с бомжами?
[709.44s -> 711.44s]  Они были переодетые в бомжей, как будто
[711.44s -> 713.44s]  девочку на улице поймали.
[713.44s -> 715.44s]  Иди сюда, быстро.
[715.44s -> 717.44s]  Разделись они красивые?
[717.44s -> 719.44s]  Да, обычные порно актеры разделись,
[719.44s -> 721.44s]  но они не снимали шарф намотан.
[721.44s -> 723.44s]  Ну да, они все равно были в образе бомжа.
[723.44s -> 725.44s]  То есть такие сюжетики придумали,
[725.44s -> 727.44s]  как будто бы с ручной камеры так все это снимается.
[727.44s -> 729.44s]  Ну очень лайвово они это делали, это прикольно.
[729.44s -> 731.44s]  Я помню только из русских вот этот
[731.44s -> 733.44s]  Санкт-Петербургская, Пряничников,
[733.44s -> 735.44s]  где прям на набережной.
[735.44s -> 737.44s]  Там все, там какая-то, да.
[737.44s -> 739.44s]  А ты знаешь этих типов, которые
[739.44s -> 741.44s]  сейчас закадрю, пикапят девчонок?
[741.44s -> 743.44s]  Ну ВТФ ПАС, я с этим
[743.44s -> 745.44s]  чуваком снималась в первом видео своем.
[745.44s -> 747.44s]  В самом первом?
[747.44s -> 749.44s]  Да, мы с ним долго общались.
[749.44s -> 751.44s]  А есть чернокожий тип, который в каникулы Мексики выиграл.
[751.44s -> 753.44s]  Мулат. Да? Да.
[753.44s -> 755.44s]  А там другой Тимо Харди.
[755.44s -> 757.44s]  Они два брата. А они братья еще?
[757.44s -> 759.44s]  Но клички у них Грузин и Татарин.
[759.44s -> 761.44s]  Я не знаю почему.
[761.44s -> 763.44s]  Но они родные братья.
[763.44s -> 765.44s]  Ты не смотрела в ВТФ ПАС?
[765.44s -> 767.44s]  Это единственное русское порно, которое я помню,
[767.44s -> 769.44s]  это Псковское порно. *** меня драчи
[769.44s -> 771.44s]  мои со скиллок.
[771.44s -> 773.44s]  А также этот день студента,
[773.44s -> 775.44s]  где в Курске, это же вообще легенда,
[775.44s -> 777.44s]  день студента.
[777.44s -> 779.44s]  Ну это уже такая мем.
[779.44s -> 781.44s]  Берут оттуда там скриншоты.
[781.44s -> 783.44s]  Там где-то они тусовались,
[783.44s -> 785.44s]  что-то приходил, тусовка.
[785.44s -> 787.44s]  В квартире, да.
[787.44s -> 789.44s]  И там такая оргия.
[789.44s -> 791.44s]  Это вообще классика.
[791.44s -> 793.44s]  Реально не смотрел?
[793.44s -> 795.44s]  Единственный раз, когда
[795.44s -> 797.44s]  порно было очень близко к моей жизни,
[797.44s -> 799.44s]  я случайно
[799.44s -> 801.44s]  загуглил,
[801.44s -> 803.44s]  я не помню,
[803.44s -> 805.44s]  как я точно гуглил,
[805.44s -> 807.44s]  или может даже кто-то скинул из пацанов
[807.44s -> 809.44s]  с горного.
[809.44s -> 811.44s]  Короче, было порно в горном.
[811.44s -> 813.44s]  В нашем университете, да, в аудитории, где мы учились.
[813.44s -> 815.44s]  Где мы учились, там
[815.44s -> 817.44s]  просто чувак
[817.44s -> 819.44s]  встретил...
[819.44s -> 821.44s]  Там был скандал, конечно, большой скандал был.
[821.44s -> 823.44s]  Встретил подругу на улице, они зашли
[823.44s -> 825.44s]  в аудиторию, на пару, там
[825.44s -> 827.44s]  потрахались, вышли.
[827.44s -> 829.44s]  И это прям было...
[829.44s -> 831.44s]  У нас горный институт,
[831.44s -> 833.44s]  потом порный институт начали раздувать
[833.44s -> 835.44s]  и все называть. Но не, горный классный,
[835.44s -> 837.44s]  заступайте.
[837.44s -> 839.44s]  Тем более легко.
[839.44s -> 841.44s]  Да.
[841.44s -> 843.44s]  Ну, вот, про то, что там
[843.44s -> 845.44s]  отличие русского. Вот я хотел узнать у
[845.44s -> 847.44s]  девчонок, типа парня, ну, мне как парню,
[847.44s -> 849.44s]  понятно, что порно, типа, меня там
[849.44s -> 851.44s]  сильно возбуждает и так далее. Я много
[851.44s -> 853.44s]  оттуда и беру каких-то вещей
[853.44s -> 855.44s]  и много ожиданий от секса, именно
[855.44s -> 857.44s]  связанных с порно. А, типа, девчонок
[857.44s -> 859.44s]  это так же, типа, так же сильно заводит,
[859.44s -> 861.44s]  возбуждает вот именно просмотр порно.
[861.44s -> 863.44s]  И мне просто всегда казалось, что девчонкам наоборот,
[863.44s -> 865.44s]  они, типа, это все не очень сильно
[865.44s -> 867.44s]  любят именно там смотреть и так далее.
[867.44s -> 869.44s]  И даже там партнер свои, я
[869.44s -> 871.44s]  долгое время там стеснялся предложить,
[871.44s -> 873.44s]  типа, давай посмотрим там порно вместе.
[873.44s -> 875.44s]  Потому что мне казалось, что девчонкам это не интересно.
[875.44s -> 877.44s]  Я до сих пор ни с кем никогда вместе порно не смотрела.
[877.44s -> 879.44s]  Всегда в одиноко?
[879.44s -> 881.44s]  Жалко. Да. Я тоже ни разу
[881.44s -> 883.44s]  не смотрел. Ну, вот, мы смотрели вместе,
[883.44s -> 885.44s]  но как-то это было
[885.44s -> 887.44s]  в целом... Было вместе, смотрели порно?
[887.44s -> 889.44s]  Нет, нет. За ручки взяли
[889.44s -> 891.44s]  что-то. Я с своей девушкой.
[891.44s -> 893.44s]  Мы смотрели вместе, и не скажу,
[893.44s -> 895.44s]  что мы, типа, что там
[895.44s -> 897.44s]  что-то сильно как-то... Ты все равно больше
[897.44s -> 899.44s]  сконцентрирован на партнере в этот момент.
[899.44s -> 901.44s]  И, ну, типа, мы включили
[901.44s -> 903.44s]  на телеке. Скажи мне, как вы договорились
[903.44s -> 905.44s]  о... Да ничего, ну,
[905.44s -> 907.44s]  ну, типа, она знает, что я смотрю
[907.44s -> 909.44s]  порно. Ну, типа, я
[909.44s -> 911.44s]  там могу даже подручить
[911.44s -> 913.44s]  при ней, типа, ну, то есть, если она
[913.44s -> 915.44s]  не хочет секса в этот момент, она там...
[915.44s -> 917.44s]  Да ничего, реально? Да.
[917.44s -> 919.44s]  Ну да, это странно. Ах, ты не хочешь страхаться?
[919.44s -> 921.44s]  Ну тогда, смотри!
[921.44s -> 923.44s]  Да, смотри!
[923.44s -> 925.44s]  Картинка эта, *****,
[925.44s -> 927.44s]  она лежит, допустим, играет там...
[927.44s -> 929.44s]  Ну, и стеки так же делал.
[929.44s -> 931.44s]  И его отменили, кстати.
[931.44s -> 933.44s]  Нет, я имею в виду,
[933.44s -> 935.44s]  она в этот момент
[935.44s -> 937.44s]  не находится в комнате. А, не находится.
[937.44s -> 939.44s]  Она в этом моменте... Просто, я думаю,
[939.44s -> 941.44s]  она лежит, смотрит телек, и он такой...
[941.44s -> 943.44s]  Че, нравится тебе передача эта?
[943.44s -> 945.44s]  И кровать просто вуууу...
[945.44s -> 947.44s]  Про зверей, *****, нравится тебе?
[947.44s -> 949.44s]  Она не находится в этом моменте.
[949.44s -> 951.44s]  Я видел такое порно,
[951.44s -> 953.44s]  вот, как мы сейчас
[953.44s -> 955.44s]  себе представили, там, короче, тип,
[955.44s -> 957.44s]  там есть актеры такие, пацаны,
[957.44s -> 959.44s]  которые выглядят прям как дети.
[959.44s -> 961.44s]  Но они, типа, взрослые.
[961.44s -> 963.44s]  И, типа, есть мамочка, Милфа.
[963.44s -> 965.44s]  И там есть порно одно, где он просто бегает,
[965.44s -> 967.44s]  подошел, убежал,
[967.44s -> 969.44s]  ну, что там наделал?
[969.44s -> 971.44s]  А, я видел, американская.
[971.44s -> 973.44s]  И там раза три так...
[973.44s -> 975.44s]  А потом она ему дала, типа, чтобы...
[975.44s -> 977.44s]  Блин, ну ладно, много и отвратительного порно, окей?
[977.44s -> 979.44s]  Не, это нормально.
[979.44s -> 981.44s]  Да? Ну, всегда так вот.
[981.44s -> 983.44s]  А, Милфа. Не, Милфа это хорошо.
[983.44s -> 985.44s]  Милфам лайк.
[985.44s -> 987.44s]  А она ведь тоже чья-то мама.
[987.44s -> 989.44s]  А почему они мне пишут все время классная Милфа?
[989.44s -> 991.44s]  Последние лет пять.
[991.44s -> 993.44s]  Да? Да нет, ты еще пока не Милфа.
[993.44s -> 995.44s]  Образ. Ну, ты близка.
[995.44s -> 997.44s]  Для них Милфа это секси,
[997.44s -> 999.44s]  строгая девушка,
[999.44s -> 1001.44s]  которая может доминировать,
[1001.44s -> 1003.44s]  типа, ты мальчишка, а я тебе
[1003.44s -> 1005.44s]  сейчас расскажу вообще.
[1005.44s -> 1007.44s]  А, ну это не сложилось там, а больше
[1007.44s -> 1009.44s]  с психологией, типа, связано?
[1009.44s -> 1011.44s]  И с психологией тоже, да.
[1011.44s -> 1013.44s]  Ну, так тем не менее, типа, вот насколько девчонкам вас
[1013.44s -> 1015.44s]  тоже, типа, это сильно возбуждает просмотр порно?
[1015.44s -> 1017.44s]  Нет.
[1017.44s -> 1019.44s]  Ну, я часто, у меня прям
[1019.44s -> 1021.44s]  порнозависимость есть, но
[1021.44s -> 1023.44s]  я с ней
[1023.44s -> 1025.44s]  комфортно живу.
[1025.44s -> 1027.44s]  Ну, ты, типа, как, ты смотришь не то, что с профессиональной точки
[1027.44s -> 1029.44s]  зрения так, что сейчас там модно и так
[1029.44s -> 1031.44s]  далее, а именно... Я смотрю и так, и так.
[1031.44s -> 1033.44s]  То есть иногда я хочу просто
[1033.44s -> 1035.44s]  быстренько подрочить,
[1035.44s -> 1037.44s]  смотрю одну просто
[1037.44s -> 1039.44s]  фигню всякую, а когда я с профессиональной
[1039.44s -> 1041.44s]  точки зрения, я красивые видео смотрю,
[1041.44s -> 1043.44s]  на которые я никогда не подрочу.
[1043.44s -> 1045.44s]  Вот, кстати,
[1045.44s -> 1047.44s]  она очень красивая.
[1047.44s -> 1049.44s]  Домашку просто смотрю, что снимают из дома.
[1049.44s -> 1051.44s]  Да, да.
[1051.44s -> 1053.44s]  Я, кстати, тоже согласен, что
