[3.63s -> 6.39s]  ИНТРИГУЮЩАЯ МУЗЫКА
[151.15s -> 153.03s]  Быстрее, что вылетит, а?
[153.03s -> 154.07s]  Коммуналка у него.
[155.07s -> 157.99s]  Я помню чудные мгновения.
[159.71s -> 162.71s]  Передо мной явилась ты.
[163.75s -> 167.07s]  Как мимолетное видение,
[167.67s -> 170.79s]  как гений чистой красоты.
[174.80s -> 176.36s]  Ночь, шляпка какая-то.
[176.36s -> 178.92s]  Начальник, да че шляпка-то? Почему шляпку, не пойму.
[178.92s -> 180.36s]  А че ты за стол накрыл тут?
[180.36s -> 183.08s]  Не поджать, не выпить ничего нормального нет.
[183.12s -> 184.32s]  Начальник, ты конфе...
[186.56s -> 189.40s]  *****, начальник, я три строчки в камеру сказал,
[189.40s -> 191.24s]  ты уже коробку конфета сажал.
[191.24s -> 192.96s]  А че, мимонет смотреть, что ли, теперь, а?
[192.96s -> 194.92s]  Не, а вот это вот не надо, не надо, начальник.
[195.76s -> 196.68s]  Да, рассказывай.
[196.68s -> 197.92s]  Да че рассказывать?
[197.92s -> 200.28s]  Надо план какой-нибудь думать, что вот как дальше-то.
[200.28s -> 202.12s]  Какие есть там методы?
[202.12s -> 203.60s]  Че, звоним сейчас Лизке,
[203.60s -> 205.16s]  говорим, что ты пьяный в обезьяннике,
[205.16s -> 208.16s]  она приходится забирать, все, мир и любовь ушли.
[208.16s -> 209.04s]  Ты дураф, нет?
[209.04s -> 210.96s]  Да не покатись ни хера, начальник.
[211.00s -> 213.24s]  Ну ты помнишь, на прошлой неделе все закончилось.
[213.24s -> 214.80s]  Я реально нахерачился,
[214.80s -> 217.04s]  ты меня забрал в обезьянник, я ей звоню,
[217.04s -> 218.44s]  а она, значит, сказала,
[218.44s -> 221.04s]  пошел в мальчик, пускай там сидит, и не приехала.
[221.04s -> 223.28s]  А этому не в ссоре были, начальник, не в ссоре.
[223.28s -> 224.48s]  Давай еще подумаем.
[224.48s -> 226.80s]  Ну давай я ей звоню, говорю, что я труп твой нашел,
[226.80s -> 229.04s]  вот уже мелом обвожу, мол, подходи-то.
[229.04s -> 229.76s]  Забирай.
[229.76s -> 232.44s]  Ну ты совсем конченый, вот при погонах, а.
[232.44s -> 234.16s]  Ну я хочу ей извинений принести,
[234.16s -> 236.04s]  а не чтобы ее инфаркт вьет.
[236.04s -> 238.96s]  Ну я не знаю, что тебе еще рано, я тебе все предложил уже.
[239.00s -> 240.44s]  Слушай, ну надо сделать,
[240.44s -> 242.44s]  чтоб все по закону, по конституции было,
[242.44s -> 244.08s]  ну чтоб не нарушали, ничего.
[244.08s -> 246.76s]  Вот, например, давай знаешь, как сделаем.
[246.76s -> 248.00s]  Ей кто-нибудь звонит,
[248.00s -> 250.96s]  ей, говорит, продиктует, говорит, три этих цифры
[250.96s -> 252.60s]  на обратной стороне карточки.
[252.60s -> 256.36s]  Она их диктует, у нее эти бабочки съебают,
[256.36s -> 258.32s]  она приходит в тебя писать заявление,
[258.32s -> 261.04s]  а тут, я помню, чудное мгновение перед оно явилось.
[261.04s -> 262.00s]  Ты нормально?
[262.00s -> 262.88s]  Нормально.
[262.88s -> 264.24s]  Есть машинка у тебя знакомая?
[264.24s -> 265.44s]  Есть, в общем, целая обезьянька.
[265.44s -> 266.24s]  А, там родственник.
[266.24s -> 267.36s]  Мы с тобой что скажем? Пошли.
[267.40s -> 269.40s]  Давай, давай, сейчас пройдем все.
[269.40s -> 270.60s]  О, нормально.
[271.80s -> 274.28s]  Алло, здравствуй, девушка, вас беспокоят сотрудники банка.
[274.28s -> 276.16s]  На вашей карте подозрительная активность.
[276.16s -> 278.32s]  Чтобы эту устранить, нужно три цифры
[278.32s -> 280.32s]  на обратной стороне вашей банковской карты.
[281.72s -> 282.16s]  Сейчас, сейчас, сейчас.
[282.16s -> 287.52s]  Ага, ага, семь, три, пять.
[287.52s -> 289.28s]  Ага, спасибо большое, девушка.
[289.28s -> 291.28s]  Слушай, ну Костян, она прям нормально сидела.
[291.28s -> 292.92s]  Конечно, она так кредит запила.
[292.92s -> 294.92s]  Нормально. Слушай, а ты на кого учился?
[294.92s -> 296.92s]  Мэнжер по связи с общественностью.
[297.12s -> 298.92s]  Нормально, какая специальность.
[298.92s -> 299.76s]  Ты чего это?
[299.76s -> 300.48s]  А где учился?
[300.48s -> 301.72s]  Семь лет в Магадане.
[301.72s -> 303.72s]  Потом по УДО выпустили.
[303.72s -> 304.92s]  Ладно, мужики, чего я погнал?
[304.92s -> 306.20s]  Сейчас за заявление писать.
[306.20s -> 308.20s]  Давай, спасибо, спасибо.
[308.20s -> 310.60s]  Ну, он нормальный, пацан побольше-то, как их?
[310.60s -> 311.88s]  Конечно, он на районе, на районе.
[311.88s -> 313.40s]  Расклетет, правда, все такие были.
[313.40s -> 314.68s]  Там с ним снарились.
[314.68s -> 316.68s]  Ну что, начальник, нормально, я придумал?
[316.68s -> 318.68s]  Хорошая идея, бодренькая.
[318.68s -> 320.20s]  Я пришла писать заявление.
[320.20s -> 322.20s]  Тихо, тихо, тихо, это понятно, писать заявление.
[322.20s -> 323.20s]  Ты не гундуйся пока.
[323.20s -> 325.76s]  Это вот все для тебя сейчас тут делано, не ори только.
[325.76s -> 327.76s]  Знаешь, все, смотри.
[327.76s -> 329.76s]  Я помню чудное мгновение.
[331.04s -> 333.04s]  Передо мной явилась ты.
[333.04s -> 335.04s]  Какое нахер мгновение?
[335.04s -> 337.04s]  У меня деньги с карты вписали.
[337.04s -> 338.04s]  Ой, да что ты мраздишь?
[338.04s -> 340.04s]  Подумаешь, триста рублей с карты вписали.
[340.04s -> 342.04s]  Да я здесь триста рублей.
[342.04s -> 344.04s]  У меня вообще снарика, мадам, не веришь?
[344.04s -> 347.04s]  Триста рублей, а мне сто пятьдесят тысяч нет на карточке.
[349.04s -> 351.04s]  Это много.
[351.04s -> 353.04s]  Это *****.
[353.88s -> 355.88s]  Слушай, начальник, тихо.
[355.88s -> 357.88s]  А где этот черт, который нам помогал все это проверять?
[357.88s -> 359.88s]  Я в твоих рук делал, что я не пойму.
[359.88s -> 361.88s]  Пошел ты.
[366.51s -> 368.51s]  Своих начальников.
[368.51s -> 370.51s]  А где его сейчас вообще искать?
[370.51s -> 372.51s]  Суть по таким списаниям где-то в Турции.
[372.51s -> 374.51s]  На подводной рыбалке.
[376.51s -> 378.51s]  Ну тогда звони кому-нибудь.
[378.51s -> 380.51s]  Будем всем посмотреть, как телефон подключить.
[380.51s -> 382.51s]  Опа!
[382.51s -> 384.51s]  Ну что понравилось наше видео?
[384.55s -> 386.55s]  Подписывайтесь на этот канал, друзья.
[386.55s -> 388.55s]  Мы на этой площадке новички,
[388.55s -> 390.81s]  поэтому мы хотим что бы у нас узнали все,
[390.81s -> 392.81s]  что мы находимся здесь.
[392.81s -> 394.23s]  Рассказывайте друзьям.
[394.23s -> 395.91s]  Пусть друзьям рассказывают еще другие друзья.
[395.91s -> 397.91s]  Пусть эти друзья расскажут друзьям.
[397.91s -> 399.91s]  shouldn't we, so that we all know
[399.91s -> 401.91s]  at the centre get to know that we're at this wonderful site.
[401.91s -> 403.91s]  Так же вот здесь есть подпишка,
[403.91s -> 406.83s]  обязательно подпишитесь на этот канал,
[406.83s -> 408.83s]  потому что без подпишки вы просто потом не сможете
[408.83s -> 410.83s]  узнать когда у нас вышло видео, друзья.
[410.83s -> 417.39s]  видео друзья давайте все дружненько подпишем сюда и всем мир всех обмяли
[417.39s -> 420.27s]  удачи
