[0.00s -> 2.46s]  Так, ну что, друзья, всем привет! Мы на канале Максим Народный.
[85.66s -> 89.46s]  Я буду весь выпуск так его называть, потому что я, правда, уже привык к нему.
[89.46s -> 92.14s]  Много вопросов Кирюхе накидали, сейчас он будет на них отвечать.
[92.14s -> 95.34s]  И мы начнём готовить наши блюда. С чего начнём?
[95.34s -> 100.94s]  Я предлагаю, чтобы начать с того, что сварить спагетч, чтобы не терять время.
[100.94s -> 102.46s]  Да, я согласен.
[102.46s -> 103.26s]  Согласен с вами?
[103.26s -> 103.78s]  Да.
[103.78s -> 106.30s]  Так, пока вода греется, Кирюх, давай, ты, наверное, с мяса.
[106.30s -> 106.82s]  Давай.
[106.82s -> 107.34s]  Получится?
[107.34s -> 107.86s]  Да.
[107.86s -> 113.58s]  Значит, берём свининочку, будем резать её тонко, брусочками.
[113.66s -> 115.38s]  Ну, там не обязательно.
[115.38s -> 119.38s]  В общем, ты делай как кайф. Как кайф, ты знаешь, что Кирюха тоже готовит.
[119.38s -> 123.10s]  Всё, он меня зовёт приготовить что-нибудь в казане вместе с ним.
[123.10s -> 123.90s]  О, да.
[123.90s -> 127.26s]  Он говорит, я его уже положил в машину, вожу его две недели, и ты никак ко мне не приходишь.
[127.26s -> 130.46s]  У нас очень плотная вот такая вот графика, так что мы обязательно как-нибудь вырвемся на выходных.
[130.46s -> 134.70s]  И с Кирюхой что-нибудь там закашеварим. Это сто процентов.
[134.70s -> 135.54s]  Обязательно.
[135.54s -> 137.10s]  Я жду этого уже.
[137.10s -> 137.66s]  Согласен.
[137.66s -> 141.50s]  Кирюхова набросился, так сказать, на мясо.
[141.74s -> 150.54s]  Я вот начну с лучка. Мы не забываем то, что у нас сейчас прям в прямом эфире греется вода, греется вода, чтобы сварить наши спагетти.
[150.54s -> 163.10s]  Я вот начну нарезать лучок и сразу же задаю вопрос Кирюхе, который волнует всех подписчиков, канал тот самый мент, который смотрит тебя, которым ты реально полюбился, то есть персонаж.
[163.10s -> 169.98s]  Бывают такие персонажи, но не то что персонажи, бывают приглашаемые людей со стороны, чтобы они снялись в одной там сцене, как бы, и всё.
[169.98s -> 172.70s]  Ну типа снялись, ну и спасибо большое, ну может ещё позовем.
[172.70s -> 184.70s]  Кирюха людям полюбился, полюбился и за то, что ты полюбился, такой вопрос, правда ли, правда ли, что ты заикаешься, если это так, то почему?
[184.70s -> 191.02s]  Это неплохо, ну то есть у всех есть свои сверхспособности, вот эта сверхспособность, Кирюха вот покорил зрителей.
[191.02s -> 193.34s]  Вот у тебя спрашивают, правда ли ты это так умеешь?
[193.34s -> 213.66s]  Ну вообще на самом деле да, я правда заикаюсь, это в целом оно не из-за чего-то, а просто дело в том, что у меня мама заикается, дядь заикается, дедушка чуть-чуть заикался.
[214.14s -> 230.14s]  И как-то, ну они научились это контролировать, а я в целом научился, но сдерживать иногда себя сложно, это равно проскальзывать будет.
[230.14s -> 250.38s]  Так что, ну этому даже есть научные как бы объяснения, да, это дело в том, что как бы мысли опережают речь, то есть ты думаешь быстрее, чем говоришь, чем разговариваешь.
[250.38s -> 267.66s]  Если ты начинаешь это контролировать, на выдохе правильно разговаривать, это то есть, да, это можно, но если ты уже начинаешь как обычно, то это уже начинается просто как итератор, и все.
[267.66s -> 297.66s]  Ну Кирюха зашел и говорит, Макс, ну ты уже на меня сразу не обижайся, выпуск может там часовой быть, я когда буду рассказывать, но это правда так, самый главный плюс, что Кирюха не стесняется, правда, этого, и он свою как-то даже, ты знал, я с тобой уже начал, это точно заразительно у нас так бывает, да, и свой недостаток, это можно назвать недостаток, свой способность перевел себе во благо, вот видите, снимается в роликах в образе Лехи-Понмоги, и вам же нравится, вы же попросили
[297.66s -> 327.50s]  мы ему, поэтому мы пригласили, так что это все впереди, все впереди, мы уже с сундуком пойдем на пенсию, а Леха-Понмога, он знает чарты тиктоков, так, лук, по готовке немножко, я говорю, Леха, давай половиночку нарежем, много не надо, давай, а ты мне не смог остановить, я разошелся, у тебя мысли потому, что опережаются, опережаются, ну дорезай, ну а куда деваться, так, у нас уже закипает вода, лук мы уже убрали в сторонку, Кирюх, убирай, у меня в сторонку, потому что у нас есть еще ингредиенты,
[327.50s -> 357.50s]  так у нас Кирюх сейчас берется за морковку, а я беру, берусь, берусь, не беру, берусь за болгарский перчик, любишь ты готовить, да, ну если честно, я недавно начал готовить, ну как-то оно, коронный вопрос, вопрос всем гостям, кто у меня был, топ-3 своих любимых блюд, не то что может быть ты готовишь, а может быть что ты просто любишь, например поесть,
[357.50s -> 387.50s]  если там есть свои, то твои, скажи, можешь сказать, топ-3 своих, топ-3, которые ты ешь, можешь сказать топ-6, можешь сказать что хочешь cursы только сам знаешь как, покороче, ну я попробую конечно, но это первый блюд,έто somehow обожаю, это босма, это есть или готовить, это есть и готовить, ну оно готовится очень просто, piston есть естественное пирожко,
[387.50s -> 394.10s]  с котлеткой, пирожки с котлеткой. Это вообще прям... Это с детства? Да, это у всех. И мясо в пиве.
[394.10s -> 399.98s]  Мясо в пиве. Потомить, потомить. Потомить именно вот, знаешь, подольше из овощей, чтобы
[399.98s -> 404.90s]  вот сок, вот этот вот с пивом, все это... Ты тоже вкусно расскажешь. Мне все говорят,
[404.90s -> 409.98s]  что когда я рассказываю, все очень истинно. Когда я рассказываю, я уже немножко... Так, давайте
[409.98s -> 414.18s]  побокальчику, по глоточку, что ж. Бокальчик, если мы сейчас начнем, тут ничего не приготовить.
[414.18s -> 421.58s]  Так, закипает почти вода. Мы двигаемся на следующий этап. Сейчас будет еще вопрос. Так,
[421.58s -> 435.97s]  морковку. Морковку вы же вписали за эту тему? Конечно, конечно. Кирюху у нас тут вовсю просто уже
[435.97s -> 442.21s]  мельчит морковь. У нас закипела вода. Вот скажите, пожалуйста, кто делает так же, когда вот закипела
[442.21s -> 446.57s]  вода, кто-то варит макарон, спагетти или вообще что-то такое. Вот так вот добавляем немножечко
[446.57s -> 452.45s]  маслиц, чтобы они там не слиплись. Открываем вот такие вот спагетти, которые доступны почти
[452.45s -> 465.29s]  в каждом магазине. Так, открываем их. И отправляем вариться, чтобы не терять время. Готовить их
[465.29s -> 469.25s]  нужно до состояния альдента, то есть до самого конца их не надо там разваривать, потому что мы
[469.25s -> 476.37s]  еще это все перемешаем с нашим вот этим вот этим всем. Как это называется? Индингредиентами.
[476.37s -> 482.69s]  С ингредиентами и будет вот тогда они будут готовы. Сразу их доводить до конца не надо. Так,
[482.69s -> 489.41s]  в спагетти кипят, морковка нарезана. Ее можно, мне кажется, даже отправить вот сюда в тарелочку,
[489.41s -> 494.65s]  чтобы потом нам было удобнее. Вот отсюда в стороночку морковочку брусочками, как вы могли заметить,
[494.65s -> 501.45s]  лук полукольцами. Я уже во все тут нарезаю перчик, тоже вот такими, можно сказать,
[501.45s -> 506.73s]  полукольцами. Ну, чтобы как водки получился. Это приходится ресторан, вот это вот все длинные
[506.73s -> 514.37s]  овощи, я их называю. Все длинные, все тоненькое. Вот мы, собственно, стремимся к этому вопрос.
[514.37s -> 521.49s]  Давай. Или перед вопросом, чик-черихнем. Перед вопросом, естественно, за наших подписчиков,
[521.49s -> 531.89s]  сейчас же будем обновлять. Тут уже нельзя уступать. Никак. Вопрос такой от подписчиков конкретно
[531.89s -> 538.33s]  к тебе. Скажи, пожалуйста, как познакомился, они пишут, как познакомился со мной. Как это было?
[538.33s -> 546.61s]  Только расскажи что-нибудь хорошее, не рассказывай плохое. Я не буду рассказывать плохое. Но в каком
[546.61s -> 566.25s]  году, я не помню, по-моему, года два назад у нас в универе был кубок по КВН. Максим Константинович
[566.25s -> 579.01s]  у нас был в жюри. И тогда мы писали, писали, писали. И вышло так, что мы взяли кубок
[579.01s -> 594.97s]  Вакушника. И с тобой на улице тогда познакомились. После игры? Да, после игры. Обсуждали моменты и уже потом
[594.97s -> 601.73s]  мы стали общаться. И все больше и больше и больше. Я видел его на КВН, я видел много раз на КВН,
[601.73s -> 609.01s]  то, что работал его образ, вот этого человека, который вот так вот разговаривает. Даже были моменты,
[609.01s -> 617.13s]  когда я ему предлагал какие-то репризы, какие-то ходы, что я говорю, Лёх, Кирюх, попробуй сделать
[617.13s -> 622.33s]  вот так, мне кажется, прям вот тебе, и это будет очень круто. И да, у меня получался, я видел на КВН,
[622.33s -> 630.09s]  вот видел на КВН, так и познакомились. Хорошая история. Очень хорошая история. Уже человек,
[630.09s -> 635.05s]  пожалуйста, готовит. Так, спагетти наш уже находятся в состоянии альдента, мы выключаем нашу
[635.05s -> 641.37s]  плиточку и наш, это же нагревается, ты знаешь? Да, я знаю. Бывает такая посуда. Вот, и мы Кирюху
[641.37s -> 647.01s]  побросим побраться, сейчас Кирюху пока сходят и сольёт воду с них, чтобы у нас все было хорошо,
[647.01s -> 653.13s]  ты же умеешь? Да я умею, я знаю, я просто уже прикалываюсь над тобой. Я понял. А мы с вами
[653.13s -> 657.05s]  начнем делать соус, на который Кирюх как раз вовремя подойдет, потому что его ингридиент в
[657.05s -> 662.17s]  этом соусе очень важный. Все, быстро убираем воду и продолжаем. Что нам нужно для соуса? Это томаты,
[662.17s -> 669.69s]  томаты в собственном соку, то есть и сам сок вместе с этими томатами. Мы их отправляем вот сюда
[669.69s -> 679.29s]  аккуратно. Так вот отправляем. Убираем вот эту баночку в сторонку. Эти томаты нам нужно аккуратно
[679.29s -> 690.57s]  разломать, чтобы их мякоть осталась с нами. Осторожней. Чтобы мякоть их осталась с нами. Вот я за это
[690.57s -> 699.37s]  больше всего переживал, если быть честным. Ну давай стоп, все, застегивай башку. Не, продолжай. Так вот это все мы
[699.37s -> 713.26s]  разминаем и сюда и сюда. Теперь мы смело отправляем паприку. Паприку. Вот так вот. Не стесняйтесь, паприку
[713.26s -> 719.90s]  говорите. Это очень вкусно. И чесночок, который нам так доблестно нарезал Кирюха, который уже
[719.90s -> 727.02s]  возвращается возвращается к нам. Отправится чесночок. Так мы сейчас значит меняем. Майк все у нас в
[727.02s -> 732.06s]  лайве. Все мы в живую. Понимаете, у нас нет постановы. Мы вот так вот и работаем. Ну вот такое бывает.
[732.06s -> 737.10s]  Вот такой человек. Ты вот ушел, а мог ты и вот этим заниматься. А это все потому, что не был меня. Не был
[737.10s -> 742.62s]  тебя. Все, сейчас мы снимаем вот это вот некрасивое. Будем красивым и продолжаем. Так, у нас включилась плита,
[742.62s -> 751.62s]  греет сковородочку, наливается в нее масло. Воду с нашу спагетти мы уже как бы слили. Вот. Ага. Да
[751.62s -> 761.47s]  можно даже побольше, потому что мяса у нас достаточно. Все, сейчас у нас нагревается
[761.47s -> 770.47s]  маслица. Мы начинаем, наверное, чистами, какими-то партиями, да? Ну так-то да, но можно, ну нет, тут мы уже
[770.47s -> 776.31s]  чистями. Чистями, конечно, будем делать чистами. Еще одно, но вот мы уже все перемешали по соусу. У нас
[776.31s -> 783.83s]  остались вот эти вот, как правильно их назвать, кожура, кожурки. Вот когда мы уже всю мякоть из них
[783.83s -> 788.95s]  убрали, вот эти кожурки, обязательно выкиньте, если вы будете повторять такой же рецепт. Так, соус у нас
[788.95s -> 794.31s]  готов. Мы вот так вот немножко в сторонку нагрелась. Наша сковородочка, куда отправляется под руководством
[794.31s -> 800.03s]  нашего гостя. Сначала мясо. Сначала мясо. Отправляется мясо. Сначала мясо, да. Сначала отправляется мясо. Пока. Мясо,
[800.03s -> 816.82s]  мясо. Так, на старте сразу немножечко черномолотого перца, соли и продолжаем жарить нашу свинину. Так,
[816.82s -> 822.46s]  вопрос. Пока помешу, немножко прибавлю, чтобы золотистого. Вот, вопрос от подписчиков. Кирюх,
[822.46s -> 829.14s]  не хотел бы ли ты свой личный, не знаю, как это правильно назвать, блог, может быть канал, где ты будешь не
[829.14s -> 835.06s]  Кирилл, а где будешь Леха-подмога, где там, ну, свой какой-то основной, что-то вот. Какие-то идеи есть
[835.06s -> 845.22s]  вообще? Появлялись такие? Мысли вообще были такие? Да, была вообще что-то. Своё? Своё, да. Но я вообще
[845.22s -> 857.38s]  с Эллом с детства мне нравятся вот эти всякие выступления. Но я уже понял. Исполнение. А ты в театре
[857.38s -> 868.90s]  же играешь, да? Нет, играл, занимался? Ну, нет, я не то что занимался, играл там, нет, у нас в институте,
[868.90s -> 878.54s]  ну, типа, всякие вот эти 100 весны были, мне это очень нравилось. Причём, если я заучиваю текст,
[878.54s -> 884.66s]  я от Робентьева могу вообще просто... А я думал, ты там на образе работал, что... А, не это, не на образе?
[884.66s -> 893.02s]  Нет, это не на образе, это просто я заучиваю текст. Короче, если ты выучишь, ты будешь разговаривать
[893.02s -> 902.62s]  Да, да, да, да, да, да, то есть мне вот это прям даётся легко. Я так, да, мне бы хотелось бы открыть что-то
[902.62s -> 911.22s]  своё. Открыть что-то своё, да? Да, своё. Так, пока у нас там свинка подходит, мы сюда отправляем
[911.22s -> 922.40s]  лепочный лук и морковку. Да. Отправляем сразу сюда. Сейчас всё это у нас тут потушится, помешается,
[922.40s -> 928.72s]  отправим сюда болгарский перчик и будем собирать наш такой вог, такой домашний, такой по-русски.
[928.72s -> 932.80s]  Как сказал Кирюха, да, кто зашёл, говорит, вог по-русски бы он делал. Да. Со спагетями. Я говорю,
[932.80s -> 942.70s]  конечно, спагетки, самое русское блюдо. Так, ещё один вопрос от подписчиков. Всем интересно,
[942.70s -> 950.82s]  ты, ну, помимо съёмок, чем занимаешься людям рассказать? Да, как и все работают просто на
[950.82s -> 960.46s]  мебельном предприятии и, ну, в целом мне нравится. И в свободное время? И в свободное время, естественно,
[960.46s -> 968.82s]  с Максимом Константиновичем. Вот вы не знаете, мы вам расскажем, вот перерыв, перерыв обеденный
[968.82s -> 974.34s]  есть? Перерыв обеденный есть у человека. Мы в этот обеденный перерыв приезжаем к нему, он не ест,
[974.34s -> 979.18s]  выходит целый час, снимается с нами и голодный идёт дальше. Поэтому вот пришлось пригласить на
[979.18s -> 990.14s]  передачу. Но начальник и это стоит. Спасибо. Давай под бокальчик. Пока у нас там всё. Уже 5-7 минут у нас
[990.14s -> 996.46s]  вот там творятся какие-то чудеса. Грязные дела. Грязные дела. С овощами и мясом, потому что это очень
[996.46s -> 1002.46s]  вкусно. И прямо сейчас туда у нас будет отправляться перчик. После тоже выпил, да? Я глоточек.
[1002.46s -> 1016.22s]  Всё, понял. У нас камера пишет, что ты начальник. Я тебя понял, давай. И отправляем туда болгарский перчик.
[1016.22s -> 1028.70s]  Ой-ой-ой. Пупушка. Так, ну что, красота наша уже поджарилась. Спагетти наши готовы, соус тоже
[1028.70s -> 1035.06s]  готов. Сейчас мы будем собирать эту, так сказать, соляночку. Давай, наверное, как мы это сделаем? Давай
[1035.06s -> 1039.22s]  прям вот так в прямом эфире, люди, мы покажем. Здесь наши спагетти. Мы сюда добавили немножечко масла.
[1039.22s -> 1045.58s]  Сюда отправляется наша поджарка. Давайте я подержу, отправите. Отправляем всё это сюда.
[1045.58s -> 1056.42s]  Так, поджарчик уже отправился туда. Мы это ставим теперь на нашу плиточку. Ставим огонь.
[1056.42s -> 1066.34s]  Огонь у нас в любом случае. Электричество поменьше. И отправляем туда сверху наш соус из помидорчиков,
[1066.34s -> 1073.30s]  чесночка, паприки. В общем, из красоты. Так, я вот это всё сейчас ношу в сторонку. Кирюха пока для вас
[1073.30s -> 1095.66s]  всё это красиво перемешает. Ну что, давайте за вас пробуем, естественно. Хорошую разливушку ты
[1095.66s -> 1105.98s]  припёр, конечно. Давайте попробуем, что мы сегодня сделали. Я с мяски начну, пора вы. А я с макарончиком.
[1105.98s -> 1120.99s]  Ну это решает соус, который мы добавили. Где чесночок, где вот паприка, где вот эти
[1120.99s -> 1130.67s]  помидоры. Вот он прям решает. Всё блюдо он взял на себя. Это очень вкусно. Ещё со свининой просто
[1130.67s -> 1142.08s]  работает. На самом деле, с потоньшим нарезал, с жирника свинина. Да, очень вкусно. Хорошее блюдо.
[1142.08s -> 1164.90s]  Спасибо, что подсказал. Да, конечно, Максим Константинович. Начальник. Неужели тебе. Так, ну что,
[1164.90s -> 1169.14s]  подошёл к концу очередной выпуск Максима Народного. Сегодня у нас в гостях был Кирюха,
[1169.14s -> 1174.78s]  известный к вам как персонаж сериала тот самый мент, которого зовут Лёха Подмога, который немножечко
[1174.78s -> 1180.06s]  заякается, но очень сильно попал ваше сердце. Обязательно подписывайтесь на наш канал, чтобы
[1180.06s -> 1184.54s]  не пропустить новые выпуски. Вот мой инстаграм, вот мой телеграм-канал, где вы можете задать вопросы
[1184.54s -> 1190.34s]  мне и моему гостю, который придёт ко мне в следующую передачу. Вот в инстаграм, Лёхе Подмоге и Кирюхе
[1190.34s -> 1194.38s]  обязательно подписывайся на него, он скоро обещает там что-то выпускать. Ну что выпускать,
[1194.38s -> 1200.22s]  вот как раз подпишемся и посмотрим. Всё, всем спасибо, всем пока. Пока. Тебе понравилось? Да. Ну да и да.
[1200.22s -> 1204.58s]  Ну что, я пришёл. Едешь, пожалуйста.
