[3.82s -> 54.97s]  Друзья, всем добрый вечер!
[150.82s -> 152.82s]  Поверь мне
[152.82s -> 156.82s]  И помогут мне в этом сразу две прекрасные гости
[156.82s -> 159.82s]  Искусствовед и арт-консультант
[159.82s -> 162.82s]  Ярмарки современного искусства Космоскал
[162.82s -> 164.82s]  Евгения Геттингер
[164.82s -> 166.82s]  И сооснователь платформы Тео
[166.82s -> 168.82s]  Анна Андронова, пожалуйста
[175.82s -> 177.82s]  Вы сами произведения искусства
[177.82s -> 179.82s]  И очень красивые
[179.82s -> 185.41s]  Поэтому я немножко растерялся
[185.41s -> 188.41s]  Но первый вопрос у меня будет такой
[188.41s -> 190.41s]  Что, собственно, вас объединяет?
[190.41s -> 191.41s]  Кто первичен?
[191.41s -> 193.41s]  Чье дело первичнее в этом смысле?
[193.41s -> 195.41s]  Есть Ярмарка современного искусства Космоскал
[195.41s -> 197.41s]  Который представляет Евгения
[197.41s -> 200.41s]  Есть Тео, это арт-платформа
[200.41s -> 201.41s]  Космоскал
[201.41s -> 202.41s]  Космоскал
[202.41s -> 203.41s]  Космоскал
[203.41s -> 204.41s]  Космоскал
[204.41s -> 205.41s]  Космоскал
[205.41s -> 207.41s]  В отличие от Космоскала
[207.41s -> 208.41s]  Космоскал
[208.41s -> 209.41s]  Космоскал
[209.41s -> 210.41s]  Космоскал
[210.41s -> 212.41s]  Есть Тео, это арт-платформа
[212.41s -> 213.41s]  на базе Космоскал
[213.41s -> 215.41s]  Который существует 365 дней в году
[215.41s -> 216.41s]  То есть обслуживает
[216.41s -> 218.41s]  Продает искусств 365 дней в году
[218.41s -> 220.41s]  В исторической так сложилось, что галереи
[220.41s -> 222.41s]  Которые представляют свое искусство
[222.41s -> 223.41s]  На Ярмарке
[223.41s -> 225.41s]  Могут представить его
[225.41s -> 226.41s]  Наше широкое аудиторие
[226.41s -> 227.41s]  Только 4 дня
[227.41s -> 229.41s]  И чтобы дать коллекционерам
[229.41s -> 231.41s]  Возможность видеть и покупать искусство
[231.41s -> 232.41s]  В течение всего года
[232.41s -> 234.41s]  Притумали платформу Тео
[234.41s -> 239.41s]  и говорят нам, грешным, что это вот настоящее искусство,
[239.41s -> 242.41s]  а это подождите, подождите еще за дверью.
[242.41s -> 246.41s]  Да, но изначально резидентами платформы Тео стали галереи,
[246.41s -> 248.41s]  которые ежегодно участвуют на Ямарке.
[248.41s -> 251.41s]  Это и международные галереи, очень крутые,
[251.41s -> 253.41s]  которые участвуют в лучших международных ямарках.
[253.41s -> 255.41s]  То есть это уже изначально было, да, у вас?
[255.41s -> 257.41s]  Да, это была база, и российские галереи.
[257.41s -> 260.41s]  То есть они представили то искусство, которое у них есть,
[260.41s -> 263.41s]  но которое можно, не ходя в галерею, посмотреть онлайн,
[263.41s -> 265.41s]  где бы ты ни находился.
[265.41s -> 268.41s]  Сейчас также галереи имеют доступ на сайт для пополнения
[268.41s -> 271.41s]  вот того ассортимента, который есть,
[271.41s -> 274.41s]  и также молодые независимые художники
[274.41s -> 278.41s]  по заявке или по рекомендации экспертов.
[278.41s -> 282.41s]  Вот тема нашей программы, которую я сказал, это скульптура.
[282.41s -> 284.41s]  Как обстоит дело со скульптурой?
[284.41s -> 286.41s]  Современной, конечно, скульптурой.
[286.41s -> 289.41s]  У нас представлено порядка 300 работ скульптур именно.
[289.41s -> 292.41s]  Просто сам по себе это очень благородный жанр
[292.41s -> 297.41s]  древний, да, еще с древнего Египта все где-то началось.
[297.41s -> 302.41s]  Но он достаточно сложный в исполнении в наше время.
[302.41s -> 305.41s]  В советское время, когда был союз художников,
[305.41s -> 308.41s]  когда поддерживали активно художников, скульпторов,
[308.41s -> 312.41s]  поддерживали госзаказами, была немножко другая история.
[312.41s -> 315.41s]  Сейчас это сложно, это большие мастерские,
[315.41s -> 319.41s]  это ассистенты, это сложные материалы, бронзы, дерево, мрамор.
[319.41s -> 322.41s]  И автору достаточно сложно все это поддерживать.
[322.41s -> 325.41s]  Поэтому скульптур скульпторов не так много на рынке.
[325.41s -> 328.41s]  Но они есть, и много молодых интересных скульпторов.
[328.41s -> 330.41s]  В продолжение того, что Анна сказала,
[330.41s -> 333.41s]  вот эта поддержка, которая раньше оказывалась,
[333.41s -> 336.41s]  то есть скульпторам давали большие помещения и финансирование,
[336.41s -> 338.41s]  чтобы они делали скульптурные формы.
[338.41s -> 340.41s]  То есть у них были большие мастерские,
[340.41s -> 344.41s]  где они могли не только производить свои скульптуры, но и хранить.
[344.41s -> 346.41s]  Сейчас такой поддержки нет,
[346.41s -> 349.41s]  особенно популярна стала небольшая скульптурная форма.
[349.41s -> 352.41s]  Это какие-то объекты, которые можно поставить
[352.41s -> 354.41s]  либо на полку, либо на стол.
[354.41s -> 358.41s]  И вот что интересное, как этот тренд, например,
[358.41s -> 361.41s]  был представлен на ярмарке Космоску в прошлом году,
[361.41s -> 366.41s]  агентство креативных индустрий представило стенд created in Moscow,
[366.41s -> 369.41s]  и его тема была как раз малая скульптурная форма.
[369.41s -> 372.41s]  Порядка 20 галерей московских представили
[372.41s -> 374.41s]  по одной скульптуре одного скульптора.
[374.41s -> 377.41s]  Это было потрясающе, там были уникальные объекты.
[377.41s -> 379.41s]  И это продается востребованно?
[379.41s -> 382.41s]  Да, ярмарка, в принципе, как любая ярмарка,
[382.41s -> 386.41s]  это коммерческая история, куда можно прийти, увидеть и купить,
[386.41s -> 389.41s]  если это еще не забронировано кем-то или не куплено.
[389.41s -> 394.41s]  Женя, откуда эти мастера, из каких баз вы их выуживаете,
[394.41s -> 396.41s]  вот именно скульпторов?
[396.41s -> 399.41s]  Много художников, скульпторов все-таки выходят
[399.41s -> 401.41s]  из таких классических вузов,
[401.41s -> 404.41s]  художественного сирового или суриковка.
[404.41s -> 406.41s]  Много самоучек, на самом деле,
[406.41s -> 409.41s]  кто учился не в классической школе на художника,
[409.41s -> 412.41s]  а, например, именно на современного художника.
[412.41s -> 414.41s]  В принципе, современное искусство
[414.41s -> 416.41s]  отличает от классического идея,
[416.41s -> 418.41s]  в нем очень много философии.
[418.41s -> 421.41s]  Уже существует очень много классных художников,
[421.41s -> 424.41s]  которые, например, делают керамические изделия.
[424.41s -> 427.41s]  Это легко сделать руками, это очень красиво,
[427.41s -> 429.41s]  это подходит под любой интерьер.
[429.41s -> 431.41s]  Художников уже достаточно успешные.
[431.41s -> 433.41s]  Я не знаю, Илья Федотов Федоров
[433.41s -> 435.41s]  или Надя Лихогруд.
[435.41s -> 437.41s]  Их работы разлетаются.
[437.41s -> 441.41s]  Есть, например, художник Александр Кутовой.
[441.41s -> 443.41s]  Он периодически представлен на ТЭО,
[443.41s -> 446.41s]  просто его очень быстро покупают.
[446.41s -> 451.41s]  Он сделал такую серию, называется «Балки бицепс».
[451.41s -> 454.41s]  И там визуально идет очень большой отсыл
[454.41s -> 457.41s]  к древнегреческим скульптурам.
[457.41s -> 460.41s]  Я и хотел узнать, что сегодня популярно модно
[460.41s -> 463.41s]  и как ловят покупатели этот тренд.
[463.41s -> 466.41s]  Все-таки большой тренд, который я замечаю,
[466.41s -> 468.41s]  это какой-то диалог с историей.
[468.41s -> 471.41s]  То есть не просто то, что возникло здесь и сейчас,
[471.41s -> 474.41s]  а именно какое-то переосмысление
[474.41s -> 476.41s]  исторического либо художественного наследия,
[476.41s -> 478.41s]  визуальное либо тематическое.
[478.41s -> 480.41s]  А бюст Ленина может появиться,
[480.41s -> 482.41s]  раз уж мы начали?
[482.41s -> 484.41s]  Хороший вопрос. Он у нас есть.
[484.41s -> 486.41s]  Он у нас есть, но не в таком классическом исполнении,
[486.41s -> 488.41s]  как мы себе его представляем,
[488.41s -> 490.41s]  когда говорим бюст Ленина.
[490.41s -> 492.41s]  То есть такой бюст в бронзе,
[492.41s -> 494.41s]  такой немного весь потертый.
[494.41s -> 496.41s]  Есть художница Майяна Насыбулова.
[496.41s -> 498.41s]  И вот у нее есть целая серия,
[498.41s -> 500.41s]  в которой она размышляет про коллективную
[500.41s -> 502.41s]  и персональную память.
[502.41s -> 504.41s]  И поколенческую.
[504.41s -> 507.41s]  И у нее есть очень красивые объекты и смолы.
[507.41s -> 509.41s]  Ух ты!
[509.41s -> 511.41s]  Есть небольшой бюст Ленина.
[511.41s -> 513.41s]  Он буквально 10-12 см высоты.
[513.41s -> 515.41s]  И он как будто из кристалла
[515.41s -> 517.41s]  очень красивого цвета.
[517.41s -> 519.41s]  Есть у нее другие серии,
[519.41s -> 521.41s]  в которых она тоже размышляет
[521.41s -> 523.41s]  про какие-то артефакты, которые
[523.41s -> 525.41s]  говорят о каких-либо событиях прошлого.
[525.41s -> 527.41s]  И там она
[527.41s -> 529.41s]  запаивает в смолу.
[529.41s -> 531.41s]  Это и визуально красиво,
[531.41s -> 533.41s]  и это очень наполнено смыслом.
[533.41s -> 535.41s]  То есть ты не остаешься
[535.41s -> 537.41s]  равнодушен идеей,
[537.41s -> 539.41s]  ты о ней думаешь,
[539.41s -> 541.41s]  и у вас такой диалог происходит.
[541.41s -> 543.41s]  Теперь Анну попрошу
[543.41s -> 545.41s]  немножко рассказать о том,
[545.41s -> 547.41s]  как формируется цена
[547.41s -> 549.41s]  на произведение искусственную скульптуру.
[549.41s -> 551.41s]  У нас на платформе представлен
[551.41s -> 553.41s]  разный уровень разброс цен.
[553.41s -> 555.41s]  Это от 4000 рублей до 12 миллионов.
[555.41s -> 557.41s]  И, конечно, все зависит
[557.41s -> 559.41s]  от истории автора,
[559.41s -> 561.41s]  как он начинал, где участвовал,
[561.41s -> 563.41s]  в каких выставках, с какими галереями он работает,
[563.41s -> 565.41s]  как он себя продвигает.
[565.41s -> 567.41s]  От этого, безусловно, растет и цена,
[567.41s -> 569.41s]  и плюс еще цена самого изделия.
[569.41s -> 571.41s]  Но, безусловно, скульптуру стоит вкладывать.
[571.41s -> 573.41s]  Сейчас вообще мировой тренд есть
[573.41s -> 575.41s]  в том, что паблик-арт,
[575.41s -> 577.41s]  то есть искусство
[577.41s -> 579.41s]  на улице очень сильно развивается.
[579.41s -> 581.41s]  Вот как скандальная фигура Урса Фишера
[581.41s -> 583.41s]  на Красном октябре, например.
[583.41s -> 585.41s]  Вот сейчас был Фиак
[585.41s -> 587.41s]  в Париже, и была скульптура Кальдера
[587.41s -> 589.41s]  на Пла-Свандом.
[589.41s -> 591.41s]  И, например, Аниш Капур, который в Париже
[591.41s -> 593.41s]  несколько лет назад,
[593.41s -> 595.41s]  весь Париж был в его скульптурах очень красивых.
[595.41s -> 597.41s]  И это, безусловно, мировой тренд.
[597.41s -> 599.41s]  У нас тоже он поддерживается.
[599.41s -> 601.41s]  Так, группа Ресайкл периодически.
[601.41s -> 603.41s]  Вот сейчас у них выставка
[603.41s -> 605.41s]  в Вензаводе достаточно большая.
[605.41s -> 607.41s]  ВДНХ поддерживает этот тренд.
[607.41s -> 609.41s]  Зарядье парк поддерживает.
[609.41s -> 611.41s]  У них есть целый парк скульптур.
[611.41s -> 613.41s]  Меня очень интересует, как молодой
[613.41s -> 615.41s]  скульптор
[615.41s -> 617.41s]  начинает вот этот путь
[617.41s -> 619.41s]  и путь успеха начинает.
[619.41s -> 621.41s]  С чего вот эти ребята,
[621.41s -> 623.41s]  эта арт-группа, с чего они начали
[623.41s -> 625.41s]  для того, чтобы вот оказаться
[625.41s -> 627.41s]  модными, ну, таким востребованными?
[627.41s -> 629.41s]  У каждого своя история, свой путь.
[629.41s -> 631.41s]  Но, безусловно, хорошо найти, может быть,
[631.41s -> 633.41s]  каких-то инвесторов,
[633.41s -> 635.41s]  познакомиться с правильной галереей,
[635.41s -> 637.41s]  чтобы она продвигала. Или просто чтобы кто-то двигал.
[637.41s -> 639.41s]  Или сам художник сейчас уже может
[639.41s -> 641.41s]  размещать как на нашей арт-платформе
[641.41s -> 643.41s]  или сотрудничать с какими-то
[643.41s -> 645.41s]  инициативами
[645.41s -> 647.41s]  в современном искусстве.
[647.41s -> 649.41s]  Он может себя продвигать, участвуя
[649.41s -> 651.41s]  в конкурсах,
[651.41s -> 653.41s]  подавая на опен-колы.
[653.41s -> 655.41s]  Очень важен вообще
[655.41s -> 657.41s]  в искусстве и нетворкинг, потому что
[657.41s -> 659.41s]  себя знают и можешь участвовать в выставках.
[659.41s -> 661.41s]  Участие в резиденциях очень актуально.
[661.41s -> 663.41s]  То есть формирование
[663.41s -> 665.41s]  своего CV, карьерного пути,
[665.41s -> 667.41s]  где ты учился,
[667.41s -> 669.41s]  где ты выставлялся.
[669.41s -> 671.41s]  Не нужно избегать коллабораций.
[671.41s -> 673.41s]  Если, например, у коммерческой истории есть
[673.41s -> 675.41s]  запрос на коллаборацию, например,
[675.41s -> 677.41s]  не прямо из культуры, например,
[677.41s -> 679.41s]  но Дмитрий Аски, который уже всем
[679.41s -> 681.41s]  известен, он начинал достаточно
[681.41s -> 683.41s]  крупных коллабораций с крупными
[683.41s -> 685.41s]  брендами. Его узнали.
[685.41s -> 687.41s]  На него появилась аудитория.
[687.41s -> 689.41s]  А в плане инвестиций вы консультируете
[689.41s -> 691.41s]  коллекционеров?
[691.41s -> 693.41s]  Есть потенциально привлекательные
[693.41s -> 695.41s]  художники для инвестиций,
[695.41s -> 697.41s]  но у них уже должен быть
[697.41s -> 699.41s]  определенный бэкграунд.
[699.41s -> 701.41s]  Например, сейчас точно можно инвестировать
[701.41s -> 703.41s]  в какие-то скульптурные объекты
[703.41s -> 705.41s]  либо мозаику Евгения Антуфьева,
[705.41s -> 707.41s]  потому что определенно он еще
[707.41s -> 709.41s]  преуспеет в своей карьере, хотя он уже
[709.41s -> 711.41s]  прям очень высоко.
[711.41s -> 713.41s]  В прошлом году музей Помпеду в Париже
[713.41s -> 715.41s]  купил его работы в свою постоянную экспозицию,
[715.41s -> 717.41s]  и его также
[717.41s -> 719.41s]  начала представлять Европейская
[719.41s -> 721.41s]  галерея. Соответственно, цены
[721.41s -> 723.41s]  выросли, и они вырастут еще.
[723.41s -> 725.41s]  Ты была свидетелем
[725.41s -> 727.41s]  в развитии
[727.41s -> 729.41s]  роста, такого
[729.41s -> 731.41s]  роста мастерства определенного скульптора,
[731.41s -> 733.41s]  художника, и сколько вообще времени
[733.41s -> 735.41s]  нужно молодому человеку для того,
[735.41s -> 737.41s]  чтобы вырасти у вас
[737.41s -> 739.41s]  такого признанного мастера, которого берут,
[739.41s -> 741.41s]  это может быть 2-3 года,
[741.41s -> 743.41s]  а может быть несколько лет.
[743.41s -> 745.41s]  То есть, когда есть
[745.41s -> 747.41s]  очень большой ажиотаж вот такой
[747.41s -> 749.41s]  в моменте, может быть,
[749.41s -> 751.41s]  это и не будет очень инвестиционно
[751.41s -> 753.41s]  привлекательно, потому что
[753.41s -> 755.41s]  нельзя перегреть художника, то есть
[755.41s -> 757.41s]  он должен творить и дальше,
[757.41s -> 759.41s]  он не должен останавливаться.
[759.41s -> 761.41s]  Классные какие-то специальные уже термины,
[761.41s -> 763.41s]  нельзя перегреть художника,
[763.41s -> 765.41s]  но я это очень хорошо понимаю,
[765.41s -> 767.41s]  чтобы не зазвездился,
[767.41s -> 769.41s]  чтобы лучи не мешали в метро проходить,
[769.41s -> 771.41s]  я это называю.
[771.41s -> 773.41s]  Кстати говоря, у нас сейчас встречается
[773.41s -> 775.41s]  очень часто запрос именно на молодых
[775.41s -> 777.41s]  авторов, в которых нужно инвестировать,
[777.41s -> 779.41s]  вот спрашивают арт-консультанты.
[779.41s -> 781.41s]  А кого советуете?
[781.41s -> 783.41s]  Есть молодые, а есть, конечно, уже мастодонты,
[783.41s -> 785.41s]  айдан, орехов,
[785.41s -> 787.41s]  зак,
[787.41s -> 789.41s]  трисайкл, группы, ну, это имеет в виду скульптур мы говорим.
[789.41s -> 791.41s]  Это все очень сладко слушать,
[791.41s -> 793.41s]  потому что это...
[793.41s -> 795.41s]  Есть молодые,
[795.41s -> 797.41s]  есть совсем молодые художники?
[797.41s -> 799.41s]  Ну да, есть, то есть
[799.41s -> 801.41s]  у нас еще считается, что
[801.41s -> 803.41s]  молодой художник это до 35 лет,
[803.41s -> 805.41s]  но даже по этому поводу идет большая дискуссия,
[805.41s -> 807.41s]  то есть условно художник, который
[807.41s -> 809.41s]  начал в 20, он еще молодой до 35,
[809.41s -> 811.41s]  а если художник начал быть художником
[811.41s -> 813.41s]  в 34, считается ли
[813.41s -> 815.41s]  он еще молодым художником
[815.41s -> 817.41s]  в 35, потому что в плане карьеры
[817.41s -> 819.41s]  он еще молодой художник,
[819.41s -> 821.41s]  и вот тут сложно.
[821.41s -> 823.41s]  Есть чем заняться после нашей с вами встречи,
[823.41s -> 825.41s]  я даже честно, просто я обязательно
[825.41s -> 827.41s]  начну вот
[827.41s -> 829.41s]  эти замечательные имена
[829.41s -> 831.41s]  штудировать и хотела бы посмотреть,
[831.41s -> 833.41s]  потому что это вот, это же каждый раз
[833.41s -> 835.41s]  открытие, я вижу как
[835.41s -> 837.41s]  тоже одна красивая девушка
[837.41s -> 839.41s]  здесь присутствующая уже
[839.41s -> 841.41s]  ревнует меня к нашему вообще,
[841.41s -> 843.41s]  к разговору всему, поэтому я вам говорю
[843.41s -> 845.41s]  огромное спасибо, а сейчас
[845.41s -> 847.41s]  пожалуйста проходите в наш бар, я вас
[847.41s -> 849.41s]  провожу, девушки, по-моему там что-то
[849.41s -> 851.41s]  интересное, спасибо.
[852.41s -> 854.41s]  Интересное назревает.
[854.41s -> 856.41s]  Девушки, значит у меня
[856.41s -> 858.41s]  немножечко другие вопросы,
[858.41s -> 860.41s]  первый вопрос касательно факта,
[860.41s -> 862.41s]  который меня немного возмутил,
[862.41s -> 864.41s]  вот скульптура кролик,
[864.41s -> 866.41s]  которую создал Джефф Кунс
[866.41s -> 868.41s]  из нержавеющей стали,
[868.41s -> 870.41s]  была продана за рекордный,
[870.41s -> 872.41s]  по-моему, 91 миллион долларов,
[872.41s -> 874.41s]  рекордный для живого автора,
[874.41s -> 876.41s]  разумеется, а потом оказалось,
[876.41s -> 878.41s]  что она даже не единственный
[878.41s -> 880.41s]  экземпляр, оказывается таких три, это правда?
[880.41s -> 882.41s]  Да, да, это правда.
[882.41s -> 884.41s]  Вот примерно так будет выглядеть
[884.41s -> 886.41s]  наша игра, потому что она
[886.41s -> 888.41s]  называется правда или ложь.
[888.41s -> 890.41s]  У меня есть некоторые факты на карточках,
[890.41s -> 892.41s]  вы будете угадывать, так или нет,
[892.41s -> 894.41s]  или, возможно, вы знаете.
[894.41s -> 896.41s]  В 2008 году британский музей
[896.41s -> 898.41s]  поручил Марку Куину
[898.41s -> 900.41s]  изготовить скульптуру модели Кейт Мосс
[900.41s -> 902.41s]  в натуральную величину, выполненную
[902.41s -> 904.41s]  целиком из литого золота, правда
[904.41s -> 906.41s]  или это? Правда.
[906.41s -> 908.41s]  Да, это правда.
[908.41s -> 910.41s]  Маму.
[938.41s -> 940.41s]  Третье место, а первые два места
[940.41s -> 942.41s]  принадлежат России. Чижик-пыжик
[942.41s -> 944.41s]  из 5-11 сантиметров
[944.41s -> 946.41s]  и томская лягушка-путешественница
[946.41s -> 948.41s]  4,4 сантиметра высоту.
[948.41s -> 950.41s]  У меня, кстати говоря, она есть,
[950.41s -> 952.41s]  вот она как выглядит.
[952.41s -> 954.41s]  Так, хорошо.
[954.41s -> 956.41s]  Поехали дальше.
[956.41s -> 958.41s]  В Праге на Гусовой улице,
[958.41s -> 960.41s]  если посмотреть вверх,
[960.41s -> 962.41s]  то можно увидеть висящего человека, который
[962.41s -> 964.41s]  держится одной рукой за балку.
[964.41s -> 966.41s]  Говорят, что это
[966.41s -> 968.41s]  фигура Зигмунда Фрейда.
[968.41s -> 970.41s]  Правда ли это?
[970.41s -> 972.41s]  Неправда.
[972.41s -> 974.41s]  Сомневаюсь.
[974.41s -> 976.41s]  Я просто там был
[976.41s -> 978.41s]  и, ну, я видел эту фигуру,
[978.41s -> 980.41s]  но я не знаю, Фрейд ли это.
[980.41s -> 982.41s]  Я тоже сомневаюсь.
[982.41s -> 984.41s]  Ну, что ты скажешь, Ольга?
[984.41s -> 986.41s]  Ну, это правда, друзья.
[986.41s -> 988.41s]  Мне очень легко быть правой, когда у меня все написано.
[988.41s -> 990.41s]  Автор это объясняет так.
[990.41s -> 992.41s]  Уцепившийся одной рукой
[992.41s -> 994.41s]  за спасительную балку,
[994.41s -> 996.41s]  профессор как бы завис над пропастью
[996.41s -> 998.41s]  бессознательного,
[998.41s -> 1000.41s]  в которую он одним из первых
[1000.41s -> 1002.41s]  заглянул на стыки 19-го и 20-го веков.
[1002.41s -> 1004.41s]  Кстати, эта скульптура
[1004.41s -> 1006.41s]  объедела много стран,
[1006.41s -> 1008.41s]  и много, что видел, бывало,
[1008.41s -> 1010.41s]  что даже вызывали спасателей и людей.
[1010.41s -> 1012.41s]  Вот, пожалуйста, это она.
[1012.41s -> 1014.41s]  Да-да-да, знакомая.
[1014.41s -> 1016.41s]  Ну что, еще один факт.
[1016.41s -> 1018.41s]  Давид, тот самый, всеми известный,
[1018.41s -> 1020.41s]  Игланджело Буанорольци, косоглазый.
[1020.41s -> 1022.41s]  Правда ли это?
[1022.41s -> 1024.41s]  Правда?
[1024.41s -> 1026.41s]  Как думаете?
[1026.41s -> 1028.41s]  А ты что думала?
[1028.41s -> 1030.41s]  Мне кажется, что это как раз правда,
[1030.41s -> 1032.41s]  потому что это, видимо, связано
[1032.41s -> 1034.41s]  с каким-то углом зрения,
[1034.41s -> 1036.41s]  для того, чтобы там с разных сторон
[1036.41s -> 1038.41s]  просто, чтобы он был
[1038.41s -> 1040.41s]  идеальным нашим представлением,
[1040.41s -> 1042.41s]  а на самом деле он там немножко осит.
[1042.41s -> 1044.41s]  Да, именно так. Ученые сходятся
[1044.41s -> 1046.41s]  во мнении, что скульптор специально
[1046.41s -> 1048.41s]  одарил его небольшим косоглазием,
[1048.41s -> 1050.41s]  чтобы он со всех сторон смотрелся
[1050.41s -> 1052.41s]  в кофе.
[1052.41s -> 1054.41s]  Нужно было позвать нашего арт-эксперта.
[1054.41s -> 1056.41s]  Я просто хочу сказать, что даже идеальный
[1056.41s -> 1058.41s]  мужчина, он имеет изъян,
[1058.41s -> 1060.41s]  поэтому не надо к мужчинам быть
[1060.41s -> 1062.41s]  снисходительным, а вот женщины,
[1062.41s -> 1064.41s]  они всегда идеальны.
[1064.41s -> 1066.41s]  Но умный мужчина, он даже свой изъян
[1066.41s -> 1068.41s]  может преподнести как достоинство.
[1068.41s -> 1070.41s]  Да, и Давито, он молчит еще.
[1070.41s -> 1072.41s]  Это хорошо.
[1072.41s -> 1074.41s]  Друзья, а сейчас я спешу позвать
[1074.41s -> 1076.41s]  на эту сцену человека,
[1076.41s -> 1078.41s]  который меня лично поразил
[1078.41s -> 1080.41s]  и просто поразил, а как-то даже
[1080.41s -> 1082.41s]  согрел, если честно.
[1082.41s -> 1084.41s]  Он разбирает родной город по кирпичику
[1084.41s -> 1086.41s]  и вставляет на место этих кирпичиков
[1086.41s -> 1088.41s]  свои миниатюры.
[1088.41s -> 1090.41s]  Делает такой строительный кэшбэк.
[1090.41s -> 1092.41s]  Но чтобы по-настоящему рассмотреть
[1092.41s -> 1094.41s]  эти миниатюры,
[1094.41s -> 1096.41s]  нужно напрягать не только зрение,
[1096.41s -> 1098.41s]  но и мозги, а то и душу свою.
[1098.41s -> 1100.41s]  Встречайте, художник,
[1100.41s -> 1102.41s]  скульптор Иван Серый.
[1102.41s -> 1106.30s]  Наконец-то очередь.
[1106.30s -> 1108.30s]  Я вам нужно сделать поправочку.
[1108.30s -> 1115.26s]  Так, заявление сразу же, да.
[1115.26s -> 1117.26s]  Я никогда не доставал
[1117.26s -> 1119.26s]  намеренно из стен кирпичей
[1119.26s -> 1121.26s]  и не выламывал их.
[1121.26s -> 1123.26s]  То есть все миниатюры
[1123.26s -> 1125.26s]  размещались именно
[1125.26s -> 1127.26s]  естественно сломанные
[1127.26s -> 1129.26s]  стены или
[1129.26s -> 1131.26s]  неиспользуемые вентиляционные
[1131.26s -> 1133.26s]  отверстия. При творчестве
[1133.26s -> 1135.26s]  и работе Ивана Серова
[1135.26s -> 1137.26s]  ни одно здание, ни одно животное
[1137.26s -> 1139.26s]  и ни один человек
[1139.26s -> 1141.26s]  не пострадал.
[1141.26s -> 1143.26s]  Внимание на экран.
[1143.26s -> 1145.26s]  Давайте ознакомимся
[1145.26s -> 1147.26s]  с работами мастера.
[1147.26s -> 1149.26s]  Это все равно, что читать хорошие стихи
[1149.26s -> 1151.26s]  или слушать хорошую музыку, ей-богу.
[1151.26s -> 1153.26s]  А в каком городе эти работы?
[1153.26s -> 1155.26s]  Тут большинство работ
[1155.26s -> 1157.26s]  находится в городе Нижний Новгород.
[1157.26s -> 1159.26s]  Есть работы
[1159.26s -> 1161.26s]  в Екатеринбурге, на Сахалине,
[1161.26s -> 1163.26s]  в городе Южно-Сахалинск.
[1163.26s -> 1165.26s]  Вроде все по географии.
[1165.26s -> 1167.26s]  Ну, у меня вообще
[1167.26s -> 1169.26s]  первый вопрос, который возник
[1169.26s -> 1171.26s]  был такой у меня детский вопрос.
[1171.26s -> 1173.26s]  Когда я увидел, познакомился с работами.
[1173.26s -> 1175.26s]  Это же как вот
[1175.26s -> 1177.26s]  родитель оставляет
[1177.26s -> 1179.26s]  своего цыпленка ребенка,
[1179.26s -> 1181.26s]  потом приходит утром, а вдруг там ничего
[1181.26s -> 1183.26s]  нет и просто написано, иди ты отсюда.
[1183.26s -> 1185.26s]  Вот эта незащищенность художника
[1185.26s -> 1187.26s]  перед уличным,
[1187.26s -> 1189.26s]  часто агрессивным пространством
[1189.26s -> 1191.26s]  присутствовала.
