[0.00s -> 1.84s]  Главная песня твоей жизни.
[418.03s -> 423.03s]  Жанры, и вообще вся жанра, это музыкальный расизм.
[423.03s -> 427.03s]  Потому что, ну, типа, музыка, это же музыка, она из нот состоит.
[427.03s -> 431.03s]  И, типа, ты можешь зайти в мир музыки через хип-хоп, да,
[431.03s -> 433.03s]  или через электронику, через что-то,
[433.03s -> 437.03s]  пока ты молодой, пока ты впитываешь в себя только все,
[437.03s -> 442.03s]  и влюбляешься там в условные ролл-мадаллы конкретных артистов.
[442.03s -> 444.03s]  Но это же не может продолжаться вечно.
[444.03s -> 446.03s]  Это значит, ты не растешь.
[446.03s -> 448.03s]  Ты должен впитывать что-то новое.
[448.03s -> 451.03s]  Если ты начал с хип-хопа, так или иначе в твою жизнь придет фанк,
[451.03s -> 455.03s]  блюз, регги, там, я не знаю, соул, кантри.
[455.03s -> 460.03s]  Вот я тоже размышлял на эту тему насчет хип-хопа, да,
[460.03s -> 464.03s]  вот когда есть там какая-то культура диса, бифа, да,
[464.03s -> 467.03s]  или там, когда кто-то говорит, что белым нельзя читать рэп,
[467.03s -> 470.03s]  там, знаешь, ну и вот прочая такая фигня.
[470.03s -> 474.03s]  Я вот думаю, ну, насколько это правда?
[474.03s -> 476.03s]  Насколько это правда, да?
[476.03s -> 478.03s]  Я просто пытаюсь смоделировать ситуацию,
[478.03s -> 482.03s]  то, что какой-то чел, возможно, родился в гетто в Америке, да,
[482.03s -> 485.03s]  и вокруг него была его жизнь, какая она являлась,
[485.03s -> 489.03s]  и вот он в жизни искал что-то прекрасное, хотел творить, да,
[489.03s -> 491.03s]  несмотря там, что кто-то стрелял или еще что-то,
[491.03s -> 495.03s]  он просто взял и забрел хип-хоп за счет чего сделал счастливым себя
[495.03s -> 499.03s]  и многих людей, да, и вот если бы вот, например, разобраться
[499.03s -> 503.03s]  и спросить у этого человека, как ты думаешь, а можно ли белым читать рэп,
[503.03s -> 506.03s]  то лично я бы хотел верить в то, что он скажет,
[506.03s -> 510.03s]  ребята, вы о чем вообще, я вообще не об этом, я хотел музыкой заниматься,
[510.03s -> 511.03s]  наоборот, да.
[511.03s -> 513.03s]  Это очень хорошее мнение.
[513.03s -> 516.03s]  Да, и вот музыку хотят вот эту как бы ганста тему затащить, да,
[516.03s -> 519.03s]  и мне кажется, это немножко неправильно.
[519.03s -> 523.03s]  Мне кажется, это игра в трушность.
[523.03s -> 526.03s]  Нет, это просто игра в липовую трушность,
[526.03s -> 528.03s]  потому что трушность, она о чем?
[528.03s -> 531.03s]  Да, ты можешь быть из очень дерьмового района,
[531.03s -> 533.03s]  но ты можешь быть как Уэл Смит,
[533.03s -> 537.03s]  типа, человеком, которому в жизни все хорошо, в свое время МНМ
[537.03s -> 540.03s]  так сказал, типа, если ему нравится петь про бабочек,
[540.03s -> 543.03s]  про Уэл Смита, да, пусть поет, я не могу петь про бабочек,
[543.03s -> 546.03s]  я пою, типа, я наживаю всех суками, мудаками и так далее,
[546.03s -> 548.03s]  потому что это моя жизнь.
[548.03s -> 549.03s]  Согласен.
[549.03s -> 551.03s]  Хочу, короче, прикольнуться, я тебе говорю про то,
[551.03s -> 554.03s]  что я люблю импровизировать, не только в музыке,
[554.03s -> 556.03s]  но еще и как бы в готовке, да,
[556.03s -> 559.03s]  мы немножко используем сока соленого помидора,
[559.03s -> 562.03s]  чтобы фарш был более таким прям насыщенным.
[562.03s -> 564.03s]  По поводу твоего альбома я что хотел спросить?
[564.03s -> 565.03s]  Да.
[565.03s -> 570.03s]  Я послушал трек Runaway и, блин, я прикололся с того, что он звучит,
[570.03s -> 573.03s]  в общем, мне он напомнил хромео,
[573.03s -> 576.03s]  а я очень люблю хромео и, типа, блин, это прикольно.
[576.03s -> 580.03s]  Да, но это благодаря моему коллеге ККоме как раз,
[580.03s -> 585.03s]  потому что он как раз вот очень такой задрот по электронной музыке,
[585.03s -> 588.03s]  гораздо у него знания обширнее, чем мои.
[588.03s -> 590.03s]  Вот музыкальная составляющая шла от него,
[590.03s -> 594.03s]  и за счет этого я прям тоже, знаешь, почувствовал себя
[594.03s -> 596.03s]  немножко расслабленнее, свободнее
[596.03s -> 601.03s]  и больше получил удовольствие от работы над альбомом,
[601.03s -> 606.03s]  потому что не нужно было что-то вот куда-то торопиться
[606.03s -> 609.03s]  или что-то пытаться вот насильно переделать.
[609.03s -> 613.03s]  Я просто как бы творил, и многое родилось во фристайле,
[613.03s -> 617.03s]  что тоже очень радует, потому что когда фристайл получается
[617.03s -> 620.03s]  как бы качественный, это действительно круто.
[620.03s -> 624.03s]  Ты пишешь чаще как, вкидывая фразы фристайлом,
[624.03s -> 627.03s]  или все-таки концептуально что-то там додумывая?
[627.03s -> 632.03s]  Слушай, у меня есть прям вот несколько похожих сценариев.
[632.03s -> 637.03s]  Например, это написал текст, и он классный, клевый,
[637.03s -> 640.03s]  ты можешь его на любой бит вообще делать.
[640.03s -> 642.03s]  Это самое топовое.
[642.03s -> 647.03s]  Я сравниваю часто слова твои, текста с пулями.
[647.03s -> 651.03s]  То есть если ты вообще самый крутой стрелок,
[651.03s -> 654.03s]  на свете очень меткий, у тебя очень крутая винтовка,
[654.03s -> 657.03s]  все равно если у тебя не будет пульт, ты ничего не сможешь сделать.
[657.03s -> 662.03s]  И как бы топовые всякие музыканты, типа Drake из The Weeknd,
[662.03s -> 666.03s]  они уже давно как бы по восемь человек нанимают,
[666.03s -> 668.03s]  которые за них пишут текста, зачастую.
[668.03s -> 672.03s]  Слушай, всегда была история с топлайнерами, с сонграйтерами,
[672.03s -> 675.03s]  с гластрайтерами и так далее. Я читал прикольную книгу
[675.03s -> 678.03s]  «Машина песен внутри фабрики хитов».
[678.03s -> 679.03s]  Я слышал такую.
[679.03s -> 680.03s]  Выливаем полностью?
[680.03s -> 681.03s]  Да, выливаем полностью.
[681.03s -> 685.03s]  Она рассказывает о том, я сейчас всех имен не вспомню абсолютно,
[685.03s -> 689.03s]  потому что у меня в голове так долго не держится информация.
[689.03s -> 694.03s]  Смысл в чем? Еще со времен АБЫ была группа людей,
[694.03s -> 699.03s]  это шведы, которые занимались музыкальным продюссированием.
[699.03s -> 703.03s]  И типа сделали основную массу всех хитов,
[703.03s -> 707.03s]  которые мы слушаем с 80-го по сегодняшние дни.
[707.03s -> 709.03s]  То есть, можно сказать, что одна и та же команда
[709.03s -> 712.03s]  писала песни и для АБЫ, и для Флорайда.
[712.03s -> 715.03s]  И кто-то из этих ребят пишет для Уикенда?
[715.03s -> 717.03s]  Не, не только для Уикенда сейчас.
[717.03s -> 719.03s]  Не знаю, книжка заканчивается немножко раньше.
[719.03s -> 724.03s]  Но, например, а ты прекрасно знаешь, что такие Backstreet Boys и NSYNC.
[724.03s -> 726.03s]  Да, я знаю эту историю.
[726.03s -> 728.03s]  Знаешь, да, о том, что у них один и тот же продюссер.
[728.03s -> 729.03s]  Да, и это вообще лютая история.
[729.03s -> 733.03s]  Это чертовски умная история.
[733.03s -> 736.03s]  Когда ты создаешь офигенный продукт в виде группы Backstreet Boys,
[736.03s -> 738.03s]  они же не сначала в Европу стреляли,
[738.03s -> 740.03s]  только потом пришли в Штаты.
[740.03s -> 744.03s]  И когда они получили свою часть успеха,
[744.03s -> 748.03s]  возник вопрос, что раз есть одна такая группа,
[748.03s -> 752.03s]  значит наверняка завтра кто-то придет и повторит эту историю,
[752.03s -> 755.03s]  чтобы урвать себе часть пирога.
[755.03s -> 759.03s]  И этот же продюссер группы Backstreet Boys берет и фигачит новый коллектив,
[759.03s -> 761.03s]  называет его NSYNC.
[761.03s -> 765.03s]  Никто не знает о том, что они работают на одного человека,
[765.03s -> 768.03s]  они существуют, у них конкуренция и так далее.
[768.03s -> 773.03s]  Он, конечно, умный, но он не смог перехитрить свою жадность.
[773.03s -> 778.03s]  И как бы не платил чувакам, потом решил не платить налоги,
[778.03s -> 780.03s]  и в итоге попал в тюрьму.
[780.03s -> 782.03s]  Его и закрыли, и скандалов было очень много.
[782.03s -> 785.03s]  Нужно попробовать бульон чуть-чуть.
[785.03s -> 789.03s]  Алмазов, скажи мне, пожалуйста, одна песня, единственная в жизни,
[789.03s -> 791.03s]  самая лучшая в мире песня,
[791.03s -> 793.03s]  плевать какого артиста, русская, зарубежная,
[793.03s -> 795.03s]  главная песня в твоей жизни?
[795.03s -> 799.03s]  Блин, всегда сложно ответить очень объективно,
[799.03s -> 803.03s]  чтобы это было объективно на все мои 29 лет, да?
[803.03s -> 804.03s]  Да.
[804.03s -> 807.03s]  Я могу ответить объективно на сегодня, например.
[807.03s -> 810.03s]  Я бы сказал, Майя Кристалинская, у тебя такие глаза.
[810.03s -> 812.03s]  Я знаю.
[812.03s -> 816.03s]  Я поражаюсь советской музыке, потому что они с такой душой
[816.03s -> 820.03s]  и с таким качеством поют, что слышно в этой композиции,
[820.03s -> 825.03s]  что это прям вот, не знаю, как отношения любимой девушки,
[825.03s -> 829.03s]  прям вот, когда ты прям не позволяешь себе ни малейшего.
[829.03s -> 832.03s]  В общем, ты слушаешь и ты веришь тому, что там происходит.
[832.03s -> 834.03s]  Да. Давайте начнем делать бешамель,
[834.03s -> 837.03s]  потому что это самое сложное, на самом деле.
[837.03s -> 840.03s]  Может, даже придется переделывать, но надеюсь, что нет.
[840.03s -> 843.03s]  Там самое главное сбивать венчиком вовремя,
[843.03s -> 845.03s]  чтобы не образовывалась комочка.
[845.03s -> 847.03s]  А водичку сюда не нужно сразу?
[847.03s -> 848.03s]  Нет.
[848.03s -> 852.54s]  Сейчас, секунду, еще немножко помидорки тебе.
[852.54s -> 853.54s]  Оп.
[853.54s -> 856.54s]  Добавим еще немного оливкового масла.
[856.54s -> 858.54s]  Уже растопившееся сливочное.
[858.54s -> 860.54s]  Так, а дальше что здесь?
[860.54s -> 863.54s]  И теперь мы будем сыпать муку потихонечку,
[863.54s -> 866.54s]  и надо ее сбивать венчиком прям талантливо,
[866.54s -> 868.54s]  чтобы комочков не образовалось.
[868.54s -> 869.54s]  Что мне делать?
[869.54s -> 872.54s]  Давай ты будешь сыпать мне муку потихонечку,
[872.54s -> 874.54s]  а я буду сбивать ее. С богом.
[875.54s -> 877.54s]  Что у нас будет дальше?
[877.54s -> 881.54s]  То есть, вот ты сейчас все это должен до однородной консистенции?
[881.54s -> 883.54s]  Да, чтобы не было комочков.
[883.54s -> 885.54s]  И что потом туда будем добавлять?
[885.54s -> 888.54s]  Туда нужно добавить приправы, тоже по вкусу, знаешь.
[888.54s -> 891.54s]  Чуть-чуть сахара, соли, чуть-чуть перчика.
[891.54s -> 892.54s]  На мой вкус.
[892.54s -> 894.54s]  Я люблю, когда по насыщению.
[894.54s -> 896.54s]  Потому что готовишь ты не так часто.
[896.54s -> 897.54s]  Еще-еще.
[899.54s -> 900.54s]  Все. Спасибо.
[900.54s -> 902.54s]  Есть. Альбом у вас называется Future Flashback.
[902.54s -> 903.54s]  Правильно?
[903.54s -> 904.54s]  Да.
[904.54s -> 906.54s]  С чем связано такое название?
[906.54s -> 909.54s]  Да, потому что у нас в коме часто мнения разнятся.
[909.54s -> 912.54s]  То есть у вас может быть у каждого своя консервация.
[912.54s -> 914.54s]  Да, у него лучше спрашивать лично.
[914.54s -> 915.54s]  А для меня...
[915.54s -> 918.54s]  Начнем с того, что на русский я бы перевел...
[918.54s -> 921.54s]  Знаешь, когда американские фильмы на русский переводят,
[921.54s -> 922.54s]  это всем по-другому.
[922.54s -> 923.54s]  Адаптируют они переводы.
[923.54s -> 925.54s]  Я бы назвал Привет из будущего.
[925.54s -> 929.54s]  Представляешь, советская комедия в духе назад в будущее,
[929.54s -> 932.54s]  где Дока играет какой-нибудь советский дедушка.
[932.54s -> 934.54s]  Было бы забавно, конечно.
[934.54s -> 935.54s]  Бурнов какой-нибудь.
[935.54s -> 939.54s]  Плюс еще, знаешь, альбом Future Love Sex Sounds.
[939.54s -> 940.54s]  Да, да, да.
[940.54s -> 943.54s]  Вот оттуда что-то точно я взял.
[943.54s -> 946.54s]  Ну и такой танцевальный звук.
[946.54s -> 948.54s]  Кстати, вот сейчас ты сказал,
[948.54s -> 951.54s]  так как я сегодня еще переслушиваю альбом,
[951.54s -> 953.54s]  мне кажется, там есть отголоски.
[953.54s -> 956.54s]  Ну, слушай, если они есть, я буду рад.
[956.54s -> 960.54s]  Ну, конечно, там более такой прям качевый.
[960.54s -> 962.54s]  У Тимбаленда стиль.
[962.54s -> 965.54s]  Ну, потому что тогда он готовился
[965.54s -> 967.54s]  по трендам того времени.
[967.54s -> 969.54s]  Вы сейчас все-таки экспериментируете,
[969.54s -> 973.54s]  но все равно нотки, они проскальзывают.
[973.54s -> 974.54s]  Давай добавим сахар.
[974.54s -> 976.54s]  Я посмотрел еще визуал.
[976.54s -> 978.54s]  То есть у вас офигительные фотосессии.
[978.54s -> 979.54s]  Спасибо.
[979.54s -> 981.54s]  Вот этим я очень сильно горжусь,
[981.54s -> 985.54s]  потому что мы уже который год все продюсируем сами
[985.54s -> 989.54s]  вместе с одной и той же командой.
[989.54s -> 990.54s]  Почти никто не меняется.
[990.54s -> 993.54s]  И все идеи там, они не просто,
[993.54s -> 996.54s]  а идите там, сделайте за нас что-нибудь.
[996.54s -> 997.54s]  Мы вам заплатим.
[997.54s -> 1000.54s]  Мы сами всегда посылаем запрос,
[1000.54s -> 1002.54s]  референсы показываем.
[1002.54s -> 1004.54s]  И для меня это вот реально как мое детище.
[1004.54s -> 1007.54s]  Ты как креативный директор всего этого процесса.
[1007.54s -> 1008.54s]  Наверное.
[1008.54s -> 1010.54s]  Помнишь, я тебе сегодня говорил то,
[1010.54s -> 1013.54s]  что вот 21-й год прям спасибо, прям круто.
[1013.54s -> 1014.54s]  Да, да.
[1014.54s -> 1017.54s]  Потому что 21-й год вот я тебе рассказывал,
[1017.54s -> 1020.54s]  про то, что очень для меня был крутой,
[1020.54s -> 1023.54s]  потому что я попробовал себя во множестве новых ролей.
[1023.54s -> 1027.54s]  Я попробовал себя в роли учителя, в роли продюсера,
[1027.54s -> 1030.54s]  в роли актера, в роли сценариста.
[1030.54s -> 1034.54s]  Прям, знаешь, Москва меня очень круто начала принимать.
[1034.54s -> 1035.54s]  Я ее начал чувствовать.
[1035.54s -> 1039.54s]  И еще пару лет назад как бы очень редко выходил из дома.
[1039.54s -> 1040.54s]  Почему?
[1040.54s -> 1042.54s]  Ну, просто потому что, не знаю,
[1042.54s -> 1043.54s]  может еще не готов было.
[1043.54s -> 1046.54s]  Может казалось, что просто некуда идти.
[1046.54s -> 1049.54s]  И сейчас вот как раз эта работа завершилась.
[1049.54s -> 1051.54s]  И у меня какая-то вот здесь интересная
[1051.54s -> 1053.54s]  постоянная движуха начала появляться,
[1053.54s -> 1055.54s]  на которой у меня есть силы.
[1055.54s -> 1057.54s]  Во, вот это, мне кажется, самое главное.
[1057.54s -> 1058.54s]  Да.
[1058.54s -> 1060.54s]  То есть ты чувствуешь то, что да,
[1060.54s -> 1062.54s]  это та движуха, которая мне нужна.
[1062.54s -> 1064.54s]  И каждый день выходишь из дома
[1064.54s -> 1066.54s]  и возвращаешься с какой-то целью.
[1066.54s -> 1068.54s]  Ну вот раз уж мы заговорили о кино,
[1068.54s -> 1071.54s]  ты в качестве актера себя попробовал,
[1071.54s -> 1073.54s]  сценарист, а что это такое было?
[1073.54s -> 1074.54s]  Можно говорить уже?
[1074.54s -> 1076.54s]  Я снялся в полнометражном кино,
[1076.54s -> 1078.54s]  которое будет называться «Монолит».
[1078.54s -> 1079.54s]  Так.
[1079.54s -> 1082.54s]  И выйдет оно в 2022 году.
[1082.54s -> 1084.54s]  Возможно, даже в кинотеатрах.
[1084.54s -> 1085.54s]  Угу.
[1085.54s -> 1087.54s]  Вот, это молодые ребята.
[1087.54s -> 1090.54s]  И вот, знаешь, это больше вот тоже такой шаг
[1090.54s -> 1092.54s]  в сторону экспериментальности какой-то.
[1092.54s -> 1093.54s]  Ну, то есть тоже полное творчество получается.
[1093.54s -> 1094.54s]  И не коммерческое.
[1094.54s -> 1095.54s]  Понимаешь?
[1095.54s -> 1096.54s]  Так, у нас кипяток появился.
[1096.54s -> 1097.54s]  Отлично.
[1097.54s -> 1098.54s]  Можно вымачивать листы шипцаны.
[1098.54s -> 1100.54s]  Кстати, может ты мне с этим поможешь?
[1100.54s -> 1101.54s]  Давай, да.
[1101.54s -> 1103.54s]  Я думаю, что мы сделаем вот так уже,
[1103.54s -> 1105.54s]  еще совсем скоро выйдет сериал,
[1105.54s -> 1107.54s]  который будет называться «Солдаут».
[1107.54s -> 1108.54s]  Так.
[1108.54s -> 1112.54s]  Он про музыку, про лейблы.
[1112.54s -> 1113.54s]  Ну, по названию понятно.
[1113.54s -> 1114.54s]  Да, это тоже художественный сериал.
[1114.54s -> 1116.54s]  Я там сыграл небольшое камео
[1116.54s -> 1117.54s]  и написал саундтрек.
[1117.54s -> 1119.54s]  Не знаю, ну, сколько это можно говорить сейчас.
[1119.54s -> 1121.54s]  Все, можно нести фарш.
[1139.90s -> 1140.90s]  Наш лазанья в духовке.
[1140.90s -> 1141.90s]  Да.
[1141.90s -> 1143.90s]  Стол у нас чудесным образом стал идеально чистый.
[1143.90s -> 1144.90s]  Рождественское чудо.
[1144.90s -> 1145.90s]  Угу.
[1145.90s -> 1146.90s]  Что делаем дальше?
[1146.90s -> 1148.90s]  Давай проведем небольшой блиц по ингредиентам.
[1148.90s -> 1149.90s]  Давай.
[1149.90s -> 1150.90s]  Я буду спрашивать тебя.
[1150.90s -> 1151.90s]  Помидоры или огурец?
[1151.90s -> 1152.90s]  Помидоры.
[1152.90s -> 1153.90s]  Хорошо.
[1153.90s -> 1156.90s]  Лис салата или лук?
[1156.90s -> 1157.90s]  Оу.
[1157.90s -> 1158.90s]  Ага.
[1158.90s -> 1159.90s]  Лис салата.
[1159.90s -> 1160.90s]  Окей.
[1160.90s -> 1162.90s]  Ну, так, надо побольше будет брать.
[1162.90s -> 1163.90s]  Давай все.
[1163.90s -> 1164.90s]  Давай.
[1164.90s -> 1168.90s]  Тогда я беру огурцы, ты помидоры.
[1168.90s -> 1169.90s]  Да.
[1169.90s -> 1170.90s]  Смотри, маслины или оливки?
[1170.90s -> 1171.90s]  Без разницы на ваш вкус.
[1171.90s -> 1172.90s]  Хорошо.
