[4.72s -> 6.72s]  Ненавижу, ненавижу!
[734.33s -> 736.33s]  А Сергей?
[736.33s -> 738.33s]  Вы?
[740.33s -> 742.33s]  И Сергей, вы?
[742.33s -> 747.50s]  Выходите!
[763.99s -> 767.99s]  Добрый вечер, комиссар Гордон.
[772.01s -> 776.79s]  Где майор Дрюст?
[778.79s -> 780.79s]  Что ты с ним сделал?
[782.79s -> 784.79s]  Я?
[784.79s -> 786.79s]  Я же был здесь.
[788.79s -> 790.79s]  Вы его потеряли.
[792.79s -> 794.79s]  Вы решили играть в игры.
[802.86s -> 808.22s]  Я возьму чашечку кофе.
[810.22s -> 812.22s]  Игры добрые, плохой полицейский.
[812.22s -> 814.22s]  Я угадал?
[814.22s -> 816.22s]  Не совсем.
[820.22s -> 822.22s]  Что?
[822.22s -> 829.69s]  Что ты такой серьезный?
[831.69s -> 833.69s]  Ты напоминаешь мне моего отца.
[835.69s -> 837.69s]  Но я ненавидел своего отца.
[843.69s -> 845.69s]  Зачем ты хочешь меня убить?
[845.69s -> 847.69s]  Я?
[847.69s -> 849.69s]  Я не хочу тебя убивать.
[851.69s -> 853.69s]  Но я буду без тебя делать.
[855.69s -> 857.69s]  И опять?
[857.69s -> 859.69s]  Показывать фокусы на арбате?
[861.69s -> 863.69s]  Ты дополняешь меня.
[865.69s -> 867.69s]  Где трос?
[867.69s -> 869.69s]  Что у тебя за план?
[869.69s -> 871.69s]  Разве похож на человека,
[871.69s -> 873.69s]  которого может быть план?
[873.69s -> 875.69s]  Я пёс, бегущий за автомобилем.
[877.69s -> 879.69s]  Я в этом сильно сомневаюсь.
[886.39s -> 888.39s]  Не бойся, когда я кричу
[888.39s -> 890.39s]  Не бойся, когда я молчу.
[894.39s -> 896.39s]  Ты безумец!
[896.39s -> 898.39s]  Безумно можно быть первым.
[902.39s -> 904.39s]  Аккуратнее.
[904.39s -> 906.39s]  Близкий убьется на удара.
[906.39s -> 908.39s]  Ведь он знает, куда бить.
[910.39s -> 912.39s]  Пять минут осталось,
[912.39s -> 914.39s]  если ты хочешь спасти одного из них.
[914.39s -> 916.39s]  Их?
[916.39s -> 918.39s]  Твой друг майор Дрозд?
[918.39s -> 920.39s]  Или его красавица невеста?
[924.39s -> 926.39s]  На минуту я и правда подумал,
[926.39s -> 928.39s]  что ты майор Дрозд,
[928.39s -> 930.39s]  когда ты бросился за ней.
[930.39s -> 932.39s]  Где они? Говори!
[934.39s -> 936.39s]  Ведь я нет ничего,
[936.39s -> 938.39s]  чем ты можешь мне угрожать.
[938.39s -> 940.39s]  Со мной бесполезны все твои силы.
[942.39s -> 944.39s]  Хочешь узнать, откуда у меня эти шрамы?
[946.39s -> 948.39s]  Брат!
[952.39s -> 954.39s]  Не волнуйся.
[954.39s -> 956.39s]  Я скажу, где они.
[956.39s -> 958.39s]  Тебе придется выбрать,
[958.39s -> 960.39s]  а не в разных местах.
[962.39s -> 964.39s]  Как ты это сделал?
[964.39s -> 966.39s]  Ты ведь не здесь?
[966.39s -> 968.39s]  Кажем так,
[968.39s -> 970.39s]  я работаю не один.
[970.39s -> 972.39s]  А с кем?
[976.39s -> 978.39s]  Как еще один?
[978.39s -> 980.39s]  Как?
[982.39s -> 984.39s]  Кто?
