[0.00s -> 1.94s]  оооооооооооооооооооо
[831.06s -> 833.06s]  М-м-м-м-м!
[833.06s -> 835.06s]  Ф-ф!
[835.06s -> 839.91s]  Наследственно повыше ж не ты,
[839.91s -> 841.91s]  а твой траверный брат Костя!
[841.91s -> 844.91s]  Потому, что он настоящий сын твоего отца!
[846.91s -> 849.91s]  А ты приемная дочь!
[851.91s -> 853.91s]  Нет, нет.
[853.91s -> 855.91s]  У меня нет брата, это футболка
[855.91s -> 856.91s]  моего бывшего мужа.
[856.91s -> 858.91s]  Я пролежала в коме,
[858.91s -> 864.51s]  А когда вышла из нее, мой муж нашел в себе другую женщину.
[864.51s -> 867.91s]  И я хочу узнать имя той стервы, которая забрала у меня мужа.
[867.91s -> 869.15s]  Нет!
[869.15s -> 872.76s]  Этого не может быть!
[872.76s -> 885.00s]  Шар никогда не ошибает.
[885.00s -> 887.36s]  Я предупреждал тебя.
[887.36s -> 888.68s]  О чем ты?
[888.68s -> 890.60s]  Что случилось вам?
[890.60s -> 893.48s]  Я служу этой тебе верой и правдой.
[893.48s -> 897.08s]  Я предупреждал тебя, что нельзя гадать
[897.08s -> 899.72s]  на свою судьбу и на любовь.
[899.72s -> 905.08s]  Иначе твои чары покинут тебя, и дар придет к другому обладателю.
[905.08s -> 907.64s]  Я не гадала! Я не гадала себе!
[907.64s -> 911.16s]  Это какая-то ошибка!
[911.16s -> 914.36s]  Ты знаешь, что в нашем мире не бывает ошибок.
[914.36s -> 916.52s]  Закончено!
[916.52s -> 920.59s]  Случайно?
[920.59s -> 921.63s]  Случайно.
[921.63s -> 923.19s]  Воды?
[925.81s -> 928.37s]  Я понимаю, что вам сейчас нехорошо,
[928.37s -> 932.25s]  но я пришла узнать имя разлучницы.
[932.25s -> 933.77s]  Случайно?
[935.77s -> 937.57s]  Случайно, здравствуй, любимая.
[937.57s -> 941.33s]  Макс! Макс, ты же просил не приходить ко мне во время сеанса!
[941.33s -> 943.09s]  Прости, я не мог ждать.
[943.09s -> 944.97s]  Ты?
[944.97s -> 948.72s]  Аня, ты?
[948.72s -> 950.92s]  Ты пришел к ней?
[950.92s -> 952.56s]  Как ты мог?
[952.56s -> 955.44s]  В коме? Я думала только о тебе.
[955.52s -> 957.84s]  Я не знал, что ты очнулась.
[957.84s -> 960.48s]  Она меня приворожила.
[960.48s -> 963.16s]  Вот что меня погубило!
