[0.00s -> 3.20s]  Ииииииииии, раз!
[421.13s -> 423.13s]  я,
[423.13s -> 425.13s]  которая говорила, что это же легко.
[425.13s -> 427.13s]  И раз!
[427.13s -> 429.13s]  Задело? Нет, не задело.
[429.13s -> 431.13s]  Нет ведь?
[431.13s -> 433.13s]  Ну, засчитываем.
[433.13s -> 435.13s]  Дальше.
[435.13s -> 437.13s]  Не задело! Смотрите!
[437.13s -> 439.13s]  Смотрите!
[439.13s -> 441.13s]  Ладно, ладно, я буду работать на тебя.
[441.13s -> 443.13s]  Потом!
[443.13s -> 445.13s]  Не задело!
[445.13s -> 447.13s]  Тихо!
[447.13s -> 449.13s]  Вот так-то, ребята!
[449.13s -> 451.13s]  Сейчас мы пройдем
[451.13s -> 453.13s]  к следующему испытанию.
[453.13s -> 455.13s]  Ну давайте! Здесь надо определить,
[455.13s -> 457.13s]  кто сильный,
[457.13s -> 459.13s]  кто перетянет палку, тот и выиграл.
[459.13s -> 461.13s]  Хват берется один,
[461.13s -> 463.13s]  одна рука сверху, другая снизу.
[463.13s -> 465.13s]  Ага.
[465.13s -> 467.13s]  Я ставлю палку, вы берете за нее
[467.13s -> 469.13s]  руками. Ну-ка, дайте это.
[469.13s -> 471.13s]  И что? Вот так?
[471.13s -> 473.13s]  Да, вот эту руку. И что, она уже
[473.13s -> 475.13s]  за нее? Марш!
[475.13s -> 481.90s]  Я на самом деле
[481.90s -> 483.90s]  очень сильная баба!
[483.90s -> 485.90s]  Я просто все это время скрывала
[485.90s -> 487.90s]  этот факт. Вот так-то,
[487.90s -> 489.90s]  Настюха, вот так-то!
[489.90s -> 491.90s]  Ладно, просто слабым нужно уступать.
[491.90s -> 493.90s]  Вы прошли испытания
[493.90s -> 495.90s]  по Северному многоворию,
[495.90s -> 497.90s]  но это еще не все. Ну что, пойдемте?
[497.90s -> 499.90s]  Как ты лихо согласился!
[499.90s -> 501.90s]  Я думала, мы будем спорить. Нет, никаких
[501.90s -> 503.90s]  испытаний! Мы больше не хотим!
[503.90s -> 505.90s]  Витя, подождите секунду! У нас важная
[505.90s -> 507.90s]  миссия! Так, Настя,
[507.90s -> 509.90s]  то, что мы хотели с тобой сделать.
[509.90s -> 511.90s]  Так, правую ногу.
[511.90s -> 513.90s]  И
[513.90s -> 515.90s]  раз,
[515.90s -> 517.90s]  два, стою.
[517.90s -> 519.90s]  И
[519.90s -> 521.90s]  раз, два,
[521.90s -> 526.62s]  три!
[534.62s -> 536.62s]  Здравствуйте!
[536.62s -> 538.62s]  Говорите мне тоже
[538.62s -> 540.62s]  на нашу языку.
[540.62s -> 542.62s]  Это на хантейском языке.
[542.62s -> 544.62s]  А Паша Олен
[544.62s -> 546.62s]  это на мансийском.
[546.62s -> 548.62s]  Паша Олен!
[548.62s -> 550.62s]  Паша Олен!
[550.62s -> 552.62s]  У абских укра
[552.62s -> 554.62s]  так нас называют.
[554.62s -> 556.62s]  Есть
[556.62s -> 558.62s]  разные такие игры.
[558.62s -> 560.62s]  Я сейчас
[560.62s -> 562.62s]  немного расскажу
[562.62s -> 564.62s]  и буду, конечно, называть
[564.62s -> 566.62s]  на хантейском языке.
[566.62s -> 568.62s]  А на русском потом?
[568.62s -> 570.62s]  Да, чтобы вы что-то поняли.
[570.62s -> 572.62s]  А, кстати, можно перед этим спросить
[572.62s -> 574.62s]  как на хантейском,
[574.62s -> 576.62s]  правильно я говорю, на хантейском языке
[576.62s -> 578.62s]  сказать почетный
[578.62s -> 580.62s]  гражданин?
[586.62s -> 588.62s]  Мне кажется, нужно зубы выбить,
[588.62s -> 590.62s]  чтобы это произнести.
[590.62s -> 592.62s]  Это почетный, да.
[598.62s -> 600.62s]  Все, хорошо.
[600.62s -> 602.62s]  А теперь рассказывайте про игрушки.
[602.62s -> 604.62s]  Посмотрите, вот здесь три косточки
[604.62s -> 606.62s]  мы видим, да?
[606.62s -> 608.62s]  Надо вот эту косточку большую нам
[608.62s -> 610.62s]  снять.
[610.62s -> 612.62s]  А, нужно продеть вот эти две маленькие
[612.62s -> 614.62s]  через нее. Классно!
[614.62s -> 616.62s]  Что-то не получается!
[616.62s -> 618.62s]  Я знаю, я знаю!
[618.62s -> 620.62s]  Все поняли, да?
[620.62s -> 622.62s]  Да!
[622.62s -> 624.62s]  Да, теперь обратно.
[624.62s -> 626.62s]  Давайте обратно поставим.
[626.62s -> 628.62s]  Есть еще у нас
[628.62s -> 630.62s]  приуральские ханты, которые на Ямале
[630.62s -> 632.62s]  живут, они называют
[632.62s -> 634.62s]  лиси-капкан эту игру.
[634.62s -> 636.62s]  А у нас, например, у казымских
[636.62s -> 638.62s]  ханты называется
[638.62s -> 640.62s]  хитрая лисе. Сколько таких палочек
[640.62s -> 642.62s]  кладем вот так, да? И бьем.
[642.62s -> 644.62s]  Да, такое еще такое телесное
[644.62s -> 646.62s]  наказание. Мы вот так опа
[646.62s -> 648.62s]  и ловим, да?
[648.62s -> 650.62s]  Итак, это надо еще как-то
[650.62s -> 652.62s]  грамотно бросить, знаешь?
[652.62s -> 654.62s]  Блин, у меня не получается даже взять!
[654.62s -> 656.62s]  Вот так положите, да.
[656.62s -> 658.62s]  Не собираюсь прыгать
[658.62s -> 660.62s]  бац, подпал.
[660.62s -> 662.62s]  Давай! Раз, два,
[662.62s -> 664.62s]  три!
[664.62s -> 666.62s]  О, какие молодцы!
[666.62s -> 668.62s]  А потому что? А это ты видит.
[668.62s -> 670.62s]  Я вам, дорогие девушки,
[670.62s -> 672.62s]  передаю конверт.
[672.62s -> 674.62s]  Вы сейчас прокатитесь
[674.62s -> 676.62s]  по нашим прекрасным местам
[676.62s -> 678.62s]  заповедном.
[678.62s -> 680.62s]  И мы встретимся
[680.62s -> 682.62s]  на следующей точке. Круто!
[682.62s -> 684.62s]  Спасибо!
[684.62s -> 686.62s]  Первая цифра два. Поняли.
[686.62s -> 688.62s]  Пошли на снегопод. Вогнали!
[688.62s -> 690.62s]  Ну нормально!
[690.62s -> 692.62s]  У меня
[692.62s -> 694.62s]  внутри снег
[694.62s -> 696.62s]  собрались!
[696.62s -> 698.62s]  Ну смотри наверх!
[698.62s -> 700.62s]  Это мечта!
[700.62s -> 702.62s]  Ханты Мансиск славится уникальной
[702.62s -> 704.62s]  и необычной кухней.
[704.62s -> 706.62s]  Необычные вкусовые сочетания,
[706.62s -> 708.62s]  настоящие деликатесы и уникальные ягоды.
[708.62s -> 710.62s]  Именно такой рацион можно отведать
[710.62s -> 712.62s]  в столице Югры.
[714.62s -> 716.62s]  Вот, сейчас мы достаем рыбу.
[716.62s -> 718.62s]  Откуда?
[718.62s -> 720.62s]  Давайте я ее подержу.
[720.62s -> 722.62s]  Так обычно водку
[722.62s -> 724.62s]  хранят, знаете?
[724.62s -> 726.62s]  А мы рыбу
[726.62s -> 728.62s]  нарезаем.
[728.62s -> 730.62s]  А это селедка типа?
[730.62s -> 732.62s]  Подождите, подождите!
[732.62s -> 734.62s]  Ее нельзя сырой кушать?
[734.62s -> 736.62s]  Вот сырой мы и будем кушать с вами.
[736.62s -> 738.62s]  Я же сырой? А сейчас можно зубок мне?
[738.62s -> 740.62s]  А сейчас вы подождите.
[740.62s -> 742.62s]  А покажите теперь,
[742.62s -> 744.62s]  как ее нужно правильно есть.
[744.62s -> 746.62s]  Вот мы макаем соль.
[746.62s -> 748.62s]  Вот эти перец-то.
[748.62s -> 750.62s]  И вот хлеб у нас
[750.62s -> 752.62s]  печется в той печи. Я обожаю
[752.62s -> 754.62s]  домашний хлеб! Это вообще пушка!
[754.62s -> 756.62s]  Там не только хлеб пекут,
[756.62s -> 758.62s]  там и рыбу
[758.62s -> 760.62s]  пекают, просушивают.
[760.62s -> 762.62s]  Из этой рыбы потом делают
[762.62s -> 764.62s]  рыбью муку.
[764.62s -> 766.62s]  Опять много слышно.
[766.62s -> 768.62s]  Пекут хлеб рыбный.
[768.62s -> 772.31s]  Это называется
[786.31s -> 788.31s]  И вам тоже хорошего женского здоровья!
[788.31s -> 790.31s]  На улице вас ждет уже транспорт.
[790.31s -> 792.31s]  Я хочу вам передать
[792.31s -> 794.31s]  подсказку следующую.
[796.31s -> 803.21s]  Югра – это один из бурно
[803.21s -> 805.21s]  развивающихся регионов нашей страны,
[805.21s -> 807.21s]  который за одно поколение
[807.21s -> 809.21s]  из архаичного края, где в основном жили
[809.21s -> 811.21s]  кощевники в своих стоебищах, превратился
[811.21s -> 813.21s]  в край с развитой индустриальной
[813.21s -> 815.21s]  инфраструктурой. И большая заслуга
[815.21s -> 817.21s]  в этом принадлежит найденной здесь нефти.
[817.21s -> 819.21s]  Именно музей черного золота
[819.21s -> 821.21s]  и станет следующей точкой в череде
[821.21s -> 823.21s]  испытаний наших героев.
[823.21s -> 825.21s]  Здравствуйте!
[825.21s -> 827.21s]  Рад, что вы сегодня у нас в гостях
[827.21s -> 829.21s]  нефтяного музея.
[829.21s -> 831.21s]  Давайте познакомимся. Меня зовут Иван.
[831.21s -> 833.21s]  Настя. Женя. Очень приятно.
[833.21s -> 835.21s]  Вы в уникальном месте сегодня
[835.21s -> 837.21s]  находитесь, единственный
[837.21s -> 839.21s]  государственный нефтяной музей.
[839.21s -> 841.21s]  Мне кажется, что вы здесь еще никогда не были.
[841.21s -> 843.21s]  И вам будет безумно интересно.
[843.21s -> 845.21s]  Познакомлю вас сегодня с нашими интересными экспонатами.
[845.21s -> 847.21s]  А потом проведем с вами нашу интересную
[847.21s -> 849.21s]  викторину. Круто!
[849.21s -> 851.21s]  Ну, тогда вперед.
[851.21s -> 853.21s]  Давайте, пойдемте.
[853.21s -> 855.21s]  Офигеть!
[855.21s -> 857.21s]  Это Маракуйя похож.
[857.21s -> 859.21s]  Может быть, вы угадаете, что это?
[859.21s -> 861.21s]  Маракуйя.
[861.21s -> 863.21s]  Амитист. Вы самый красивый.
[863.21s -> 865.21s]  Самый интересный для девушек.
[865.21s -> 867.21s]  А сколько он стоит?
[867.21s -> 869.21s]  Это, безусловно, государственная тайна.
[869.21s -> 871.21s]  Мы точно сказать не можем.
[871.21s -> 873.21s]  Скажите, тысячи три?
[875.21s -> 877.21s]  Если три тысячи,
[877.21s -> 879.21s]  мы можем купить?
[881.21s -> 883.21s]  Десять миллионов, я услышала.
[883.21s -> 885.21s]  Офигеть!
[885.21s -> 887.21s]  Смотрите!
[887.21s -> 889.21s]  Вы находитесь на выставке шахта.
[889.21s -> 891.21s]  Она рассказывает о том, как здесь у нас
[891.21s -> 893.21s]  на припоряру в Урале добывали
[893.21s -> 895.21s]  подземным способом, в том числе и золото,
[895.21s -> 897.21s]  и уголь.
[897.21s -> 899.21s]  Ваше мнение, безусловно,
[899.21s -> 901.21s]  учтем.
[901.21s -> 903.21s]  На самом деле, это муляж тех самых
[903.21s -> 905.21s]  золотых слитков, которые были
[905.21s -> 907.21s]  созданы в Красноярском краю, в России.
[907.21s -> 909.21s]  А вы поставите точку на карте,
[909.21s -> 911.21s]  я пойду поищу сама лично.
[911.21s -> 913.21s]  Вот это лопатой.
[913.21s -> 915.21s]  Ты знаешь, мне кажется, что это на самом деле
[915.21s -> 917.21s]  оригиналы, но на всякий случай нам
[917.21s -> 919.21s]  сказали, что это муляж.
[919.21s -> 921.21s]  А, да?
[921.21s -> 923.21s]  Уверена практически, что вы никогда не трогали
[923.21s -> 925.21s]  мерки. Неужели я что-то почувствовала?
[925.21s -> 927.21s]  На ощупь вы должны понять, даже такая
[927.21s -> 929.21s]  мыслинистая, вязкая.
[929.21s -> 931.21s]  Нет, я вот так чувствую, когда
[931.21s -> 933.21s]  именно перчатку друг об друга тру.
[933.21s -> 935.21s]  Это реально скользкое.
[935.21s -> 937.21s]  Как разум.
[937.21s -> 939.21s]  Спиртовой настой.
[939.21s -> 941.21s]  Да нет, лизунок.
[941.21s -> 943.21s]  Ну что же, проверим, насколько вы были внимательны
[943.21s -> 945.21s]  на экскурсии. Настя, надевай шокер.
[945.21s -> 947.21s]  Задача Жени ответить на вопросы.
[947.21s -> 949.21s]  За каждый неправильный ответ
[949.21s -> 951.21s]  Настя получает удар шокером.
[951.21s -> 953.21s]  Думай, Женя.
[953.21s -> 955.21s]  Вы готовы?
[955.21s -> 957.21s]  Вопрос номер один. Вы видели
[957.21s -> 959.21s]  жиоду-аметиста?
[959.21s -> 961.21s]  Из какой страны прибыла
[961.21s -> 963.21s]  музей жиода-аметиста?
[963.21s -> 965.21s]  Бразилия, Боливия.
[965.21s -> 967.21s]  Настя в первый раз ударит.
[967.21s -> 969.21s]  Я честно признаюсь, я не очень слушала,
[969.21s -> 971.21s]  потому что я любовалась красотой камня.
[971.21s -> 973.21s]  Но не надо подсказывать,
[973.21s -> 975.21s]  я считаю, что это Боливия.
[975.21s -> 977.21s]  Это неправильный ответ.
[979.21s -> 981.21s]  Ладно, Настя.
[981.21s -> 983.21s]  Все нормально?
[983.21s -> 985.21s]  Я просто не знала.
[985.21s -> 987.21s]  Помните замечательный теодолит, памятник науки и техники?
[987.21s -> 989.21s]  Какого года выпуска этот замечательный экспонат?
[989.21s -> 991.21s]  1939 или 1929?
[993.21s -> 995.21s]  Пусть будет...
[995.21s -> 997.21s]  Пусть.
[997.21s -> 999.21s]  Пусть будет раньше.
[999.21s -> 1001.21s]  Я просто надеюсь на то,
[1001.21s -> 1003.21s]  что люди очень
[1003.21s -> 1005.21s]  быстрые, шустрые и умные.
[1005.21s -> 1007.21s]  Если раньше он древнее, может и моложе.
[1007.21s -> 1009.21s]  Но может быть и моложе.
[1009.21s -> 1011.21s]  Он такой симпатичный.
[1011.21s -> 1013.21s]  Пусть моложе.
[1013.21s -> 1015.21s]  1939.
[1015.21s -> 1017.21s]  1939.
[1017.21s -> 1019.21s]  Как подсказал мне этот потрясающий
[1019.21s -> 1021.21s]  красотой мужчина.
[1021.21s -> 1023.21s]  Я вас огорчу, это неправильно.
[1023.21s -> 1025.21s]  Это он!
[1025.21s -> 1027.21s]  Это он!
[1027.21s -> 1029.21s]  Это он!
[1029.21s -> 1031.21s]  Это он!
[1033.21s -> 1035.21s]  Между вами смотрю и скринка какая-то.
[1035.21s -> 1037.21s]  Нормально вообще.
[1037.21s -> 1039.21s]  Так, хорошо, давайте дальше.
[1039.21s -> 1041.21s]  В каком году было открыто первое промышленное
[1041.21s -> 1043.21s]  месторождение у нас в Сибири?
[1043.21s -> 1045.21s]  В 1965 или в 1960?
[1045.21s -> 1047.21s]  Я тебя напну скоро.
[1047.21s -> 1049.21s]  1900, конечно же, да.
[1049.21s -> 1051.21s]  1965 год.
[1053.21s -> 1055.21s]  К сожалению, нет.
[1055.21s -> 1057.21s]  Настя!
[1057.21s -> 1059.21s]  Настя просто получила
[1059.21s -> 1061.21s]  за все мои
[1061.21s -> 1063.21s]  неправильные ответы.
[1063.21s -> 1065.21s]  И вот так мы узнали,
[1065.21s -> 1067.21s]  что я была двоечницей.
[1067.21s -> 1069.21s]  Дойти до следующей точки
[1069.21s -> 1071.21s]  вы сможете по карте с шагами.
[1076.89s -> 1078.89s]  Вот здесь нам нужно
[1078.89s -> 1084.18s]  примерно 100-200 человек.
[1089.10s -> 1091.10s]  Музей природы и человека является
[1091.10s -> 1093.10s]  одним из самых крупных и современных
[1093.10s -> 1095.10s]  культурных учреждений Ханты-Мансийска.
[1095.10s -> 1097.10s]  В фондах музея насчитывается
[1097.10s -> 1099.10s]  более 140 тысяч экспонатов
[1099.10s -> 1101.10s]  из самых разных коллекций.
[1101.10s -> 1103.10s]  Посмотрим, насколько хорошо наши ведущие справятся
[1103.10s -> 1105.10s]  с заданием от хранителя музейных ценностей,
[1105.10s -> 1107.10s]  который уже заготовил для них
[1107.10s -> 1109.10s]  очень необычное испытание.
[1113.10s -> 1115.10s]  Играем в игру, угадающие череп.
[1115.10s -> 1117.10s]  Сопоставьте череп
[1117.10s -> 1119.10s]  и картинку животного при жизни.
[1119.10s -> 1121.10s]  Давайте попробуем.
[1121.10s -> 1123.10s]  Это?
[1123.10s -> 1125.10s]  Куница.
[1125.10s -> 1127.10s]  Какой маленький!
[1127.10s -> 1129.10s]  Мне кажется, куница либо
[1129.10s -> 1131.10s]  енто, либо
[1131.10s -> 1133.10s]  енто, либо
[1133.10s -> 1135.10s]  енто, либо енто.
[1135.10s -> 1137.10s]  Я не разбираюсь в любом случае.
[1137.10s -> 1139.10s]  Это тяжело. Но я думаю, это.
[1139.10s -> 1141.10s]  А я думаю, это, наверное. Хорошо, дальше.
[1141.10s -> 1143.10s]  Это кто?
[1143.10s -> 1145.10s]  О! У меня
[1145.10s -> 1147.10s]  тот же вариант ответа.
[1147.10s -> 1149.10s]  Я всегда буду показывать
[1149.10s -> 1151.10s]  на это, и однажды я попаду.
[1151.10s -> 1153.10s]  У меня точно будет один балл.
[1153.10s -> 1155.10s]  Так, покажите еще раз. Это кто?
[1155.10s -> 1157.10s]  Это рысь. У рыси что большое?
[1157.10s -> 1159.10s]  Клыки. А еще?
[1159.10s -> 1161.10s]  И агрессия.
[1161.10s -> 1163.10s]  Еще, наверное, огромная мощная челюсть,
[1163.10s -> 1165.10s]  как указано в целом передано суд.
[1165.10s -> 1167.10s]  Когда охотится рысь?
[1167.10s -> 1169.10s]  Зимой и летом не бывало жертвы.
[1169.10s -> 1171.10s]  Всегда.
[1171.10s -> 1173.10s]  Это тоже верно.
[1173.10s -> 1175.10s]  В какое время супик?
[1175.10s -> 1177.10s]  Наверное, неважно.
[1177.10s -> 1179.10s]  Вечером.
[1179.10s -> 1181.10s]  В ночной.
[1181.10s -> 1183.10s]  Значит, у нее зоркий глаз.
[1183.10s -> 1185.10s]  Тут большое расстояние для глаз.
[1185.10s -> 1187.10s]  Хорошо. Возьмите череп зуба.
[1187.10s -> 1189.10s]  В зубы.
[1189.10s -> 1191.10s]  Возьмите в руки и посмотрите на зубы.
[1191.10s -> 1193.10s]  Возможно, чьи-то напомнят.
[1193.10s -> 1195.10s]  Вот это рысь.
[1195.10s -> 1197.10s]  А, блин, ну нет, это скорее...
[1197.10s -> 1199.10s]  У вас дома кошки есть?
[1199.10s -> 1201.10s]  Когда-нибудь кошку видели?
[1201.10s -> 1203.10s]  Да, скорее всего.
