[0.00s -> 2.00s]  ПРОБОДИТЬ МАРТЮ자가
[377.82s -> 378.82s]  Тотальное животное конкретно.
[378.82s -> 379.82s]  Змея.
[379.82s -> 380.82s]  Змея.
[380.82s -> 381.82s]  А.
[381.82s -> 382.82s]  Ты змей змея.
[382.82s -> 383.82s]  Логично, логично.
[383.82s -> 385.82s]  Ты приходишь домой и видишь как я совокупляюсь
[385.82s -> 386.82s]  с твоим змеем.
[386.82s -> 389.82s]  Насилую твоего змея.
[389.82s -> 392.82s]  Вот ты прям заходишь и поехали работаем.
[392.82s -> 393.82s]  Вот что ты видишь?
[393.82s -> 394.82s]  Вот скажи мне давай.
[394.82s -> 396.82s]  Работать отсюда не подходя.
[396.82s -> 397.82s]  Не подходя.
[397.82s -> 398.82s]  Вот все нормально работаешь.
[398.82s -> 401.82s]  Ты не можешь подойти потому что здесь совокупление.
[401.82s -> 403.82s]  Какого черта ты вытворяешь?
[403.82s -> 405.82s]  Ты блин больной что ли?
[405.82s -> 406.82s]  Иди сюда.
[406.82s -> 407.82s]  Я тебе сейчас.
[407.82s -> 408.82s]  Вот.
[408.82s -> 409.82s]  Я тебе шею блин сверну.
[409.82s -> 413.82s]  Я не стою чтобы ты был змеей громче.
[413.82s -> 416.82s]  Я эту змею тебе сейчас на шею замотаю.
[416.82s -> 418.82s]  Гангон ты ******.
[418.82s -> 421.82s]  Стул это ваш ребенок.
[421.82s -> 433.10s]  Прям покажите что вот вашу материнскую любовь.
[433.10s -> 435.10s]  Обкакался ничего страшного вытирай.
[435.10s -> 440.05s]  Ой ничего страшного.
[440.05s -> 441.05s]  Так.
[441.05s -> 443.05s]  Мне кажется что у меня остались чувства к стулу.
[443.05s -> 445.05s]  На самом деле не хотел об этом говорить.
[445.05s -> 448.05s]  Но да на самом деле стул меня зацепил.
[448.05s -> 450.05s]  Корми его виноградом.
[450.05s -> 453.05s]  Пихай во все его отверстия.
[455.05s -> 457.05s]  На предплечьях белый ворон.
[460.49s -> 462.49s]  Но надо жить без самозванства.
[463.49s -> 464.49s]  Я обнял ее.
[465.49s -> 466.49s]  И рыгнул.
[467.49s -> 470.49s]  Привлечь к себе любовь пространства.
[470.49s -> 473.49s]  Услышать будущего зов.
[475.49s -> 476.49s]  Где я живу?
[476.49s -> 477.49s]  Да.
[477.49s -> 478.49s]  Адрес сказать вам.
[478.49s -> 480.49s]  Было бы хорошо это красивое.
[481.49s -> 483.49s]  Третье парковое.
[483.49s -> 485.49s]  Хорошо запиши пожалуйста.
[486.49s -> 488.49s]  Ко мне зайдете в гости.
[488.49s -> 492.49s]  Слушай да да почему нет.
[492.49s -> 495.49s]  Вот если я бью одной рукой.
[495.49s -> 497.49s]  Ты можешь уйти сюда да.
[497.49s -> 498.49s]  Если я бью этой рукой.
[498.49s -> 499.49s]  Ты можешь уйти сюда да.
[499.49s -> 501.49s]  А если я бью с двух рук.
[501.49s -> 503.49s]  Ты в любую сторону уходишь и я попадаю.
[503.49s -> 504.49s]  Понимаешь?
[504.49s -> 505.49s]  Логично?
[505.49s -> 506.49s]  Логично.
[506.49s -> 508.49s]  Почему Майк Тайсон этого не понимал.
[508.49s -> 509.49s]  Давай.
[509.49s -> 510.49s]  Еще одного.
[510.49s -> 511.49s]  С двух рук.
[511.49s -> 512.49s]  С двух.
[512.49s -> 513.49s]  И головой.
[513.49s -> 514.49s]  В кувырке.
[514.49s -> 515.49s]  В кувырке.
[515.49s -> 516.49s]  В кувырке.
[516.49s -> 517.49s]  Опа молодец.
[518.49s -> 519.49s]  Вон смей.
[519.49s -> 520.49s]  Вон смей.
[520.49s -> 521.49s]  Вон.
[521.49s -> 522.49s]  Лизучок.
[522.49s -> 523.49s]  Лизучок.
[523.49s -> 524.49s]  Лизучок мне.
[524.49s -> 525.49s]  Ага.
[525.49s -> 526.49s]  Покажи мне страсть.
[526.49s -> 527.49s]  Лизучок.
[528.49s -> 529.49s]  Губки.
[529.49s -> 530.49s]  Губки мне, губки.
[530.49s -> 531.49s]  Губки.
[531.49s -> 532.49s]  Давай.
[532.49s -> 536.08s]  И сосемся.
[538.08s -> 540.08s]  Давай трахаться.
[554.08s -> 555.08s]  Ребят.
[555.08s -> 556.08s]  Всем спасибо.
[556.08s -> 557.08s]  Все молодцы.
[557.08s -> 558.08s]  Все раскрылись.
[558.08s -> 566.58s]  Выбор тяжелый, потому что каждый из вас прям уникален.
[566.58s -> 571.58s]  Какая-то там юминка, петелька, крючочек, все нанизывали,
[571.58s -> 574.08s]  все здесь знали, куда, что существовали.
[574.08s -> 578.58s]  Но то, что мы сегодня будем делать, на всех ролей не хватит.
[578.58s -> 581.08s]  Но ни в коем случае не расстраивайтесь.
[581.08s -> 584.58s]  Вы у нас в базе, все записали, еще проекты будут.
[584.58s -> 589.58s]  Сергей, выйди сюда.
[589.58s -> 595.08s]  Молодец, хорошая атмосфера внутри тебя живет.
[595.08s -> 599.58s]  Поэтому остаешься, вставай.
[599.58s -> 601.58s]  Ты утвержден.
[601.58s -> 606.89s]  Змей утвержден.
[606.89s -> 610.89s]  И на вкусненькое, на самое приятное.
[610.89s -> 613.89s]  У нас сегодня одна женская роль, две вообще красавицы.
[613.89s -> 616.89s]  Двух бы забрал, но нужна одна, к сожалению.
[616.89s -> 620.89s]  Лариса, ты сегодня с нами. Поаплодируем.
[620.89s -> 624.89s]  Остальные, ребята, вы молодцы.
[624.89s -> 628.89s]  Пошли отсюда. Все, кто... Все, ребята, вышли.
[628.89s -> 630.89s]  Сюда, вышли.
[653.76s -> 657.76s]  Дорогой, сегодня у нас все по-другому.
[657.76s -> 662.76s]  Сначала десерт, а горячее после душа.
[662.76s -> 665.76s]  Жду, не дождусь.
[665.76s -> 668.76s]  Я сегодня очень голодный.
[685.74s -> 686.74s]  Андрей?
[686.74s -> 694.79s]  Валера.
[694.79s -> 698.79s]  Почему ты здесь? Что ты здесь делаешь? Зачем ты пришел?
[698.79s -> 702.79s]  Не надо тебе кое в чем признаться.
[702.79s -> 706.80s]  Рассказывай.
[709.80s -> 717.34s]  Договори уже.
[717.34s -> 719.34s]  Баба Катя умерла.
[719.34s -> 721.34s]  Как?
[721.34s -> 723.34s]  Она оставила наследство.
[723.34s -> 725.34s]  Так, так, так.
[725.34s -> 727.34s]  Тебе-то нет, Валера.
[727.34s -> 729.34s]  Ну почему?
[729.34s -> 732.34s]  Ведь я же всегда был ее любимым внуком.
[732.34s -> 736.34s]  Любимый внук больше бы время со своей бабушкой проводил,
[736.34s -> 742.34s]  а не со своими телками, новыми на каждый день.
[742.34s -> 744.34s]  Андрей?
[748.34s -> 750.34s]  Алена?
[750.34s -> 754.34s]  Я ничего не понимаю. Что здесь происходит?
[754.34s -> 760.34s]  Мы давно хотели тебе сказать, но ты все время на работе.
[760.34s -> 764.34s]  Как ты смог так со мной поступить?
[764.34s -> 766.34s]  Это же моя жена.
[766.34s -> 769.34s]  Это моя Алена.
[769.34s -> 771.34s]  С моим старшим братом.
[773.34s -> 778.80s]  Да прекратите вы оба.
[778.80s -> 780.80s]  Мне надоело врать.
[780.80s -> 782.80s]  Вот именно.
[782.80s -> 784.80s]  И тебе, Валера, тоже.
[784.80s -> 786.80s]  Что?
[786.80s -> 788.80s]  Я не Алена.
[790.80s -> 792.80s]  Я Кристина.
