[0.00s -> 3.00s]  Здорова! Здорова! Здорова!
[956.75s -> 964.71s]  будет клевать я тоже но просто микро джиг обычно не подводит если есть только он всегда на маленькие
[964.71s -> 973.87s]  резинки ведется а сейчас мы подсоединим плиточку собрали маленькую сковородочку такая будет это
[973.87s -> 987.07s]  можно поджарочку здесь делать либо в пинг-понг играть так берешь ага ага или вот так вот как
[987.07s -> 1001.86s]  корейцы взять держат ракетки вот так и пошел вот это уловку так вот это уловку теплого кто
[1001.86s -> 1016.25s]  патой это значит колбаски для жарки это колбаски к пиву свинина и свинин говядина
[1016.25s -> 1027.45s]  пацанская кухня я считаю салом мясо рулетики колбаски все перемешку жарится мы еще так сейчас
[1027.45s -> 1038.21s]  накроем хотя бы чуть-чуть чтобы жар взрослый берем ножом прям пожаренный кусочек мяса
[1038.21s -> 1052.45s]  салом так ну вы подписчики дорогие как вы думаете что мы будем готовить пока держим
[1052.45s -> 1064.61s]  интригу так подсказку можете увидеть вот на этом соусе ух ты бы что ага снимай водим
[1064.61s -> 1079.01s]  у вас что-то микрофон зацепил у тебя просто фрикцион размахивает знаю знаю знаю завел траву
[1079.01s -> 1092.62s]  что ли нет нет не надо фрикцион подтягивать надо надо ой наверно а где он завел ты видел
[1092.62s -> 1106.72s]  но я слышал я повернулся не рви не рви не рви не рви ну что залазить что иди ты
[1107.28s -> 1117.04s]  чучка лавиль лавильного бляра щуку
[1117.04s -> 1125.76s]  флюрик смотри с ней откусила откусть
[1125.76s -> 1135.84s]  чучка ну такая же как вот там поймал на что на мелкую
[1136.40s -> 1143.24s]  ну уж не на мелко я покрупнее поставит надо за зеленьком
[1143.24s -> 1160.40s]  ладно признаюсь мы хот-доги короче будем готовить сейчас мы на придумываем что-нибудь
[1160.40s -> 1178.41s]  я думаю весело будет ну-ка пошел первый а этот маркачей да там немного на дне
[1182.32s -> 1189.80s]  от рации я сделал павлик п вытаскиваю не резин из рт а теперь в родную стихию давай
[1189.80s -> 1196.84s]  малышка расти и будет большой так я значит себе делаю смотреть широчу так и полосочку
[1196.84s -> 1211.68s]  сильный не будем он острый сырок я себе шандарахну значит опа у меня так порвался это даже
[1211.68s -> 1222.50s]  лучше будет я его сейчас вот так вот так поп сбоку оп другого боку давай морковчись немножечко
[1222.50s -> 1230.18s]  прям чуть-чуть я все сейчас прям все сделаю себе красный лук значит вот этот кривой табак
[1230.18s -> 1241.86s]  сюда вот так вот опа рвется уже булка огурчики так вот сюда опа опа
[1253.22s -> 1275.84s]  но я пока еще сосиску не укусил турба турбировано но на второй ход бак не надо все накладывать
[1275.84s -> 1289.47s]  потому что урод не помещается надо самый лучший выбрать чего хочу просто мощно вкусно вкусно
[1289.47s -> 1299.99s]  купаты самое главное с сосиском хорошие купаты хорошие соусы вот свежий хлеб это самое главное
[1299.99s -> 1317.07s]  что может быть по дугах свежий хлеб хорошие сосиски и вкусный соус бомба один ты что скажешь
[1317.55s -> 1329.03s]  главное что свежий хлеб хорошие сосиски и соус турба ну что вот продолжу разговор то что это
[1329.03s -> 1334.27s]  очень вкусно проголодавшееся выбираешься на берег перекусываешь вот такими хот догами
[1334.27s -> 1339.15s]  ну вот нигде ни на одном фудкорте вы не найдете такие вкусные хот доги а перх да никто такие
[1339.15s -> 1345.95s]  хорошие купаты не будет делать и никто такую душу не вкладывает эти хот доги какую душу вложил я
[1346.03s -> 1349.39s]  поэтому едим и получаем удовольствие
[1349.39s -> 1356.99s]   с нашей рыбалки давай сломится пацаны а я с тобой не буду
[1356.99s -> 1370.35s]  наши подписчики наша братва короче слушать сюда вот этот крутец так не очень-то и круто оказалось
[1370.35s -> 1375.43s]  не на самом деле нам рассказали что здесь есть щука и мы убедились на самом деле щучки вот
[1375.43s -> 1382.75s]  сейчас уже когда солнце ушло за горизонт видно что на тихой водной глади есть всплески хищник гоняет
[1382.75s -> 1392.19s]  мелкую рыбу в один поймал две щучки у нас сегодня одну на микрожиг одну на ваблирок но даже даже
[1392.19s -> 1398.51s]  если вот я сегодня не поймал никто не поймал не вообще поклевок не было мне все равно почему-то
[1398.51s -> 1404.39s]  очень это место понравилось какой-то приятный располагает к себе видно что здесь есть хищник
[1404.39s -> 1410.71s]  видно что здесь есть щука мы сюда приедем обязательно зимой по жерлицам вот так вот
[1410.71s -> 1419.47s]  глазами бегают рассматриваю выдаем уже знаю так меняемся будем зимой здесь ставить жерлицы
[1419.47s -> 1425.19s]  и ловить чуку но я думаю еще по осени может разок если время будет сгоняем сгоняем сгоняем
[1425.19s -> 1430.79s]  место вообще прикольно ну смотришь прям реально такие щучьи места и мы сегодня все воблеры скупали
[1430.79s -> 1439.15s]  с сундуком и блин попробовали вертушки и колебалки и джиги вообще ничего не вот просто сегодня не
[1439.15s -> 1443.99s]  клевый день но мы тоже сами конечно виноват приехали на рыбалку полдвенадцатого на воду
[1443.99s -> 1453.99s]  вышла беда это беда с этим что-то делать вот потом я вот сейчас мая я объелся съел два хот-дога плюс
[1453.99s -> 1461.51s]  сальцушечки накидал пока готовил вот этот по мелочи тоже на сале топил сало для масла для
[1461.51s -> 1467.75s]  жира вот это тоже накидал не могу уже сейчас я прямо приду наверное домой мизимом закормлюсь
[1467.75s -> 1474.03s]  и буду сидеть ждать поклевок спасибо тебе что смотришь нас а если ты еще подписан ты вообще
[1474.03s -> 1478.19s]  капитально красавчик все подпишитесь на нас подписчики наши пенсинские родненькие скажите
[1478.19s -> 1485.03s]  пожалуйста где нам можно половить щуку осенью какие-то речки мы на хапер например хотим есть
[1485.03s -> 1490.31s]  на хапре хорошие места примерно нам напишите где или там в комментариях напишите мы с вами
[1490.31s -> 1496.51s]  свяжемся хотим половить например на хапре потом говорите зимние места нам если вы не хотите в
[1496.51s -> 1502.07s]  комментариях чтобы это все увидели хотя бы напишите там кому-нибудь в личку мы просто зимой будем кататься
[1502.07s -> 1508.95s]  жерльте ставить это для нас очень интересно это для нас очень прикольно да но такая рыбалка
[1508.95s -> 1514.79s]  просто нравится так скучковался казан зажег топишь там пока чик-чарик пельмешки варятся флажочки
[1514.79s -> 1522.03s]  ставят вот напишите напишите и возможно даже знаете как сделаем вот вы напишите мы выберем
[1522.03s -> 1527.75s]  водоем и автора того кто нам подсказал но не автора вот и человек который нам подсказал это
[1527.75s -> 1529.27s]  даем мы возможно с собой возьмем на рыбалку
