[0.30s -> 1.30s]  СМЕХ
[436.87s -> 438.87s]  А Мудио, Мукуту,
[438.87s -> 440.87s]  Пьер, Нарцисс,
[440.87s -> 442.87s]  Денаполи, Десуза
[442.87s -> 444.87s]  целый день
[444.87s -> 446.87s]  лежит на печке.
[446.87s -> 448.87s]  Минутка.
[448.87s -> 450.87s]  Мудио, Мукуту, Пьер, Нарцисс,
[450.87s -> 454.38s]  Десуза.
[454.38s -> 456.38s]  Неужели вы запутались, как пишется
[456.38s -> 458.38s]  ваше имя?
[458.38s -> 460.38s]  Нет. Десуза потом целый день.
[460.38s -> 462.38s]  Десуза потом целый день
[462.38s -> 464.38s]  лежит на печке.
[464.38s -> 466.38s]  В надежде.
[466.38s -> 468.38s]  В надежде.
[468.38s -> 470.38s]  Это не имя собственное.
[470.38s -> 472.38s]  Надежде.
[472.38s -> 474.38s]  Надеется на что.
[474.38s -> 476.38s]  В надежде.
[476.38s -> 478.38s]  Что его позовут
[478.38s -> 480.38s]  на корпоратив.
[480.38s -> 482.38s]  Его позовут
[482.38s -> 484.38s]  позови
[484.38s -> 486.38s]  меня с собой.
[486.38s -> 488.38s]  Да позовет
[488.38s -> 490.38s]  взят
[490.38s -> 492.38s]  на корпоратив
[492.38s -> 494.38s]  за пять тысяч
[494.38s -> 496.38s]  и пюрешку.
[496.38s -> 498.38s]  Я хочу
[498.38s -> 500.38s]  отметить, что я не знаю,
[500.38s -> 502.38s]  кто придумал, но я не лежу
[502.38s -> 504.38s]  каждый день
[504.38s -> 506.38s]  и жду, чтобы меня звали.
[506.38s -> 508.38s]  Верно. Это сказка.
[508.38s -> 510.38s]  Но сказка, я понимаю,
[510.38s -> 512.38s]  что он должен немножко быть правильным.
[512.38s -> 514.38s]  А давайте дойдем
[514.38s -> 516.38s]  до ее окончания и посмотрим.
[516.38s -> 518.38s]  Посмотрим.
[518.38s -> 520.38s]  Я не знаю.
[520.38s -> 522.38s]  Да.
[522.38s -> 524.38s]  Позовут на корпоратив
[524.38s -> 526.38s]  за пять тысяч и пюрешку
[526.38s -> 528.38s]  и поет он свой хит
[528.38s -> 530.38s]  двадцатилетней давности.
[530.38s -> 532.38s]  Конец предложения.
[534.38s -> 536.38s]  Вы же журналист, вы же пишущая
[536.38s -> 538.38s]  братия. Вам должно это легко даваться?
[538.38s -> 540.38s]  Я говорящий
[540.38s -> 542.38s]  журналист.
[542.38s -> 544.38s]  Прекрасно, когда есть много навыков.
[544.38s -> 546.38s]  И есть прекрасная возможность потренироваться
[546.38s -> 548.38s]  в письме. Вы можете стряхнуть
[548.38s -> 550.38s]  руки, если вы устали. Мы продолжим.
[550.38s -> 552.38s]  Ой, мама.
[552.38s -> 554.38s]  Хотите, я вас научу, как в российских школах
[554.38s -> 556.38s]  делают, когда дети устают? Повторяйте
[556.38s -> 558.38s]  за мной. Мы писали.
[558.38s -> 560.38s]  Мы писали.
[560.38s -> 562.38s]  Наши пальчики
[562.38s -> 564.38s]  устали.
[564.38s -> 566.38s]  Мы немножко
[566.38s -> 568.38s]  отдохнем.
[568.38s -> 570.38s]  Мы немножко отдохнем,
[570.38s -> 572.38s]  выпьем самогон.
[572.38s -> 574.38s]  А нет,
[574.38s -> 576.38s]  видите ли, школьники
[576.38s -> 578.38s]  как бы не пьют.
[578.38s -> 580.38s]  И пока что говорят так.
[580.38s -> 582.38s]  И опять писать
[582.38s -> 584.38s]  начнем.
[584.38s -> 586.38s]  И опять писать
[586.38s -> 588.38s]  начнем.
[588.38s -> 590.38s]  Получше?
[590.38s -> 592.38s]  Получше. Ну, что-то с вами
[592.38s -> 594.38s]  не страшно. А мне сказали,
[594.38s -> 596.38s]  что с вами это просто огонь.
[596.38s -> 598.38s]  Я вообще не спал ночью вообще.
[598.38s -> 600.38s]  Да что вы. Да.
[600.38s -> 602.38s]  Я плакал всю ночь.
[602.38s -> 604.38s]  Когда мне сказали,
[604.38s -> 606.38s]  не дай бог она.
[606.38s -> 608.38s]  Я говорю, ну что мне делать? Мне же надо
[608.38s -> 610.38s]  хотя бы двойка получить.
[612.38s -> 614.38s]  Ну что вы, я педагог.
[614.38s -> 616.38s]  Строгий, но справедливый.
[616.38s -> 618.38s]  Не выдержали братья
[618.38s -> 620.38s]  и стали говорить ему,
[620.38s -> 622.38s]  чтобы он встал с печи
[622.38s -> 624.38s]  и начал помогать
[624.38s -> 626.38s]  семье.
[626.38s -> 628.38s]  На что Пьер ответил.
[628.38s -> 630.38s]  Обзац
[630.38s -> 632.38s]  и с новой строки.
[632.38s -> 634.38s]  Прямая речь. То есть слова.
[634.38s -> 636.38s]  Да. Еще одно
[636.38s -> 638.38s]  слово.
[638.38s -> 640.38s]  И я снесу вам хлебала
[640.38s -> 642.38s]  как Валдесу Пельшу.
[644.38s -> 646.38s]  Я хочу сказать
[646.38s -> 648.38s]  по Валдесу Пельшу,
[648.38s -> 650.38s]  что
[650.38s -> 652.38s]  я вообще не дрался с детства.
[652.38s -> 654.38s]  И когда
[654.38s -> 656.38s]  мы вышли на ринге,
[656.38s -> 658.38s]  они все видели,
[658.38s -> 660.38s]  что я был очень спокойный.
[660.38s -> 662.38s]  А у меня был манер
[662.38s -> 664.38s]  Алан Майк Тайзон.
[664.38s -> 666.38s]  Кстати, у меня был тренер Костя Дзю.
[666.38s -> 668.38s]  Он мне сказал, просто постоянно
[668.38s -> 670.38s]  кидает лево-лево.
[670.38s -> 672.38s]  И я так спокойно, но я видел
[672.38s -> 674.38s]  в глаза Пельш.
[674.38s -> 676.38s]  Он хотел меня убить.
[676.38s -> 678.38s]  Я видел, как он был злой,
[678.38s -> 680.38s]  настроенный.
[680.38s -> 682.38s]  И я спокойно.
[682.38s -> 684.38s]  Я не думал, что там надо убить конкретно.
[684.38s -> 686.38s]  И он мне попал прямой.
[686.38s -> 688.38s]  Я видел
[688.38s -> 690.38s]  моя бабушка.
[690.38s -> 692.38s]  Моя прабабушка, про которую я не знал
[692.38s -> 694.38s]  в жизни. Я и видел.
[694.38s -> 696.38s]  И я сказал
[696.38s -> 698.38s]  себе, или ты меня убьешь,
[698.38s -> 700.38s]  или убью тебя.
[700.38s -> 702.38s]  Я пошел в атаку. Раз,
[702.38s -> 704.38s]  раз.
[704.38s -> 706.38s]  Накануне. Все, больница.
[706.38s -> 708.38s]  Нельзя.
[708.38s -> 710.38s]  Я по-доброму.
[710.38s -> 712.38s]  А он хотел меня убить. Я видел
[712.38s -> 714.38s]  в глаза.
[714.38s -> 716.38s]  И все-таки, Пьер, опасный вы человек.
[716.38s -> 718.38s]  Я не опасный.
[718.38s -> 720.38s]  Я многограный человек.
[720.38s -> 722.38s]  Мы вернемся к вашей
[722.38s -> 724.38s]  многоградности. Значит, диктант
[724.38s -> 726.38s]  по русскому языку. Да, Пельшу.
[726.38s -> 728.38s]  Не такое страшное будет для вас
[728.38s -> 730.38s]  испытание. Нет.
[730.38s -> 732.38s]  Продолжим? Да.
[732.38s -> 734.38s]  Итак, я прочитаю начало
[734.38s -> 736.38s]  предложения, с чего мы начали.
[736.38s -> 738.38s]  Еще одно слово, и я снесу
[738.38s -> 740.38s]  вам хлебала.
[740.38s -> 742.38s]  А далее.
[742.38s -> 744.38s]  Грозно.
[744.38s -> 746.38s]  Сказал Пьер.
[746.38s -> 748.38s]  И продолжил делать
[748.38s -> 750.38s]  амулет из клыков.
[750.38s -> 752.38s]  Обзац.
[752.38s -> 754.38s]  Новое предложение.
[754.38s -> 756.38s]  Прямая речь.
[756.38s -> 758.38s]  Пьерушка.
[758.38s -> 760.38s]  Шоколадный ты мой.
[760.38s -> 762.38s]  Кстати, я шоколадный
[762.38s -> 764.38s]  заяц. Я ласкавый мерзавец.
[764.38s -> 766.38s]  Я сладкий насесток.
[766.38s -> 768.38s]  О, о, о.
[768.38s -> 770.38s]  Ну вот.
[770.38s -> 772.38s]  Это хорошо.
[772.38s -> 774.38s]  Не хватает уже воздуха.
[774.38s -> 776.38s]  Не проще.
[776.38s -> 778.38s]  Погодите. Мы с вами сначала закончим
[778.38s -> 780.38s]  дело, а потом споем.
[780.38s -> 782.38s]  Собственно, как говорил Пушкин,
[782.38s -> 784.38s]  он ведь сначала писал свои произведения,
[784.38s -> 786.38s]  а потом уже веселился на баллах.
[786.38s -> 788.38s]  Последумываю примеру.
[788.38s -> 790.38s]  Да.
[790.38s -> 792.38s]  Я не знаю.
[792.38s -> 794.38s]  Я не знаю.
[794.38s -> 796.38s]  Я не знаю.
[796.38s -> 798.38s]  Да.
[798.38s -> 800.38s]  Шоколадный ты мой.
[800.38s -> 802.38s]  Шоколадный ты мой.
[802.38s -> 804.38s]  Сходи на речку
[804.38s -> 806.38s]  и принеси пару ведр воды.
[806.38s -> 808.38s]  Ты же мой самый
[808.38s -> 810.38s]  сладкий
[810.38s -> 812.38s]  внучок.
[812.38s -> 814.38s]  Нежно промолвила бабушка.
[814.38s -> 816.38s]  А насколько я сладкий?
[816.38s -> 818.38s]  Спросил Пьер.
[818.38s -> 820.38s]  Прямая речь.
[820.38s -> 822.38s]  Ты сладкий на все сто.
[822.38s -> 824.38s]  Конец предложения.
[824.38s -> 826.38s]  Следующий
[826.38s -> 828.38s]  абзац.
[828.38s -> 830.38s]  Прямая речь.
[830.38s -> 832.38s]  О-о-о.
[832.38s -> 834.38s]  Радостно пропел Пьер
[834.38s -> 836.38s]  и побежал
[836.38s -> 838.38s]  на речку за водой.
[838.38s -> 840.38s]  Бегал он
[840.38s -> 842.38s]  очень быстро.
[842.38s -> 844.38s]  Мы что, пишем мемуар?
[844.38s -> 846.38s]  Мы пишем
[846.38s -> 848.38s]  с вами сказку.
[848.38s -> 850.38s]  У меня уже кипит.
[850.38s -> 852.38s]  Это ж хорошо.
[852.38s -> 854.38s]  Смотри, Цепьер, это говорит о чем?
[854.38s -> 856.38s]  Есть чему кипеть?
[856.38s -> 858.38s]  Да.
[858.38s -> 860.38s]  Конечно, там
[860.38s -> 862.38s]  не кефир.
[862.38s -> 864.38s]  Ну, так дальше интереснее.
[864.38s -> 866.38s]  Поехали.
[866.38s -> 868.38s]  На речку
[868.38s -> 870.38s]  за водой, да.
[870.38s -> 872.38s]  Бегал он очень быстро.
[872.38s -> 874.38s]  Бегает.
[874.38s -> 876.38s]  Бегает.
[876.38s -> 878.38s]  Бегал он очень быстро.
[878.38s -> 880.38s]  Ставил всевозможные
[880.38s -> 882.38s]  рекорды.
[882.38s -> 884.38s]  И быстрее, чем он был,
[884.38s -> 886.38s]  были
[886.38s -> 888.38s]  только волки
[888.38s -> 890.38s]  и карьера и ракли
[890.38s -> 892.38s]  Перцхалавы.
[892.38s -> 894.38s]  Кстати, мой друг.
[894.38s -> 896.38s]  Но я не могу сказать, что
[896.38s -> 898.38s]  он круче, чем я.
[898.38s -> 900.38s]  Но поскольку мы дружим, ну да, пусть так будет.
[900.38s -> 902.38s]  Пусть так будет.
[902.38s -> 904.38s]  Но у меня даже есть видео, где
[904.38s -> 906.38s]  его дети поют мои песни
[906.38s -> 908.38s]  на самолете. Он сам меня отправляет.
[908.38s -> 910.38s]  Понимаете, это значит, что
[910.38s -> 912.38s]  мои песни круче,
[912.38s -> 914.38s]  чем его песни Вову Чумата,
[914.38s -> 916.38s]  Лондон, Париж.
[916.38s -> 918.38s]  А шоколад не знает. Вы знаете, что мне
[918.38s -> 920.38s]  сказал Максим Фадеев? Фадеев сказал,
[920.38s -> 922.38s]  когда он писал эту песню,
[922.38s -> 924.38s]  честно, это был как магитоиск.
[924.38s -> 926.38s]  Меня позвали за кулиссы.
[926.38s -> 928.38s]  И он мне говорит, это песня.
[928.38s -> 930.38s]  И твои внуки будут спеть ее.
[930.38s -> 932.38s]  Это будет бомба. Даже если ты не
[932.38s -> 934.38s]  первый на фабрике, ты будешь один из
[934.38s -> 936.38s]  первых на всю жизнь.
[936.38s -> 938.38s]  С новой строки.
[938.38s -> 940.38s]  Добежал он до речки,
[940.38s -> 942.38s]  прорубил лед,
[942.38s -> 944.38s]  поставил
[944.38s -> 946.38s]  ведра,
[946.38s -> 948.38s]  а сам глядит в прорубь
[948.38s -> 950.38s]  и не верит своим
[950.38s -> 952.38s]  глазам.
[952.38s -> 954.38s]  В воде плавает
[954.38s -> 956.38s]  чудо рыба,
[956.38s -> 958.38s]  у которой
[958.38s -> 960.38s]  туловище щуки
[960.38s -> 962.38s]  в
[962.38s -> 964.38s]  голова Макса Фадеева.
[966.38s -> 968.38s]  Вдруг щука
[968.38s -> 970.38s]  говорит ему
[970.38s -> 972.38s]  человечьим голосом.
[972.38s -> 974.38s]  Далее с новой строки
[974.38s -> 976.38s]  прямая речь.
[976.38s -> 978.38s]  Пьер, дружище,
[978.38s -> 980.38s]  не убивай меня.
[980.38s -> 982.38s]  Пьер, дружище,
[982.38s -> 984.38s]  не убивай меня.
[984.38s -> 986.38s]  Пьер, дружище,
[986.38s -> 988.38s]  дружище,
[988.38s -> 990.38s]  дружище,
[990.38s -> 992.38s]  не убивай меня.
[992.38s -> 994.38s]  Я могу исполнить
[994.38s -> 996.38s]  любое твоё
[996.38s -> 998.38s]  желание.
[998.38s -> 1000.38s]  Уверен?
[1000.38s -> 1002.38s]  Не уверена, но вам виднее, что
[1002.38s -> 1004.38s]  говорит щука с головы Макса Фадеева.
[1004.38s -> 1006.38s]  Любое твоё
[1006.38s -> 1008.38s]  желание.
[1012.38s -> 1014.38s]  Ты можешь быть
[1014.38s -> 1016.38s]  бесконечно богатым,
[1016.38s -> 1018.38s]  помогать больным детям
[1018.38s -> 1020.38s]  или строить
[1020.38s -> 1022.38s]  города в Африке.
[1022.38s -> 1024.38s]  Держитесь, Пьер,
[1024.38s -> 1026.38s]  не так много осталось.
[1026.38s -> 1028.38s]  Я просто голодный уже.
[1032.38s -> 1034.38s]  Господи, хорошо, что я не съедобная.
[1034.38s -> 1036.38s]  Ты можешь быть
[1036.38s -> 1038.38s]  бесконечно богатым, помогать
[1038.38s -> 1040.38s]  больным детям.
[1040.38s -> 1042.38s]  Вы понимаете, что я сам читаю то, что я пишу.
[1042.38s -> 1044.38s]  И так нет ошибки.
[1044.38s -> 1046.38s]  Я всё читаю правильно.
[1046.38s -> 1048.38s]  А когда вы будете читать, это будет везде ошибки.
[1048.38s -> 1050.38s]  А я что?
[1050.38s -> 1052.38s]  Я понимаю всё то, что я пишу.
[1052.38s -> 1054.38s]  Ну подождите, Пьер, оставьте мне это счастье
[1054.38s -> 1056.38s]  увидеть ваше творение целиком.
[1056.38s -> 1058.38s]  Мне даже
[1058.38s -> 1060.38s]  страшно отдавать всё то,
[1060.38s -> 1062.38s]  что я пишу.
[1062.38s -> 1064.38s]  Подождите, полработы не оценивают.
[1064.38s -> 1066.38s]  Я хочу
[1066.38s -> 1068.38s]  фит с каньевестом.
[1068.38s -> 1070.38s]  Сказал Модио,
[1070.38s -> 1072.38s]  Макутту,
[1072.38s -> 1074.38s]  Пьер,
[1074.38s -> 1076.38s]  Нарцисс,
[1076.38s -> 1078.38s]  Денаполи,
[1078.38s -> 1080.38s]  Десуза. С новой строки
[1080.38s -> 1082.38s]  прямая речь.
[1082.38s -> 1084.38s]  Нет, ты не понял.
[1084.38s -> 1086.38s]  Нет.
[1086.38s -> 1088.38s]  Ты не понял.
[1088.38s -> 1090.38s]  Ты можешь попросить
[1090.38s -> 1092.38s]  суперспособность.
[1092.38s -> 1094.38s]  Или даже
[1094.38s -> 1096.38s]  бесконечную жизнь.
[1096.38s -> 1098.38s]  Виляя хвостом,
[1098.38s -> 1100.38s]  говорил
[1100.38s -> 1102.38s]  Макс Фадеев.
[1102.38s -> 1104.38s]  Я выбираю суперспособность.
[1104.38s -> 1106.38s]  Я хочу
[1106.38s -> 1108.38s]  научиться придумывать
[1108.38s -> 1110.38s]  два хита
[1110.38s -> 1112.38s]  за всю жизнь.
[1112.38s -> 1114.38s]  Конец предложения.
[1114.38s -> 1116.38s]  С новой строки
[1116.38s -> 1118.38s]  прямая речь. Извини,
[1118.38s -> 1120.38s]  ласковый мерзавец.
[1120.38s -> 1122.38s]  Бесконечная жизнь
[1122.38s -> 1124.38s]  и суперспособности
[1124.38s -> 1126.38s]  возможны. Но два хита
[1126.38s -> 1128.38s]  от Пьера Нарциса
[1128.38s -> 1130.38s]  это уже перебор.
[1130.38s -> 1132.38s]  Не, не согласен.
[1132.38s -> 1134.38s]  Расстрелся
[1134.38s -> 1136.38s]  Пьер и начал
[1136.38s -> 1138.38s]  думать, что же такого
[1138.38s -> 1140.38s]  попросить,
[1140.38s -> 1142.38s]  чтобы была спокойна
[1142.38s -> 1144.38s]  его душа.
[1144.38s -> 1146.38s]  Обратился он к своим
[1146.38s -> 1148.38s]  братьям.
[1148.38s -> 1150.38s]  Никите Джигурде
[1150.38s -> 1152.38s]  и Прохору Шаляпину.
[1152.38s -> 1154.38s]  Точно они?
[1154.38s -> 1156.38s]  Да, брат.
[1156.38s -> 1158.38s]  Кита
[1158.38s -> 1162.33s]  Это проще, чем перцхалава.
[1162.33s -> 1164.33s]  Да.
[1164.33s -> 1166.33s]  С новой строки
[1166.33s -> 1168.33s]  прямая речь.
[1168.33s -> 1170.33s]  Попроси мир,
[1170.33s -> 1172.33s]  где существуют
[1172.33s -> 1174.33s]  только богатые
[1174.33s -> 1176.33s]  бабушки.
[1176.33s -> 1178.33s]  Водушевленно предложил
[1178.33s -> 1180.33s]  Прохор. Нет, ты должен
[1180.33s -> 1182.33s]  попросить видео
[1182.33s -> 1184.33s]  с рода всех девушек мира
[1184.33s -> 1186.33s]  возбужденно
[1186.33s -> 1188.33s]  про орал Джигурда.
[1188.33s -> 1190.33s]  Конец предложения.
[1190.33s -> 1192.33s]  С новой строки.
[1192.33s -> 1194.33s]  Послушал
[1194.33s -> 1196.33s]  Пьер своих братьев
[1196.33s -> 1198.33s]  и стали они
[1198.33s -> 1200.33s]  жить в мире,
[1200.33s -> 1202.33s]  где 24 часа
[1202.33s -> 1204.33s]  в сутки
[1204.33s -> 1206.33s]  рожают богатые
[1206.33s -> 1208.33s]  бабушки.
[1208.33s -> 1210.33s]  Их снимают на камеру,
[1210.33s -> 1212.33s]  а Пьер Нарцис
[1212.33s -> 1214.33s]  читает рэп
[1214.33s -> 1216.33s]  с Канье Вестом.
[1216.33s -> 1218.33s]  Я не поняла,
[1218.33s -> 1220.33s]  но звучит красиво.
[1220.33s -> 1222.33s]  Я тоже не поняла,
[1222.33s -> 1224.33s]  что вы мне читаете.
[1224.33s -> 1226.33s]  Я думаю,
[1226.33s -> 1228.33s]  Пьер, что вы ждали
[1228.33s -> 1230.33s]  этого момента.
[1230.33s -> 1232.33s]  Какой?
[1232.33s -> 1234.33s]  Мы дописали весь текст.
[1234.33s -> 1236.33s]  Вы знаете,
[1236.33s -> 1238.33s]  я не понимаю,
[1238.33s -> 1240.33s]  что вы мне читаете.
[1240.33s -> 1242.33s]  Я думаю,
[1242.33s -> 1244.33s]  Пьер, что вы ждали
[1244.33s -> 1246.33s]  весь текст.
[1246.33s -> 1248.33s]  Вы знаете,
[1248.33s -> 1250.33s]  можно я скажу правду?
