[0.00s -> 2.00s]  Это во-первых.
[480.41s -> 481.41s]  У него нереальный дом.
[481.41s -> 483.41s]  Думаю, Нотейл точно.
[483.41s -> 484.41s]  Да.
[484.41s -> 486.41s]  Следующий вопрос не менее интересный, ребят.
[486.41s -> 490.41s]  Кто из киберспортсменов по Counter-Strike заработал больше
[490.41s -> 491.41s]  всего призовых на сегодняшний день?
[491.41s -> 492.41s]  Депри.
[492.41s -> 493.41s]  Я смотрел, да.
[493.41s -> 494.41s]  Нет.
[494.41s -> 495.41s]  Подожди.
[495.41s -> 496.41s]  Нави.
[496.41s -> 497.41s]  Нави.
[497.41s -> 498.41s]  Ну Нави забрали Grand Slam последний и Мажор.
[498.41s -> 499.41s]  Там вроде не...
[499.41s -> 500.41s]  Ну и плюс...
[500.41s -> 501.41s]  А стикеры считаются?
[501.41s -> 502.41s]  Не, не, не.
[502.41s -> 503.41s]  Не считаются.
[503.41s -> 508.41s]  У Депри, хотя может уже и Нави, но вряд ли.
[508.41s -> 509.41s]  Мне кажется, нет.
[509.41s -> 510.41s]  Они бы не успели посчитать.
[510.41s -> 512.41s]  Так быстро не добавили.
[512.41s -> 514.41s]  Депри был на первом, я помню, я смотрел.
[514.41s -> 515.41s]  Да.
[515.41s -> 516.41s]  А может они Депри?
[516.41s -> 517.41s]  Ну вроде Депри.
[517.41s -> 518.41s]  Ладно.
[518.41s -> 519.41s]  Пусть будет Депри.
[519.41s -> 520.41s]  Пусть будет Депри.
[520.41s -> 521.41s]  Если ты веришь.
[521.41s -> 522.41s]  Я верю.
[522.41s -> 523.41s]  Я не знаю.
[523.41s -> 524.41s]  Я не верю.
[524.41s -> 525.41s]  Посмотри, как он вообще...
[525.41s -> 526.41s]  Он уверенный.
[526.41s -> 527.41s]  Депри.
[527.41s -> 528.41s]  Конечно.
[528.41s -> 529.41s]  Депри.
[529.41s -> 530.41s]  Депри.
[530.41s -> 531.41s]  Сколько они там выигрывали, сколько они налутали.
[531.41s -> 532.41s]  Молодцы.
[532.41s -> 533.41s]  Ну ты запомнил, что именно Депри.
[533.41s -> 534.41s]  Четвертый вопрос, парни.
[534.41s -> 539.29s]  В какой последней профессиональной команде играл Шраут до
[539.29s -> 541.61s]  завершения своей карьеры как профессионального
[541.61s -> 542.61s]  каэсера?
[542.61s -> 543.61s]  Cloud9.
[543.61s -> 544.61s]  Cloud9, по-моему.
[544.61s -> 547.69s]  Просто после Cloud9 он ушел.
[547.69s -> 551.29s]  Мы играли против него, я помню, последний турнир где-то.
[551.29s -> 552.29s]  Перед тем, как он ушел.
[552.29s -> 555.17s]  А он не миксовался с этими?
[555.17s -> 556.97s]  Ну профессиональный же команда.
[556.97s -> 559.57s]  Ну профессиональный они в турнире играли.
[559.57s -> 562.25s]  Помнишь под моликом, под dayreelchall?
[562.25s -> 563.25s]  Summit, Mithic.
[563.25s -> 564.25s]  Ну я не знаю.
[564.25s -> 566.01s]  Это не профессиональный, кажется, команда.
[566.01s -> 567.77s]  Ну как эти турниры играют?
[567.77s -> 570.81s]  Либо Cloud9, либо Mithic, но я думаю тут вряд ли с таким
[570.81s -> 571.81s]  подвохом.
[571.81s -> 574.09s]  Половина времени стекла.
[574.09s -> 577.57s]  Ну давай подумаем.
[577.69s -> 579.81s]  Какая команда считается профессиональной?
[579.81s -> 583.45s]  В какой последней профессиональной команде играл Шраут до завершения
[583.45s -> 585.25s]  своей карьеры как профессионального каэсера?
[585.25s -> 587.25s]  Ну Cloud9 это слишком легкий в ответ Cloud9, потому что он
[587.25s -> 588.25s]  только там и играл.
[588.25s -> 589.25s]  Да.
[591.25s -> 592.25s]  Десять секунд.
[594.25s -> 598.25s]  А точно он играл в этом миксе вообще с Summit?
[598.25s -> 599.25s]  Это ты сказал.
[599.25s -> 600.25s]  Ну он играл.
[600.25s -> 601.25s]  Три, два, один.
[601.25s -> 602.25s]  Ну пусть будет Cloud9.
[602.25s -> 605.25s]  Пусть будет Cloud9, но я думаю, что это вот эти Mithic.
[605.93s -> 607.93s]  Слушай Егора почаще, он правильные вещи говорит.
[607.93s -> 608.93s]  Это Cloud9 действительно.
[608.93s -> 609.93s]  Это был вопрос с ловушкой.
[609.93s -> 611.93s]  Я надеюсь, что вы посыпетесь.
[611.93s -> 612.93s]  Молодец.
[612.93s -> 614.93s]  Я играл просто перед тем, как он завершил, мы играли
[614.93s -> 618.93s]  прям, я помню, Overpass, мы выиграли, и он забил на кэс.
[618.93s -> 619.93s]  Так получается, может нахер от каэса?
[619.93s -> 620.93s]  Давай уже в ЧГК.
[620.93s -> 621.93s]  Смотри, как ты хорошо идешь.
[621.93s -> 626.57s]  Чек, а ты вопрось, сколько раз в польском городе Катавицын
[626.57s -> 628.73s]  проводился мажор по Counter-Strike?
[628.73s -> 629.73s]  Мажор.
[629.73s -> 630.73s]  Минимум три.
[630.73s -> 631.73s]  Не, подожди.
[631.73s -> 632.73s]  Один.
[632.73s -> 633.73s]  Один я точно помню.
[633.73s -> 634.73s]  Какой?
[635.21s -> 636.21s]  Да.
[636.21s -> 637.21s]  Да.
[637.21s -> 638.21s]  2014 год.
[638.21s -> 641.73s]  А потом, по-моему, не было мажора, если честно.
[641.73s -> 642.73s]  По-моему, было.
[642.73s -> 646.97s]  Давай, я был на каждом почти до последних мажора, последний
[646.97s -> 647.97s]  был не в Катавице.
[647.97s -> 649.73s]  Давай я просто вспомню свои медали.
[649.73s -> 650.73s]  В Катавице?
[650.73s -> 651.73s]  Медали в Steam.
[651.73s -> 654.73s]  Ну, Сподок, Сподок, конечно, в Катавице.
[654.73s -> 657.73s]  Напомни-ка мне, что там за город.
[657.73s -> 658.73s]  Катавице.
[658.73s -> 660.73s]  Это стадион круглый.
[660.73s -> 662.73s]  Сподок, стадион, тарелка Сподок.
[662.73s -> 665.73s]  Да, в Steam есть медалька вот с этим кубком.
[665.73s -> 666.73s]  Есть же?
[666.73s -> 667.73s]  2000 ты играл тогда.
[667.73s -> 668.73s]  20 секунд осталось.
[668.73s -> 670.73s]  Короче, по-моему, один, если честно.
[670.73s -> 672.73s]  Я просто не помню, что было.
[672.73s -> 673.73s]  Мне кажется, два.
[673.73s -> 674.73s]  Нет, два.
[674.73s -> 675.73s]  Точно.
[675.73s -> 676.73s]  Энсы мы проиграли.
[676.73s -> 677.73s]  Два.
[677.73s -> 678.73s]  Да, все.
[678.73s -> 679.73s]  Больше не было.
[679.73s -> 680.73s]  Энсы и Virtus.Pro выиграли.
[680.73s -> 681.73s]  Все.
[681.73s -> 683.73s]  Ну, вроде два, да.
[683.73s -> 685.73s]  Ну, время в любом случае.
[685.73s -> 686.73s]  Неправильно.
[686.73s -> 687.73s]  Три, два, один.
[687.73s -> 689.73s]  А теперь правильный ответ.
[689.73s -> 691.73s]  Три раза проводился мейджор в Катавице.
[691.73s -> 692.73s]  Смотрите.
[692.73s -> 693.73s]  Первый был в 14-м году.
[693.73s -> 694.73s]  Выиграли VP.
[694.73s -> 696.73s]  Второй мажор был в 15-м году.
[696.73s -> 697.73s]  Выиграли Fnatic.
[697.73s -> 699.73s]  И третий мажор был в 19-м году.
[699.73s -> 701.73s]  И выиграли Astralis.
[701.73s -> 703.73s]  В 19-м этого Demo Ends.
[703.73s -> 705.73s]  В 15-м что-то я не помню.
[705.73s -> 706.73s]  Ну ладно, ничего страшного.
[706.73s -> 707.73s]  40 тысяч.
[707.73s -> 708.73s]  Могло быть хуже.
[708.73s -> 709.73s]  Ребят, все.
[709.73s -> 710.73s]  40 тысяч.
[710.73s -> 711.73s]  Все хорошо.
[711.73s -> 712.73s]  40 тысяч.
[712.73s -> 713.73s]  Все хорошо.
[713.73s -> 714.73s]  Ребята залутали 40 тысяч.
[714.73s -> 715.73s]  Что?
[715.73s -> 717.73s]  И сейчас будем выяснять, как вы их отвоюете.
[717.73s -> 718.73s]  Погнали.
[718.73s -> 719.73s]  Погнали.
[720.73s -> 727.09s]  Как вы видите, мы очень мощно стоим сейчас.
[727.09s -> 729.09s]  В максимальной киберспортивной позе.
[729.09s -> 730.09s]  Друзья, что?
[730.09s -> 732.09s]  Пришло время разобраться, чей банк.
[732.09s -> 736.09s]  Для этого я приготовила вам кастомки новогодние.
[736.09s -> 737.09s]  В КС очко.
[737.09s -> 738.09s]  Смотрите.
[738.09s -> 739.09s]  Будет три карты.
[739.09s -> 741.09s]  Первая карта винтовки.
[741.09s -> 742.09s]  11 раундов.
[742.09s -> 743.09s]  Вторая карта AWP.
[743.09s -> 744.09s]  11 раундов.
[744.09s -> 745.09s]  Третья карта ножи.
[745.09s -> 746.09s]  8 раундов.
[746.09s -> 747.09s]  Что мы делаем?
[747.09s -> 748.09s]  Мы играем в КС.
[748.09s -> 752.09s]  И мы считаем, суммируем в итоге, количество выигранных.
[752.09s -> 754.09s]  Количество выигранных раундов.
[754.09s -> 755.09s]  Окей.
[755.09s -> 756.09s]  Полностью.
[756.09s -> 757.09s]  Хорошо.
[757.09s -> 758.09s]  На ножах удваивается.
[758.09s -> 760.09s]  Так что всегда есть шанс комбечнуть жестко.
[760.09s -> 761.09s]  Готовы?
[761.09s -> 762.09s]  Да.
[762.09s -> 763.09s]  Поехали, получается.
[766.09s -> 768.09s]  Сейчас будет жесткий киберспорт.
[769.09s -> 780.17s]  Все, погнали.
[781.17s -> 782.17s]  Поехали.
[782.17s -> 783.17s]  Егор, без смазки.
[793.79s -> 796.79s]  Егорович, не убивай меня сильно.
[800.06s -> 801.06s]  Это что получается?
[801.06s -> 803.06s]  Прямо сейчас у нас Na'Vi и Gambit играют.
[804.06s -> 805.06s]  По 3.
[806.06s -> 807.06s]  Вот так вот.
[808.06s -> 809.06s]  Сближение.
[813.06s -> 816.06s]  Ладно, я буду еще потом на ножах отыгрываться.
[819.06s -> 821.06s]  Меня смущают эти елочки.
[822.06s -> 823.06s]  Тебя смущают?
[823.06s -> 824.06s]  Меня карта смущает.
[826.06s -> 828.06s]  Это слишком 10 на 10, что ли?
[829.06s -> 831.06s]  Да я из-за елочки тебя не вижу.
[833.06s -> 835.06s]  Это праздничная карта, новогодняя.
[836.06s -> 838.06s]  Нет, нормально, но она какая-то очень длинная.
[839.06s -> 841.89s]  Сюда.
[842.89s -> 848.02s]  Не понял.
[849.02s -> 855.68s]  Ну ничего.
[855.68s -> 856.68s]  Один отыграл?
[856.68s -> 857.68s]  Да.
[861.70s -> 862.70s]  Ты что, в форме, да?
[863.70s -> 866.70s]  Братан, в последний раз знаешь, когда я играл?
[866.70s -> 867.70s]  Когда?
[867.70s -> 868.70s]  Когда мы играли Gambit.
[869.70s -> 870.70s]  Шоум матч.
[871.70s -> 872.70s]  Как это недавно.
[872.70s -> 874.70s]  Ты разрешение менял?
[874.70s -> 875.70s]  Нет.
[875.70s -> 876.70s]  А монитор двигал?
[876.70s -> 878.70s]  Нет, я вообще ничего не вижу, если честно.
[879.70s -> 881.70s]  Я сижу очень близко обычно.
[888.85s -> 890.85s]  Ну ладно, ну шо такое.
[891.85s -> 892.85s]  Получено достижение.
[892.85s -> 894.85s]  50 тысяч долларов в военной облигации.
[902.13s -> 903.13s]  Че, отец?
[904.13s -> 905.13s]  Сосу.
[905.13s -> 906.13s]  Вижу.
[907.13s -> 908.13s]  Отлично справляешься.
[909.13s -> 910.13s]  Да.
[910.13s -> 914.13s]  Смотри, Миш, еще есть AWP, есть ножи, где X2.
[914.13s -> 915.13s]  Я ножи вообще не умею играть.
[916.13s -> 918.13s]  Первую карту мы сыграли, счет 8-3.
[918.13s -> 919.13s]  Флейми пока ведет.
[919.13s -> 921.13s]  Идем на вторую карту, получается.
[927.23s -> 928.23s]  Смотри, как праздничная.
[929.23s -> 931.23s]  Флеймик к нам приходит.
[932.23s -> 934.23s]  Флеймик к нам приходит.
[940.70s -> 942.70s]  Флеймик к нам приходит.
[944.70s -> 946.70s]  Че ты меня видишь-то, как там?
[946.70s -> 947.70s]  Без елок.
[947.70s -> 948.70s]  Я тебя вообще не видел.
[949.70s -> 950.70s]  Ну ты сам спрыгнул.
[951.70s -> 953.70s]  То есть елки это твой криптонит?
[953.70s -> 954.70s]  Да.
[959.38s -> 962.38s]  Что там под елочкой, под подавечек не принесли в виде DOS'а?
[964.38s -> 966.38s]  Че, в елке что ли сидишь?
[969.08s -> 970.08s]  Да ну.
[970.08s -> 971.08s]  Вот, получается 2-0.
[981.58s -> 983.58s]  Меня переключила елка.
[983.58s -> 984.58s]  Вот так вот вот.
[985.58s -> 986.58s]  Я че-то вообще не понял.
[988.58s -> 991.60s]  Я потерялся, Миш.
[991.60s -> 992.60s]  Я понимаю.
[994.60s -> 995.60s]  Че-то мне уже страшно.
[997.60s -> 998.60s]  Ну да, ладно.
[999.60s -> 1001.60s]  Но я не был на респее, я не крысил.
[1004.60s -> 1005.60s]  Я обходил, правда.
[1005.60s -> 1006.60s]  3-1.
[1006.60s -> 1009.60s]  Ну либо DOS'е на ножах в соленого тебя сделает, я не знаю.
[1009.60s -> 1013.60s]  Ну я вообще не понимаю, что происходит здесь.
[1014.60s -> 1015.60s]  Мужка приятная.
[1016.60s -> 1017.60s]  Большая.
[1017.60s -> 1018.60s]  Большая.
[1019.60s -> 1021.60s]  DOS, набери его в команду стопудово.
[1021.60s -> 1024.60s]  Короче, Новый год это не мой праздник, я понял.
[1025.60s -> 1027.60s]  Ну, 40 тысяч рублей у нас призовой все равно.
[1028.60s -> 1030.60s]  Ну когда-то это возможно и было.
[1031.60s -> 1032.60s]  Ты с читом играешь, да?
[1032.60s -> 1033.60s]  Да.
[1034.60s -> 1036.60s]  Почему я в тебя стреляю и не попадаю?
[1037.60s -> 1040.62s]  Шикардос.
[1040.62s -> 1041.62s]  6-1.
[1047.51s -> 1048.51s]  Давай.
[1062.93s -> 1063.93s]  Три стрелка.
[1064.93s -> 1065.93s]  6-2.
[1065.93s -> 1068.93s]  8 сыграли, осталось 3.
[1070.93s -> 1072.93s]  7-2, осталось два раунда.
[1073.93s -> 1082.01s]  На то и расчет, мы очень старались создать праздничную атмосферу.
[1082.01s -> 1083.01s]  Остался один раунд.
[1083.01s -> 1084.01s]  Последний раунд, да?
[1084.01s -> 1085.01s]  Да.
[1085.01s -> 1086.01s]  Файнал раунд.
[1087.01s -> 1088.01s]  Его, его.
[1089.01s -> 1090.01s]  Флэйми.
[1103.71s -> 1104.71s]  В лицо спрятался, да?
[1104.71s -> 1109.71s]  Вторая карта заканчивается счетом 7-4, мы переходим к третьей карте ножи.
[1110.71s -> 1112.71s]  Играем 8 раундов, все очки удваиваются.
[1113.71s -> 1119.86s]  Так.
[1120.86s -> 1121.86s]  Курица, он бегает.
[1122.86s -> 1124.86s]  Вот это я люблю, вот это мои пассажирчики.
[1125.86s -> 1126.86s]  Раз.
[1127.86s -> 1128.86s]  Тренировочный.
[1129.86s -> 1130.86s]  Видел, Флэйма?
[1131.86s -> 1132.86s]  Раз.
[1135.86s -> 1136.86s]  Егорыч, получается шанс есть.
[1137.86s -> 1138.86s]  Пока хороший.
