[0.50s -> 10.50s]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[152.19s -> 155.19s]  Я просто, честно слово, думал до передачи, можно ли на ты обращаться?
[155.19s -> 156.19s]  Да можно, слушай.
[156.19s -> 157.19s]  Мне не позволяет. Анастасия.
[157.19s -> 158.19s]  Тебе можно все.
[158.19s -> 159.19s]  Ты, ты, ты, фу, нормально, можно.
[159.19s -> 160.19s]  Мне можно все.
[160.19s -> 161.19s]  Ты знаешь, да.
[162.19s -> 163.19s]  Я просто.
[168.40s -> 169.40s]  Невероятное спасибо.
[169.40s -> 170.40s]  Невероятное спасибо.
[170.40s -> 173.40s]  Тысячу преферансов за то, что к нам пришли на наше шоу.
[173.40s -> 174.40s]  Оно действительно легендарное.
[174.40s -> 175.40s]  Я уверен, что должно вам понравиться.
[175.40s -> 180.40s]  Вы принесли к нам некое количество лотов, вещей, которые действительно вам дороги.
[180.40s -> 181.40s]  Правильно я понимаю?
[181.40s -> 182.40s]  Конечно.
[182.40s -> 185.40s]  Ну конечно я принесла те вещи, которые мне дороги.
[185.40s -> 188.40s]  Я потом скажу, какой из этих лотов особенно дорог.
[188.40s -> 190.40s]  И знаете, почему я их принесла?
[190.40s -> 196.40s]  Если бы мне ваши редакторы и люди сказали, что люди будут деньги там тратить, все,
[196.40s -> 198.40s]  я бы никогда в жизни не согласилась вообще на участие этой программы.
[198.40s -> 199.40s]  Когда я узнала.
[199.40s -> 201.40s]  Потому что, понимаете, сейчас время серьезное.
[201.40s -> 202.40s]  И оно очень сложное.
[202.40s -> 204.40s]  И не все в этой жизни измеряется деньгами.
[204.40s -> 205.40s]  Вот я в свою очередь.
[205.40s -> 206.40s]  Вы знаете.
[206.40s -> 208.40s]  Мы такого же мнения, Анастасия.
[208.40s -> 210.40s]  Вы знаете, мои золотые.
[210.40s -> 216.40s]  Я на протяжении 17 лет на все свои концерты и спектакли приглашаю людей.
[216.40s -> 221.40s]  Ну, я не имею на большие театры, но мое творчество именно уже такое независимое.
[221.40s -> 223.40s]  Я приглашаю абсолютно бесплатно.
[223.40s -> 227.40s]  И пусть это будет небольшой шаг с моей стороны, но он очень добрый.
[227.40s -> 228.40s]  Он добрый и светлый.
[228.40s -> 230.40s]  Поэтому я не за деньги.
[230.40s -> 232.40s]  Если там кто-то что-то исполнит.
[232.40s -> 235.40s]  Сейчас время, люди, быть в позитиве.
[235.40s -> 238.40s]  Ну, знаете, не испытывать в своей душе агрессию какую-то.
[238.40s -> 242.40s]  А сейчас очень много людей, согласитесь, которые уже стали агрессивными.
[242.40s -> 245.40s]  Потому что очень много всего достало.
[245.40s -> 247.40s]  Те рамки, в которые нас пытаются поставить.
[247.40s -> 251.40s]  Но если мы будем сами в своей душе эти рамки как-то, знаете,
[251.40s -> 256.40s]  оставлять вот такими картинными и в них вкладывать свое изображение позитива,
[256.40s -> 259.40s]  и его держать в своей душе.
[259.40s -> 261.40s]  Прекрасная метафора, дамы и господа.
[261.40s -> 263.40s]  Только на шоу аукцион.
[263.40s -> 266.40s]  Позитив – это наша сверхзадача.
[266.40s -> 270.40s]  Леди и джентльмены, мы начинаем аукцион!
[281.40s -> 284.03s]  Супер!
[284.03s -> 288.03s]  Анастасия, перед тем, как мы представим наши лоты, которые вы принесли к нам,
[288.03s -> 289.03s]  вопрос такой к вам.
[289.03s -> 294.03s]  Приходилось ли покупать что-то на сайтах, а может быть продавать что-нибудь на сайтах?
[294.03s -> 296.03s]  Что-то, ну, избавляться от чего-то.
[296.03s -> 297.03s]  Либо...
[297.03s -> 300.03s]  Ой, знаешь, я такой доверчивый, открытый человек,
[300.03s -> 305.03s]  что мне ни от чего не приходилось избавляться и отказываться.
[305.03s -> 307.03s]  У меня все или крали, или сбирали.
[307.03s -> 311.03s]  Знаете, ну как-то это было вот так, понимаете.
[311.03s -> 315.03s]  Нет, другое дело, что я делилась многим.
[315.03s -> 316.03s]  Это правда.
[316.03s -> 319.03s]  Вот, а сегодня за эти лоты, друзья,
[319.03s -> 323.03s]  на шоу аукцион нам еще предстоит побороться.
[323.03s -> 325.03s]  Ну что ж, леди и джентльмены, дамы и господа,
[325.03s -> 329.03s]  разрешите представить вам первый лот.
[329.03s -> 331.03s]  О, чу!
[331.03s -> 332.03s]  Что это такое, расскажите, пожалуйста.
[332.03s -> 334.03s]  Это некий автопортрет, открытка?
[334.03s -> 339.03s]  Это открытка с моим автографом и здравствуйте надписью на оборотной стороне.
[339.03s -> 342.03s]  Просто это спектакль, это афиши моего спектакля.
[342.03s -> 346.03s]  На этой открытке балерина в зазеркале цирка с участием детей
[346.03s -> 348.03s]  профессионального коллектива Vortex,
[348.03s -> 350.03s]  девчонок которых я обожаю.
[350.03s -> 354.03s]  И у меня даже, вот я присылала вашим сегодня,
[354.03s -> 357.03s]  у меня даже афиша нестанцованного спектакля,
[357.03s -> 361.03s]  который должен состояться в Санкт-Петербурге 6 апреля.
[361.03s -> 362.03s]  Он еще будет, он предстоит.
[362.03s -> 365.03s]  Ну, не то что предстоит, в любом случае он состоится,
[365.03s -> 367.03s]  но просто когда я так болела за этот спектакль,
[367.03s -> 369.03s]  Санкт-Петербург это мой родной город,
[369.03s -> 372.03s]  и вы представляете, уже веселая реклама на улицах,
[372.03s -> 374.03s]  все, и вдруг раз пандемия, здравствуйте,
[374.03s -> 376.03s]  до свидания, и кино не будет.
[376.03s -> 379.03s]  Но кино это случилось по всем городам Подмосковья,
[379.03s -> 382.03s]  уже за два с половиной года, прости Господи,
[382.03s -> 384.03s]  за два с половиной года,
[384.03s -> 389.03s]  мной и моим коллективом станцовано более 70 проектов этого спектакля.
[389.03s -> 393.03s]  Этот спектакль уже был 70 раз сыгран, правильно понимаю?
[393.03s -> 395.03s]  Вот этот, именно он, правильно?
[395.03s -> 398.03s]  Я не знаю, когда выйдет ваша программа,
[398.03s -> 400.03s]  но вот в момент, когда мы ее записываем,
[400.03s -> 402.03s]  у меня спектакль был, извините, неделю назад,
[402.03s -> 405.03s]  у меня четыре спектакля в месяц, понимаете?
[405.03s -> 407.03s]  Три спектакля в месяц, друзья.
[407.03s -> 411.03s]  Причем, знаете, причем, как я сказал о том, что,
[411.03s -> 414.03s]  нет, я в том, что, Игорь, смотри, я просто сказал о том,
[414.03s -> 418.03s]  что несмотря на то, что я же бесплатно всех зрителей приглашаю,
[418.03s -> 420.03s]  для меня это очень серьезная нагрузка,
[420.03s -> 423.03s]  потому что есть расходная часть, декорация, доставка,
[423.03s -> 426.03s]  монтаж, демонтаж, свет, звук, аренда экрана,
[426.03s -> 428.03s]  у меня же там мода крутая.
[428.03s -> 430.03s]  За счет чего заработок происходит тогда, Анастасия?
[430.03s -> 432.03s]  А у меня нет на этом заработка, просто, понимаете,
[432.03s -> 434.03s]  люди не могут в это поверить.
[434.03s -> 436.03s]  Вы творческий волонтер, получается?
[436.03s -> 439.03s]  Ты знаешь, я тебе скажу, что я не то, что творческий волонтер,
[439.03s -> 442.03s]  я просто человек, которому Бог дал талант и трудолюбие,
[442.03s -> 444.03s]  не спрашивал за это денег, понимаешь?
[444.03s -> 451.03s]  И когда люди, вот, знаете, когда все артисты сели дома на диван,
[451.03s -> 454.03s]  и когда у всех перестали звонить телефоны с тем,
[454.03s -> 457.03s]  чтобы их приглашать на спектакли или концерты,
[457.03s -> 462.03s]  и люди говорили, да у нас там гонорары там по 2 миллиона рублей и так далее,
[462.03s -> 467.03s]  ты знаешь, а я села на диван, но я не курила бамбу, как говорится, да?
[467.03s -> 470.03s]  Я просто подумала о том, что я не могу не танцевать,
[470.03s -> 473.03s]  я не могу не светить для людей, я не могу не встречать вот этих людей.
[473.03s -> 474.03s]  Светить для людей!
[474.03s -> 479.03s]  Ты знаешь, я тебе честно скажу, вот эмоции вот такие,
[479.03s -> 482.03s]  их не купить и не продать за деньги,
[482.03s -> 484.03s]  потому что это нечто такое бесценное,
[484.03s -> 487.03s]  потому что, знаешь, нет, я могу сказать тебе,
[487.03s -> 491.03s]  что вы меня позвали сюда, да, я многословный человек,
[491.03s -> 494.03s]  знаешь, как бы я не истины, которую какие-то прихожу втирать,
[494.03s -> 497.03s]  но я просто к тому, что помимо всего этого,
[497.03s -> 500.03s]  я и поржать над собой умею, но принесла открытку в качестве лота,
[500.03s -> 502.03s]  ну просто, ну не знаю.
[502.03s -> 506.03s]  Итак, дамы и господа, давайте уже этот лот и разыграем.
[506.03s -> 509.03s]  Открытка лично подписана Анастасией Волочковой.
[509.03s -> 513.03s]  Дамы и господа, разрешите продемонстрировать вам наш усложнитель.
[513.03s -> 515.03s]  Пожалуйста, усложнитель в студию.
[515.03s -> 521.03s]  Та-ра-та-та-ра-та-та-та-та! Та-ра-та-та-та-та! Та-ра-та-та-та-ра-та-та-та!
[521.03s -> 524.03s]  Эй! Итак, спасибо большое.
[524.03s -> 526.03s]  Ты какая-то мышеловка у вас.
[526.03s -> 529.03s]  Это вообще, это шоу-бизнес, Анастасия.
[529.03s -> 531.03s]  Для крыс шоу-бизнеса.
[531.03s -> 534.03s]  Это весь шоу-бизнес, алицетворенный вот в этой мышеловке.
[535.03s -> 542.03s]  Друзья, этот предмет уже успел полюбиться всем нашим зрителям за последние пару лет.
[542.03s -> 544.03s]  Это мышеловка.
[544.03s -> 550.03s]  Мышеловка, что мы будем с ней делать, мы сейчас с вами и определим.
[550.03s -> 552.03s]  Итак, у нас их огромное количество.
[552.03s -> 560.03s]  На что вы готовы, друзья, дабы открытка, подписанная лично Анастасией Волочковой, оказалась в ваших руках?
[560.03s -> 562.03s]  Делайте ваши ставки.
[562.03s -> 564.03s]  Номер четырнадцать.
[564.03s -> 568.03s]  Подставить один палец, ушатать его мышеловкой. Прекрасная ставка, хорошая ставка.
[568.03s -> 570.03s]  Нет, зачем, вы что?
[570.03s -> 572.03s]  Мы любим боль.
[572.03s -> 576.03s]  Немножко садамазу номер три, пожалуйста, повышаем ваши ставочки.
[576.03s -> 578.03s]  Номер три, мы во внимание.
[578.03s -> 580.03s]  Я могу сунуть два пальца.
[580.03s -> 590.93s]  Я напомню, что у нас огромное количество мышеловок, поэтому давайте немножко расшифрую.
[590.93s -> 592.93s]  Тогда две мышеловки, два пальца.
[592.93s -> 594.93s]  Я могу тогда десять пальцев.
[594.93s -> 596.93s]  Десять мышеловок, десять пальцев.
[596.93s -> 599.93s]  И каждую, чтобы сработало. Отличная ставка номер четырнадцать.
[599.93s -> 601.93s]  Номер семь.
[601.93s -> 602.93s]  Номер четыре, да?
[602.93s -> 603.93s]  Номер четыре.
[603.93s -> 605.93s]  Прошу прощения. Суну обе руки.
[605.93s -> 608.93s]  И прохожу так до конца аукциона.
[608.93s -> 609.93s]  Всю передачу?
[609.93s -> 610.93s]  Да.
[610.93s -> 612.93s]  Десять пальцев. Десять пальцев.
[612.93s -> 614.93s]  Немножко отчиливаем.
[614.93s -> 619.93s]  Немного членовредительства попахивает, но если вам нравится, то up to you.
[619.93s -> 621.93s]  Номер четыре, прекрасная ставка.
[621.93s -> 624.93s]  Десять пальцев засунуть в мышеловки и просидеть так всю передачу.
[624.93s -> 625.93s]  А это немного не мало.
[625.93s -> 628.93s]  Нет, у вас юмористическое шоу. Я сейчас начну плакать, что-нибудь делать.
[628.93s -> 629.93s]  А мы попрошу вам пипец, когда будем ампутировать.
[629.93s -> 630.93s]  Нет.
[630.93s -> 633.93s]  Пока что у нас максимальная ставка. Десять пальцев, десять пальцев.
[633.93s -> 636.93s]  Ну, я не готов весь аукцион проходить с мышеловками.
[636.93s -> 637.93s]  Нет.
[637.93s -> 641.93s]  Но я готов. Ещё и чтобы, пускай уха.
[641.93s -> 642.93s]  Ещё уха, да?
[642.93s -> 643.93s]  Да.
[643.93s -> 644.93s]  Десять пальцев и уха.
[644.93s -> 646.93s]  Не, вы что, ребят?
[646.93s -> 647.93s]  Неплохо.
[647.93s -> 649.93s]  Не, ну вы что?
[649.93s -> 651.93s]  Друзья, вопрос.
[656.93s -> 660.93s]  Готов пройти по мышеловкам голыми ногами.
[663.93s -> 664.93s]  РАЗ.
[664.93s -> 666.93s]  Пройдись по мышеловкам голыми ногами.
[666.93s -> 667.93s]  Два.
[667.93s -> 670.93s]  На кону вот номер один.
[670.93s -> 673.93s]  Открытка подписана лично Анастасией Волочковой.
[673.93s -> 675.93s]  Продана номером 14.
[675.93s -> 677.93s]  Пройтись по мышеловкам голыми ногами.
[677.93s -> 678.93s]  Три, два, три, три!
[678.93s -> 680.93s]  Бам!
[680.93s -> 682.93s]  Работала. Рабочая.
[682.93s -> 684.93s]  Итак, прошу приступить
[684.93s -> 686.93s]  к выполнению ставки.
[686.93s -> 688.93s]  А я думаю, что Анастасия даже одну из них
[688.93s -> 690.93s]  подпишет специально для
[690.93s -> 692.93s]  номера 14. Я, конечно, подпишу.
[692.93s -> 694.93s]  В этом нет вопросов. Просто я так переживаю.
[694.93s -> 696.93s]  Все нормально. Этот человек специально обученный.
[696.93s -> 700.75s]  Он...
[700.75s -> 702.75s]  Итак, разрешите с вами познакомиться.
[702.75s -> 704.75s]  Как вас зовут? Меня зовут Гасан.
[704.75s -> 706.75s]  Гасан. Итак, скажи, пожалуйста, приходилось ли тебе, Гасан,
[706.75s -> 708.75s]  когда-то, ну, участвовать в таком... Не разу, вот первый раз.
[708.75s -> 710.75s]  Это минное поле. Представь себе, что ты
[710.75s -> 712.75s]  ночью пришел домой.
[712.75s -> 714.75s]  Так. Ну, и нужно аккуратно пройти
[714.75s -> 716.75s]  вот так, чтобы не слышали родственники все.
[716.75s -> 718.75s]  Я готов. Давай...
[718.75s -> 720.75s]  Усложните сделан... Давай ты будешь это с закрытыми глазами делать,
[720.75s -> 722.75s]  чтобы ты не понимал, куда идти.
[722.75s -> 724.75s]  Не, ну такого уговора не было.
[724.75s -> 726.75s]  Так будет просто тупо смешнее,
[726.75s -> 728.75s]  тупо ржачнее, и все. Я попробую,
[728.75s -> 730.75s]  но все равно это будет. Итак, Гасан,
[730.75s -> 732.75s]  прошу приступить к выполнению
[732.75s -> 734.75s]  ставки. Минное поле!
[734.75s -> 736.75s]  Я готов! Поехали!
[736.75s -> 738.75s]  И...
[738.75s -> 740.75s]  Та-та-ра-на! Та-та-ра-на!
[740.75s -> 742.75s]  Пошел, пошел, пошел!
[742.75s -> 744.75s]  Смотри, здесь нужно...
[744.75s -> 746.75s]  Да, не видеть, куда ты идешь,
[746.75s -> 748.75s]  чтобы... О, палец!
[748.75s -> 750.75s]  А-а-а! Ему же зацепило ногу!
[750.75s -> 752.75s]  Хорошо, вот еще, еще, еще!
[752.75s -> 754.75s]  Подождите!
[754.75s -> 756.75s]  Направо, направо, Гасан!
[756.75s -> 758.75s]  Еще направо!
[758.75s -> 760.75s]  Немножко назад! Немножко...
[760.75s -> 762.75s]  Еще направо, Гасан!
[762.75s -> 764.75s]  Зачем вы такое делаете? У него ноги все выцепили.
[764.75s -> 766.75s]  Гасан, все нормально. Представь, что ты мышь.
[766.75s -> 768.75s]  Что ты... Что ты мышь.
[768.75s -> 770.75s]  Аплодисменты, друзья!
[770.75s -> 772.75s]  Гасан, шикарно!
[772.75s -> 774.75s]  Говори в микрофон. Тихо
[774.75s -> 776.75s]  не получается просто ходить, они...
[776.75s -> 778.75s]  Все, нормально? Все хорошо.
[778.75s -> 780.75s]  А-а-а!
[780.75s -> 782.75s]  Дамы и господа,
[782.75s -> 784.75s]  ставка сыграла! Есть!
[784.75s -> 786.75s]  Блот номер один разыгран! Гасан, красавчик!
[786.75s -> 788.75s]  Ваши аплодисменты! Супер гуд!
[788.75s -> 790.75s]  Анастасия, пожалуйста, вручите,
[790.75s -> 792.75s]  вручите с нее. Можем даже...
[792.75s -> 794.75s]  Какой-то у вас не смешной шоу.
[796.75s -> 798.75s]  Дайте нам ручку, пожалуйста.
[798.75s -> 800.75s]  Дай положите сюда.
[800.75s -> 802.75s]  Больно. Нет.
[802.75s -> 804.75s]  Видите?
[804.75s -> 806.75s]  Даже не больно. Мышеловка
[806.75s -> 808.75s]  лично подписана
[808.75s -> 810.75s]  Анастасией Волочковой, достается Гасану.
[810.75s -> 812.75s]  Помимо всего еще
[812.75s -> 814.75s]  открытка. А еще впереди.
[814.75s -> 816.75s]  Сердечко я еще нарисовала. Вот.
[816.75s -> 818.75s]  Немножко размытое. Ну.
[818.75s -> 820.75s]  Очень размытое, дорогому Гасану Анастасию Волочковой.
[820.75s -> 822.75s]  Мышеловку себе? Конечно.
[822.75s -> 824.75s]  Спасибо большое. Аплодисменты!
[824.75s -> 826.75s]  Поэты!
[826.75s -> 828.75s]  Гасан, на самом деле, я вас хочу
[828.75s -> 830.75s]  пригласить на этот спектакль. Это не шутка.
[830.75s -> 832.75s]  У меня в конце января,
[832.75s -> 834.75s]  после моего дня рождения, у меня 20 января
[834.75s -> 836.75s]  день рождения, я вернусь в Мальдив.
[840.75s -> 842.75s]  И у меня будет этот спектакль
[842.75s -> 844.75s]  в одном из подмосковных городов.
[844.75s -> 846.75s]  Скорее всего, это будет Люблено.
[846.75s -> 848.75s]  И я вас буду рада пригласить
[848.75s -> 850.75s]  через редакцию этой программы.
[850.75s -> 852.75s]  Я постараюсь. Спасибо вам большое.
[852.75s -> 854.75s]  Приглашение на спектакль. Красавчик.
[854.75s -> 856.75s]  Поздравляю. Спасибо вам большое. Молодец.
[856.75s -> 858.75s]  Громко, друзья! Ваши аплодисменты.
[870.75s -> 872.75s]  Это шоу-аукцион, друзья.
[872.75s -> 874.75s]  И мы продолжаем.
[874.75s -> 876.75s]  Ну что ж, леди и джентльмены,
[876.75s -> 878.75s]  дамы и господа, разрешите
[878.75s -> 880.75s]  презентовать вам лод под номером
[880.75s -> 882.75s]  два.
[884.75s -> 886.75s]  Анастасия, расскажите,
[886.75s -> 888.75s]  пожалуйста, что это за
[888.75s -> 890.75s]  кто? Нет, ну как-то
[890.75s -> 892.75s]  вы неправильно положили. Неправильно положили,
[892.75s -> 894.75s]  конечно. Он должен сидеть в шпагате.
[894.75s -> 896.75s]  Конечно. Вот.
[896.75s -> 898.75s]  Конечно.
[898.75s -> 900.75s]  Конечно, да.
[900.75s -> 902.75s]  Что?
[902.75s -> 904.75s]  У вас дома
[904.75s -> 906.75s]  все же так передвигаются, правильно?
[906.75s -> 908.75s]  Конечно. У меня и дома, и везде
[908.75s -> 910.75s]  мое все окружение передвигается
[910.75s -> 912.75s]  в шпагате. Я вообще в шпагате
[912.75s -> 914.75s]  живу, все хорошо. Просто мы когда
[914.75s -> 916.75s]  говорили про шпагат, я хотела сказать, что если
[916.75s -> 918.75s]  вот мой друг и партнер
[918.75s -> 920.75s]  Колица Скоридзе
[920.75s -> 922.75s]  говорила, говорит сюда, что он в шпагате
[922.75s -> 924.75s]  родился, то мне этот шпагат достался
[924.75s -> 926.75s]  такими усилиями,
[926.75s -> 928.75s]  вы не представляете. Бедная мать его.
[928.75s -> 930.75s]  Нет, не мать бедная. Бедная я,
[930.75s -> 932.75s]  человек, который растягивал эти ноги
[932.75s -> 934.75s]  Вы растягивали лично Цискоридзе?
[934.75s -> 936.75s]  Да не Цискоридзе, а свои.
[936.75s -> 938.75s]  Свои.
[938.75s -> 940.75s]  Понимаешь? Свои вы прекрасно
[940.75s -> 942.75s]  растянули. Я подумал, что вы Николая тоже растягивать
[942.75s -> 944.75s]  приходили. Поэтому это, знаешь, уже шпагат,
[944.75s -> 946.75s]  это нарисательное имя, шпагат Волочковый.
[946.75s -> 948.75s]  Не просто шпагат, шпагат Волочковый. Знаете, что
[948.75s -> 950.75s]  меня поражает, дорогие мои? Да.
[950.75s -> 952.75s]  Меня поражает тот факт, что, смотрите,
[952.75s -> 954.75s]  вот,
[954.75s -> 956.75s]  на шпагат садятся артисты балета,
[956.75s -> 958.75s]  спортсмены, ну, представители
[958.75s -> 960.75s]  там, бальных танцев,
[960.75s -> 962.75s]  но почему-то
[962.75s -> 964.75s]  все докопались до шпагата
[964.75s -> 966.75s]  Волочковой.
[966.75s -> 968.75s]  Ну, потому что он действительно прекрасный, друзья.
[968.75s -> 970.75s]  Шикарнейший шпагат, и у нас
[970.75s -> 972.75s]  Лон под номером два. Анастасия,
[972.75s -> 974.75s]  расскажите, что это за мягкая игрушка?
[974.75s -> 976.75s]  Откуда досталась? Что у вас, какие
[976.75s -> 978.75s]  чувства с ней связывают? Слушай,
[978.75s -> 980.75s]  на самом деле, эту мягкую
[980.75s -> 982.75s]  игрушку купила
[982.75s -> 984.75s]  моя домработница, домохозяйка
[984.75s -> 986.75s]  Лолочка. Она купила
[986.75s -> 988.75s]  эту игрушку для моей крестницы,
[988.75s -> 990.75s]  Лизочки. Но я
[990.75s -> 992.75s]  узнав, что у вас есть вот такое вот шоу,
[992.75s -> 994.75s]  я надеюсь, что оно не больше связано
[994.75s -> 996.75s]  с этими мышеловками,
[996.75s -> 998.75s]  что это будет повеселее что-то,
[998.75s -> 1000.75s]  я согласилась отдать
[1000.75s -> 1002.75s]  эту игрушку, но, правда, Лолу отправила в
[1002.75s -> 1004.75s]  магазин, чтобы она купила точно такую же.
[1004.75s -> 1006.75s]  Ну, вот здесь первенство, понимаете?
[1006.75s -> 1008.75s]  Но, тем не менее, я правильно
[1008.75s -> 1010.75s]  представляю, что эту игрушку
[1010.75s -> 1012.75s]  видели огромное количество гостей.
[1012.75s -> 1014.75s]  Слушай, никто это
[1014.75s -> 1016.75s]  нет, никто не видел эту игрушку,
[1016.75s -> 1018.75s]  она куплена пару дней назад, я просто знала,
[1018.75s -> 1020.75s]  что сегодня не обойдется без вопроса
[1020.75s -> 1022.75s]  про шпагат Волочковый,
[1022.75s -> 1024.75s]  поэтому я решила, что вот эта игрушка
[1024.75s -> 1026.75s]  подойдет.
[1026.75s -> 1028.75s]  И поэтому
[1028.75s -> 1030.75s]  лот по номерам два
[1030.75s -> 1032.75s]  непосредственно переставляют у нас шпагат
[1032.75s -> 1034.75s]  Анастасии. Итак,
[1034.75s -> 1036.75s]  только не заставляй людей сейчас садиться
[1036.75s -> 1038.75s]  на шпагат, потому что это очень опасно для жизни.
[1038.75s -> 1040.75s]  Почему рассекретили сейчас все?
[1040.75s -> 1042.75s]  Сейчас мы ее узнаем.
[1042.75s -> 1044.75s]  Леди-джентльмены, разрешите
[1044.75s -> 1046.75s]  представить вам нашего замечательного
[1046.75s -> 1048.75s]  повара. Повар как вас зовут?
[1048.75s -> 1050.75s]  Скажите. Михаил.
[1050.75s -> 1052.75s]  Михаил. Друзья, это
[1052.75s -> 1054.75s]  Михаил. Мишленовский
[1054.75s -> 1056.75s]  повар, который готов будет вас сегодня
[1056.75s -> 1058.75s]  накормить неким супом
[1058.75s -> 1060.75s]  пюре. Итак, дамы и господа,
[1060.75s -> 1062.75s]  на выбор у нас есть рыба,
[1062.75s -> 1064.75s]  мясо, соленые огурцы,
[1064.75s -> 1066.75s]  сгущенка, молоко
[1066.75s -> 1068.75s]  и паштет.
[1068.75s -> 1070.75s]  Все это
[1070.75s -> 1072.75s]  наш замечательный Мишленовский повар
[1072.75s -> 1074.75s]  готов приготовить вам в своем
[1074.75s -> 1076.75s]  блендере. Сделать из этого
[1076.75s -> 1078.75s]  некий супчик пюре, очень полезный,
[1078.75s -> 1080.75s]  калорийный, питательный и
[1080.75s -> 1082.75s]  в принципе, освежающий очень
[1082.75s -> 1084.75s]  сильно. Итак, друзья, дамы и господа,
[1084.75s -> 1086.75s]  сделайте ваши вставки.
[1088.75s -> 1090.75s]  Номер 9,
[1090.75s -> 1092.75s]  пожалуйста. Мясо с
[1092.75s -> 1094.75s]  сгущенкой. Мясо с сгущенкой,
[1094.75s -> 1096.75s]  скрестить и это употребить. Хорошо.
[1096.75s -> 1098.75s]  Мясо с сгущенкой. Я напоминаю, что на
[1098.75s -> 1100.75s]  кону у нас лотбот номер 2, мягкая
[1100.75s -> 1102.75s]  игрушка. О, чуба. Вот они, из голодного края.
[1102.75s -> 1104.75s]  Поехали. Номер 7.
[1104.75s -> 1106.75s]  Паштет с молоком.
[1106.75s -> 1108.75s]  Паштет с молоком. Хорошо.
[1108.75s -> 1110.75s]  Неплохо. Просто обычный
[1110.75s -> 1112.75s]  завтрак. Номер 12. В принципе, готовы
[1112.75s -> 1114.75s]  все продукты смешать и съесть.
[1114.75s -> 1116.75s]  Готова такой съесть суп.
[1116.75s -> 1118.75s]  Да ну!
[1118.75s -> 1120.75s]  Это сразу да.
[1120.75s -> 1122.75s]  Окей. Ну, я не знаю. Номер
