[3.76s -> 5.08s]  Она лысая, *****!
[84.85s -> 85.85s]  Света.
[85.85s -> 86.85s]  Света, моя любимая.
[86.85s -> 88.85s]  Я тебе помаду свою передаю из своей коллегицы.
[88.85s -> 90.85s]  Привет, мам.
[90.85s -> 92.85s]  Рубрика «За бугром», которая мне больше всего нравится,
[92.85s -> 94.85s]  и я её и открою.
[94.85s -> 96.85s]  Итак, Лента Ру пишет.
[97.49s -> 102.49s]  Бритни Спирс решила сделать себе пластическую операцию.
[102.49s -> 104.49s]  Она сказала, что у неё очень маленькая грудь,
[104.49s -> 106.49s]  и она бы хотела её увеличить.
[106.49s -> 109.49s]  И виной того, что она хочет сделать пластическую операцию,
[109.49s -> 111.49s]  её отец, который над ней издевался.
[111.49s -> 113.49s]  По её словам, когда она находилась под его опекой,
[113.49s -> 115.49s]  мужчина постоянно негативно высказывался в её фигуре,
[115.49s -> 117.49s]  и говорил, что она толстуха.
[117.49s -> 119.49s]  Пожалуйста, Бритни Спирс.
[119.49s -> 121.49s]  Спирс.
[121.49s -> 123.49s]  Что вы думаете, Бритни Спирс поможет грудь,
[123.49s -> 125.49s]  чтобы не выглядеть толстухой?
[126.13s -> 128.13s]  Я считаю, что ей нужен очень хороший психотерапевт,
[128.13s -> 130.13s]  потому что находясь долгое время
[130.13s -> 132.13s]  под опекой своего отца,
[132.13s -> 134.13s]  она была совершенно абьюзанная,
[134.13s -> 136.13s]  поэтому ей нужен психотерапевт,
[136.13s -> 138.13s]  а не новая грудь.
[138.13s -> 140.13s]  Вообще, это очень печально смотреть
[140.13s -> 142.13s]  на то,
[142.13s -> 144.13s]  как кумиры нашего детства,
[144.13s -> 146.13s]  нашей юности превращаются,
[146.13s -> 148.13s]  стареют.
[148.13s -> 150.13s]  Я видела фотки Бритни Спирс обнажённые.
[150.13s -> 152.13s]  Ну, все мы видели, давайте честно.
[152.13s -> 154.13s]  А вы видели, какая их фотошопка была,
[154.77s -> 156.77s]  потому что ванна очень сильно поплыла.
[156.77s -> 158.77s]  Но по груди вопросов нет.
[158.77s -> 160.77s]  Типа маленькая грудь.
[160.77s -> 162.77s]  Маленькая грудь делает тебя
[162.77s -> 164.77s]  ещё более изящной.
[164.77s -> 166.77s]  Если ты сделаешь грудь побольше,
[166.77s -> 168.77s]  при таких формах,
[168.77s -> 170.77s]  сделав грудь побольше,
[170.77s -> 172.77s]  ты будешь выглядеть ещё больше.
[172.77s -> 174.77s]  Бритни, если тебя заставляет фоткаться голой,
[174.77s -> 176.77s]  выйди в жёлтом следующем фото.
[176.77s -> 178.77s]  Печально, потому что я помню,
[178.77s -> 180.77s]  мы под неё had me baby one more time.
[180.77s -> 182.77s]  Perfect English.
[183.41s -> 185.41s]  Мы ставили танец в школе.
[185.41s -> 187.41s]  Покажи, покажи.
[187.41s -> 189.41s]  Слава богу, эти видео сожжены.
[189.41s -> 191.41s]  Просим, просим.
[197.41s -> 199.41s]  Самый непредвзятый и любимый журнал
[199.41s -> 201.41s]  Виктории Бонни космополитом
[201.41s -> 203.41s]  интересуется.
[203.41s -> 205.41s]  Дословная цитата.
[205.41s -> 207.41s]  Кому они продали душу?
[207.41s -> 209.41s]  Это на этот раз не про вас.
[209.41s -> 211.41s]  Звёзды, которые почти не изменились с годами.
[212.05s -> 214.05s]  Итак, я предлагаю всё-таки обсудить
[214.05s -> 216.05s]  20 знаменитостей, которые вообще не стареют.
[216.05s -> 218.05s]  Первый из них Виктория Боння.
[218.05s -> 220.05s]  Второй Джаред Лето.
[220.05s -> 222.05s]  Человек вообще не изменился.
[222.05s -> 224.05s]  И Даня Миловин ещё.
[224.05s -> 226.05s]  А в тебе секрет знаешь заключается в чём?
[226.05s -> 228.05s]  Он вегетарианец, много лет.
[228.05s -> 230.05s]  Это Тайсон Бекфорд.
[230.05s -> 232.05s]  У меня прям сразу жар.
[232.05s -> 234.05s]  Это мой самый красивый чернокожий мужчина.
[234.05s -> 236.05s]  У мужиков есть хитрость.
[236.05s -> 238.05s]  У вас есть борода.
[238.05s -> 240.05s]  Вы можете поплывшись в овалик лица,
[240.69s -> 242.69s]  у Джейло нет бороды.
[242.69s -> 244.69s]  У некоторых женщин тоже есть такие бонусы,
[244.69s -> 246.69s]  я тебе хочу сказать.
[246.69s -> 248.69s]  Я хочу сказать, что я видела Дженни Ферреннистон в жизни.
[248.69s -> 250.69s]  Она выглядит тысячу раз лучше,
[250.69s -> 252.69s]  даже чем на фото.
[252.69s -> 254.69s]  Ева Лангоре тоже в жизни видела в канах.
[254.69s -> 256.69s]  Кортни Кокс.
[256.69s -> 258.69s]  Очень круто выглядит.
[258.69s -> 260.69s]  Это маленькая собачка до старости.
[260.69s -> 262.69s]  Ей всего 45.
[262.69s -> 264.69s]  Маленькие люди всегда будут выглядеть.
[264.69s -> 266.69s]  Фарл Уильямс.
[266.69s -> 268.69s]  У меня с ним селфи.
[269.33s -> 271.33s]  О!
[271.33s -> 273.33s]  Найоми Кэмпбелл.
[273.33s -> 275.33s]  Она лысая.
[275.33s -> 277.33s]  Зато у нее жопа вот так вот стоит.
[277.33s -> 279.33s]  А ты в курсе, что мы первые афроамериканцы
[279.33s -> 281.33s]  в возрасте меньше видно?
[281.33s -> 283.33s]  Вы просто в фотки смотрите, фотошопленные.
[283.33s -> 285.33s]  Ну какая раз я видела половину их в жизни.
[285.33s -> 287.33s]  Подождите, это рубрика,
[287.33s -> 289.33s]  как называется?
[289.33s -> 291.33s]  Это рубрика называется Виктория Боня,
[291.33s -> 293.33s]  у меня есть с кем есть селфи.
[293.33s -> 295.33s]  Кстати, Джейло, да,
[295.33s -> 297.33s]  если фото с Манато.
[297.97s -> 299.97s]  Вот видите, София Вергана,
[299.97s -> 301.97s]  моя любовь, моя красивая.
[301.97s -> 303.97s]  София меня, между прочим, фоловит на инстаграме
[303.97s -> 305.97s]  и комментарии мне пишет.
[305.97s -> 307.97s]  Рубрика не об этом,
[307.97s -> 309.97s]  а о том, что нужно следить за своим здоровьем
[309.97s -> 311.97s]  с молоду.
[311.97s -> 313.97s]  Если касается таких людей,
[313.97s -> 315.97s]  как они в 100 лет выглядят вот так,
[315.97s -> 317.97s]  это адренохром, мне так кажется.
[317.97s -> 319.97s]  Это не обвинение,
[319.97s -> 321.97s]  но я очень много читала информации.
[321.97s -> 323.97s]  Королева Елизаветы, ее вся королевская семья,
[323.97s -> 325.97s]  ее муж ходил, как труп ходячий,
[326.61s -> 328.61s]  просто ему что-то вживели чип Илона Маска,
[328.61s -> 330.61s]  и он мог еще шевелиться.
[330.61s -> 332.61s]  Мне кажется, она на адреналине.
[334.61s -> 336.61s]  Вот ты говоришь, я не читаю литературы,
[336.61s -> 338.61s]  я читаю еще как.
[338.61s -> 340.61s]  Дниру пишет, выходит замуж,
[340.61s -> 342.61s]  потекшую Боню
[342.61s -> 344.61s]  застукали в ласках
[344.61s -> 346.61s]  секс-супругом Бородиной.
[346.61s -> 348.61s]  Селения Бородина развелась,
[348.61s -> 350.61s]  как мы уже все знаем,
[350.61s -> 352.61s]  что она развелась с Курбаном Амаровым
[352.61s -> 354.61s]  прошлым летом на скандальной ноте,
[355.25s -> 357.25s]  бывшие супруги не поддерживают связь,
[357.25s -> 359.25s]  зато поливают друг друга грязью.
[359.25s -> 361.25s]  Этим и решила воспользоваться
[361.25s -> 363.25s]  наша Виктория.
[363.25s -> 365.25s]  Как известно, светская лица
[365.25s -> 367.25s]  терпеть не может свою коллегу
[367.25s -> 369.25s]  и строит ей козню.
[369.25s -> 371.25s]  На этот раз Виктория пошла дальше.
[371.25s -> 373.25s]  Да, Вика, да.
[373.25s -> 375.25s]  Звезда позвонила бывшему Бородиной,
[375.25s -> 377.25s]  и в процессе разговора
[377.25s -> 379.25s]  недвусмысленно намекнула ему
[379.25s -> 381.25s]  на интимные отношения.
[381.25s -> 383.25s]  Теледива говорила мужчине
[383.89s -> 385.89s]  о продолжении рода,
[385.89s -> 387.89s]  отвешивала комплименты
[387.89s -> 389.89s]  и договорилась с ним о свидании
[389.89s -> 391.89s]  за ужином. Виктория Боня призналась,
[391.89s -> 393.89s]  что ее тело стало неосознанно
[393.89s -> 395.89s]  увлажняться.
[395.89s -> 397.89s]  От волнения по рукам потекла жидкость.
[397.89s -> 399.89s]  Ладошки что-то вспотели,
[399.89s -> 401.89s]  говорила она Вика.
[401.89s -> 403.89s]  Мы все были свидетелями в этот момент.
[403.89s -> 405.89s]  В жизни новость правдивая,
[405.89s -> 407.89s]  что были свидетели, миллионы зрителей.
[407.89s -> 409.89s]  Так Вика потом подкинула трусы
[409.89s -> 411.89s]  к потолку, и они прилипли.
[412.53s -> 414.53s]  Я взяла даже твой телефон,
[414.53s -> 416.53s]  потому что я знала, что он выклеится.
[416.53s -> 418.53s]  Я говорю, дай твой телефон,
[418.53s -> 420.53s]  иначе я знаю, что он потом будет писать и звонить.
[420.53s -> 422.53s]  У меня есть молодой человек,
[422.53s -> 424.53s]  которого я очень люблю, Хани Амебани.
[424.53s -> 426.53s]  Но я хочу сказать, что я позвонила своему парню,
[426.53s -> 428.53s]  предупредила, что такое может быть,
[428.53s -> 430.53s]  но я не думала, что он выложит это.
[430.53s -> 432.53s]  И мой молодой человек посмотрел и говорит,
[432.53s -> 434.53s]  а ты еще та флиртовщица.
[434.53s -> 436.53s]  А я говорю, знаешь,
[436.53s -> 438.53s]  я когда пофлиртовала,
[438.53s -> 440.53s]  я сразу сказала, что у меня есть мужчина,
[441.17s -> 443.17s]  так что я с тобой, Омар, на ужин не пойду.
[443.17s -> 445.17s]  Мне не интересно, не предлагать.
[445.17s -> 447.17s]  Вот Андрюха пойдет?
[447.17s -> 449.17s]  Я люблю Бурату.
[449.17s -> 451.17s]  Подожди, сейчас опять новость следующая будет завтра.
[451.17s -> 453.17s]  Андрей, пошел на ужин.
[453.17s -> 455.17s]  Вот на ладошки Андрея Борисова
[455.17s -> 457.17s]  цепились.
[457.17s -> 459.17s]  В Бурату.
[459.17s -> 461.17s]  Курбана Омарова. Все, давайте дальше пойдем.
[461.17s -> 463.17s]  Я хочу просто подытожить,
[463.17s -> 465.17s]  что именно таким образом
[465.17s -> 467.17s]  грязные сплетни вырождаются
[467.17s -> 469.17s]  и делают вот такие вот новости.
[469.81s -> 471.81s]  Если вы знаете о Днищеру
[471.81s -> 473.81s]  или другие порталы, которые с желтым налетом,
[473.81s -> 475.81s]  то знаете, что нужно делить напополам.
[475.81s -> 477.81s]  Да не надо делить,
[477.81s -> 479.81s]  надо делить на ноль просто,
[479.81s -> 481.81s]  потому что там ничего.
[481.81s -> 483.81s]  Из этого правды, ну прям только ладошки, блин.
[483.81s -> 485.81s]  Счастливая мама,
[485.81s -> 487.81s]  которая выбирает женатых мужчин.
[487.81s -> 489.81s]  Марафоны успеха
[489.81s -> 491.81s]  и пластические операции.
[491.81s -> 493.81s]  Наконец мы узнаем,
[493.81s -> 495.81s]  как быть успешным блогером
[495.81s -> 497.81s]  и выкладывать фотографии,
[498.45s -> 500.45s]  Виктория Ивановна.
[514.45s -> 516.45s]  Всем привет, Андрей.
[516.45s -> 518.45s]  Это я попросила спеть еще раз эту песню.
[518.45s -> 520.45s]  Мне очень понравилась.
[520.45s -> 522.45s]  Привет, Андрей. Привет, Викуля.
[522.45s -> 524.45s]  Приветик, Наташа.
[524.45s -> 526.45s]  И вот незнакомый единственный.
[527.09s -> 529.09s]  Я хотела тебе сразу сказать о том,
[529.09s -> 531.09s]  что то, что мы будем обсуждать,
[531.09s -> 533.09s]  эти новости, ты можешь их не комментировать,
[533.09s -> 535.09s]  но тогда ты должна будешь выполнить какое-нибудь
[535.09s -> 537.09s]  гадское задание, съесть тараканы, допустим.
[537.09s -> 539.09s]  Если я их не комментирую?
[539.09s -> 541.09s]  Либо, да, если ты отсказываешься.
[541.09s -> 543.09s]  А новости про меня?
[543.09s -> 545.09s]  Десять новостей.
[545.09s -> 547.09s]  А тебе сказать, что про программу?
[547.09s -> 549.09s]  Про меня? Нет.
[549.09s -> 551.09s]  Сказали, что просто про звезд.
[551.09s -> 553.09s]  Если вдруг ты, допустим,
[553.09s -> 555.09s]  откажешься делать какое-то испытание,
[555.73s -> 557.73s]  и, допустим, рассказать какую-то новость
[557.73s -> 559.73s]  про своих коллег звезд-блогеров и так далее.
[559.73s -> 561.73s]  Про кого-нибудь как бывшего дружи, например.
[561.73s -> 563.73s]  Андрея, я, например.
[563.73s -> 565.73s]  Нет.
[565.73s -> 567.73s]  О, нет.
[567.73s -> 569.73s]  Первая новость от Star Hit.
[569.73s -> 571.73s]  Star Hit всегда позитив.
[571.73s -> 573.73s]  Его называют на роде star shit, если что.
[573.73s -> 575.73s]  У меня совершенно нет чувствительности груди.
[575.73s -> 577.73s]  Блогер на один сировский,
[577.73s -> 579.73s]  а двух пластических операций.
[579.73s -> 581.73s]  Фютат я сейчас приведу.
[581.73s -> 583.73s]  У меня совершенно нет чувствительности,
[584.37s -> 586.37s]  но кайфе можно говорить.
[586.37s -> 588.37s]  Конечно, я в курсе, что происходит с моим здоровьем,
[588.37s -> 590.37s]  состоянием кожи.
[590.37s -> 592.37s]  Было страшно, конечно, что не проснешься
[592.37s -> 594.37s]  или проснешься во время наркоза.
[594.37s -> 596.37s]  Я даже не знаю, что хуже.
[596.37s -> 598.37s]  Совсем не очнуться или очнуться во время наркоза.
[598.37s -> 600.37s]  Страхи были только такие.
[600.37s -> 602.37s]  Предлагаю эксперимент.
[602.37s -> 604.37s]  Мы завяжем Надин глаза и по очереди вы не трогаете ее грудь.
[604.37s -> 606.37s]  Получается, что хирург,
[606.37s -> 608.37s]  который делал тебе операцию на грудь,
[608.37s -> 610.37s]  он перерезал тебе нервные... Специально.
[610.37s -> 612.37s]  Нервные окончания.
[613.01s -> 615.01s]  Нервные окончания от ласка груди.
[615.01s -> 617.01s]  До этого была чувствительность?
[617.01s -> 619.01s]  Да, конечно, была.
[619.01s -> 621.01s]  Притом, это одна из самых любимых зон.
[621.01s -> 623.01s]  Для меня это большое упущение.
[623.01s -> 625.01s]  Ты любишь, когда ласкают соски?
[625.01s -> 627.01s]  Господи, можно мне оглохнуть за минуту?
[627.01s -> 629.01s]  Нормально идет.
[629.01s -> 631.01s]  Подожди.
[631.01s -> 633.01s]  Ты тоже любишь, когда тебе соски ласкают?
[633.01s -> 635.01s]  Конечно.
[635.01s -> 637.01s]  А зачем они нужны?
[637.01s -> 639.01s]  Это хотя бы грудью кормить.
[639.01s -> 641.01s]  Начнем с того, что у меня было 2 рода.
[641.65s -> 643.65s]  И после этого грудь погрустнела.
[643.65s -> 645.65s]  То есть она и до этого не особо
[645.65s -> 647.65s]  шибко веселилась.
[647.65s -> 649.65s]  Я просто грудь грустная.
[649.65s -> 651.65s]  Ей стало совсем грустно.
[651.65s -> 653.65s]  Как такой похорукий хирург
[653.65s -> 655.65s]  мог изуродовать девочку,
[655.65s -> 657.65s]  что у нее теперь нет чувствительности?
[657.65s -> 659.65s]  Вопрос не в хирургии.
[659.65s -> 661.65s]  Вопрос в том, что была чувствительность.
[661.65s -> 663.65s]  Когда я пришла к нему на консультацию,
[663.65s -> 665.65s]  он еще долго подумал,
[665.65s -> 667.65s]  взять меня или нет.
[667.65s -> 669.65s]  Он мне сказал сразу же,
[670.29s -> 672.29s]  что возьмется, только вы психологически
[672.29s -> 674.29s]  укреплены и здоровы.
[674.29s -> 676.29s]  Потому что у вас такая ситуация и возможно,
[676.29s -> 678.29s]  что у вас возникнет те осложнения, о которых я вас сейчас говорю.
[678.29s -> 680.29s]  Он меня проработал полностью,
[680.29s -> 682.29s]  что такое может быть, предупредил.
[682.29s -> 684.29s]  И с этой осознанностью я шла.
[684.29s -> 686.29s]  И когда у меня появилась
[686.29s -> 688.29s]  мышца сверху,
[688.29s -> 690.29s]  она слишком перетягивает грудь.
[690.29s -> 692.29s]  И поэтому пришлось делать вторую операцию,
[692.29s -> 694.29s]  чтобы убрать это.
[694.29s -> 696.29s]  Это все абсолютно нормально.
[696.29s -> 698.29s]  А где надрез был?
[698.93s -> 700.93s]  То есть ты не пожалела, да?
[700.93s -> 702.93s]  Нет, нет, нет. Ни за что не жалею.
[702.93s -> 704.93s]  Я смотрела на свое тело,
[704.93s -> 706.93s]  и только вот так мне оно нравилось.
[706.93s -> 708.93s]  То есть талия, все мне нравилось.
[708.93s -> 710.93s]  Но вот с грудью, ну просто,
[710.93s -> 712.93s]  вот так природой она мне так сложила.
[712.93s -> 714.93s]  Хотя что на природу валить?
[714.93s -> 716.93s]  Я 20 кг прибавила после
[716.93s -> 718.93s]  первых родов, так что я разжирнела,
[718.93s -> 720.93s]  естественно, вся кожа растянулась.
[720.93s -> 722.93s]  Спасибо, что хоть она стянулась обратно.
[722.93s -> 724.93s]  А ты счастлива? Самая главность скажи.
[724.93s -> 726.93s]  Я пришла, говорю, я плачу, все супер.
[727.57s -> 729.57s]  Я хочу именно к вам.
[729.57s -> 731.57s]  Он был для меня как бог хирургии.
[731.57s -> 733.57s]  Я его увидела, и когда увидела в жизни,
[733.57s -> 735.57s]  я думала, боже, это он.
[735.57s -> 737.57s]  Потому что я за ним следила в Инстаграм,
[737.57s -> 739.57s]  хотя я уже тогда была крупным блогером.
[739.57s -> 741.57s]  Они мне говорят, ну ты все равно будешь делать,
[741.57s -> 743.57s]  тебе захочется похвалить, если все круто.
[743.57s -> 745.57s]  Поэтому если все понравится,
[745.57s -> 747.57s]  хочешь, можем вот так.
[747.57s -> 749.57s]  Ну потрогать можно? Да, конечно.
[749.57s -> 751.57s]  Извини, не тебе.
[751.57s -> 753.57s]  Нет, не напрягайся. Нет, Андрей, у нас это.
[753.57s -> 755.57s]  Кстати, мягкая грудь.
[757.57s -> 759.57s]  Popcake.tv пишет,
[759.57s -> 761.57s]  500 тысяч совсем рухнулась?
[761.57s -> 763.57s]  Типа блогер Надин Серовский
[763.57s -> 765.57s]  обвиняет в высоких сценах на рекламу.
[765.57s -> 767.57s]  Мало того, что фанатов ошарашила стоимость работы,
[767.57s -> 769.57s]  так еще и сильно задели
[769.57s -> 771.57s]  еще одни скандальные,
[771.57s -> 773.57s]  связанные с девушкой, слова про выступление.
[773.57s -> 775.57s]  Если выступление не будет
[775.57s -> 777.57s]  покрывать мои истории, то я даже выступать не буду,
[777.57s -> 779.57s]  добавил Надин во время общения.
[779.57s -> 781.57s]  Расскажи, пожалуйста.
[781.57s -> 783.57s]  Это я давала интервью какому-то телеканалу,
[783.57s -> 785.57s]  и они спросили, какая мне стоимость на рекламу.
[786.21s -> 788.21s]  Я выпустила трек, они говорят, ты будешь выступать?
[788.21s -> 790.21s]  Я говорю, честно, я не думала,
[790.21s -> 792.21s]  потому что я выпустила треки так для себя,
[792.21s -> 794.21s]  подергаться для аудитории, просто вот так захотелось.
[794.21s -> 796.21s]  Деньги были, чтобы купить трек,
[796.21s -> 798.21s]  записать его.
[798.21s -> 800.21s]  В наше время, возможно, все,
[800.21s -> 802.21s]  и ты можешь даже не супер-круто уметь.
[802.21s -> 804.21s]  Главное, чтобы качало.
[804.21s -> 806.21s]  Если тебя качает, пожалуйста,
[806.21s -> 808.21s]  делай вообще что хочешь.
[808.21s -> 810.21s]  И меня спросили, стал ли ты выступать?
[810.21s -> 812.21s]  Я говорю, слушайте, если это будет
[812.21s -> 814.21s]  стоить ниже стоимости моей рекламы,
[814.85s -> 816.85s]  спрашивается, выступить я могу
[816.85s -> 818.85s]  у себя в Инстаграме.
[818.85s -> 820.85s]  Вопрос в том, что слишком дорогие ценники
[820.85s -> 822.85s]  за рекламу. Ты не Ксения Собчак.
[822.85s -> 824.85s]  Мне главное, что я знаю, сколько зарабатываю я,
[824.85s -> 826.85s]  и что это совершенно экологично,
[826.85s -> 828.85s]  и то, что это совершенно честно,
[828.85s -> 830.85s]  потому что что такое реклама?
[830.85s -> 832.85s]  Мы продвигаем какой-то классненький товар,
[832.85s -> 834.85s]  иначе как люди узнают о том,
[834.85s -> 836.85s]  что существует этот классненький товар?
[836.85s -> 838.85s]  Другой вопрос, что реклама
[838.85s -> 840.85s]  считается желтухой и чернухой,
[840.85s -> 842.85s]  когда это откровенная какашка на палочке,
[843.49s -> 845.49s]  но ты же пробуешь то, что ты рекламишь,
[845.49s -> 847.49s]  ты же не можешь все так на шару выкинуть.
[847.49s -> 849.49s]  Как певица ты состоялась,
[849.49s -> 851.49s]  ты смогла окупить себя
[851.49s -> 853.49s]  во всех смыслах. Нет, у меня даже песни
[853.49s -> 855.49s]  не было. Она говорит, она по фану,
[855.49s -> 857.49s]  это делалась по фану.
[857.49s -> 859.49s]  MediaLix пишет,
[859.49s -> 861.49s]  в сети троллят
[861.49s -> 863.49s]  блогерку или блогершу, как правильно,
[863.49s -> 865.49s]  Надень Серовский,
[865.49s -> 867.49s]  продавала марафон о крепком браке,
[867.49s -> 869.49s]  но рассталась с мужем.
[869.49s -> 871.49s]  О, класс. Я хочу сразу
[872.13s -> 874.13s]  цитировать твоего экс-супруга.
[874.13s -> 876.13s]  А он тебе звонил? Нет, здесь
[876.13s -> 878.13s]  есть цитата в этом же издании.
[878.13s -> 880.13s]  Я вообще эту тему не хотел
[880.13s -> 882.13s]  поднимать по поводу того, что у нас с Надей.
[882.13s -> 884.13s]  У нас с Надей ничего, мы разошлись,
[884.13s -> 886.13s]  все, здесь нечего разжевывать,
[886.13s -> 888.13s]  кто прав, а кто виноват, почему как.
[888.13s -> 890.13s]  Ну вот так поделился
[890.13s -> 892.13s]  в своих stories Никита Серов.
[892.13s -> 894.13s]  Я начну с того, что
[894.13s -> 896.13s]  там в новости было указано, что я создательница
[896.13s -> 898.13s]  марафона, я выбираю себя,
[898.13s -> 900.13s]  которые почему-то приписали, что он про отношения,
[900.77s -> 902.77s]  а он про то, как женщине быть
[902.77s -> 904.77s]  в ресурсном состоянии, в счастливом,
[904.77s -> 906.77s]  независимо от всех обстоятельств,
[906.77s -> 908.77s]  которые происходят в ее жизни. Вот в чем суть.
[908.77s -> 910.77s]  То есть понимаете, мы такие привыкли,
[910.77s -> 912.77s]  что мы такие все счастливенькие в браке,
[912.77s -> 914.77s]  в отношениях, что у нас все хорошо.
[914.77s -> 916.77s]  Но как только брак заканчивается,
[916.77s -> 918.77s]  как только начинаются какие-то
[918.77s -> 920.77s]  недопонимания, рукон расставания,
[920.77s -> 922.77s]  значит мы все должны быть грустными,
[922.77s -> 924.77s]  это все, грусть-печаль в жизни нет.
[924.77s -> 926.77s]  Нет, в этом состоянии точно так же
[926.77s -> 928.77s]  можно оставаться той же ресурсной,
[929.41s -> 931.41s]  пониманием и благодарностью, что да,
[931.41s -> 933.41s]  это было, но это вот заканчивается.
[933.41s -> 935.41s]  Вот представь,
[935.41s -> 937.41s]  много женщин сейчас
[937.41s -> 939.41s]  растрогли брак или просто
[939.41s -> 941.41s]  развелись своими партнерами.
[941.41s -> 943.41s]  И первый единственный совет,
[943.41s -> 945.41s]  что бы ты могла сказать им,
[945.41s -> 947.41s]  что бы поддержать себя. Вот как пережить расставание.
[947.41s -> 949.41s]  Я не люблю раздавать советы, скажу за себя.
[949.41s -> 951.41s]  Принять с благодарностью тот опыт,
[951.41s -> 953.41s]  который был, что
[953.41s -> 955.41s]  спасибо тебе большое. Вот человек
[955.41s -> 957.41s]  прекрасный, который шел рядом со мной,
[957.41s -> 959.41s]  и дальше наши пути просто расходятся,
[959.41s -> 961.41s]  поэтому давай найдем в себе силы теперь,
[961.41s -> 963.41s]  вот мы были в системе семьи в одних отношениях,
[963.41s -> 965.41s]  а теперь давай в новой системе,
[965.41s -> 967.41s]  когда мы с тобой разведены, выстроимся тоже в хорошие отношения.
[967.41s -> 969.41s]  А как благодарить, когда он тебя предал,
[969.41s -> 971.41s]  бросил, оставил с ребенком или беременную?
[971.41s -> 973.41s]  Обычно, когда нас бросают,
[973.41s -> 975.41s]  мы привыкли винить того человека,
[975.41s -> 977.41s]  который нас бросил, совершенно
[977.41s -> 979.41s]  не обращаясь к себе, а почему меня бросили,
[979.41s -> 981.41s]  что я такое делаю,
[981.41s -> 983.41s]  что меня бросили, то есть в первую очередь себя
[983.41s -> 985.41s]  спросить, почему от меня хотят уйти,
[985.41s -> 987.41s]  почему от меня не хотят быть, и дальше,
[987.41s -> 989.41s]  если реально, вот в тебе нет никаких проблем,
[989.41s -> 991.41s]  что ты все хорошо делал,
[991.41s -> 993.41s]  то есть у тебя классная энергия, ты живешь своей жизни,
[993.41s -> 995.41s]  ты счастлива, то ты не будешь грустить,
[995.41s -> 997.41s]  потому что ты скажешь, ну конечно ты погрустишь,
[997.41s -> 999.41s]  блин, неприятно, если вдруг вот внезапно просто
[999.41s -> 1001.41s]  бах, это какая новость, но она не приходит,
[1001.41s -> 1003.41s]  как правило, она не приходит и откуда, да,
[1003.41s -> 1005.41s]  все не случается за один день.
[1005.41s -> 1007.41s]  Вы знаете, мне кажется, тут даже вопрос
[1007.41s -> 1009.41s]  немножечко не в этом. А в чем?
[1009.41s -> 1011.41s]  А вопрос в том, что претензия данной
[1011.41s -> 1013.41s]  публикации Икнодин,
[1013.41s -> 1015.41s]  потому что очень модно делать марафоны,
[1015.41s -> 1017.41s]  что ты рассказываешь людям, как у меня все хорошо,
[1017.41s -> 1019.41s]  и я научу вас жить.
[1019.41s -> 1021.41s]  Так у меня по-прежнему все хорошо,
[1021.41s -> 1023.41s]  и я также могу вас знать.
[1023.41s -> 1025.41s]  Но понимаешь, мы смотрим марафоны, и марафоны
[1025.41s -> 1027.41s]  один за другим, они как под копирку списаны,
[1027.41s -> 1029.41s]  вы же говорили там одни и те же вещи.
[1029.41s -> 1031.41s]  Грузовикость точки А, точки В
[1031.41s -> 1033.41s]  заставила удовольствие.
[1033.41s -> 1035.41s]  Можно я покажу Собчак? Собчак заявляет
