[0.88s -> 9.96s]  СПОКОЙНАЯ МУЗЫКА
[408.45s -> 410.45s]  А ты держишься за штурвалом за мной.
[410.45s -> 412.45s]  Она говорит, все, давай, давай, без базара.
[412.45s -> 414.45s]  Он спит 20 минут, просыпается, третий раз все это происходит.
[414.45s -> 415.45s]  Они лежат.
[415.45s -> 416.45s]  Она говорит, можно, спрошу.
[416.45s -> 417.45s]  Говорит, да.
[417.45s -> 419.45s]  А зачем, говорит, я его подержал за штурвал, пока доспал.
[419.45s -> 420.45s]  Говорит, да я *** знаю, это у меня дом.
[420.45s -> 422.45s]  Первый раз, как бы, что не ********.
[425.45s -> 427.45s]  Как тебе, Стас?
[427.45s -> 428.45s]  Честно.
[430.45s -> 431.45s]  Просто на босса.
[431.45s -> 433.45s]  Вызывать его еще надо передачей.
[433.45s -> 434.45s]  Я подготовлюсь.
[434.45s -> 435.45s]  Просто основательно.
[435.45s -> 436.45s]  Ладно.
[436.49s -> 437.49s]  Так, чтобы...
[441.49s -> 443.49s]  Два гея едут в автобусе.
[443.49s -> 444.49s]  Одному.
[444.49s -> 446.49s]  Капец, как захотелось этот Шелтер Бубер.
[446.49s -> 448.49s]  Давай, прям здесь, в автобусе.
[448.49s -> 450.49s]  Я тебе насажу.
[450.49s -> 452.49s]  Он говорит, ты что, дурак, что ли, в автобусе люди сидят?
[452.49s -> 454.49s]  Говорит, ну как вообще?
[454.49s -> 455.49s]  Башкой своей подумай.
[455.49s -> 456.49s]  Он говорит, а что такого?
[456.49s -> 458.49s]  Здесь все в автобусе, всем похер.
[458.49s -> 460.49s]  Никто на кого внимания не обращает.
[460.49s -> 462.49s]  Сундук, я знаю, это дигнат.
[462.49s -> 463.49s]  Сундук.
[463.49s -> 464.49s]  За что, деда?
[464.49s -> 465.49s]  За что?
[465.53s -> 469.53s]  Дед сидит такой, в ****, говорит, ********.
[469.53s -> 470.53s]  Нет.
[470.53s -> 473.53s]  Вот, короче, он говорит, ну давай, смотри, и кричит.
[473.53s -> 475.53s]  Люди, а сколько времени подскажите?
[475.53s -> 477.53s]  Все молчат, никто внимания не обращает.
[477.53s -> 479.53s]  Он говорит, серьезно, что-то? Все похер.
[479.53s -> 480.53s]  Ну давай.
[480.53s -> 481.53s]  Он, короче, его бизнул.
[481.53s -> 483.53s]  Все, конечное, все выходят.
[483.53s -> 486.53s]  Дед сидит такой, короче, плохо ему за сердце держится.
[486.53s -> 489.53s]  Водитель подходит, говорит, дед, ты что, до меня плохо стало?
[489.53s -> 491.53s]  Ты что, говорит, сидишь, молчишь?
[491.53s -> 493.53s]  К людям бы обратился, помогли.
[493.57s -> 494.57s]  Помогли.
[494.57s -> 496.57s]  Здесь один время спросил, а в жопу *******.
[501.57s -> 502.57s]  Это другая концовочка?
[502.57s -> 504.57s]  Это другая концовочка, да.
[504.57s -> 507.57s]  Не, вот эта, вот эта семерка тянет.
[507.57s -> 508.57s]  На семерку?
[508.57s -> 509.57s]  На семерку тянет.
[509.57s -> 510.57s]  На раз!
[510.57s -> 511.57s]  Семь!
[512.57s -> 514.57s]  Андрей, два, Максим, четыре.
[514.57s -> 517.57s]  И я 12 баллов.
[517.57s -> 519.57s]  Нормально, Андрюх, на 10 тебя обогнал.
[519.57s -> 520.57s]  Представляешь?
[520.57s -> 521.57s]  ******.
[522.57s -> 527.57s]  У нас новая рубрика, которая называется «Две шкатулки».
[527.57s -> 531.57s]  Значит, смотрите, здесь написано в одной шкатулке действие,
[531.57s -> 534.57s]  в другой шкатулке имя участника сегодняшнего шоу.
[536.57s -> 537.57s]  Вытаскивайте.
[538.57s -> 539.57s]  Ага, ага.
[541.57s -> 543.57s]  Ящик шампанского, дарит ящик шампанского.
[543.57s -> 546.57s]  Так, дарит ящик шампанского у нас.
[546.57s -> 548.57s]  Андрюха со своими двумя баллами.
[548.57s -> 549.57s]  А кто это сделает?
[549.57s -> 550.57s]  Молись, пацаны.
[551.57s -> 552.57s]  Кто это делает у нас?
[554.57s -> 555.57s]  Олень!
[559.57s -> 563.57s]  Андрюха дарит тебе, Стас, ящик шампанского.
[563.57s -> 566.57s]  Сейчас мы как раз уже подъезжаем в конце поездки.
[568.57s -> 571.57s]  Стас, было очень приятно с тобой прокатнуться.
[571.57s -> 576.57s]  Ты один из самых, даже не один из самых, самый строгий таксист,
[576.57s -> 578.57s]  который оценил наши анекдоты.
[578.57s -> 579.57s]  Прямо было сложно.
[579.57s -> 581.57s]  Поэтому два балла Андрюха набрал.
[581.57s -> 582.57s]  Ноль баллов.
[582.57s -> 584.57s]  За второй группу ноль баллов это очень сложно.
[584.57s -> 588.57s]  Поэтому за эту поездку мы ставим пять баллов.
[588.57s -> 589.57s]  Спасибо большое.
[589.57s -> 592.57s]  И сейчас еще Андрюха шампанское кутак как раз в магазине.
[594.57s -> 597.57s]  Так, ну что, это было шоу «Смех машины».
[597.57s -> 600.57s]  Сегодня мы попытались рассмешать очередного таксиста.
[600.57s -> 603.57s]  Сегодня у нас попался вот такой вот несмеян.
[603.57s -> 604.57s]  Очень строгий, очень строгий.
[604.57s -> 605.57s]  Босс, босс, босс.
[605.57s -> 606.57s]  Мы нашли босса в такси.
[606.57s -> 609.57s]  Ну и Андрюха выполнил свое задание.
[609.57s -> 610.57s]  Ты вот так ходил в магазин, да?
[610.57s -> 611.57s]  Да, да.
[611.57s -> 612.57s]  Как будто лень.
[612.57s -> 613.57s]  Без паспорта продали.
[613.57s -> 615.57s]  Без паспорта Андрюхе продали.
[615.57s -> 619.57s]  Так, ну что, мы будем рассказывать анекдоты до тех пор,
[619.57s -> 622.57s]  пока не рассмешим всех таксистов в этом мире.
[622.57s -> 624.57s]  Это шоу «Смех машины».
[624.57s -> 625.57s]  Всем пока!
[629.57s -> 632.57s]  Опа, братишечки, хотел вырубить видос рановато,
[632.57s -> 634.57s]  потому что я тебе хочу рассказать о том,
[634.57s -> 637.57s]  что у нас на всем пространстве Рутуба есть много-много контента,
[637.57s -> 638.57s]  много каналов.
[638.57s -> 641.57s]  Вот один из этих каналов называется «Пацанский клининг»,
[641.57s -> 643.57s]  где мы врываемся к подписчику домой,
[643.57s -> 645.57s]  убираемся у него кайфы вместе с ним.
[645.57s -> 646.57s]  Прикольно, короче, проводим время.
[646.57s -> 648.57s]  После нас там хата просто блестит.
[648.57s -> 649.57s]  Полнейшая чистота.
[649.57s -> 652.57s]  Все это снимаем на видео и показываем вам.
[652.57s -> 656.57s]  А кто это не видел, обязательно по ссылке под видео переходите
[656.57s -> 659.57s]  или просто вводите в поисковике на Рутубе «Пацанский клининг»
[659.57s -> 660.57s]  и смотрите с удовольствием эти видосы.
[660.57s -> 662.57s]  Кто уже посмотрел, тот сегодня пишет кайф.
