[8.11s -> 10.83s]  ИНТРИГУЮЩАЯ МУЗЫКА
[210.09s -> 211.09s]  Встречайте.
[214.62s -> 220.62s]  Скоро, очень скоро, на мой юбилей, мы устроим салют,
[220.62s -> 224.62s]  который войдет в Книгу Рекордов.
[224.62s -> 230.62s]  Поэтому знакомьтесь, члены Комиссии Книги Рекордов России.
[231.62s -> 237.06s]  Они будут следить за установлением рекордов.
[237.06s -> 238.06s]  Прошу вас.
[238.06s -> 240.06s]  Что-то они не очень похожи на официальных лиц.
[240.06s -> 243.06s]  Они тебе что, кепки ЛДП, что ли, должны раздавать?
[243.06s -> 246.06s]  Значит, здравствуйте, люди.
[247.06s -> 254.06s]  Мы, Комиссия, будем здесь наблюдать за всеми комиссионными делами.
[255.06s -> 260.06s]  Надеемся, что ваш салют войдет в нашу книгу.
[262.06s -> 263.06s]  Спасибо.
[264.06s -> 272.75s]  Ну, в общем, прошу любить и жаловать.
[273.75s -> 274.75s]  Всем спасибо.
[275.75s -> 276.75s]  Все свободны.
[277.75s -> 278.75s]  Пока-пока.
[278.75s -> 279.75s]  Можно вас снимать?
[284.75s -> 286.75s]  Пойдемте с бабушкой разбираться. Пошли.
[287.75s -> 299.08s]  Призрак вот он так прямо пошел-пошел-пошел на кухню.
[299.08s -> 303.08s]  А вот наша доблестная полиция, которая простой женщине не верит.
[303.08s -> 305.08s]  Бездельни нету.
[305.08s -> 309.08s]  Тихо, дамы, тихо. Так, успокоились.
[309.08s -> 310.08s]  Успокоились.
[310.08s -> 312.08s]  Что за недовольство к органам?
[312.08s -> 314.08s]  В таком возрасте только на органы и жалуются.
[314.08s -> 317.08s]  Надежда Ивановна, здравствуйте.
[318.08s -> 322.08s]  Я пришел освободить вашу обитель от заточенного фантома.
[322.08s -> 324.08s]  О, Роберт, проходите.
[325.08s -> 328.08s]  Роберт, почисти мою ауру, пожалуйста.
[328.08s -> 330.08s]  А можно мне тоже? Мне очень надо.
[330.08s -> 334.08s]  Тише, тише, дамы. Сверху просят по очереди.
[334.08s -> 337.08s]  Слышь, Святоша, если сверху что-то попросили, я вперед тебя бы узнал.
[337.08s -> 339.08s]  Хватит с людям в уши ясновидеть.
[339.08s -> 342.08s]  Если вы в это не верите, это не значит, что это неправда.
[342.08s -> 346.08s]  Начальник, а за ФОФ он с наперстком дает условку.
[348.08s -> 349.08s]  Тогда мы расходимся.
[349.08s -> 351.08s]  Встаем, расходимся, расходимся.
[351.08s -> 353.08s]  Все по домам расходимся.
[353.08s -> 355.08s]  Никаких привидений не существует. До свидания.
[355.08s -> 357.08s]  Он снова приходил.
[357.08s -> 359.08s]  Надпись на стене появилась.
[359.08s -> 361.08s]  Пойдемте, пойдемте.
[365.08s -> 368.08s]  Ну вот, это точно мой муж.
[373.08s -> 375.08s]  Так это же краска.
[375.08s -> 378.08s]  По-любому ваш обиженный ученик вам мстит.
[378.08s -> 384.08s]  Вообще-то призраки могут писать не только кровью, но и краску.
[384.08s -> 390.08s]  Ладно, попробую выйти на связь с духом.
[390.08s -> 428.46s]  За мной на связь.
[431.46s -> 433.46s]  Входи, входи, входи.
[435.46s -> 437.46s]  Входи, входи, входи.
[438.46s -> 440.46s]  Входи, входи, входи.
[440.46s -> 442.46s]  За душу и духа выйди за мной на связь.
[444.46s -> 446.46s]  За душу и духа выйди за мной на связь.
[446.46s -> 448.46s]  Входи, входи, входи, входи.
[449.46s -> 451.46s]  Слушай, меня не жри, пожалуйста.
[451.46s -> 453.46s]  Я как человек милой.
[453.46s -> 455.46s]  Тише, вы меня ушли.
[459.46s -> 464.76s]  Это вышло из-за контроля.
[464.76s -> 466.76s]  Мне нужно выпить отвар и поминитировать.
[466.76s -> 468.76s]  А я вам не говорила.
[468.76s -> 470.76s]  Я вам говорила.
[470.76s -> 472.76s]  Я вам говорила.
[472.76s -> 474.76s]  Что я вам говорила?
[474.76s -> 476.76s]  Я вам говорила.
[476.76s -> 478.76s]  Да блин, так, настало время.
[478.76s -> 480.76s]  Напарник, ты сундук откроул.
[480.76s -> 482.76s]  Ты за главного.
[482.76s -> 484.76s]  Надежда Ивановна идет к подруге пить чай.
[484.76s -> 486.76s]  Хорошо.
[486.76s -> 488.76s]  Я бегу в отдел, думать, что делать дальше.
[488.76s -> 490.76s]  А нам говорили, Яшка, нам говорили.
[492.76s -> 494.76s]  Нам говорили. Вы не слышали, нам говорили.
[494.76s -> 496.76s]  А у меня вообще сейчас дело очень важное срочное.
[496.76s -> 498.76s]  С Москвы там звонок у меня.
[512.70s -> 514.70s]  Бабка у меня в рот.
[514.70s -> 534.65s]  Оль, Оль, здорово.
[534.65s -> 536.65s]  Я звоню тебе по делу.
[536.65s -> 538.65s]  Помнишь этого призраку-утопленника,
[538.65s -> 540.65s]  про которого рыбаки рассказывали?
[540.65s -> 542.65s]  Назаров, ты что меня совсем за зло держишь?
[542.65s -> 544.65s]  Я от Синенко узнала, что ты в ссылке в деревню.
[544.65s -> 546.65s]  Возвращаться не собираешься.
[546.65s -> 548.65s]  Ты давай свою бабушку-то забирай.
[548.65s -> 550.65s]  Вероника, по делу тебе звоню.
[550.65s -> 552.65s]  Забирай свою бабушку, потому что у меня тут уже
[552.65s -> 554.65s]  пульт в полиэтилене.
[554.65s -> 556.65s]  И рассада на подоконнике.
[556.65s -> 558.65s]  Спасибо! Спасибо!
[560.65s -> 562.65s]  У меня, может, глазили?
[562.65s -> 564.65s]  Напарник, напарник, напарник, я все понял.
[566.65s -> 568.65s]  Ну чернику себе на закуску возьми
[568.65s -> 570.65s]  и с нами пошли. А вы там лицезию пока
[570.65s -> 572.65s]  готовьте. Что? Куда?
[572.65s -> 574.65s]  Призраков изгонять? Кашпироски?
[574.65s -> 576.65s]  Кашпироски же? Кашпироски?
[576.65s -> 578.65s]  Куда изгонять? Я не могу, у меня
[578.65s -> 580.65s]  планы.
[580.65s -> 582.65s]  Здесь план только у меня.
[582.65s -> 584.65s]  Его выполнять надо, пошли.
[584.65s -> 586.65s]  Пройдемте до выяснения обстоятельств.
[586.65s -> 588.65s]  У вас есть право на один звонок.
[588.65s -> 590.65s]  Я сам поведу.
[590.65s -> 592.65s]  Вы с нами не идешь в цикло?
[592.65s -> 594.65s]  Хорош сундук.
[594.65s -> 596.65s]  Идешь с нами на операцию бабки на глюке.
[596.65s -> 598.65s]  Операцию? Я без дезинфекции
[598.65s -> 600.65s]  не могу. На.
[600.65s -> 602.65s]  Пошли, пошли, пошли, пошли.
[602.65s -> 604.65s]  Давай. Так, ну что?
[604.65s -> 606.65s]  Понятые все в сборе.
[606.65s -> 608.65s]  Можем приступать.
[608.65s -> 610.65s]  Давай, Чакра, начинай.
[610.65s -> 612.65s]  Не, мужики, без меня.
[612.65s -> 614.65s]  Стоять.
[614.65s -> 616.65s]  Давай, давай. Смелее.
[632.65s -> 645.24s]  Товарищ
[645.24s -> 647.24s]  господин Призрак.
[647.24s -> 649.24s]  Михаил Иванович. Что?
[649.24s -> 651.24s]  Михаил Иванович.
[653.24s -> 655.24s]  Михаил Иванович.
[655.24s -> 657.24s]  Михаил Иванович, я вас очень
[657.24s -> 659.24s]  прошу, пожалуйста.
[659.24s -> 661.24s]  Оставьте этот дом.
[661.24s -> 663.24s]  Вы так обретете покой.
[665.24s -> 667.24s]  Спокойно.
[667.24s -> 669.24s]  Спокойно.
[669.24s -> 671.24s]  У нас свой чародей.
[671.24s -> 673.24s]  Он обо всем сейчас договорится.
[673.24s -> 675.24s]  Давай дальше.
[675.24s -> 677.24s]  Михаил Иванович.
[677.24s -> 679.24s]  Пожалуйста, уйдите.
[679.24s -> 682.55s]  Ясно, не хочется
[682.55s -> 687.14s]  с тобой разговаривать.
[687.14s -> 689.14s]  Михаил Иванович,
[689.14s -> 691.14s]  а вы там вообще одупляете,
[691.14s -> 693.14s]  что вы своим поведением так Надежду Ивановну
[693.14s -> 695.14s]  до смерти доведете?
[695.14s -> 697.14s]  А это уголовка.
[697.14s -> 699.14s]  Вы там наверху самый крутой, что ли?
[699.14s -> 701.14s]  Оно вам надо?
[701.14s -> 703.14s]  Извините.
[703.14s -> 705.14s]  Больше не буду.
[705.14s -> 707.14s]  Надюш, я жду.
[707.14s -> 709.14s]  Ты не задерживайся.
[709.14s -> 713.74s]  Ну вот и все.
[713.74s -> 715.74s]  Вопросик порешен.
[715.74s -> 717.74s]  Понятые могут быть свободны.
[717.74s -> 719.74s]  Надежда Ивановна может спать спокойно.
[719.74s -> 721.74s]  Полиция победила
[721.74s -> 723.74s]  потусторонней силы.
[725.74s -> 727.74s]  Ну что, даже спасибо не скажете?
[727.74s -> 729.74s]  Спасибо.
[729.74s -> 731.74s]  Как вы это сделали?
[731.74s -> 733.74s]  Как вы с ним заговорили?
[733.74s -> 735.74s]  Полиция России со всеми
[735.74s -> 737.74s]  найдет общий язык.
[737.74s -> 739.74s]  Тем более, я сразу заметил
[739.74s -> 741.74s]  свет от проектора в окне.
[741.74s -> 743.74s]  А потом, когда вы ушли к подруге пить чай,
[743.74s -> 745.74s]  я проник вам в дом,
[745.74s -> 747.74s]  заметил у вас в спальне аккуратно натянутую пленку
[747.74s -> 749.74s]  и проектор, спрятанный на полке.
[749.74s -> 751.74s]  Потом я вас решил проучить.
[751.74s -> 753.74s]  Скачал изображение, которое вы использовали
[753.74s -> 755.74s]  и с помощью научного прогресса оживил его.
[755.74s -> 757.74s]  Извините меня. Я больше не буду.
[757.74s -> 759.74s]  Надюш, я жду.
[759.74s -> 761.74s]  Ты не задерживайся.
[761.74s -> 763.74s]  И двумя легкими нажатиями
[763.74s -> 765.74s]  заменил исходный файл.
[765.74s -> 767.74s]  Все думают, что у вас в руках пульт от телевизора.
[767.74s -> 769.74s]  Но нет, это пульт от проектора.
[769.74s -> 771.74s]  Вы нажимаете кнопку, и он включается.
[771.74s -> 773.74s]  Только уже с нашим изображением.
[773.74s -> 775.74s]  Все элементарно.
[775.74s -> 777.74s]  На, заявление сразу возьми.
[777.74s -> 779.74s]  Чтобы личный раз ко мне в участок не приходил.
[779.74s -> 788.10s]  Это все благодаря тебе, напарник.
[788.10s -> 791.48s]  У меня только один вопрос.
[791.48s -> 793.48s]  Зачем вам все это?
[793.48s -> 795.48s]  Ну а что мне в этом чуде
[795.48s -> 797.48s]  на пенсии еще делать?
[797.48s -> 799.48s]  Я, может, в телевизор попасть хотела.
[799.48s -> 801.48s]  Экстрасенсовый приехали.
[801.48s -> 803.48s]  Расследование устроили.
[803.48s -> 805.48s]  Я бы прославилась.
[805.48s -> 807.48s]  Ну, а там, глядишь,
[807.48s -> 809.48s]  и давай поженимся.
[809.48s -> 811.48s]  Позваливаю.
[811.48s -> 813.48s]  Ладно. На первый раз предупреждение.
[813.48s -> 815.48s]  Наказание.
[815.48s -> 817.48s]  Мы вас конвискуем провод от проектора.
[817.48s -> 819.48s]  В общем, наш отряд,
[819.48s -> 821.48s]  под моим руководством, покидает ваше владение.
[821.48s -> 823.48s]  Надеюсь, не до новых встреч.
[823.48s -> 825.48s]  На выход, напарник.
[825.48s -> 854.46s]  На водилу хочу.
[854.46s -> 856.46s]  Ты все медлишь.
[856.46s -> 858.46s]  Ты еще этот салют дебильный придумал.
[858.46s -> 860.46s]  Я надеюсь, салюты...
[860.46s -> 862.46s]  Я хожу даже на свадьбу.
[862.46s -> 864.46s]  Кто с вами сейчас? Какого хрена?
[864.46s -> 866.46s]  Деточка, салюты это отвлекающий мой опор.
[866.46s -> 868.46s]  Чтобы оленей того и местной
[868.46s -> 870.46s]  ничего не подозрили.
[870.46s -> 872.46s]  Кого того? Я не понимаю!
[872.46s -> 874.46s]  Один серьезный человек из Москвы
[874.46s -> 876.46s]  глаз на наш лес положил.
[876.46s -> 878.46s]  Нужно ему помочь.
[878.46s -> 880.46s]  Не безвозмездно, конечно.
[880.46s -> 882.46s]  Будет тогда тебе
[882.46s -> 884.46s]  новая машина и шуба
[884.46s -> 886.46s]  Мальдивы.
[886.46s -> 890.15s]  Значит так.
[890.15s -> 892.15s]  Я тоже хочу вдоль.
[892.15s -> 894.15s]  Но если
[894.15s -> 896.15s]  не хотите, чтобы Катя узнала.
