[4.46s -> 19.76s]  1.0 к пользу ряженки.
[294.91s -> 296.51s]  Закаливание кипятком.
[296.51s -> 299.91s]  Для этого нам понадобится кипяток и человек, у которого
[299.91s -> 301.11s]  нет ближайших родственников.
[301.11s -> 303.71s]  Не переживайте, во время этого опыта еще ни один человек
[303.71s -> 304.71s]  не пострадал.
[304.71s -> 306.71s]  Справедливости ради стоит сказать, что я про Уойцел
[306.71s -> 307.71s]  впервые.
[307.71s -> 308.71s]  Чё?
[308.71s -> 309.71s]  Хочешь быть, как Дэдпул?
[309.71s -> 310.71s]  Да.
[310.71s -> 312.11s]  Ну вот и костюм мне понадобится.
[313.11s -> 314.11s]  ААААААА!
[314.11s -> 315.11s]  *****!!
[315.11s -> 319.34s]  Вы скажете, что кровавый в Валдереи это жестоко.
[319.34s -> 321.74s]  Зато он хотя бы не простудится.
[321.74s -> 333.07s]  Ну что, сегодня мы вновь разобрали азы, которые
[333.07s -> 335.07s]  помогут тебе придавливаться к идеальному телу, а в следующем
[335.07s -> 338.07s]  выпуске я расскажу тебе, как сливаться с углем так,
[338.07s -> 343.09s]  чтобы бесплатно путешествовать по России на товарных поездах.
[343.09s -> 345.09s]  С тебя подписка и коммент.
[345.09s -> 346.09s]  И не забывай...
[346.09s -> 348.09s]  ***, забыл.
[348.09s -> 352.91s]  BOO BITCH GET OUT THE WAY!
[352.91s -> 356.67s]  BOO BITCH GET OUT THE WAY!
[356.67s -> 357.87s]  BOO BITCH GET OUT THE WAY!
