[1.07s -> 5.07s]  В этом выпуске
[250.18s -> 252.18s]  Разрешаю
[252.18s -> 254.18s]  Услышу слово
[255.18s -> 258.18s]  Я язык отрежу, как боженька
[260.18s -> 262.18s]  Свободны
[262.18s -> 264.18s]  Пока
[264.18s -> 266.18s]  Можно покурить
[275.22s -> 281.99s]  Это танк
[281.99s -> 283.99s]  Танк, говорю
[283.99s -> 285.99s]  Так точно
[285.99s -> 287.99s]  Настоящая боевая машина
[287.99s -> 289.99s]  Так точно
[289.99s -> 291.99s]  Настоящая ценность
[291.99s -> 293.99s]  Ценность, так точно
[293.99s -> 295.99s]  Не то, что вы
[295.99s -> 297.99s]  Засранцы
[297.99s -> 299.99s]  Значит, слушай боевую задачу
[300.99s -> 302.99s]  В конце трассы
[302.99s -> 304.99s]  Вы должны поразить цель
[304.99s -> 306.99s]  Из танково оружие
[306.99s -> 308.99s]  Трасса кишмя-кишит
[308.99s -> 310.99s]  Живой силой противника
[310.99s -> 312.99s]  Поразить вы их можете
[312.99s -> 314.99s]  Только и стрелково
[314.99s -> 316.99s]  Высунувшись из башни
[316.99s -> 318.99s]  Высунувшись из башни
[318.99s -> 320.99s]  Высунувшись из башни, ты понял, сынок?
[320.99s -> 321.99s]  Так точно
[321.99s -> 323.99s]  Молодец, молодец
[323.99s -> 325.99s]  Дальше
[325.99s -> 327.99s]  Вторая часть трассы
[327.99s -> 329.99s]  После полосы препятствий
[329.99s -> 331.99s]  Ползете как черви
[331.99s -> 333.99s]  Что хотите?
[333.99s -> 335.99s]  Землю жрите, ваше дело
[335.99s -> 337.99s]  Кто чем прибором зацепился, прибор убрать
[337.99s -> 339.99s]  После полосы препятствий
[339.99s -> 341.99s]  Прикрываясь БТР как за мамкиной юбкой
[341.99s -> 343.99s]  Когда вас отец идет драть
[343.99s -> 345.99s]  Разум учить с ремнем
[345.99s -> 347.99s]  Вы должны из орудия
[347.99s -> 349.99s]  Поразить цель
[349.99s -> 351.99s]  Задача ясна?
[351.99s -> 353.99s]  Так точно
[353.99s -> 355.99s]  Время пошло
[355.99s -> 357.99s]  В жопу?
[357.99s -> 359.99s]  Так точно, в жопу
[359.99s -> 361.99s]  В танк, быстро!
[363.99s -> 365.99s]  Господи боже мой
[365.99s -> 367.99s]  На настоящем танке
[367.99s -> 369.99s]  Саше, Максу и Авету
[369.99s -> 371.99s]  Предстоит проехать трассу
[371.99s -> 373.99s]  Военного полигона
[373.99s -> 375.99s]  По пути они должны будут
[375.99s -> 377.99s]  Стрелять в фигурки врагов
[377.99s -> 379.99s]  Из пинтбольных ружей
[379.99s -> 381.99s]  И даже взорвать цель
[381.99s -> 383.99s]  Да-да, из танкового орудия
[383.99s -> 385.99s]  Но это не все
[385.99s -> 387.99s]  В середине трассы парни пройдут полосу препятствий
[387.99s -> 389.99s]  Им необходимо вывести из танка
[389.99s -> 391.99s]  Проползти под колючей проволокой
[391.99s -> 393.99s]  Обижать все препятствия
[393.99s -> 395.99s]  И попасть в мишени
[395.99s -> 397.99s]  Из автомата Калашникова
[397.99s -> 399.99s]  Затем парням нужно вернуться в танк
[399.99s -> 401.99s]  И доехать до финиша
[401.99s -> 403.99s]  За выполнением строго следит
[403.99s -> 405.99s]  Подполковник Людый
[405.99s -> 407.99s]  С ним шутки не пошутишь
[407.99s -> 409.99s]  Но парни все равно будут стараться
[409.99s -> 425.40s]  А трасса я прошел самым первой
[425.40s -> 427.40s]  Вообще основные минусы
[427.40s -> 429.40s]  *****, как холодно
[429.40s -> 431.40s]  Можно много пиков будет
[431.40s -> 433.40s]  Ну пошел, пошел, пошел
[433.40s -> 436.97s]  *****, как холодно
[436.97s -> 438.97s]  *****, как узко
[438.97s -> 440.97s]  Вот это дуло
[440.97s -> 442.97s]  Ты вылезаешь, просто бьешься об нем
[442.97s -> 444.97s]  Я тебе уже стараюсь убить врагов
[444.97s -> 448.86s]  Один попал
[448.86s -> 450.86s]  На танке есть такая тема
[450.86s -> 452.86s]  Типа, когда ты едешь на машине
[452.86s -> 454.86s]  Тебе кажется, что ты где-то не проедешь
[454.86s -> 456.86s]  Что-то ты не сделаешь
[456.86s -> 458.86s]  Ты проезжаешь, просто едешь
[458.86s -> 464.15s]  Учись, смотри, смотри, учись
[464.15s -> 479.24s]  Не знаю, где они именно будут
[479.24s -> 481.24s]  И как взорвалась эта хрень
[481.24s -> 483.24s]  У кого меня, я вообще охренел
[483.24s -> 485.24s]  О, это как
[485.24s -> 494.12s]  Как торчит, ел
[494.12s -> 496.12s]  Ты его любой снайпер снимешь
[496.12s -> 504.04s]  *****
[504.04s -> 506.04s]  Молодец
[506.04s -> 512.10s]  Нежнее это с машины
[512.10s -> 514.10s]  Нежнее надо нежнее
[514.10s -> 516.10s]  Не бабу-то зажимаешь ты
[516.10s -> 524.22s]  Позицию
[524.22s -> 526.22s]  Позицию выбирай
[526.22s -> 546.23s]  Какой-то тормотив
[546.23s -> 548.23s]  Какой-то тормотив
[548.23s -> 550.23s]  Все выспаться успели
[550.23s -> 552.23s]  Разрешите обратиться
[552.23s -> 554.23s]  Обращайся
[554.23s -> 556.23s]  Чай горячий будете
[556.23s -> 558.23s]  Я буду, вы нет
[558.23s -> 560.23s]  Тогда держите
[560.23s -> 562.23s]  Спасибо
[562.23s -> 566.63s]  Не задень там
[566.63s -> 568.63s]  Не задень
[568.63s -> 570.63s]  Задник ниже
[572.63s -> 574.63s]  Я еще упал, я порвал очко
[574.63s -> 576.63s]  Но не так, что
[576.63s -> 578.63s]  Ну реально порвался
[578.63s -> 580.63s]  В клочья, нарвался
[580.63s -> 587.40s]  Короче, с автоматом была проблема
[591.40s -> 593.40s]  Короче, с автоматом на самом деле не было проблем
[595.40s -> 597.40s]  Ну, давай я ребятам подготовлю
[597.40s -> 599.40s]  Хотя бы он *****
[599.40s -> 601.40s]  На самом деле, когда я подбежал к автомату
[601.40s -> 603.40s]  Не работал затвор
[603.40s -> 623.29s]  О, красиво
[623.29s -> 625.29s]  Не, ну он хорошо дал
[625.29s -> 627.29s]  Под конец он хорошо поехал
[627.29s -> 632.20s]  Самое главное, знаете что?
[632.20s -> 634.20s]  Что в этот раз
[634.20s -> 636.20s]  Не пострадала ни одна гусеница
[636.20s -> 638.20s]  И танк не сломался
[638.20s -> 640.20s]  Ничего не взорвалось, ничего не сгорело
[640.20s -> 642.20s]  Три лошадиные силы
[642.20s -> 644.20s]  Авет храбрый малый
[644.20s -> 646.20s]  Ему выполнил простой жребий
[646.20s -> 648.20s]  Пройти испытание первым
[648.20s -> 650.20s]  Он героически разведал обстановку
[650.20s -> 652.20s]  И принес подполковнику важное донесение
[652.20s -> 654.20s]  Время Авета 7 минут 23 секунды
[656.20s -> 658.20s]  Как только я подошел к танку
[658.20s -> 663.82s]  Сразу же первое, что мне просто невероятно
[663.82s -> 665.82s]  Бросило в глаза, что я в него еле залез
[665.82s -> 687.05s]  И потом я так понял, что еле из него вылезу
[689.05s -> 691.05s]  Достала первая мишень
[691.05s -> 693.05s]  Из бинбольного оружия я никогда не стрелял
[693.05s -> 695.05s]  Было очень странно
[695.05s -> 703.22s]  Постоянно, типа, спивало эти шарики
[703.22s -> 705.22s]  Но в итоге я попал
[705.22s -> 707.22s]  Ну, ну, ну, ну, ну
[707.22s -> 709.22s]  Да, да, да, да, да
[709.22s -> 711.22s]  Ну, пошел, смелее пошел, смелее
[711.22s -> 713.22s]  Грязь в лицо, просто вот так
[713.22s -> 715.22s]  Шматки вот так, один за одним
[715.22s -> 718.86s]  Вот так грязь у меня хреначил
[718.86s -> 720.86s]  Доехали до следующей мишени
[722.86s -> 724.86s]  А молодец, а
[724.86s -> 726.86s]  Рядом с правым бортом
[726.86s -> 737.66s]  Были просто невероятные битвы
[737.66s -> 739.66s]  Смел
[739.66s -> 741.66s]  О, я, я, я
[741.66s -> 743.66s]  А то и на фоне
[743.66s -> 745.66s]  Вместе с ним
[745.66s -> 747.66s]  Семьёв. О, ёп.
[751.03s -> 756.03s]  Ну, типа, это настолько было неожиданно, что у меня уши, ну, типа, настолько заложило, они просто, они свинят.
[756.03s -> 765.03s]  Я, ну, я ничего не понимаю. У меня наушник, у меня был наушник, который мне говорили, как-что координировали, и вообще ничего не было слышно.
[765.03s -> 767.03s]  Вышел на позицию, выстрелил, ну!
[767.03s -> 786.71s]  Затем был второй взрыв, именно с самого танка, из дула, и, ну, нереально, там такой взрыв, там вот так вот было.
[786.71s -> 788.71s]  Вот машина, а! Вот машина!
[789.71s -> 797.71s]  Это очень страшно, потому что это было, во-первых, неожиданно, во-вторых, опять уши ещё сильнее заложило, но это ни с чем не сравнится.
[799.71s -> 814.20s]  Пусинцы, давай, ёж, наворачивай, ёночки!
[827.01s -> 829.01s]  Ну, выскочил, выскочил!
[831.01s -> 834.01s]  Вот парень, а! Не амелись, у него толк будет, пусть!
[837.01s -> 839.01s]  Отыгрыш не получится, выключился.
[839.01s -> 841.01s]  Я еле вылез из этого танка, побежал.
[841.01s -> 843.01s]  Давай, давай, давай, давай!
[844.01s -> 849.01s]  Что у меня было внутри меня, это сделать овета, быстрее, намного быстрее пройти, чем он.
[850.01s -> 851.01s]  Вот, бежать как!
[852.01s -> 855.01s]  Колеса, колеса, малёса, короче, ну, красиво.
[856.01s -> 870.19s]  Дымовой завес, всё, да всё, дымов, всё, не вижу. Нет, нет, нет, вот он, вот он, вот он.
[871.19s -> 892.78s]  Автомат, с которым я имел дело, я быстренько с ним разобрался.
[892.78s -> 905.76s]  Не строчишь, как из пулемёта!
[905.76s -> 908.76s]  Расстрелял и максимально быстро побежал назад.
[909.76s -> 922.43s]  Ну, я тебе должен сказать, ты бегаешь немедленно, нет, даже быстрее, я скажу.
[923.43s -> 924.43s]  Спасибо большое.
[924.43s -> 927.43s]  Не знаю, то ли ты перевидел манек, то ли так бежал.
[930.43s -> 935.43s]  Там осталось только финишная приманка, которую мне просто, ну, так вот, тапочку с полку надавить на газ и пройти.
[937.43s -> 945.35s]  Ну, я из вас солдат сделаю.
[945.35s -> 950.30s]  Этот солдатик точно даст огоньку.
[958.82s -> 961.82s]  Служба в армии явно не прошла для Макса зря.
[962.82s -> 966.82s]  Он учёл ошибки Авета, стрелял более метко, ехал быстрее.
[967.82s -> 970.82s]  Его результат – 7 минут 10 секунд.
[974.10s -> 976.10s]  Ну, пошёл, пошёл, пошёл.
[976.10s -> 999.34s]  Поехал с Анчитой.
[999.34s -> 1000.34s]  Пошёл!
[1000.34s -> 1002.34s]  Моя мечта наконец-то исполнилась.
[1002.34s -> 1007.34s]  Честно, с самого детства хотел оказаться внутри танка, да ещё и за рулём, да ещё и пострелять.
[1007.34s -> 1008.34s]  А что, идёт?
[1008.34s -> 1009.34s]  Хорошо.
[1009.34s -> 1020.06s]  Насколько тяжело было ещё при этом вылезать, когда мы останавливались и стреляли.
[1020.06s -> 1021.06s]  Попал!
[1021.06s -> 1022.06s]  Попал!
[1022.06s -> 1023.06s]  Кабанин поднялся.
[1023.06s -> 1024.06s]  Ой, нет.
[1024.06s -> 1043.71s]  Хорошо он проходит.
[1043.71s -> 1045.71s]  Не соберёшь, по костям не соберёшь.
[1045.71s -> 1048.71s]  У тебя так быстро выскочить, взять оружие и пострелять.
[1050.71s -> 1051.71s]  Вот это хорошо.
[1051.71s -> 1053.71s]  Вообще, просто шокер.
[1053.71s -> 1067.16s]  Баба, как?
[1067.16s -> 1068.16s]  Домой!
[1069.16s -> 1072.16s]  Людко, блин, вообще, с соседнего села, блин.
[1072.16s -> 1074.16s]  Я сразу понял, что это, как минимум, жирная жопа.
[1074.16s -> 1076.16s]  Это я точно обгоняю.
[1076.16s -> 1107.85s]  Как поскочил?
[1107.85s -> 1110.85s]  А ты жопой зацепился, никто не глядел!
[1110.85s -> 1111.85s]  Во!
[1111.85s -> 1112.85s]  Во!
[1112.85s -> 1120.66s]  Смотри, как вылезает!
[1120.66s -> 1121.66s]  Ха!
[1121.66s -> 1122.66s]  Заменяет!
[1122.66s -> 1125.66s]  Проползать это было, это было жердие.
[1125.66s -> 1127.66s]  Это было очень неудобно, очень было некомфортно.
[1127.66s -> 1134.09s]  И ещё пирт ударился в землю.
[1134.09s -> 1139.09s]  Та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та.
[1139.09s -> 1140.09s]  Ну, что там?
[1140.09s -> 1159.81s]  Что там?
[1159.81s -> 1160.81s]  Что там?
[1160.81s -> 1162.81s]  Вот, теперь финишную прямую сейчас пройдёт.
[1162.81s -> 1163.81s]  Хорошо пройдёт?
[1163.81s -> 1164.81s]  Я за него.
[1164.81s -> 1165.81s]  За него?
[1165.81s -> 1166.81s]  Не беспокоюсь.
[1166.81s -> 1167.81s]  А.
[1167.81s -> 1169.81s]  У меня даже слов нету, язык закритается, потому что
[1169.81s -> 1173.81s]  одни эмоции, но мне безумно понравилось и самое фиговое,
[1173.81s -> 1176.81s]  что, блин, прикиньте, это только шестой или седьмой
[1176.81s -> 1179.81s]  выпуск трёхпочетней силы, мы гоняем на танк.
[1179.81s -> 1182.81s]  А что нас ждёт впереди?
[1182.81s -> 1185.81s]  В гляде на мальчика, на мальчика.
[1186.81s -> 1190.81s]  Глядя на Макса и Авета, рядовой Стоун явно набрался
[1190.81s -> 1191.81s]  опыта.
[1191.81s -> 1195.81s]  Выходить на поле боя последним не спортивно, однако именно
[1195.81s -> 1199.81s]  спортивная подготовка и воля к победе очень сильно
[1199.81s -> 1200.81s]  помогли Саше.
[1200.81s -> 1205.81s]  Он прошёл трассу быстрее всех, за 7 минут 2 секунды.
[1205.81s -> 1209.89s]  Это лучший результат.
[1209.89s -> 1222.92s]  Ну что ж, позвольте вам вручить удостоверение танкиста.
[1223.92s -> 1224.92s]  Прошу.
[1225.92s -> 1228.30s]  Спасибо большое.
[1228.30s -> 1230.30s]  Игумнов Максим.
[1230.30s -> 1231.30s]  Я.
[1231.30s -> 1232.30s]  Спасибо.
[1232.30s -> 1233.30s]  Держи.
[1233.30s -> 1236.30s]  Зарубин Александр.
[1236.30s -> 1237.30s]  Спасибо.
[1237.30s -> 1238.30s]  Держи.
[1238.30s -> 1242.30s]  Ну что, ребята, должен вам сказать, что честно, не
[1242.30s -> 1243.30s]  ожидал.
[1243.30s -> 1244.30s]  Молодцы.
[1244.30s -> 1248.30s]  Зарубин, ты меня просто удивил, просто удивил.
[1249.30s -> 1253.30s]  Да, я считаю, что ты, в общем, готов на хорошем уровне.
[1254.30s -> 1255.30s]  Спасибо.
[1255.30s -> 1256.30s]  Я поздравляю вас.
[1256.30s -> 1259.30s]  Честно говоря, рад, что есть кому передать.
[1259.30s -> 1262.30s]  Это великое дело защиты нашей Родины.
[1262.30s -> 1263.30s]  Молодцы.
[1263.30s -> 1264.30s]  Поздравляю.
[1264.30s -> 1265.30s]  Ура!
[1265.30s -> 1266.30s]  Ура!
[1266.30s -> 1268.80s]  Ура!
[1268.80s -> 1269.80s]  Самое важное.
[1269.80s -> 1272.80s]  Я хочу вам, ребятки, сказать, посмотрите, что это только
[1272.80s -> 1276.80s]  7 выпуск, и вы вспомните 6 выпусков назад, с чего мы
[1276.80s -> 1279.80s]  начинали и до чего мы уже доросли, и с каждым разом
[1279.80s -> 1282.80s]  мы увеличиваем масштаб, мы приглашаем популярных,
[1282.80s -> 1284.80s]  уважаемых и просто интересных людей.
[1284.80s -> 1289.80s]  Мы растем вообще в целом в канале, в масштабах,
[1289.80s -> 1292.80s]  в команде, в съемке, в оборудовании, во всем.
[1292.80s -> 1295.80s]  Поэтому, ребятки, самое главное, что вы можете сделать
[1295.80s -> 1298.80s]  для нас, это подписаться на канал, смотреть, ставить
[1298.80s -> 1301.80s]  лайки, отправлять маме, папе, бабушке, всем, кому
[1301.80s -> 1302.80s]  можно.
[1302.80s -> 1303.80s]  Мы вас любим.
[1303.80s -> 1304.80s]  Скоро новая серия.
[1304.80s -> 1305.80s]  А колокольчик?
[1305.80s -> 1306.80s]  Нет.
[1306.80s -> 1307.80s]  В рту бегло колокольчик.
[1307.80s -> 1308.80s]  Вы кого убили?
[1308.80s -> 1309.80s]  Все встали.
[1309.80s -> 1310.80s]  Всем спасибо.
[1310.80s -> 1311.80s]  Домой бегом, засранцы!
[1311.80s -> 1312.80s]  Бегом!
[1312.80s -> 1313.80s]  Подпишитесь.
[1313.80s -> 1318.20s]  Подписывайтесь на наш канал.
