[0.00s -> 3.24s]  Это ощущение невероёмного полёта!
[456.46s -> 458.46s]  Или в ёлках?
[458.46s -> 460.46s]  Или в сволочах?
[460.46s -> 462.46s]  Или в яралаших?
[462.46s -> 464.46s]  Погнали. Третье вопрос.
[464.46s -> 466.46s]  Сколько олимпийских медалей
[466.46s -> 468.46s]  в спортивной гимнастике
[468.46s -> 470.46s]  за всю историю соревнований
[470.46s -> 472.46s]  завоевала сборная Бразилии?
[472.46s -> 474.46s]  14, 13, 10.
[474.46s -> 476.46s]  Сколько? 8.
[476.46s -> 478.46s]  А какие были еще?
[478.46s -> 480.46s]  5, что ли?
[480.50s -> 482.50s]  4.
[486.50s -> 488.50s]  В каком году образовалась
[488.50s -> 490.50s]  Международная Федерация гимнастик?
[490.50s -> 492.50s]  1989.
[492.50s -> 494.50s]  1991.
[494.50s -> 496.50s]  1960.
[496.50s -> 498.50s]  1997.
[500.50s -> 502.50s]  Ну, погнали.
[502.50s -> 504.50s]  Какой элемент в спортивной гимнастике
[504.50s -> 506.50s]  назван в честь Никиты Нагорного?
[506.50s -> 508.50s]  Тройной сальто вперед с группировкой.
[508.54s -> 510.54s]  Тройной сальто назад с группировкой.
[510.54s -> 512.54s]  Вот это точно.
[512.54s -> 514.54s]  Двойной сальто вот это.
[514.54s -> 516.54s]  Согнувшись вот это.
[516.54s -> 518.54s]  Вот это.
[518.54s -> 520.54s]  Тройной сальто согнувшись.
[520.54s -> 522.54s]  Ну, конечно.
[522.54s -> 524.54s]  А там столько всяких тройных.
[524.54s -> 526.54s]  Назад, вперед, четверных.
[526.54s -> 528.54s]  Ты очень круто висишь на кольцах.
[528.54s -> 530.54s]  И еще круче отвечаешь на вопросы
[530.54s -> 532.54s]  про гимнастику.
[532.54s -> 534.54s]  Да, главное попасть вовремя.
[534.54s -> 536.54s]  Идем дальше изучать спортивную гимнастику
[536.58s -> 538.58s]  и тренироваться с Никитом Нагорным.
[542.91s -> 544.91s]  Ну что, сейчас я проведу для вас
[544.91s -> 546.91s]  разминку, как делает прямо сборная команда.
[546.91s -> 548.91s]  Вы повторяете за мной.
[548.91s -> 550.91s]  Ничего сложного в этом нет.
[550.91s -> 552.91s]  Но главное размять все группы мышц.
[552.91s -> 554.91s]  Мы уже с вами побегали.
[554.91s -> 556.91s]  Сейчас 5 километров, правильно?
[556.91s -> 558.91s]  Да.
[558.91s -> 560.91s]  У тебя руки гимнастические.
[560.91s -> 562.91s]  Да у тебя все по-моему.
[562.91s -> 564.91s]  Да?
[564.91s -> 566.91s]  Круче у меня.
[566.95s -> 568.95s]  Сейчас можно повторять.
[573.95s -> 575.95s]  Здорово.
[575.95s -> 577.95s]  Здорово.
[577.95s -> 579.95s]  Пойдем сюда, пожалуйста.
[579.95s -> 581.95s]  Так, взяли группировочку.
[581.95s -> 583.95s]  И сейчас.
[585.95s -> 587.95s]  Ага.
[587.95s -> 589.95s]  Ой.
[589.95s -> 591.95s]  У меня вот здесь вот тяночка.
[591.95s -> 593.95s]  Все, все.
[593.95s -> 595.95s]  Все задача.
[595.99s -> 597.99s]  Еще раз вперед.
[599.99s -> 601.99s]  Супер, супер.
[601.99s -> 603.99s]  И голова вверх туда, вот прям назад-назад.
[603.99s -> 605.99s]  Подняться наверх.
[605.99s -> 607.99s]  Будем с вами учить делать сальто назад.
[607.99s -> 609.99s]  Ну а пока мы начнем
[609.99s -> 611.99s]  с самых простых первых упражнений.
[611.99s -> 613.99s]  Детских упражнений.
[613.99s -> 615.99s]  Ручки на пояс и просто прыгаем до конца.
[615.99s -> 620.46s]  По полосочке.
[620.46s -> 622.46s]  А носочки выпреплять?
[622.46s -> 624.46s]  Супер.
[631.94s -> 633.94s]  Супер.
[633.94s -> 635.94s]  Супер.
[635.94s -> 637.94s]  Передышка небольшая.
[637.94s -> 639.94s]  Извини, Сань.
[639.94s -> 641.94s]  Не надо было звать меня.
[641.94s -> 643.94s]  Не надо было звать меня.
[643.94s -> 645.94s]  Сальто назад делается, по сути, вот.
[645.94s -> 647.94s]  Самое главное это первая часть.
[647.94s -> 649.94s]  Толчок.
[649.94s -> 651.94s]  Здесь нам нужно поставить руки.
[651.94s -> 653.94s]  Далее просто махнуть ими назад.
[653.94s -> 655.94s]  И в этот момент сделать пружинку.
[655.94s -> 657.94s]  И выправнуть назад на подушку.
[657.94s -> 659.94s]  То есть получается.
[659.94s -> 660.94s]  Раз.
[660.94s -> 661.94s]  Два.
[661.94s -> 663.94s]  Три.
[665.94s -> 667.94s]  Всегда для меня, наверное, сальто назад
[667.94s -> 669.94s]  являлся таким вот проверочным
[669.94s -> 671.94s]  в первую очередь для себя элементом
[671.94s -> 673.94s]  как могут ребята
[673.94s -> 675.94s]  попробовать себя в гимнастике.
[675.94s -> 677.94s]  И есть разные.
[677.94s -> 679.94s]  Понятное дело, что есть намного легче, чем сальто назад.
[679.94s -> 681.94s]  Но когда человек делает сальто назад
[681.94s -> 683.94s]  мне всегда в очередной раз подтверждает,
[683.94s -> 685.94s]  что гимнастика она для всех.
[685.94s -> 687.94s]  Сальто?
[687.94s -> 689.94s]  Легко.
[689.94s -> 691.94s]  Не такое еще бывало на съемках.
[691.94s -> 693.94s]  Какой сальто?
[693.94s -> 695.94s]  О чем вы вообще?
[695.94s -> 697.94s]  Ноги при этом не надо поднимать,
[697.94s -> 699.94s]  просто ноги висят здесь.
[699.94s -> 701.94s]  Все очень просто.
[701.94s -> 703.94s]  Супер.
[703.94s -> 705.94s]  Идеально.
[705.94s -> 707.94s]  Только попробуй не останавливать здесь руки,
[707.94s -> 709.94s]  а прямо назад ими, чтобы они, конечно,
[709.94s -> 711.94s]  бились об эту обмат.
[711.94s -> 713.94s]  Да, еще можешь сильнее.
[713.94s -> 715.94s]  Руки.
[715.94s -> 717.94s]  Ага, идеально.
[717.94s -> 719.94s]  Роман?
[719.94s -> 721.94s]  Только сильно не ржите.
[721.94s -> 723.94s]  Стой, спокойно, не суетись.
[723.94s -> 725.94s]  Руки сначала.
[725.94s -> 727.94s]  А их не оттуда разлежешь?
[727.94s -> 729.94s]  Ты же должен махнуть.
[729.94s -> 731.94s]  Они должны быть полурасслабленные такие.
[731.94s -> 733.94s]  Да, да, да.
[733.94s -> 735.94s]  Хорошо?
[735.94s -> 737.94s]  Ну все.
[737.94s -> 739.94s]  Я тебя снизу.
[739.94s -> 741.94s]  Руки вперед сначала.
[741.94s -> 743.94s]  О, идеально.
[743.94s -> 745.94s]  Хорошо.
[745.94s -> 747.94s]  Спасибо, тренер.
[747.94s -> 749.94s]  Следующее упражнение.
[749.94s -> 751.94s]  Все то же самое, абсолютно ничего не меняю.
[751.94s -> 753.94s]  Все идеально.
[753.94s -> 755.94s]  Просто в самом конце мы берем группировку.
[755.94s -> 757.94s]  То есть выпрягнули
[757.94s -> 759.94s]  и группировку.
[759.94s -> 763.58s]  Да, да, молодец.
[763.58s -> 765.58s]  Только группируйся чуть-чуть пораньше,
[765.58s -> 767.58s]  потому что тебе нужно взять.
[767.58s -> 769.58s]  Ты не берешь группировку, нужна группировка.
[769.58s -> 771.58s]  Ага, супер.
[771.58s -> 773.58s]  Роман, ваша очередь.
[773.58s -> 775.58s]  Тоже самое.
[775.58s -> 782.79s]  Ага, хорошо.
[782.79s -> 784.79s]  Чуть-чуть побыстрее группировку надо брать.
[784.79s -> 786.79s]  Ага.
[786.79s -> 788.79s]  О, так тоже пойдет.
[788.79s -> 790.79s]  Это салто углом, это еще сложнее будет.
[790.79s -> 792.79s]  Понял.
[792.79s -> 794.79s]  Что такое?
[794.79s -> 796.79s]  Вот здесь хватай группировку.
[798.79s -> 800.79s]  Попробуй чуть-чуть ниже.
[802.79s -> 804.79s]  Снизу, вот так за бедра прямо.
[804.79s -> 806.79s]  Попробуй.
[806.79s -> 808.79s]  У тебя тоже сальто сделаешь.
[810.79s -> 814.10s]  Очень круто, на самом деле.
[814.10s -> 816.10s]  Это реально очень круто.
[816.10s -> 818.10s]  Я правда говорю.
[818.10s -> 820.10s]  Ну что, гимнасты готовы
[820.10s -> 822.10s]  идти делать впервые в жизни сальто назад.
[822.10s -> 824.10s]  Рома, конечно, побольше готов,
[824.10s -> 826.10s]  но тем не менее.
[826.10s -> 828.10s]  Я правда понимаю, что сейчас кто лучше сделает,
[828.10s -> 830.10s]  тот и выигрывает.
[830.10s -> 832.10s]  Вообще сделает дело.
[832.10s -> 834.10s]  Да, я думаю, что здесь задача, кто сделает
[834.10s -> 836.10s]  сам, тот и выиграет.
[836.10s -> 838.10s]  Ага.
[838.10s -> 840.10s]  Ну и, соответственно, пора, мне кажется,
[840.10s -> 842.10s]  тогда сказать наказание.
[842.10s -> 844.10s]  Лицом вот так вот в тальк.
[844.10s -> 846.10s]  Да. Добренько.
[846.10s -> 848.10s]  Ох.
[848.10s -> 850.10s]  Договорились? Да, поругал.
[850.10s -> 852.10s]  Погнали.
[852.10s -> 854.10s]  Камень, ножницы, бумага.
[854.10s -> 856.10s]  Раз, два, три. Раз, два, три.
[856.10s -> 858.10s]  Раз, два, три.
[858.10s -> 860.10s]  Сука.
[860.10s -> 862.10s]  Поздравляю. Саш, ты победил,
[862.10s -> 864.10s]  а ты начинаешь делать сальто назад.
[864.10s -> 866.10s]  Поехали.
[866.10s -> 868.10s]  Все, у нас так, кто победил, тот первый делает.
[868.10s -> 870.10s]  Готов? Нет, да.
[870.10s -> 872.10s]  Сейчас, да, нет, да, да.
[872.10s -> 874.10s]  Готов.
[874.10s -> 876.10s]  Если ты хоть раз сказал да, значит готов.
[876.10s -> 878.10s]  Спокойно, не суетись. Спокойно.
[878.10s -> 880.10s]  Сзади кубы. Все, я тебя страхую.
[880.10s -> 882.10s]  Все можно? Не передумывай, просто делай.
[882.10s -> 884.10s]  Все делаем, да? Поехали, да. Смелее.
[896.23s -> 898.23s]  Все, готовый элемент.
[898.23s -> 900.23s]  Стоишь, руки здесь,
[900.23s -> 903.61s]  руки ушли назад,
[903.61s -> 905.61s]  ты выпрыгиваешь, смотри, послушай,
[905.61s -> 907.61s]  выпрыгиваешь с тем, что ты
[907.61s -> 909.61s]  уже летишь назад.
[909.61s -> 911.61s]  После того, как ты почувствовал,
[911.61s -> 913.61s]  что ты уже летишь назад,
[913.61s -> 915.61s]  поджимай ноги к себе. Все, у тебя все получится.
[915.61s -> 917.61s]  Ромка, чего ты боишься?
[917.61s -> 919.61s]  Тебя ж не сломать.
[919.61s -> 932.07s]  Подожди, я хочу закрепить.
[932.07s -> 934.07s]  Это ощущение невероемного полета.
[936.07s -> 938.07s]  Удивлен.
[938.07s -> 940.07s]  Ромка не из робкого десятка.
[942.07s -> 944.07s]  Сильный взмак, сильный толчок.
[944.07s -> 946.07s]  И группировку держим до конца.
[948.07s -> 952.60s]  Ну я же говорил, все делают.
[952.60s -> 954.60s]  Приходите в спортивную гимнастику.
[954.60s -> 956.60s]  Я просто держал максимальное
[956.60s -> 958.60s]  спокойствие, но я не верил,
[958.60s -> 960.60s]  что он сможет сам перевернуться.
[960.60s -> 962.60s]  Ром, красава. Спасибо большое.
[962.60s -> 964.60s]  Спасибо, Ром. Очень круто.
[964.60s -> 966.60s]  Спасибо, это было круто, правда.
[966.60s -> 968.60s]  Ребят, но я правда, честно,
[968.60s -> 970.60s]  не могу сказать, что здесь кто-то проиграл сегодня.
[970.60s -> 972.60s]  Я могу сказать только, что вы вместе
[972.60s -> 974.60s]  победили, потому что это было
[974.60s -> 976.60s]  нереально. Я согласен.
[976.60s -> 978.60s]  Придется мне лезть в защитнику греха.
[980.60s -> 982.60s]  Полетим вместе все.
[982.60s -> 984.60s]  А у нас есть, в принципе,
[984.60s -> 986.60s]  одна викторина, которая может решить
[986.60s -> 988.60s]  исход битвы. Викторина?
[988.60s -> 990.60s]  Да. Где с ноль просто, да?
[990.60s -> 992.60s]  У каждого снаряда нам редактор
[992.60s -> 994.60s]  будет задавать вопрос. Отвечаем правильно.
[994.60s -> 996.60s]  Молодец, получаешь балл. Отвечаешь неправильно,
[996.60s -> 998.60s]  убьешь какой-то элемент.
[998.60s -> 1000.60s]  Добро.
[1000.60s -> 1002.60s]  Погнали.
[1002.60s -> 1004.60s]  Ну что, физически я уже
[1004.60s -> 1006.60s]  понял, что вы настоящий гимнаст.
[1006.60s -> 1008.60s]  Теперь осталось немножечко познакомиться
[1008.60s -> 1010.60s]  со снарядами.
[1010.60s -> 1012.60s]  Ну и, конечно же, ответить правильно
[1012.60s -> 1014.60s]  на вопросы, связанные
[1014.60s -> 1016.60s]  непосредственно сегодня у нас конь-махи.
[1016.60s -> 1018.60s]  Называется он конь-махи.
[1018.60s -> 1020.60s]  Слушайте, у нас в школе все время в спортивном зале
[1020.60s -> 1022.60s]  был козел. В какой момент
[1022.60s -> 1024.60s]  он стал конем? Не надо называть
[1024.60s -> 1026.60s]  коня козлом, потому что козлы только
[1026.60s -> 1028.60s]  в медиалиге. Почему конь-махи?
[1028.60s -> 1030.60s]  Ну потому что похож на коня,
[1030.60s -> 1032.60s]  можно на него даже запрыгнуть,
[1032.60s -> 1034.60s]  как на коня, и все. Только он
[1034.60s -> 1036.60s]  не едет никуда.
[1036.60s -> 1038.60s]  А махи, потому что на нем иногда
[1038.60s -> 1040.60s]  делаются элементы маховые.
[1040.60s -> 1042.60s]  Допустим, такие.
[1042.60s -> 1044.60s]  Это всегда меня поражало, как это
[1044.60s -> 1046.60s]  просто возможно вообще. Есть правило,
[1046.60s -> 1048.60s]  что только одно маховое
[1048.60s -> 1050.60s]  должно быть обязательно в программе,
[1050.60s -> 1052.60s]  а дальше уже только круги.
[1052.60s -> 1054.60s]  Брэк-данс на коне? Да.
[1054.60s -> 1056.60s]  Ну просто вот.
[1058.60s -> 1060.60s]  Ну а теперь вопрос про
[1060.60s -> 1062.60s]  этот замечательный снаряд.
[1062.60s -> 1064.60s]  Из какой страны действующий
[1064.60s -> 1066.60s]  олимпийский чемпион в упражнении
[1066.60s -> 1068.60s]  на коне? В России.
[1068.60s -> 1070.60s]  Ага, тихо-тихо. У меня есть возможность
[1070.60s -> 1072.60s]  подумать. Действующий чемпион в России, олимпийский.
[1072.60s -> 1074.60s]  Подожди-подожди-подожди. Командные виды спорта.
[1074.60s -> 1076.60s]  А есть индивидуальные отдельности?
[1076.60s -> 1078.60s]  Индивидуальные на коне, да? Да.
[1078.60s -> 1080.60s]  Китайцы? Япония.
[1080.60s -> 1082.60s]  Я тоже вот думаю, где Таня.
[1082.60s -> 1084.60s]  Великобритания.
[1084.60s -> 1086.60s]  Точно, точно.
[1086.60s -> 1088.60s]  Второй год подряд. Он выиграл
[1088.60s -> 1090.60s]  в Рио, и сейчас он выиграл
[1090.60s -> 1092.60s]  в Токио, в Японии. Его зовут
[1092.60s -> 1094.60s]  Макс Витлок. Длина коня
[1094.60s -> 1096.60s]  больше или меньше?
[1096.60s -> 1098.60s]  180 сантиметров.
[1098.60s -> 1100.60s]  Меньше. Больше.
[1100.60s -> 1102.60s]  Меньше.
[1102.60s -> 1107.83s]  Аааа!
[1107.83s -> 1109.83s]  Значит, этот снаряд
[1109.83s -> 1111.83s]  называется параллельный
[1111.83s -> 1113.83s]  в Бруси. Один снаряд, который
[1113.83s -> 1115.83s]  также входит в спортивную гимнастику.
[1115.83s -> 1117.83s]  Они стоят везде,
[1117.83s -> 1119.83s]  на каждом дворе. Да-да-да, кстати.
[1119.83s -> 1127.94s]  Ха-ха-ха!
[1127.94s -> 1135.35s]  Так вообще,
[1135.35s -> 1139.18s]  каждый это делает.
[1139.18s -> 1141.18s]  Смотрите, ребята, я тоже самое могу.
[1141.18s -> 1143.18s]  Ладно.
[1143.18s -> 1145.18s]  Сколько олимпийских чемпионов
[1145.18s -> 1147.18s]  на Бруси их из России?
[1147.18s -> 1149.18s]  В смысле, сколько?
[1149.18s -> 1151.18s]  Много. Давайте пять.
[1151.18s -> 1153.18s]  Ну, в групповых соревнованиях четыре.
[1153.18s -> 1155.18s]  Ноль. На Бруси их из Русских?
[1155.18s -> 1157.18s]  Мы ни разу не выигрывали в соревнованиях.
[1157.18s -> 1159.18s]  Ну, впервые российская сборная, мужская,
[1159.18s -> 1161.18s]  завоевала впервые за 25 лет командные соревнования.
[1161.18s -> 1163.18s]  И туда Бруси же входят. Входят.
[1163.18s -> 1165.18s]  Но также еще есть отдельное соревнование
[1165.18s -> 1167.18s]  именно по Бруси. Индуидальное.
[1167.18s -> 1169.18s]  Да, где один человек выходит соревноваться с другим.
[1169.18s -> 1171.18s]  Так вопрос, сколько их было, правильно?
[1171.18s -> 1173.18s]  Нисколько? Ни разу никто не завоевывал.
[1173.18s -> 1175.18s]  В России ни разу, да, мы не занимались.
[1175.18s -> 1177.18s]  Второй вопрос.
[1177.18s -> 1179.18s]  Положение, при котором плечи лежат
[1179.18s -> 1181.18s]  на жерде?
[1181.18s -> 1183.18s]  А есть варианты? Я могу показать.
[1183.18s -> 1185.18s]  На параллельных Бруси.
[1185.18s -> 1187.18s]  Ну, вот так, вот.
[1187.18s -> 1189.18s]  Показать можем? Нет, сказать, как называется оно.
[1189.18s -> 1191.18s]  Так же, подождите, попробуйте.
[1191.18s -> 1193.18s]  Они висят.
