[1.07s -> 3.07s]  Снимаем!
[331.42s -> 337.42s]  Можно не мариновать, но я считаю, что в этом рецепте прям маринованный лук, он идеально подходит.
[337.42s -> 339.42s]  Да, 100 процентов.
[339.42s -> 345.42s]  Так, лучок у нас в маринаде, мы его убираем в сторонку и продолжим готовить.
[345.42s -> 349.42s]  Переходим плавненько к нашей вкусной рыбке, красной первым.
[349.42s -> 351.42s]  Делаем, что нужно сделать.
[351.42s -> 357.42s]  Нужно будет убрать у нее кожицу, аккуратно, тоненько подрезать.
[357.42s -> 363.42s]  И потом уже начать разделывать на наши порционные кусочки, чтобы делать из нее шикарный салат.
[364.42s -> 385.74s]  Теперь разрезаем рыбку на порционные кусочки.
[385.74s -> 387.74s]  Будем делать вот так.
[387.74s -> 391.74s]  Просто хвостик тоненький остался, я его тоже нарезал.
[391.74s -> 398.71s]  Могу вам рассказать историю этого салата.
[398.71s -> 400.71s]  Так, сказал кому-то, сейчас жду ответа.
[400.71s -> 403.71s]  Мне не важно, интересно вам, неинтересно, я расскажу.
[403.71s -> 408.71s]  Я жил в городе Нягань, это Хантомантийский автономный округ.
[408.71s -> 414.71s]  Там работал город, население около 100 тысяч человек, даже может быть поменьше.
[414.71s -> 420.71s]  И там, по дороге, где я жил, по дороге ко мне домой, была кулинария.
[420.71s -> 423.71s]  Вот знаете, как в старые добрые времена, вот эта кулинария, где пирожные.
[423.71s -> 430.71s]  Вот с одной стороны такая женщина в белом халате, на голове у нее, как у шеф-повара, такая шляпа.
[430.71s -> 432.71s]  Назовем ее так.
[432.71s -> 435.71s]  И там вот был салат, он назывался вот так же, золотая рыбка.
[435.71s -> 438.71s]  И у меня просто засел в мое сердце, так сказать.
[438.71s -> 439.71s]  Я не мог его вообще.
[439.71s -> 443.71s]  Каждый день почти я проходил мимо этого магазина, там было много разных салатов.
[443.71s -> 446.71s]  Но вот этот, это просто что-то с чем.
[446.71s -> 451.71s]  Так что не поленитесь повторить, на праздничный стол, кто спрашивал про Новый год,
[451.71s -> 454.71s]  вот сделайте туда, сделайте просто дома на ужин.
[454.71s -> 457.71s]  Незабываемый салат, очень вкусный, нежный.
[457.71s -> 459.71s]  Ну вы что, сами сейчас увидите.
[459.71s -> 464.71s]  Так что если кто-то смотрит меня из кулинарии в Хантомантийском автономном округе,
[464.71s -> 465.71s]  я вам огромный привет.
[465.71s -> 467.71s]  Вкуснее салат, чем у вас, я не ел.
[467.71s -> 470.71s]  Поэтому будем сейчас стримиться к этому, чтобы у нас получилось так же.
[471.71s -> 475.71s]  Так, рыбку мы нарезали вот такими вот брусочками, кубиками, кому как удобней.
[475.71s -> 479.71s]  Теперь возьмем тарелочку, переложим ее вот отдельно.
[479.71s -> 482.71s]  И будем подготавливать другие ингредиенты.
[483.71s -> 489.34s]  То, что выпиваем пиво, это значит, что все ингредиенты наши готовы.
[489.34s -> 494.34s]  Мы их сейчас быстро натираем на терке и начинаем собирать наш бомбический салат,
[494.34s -> 496.34s]  про который я уже говорил. Погнали!
[497.34s -> 504.62s]  Так, белки отделили от желтков.
[504.62s -> 506.62s]  Теперь их тоже нужно тереть вот на такой мелкой терке.
[506.62s -> 508.62s]  Чем сейчас мы займемся?
[509.62s -> 517.03s]  Пока у нас идет процесс, вопрос от подписчика.
[517.03s -> 519.03s]  Зовут его Антон.
[519.03s -> 520.03s]  В общем, вопрос от него такой.
[520.03s -> 524.03s]  Если бы я, правда, был сотрудником, кем бы я хотел работать, на какой должность?
[524.03s -> 529.03s]  Я, если честно, бы остался на той должности, которую я позиционирую на канале.
[529.03s -> 532.03s]  Общался бы с бабушками, своим любимым, с дедушками.
[532.03s -> 534.03s]  Молодежь гонял бы, с кем-то дружил.
[534.03s -> 538.03s]  Все в том же стиле осталось, потому что я не вижу смысла менять.
[538.03s -> 541.03s]  В управлении мне делать нечем.
[541.03s -> 543.03s]  Я там, с народом внизу.
[546.03s -> 549.03s]  Значит, Пиш, ты в прошлых выпусках говорил, что ищешь невесту,
[549.03s -> 552.03s]  которая умеет готовить борщ.
[552.03s -> 553.03s]  Пишут, да, пишут.
[553.03s -> 555.03s]  Пока я не разбирал все эти заявки.
[555.03s -> 558.03s]  Но если кто-то вдруг не успел, конкурс еще идет.
[558.03s -> 560.03s]  Итоги подведем на Новый год.
[560.03s -> 562.03s]  Так что оставляйте свои заявки.
[562.03s -> 563.03s]  Будем рассматривать.
[563.03s -> 566.03s]  Пишите, какое блюдо вы готовите лучше всего.
[566.03s -> 571.03s]  И, возможно, именно вам удастся захватить мой сердце по дороге через живую.
[571.03s -> 573.03s]  И все, не стесняйтесь.
[574.03s -> 576.03s]  Так, поднимаю бокальчик.
[576.03s -> 578.03s]  Потому что прямо сейчас все готово.
[578.03s -> 580.03s]  Тогда было не все готово, сейчас все готово.
[580.03s -> 583.03s]  Поэтому за моих любимых подписчиков.
[584.03s -> 590.05s]  И начинаем собирать наш салат. Погнали.
[591.05s -> 656.85s]  Нет слов.
[656.85s -> 658.85s]  Ну вот такая вот красота у нас получилась.
[658.85s -> 660.85s]  Давайте попробуем вот так отдельно.
[660.85s -> 663.85s]  Отдельно в тарелочку себе переложим.
[663.85s -> 684.52s]  Я, честно, сегодня о нем мечтал весь день, как это все получилось.
[684.52s -> 687.52s]  Но в идеале, конечно, поставить его в холодильник еще часа на три.
[687.52s -> 689.52s]  Чтобы он там пропитался, наполнился.
[689.52s -> 692.52s]  Поженился со вкусом не совсем, так сказать.
[692.52s -> 694.52s]  Но ждать нет времени. Пробуем.
[694.52s -> 700.46s]  Ну не зря я терпелся везде.
[700.46s -> 702.46s]  Ждал и прошел немного.
[702.46s -> 703.46s]  Он сдержался.
[703.46s -> 704.46s]  Но это вкусно.
[704.46s -> 706.46s]  Обязательно повторите.
[706.46s -> 707.46s]  Прямо по этому же рецепту.
[707.46s -> 709.46s]  По этому же схеме.
[709.46s -> 711.46s]  Включите ролик Максима Народного.
[711.46s -> 713.46s]  И обязательно посмотрите.
[713.46s -> 714.46s]  На этом наш ролик подошел к концу.
[714.46s -> 716.46s]  Обязательно подписывайтесь на канал.
[716.46s -> 718.46s]  Ставьте колокольчик, чтобы не пропустить новые выпуски.
[718.46s -> 720.46s]  Подписывайтесь на мой инстаграм.
[720.46s -> 721.46s]  Подписывайтесь на мой телеграм канал.
[721.46s -> 724.46s]  Задавайте там вопрос, на который я буду обязательно отвечать.
[724.46s -> 725.46s]  С вами был Максим Народный.
[725.46s -> 727.46s]  Всем пока.
[727.46s -> 728.46s]  Чего я накладываю? Пойдешь?
[728.46s -> 730.46s]  Пойдемте.
[730.46s -> 732.46s]  Ой, пушка.
[732.46s -> 734.46s]  Спасибо.
