,video_name,stt_name,category_name,title,description,meteor,stt_sum,len,len_tokens
10,10.mp4,10.txt,Сериалы,"Салют, Начальник [Официальный трейлер]","Ровно через неделю Начальник будет отправлен в незапланированную командировку, где будет решать проблемы местных жителей. Но он даже не представляет, с какими сложностями ему придется столкнуться… Чем же закончится секретная операция провинциального участкового? Узнаете уже скоро! С 16 сентября премьера сериала «Салют, Начальник» эксклюзивно на Rutube.",0.0,"О, Назаров! Тут заказ по твою душу. Добрый вечер, полиция. Чё шумим?",4,46
11,11.mp4,11.txt,Детям,Лесенка знаний: мастерство I 6 серия I Парикмахер,"Чтобы казаться взрослее, Макс тайно отрезает волосы у Лизы и делает из них усы. Лиза расстроена и теперь Максу предстоит переместиться в прошлое, чтобы исправить свою ошибку.",0.0,"Парикмахеры древнего Египта делали парики и, для важности, наклеивали фараоном искусственные бороды. Слышал, Макс, для важности лучше борода! Эх, жалко, Лиза, что у тебя не длинные волосы! Макс, современными ножницами намного удобнее стричь!",2,27
12,12.mp4,12.txt,Развлечения,Алкомафия I #2,"Это Алкомафия! Шоу, в котором комики играют в мафию и пьют горячительные напитки. Градус игры повышается с каждым выпитым бокалом. На розливе ведущий Семен Голубь. Сегодня за звание лучшего игрока и пять тысяч рублей сражаются Антон Истомин, Женя Тасенков, Кирилл Лаврухин, Александр Фукс, Борис Зелигер",0.0,"Но есть врач, который может спасти и дать запивон человеку, который считает, что может быть набухан в эту ночь. Вы должны, когда ночь все спят, мафия просыпается, делать свой выбор, потом врач, потом мирный житель. Но самое главное, вы в конце, когда просыпаетесь все, должны сделать предположение, кто, по вашему мнению, мафия, кто не мафия, кто что. Спасибо огромное, врач уснул, просыпается... Никто, я знаю, Борис.",5,45
13,13.mp4,13.txt,Блоги,"Поверь мне, подруга I #5 I Я не умею ухаживать за собой","На ногах появились волосы, а лицо покрылась прыщами? Не переживай, это нормально. С этим сталкиваются все подростки. В сегодняшнем выпуске Аня Хилькевич расскажет, как правильно ухаживать за собой, чтобы избавиться от возникших проблем.",0.0,"По окончанию процедуры обработай ногу увлажняющим гелем или кремом. Удаление волос должно производиться также по росту, а после процедуры необходимо обработать и увлажнить кожу. Здесь важно правильно подобрать уходовые средства. Важно подбирать средства по типу кожи, особенно если на лице есть прыщи.",4,33
14,14.mp4,14.txt,Путешествия,Один выходной | Выпуск 5 | Куда сходить на праздники с детьми?,"Москва прекрасна в Новый Год, открываются ярмарки, появляются арт объекты, зажигаются яркие огни. Самое время прогулок всей семьей!  Но чем же заняться на каникулах. Какая ярмарка самая красивая? Где бесплатно можно посмотреть выставку Ёлок. И где в тепле найти снежный замок?  Одвайтесь по теплее, берите всю семью сейчас Ташэ расскажет вам, как провести один выходной!",0.0,"Новогодние ярмарки работают по всей Москве. Стандартный билет сюда стоит 700 рублей по будням и 900 по выходным. А в выходные прям вот сколько максимально, самая длинная очередь была? А за 2000 рублей вы можете кататься на всех аттракционах.",7,57
15,15.mp4,15.txt,Авто-мото,$1000 шоу | 1 выпуск | Автобоулинг,"В этом выпуске, популярный автоблогер Дима Гордей, разыграет среди своих подписчиков 1000$! Чтобы забрать деньги- нужно сбить своей машиной максимальное количество кегель-бочек. На это участникам даётся две попытки. Готовьте чайоку-поехали!",0.0,"Машины у нас жиги. Дадим пять минут нашим участникам разукрасить тачки, и начнем наше соревнование. И кто сколько хочет сбить кегель в следующем раунде. Ну и победитель этого челленджа автобоулинга, Леха, с результатом 9 кегель.",4,30
16,16.mp4,16.txt,Развлечения,Диктант со звездой | Выпуск 5 | Николай Должанский,"Проверить свою грамотность в этом выпуске готов без пяти минут кандидат наук, известный рэпер «Дома-2», чемпион по спорам вокруг слова «абзац» Николай Должанский. Получится ли у Николая смягчить строгого учителя собственными текстами, и сможет ли он написать без ошибок диктант про героя по имени Колябок?",0.0,"Николай, если вы пишете рэп, насколько он грамотно написан? Меня радует ваша сказка, кроме того, что она очевидно напоминает мое прошлое и даже местами цитирует мое творчество. Катится, катится Коля бок, а навстречу ему алкоголизм. Представляете, Николай, вот есть места, где еще нельзя писать матом, и это наш класс.",2,45
17,17.mp4,17.txt,Спорт,Байкальская миля 2020: лед и скорость!,"На фестивале  скорости «Байкальская миля 2020» представили более 100 единиц уникальной техники. Холодный лед Байкала горячо встретил участников и зрителей фестиваля скорости «Байкальская миля», который состоялся в Республике Бурятия с 27 февраля по 29 февраля 2020.  Более ста представителей российских и европейских команд приехали на озеро Байкал, чтобы  установить рекорды скорости на ледяной глади великого озера. Репортаж Татьяны Першиной.",0.0,"Дим, расскажите, как вообще пришла такая идея на Байкальскую милю привезти аэролодку? Это у нас мото-вездеход на гусеницах Апачи, на котором мы сегодня раздадим по льду Байкала на одной мили. Байкальская мили – это фестиваль скорости. А, это шина называется, правда?",4,62
18,18.mp4,18.txt,Эзотерика,Такой расклад. Эфир 8. Руны. Про отношения в семье,"В этом выпуске шоу «Такой расклад» вы увидите рунолога Дарью Холикэт и ведущую Янину Студилину. Встречаемся в 20:00! Тема недели и этого выпуска – отношения в семье. В прямом эфире Дарья с помощью рун ответит на вопросы об в отношениях с близкими и дальними родственниками, о сложностях или перспективах в семье и вообще о том, как ужиться вместе. Любые вопросы, связанные с темой, приветствуются! Дорогие зрители, вопросы по теме можно задавать в чате прямо на странице трансляции. И по ссылкам: Telegram-бот  Официальная страница RUTUBE -23459697_133757 В среду 25 ноября в 20:00 отвечать на вопросы зрителей с помощью метафорических ассоциативных карт будет мак-терапевт и психолог Вероника Копейко. Включайте прямой эфир!",0.0,"А вот, пожалуйста, второй вопрос и от мужчины. Понимаю твой вопрос. А вопрос. Ну да, вот вопрос еще.",8,110
19,19.mp4,19.txt,Лайфстайл,"Почетный гражданин, 2 сезон | Выпуск 4 | Воронеж","Женя Искандарова и Михаил Еремеев отправляются на родину Русского флота, столицу черноземья, город Воронеж. Героям предстоит посетить знаковые места города, пройти непростые испытания и убедить остаться в родном городе символ Воронежа котенка с улицы Лизюкова. Вернуть свои деньги и телефоны они смогут только если пройдут квест до конца.",0.0,"И мы должны пройти целый квест города, чтобы в конце получить звание «Почётного гражданина». И в конце этой передачи, если мы пройдём все испытания, меня зовут Женя, это Миша, мы, Женя и Миша, получим звание «Почётный гражданин Воронежа». Обменяйте эту картину на молоко и получите следующую подсказку. Я меняю свой ответ. Правильный ответ. Следующий вопрос.",3,48
20,20.mp4,20.txt,Развлечения,Стендап гороскоп: Настя Веневитина - Овны,"В первом выпуске шоу “Стендап гороскоп” Настя Веневитина расскажет про то, как непросто быть Овном, и что ждет представителей знака в 2022",0.0,"Это, это чистая правда, я считаю. Это, это так. Я вообще в гороскопы смотрю только тогда, когда влюбляюсь в кого-то. Говорят, что овны прямолинейные, поэтому я считаю, что в зал можно и посимпатичные людей было посадить. Не знаю, как вы, а я веб-камеру на всякий случай заклею.",1,22
21,21.mp4,21.txt,Блоги,Хашлама | Выпуск 7 I Идеальный мужчина для Витоновой | Измены | Контент Насти | The Pancho Factory,"В гости к Авету пришла Анастасия Витонова. Мы посмотрели пару веселых видео с ТикТока и одно самое милое видео в мире про котят! Потом создали список качеств для идеального парня Витоновой. И поехала жара! Контент самой Насти! Социальные ролики, викторины, влог на ютуб, первый сериал Насти и первый трек Насти. Короче, жаришка. Оставляйте комментарии, пишите нам в соцсети, да и просто радуйтесь. Поели в The Pancho Factory. Это реально вкусно. Мы потом доели эклеры  - огонь! Безе нам не понравились, но среди нас не было фанатов безе. Так что мы советуем.  / / Сотрудничество: email",0.0,"Нет, в таком смысле ты не любишь пересматривать свой же контент? Блин, у тебя такая хорошая девушка, заботливая Никому не заботилась Ну, а потом я поменяла одежду Память короткая, я смотрю Типа, недалеко у воспоминания ушли Намутили сегодня, в этот же день Какая хорошая девушка А что с это, с грацией? Мне очень нравится Слушайте, она была идеальной девушкой Но она... Она есть моя женщина Твоя? Чтобы Рутуб стоял и просмотра были, как говорится Ребята, спасибо, что позвали меня на это прекрасное шоу За то, что я здесь очень вкусно поела Можно и так Очень вкусно поела Очень много посмеялась Продлила себе жизнь За то, что вы такие прекрасные ребята И я хочу с вами проститься Прости, простите меня Всем пока Спасибо большое, это был шоу Хошлова Подписывайтесь, ставьте лайки, оставляйте комментарии Делайте, что хотите, жизнь ваша Всем спасибо, все свободны Что это?",14,97
22,22.mp4,22.txt,Видеоигры,PVP #8 I Маелшторм VS Кристалмей,"Комментаторы Маелшторм и Кристалмей анализируют текущую мету киберспортивной доты, выясняют почему СНГ тащит, а затем слетают с катушек в кастомке Hadcore Ninja!",0.0,"Алдов рэпером Просто пошел в NAVI покатать пацанам Валерий Леонтьев 7-1, это 6 Ах ты, ах ты козел Я не знаю, как это комментировать Я устал сосать Сюда! Ну у нас два была варианта А мы уже за счет эти подчеркнули Так, ну Куапа это Акаша Вы пока решите Куапа, Акаша, хорошо, здесь мы решили Doom, у нас между Doombringer и Lucifer Два варианта Мне кажется, Doombringer, Doom это... Ну, типа его звали Doombringer, точно Но вопрос именно вот... Как он был в первой доте? Да, очень Да не, ну просто потому что... Shit Этот вариант, он, типа, правильный Но от нас требуется другое Ну давай Lucifer Окей, у нас... У меня больше нет Какой-нибудь... Какие еще варианты есть? В Ванковере Подожди, считается ли Ситл Вот эта штука, которая была при фигня Помнишь, там был другой город Белинью Белинью это Ситл Вот вопрос Да не, все Это все Ситл Это точно шесть уже Других порядков Подожди, ты уверен?",1,22
23,23.mp4,23.txt,Спорт/Игры,Три лошадиные силы | Выпуск №3,"Новый третий выпуск! И вновь нас ждут безумные гоночные челленджи наших сумасшедших и харизматичных ведущих! Аварии, гонка, надувные женщины... Что ждет их на очередном пути к победе?    Ставь лайки, пиши комментарии и подписывайся!    Агабекян Авет ...  Саша Стоун /  Макс Игумнов /    #челленджи #челленджи2021",0.0,"Подожди, давай сначала мы определим, кто из нас ведущий, а потом мы посмотрим машины. Как я понимаю, следующий ведущий это Макс. Я стою в лютой пробке. Пацаны, сейчас самый напряженный момент, потому что Макс, ведущий, он находится пипец как рядом со мной и если он меня ловит, он выигрывает. Ты че думаешь, если видос снимаешь у того как ведущий, а потом его выкладываешь... Такого не было!",5,55
24,24.mp4,24.txt,Юмор,Пойдём отойдём I #12I Сундук запер соседа в туалете. Деревенские поссорились. Пойдём отойдём.,"Москвич решил сделать подарок Сундуку, но увидел, как тот закрыл в туалете своего соседа. Конечно же, этот инцидент не прошел стороной Начальника, который делал всё, что бы их помирить. А что получилось в итоге вы узнаете в этой серии!",0.0,"Мы снова приехали снимать сундука, и в этот раз я решил взять такой вот небольшой подарок, кактус, но думаю он оценит. Сундук, ты мне скажи, откуда капкан-то вообще? Вот этот Сундуков ходит к моей жене постоянно! А чё ты дома сидишь *****?",3,39
25,25.mp4,25.txt,Спорт,Роман Юнусов и популярный озвучер Карен Арутюнов попали в клуб богачей,"В новом выпуске шоу «Спортивный Интерес» Рома Юнусов и Карен Арутюнов почувствуют себя богатеями или даже мафиози. А всё потому, что им предстоит освоить вид спорта, куда без членства в клубе не попасть. Да, мы отправили героев на поле для гольфа. Солнце, трава, песок, клюшка - вот неполный список того, что мешало ребятам бить по мячу. Ну, а кто выполнил драйв и прошёл лунку быстрее оппонента, ты узнаешь, посмотрев выпуск до конца.",0.0,"Меня зовут Роман Генусов, это шоу «Спортивный интерес», где мы напоминаем вам о том, что любой, абсолютно любой вид спорта доступен вам и вашим друзьям. Сейчас мы идем играть в гольф на 10-ю лунку. А затем уже второй, третий и все последующие удары игрок делает с того места, куда мяч попал. Поэтому я предлагаю взять вам бэги на плечи и направиться к своим мячам.",5,72
26,26.mp4,26.txt,Блоги,Варя в космосе | Выпуск 1 | Спутник-жертва,Нас ждёт столкновение с астероидом? Любители находят новые галактики? Почему все летят на южный полюс Луны? Привет! Это первый выпуск «Варя в космосе». И здесь мы обсуждаем самые интересные космические события недели!,0.0,"Недавно спутники из космоса увидели десятки очагов выбросов метана, которые раньше не учитывались. 15 ноября на орбите вокруг Земли обнаружили опасное облако обломков. Это очень опасно для космонавтов, ведь обломки летят со скоростью 30 тысяч километров в час. Кстати, туда же отправится российский аппарат Луна-25 уже в следующем году.",6,32
27,27.mp4,27.txt,Путешествия,Один выходной | Выпуск 11 | 14 февраля,"День Святого Валентина можно любить или не очень. Но немного романтики не помешает никому. Сегодня Ташэ расскажу как праздновать день всех Влюбленных, чтоб не разориться на сюрпризах и удивить свою вторую половинку или если вы одиноки порадовать себя любимого.",0.0,здравствуйте можно вас взять интервью нет спасибо вырезаем продолжаем какие милые женщины вы верите в любовь спасибо у вас вон плоды же любви первый раз провожу выходной за день еще и с едой 14 февраля оказывается праздновали еще в древнем риме а в старинной россии его праздновали достаточно аскетично девчонки брали бумагой или какие-то кружева вырезали из них валентинки а потом тайком клали его в карман любимого предварительно подушив духами можно конечно провести 14 февраля если у тебя нет денег в кармане но и за небольшие деньги тоже можно меня зовут тоши и сегодня я проведу этот 14 февраля вместе с вами будете праздновать 14 февраля любому да у вас есть любовь вы в нее верите вообще кто-то праздную день святого валентина а кто-то нет в любом случае в нашем сердце всегда есть место романтики бесплатно в москве можно прогуляться по паркам для влюбленных например музей заповедник в коломенском со своими заветными желаниями новобрачные приходят к мистическим камням двум песчаникам голосовом овраге волны называется гусь камень для мужей и девичий для жен еще в коломенском можно устроить не только 14 февраля но и брак и сочетание на аллее любви около древнего дуба даже можно на каменной дорожке увековечить свои имена и памятную дату парк акведук на берегу яузы возле ростокинского акведука часто устраивают свадебные фотосессии и романтические прогулки рядом на пешеходном мостике через яузы можно повесить замочек любви парке напротив стоит лавочка для парочек со спиной в виде силетов ангелов и специальным местом для памятных замочков и ленточек сад эрмитаж на одной из центральных аллеи стоит памятник всем влюбленным в виде сердца с колокольчиками здесь загадывает желание около таблички с надписью для любящего сердца нет ничего невозможного на 14 февраля всегда можно вырезать валентинку и романтично подарить ее своей второй половинки в парке валентинки это уже не модно а вот замок подойдет самый раз мы находимся на третиковском мосту который в простонародье называют лужков мост потому что он был построен сами знаете при ком еще одно название моста поцелуев мост и это не просто так тут выросли деревья на которые можно повесить свой замок любви еще в 2007 году появилась первое в москве дерево любви сейчас их намного больше и все они усыпаны увесистыми клятвами любви в центре каждого города найдется мост это яркие замки с инициалами в узорах в виде сердца и даже со стразами по традиции если влюбленный повесит замок на мост а ключ выбросит воду никто не сможет разрушить их союз скажите пожалуйста вы когда-нибудь любили да конечно да конечно мы думали классный где-то в итоге опасный никто не хочет на мосту любви рассказывать про любовь скажите вы любили когда-нибудь и любил и люблю и буду ли вы вешали замок вы сюда вешали под москвы же была такая акция что вы повесили замок и кофе она должна быть везде вы любили вам по русски не могу любить по-русски это действительно сложно ребят что тут скажешь мы охотимся за людьми чтобы взять у них интервью а люди убегают от нас почему-то извините пожалуйста можно вопросик задать один подскажите пожалуйста вы верите в любовь тут замки не срезают так что если,3,39
28,28.mp4,28.txt,Лайфстайл,PykoJob | Выпуск 4 | Уютная гостиная с небольшим бюджетом,Ведущая Алиса и дизайнер Наталья показывают как можно от одного  предмета выстроить целый интерьер и уложиться в 25 тысяч рублей. Смотрите лайфхаки и советы для создания уюта в новом выпуске Рукоджоб!,0.0,"Кстати говоря, шторы всегда забирают очень много внимания на себя. Это же про наш интерьер сегодня. Большая живая пальма стоит всего 3000 рублей. Поэтому если вдруг вы не знаете, что делать с вашей комнатой, можно взять акцентную вещь одну и с помощью нее создать весь интерьер.",2,32
29,29.mp4,29.txt,Развлечения,Женский труд | Девушки делают грязь | Выпуск 4,Две красотки за тридцать тысяч рублей пытаются сделать глиняный чайник.,0.0,"Шоу, где девчонок сегодня ждет грязь, которую они будут делать своими руками. Если ты выполняешь задание, то тебе целых 30 секунд буду помогать я. У меня ногтей нет, я думаю, что тогда получится. Мне, на самом деле, нужна подсказка, как сделать дырочку. Очевидные победители, по правой руке отменили.",1,10
30,30.mp4,30.txt,Блоги,TikTok Дайджест | Выпуск 3,"Встречайте свежий выпуск с Настей Витоновой. Свежие сплетни, актуальные тренды, интересные новости - смотрите, внимайте, обожайте!",0.0,"Сейчас я вам расскажу новости самой популярной платформы в мире. Начнем с лучшей рубрики «Чё нового?». Платформа с многомиллионной аудиторией предлагает пользователям снимать видео под хэштегами. Итак, Маяшкины, я нашла чудесную тиктокершу, которая вместо меня собрала все самые популярные танцевальные тренды этого лета.",2,16
